категория	kategooria	категория	kategooria	N;INDF;FEM;SG	N;NOM;SG
няколко	mitmed	няколко	mitu	PRO;INDF	PRO;NOM;PL
няколко	mitu	няколко	mitu	PRO;INDF	PRO;NOM;SG
август	august	август	auk	N;INDF;MASC;SG	N;IN+ABL;SG
беседа	vestlus	бесед	vestlus	N;INDF;FEM;SG	N;NOM;SG
септември	september	септември	september	N;INDF;MASC;SG	N;NOM;SG
септември	septembris	септември	september	N;INDF;MASC;SG	N;IN+ESS;SG
името	nimi	име	nimi	N;DEF;NEUT;SG	N;NOM;SG
името	nimetus	име	nimetus	N;DEF;NEUT;SG	N;NOM;SG
името	name	име	name	N;DEF;NEUT;SG	N;NOM;SG
името	nime	име	nimi	N;DEF;NEUT;SG	N;PRT;SG
група	bänd	група	bänd	N;INDF;FEM;SG	N;NOM;SG
група	ansambel	група	ansambel	N;INDF;FEM;SG	N;NOM;SG
група	rühm	група	rühm	N;INDF;FEM;SG	N;NOM;SG
група	grupp	група	grupp	N;INDF;FEM;SG	N;NOM;SG
група	grupis	група	grupp	N;INDF;FEM;SG	N;IN+ESS;SG
език	keele	език	keel	N;INDF;MASC;SG	N;GEN;SG
език	keel	език	keel	N;INDF;MASC;SG	N;NOM;SG
език	keele	език	keel	N;INDF;MASC;SG	N;GEN;SG
юли	juuli	юли	juuli	N;INDF;MASC;SG	N;NOM;SG
някои	mõned	някой	mõni	PRO;NOM;PL	PRO;NOM;PL
река	river	река	river	N;INDF;FEM;SG	N;NOM;SG
река	jõgi	река	jõgi	N;INDF;FEM;SG	N;NOM;SG
януари	jaanuar	януари	jaanuar	N;INDF;MASC;SG	N;NOM;SG
юни	juuni	юни	juuni	N;INDF;MASC;SG	N;NOM;SG
юни	june	юни	june	N;INDF;MASC;SG	N;NOM;SG
октомври	oktoober	октомври	oktoober	N;INDF;MASC;SG	N;NOM;SG
име	nimi	име	nimi	N;INDF;NEUT;SG	N;NOM;SG
име	nimetus	име	nimetus	N;INDF;NEUT;SG	N;NOM;SG
име	name	име	name	N;INDF;NEUT;SG	N;NOM;SG
име	nime	име	nimi	N;INDF;NEUT;SG	N;PRT;SG
заедно	koos	заедно	koos	ADV	ADV
заедно	üheskoos	заедно	ühes_koos	ADV	ADV
фон	von	фон	von	N;INDF;MASC;SG	N;NOM;SG
фон	tausta	фон	taust	N;INDF;MASC;SG	N;PRT;SG
фон	taust	фон	taust	N;INDF;MASC;SG	N;NOM;SG
американски	ameerika	американски	ameerika	ADJ;INDF;MASC;SG	ADJ
март	märts	март	märts	N;INDF;MASC;SG	N;NOM;SG
ноември	november	ноември	november	N;INDF;MASC;SG	N;NOM;SG
ноември	novembris	ноември	november	N;INDF;MASC;SG	N;IN+ESS;SG
април	aprill	април	aprill	N;INDF;MASC;SG	N;NOM;SG
декември	detsember	декември	detsember	N;INDF;MASC;SG	N;NOM;SG
декември	dets	декември	dets	N;INDF;MASC;SG	N;NOM;SG
история	jutt	история	jutt	N;INDF;FEM;SG	N;NOM;SG
история	ajalugu	история	aja_lugu	N;INDF;FEM;SG	N;NOM;SG
история	ajaloo	история	aja_lugu	N;INDF;FEM;SG	N;GEN;SG
жители	elanikke	жител	elanik	N;INDF;MASC;PL	N;PRT;PL
жители	elanikud	жител	elanik	N;INDF;MASC;PL	N;NOM;PL
жители	elanikud	жител	elanik	N;INDF;MASC;PL	N;NOM;PL
жители	residendid	жител	resident	N;INDF;MASC;PL	N;NOM;PL
различни	erinevad	различен	erinev	ADJ;INDF;PL	ADJ;NOM;PL;PRS;V.PTCP;ACT
често	sageli	често	sageli	ADV	ADV
често	tihtipeale	често	tihti_peale	ADV	ADV
често	tihti	често	tihti	ADV	ADV
февруари	veebruar	февруари	veebruar	N;INDF;MASC;SG	N;NOM;SG
провинция	provints	провинция	provints	N;INDF;FEM;SG	N;NOM;SG
империя	impeerium	империя	impeerium	N;INDF;FEM;SG	N;NOM;SG
империя	impeeriumi	империя	impeerium	N;INDF;FEM;SG	N;PRT;SG
център	keskus	център	keskus	N;INDF;MASC;SG	N;NOM;SG
център	center	център	center	N;INDF;MASC;SG	N;NOM;SG
център	keskus	център	keskus	N;INDF;MASC;SG	N;NOM;SG
повече	rohkem	повече	rohkem	ADV;INDF;PL	ADV
вече	juba	вече	juba	ADV	ADV
страна	riik	страна	riik	N;INDF;FEM;SG	N;NOM;SG
страна	külg	страна	külg	N;INDF;FEM;SG	N;NOM;SG
градове	linnad	град	linn	N;INDF;MASC;PL	N;NOM;PL
градове	linnad	град	linn	N;INDF;MASC;PL	N;NOM;PL
население	demograafia	население	demograafia	N;INDF;NEUT;SG	N;NOM;SG
население	populatsioon	население	populatsioon	N;INDF;NEUT;SG	N;NOM;SG
население	populatsiooni	население	populatsioon	N;INDF;NEUT;SG	N;PRT;SG
население	rahvastik	население	rahvastik	N;INDF;NEUT;SG	N;NOM;SG
население	elanikkond	население	elanikkond	N;INDF;NEUT;SG	N;NOM;SG
население	rahvaarv	население	rahva_arv	N;INDF;NEUT;SG	N;NOM;SG
завършва	lõpeb	завършвам	lõppema	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
завършва	lõppeb	завършвам	lõppema	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
малко	vähe	малко	vähe	ADV;INDF;PL	ADV
университет	ülikool	университет	üli_kool	N;INDF;MASC;SG	N;NOM;SG
син	poja	син	poeg	N;INDF;MASC;SG	N;NOM;SG
син	poeg	син	poeg	N;INDF;MASC;SG	N;NOM;SG
награда	tasu	награда	tasu	N;INDF;FEM;SG	N;NOM;SG
награда	autasu	награда	au_tasu	N;INDF;FEM;SG	N;PRT;SG
награда	auhinna	награда	au_hind	N;INDF;FEM;SG	N;GEN;SG
награда	auhind	награда	au_hind	N;INDF;FEM;SG	N;NOM;SG
награда	auhinnaks	награда	au_hind	N;INDF;FEM;SG	N;TRANS;SG
награда	auhind	награда	au_hind	N;INDF;FEM;SG	N;NOM;SG
голяма	suure	голям	suur	ADJ;INDF;FEM;SG	ADJ;GEN;SG
голяма	suur	голям	suur	ADJ;INDF;FEM;SG	ADJ;NOM;SG
голяма	suure	голям	suur	ADJ;INDF;FEM;SG	ADJ;GEN;SG
голяма	suur	голям	suur	ADJ;INDF;FEM;SG	ADJ;NOM;SG
сайт	koduleht	сайт	kodu_leht	N;INDF;MASC;SG	N;NOM;SG
сайт	veebileht	сайт	veebi_leht	N;INDF;MASC;SG	N;NOM;SG
сайт	veebisait	сайт	veebi_sait	N;INDF;MASC;SG	N;NOM;SG
сайт	kodulehekülg	сайт	kodu_lehe_külg	N;INDF;MASC;SG	N;NOM;SG
сайт	saidi	сайт	saima	N;INDF;MASC;SG	N;GEN;SG
сайт	ala	сайт	ala	N;INDF;MASC;SG	N;NOM;SG
участва	osaleb	участвам	osalema	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
световна	ülemaailmne	световен	üle_maa_ilmne	ADJ;INDF;FEM;SG	ADJ;NOM;SG
уикипедия	wikipedia	уикипедия	wikipedia	N;INDF;FEM;SG	N;NOM;SG
използва	kasutab	използвам	kasutama	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
сезон	hooaeg	сезон	hoo_aeg	N;INDF;MASC;SG	N;NOM;SG
окръг	maakond	окръг	maakond	N;INDF;MASC;SG	N;NOM;SG
окръг	ringkond	окръг	ringkond	N;INDF;MASC;SG	N;NOM;SG
окръг	rajoon	окръг	rajoon	N;INDF;MASC;SG	N;NOM;SG
днес	täna	днес	täna	ADV	ADV
смъртта	surma	смърт	surm	N;DEF;FEM;SG	N;PRT;SG
смъртта	surm	смърт	surm	N;DEF;FEM;SG	N;NOM;SG
национален	riiklik	национален	riiklik	ADJ;INDF;MASC;SG	ADJ;NOM;SG
национален	siseriiklik	национален	sise_riiklik	ADJ;INDF;MASC;SG	ADJ;NOM;SG
вижте	vt	видя-(се)	vt	V;PFV;IMP;PL;2;FIN	V;IMP;FIN
английски	inglise	английски	inglise	ADJ;INDF;MASC;SG	ADJ
едно	ühe	един	üks	NUM;INDF;NEUT;SG	NUM;GEN;SG
първи	esimene	първи	esimene	ADJ;INDF;MASC;SG	ADJ;NOM;SG
отново	uuesti	отново	uuesti	ADV	ADV
отново	taas	отново	taas	ADV	ADV
отново	jälle	отново	jälle	ADV	ADV
член	parlamendiliige	член	parlamendi_liige	N;INDF;MASC;SG	N;NOM;SG
член	liige	член	liige	N;INDF;MASC;SG	N;NOM;SG
член	artikkel	член	artikkel	N;INDF;MASC;SG	N;NOM;SG
височина	kõrgus	височина	kõrgus	N;INDF;FEM;SG	N;NOM;SG
височина	kõrgus	височина	kõrgus	N;INDF;FEM;SG	N;NOM;SG
височина	reljeefi	височина	reljeef	N;INDF;FEM;SG	N;PRT;SG
височина	kõrgus	височина	kõrgus	N;INDF;FEM;SG	N;NOM;SG
дъщеря	tütar	дъщеря	tütar	N;INDF;FEM;SG	N;NOM;SG
там	seal	там	seal	ADV	ADV
система	süsteemi	система	süsteem	N;INDF;FEM;SG	N;PRT;SG
система	süsteem	система	süsteem	N;INDF;FEM;SG	N;NOM;SG
система	system	система	system	N;INDF;FEM;SG	N;NOM;SG
училище	kooli	училище	kool	N;INDF;NEUT;SG	N;PRT;SG
училище	koolis	училище	kool	N;INDF;NEUT;SG	N;IN+ESS;SG
училище	kool	училище	kool	N;INDF;NEUT;SG	N;NOM;SG
света	sveta	свят	svetama	N;DEF;MASC;SG	N;NOM;SG
света	maailma	свят	maa_ilm	N;DEF;MASC;SG	N;PRT;SG
света	maailm	свят	maa_ilm	N;DEF;MASC;SG	N;NOM;SG
села	külad	село	küla	N;INDF;NEUT;PL	N;NOM;PL
села	külasid	село	küla	N;INDF;NEUT;PL	N;PRT;PL
филми	filmid	филм	film	N;INDF;MASC;PL	N;NOM;PL
филми	filmid	филм	film	N;INDF;MASC;PL	N;NOM;PL
умира	sureb	умирам	surema	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
умира	suremas	умирам	surema	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IN+ESS;V.CVB;ACT
всеки	kõik	всеки	kõik	PRO;NOM;MASC;SG	PRO;NOM;SG
всеки	iga	всеки	iga	PRO;NOM;MASC;SG	PRO;NOM;SG
всеки	iga	всеки	iga	PRO;NOM;MASC;SG	PRO;NOM;SG
части	osi	част	osa	N;INDF;FEM;PL	N;PRT;PL
части	osad	част	osa	N;INDF;FEM;PL	N;NOM;PL
баща	isa	баща	isa	N;INDF;MASC;SG	N;NOM;SG
нова	uus	нов	uus	ADJ;INDF;FEM;SG	ADJ;NOM;SG
крал	king	крал	king	N;INDF;MASC;SG	N;NOM;SG
крал	kuningas	крал	kuningas	N;INDF;MASC;SG	N;NOM;SG
крал	kunn	крал	kunn	N;INDF;MASC;SG	N;NOM;SG
армия	armee	армия	armee	N;INDF;FEM;SG	N;NOM;SG
армия	sõjavägi	армия	sõja_vägi	N;INDF;FEM;SG	N;NOM;SG
църква	kiriku	църква	kirik	N;INDF;FEM;SG	N;NOM;SG
църква	kirik	църква	kirik	N;INDF;FEM;SG	N;NOM;SG
докато	kuni	докато	kuni	CONJ	CONJ
официален	ametlik	официален	ametlik	ADJ;INDF;MASC;SG	ADJ;NOM;SG
официален	ametlik	официален	ametlik	ADJ;INDF;MASC;SG	ADJ;NOM;SG
официален	ametliku	официален	ametlik	ADJ;INDF;MASC;SG	ADJ;GEN;SG
времето	ilm	време	ilm	N;DEF;NEUT;SG	N;NOM;SG
времето	kellaaeg	време	kella_aeg	N;DEF;NEUT;SG	N;NOM;SG
времето	aeg	време	aeg	N;DEF;NEUT;SG	N;NOM;SG
времето	aja	време	aeg	N;DEF;NEUT;SG	N;GEN;SG
времето	ajas	време	aeg	N;DEF;NEUT;SG	N;IN+ESS;SG
времето	aega	време	aeg	N;DEF;NEUT;SG	N;PRT;SG
българска	bulgaaria	български	bulgaaria	ADJ;INDF;FEM;SG	ADJ
места	kohad	място	koht	N;INDF;NEUT;PL	N;NOM;PL
места	istmed	място	iste	N;INDF;NEUT;PL	N;NOM;PL
начин	way	начин	way	N;INDF;MASC;SG	N;NOM;SG
период	periood	период	periood	N;INDF;MASC;SG	N;NOM;SG
период	perioodi	период	periood	N;INDF;MASC;SG	N;PRT;SG
период	ajavahemik	период	aja_vahemik	N;INDF;MASC;SG	N;NOM;SG
резултат	tulemus	резултат	tulemus	N;INDF;MASC;SG	N;NOM;SG
резултат	skoor	резултат	skoor	N;INDF;MASC;SG	N;NOM;SG
резултат	punktisumma	резултат	punkti_summa	N;INDF;MASC;SG	N;NOM;SG
резултат	tulemus	резултат	tulemus	N;INDF;MASC;SG	N;NOM;SG
данни	andmed	данна	andmed	N;INDF;FEM;PL	N;NOM;PL
страница	leht	страница	leht	N;INDF;FEM;SG	N;NOM;SG
страница	lehekülg	страница	lehe_külg	N;INDF;FEM;SG	N;NOM;SG
страница	page	страница	page	N;INDF;FEM;SG	N;NOM;SG
страница	lehekülje	страница	lehe_külg	N;INDF;FEM;SG	N;GEN;SG
картинка	pilt	картинка	pilt	N;INDF;FEM;SG	N;NOM;SG
картинка	pildi	картинка	pilt	N;INDF;FEM;SG	N;GEN;SG
картинка	pilt	картинка	pilt	N;INDF;FEM;SG	N;NOM;SG
картинка	pildi	картинка	pilt	N;INDF;FEM;SG	N;GEN;SG
граф	graf	граф	graf	N;INDF;MASC;SG	N;NOM;SG
играе	mängib	играя	mängima	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
играе	mängimas	играя	mängima	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IN+ESS;V.CVB;ACT
играе	mängib	играя	mängima	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
живот	life	живот	life	N;INDF;MASC;SG	N;NOM;SG
живот	elu	живот	elu	N;INDF;MASC;SG	N;NOM;SG
тук	siin	там	siin	ADV	ADV
император	imperaator	император	imperaator	N;INDF;MASC;SG	N;NOM;SG
император	keiser	император	keiser	N;INDF;MASC;SG	N;NOM;SG
църквата	kiriku	църква	kirik	N;DEF;FEM;SG	N;NOM;SG
църквата	kirik	църква	kirik	N;DEF;FEM;SG	N;NOM;SG
ден	päev	ден	päev	N;INDF;MASC;SG	N;NOM;SG
ден	päeva	ден	päev	N;INDF;MASC;SG	N;PRT;SG
жени	naised	жена	naine	N;INDF;FEM;PL	N;NOM;PL
руски	vene	руски	vene	ADJ;INDF;MASC;SG	ADJ
известен	teadaolev	известен	teada_olev	ADJ;INDF;MASC;SG	ADJ;NOM;SG;PRS;V.PTCP;ACT
известен	tuntud	известен	tuntud	ADJ;INDF;MASC;SG	ADJ;PST;V.PTCP;PASS
мария	maria	мария	maria	N;INDF;FEM;SG	N;NOM;SG
тогава	seejärel	тогава	see_järel	ADV	ADV
тогава	siis	тогава	siis	ADV	ADV
голям	suure	голям	suur	ADJ;INDF;MASC;SG	ADJ;GEN;SG
голям	suur	голям	suur	ADJ;INDF;MASC;SG	ADJ;NOM;SG
голям	suure	голям	suur	ADJ;INDF;MASC;SG	ADJ;GEN;SG
голям	suur	голям	suur	ADJ;INDF;MASC;SG	ADJ;NOM;SG
род	rod	род	rod	N;INDF;MASC;SG	N;NOM;SG
филм	filmi	филм	film	N;INDF;MASC;SG	N;PRT;SG
филм	film	филм	film	N;INDF;MASC;SG	N;NOM;SG
филм	filmi	филм	film	N;INDF;MASC;SG	N;PRT;SG
филм	kile	филм	kile	N;INDF;MASC;SG	N;NOM;SG
филм	film	филм	film	N;INDF;MASC;SG	N;NOM;SG
шаблон	mall	шаблон	mall	N;INDF;MASC;SG	N;NOM;SG
шаблон	malli	шаблон	mall	N;INDF;MASC;SG	N;PRT;SG
почти	peaaegu	почти	pea_aegu	ADV	ADV
печели	võidab	печеля	võitma	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
страни	peod	страна	pidu	N;INDF;FEM;PL	N;NOM;PL
страни	küljed	страна	külg	N;INDF;FEM;PL	N;NOM;PL
страни	riigid	страна	riik	N;INDF;FEM;PL	N;NOM;PL
площ	pindala	площ	pind_ala	N;INDF;FEM;SG	N;NOM;SG
площ	valdkond	площ	valdkond	N;INDF;FEM;SG	N;NOM;SG
площ	piirkond	площ	piirkond	N;INDF;FEM;SG	N;NOM;SG
площ	ala	площ	ala	N;INDF;FEM;SG	N;NOM;SG
острови	saared	островя-(се)	saar	N;INDF;FEM;PL	N;NOM;PL
острови	saartele	островя-(се)	saar	N;INDF;FEM;PL	N;AT+ALL;PL
код	code	код	code	N;INDF;MASC;SG	N;NOM;SG
код	kood	код	kood	N;INDF;MASC;SG	N;NOM;SG
френски	prantsuse	френски	prantsuse	ADJ;INDF;MASC;SG	ADJ
генерал	kindral	генерал	kindral	N;INDF;MASC;SG	N;NOM;SG
държава	riik	държава	riik	N;INDF;FEM;SG	N;NOM;SG
държава	riik	държава	riik	N;INDF;FEM;SG	N;NOM;SG
държава	olek	държава	olek	N;INDF;FEM;SG	N;NOM;SG
държава	osariik	държава	osa_riik	N;INDF;FEM;SG	N;NOM;SG
дата	kuupäev	дата	kuu_päev	N;INDF;FEM;SG	N;NOM;SG
обикновено	tavaliselt	обикновено	tavaliselt	ADV	ADV
обикновено	tüüpiliselt	обикновено	tüüpilise=lt	ADV	ADV
обикновено	tavaliselt	обикновено	tavaliselt	ADV	ADV
големи	suured	голям	suur	ADJ;INDF;PL	ADJ;NOM;PL
големи	suured	голям	suur	ADJ;INDF;PL	ADJ;NOM;PL
деца	lapsed	дете	laps	N;INDF;NEUT;PL	N;NOM;PL
деца	lapsed	дете	laps	N;INDF;NEUT;PL	N;NOM;PL
остава	jääb	оставам	jääma	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
остава	jääb	оставам	jääma	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
сили	võimed	сила	võime	N;INDF;FEM;PL	N;NOM;PL
сили	volitused	сила	volitus	N;INDF;FEM;PL	N;NOM;PL
дължина	pikkus	дължина	pikkus	N;INDF;FEM;SG	N;NOM;SG
дължина	pikkuskraad	дължина	pikkus_kraad	N;INDF;FEM;SG	N;NOM;SG
българи	bulgaarlased	българин	bulga_arlane	N;INDF;MASC;PL	N;NOM;PL
албум	album	албум	album	N;INDF;MASC;SG	N;NOM;SG
гръцки	kreeka	гръцки	kreeka	ADJ;INDF;MASC;SG	ADJ
дни	päevad	ден	päev	N;INDF;MASC;PL	N;NOM;PL
дни	päevi	ден	päev	N;INDF;MASC;PL	N;PRT;PL
съюз	liit	съюз	liit	N;INDF;MASC;SG	N;NOM;SG
съюз	liidu	съюз	liit	N;INDF;MASC;SG	N;GEN;SG
съюз	liit	съюз	liit	N;INDF;MASC;SG	N;NOM;SG
партия	party	партия	party	N;INDF;FEM;SG	N;NOM;SG
партия	pidu	партия	pidu	N;INDF;FEM;SG	N;NOM;SG
партия	erakond	партия	erakond	N;INDF;FEM;SG	N;NOM;SG
партия	peole	партия	pidu	N;INDF;FEM;SG	N;AT+ALL;SG
политик	poliitik	политик	poliitik	N;INDF;MASC;SG	N;NOM;SG
пише	kirjutab	пиша	kirjutama	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
брат	vend	брат	vend	N;INDF;MASC;SG	N;NOM;SG
брат	venna	брат	vend	N;INDF;MASC;SG	N;GEN;SG
работа	töö	работа	töö	N;INDF;FEM;SG	N;NOM;SG
работа	töökoht	работа	töö_koht	N;INDF;FEM;SG	N;NOM;SG
работа	tööd	работа	töö	N;INDF;FEM;SG	N;PRT;SG
работа	töö	работа	töö	N;INDF;FEM;SG	N;NOM;SG
работа	tööle	работа	töö	N;INDF;FEM;SG	N;AT+ALL;SG
голове	eesmärgid	гол	ees_märk	N;INDF;MASC;PL	N;NOM;PL
остров	saart	остров	saar	N;INDF;MASC;SG	N;PRT;SG
остров	saar	остров	saar	N;INDF;MASC;SG	N;NOM;SG
председател	president	председател	president	N;INDF;MASC;SG	N;NOM;SG
председател	esimees	председател	esi_mees	N;INDF;MASC;SG	N;NOM;SG
председател	eesistuja	председател	ees_istuja	N;INDF;MASC;SG	N;NOM;SG
председател	esimees	председател	esi_mees	N;INDF;MASC;SG	N;NOM;SG
председател	eesistuja	председател	ees_istuja	N;INDF;MASC;SG	N;NOM;SG
среща	kuupäev	среща	kuu_päev	N;INDF;FEM;SG	N;NOM;SG
среща	koosolek	среща	koos_olek	N;INDF;FEM;SG	N;NOM;SG
среща	kohtumine	среща	kohtumine	N;INDF;FEM;SG	N;NOM;SG
групи	grupid	група	grupp	N;INDF;FEM;PL	N;NOM;PL
групи	rühmad	група	rühm	N;INDF;FEM;PL	N;NOM;PL
информация	info	информация	info	N;INDF;FEM;SG	N;NOM;SG
информация	teave	информация	teave	N;INDF;FEM;SG	N;NOM;SG
информация	info	информация	info	N;INDF;FEM;SG	N;NOM;SG
информация	informatsioon	информация	informatsioon	N;INDF;FEM;SG	N;NOM;SG
нови	uued	нов	uus	ADJ;INDF;PL	ADJ;NOM;PL
писател	kirjutaja	писател	kirjutaja	N;INDF;MASC;SG	N;NOM;SG
писател	kirjanik	писател	kirjanik	N;INDF;MASC;SG	N;NOM;SG
херцог	vürst	херцог	vürst	N;INDF;MASC;SG	N;NOM;SG
херцог	duke	херцог	duke	N;INDF;MASC;SG	N;NOM;SG
херцог	hertsog	херцог	hertsog	N;INDF;MASC;SG	N;NOM;SG
министър	minister	министър	minister	N;INDF;MASC;SG	N;NOM;SG
цел	eesmärk	цел	ees_märk	N;INDF;FEM;SG	N;NOM;SG
цел	eesmärk	цел	ees_märk	N;INDF;FEM;SG	N;NOM;SG
цел	sihi	цел	siht	N;INDF;FEM;SG	N;NOM;SG
цел	eesmärk	цел	ees_märk	N;INDF;FEM;SG	N;NOM;SG
цел	otstarve	цел	ots_tarve	N;INDF;FEM;SG	N;NOM;SG
цел	eesmärk	цел	ees_märk	N;INDF;FEM;SG	N;NOM;SG
цел	eesmärk	цел	ees_märk	N;INDF;FEM;SG	N;NOM;SG
цел	siht	цел	siht	N;INDF;FEM;SG	N;NOM;SG
цел	märklaud	цел	märk_laud	N;INDF;FEM;SG	N;NOM;SG
цел	target	цел	targe	N;INDF;FEM;SG	N;NOM;SG
цел	sihtmärk	цел	siht_märk	N;INDF;FEM;SG	N;NOM;SG
участие	kaasamine	участие	kaasamine	N;INDF;NEUT;SG	N;NOM;SG
участие	kaasatus	участие	kaasatus	N;INDF;NEUT;SG	N;NOM;SG
участие	osale	участие	osa	N;INDF;NEUT;SG	N;AT+ALL;SG
участие	osalus	участие	osalus	N;INDF;NEUT;SG	N;NOM;SG
