категорія	categoría	категорія	categoría	N;INAN;NOM;FEM;SG	N
липня	xullo	липень	xullo	N;INAN;GEN;MASC;SG	N
участь	participación	участь	participación	N;INAN;ACC;FEM;SG	N
участь	participación	участь	participación	N;INAN;ACC;FEM;SG	N
участь	implicación	участь	implicación	N;INAN;ACC;FEM;SG	N
участь	participación	участь	participación	N;INAN;ACC;FEM;SG	N
вид	tipo	вид	tipo	N;INAN;NOM;MASC;SG	N
вид	clase	вид	clase	N;INAN;NOM;MASC;SG	N
вид	especie	вид	especie	N;INAN;NOM;MASC;SG	N
вид	especies	вид	especie	N;INAN;NOM;MASC;SG	N
вид	vista	вид	vista	N;INAN;NOM;MASC;SG	N
вид	opinión	вид	opinión	N;INAN;NOM;MASC;SG	N
вид	punto	вид	punto	N;INAN;NOM;MASC;SG	N
вид	visión	вид	visión	N;INAN;NOM;MASC;SG	N
червня	xuño	червень	xuño	N;INAN;GEN;MASC;SG	N
місто	cidade	місто	cidade	N;INAN;NOM;NEUT;SG	N
місто	pobo	місто	pobo	N;INAN;NOM;NEUT;SG	N
місто	vila	місто	vila	N;INAN;NOM;NEUT;SG	N
місто	aldea	місто	aldea	N;INAN;NOM;NEUT;SG	N
місто	cidade	місто	cidade	N;INAN;NOM;NEUT;SG	N
вже	xa	вже	xa	ADV	ADV
життя	vida	життя	vida	N;INAN;NOM;NEUT;SG	N
життя	estilo	життя	estilo	N;INAN;NOM;NEUT;SG	N
життя	vida	життя	vida	N;INAN;NOM;NEUT;SG	N
квітня	abril	квітень	abril	N;INAN;GEN;MASC;SG	N
листопада	novembro	листопад	novembro	N;INAN;GEN;MASC;SG	N
лютого	febreiro	лютий	febreiro	N;INAN;GEN;MASC;SG	N
опис	descrición	опис	descrición	N;INAN;NOM;MASC;SG	N
центр	centro	центр	centro	N;INAN;NOM;MASC;SG	N
центр	centro	центр	centro	N;INAN;NOM;MASC;SG	N
центр	cerne	центр	cerne	N;INAN;NOM;MASC;SG	N
захід	oeste	захід	oeste	N;INAN;NOM;MASC;SG	N
захід	occidente	захід	occidente	N;INAN;NOM;MASC;SG	N
століття	séculos	століття	século	N;INAN;NOM;NEUT;SG	N
століття	século	століття	século	N;INAN;NOM;NEUT;SG	N
схід	leste	схід	leste	N;INAN;NOM;MASC;SG	N
схід	oriente	схід	oriente	N;INAN;NOM;MASC;SG	N
статті	artigos	стаття	artigo	N;INAN;NOM;FEM;PL	N
склад	almacén	склад	almacén	N;INAN;NOM;MASC;SG	N
особи	persoas	особа	persoa	N;ANIM;NOM;FEM;PL	N
особи	persoa	особа	persoa	N;ANIM;NOM;FEM;PL	N
над	por	над	por	ADP;ACC	ADP
над	de	над	de	ADP;ACC	ADP
історія	historia	історія	historia	N;INAN;NOM;FEM;SG	N
історія	relato	історія	relato	N;INAN;NOM;FEM;SG	N
історія	historia	історія	historia	N;INAN;NOM;FEM;SG	N
зображення	imaxes	зображення	imaxe	N;INAN;NOM;NEUT;SG	N
зображення	foto	зображення	foto	N;INAN;NOM;NEUT;SG	N
зображення	imaxe	зображення	imaxe	N;INAN;NOM;NEUT;SG	N
зображення	fotografía	зображення	fotografía	N;INAN;NOM;NEUT;SG	N
зображення	imaxe	зображення	imaxe	N;INAN;NOM;NEUT;SG	N
зображення	fotos	зображення	foto	N;INAN;NOM;NEUT;SG	N
зображення	imaxes	зображення	imaxe	N;INAN;NOM;NEUT;SG	N
зображення	fotografías	зображення	fotografía	N;INAN;NOM;NEUT;SG	N
пункти	obxectos	пункт	obxecto	N;INAN;NOM;MASC;PL	N
пункти	puntos	пункт	punto	N;INAN;NOM;MASC;PL	N
пункти	artigos	пункт	artigo	N;INAN;NOM;MASC;PL	N
пункти	das	пункт	das	N;INAN;NOM;MASC;PL	N
пункти	puntos	пункт	punto	N;INAN;NOM;MASC;PL	N
пункти	opcións	пункт	opción	N;INAN;NOM;MASC;PL	N
код	código	код	código	N;INAN;NOM;MASC;SG	N
сайт	sitio	сайт	sitio	N;INAN;NOM;MASC;SG	N
сайт	web	сайт	web	N;INAN;NOM;MASC;SG	N
сайт	páxina	сайт	páxina	N;INAN;NOM;MASC;SG	N
сайт	zona	сайт	zona	N;INAN;NOM;MASC;SG	N
сайт	lugar	сайт	lugar	N;INAN;NOM;MASC;SG	N
інші	outra	інший	outro	DET;NOM;PL	DET
інші	outros	інший	outro	DET;NOM;PL	DET
інші	outro	інший	outro	DET;NOM;PL	DET
інші	outras	інший	outro	DET;NOM;PL	DET
інші	outros	інший	outro	DET;NOM;PL	DET
інші	demais	інший	demais	DET;NOM;PL	DET
інші	outras	інший	outro	DET;NOM;PL	DET
тут	aquí	тут	aquí	ADV	ADV
мова	idioma	мова	idioma	N;INAN;NOM;FEM;SG	N
мова	linguaxe	мова	linguaxe	N;INAN;NOM;FEM;SG	N
мова	lingua	мова	lingua	N;INAN;NOM;FEM;SG	N
історії	historias	історія	historia	N;INAN;NOM;FEM;PL	N
історії	historia	історія	historia	N;INAN;NOM;FEM;PL	N
всі	todo	весь	todo	DET;NOM;PL	DET
всі	todos	весь	todo	DET;NOM;PL	DET
всі	todas	весь	todo	DET;NOM;PL	DET
багато	moito	багато	moito	ADV	ADV
багато	moito	багато	moito	ADV	ADV
багато	máis	багато	máis	ADV	ADV
багато	tanto	багато	tanto	ADV	ADV
більше	máis	більше	máis	ADV;CMPR	ADV
більше	máis	більше	máis	ADV;CMPR	ADV
більше	máis	більше	máis	ADV;CMPR	ADV
кількість	conta	кількість	conta	N;INAN;NOM;FEM;SG	N
кількість	número	кількість	número	N;INAN;NOM;FEM;SG	N
кількість	cantidade	кількість	cantidade	N;INAN;NOM;FEM;SG	N
шаблони	patróns	шаблон	patrón	N;INAN;NOM;MASC;PL	N
дуже	moi	дуже	moi	ADV	ADV
перший	primeiro	перший	primeiro	ADJ;NOM;MASC;SG	ADJ
перший	primeira	перший	primeiro	ADJ;NOM;MASC;SG	ADJ
площа	praza	площа	praza	N;INAN;NOM;FEM;SG	N
площа	área	площа	área	N;INAN;NOM;FEM;SG	N
площа	zona	площа	zona	N;INAN;NOM;FEM;SG	N
країни	país	країна	país	N;INAN;NOM;FEM;PL	N
країни	países	країна	país	N;INAN;NOM;FEM;PL	N
країни	paises	країна	país	N;INAN;NOM;FEM;PL	N
назва	nome	назва	nome	N;INAN;NOM;FEM;SG	N
назва	título	назва	título	N;INAN;NOM;FEM;SG	N
без	sen	без	sen	ADP;GEN	ADP
голова	cabeza	голова	cabeza	N;ANIM;NOM;FEM;SG	N
голова	presidente	голова	presidente	N;ANIM;NOM;FEM;SG	N
народився	nacín	народитися	nacín	V;PFV;MASC;IND;SG;PST;FIN	V
народився	naceu	народитися	nacer	V;PFV;MASC;IND;SG;PST;FIN	V
народився	nacer	народитися	nacer	V;PFV;MASC;IND;SG;PST;FIN	V
народився	naciches	народитися	naciches	V;PFV;MASC;IND;SG;PST;FIN	V
народився	nacen	народитися	nacer	V;PFV;MASC;IND;SG;PST;FIN	V
щодо	sobre	щодо	sobre	ADP;GEN	ADP
щодо	de	щодо	de	ADP;GEN	ADP
щодо	sobre	щодо	sobre	ADP;GEN	ADP
роботи	traballo	робота	traballo	N;INAN;NOM;FEM;PL	N
біля	de	біля	de	ADP;GEN	ADP
статтю	artigo	стаття	artigo	N;INAN;ACC;FEM;SG	N
праворуч	ben	праворуч	ben	ADV	ADV
потім	logo	потім	logo	ADV	ADV
потім	despois	потім	despois	ADV	ADV
потім	entón	потім	entón	ADV	ADV
потім	daquela	потім	daquela	ADV	ADV
землі	terra	земля	terra	N;INAN;NOM;FEM;PL	N
землі	mundo	земля	mundo	N;INAN;NOM;FEM;PL	N
армії	exércitos	армія	exército	N;INAN;GEN;FEM;SG	N
армії	exército	армія	exército	N;INAN;GEN;FEM;SG	N
однак	pero	однак	pero	CONJ	CONJ
протягом	por	протягом	por	ADP;GEN	ADP
протягом	durante	протягом	durante	ADP;GEN	ADP
день	días	день	día	N;INAN;NOM;MASC;SG	N
день	día	день	día	N;INAN;NOM;MASC;SG	N
частина	parte	частина	parte	N;INAN;NOM;FEM;SG	N
південний	sudáfrica	південний	sudáfricar	ADJ;NOM;MASC;SG	ADJ
смерті	morte	смерть	morte	N;INAN;NOM;FEM;PL	N
період	período	період	período	N;INAN;NOM;MASC;SG	N
період	periodo	період	periodo	N;INAN;NOM;MASC;SG	N
період	tempo	період	tempo	N;INAN;NOM;MASC;SG	N
період	adolescencia	період	adolescencia	N;INAN;NOM;MASC;SG	N
перша	primeiro	перший	primeiro	ADJ;NOM;FEM;SG	ADJ
перша	primeira	перший	primeiro	ADJ;NOM;FEM;SG	ADJ
такі	tal	такий	tal	DET;NOM;PL	DET
розташування	lugares	розташування	lugar	N;INAN;NOM;NEUT;SG	N
розташування	arranxo	розташування	arranxo	N;INAN;NOM;NEUT;SG	N
розташування	acordo	розташування	acordo	N;INAN;NOM;NEUT;SG	N
розташування	posición	розташування	posición	N;INAN;NOM;NEUT;SG	N
кар	carreira	кар.	carreira	N;INAN;NOM;FEM;SG	N
три	3	три	3	NUM;NOM	NUM
працював	traballamos	працювати	traballar	V;IPFV;MASC;IND;SG;PST;FIN	V
працював	funcionou	працювати	funcionar	V;IPFV;MASC;IND;SG;PST;FIN	V
працював	traballei	працювати	traballar	V;IPFV;MASC;IND;SG;PST;FIN	V
працював	traballaba	працювати	traballar	V;IPFV;MASC;IND;SG;PST;FIN	V
працював	traballou	працювати	traballar	V;IPFV;MASC;IND;SG;PST;FIN	V
висота	altura	висота	altura	N;INAN;NOM;FEM;SG	N
входить	inclúe	входити	incluír	V;IPFV;IND;SG;3;PRS;FIN	V
себе	eu	себе	eu	PRO;ACC;REFL	PRO
себе	me	себе	me	PRO;ACC;REFL	PRO
себе	el	себе	el	PRO;ACC;REFL	PRO
себе	te	себе	te	PRO;ACC;REFL	PRO
різних	diferentes	різний	diferente	ADJ;ACC;PL	ADJ
різних	distintas	різний	distinto	ADJ;ACC;PL	ADJ
різних	distinto	різний	distinto	ADJ;ACC;PL	ADJ
різних	distintos	різний	distinto	ADJ;ACC;PL	ADJ
різних	diferente	різний	diferente	ADJ;ACC;PL	ADJ
фільми	filmes	фільм	filme	N;INAN;NOM;MASC;PL	N
фільми	filmes	фільм	filme	N;INAN;NOM;MASC;PL	N
фільми	cinema	фільм	cinema	N;INAN;NOM;MASC;PL	N
церква	igrexa	церква	igrexir	N;INAN;NOM;FEM;SG	N
церква	á	церква	á	N;INAN;NOM;FEM;SG	N
створення	xeración	створення	xeración	N;INAN;NOM;NEUT;SG	N
створення	creación	створення	creación	N;INAN;NOM;NEUT;SG	N
значення	significado	значення	significado	N;INAN;NOM;NEUT;SG	N
значення	sentido	значення	sentido	N;INAN;NOM;NEUT;SG	N
значення	valores	значення	valor	N;INAN;NOM;NEUT;SG	N
значення	valor	значення	valor	N;INAN;NOM;NEUT;SG	N
значення	revenda	значення	revenda	N;INAN;NOM;NEUT;SG	N
системи	sistema	система	sistema	N;INAN;NOM;FEM;PL	N
йому	el	він	el	PRO;DAT;MASC;SG;3	PRO
йому	lle	він	lle	PRO;DAT;MASC;SG;3	PRO
крім	agás	крім	agás	ADP;GEN	ADP
тоді	logo	тоді	logo	ADV	ADV
тоді	despois	тоді	despois	ADV	ADV
тоді	entón	тоді	entón	ADV	ADV
тоді	daquela	тоді	daquela	ADV	ADV
адреса	discurso	адреса	discurso	N;INAN;NOM;FEM;SG	N
адреса	enderezo	адреса	enderezo	N;INAN;NOM;FEM;SG	N
адреса	dirección	адреса	dirección	N;INAN;NOM;FEM;SG	N
член	membro	член	membro	N;ANIM;NOM;MASC;SG	N
член	membros	член	membro	N;ANIM;NOM;MASC;SG	N
групи	dous	група	dous	N;INAN;NOM;FEM;PL	N
групи	grupos	група	grupo	N;INAN;NOM;FEM;PL	N
буде	vai	бути	ir	V;IPFV;IND;SG;3;FUT;FIN	V
там	alí	там	alí	ADV	ADV
там	aí	там	aí	ADV	ADV
динаміка	dinámica	динаміка	dinámica	N;INAN;NOM;FEM;SG	N
динаміка	dinámicas	динаміка	dinámica	N;INAN;NOM;FEM;SG	N
національний	nacional	національний	nacional	ADJ;NOM;MASC;SG	ADJ
національний	nacionais	національний	nacional	ADJ;NOM;MASC;SG	ADJ
національний	national	національний	national	ADJ;NOM;MASC;SG	ADJ
управління	xestión	управління	xestión	N;INAN;NOM;NEUT;SG	N
управління	dirección	управління	dirección	N;INAN;NOM;NEUT;SG	N
нього	el	він	el	PRO;ACC;MASC;SG;3	PRO
нього	lle	він	lle	PRO;ACC;MASC;SG;3	PRO
річки	ríos	річка	río	N;INAN;NOM;FEM;PL	N
дата	cita	дата	cita	N;INAN;NOM;FEM;SG	N
дата	día	дата	día	N;INAN;NOM;FEM;SG	N
дата	data	дата	data	N;INAN;NOM;FEM;SG	N
людей	xente	людина	xente	N;ANIM;ACC;FEM;PL	N
людей	persoas	людина	persoa	N;ANIM;ACC;FEM;PL	N
людей	pobo	людина	pobo	N;ANIM;ACC;FEM;PL	N
хоча	malia	хоча	malia	CONJ	CONJ
хоча	se	хоча	se	CONJ	CONJ
мови	idiomas	мова	idioma	N;INAN;NOM;FEM;PL	N
мови	linguaxes	мова	linguaxe	N;INAN;NOM;FEM;PL	N
мови	linguas	мова	lingua	N;INAN;NOM;FEM;PL	N
мови	idioma	мова	idioma	N;INAN;NOM;FEM;PL	N
мови	linguaxe	мова	linguaxe	N;INAN;NOM;FEM;PL	N
мови	lingua	мова	lingua	N;INAN;NOM;FEM;PL	N
розподіл	distribución	розподіл	distribución	N;INAN;NOM;MASC;SG	N
пізніше	despois	пізніше	despois	ADV;CMPR	ADV
пізніше	máis	пізніше	máis	ADV;CMPR	ADV
пізніше	logo	пізніше	logo	ADV;CMPR	ADV
розвитку	desenvolvemento	розвиток	desenvolvemento	N;INAN;GEN;MASC;SG	N
розвитку	proxecto	розвиток	proxecto	N;INAN;GEN;MASC;SG	N
вулиця	rúa	вулиця	rúa	N;INAN;NOM;FEM;SG	N
кілька	poucos	кілька	pouco	DET;NOM	DET
кілька	poucas	кілька	pouco	DET;NOM	DET
кілька	uns	кілька	un	DET;NOM	DET
кілька	algunhas	кілька	algún	DET;NOM	DET
кілька	algúns	кілька	algún	DET;NOM	DET
кілька	unhas	кілька	un	DET;NOM	DET
згодом	despois	згодом	despois	ADV	ADV
згодом	máis	згодом	máis	ADV	ADV
згодом	logo	згодом	logo	ADV	ADV
картка	carta	картка	carta	N;INAN;NOM;FEM;SG	N
картка	tarxeta	картка	tarxeta	N;INAN;NOM;FEM;SG	N
картка	documento	картка	documento	N;INAN;NOM;FEM;SG	N
часто	moito	часто	moito	ADV	ADV
часто	acotío	часто	acotío	ADV	ADV
офіційний	oficial	офіційний	oficial	ADJ;NOM;MASC;SG	ADJ
департамент	departamento	департамент	departamento	N;INAN;NOM;MASC;SG	N
департамент	axentes	департамент	axente	N;INAN;NOM;MASC;SG	N
віком	anos	вік	ano	N;INAN;INS;MASC;SG	N
майже	case	майже	case	ADV	ADV
права	dereitos	право	dereito	N;INAN;NOM;NEUT;PL	N
права	carta	право	carta	N;INAN;NOM;NEUT;PL	N
права	dereito	право	dereito	N;INAN;NOM;NEUT;PL	N
церкви	igrexas	церква	igrexa	N;INAN;NOM;FEM;PL	N
голови	cabezas	голова	cabeza	N;INAN;NOM;FEM;PL	N
південь	sur	південь	sur	N;INAN;NOM;MASC;SG	N
вулиці	rúas	вулиця	rúa	N;INAN;NOM;FEM;PL	N
вулиці	polas	вулиця	pola	N;INAN;NOM;FEM;PL	N
вулиці	rúa	вулиця	rúa	N;INAN;NOM;FEM;PL	N
перед	de	перед	de	ADP;INS	ADP
мав	tiña	мати	ter	V;IPFV;MASC;IND;SG;PST;FIN	V
мав	tiven	мати	ter	V;IPFV;MASC;IND;SG;PST;FIN	V
типу	tipo	тип	tipo	N;INAN;NOM;MASC;SG	N
типу	clase	тип	clase	N;INAN;NOM;MASC;SG	N
фільм	película	фільм	película	N;INAN;NOM;MASC;SG	N
фільм	filme	фільм	filme	N;INAN;NOM;MASC;SG	N
фільм	cine	фільм	cinir	N;INAN;NOM;MASC;SG	N
фільм	cinema	фільм	cinema	N;INAN;NOM;MASC;SG	N
фільм	película	фільм	película	N;INAN;NOM;MASC;SG	N
фільм	filme	фільм	filme	N;INAN;NOM;MASC;SG	N
карта	mapa	карта	mapa	N;INAN;NOM;FEM;SG	N
використання	uso	використання	uso	N;INAN;NOM;NEUT;SG	N
головний	principal	головний	principal	ADJ;NOM;MASC;SG	ADJ
головний	importante	головний	importante	ADJ;NOM;MASC;SG	ADJ
зоря	estrela	зоря	estrela	N;INAN;NOM;FEM;SG	N
деякі	algúns	деякий	algún	DET;NOM;PL	DET
деякі	algunhas	деякий	algún	DET;NOM;PL	DET
деякі	un	деякий	un	DET;NOM;PL	DET
музей	museo	музей	museo	N;INAN;NOM;MASC;SG	N
діяльність	actividades	діяльність	actividade	N;INAN;NOM;FEM;SG	N
діяльність	actividade	діяльність	actividade	N;INAN;NOM;FEM;SG	N
частини	partes	частина	parte	N;INAN;NOM;FEM;PL	N
закінчив	rematei	закінчити	rematar	V;PFV;MASC;IND;SG;PST;FIN	V
закінчив	rematado	закінчити	rematar	V;PFV;MASC;IND;SG;PST;FIN	V
закінчив	acabado	закінчити	acabar	V;PFV;MASC;IND;SG;PST;FIN	V
закінчив	rematar	закінчити	rematar	V;PFV;MASC;IND;SG;PST;FIN	V
закінчив	rematou	закінчити	rematar	V;PFV;MASC;IND;SG;PST;FIN	V
джерела	fontes	джерело	fonte	N;INAN;NOM;NEUT;PL	N
джерела	fonte	джерело	fonte	N;INAN;NOM;NEUT;PL	N
джерела	orixe	джерело	orixe	N;INAN;NOM;NEUT;PL	N
честь	honra	честь	honra	N;INAN;ACC;FEM;SG	N
честь	honor	честь	honor	N;INAN;ACC;FEM;SG	N
честь	honra	честь	honra	N;INAN;ACC;FEM;SG	N
честь	señoría	честь	señor	N;INAN;ACC;FEM;SG	N
організації	organizacións	організація	organización	N;INAN;GEN;FEM;SG	N
своїх	seus	свій	seu	DET;ANIM;ACC;PL;REFL	DET
своїх	as	свій	o	DET;ANIM;ACC;PL;REFL	DET
своїх	súas	свій	seu	DET;ANIM;ACC;PL;REFL	DET
своїх	os	свій	o	DET;ANIM;ACC;PL;REFL	DET
своїх	seu	свій	seu	DET;ANIM;ACC;PL;REFL	DET
своїх	súa	свій	seu	DET;ANIM;ACC;PL;REFL	DET
сил	forzas	сила	forza	N;INAN;GEN;FEM;PL	N
діяльності	actividades	діяльність	actividade	N;INAN;GEN;FEM;SG	N
діяльності	actividade	діяльність	actividade	N;INAN;GEN;FEM;SG	N
клуб	clube	клуб	clubar	N;INAN;NOM;MASC;SG	N
клуб	salvavidas	клуб	salvavidas	N;INAN;NOM;MASC;SG	N
клуб	club	клуб	club	N;INAN;NOM;MASC;SG	N
партії	festa	партія	festa	N;INAN;GEN;FEM;SG	N
партії	partido	партія	partido	N;INAN;GEN;FEM;SG	N
перелік	lista	перелік	lista	N;INAN;NOM;MASC;SG	N
перелік	listaxe	перелік	listaxe	N;INAN;NOM;MASC;SG	N
роль	papel	роль	papel	N;INAN;NOM;FEM;SG	N
усі	todo	увесь	todo	DET;NOM;PL	DET
усі	todos	увесь	todo	DET;NOM;PL	DET
усі	o	увесь	o	DET;NOM;PL	DET
усі	todo	увесь	todo	DET;NOM;PL	DET
усі	todos	увесь	todo	DET;NOM;PL	DET
усі	todas	увесь	todo	DET;NOM;PL	DET
усі	todo	увесь	todo	DET;NOM;PL	DET
усі	o	увесь	o	DET;NOM;PL	DET
усі	todos	увесь	todo	DET;NOM;PL	DET
свої	seus	свій	seu	DET;NOM;PL;REFL	DET
свої	as	свій	o	DET;NOM;PL;REFL	DET
свої	súas	свій	seu	DET;NOM;PL;REFL	DET
свої	os	свій	o	DET;NOM;PL;REFL	DET
свої	seu	свій	seu	DET;NOM;PL;REFL	DET
свої	súa	свій	seu	DET;NOM;PL;REFL	DET
свої	seus	свій	seu	DET;NOM;PL;REFL	DET
свої	súas	свій	seu	DET;NOM;PL;REFL	DET
свої	seu	свій	seu	DET;NOM;PL;REFL	DET
свої	o	свій	o	DET;NOM;PL;REFL	DET
свої	súa	свій	seu	DET;NOM;PL;REFL	DET
свої	a	свій	o	DET;NOM;PL;REFL	DET
університет	universidade	університет	universidade	N;INAN;NOM;MASC;SG	N
університет	universidades	університет	universidade	N;INAN;NOM;MASC;SG	N
відомий	famoso	відомий	famoso	ADJ;NOM;MASC;SG	ADJ
відомий	famosos	відомий	famoso	ADJ;NOM;MASC;SG	ADJ
відомий	famosa	відомий	famor	ADJ;NOM;MASC;SG	ADJ
школа	instituto	школа	instituto	N;INAN;NOM;FEM;SG	N
школа	escola	школа	escola	N;INAN;NOM;FEM;SG	N
школа	colexio	школа	colexio	N;INAN;NOM;FEM;SG	N
право	leis	право	lei	N;INAN;NOM;NEUT;SG	N
право	lei	право	lei	N;INAN;NOM;NEUT;SG	N
далі	máis	далі	máis	ADV	ADV
далі	lonxe	далі	lonxe	ADV	ADV
