dan	en	dan	en	CONJ	CONJ
masyarakat	maatschappij	masyarakat	maatschappij	N;SG	N;MASC+FEM;SG
pernah	nooit	pernah	nooit	ADV	ADV
pernah	ooit	pernah	ooit	ADV	ADV
tiga	drie	tiga	drie	NUM	NUM
musik	muziek	musik	muziek	N;SG	N;MASC+FEM;SG
musik	musical	musik	musical	N;SG	N;MASC+FEM;SG
planet	planet	planet	planet	N;SG	N;MASC+FEM;SG
planet	planeet	planet	planeet	N;SG	N;MASC+FEM;SG
umum	algemene	umum	algemeen	ADJ;SG	ADJ
umum	algemeen	umum	algemeen	ADJ;SG	ADJ
kerusakan	storing	kerusakan	storing	N;SG	N;MASC+FEM;SG
kerusakan	defect	kerusakan	defect	N;SG	N;NEUT;SG
kerusakan	verwoesting	kerusakan	verwoesting	N;SG	N;MASC+FEM;SG
kerusakan	vernietiging	kerusakan	vernietiging	N;SG	N;MASC+FEM;SG
kerusakan	ravage	kerusakan	ravage	N;SG	N;MASC+FEM;SG
kerusakan	beschadiging	kerusakan	beschadiging	N;SG	N;MASC+FEM;SG
kerusakan	schade	kerusakan	schade	N;SG	N;MASC+FEM;SG
kerusakan	schade	kerusakan	schade	N;SG	N;MASC+FEM;SG
kerusakan	schadevergoeding	kerusakan	schadevergoeding	N;SG	N;MASC+FEM;SG
kecil	kleine	kecil	klein	ADJ;SG	ADJ
kecil	klein	kecil	klein	ADJ;SG	ADJ
kecil	smal	kecil	smal	ADJ;SG	ADJ
kecil	kleine	kecil	klein	ADJ;SG	ADJ
kecil	klein	kecil	klein	ADJ;SG	ADJ
kecil	minderjarige	kecil	minderjarig	ADJ;SG	ADJ
kecil	piepklein	kecil	piepklein	ADJ;SG	ADJ
menteri	secretaris	menteri	secretaris	N;SG	N;MASC+FEM;SG
menteri	secretaresse	menteri	secretaresse	N;SG	N;MASC+FEM;SG
menteri	minister	menteri	minister	N;SG	N;MASC+FEM;SG
lagi	alweer	lagi	alweer	ADV	ADV
lagi	opnieuw	lagi	opnieuw	ADV	ADV
lagi	nogmaals	lagi	nogmaals	ADV	ADV
jumlah	sum	jumlah	sum	N;SG	N;MASC+FEM;SG
jumlah	som	jumlah	som	N;SG	N;MASC+FEM;SG
jumlah	bedrag	jumlah	bedrag	N;SG	N;NEUT;SG
jumlah	hoeveelheid	jumlah	hoeveelheid	N;SG	N;MASC+FEM;SG
jumlah	kwantiteit	jumlah	kwantiteit	N;SG	N;MASC+FEM;SG
kata	woord	kata	woord	N;SG	N;NEUT;SG
kata	kata	kata	kata	N;SG	N;MASC+FEM;SG
penduduk	inwoner	penduduk	inwoner	N;SG	N;MASC+FEM;SG
penduduk	bevolking	penduduk	bevolking	N;SG	N;MASC+FEM;SG
penduduk	populatie	penduduk	populatie	N;SG	N;MASC+FEM;SG
bawah	bodem	bawah	bodem	N;SG	N;MASC+FEM;SG
bawah	onderkant	bawah	onderkant	N;SG	N;MASC+FEM;SG
bawah	bottom	bawah	bottom	N;SG	N;MASC+FEM;SG
sebelum	vóór	sebelum	voor	ADP	ADP
awal	vroeg	awal	vroeg	ADJ;SG	ADJ
awal	vroege	awal	vroeg	ADJ;SG	ADJ
terjadi	gebeurde	terjadi	gebeuren	V;SG;PASS	V;SG;PST;FIN
data	data	data	data	N;SG	N;MASC+FEM;SG
terdiri	gecomponeerd	terdiri	componeren	V;SG;PASS	V;V.PTCP
terdiri	samengesteld	terdiri	samenstellen	V;SG;PASS	V;V.PTCP
artikel	artikel	artikel	artikel	N;SG	N;NEUT;SG
tanduk	gewei	tanduk	gewei	N	N;NEUT;SG
tanduk	hoorns	tanduk	hoorn	N	N;PL
tanduk	toeters	tanduk	toeter	N	N;PL
tanduk	horens	tanduk	horens	N	N;PL
tanduk	horn	tanduk	horn	N	N;MASC+FEM;SG
tanduk	hoorn	tanduk	hoorn	N	N;MASC+FEM;SG
karya	meesterwerk	karya	meesterwerk	N;SG	N;NEUT;SG
tanah	grond	tanah	grond	N;SG	N;MASC+FEM;SG
tanah	land	tanah	land	N;SG	N;NEUT;SG
tanah	bodem	tanah	bodem	N;SG	N;MASC+FEM;SG
tanah	grond	tanah	grond	N;SG	N;MASC+FEM;SG
tanah	tanah	tanah	tanah	N;SG	N;MASC+FEM;SG
tanah	grond	tanah	grond	N;SG	N;MASC+FEM;SG
jpg	jpg	jpg	jpg	N	N;MASC+FEM;SG
abad	abad	abad	abad	N;SG	N;MASC+FEM;SG
abad	eeuw	abad	eeuw	N;SG	N;MASC+FEM;SG
perusahaan	corporatie	perusahaan	corporatie	N;SG	N;MASC+FEM;SG
perusahaan	corporation	perusahaan	corporation	N;SG	N;MASC+FEM;SG
perusahaan	gezelschap	perusahaan	gezelschap	N;SG	N;NEUT;SG
perusahaan	bedrijf	perusahaan	bedrijf	N;SG	N;NEUT;SG
perusahaan	onderneming	perusahaan	onderneming	N;SG	N;MASC+FEM;SG
perusahaan	werkgever	perusahaan	werkgever	N;SG	N;MASC+FEM;SG
perusahaan	werkgever	perusahaan	werkgever	N;SG	N;MASC+FEM;SG
style	stijl	style	stijl	N	N;MASC+FEM;SG
cukup	genoeg	cukup	genoeg	ADV	ADV
ditebang	geveld	ditebang	vellen	V;SG;PASS	V;V.PTCP
musim	seizoen	musim	seizoen	N;SG	N;NEUT;SG
bola	bola	bola	bola	N;SG	N;MASC+FEM;SG
bola	bol	bola	bol	N;SG	N;MASC+FEM;SG
bola	bal	bola	bal	N;SG	N;MASC+FEM;SG
bola	ball	bola	ball	N;SG	N;MASC+FEM;SG
pemerintah	regering	penperintah	regering	N;SG	N;MASC+FEM;SG
pemerintah	overheid	penperintah	overheid	N;SG	N;MASC+FEM;SG
setiap	iedere	setiap	ieder	DET	DET
setiap	elke	setiap	elk	DET	DET
setiap	elke	setiap	elk	DET	DET
setiap	elke	setiap	elk	DET	DET
juni	june	juni	june	N;SG	N;MASC+FEM;SG
muda	jonge	muda	jong	ADJ;SG	ADJ
muda	jong	muda	jong	ADJ;SG	ADJ
muda	jeugdige	muda	jeugdig	ADJ;SG	ADJ
desember	dec	desember	dec	N;SG	N;MASC+FEM;SG
bidang	veld	bidang	veld	N;SG	N;NEUT;SG
kepala	hoofd	kepala	hoofd	N;SG	N;NEUT;SG
kepala	head	kepala	head	N;SG	N;MASC+FEM;SG
kepala	chef	kepala	chef	N;SG	N;MASC+FEM;SG
kepala	chief	kepala	chief	N;SG	N;MASC+FEM;SG
kepala	opperhoofd	kepala	opperhoofd	N;SG	N;NEUT;SG
pusat	centrum	pusat	centrum	N;SG	N;NEUT;SG
pusat	centrum	pusat	centrum	N;SG	N;NEUT;SG
agustus	august	agustus	august	N;SG	N;MASC+FEM;SG
agustus	aug	agustus	aug	N;SG	N;MASC+FEM;SG
internasional	internationaal	internasional	internationaal	ADJ;SG	ADJ
internasional	intercultureel	internasional	intercultureel	ADJ;SG	ADJ
internasional	interculturele	internasional	intercultureel	ADJ;SG	ADJ
sumber	bron	sumber	bron	N;SG	N;MASC+FEM;SG
manusia	mens	manusia	mens	N;SG	N;MASC+FEM;SG
manusia	man	manusia	man	N;SG	N;MASC+FEM;SG
sejarah	geschiedenis	sejarah	geschiedenis	N;SG	N;MASC+FEM;SG
gereja	kerk	gereja	kerk	N;SG	N;MASC+FEM;SG
dasar	fundamentele	dasar	fundamenteel	ADJ;SG	ADJ
dasar	basic	dasar	basic	ADJ;SG	ADJ
diri	self	diri	self	N;SG	N;MASC+FEM;SG
pemain	speler	penmain	speler	N;SG	N;MASC+FEM;SG
pemain	player	penmain	player	N;SG	N;MASC+FEM;SG
program	programma	program	programma	N;SG	N;NEUT;SG
program	programma	program	programma	N;SG	N;NEUT;SG
pesawat	vliegtuig	pesawat	vliegtuig	N;SG	N;NEUT;SG
pesawat	luchtvaartuig	pesawat	luchtvaartuig	N;SG	N;NEUT;SG
pesawat	vliegtuig	pesawat	vliegtuig	N;SG	N;NEUT;SG
pesawat	vliegtuig	pesawat	vliegtuig	N;SG	N;NEUT;SG
stasiun	station	stasiun	station	N;SG	N;NEUT;SG
nebula	nevel	nebula	nevel	N	N;MASC+FEM;SG
nebula	nevels	nebula	nevel	N	N;PL
lahir	geboren	lahir	geboren	V;SG;ACT	V;V.PTCP
bumi	aarde	bumi	aarde	N;SG	N;MASC+FEM;SG
bumi	earth	bumi	earth	N;SG	N;MASC+FEM;SG
bumi	bumi	bumi	bumi	N;SG	N;MASC+FEM;SG
dilakukan	gedaan	dilakukan	doen	V;SG;PASS	V;V.PTCP
bernama	genoemd	bernama	noemen	V;SG;ACT	V;V.PTCP
bernama	genaamd	bernama	genaamd	V;SG;ACT	V;V.PTCP
bernama	benoemde	bernama	benoemen	V;SG;ACT	V;V.PTCP
bentuk	shape	bentuk	shape	N;SG	N;MASC+FEM;SG
bentuk	vorm	bentuk	vorm	N;SG	N;MASC+FEM;SG
bentuk	vorm	bentuk	vorm	N;SG	N;MASC+FEM;SG
bentuk	formulier	bentuk	formulier	N;SG	N;NEUT;SG
sebelumnya	eerder	sebelumnya	eerder	ADV	ADV
proses	proces	proses	proces	N;SG	N;NEUT;SG
akhir	einde	akhir	einde	N;SG	N;NEUT;SG
akhir	eind	akhir	eind	N;SG	N;NEUT;SG
hasil	resultaat	hasil	resultaat	N;SG	N;NEUT;SG
hasil	rendement	hasil	rendement	N;SG	N;NEUT;SG
hasil	opbrengst	hasil	opbrengst	N;SG	N;MASC+FEM;SG
hasil	resultaat	hasil	resultaat	N;SG	N;NEUT;SG
dekat	dichtbij	dekat	dichtbij	ADJ;SG	ADJ
versi	versie	versi	versie	N;SG	N;MASC+FEM;SG
pemerintahan	regering	penperintahan	regering	N;SG	N;MASC+FEM;SG
pemerintahan	overheid	penperintahan	overheid	N;SG	N;MASC+FEM;SG
pemerintahan	bestuur	penperintahan	bestuur	N;SG	N;NEUT;SG
pemerintahan	governance	penperintahan	governance	N;SG	N;MASC+FEM;SG
pemerintahan	gouvernementele	penperintahan	gouvernementeel	N;SG	N;MASC+FEM;SG
republik	republik	republik	republik	N	N;MASC+FEM;SG
republik	republikein	republik	republikein	N	N;MASC+FEM;SG
republik	republikeinen	republik	republikein	N	N;PL
republik	republiek	republik	republiek	N	N;MASC+FEM;SG
sering	dikwijls	sering	dikwijls	ADV	ADV
group	groep	group	groep	N	N;MASC+FEM;SG
group	fractie	group	fractie	N	N;MASC+FEM;SG
