per	pour	per	pour	ADP	ADP
allenatore	dresseur	allenatore	dresseur	N;MASC;SG	N;MASC;SG
allenatore	formateur	allenatore	formateur	N;MASC;SG	N;MASC;SG
allenatore	entraîneur	allenatore	entraîneur	N;MASC;SG	N;MASC;SG
allenatore	entraineur	allenatore	entraîneur	N;MASC;SG	N;MASC;SG
allenatore	coach	allenatore	coach	N;MASC;SG	N;MASC;SG
allenatore	entraineur	allenatore	entraîneur	N;MASC;SG	N;MASC;SG
allenatore	entraîneur	allenatore	entraîneur	N;MASC;SG	N;MASC;SG
molti	plusieurs	molto	plusieurs	PRO;MASC;PL	PRO;PL
sistema	système	sistema	système	N;MASC;SG	N;MASC;SG
società	société	società	société	N;FEM	N;FEM;SG
società	compagnie	società	compagnie	N;FEM	N;FEM;SG
società	société	società	société	N;FEM	N;FEM;SG
maggiore	majeur	maggiore	majeur	ADJ;CMPR;SG	ADJ;MASC;SG
club	club	club	club	N;MASC	N;MASC;SG
regione	région	regione	région	N;FEM;SG	N;FEM;SG
sud	sud	sud	sud	N;MASC;SG	N;MASC;SG
sud	sud	sud	sud	N;MASC;SG	N;MASC;SG
discussione	discussion	discussione	discussion	N;FEM;SG	N;FEM;SG
discussione	débat	discussione	débat	N;FEM;SG	N;MASC;SG
discussione	débat	discussione	débat	N;FEM;SG	N;MASC;SG
padre	pére	padre	pére	N;MASC;SG	N;MASC;SG
padre	pere	padre	pere	N;MASC;SG	N;MASC;SG
padre	père	padre	père	N;MASC;SG	N;MASC;SG
linea	ligne	linea	ligne	N;FEM;SG	N;FEM;SG
linea	line	linea	line	N;FEM;SG	N;SG
pubblicato	publiée	pubblicare	publier	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
pubblicato	affiché	pubblicare	afficher	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
pubblicato	posté	pubblicare	posté	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
pubblicato	publié	pubblicare	publier	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
pubblicato	publiée	pubblicare	publier	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
pubblicato	publié	pubblicare	publier	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
carlo	charles	carlo	charle	N;MASC;SG	N;MASC;SG
carlo	karl	carlo	karl	N;MASC;SG	N;MASC;SG
progetto	projet	progetto	projet	N;MASC;SG	N;MASC;SG
primi	premières	primo	premier	ADJ;MASC;PL	ADJ;FEM;PL
primi	premiers	primo	premier	ADJ;MASC;PL	ADJ;MASC;PL
mai	jamais	mai	jamais	ADV	ADV
sito	site	sito	site	N;MASC;SG	N;MASC;SG
lungo	longue	lungo	long	ADJ;MASC;SG	ADJ;FEM;SG
lungo	long	lungo	long	ADJ;MASC;SG	ADJ;MASC;SG
uso	utilisation	uso	utilisation	N;MASC;SG	N;FEM;SG
uso	usage	uso	usage	N;MASC;SG	N;MASC;SG
uso	utilisation	uso	utilisation	N;MASC;SG	N;FEM;SG
tedesco	allemande	tedesco	allemand	ADJ;MASC;SG	ADJ;FEM;SG
uniti	unies	unito	uni	ADJ;MASC;PL	ADJ;FEM;PL
lavoro	travail	lavoro	travail	N;MASC;SG	N;MASC;SG
giorno	journée	giorno	journée	N;MASC;SG	N;FEM;SG
giorno	jour	giorno	jour	N;MASC;SG	N;MASC;SG
giorno	journee	giorno	journee	N;MASC;SG	N;FEM;SG
principale	principal	principale	principal	ADJ;SG	ADJ;MASC;SG
principale	principale	principale	principal	ADJ;SG	ADJ;FEM;SG
termine	terme	termine	terme	N;MASC;SG	N;MASC;SG
spesso	souvent	spesso	souvent	ADV	ADV
spesso	fréquemment	spesso	fréquemment	ADV	ADV
spesso	souvent	spesso	souvent	ADV	ADV
regno	royaume	regno	royaume	N;MASC;SG	N;MASC;SG
regno	règne	regno	règne	N;MASC;SG	N;MASC;SG
specie	espèces	specie	espèce	N;FEM	N;FEM;PL
specie	espèce	specie	espèce	N;FEM	N;FEM;SG
persone	personnes	persona	personne	N;FEM;PL	N;FEM;PL
persone	gens	persona	gens	N;FEM;PL	N;MASC;PL
persone	personnes	persona	personne	N;FEM;PL	N;FEM;PL
pagine	pages	pagina	page	N;FEM;PL	N;FEM;PL
pagine	pages	pagina	page	N;FEM;PL	N;FEM;PL
inizio	début	inizio	début	N;MASC;SG	N;MASC;SG
inizio	commencement	inizio	commencement	N;MASC;SG	N;MASC;SG
inizio	début	inizio	début	N;MASC;SG	N;MASC;SG
jpg	jpg	jpg	jpg	N	N;MASC;SG
episodio	épisode	episodio	épisode	N;MASC;SG	N;MASC;SG
episodio	episode	episodio	episoder	N;MASC;SG	N;MASC;SG
posizione	position	posizione	position	N;FEM;SG	N;FEM;SG
genere	genre	genere	genre	N;MASC;SG	N;MASC;SG
genere	sexe	genere	sexe	N;MASC;SG	N;MASC;SG
genere	genre	genere	genre	N;MASC;SG	N;MASC;SG
genere	genre	genere	genre	N;MASC;SG	N;MASC;SG
presidente	présidente	presidente	président	N;MASC;SG	N;FEM;SG
presidente	président	presidente	président	N;MASC;SG	N;MASC;SG
presidente	président	presidente	président	N;MASC;SG	N;MASC;SG
cosa	quoi	cosa	quoi	PRO;SG	PRO
militare	militaire	militare	militaire	ADJ;SG	ADJ;MASC;SG
uomo	man	uomo	man	N;MASC;SG	N;MASC;SG
uomo	mec	uomo	mec	N;MASC;SG	N;MASC;SG
uomo	homme	uomo	homme	N;MASC;SG	N;MASC;SG
meno	moins	meno	moins	ADV	ADV
meno	moins	meno	moins	ADV	ADV
campo	champ	campo	champ	N;MASC;SG	N;MASC;SG
campo	domaine	campo	domaine	N;MASC;SG	N;MASC;SG
giorni	jours	giorno	jour	N;MASC;PL	N;MASC;PL
giorni	journées	giorno	journée	N;MASC;PL	N;FEM;PL
carriera	carrière	carriera	carrière	N;FEM;SG	N;FEM;SG
carriera	carrière	carriera	carrière	N;FEM;SG	N;FEM;SG
mar	mar	mare	mar	N;MASC;SG	N;MASC;SG
mar	mar	mare	mar	N;MASC;SG	N;MASC;SG
scritto	ecrit	scrivere	ecrire	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
scritto	écrite	scrivere	écrire	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
scritto	écrit	scrivere	écrire	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
scritto	écrivit	scrivere	écrire	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
scritto	écrit	scrivere	écrire	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ora	désormais	ora	désormais	ADV	ADV
ora	maintenant	ora	maintenant	ADV	ADV
territorio	territoire	territorio	territoire	N;MASC;SG	N;MASC;SG
antonio	antoine	antonio	antoine	N;MASC;SG	N;MASC;SG
antonio	antoine	antonio	antoine	N;MASC;SG	N;MASC;SG
giuseppe	joseph	giuseppo	joseph	N;MASC;SG	N;MASC;SG
quasi	presque	quasi	presque	ADV	ADV
quasi	quasi	quasi	quasi	ADV	ADV
quasi	pratiquement	quasi	pratiquement	ADV	ADV
quasi	quasiment	quasi	quasiment	ADV	ADV
quasi	quasi	quasi	quasi	ADV	ADV
quasi	presque	quasi	presque	ADV	ADV
terra	earth	terra	earth	N;FEM;SG	N;MASC;SG
terra	terre	terra	terre	N;FEM;SG	N;FEM;SG
terra	terre	terra	terre	N;FEM;SG	N;FEM;SG
terra	terrain	terra	terrain	N;FEM;SG	N;MASC;SG
presente	actuel	presente	actuel	ADJ;SG	ADJ;MASC;SG
presente	présent	presente	présent	ADJ;SG	ADJ;MASC;SG
presente	présente	presente	présent	ADJ;SG	ADJ;FEM;SG
soprattutto	principalement	soprattutto	principalement	ADV	ADV
soprattutto	essentiellement	soprattutto	essentiellement	ADV	ADV
soprattutto	particulièrement	soprattutto	particulièrement	ADV	ADV
soprattutto	surtout	soprattutto	surtout	ADV	ADV
soprattutto	spécialement	soprattutto	spécialement	ADV	ADV
soprattutto	principalement	soprattutto	principalement	ADV	ADV
soprattutto	essentiellement	soprattutto	essentiellement	ADV	ADV
soprattutto	surtout	soprattutto	surtout	ADV	ADV
allora	ensuite	allora	ensuite	ADV	ADV
allora	alors	allora	alors	ADV	ADV
successo	succes	successo	succe	N;MASC;SG	N;MASC;SG
successo	succès	successo	succès	N;MASC;SG	N;MASC;SG
successo	réussite	successo	réussite	N;MASC;SG	N;FEM;SG
opere	travaux	opera	travail	N;FEM;PL	N;MASC;PL
opere	œuvres	opera	œuvre	N;FEM;PL	N;FEM;PL
opere	oeuvres	opera	oeuvre	N;FEM;PL	N;FEM;PL
ordine	ordre	ordine	ordre	N;MASC;SG	N;MASC;SG
ordine	commande	ordine	commande	N;MASC;SG	N;FEM;SG
categoria	catégorie	categoria	catégorie	N;FEM;SG	N;FEM;SG
epoca	époque	epoca	époque	N;FEM;SG	N;FEM;SG
produzione	production	produzione	production	N;FEM;SG	N;FEM;SG
strada	rue	strada	rue	N;FEM;SG	N;FEM;SG
strada	routier	strada	routier	N;FEM;SG	N;MASC;SG
strada	route	strada	route	N;FEM;SG	N;FEM;SG
strada	chemin	strada	chemin	N;FEM;SG	N;MASC;SG
corpo	organisme	corpo	organisme	N;MASC;SG	N;MASC;SG
corpo	carrosserie	corpo	carrosserie	N;MASC;SG	N;FEM;SG
corpo	organe	corpo	organe	N;MASC;SG	N;MASC;SG
corpo	corps	corpo	corps	N;MASC;SG	N;MASC;SG
scrittore	rédacteur	scrittore	rédacteur	N;MASC;SG	N;MASC;SG
scrittore	auteur	scrittore	auteur	N;MASC;SG	N;MASC;SG
scrittore	écrivain	scrittore	écrivain	N;MASC;SG	N;MASC;SG
scrittore	scénariste	scrittore	scénariste	N;MASC;SG	N;MASC;SG
file	fichiers	fila	fichier	N;MASC	N;MASC;PL
file	dossiers	fila	dossier	N;MASC	N;MASC;PL
