dan	та	dan	та	CONJ	CONJ
kabupaten	район	kabupaten	район	N;SG	N;INAN;NOM;MASC;SG
kumbang	жук	kumbang	жук	N	N;ANIM;NOM;MASC;SG
lalat	муха	lalat	муха	N;SG	N;ANIM;NOM;FEM;SG
lalat	лети	lalat	лета	N;SG	N;INAN;NOM;FEM;SG
genus	рід	genus	рід	N	N;INAN;NOM;MASC;SG
isi	контент	isi	контент	N;SG	N;INAN;NOM;MASC;SG
isi	вміст	isi	вміст	N;SG	N;INAN;NOM;MASC;SG
isi	зміст	isi	зміст	N;SG	N;INAN;NOM;MASC;SG
isi	вміст	isi	вміст	N;SG	N;INAN;NOM;MASC;SG
isi	зміст	isi	зміст	N;SG	N;INAN;NOM;MASC;SG
isi	заповнення	isi	заповнення	N;SG	N;INAN;NOM;NEUT;SG
daftar	перелік	daftar	перелік	N;SG	N;INAN;NOM;MASC;SG
daftar	список	daftar	список	N;SG	N;INAN;NOM;MASC;SG
baru	нове	baru	новий	ADJ;SG	ADJ;NOM;NEUT;SG
baru	нова	baru	новий	ADJ;SG	ADJ;NOM;FEM;SG
baru	новий	baru	новий	ADJ;SG	ADJ;NOM;MASC;SG
antara	між	antara	між	ADP	ADP;INS
barat	захід	barat	захід	N;SG	N;INAN;NOM;MASC;SG
wilayah	область	wilayah	область	N;SG	N;INAN;NOM;FEM;SG
wilayah	ділянка	wilayah	ділянка	N;SG	N;INAN;NOM;FEM;SG
wilayah	площа	wilayah	площа	N;SG	N;INAN;NOM;FEM;SG
wilayah	місцевість	wilayah	місцевість	N;SG	N;INAN;NOM;FEM;SG
wilayah	ділянку	wilayah	ділянка	N;SG	N;INAN;ACC;FEM;SG
wilayah	регіон	wilayah	регіон	N;SG	N;INAN;NOM;MASC;SG
wilayah	територія	wilayah	територія	N;SG	N;INAN;NOM;FEM;SG
tanggal	дату	tanggal	дата	N;SG;ACT	N;INAN;ACC;FEM;SG
tanggal	дата	tanggal	дата	N;SG;ACT	N;INAN;NOM;FEM;SG
tanggal	датою	tanggal	дата	N;SG;ACT	N;INAN;INS;FEM;SG
dunia	світ	dunia	світ	N;SG	N;INAN;NOM;MASC;SG
dunia	світе	dunia	світи	N;SG	N;INAN;NOM;MASC;SG
timur	схід	timur	схід	N;SG	N;INAN;NOM;MASC;SG
tempat	місце	tempat	місце	N;SG	N;INAN;NOM;NEUT;SG
dua	два	dua	два	NUM	NUM;NOM;MASC
dua	дві	dua	два	NUM	NUM;NOM;FEM
dua	двоє	dua	двоє	NUM	NUM;NOM
dua	двох	dua	два	NUM	NUM;ACC
selatan	південь	selatan	південь	N;SG	N;INAN;NOM;MASC;SG
september	вересня	september	вересень	N;SG	N;INAN;GEN;MASC;SG
september	вересень	september	вересень	N;SG	N;INAN;NOM;MASC;SG
anak	сина	anak	син	N;SG	N;ANIM;NOM;MASC;SG
anak	сину	anak	син	N;SG	N;ANIM;VOC;MASC;SG
anak	син	anak	син	N;SG	N;ANIM;NOM;MASC;SG
anak	дитя	anak	дитя	N;SG	N;INAN;NOM;NEUT;SG
anak	дитина	anak	дитина	N;SG	N;ANIM;NOM;FEM;SG
anak	нащадок	anak	нащадок	N;SG	N;ANIM;NOM;MASC;SG
species	виді	species	вид	N	N;INAN;DAT;MASC;SG
species	вид	species	вид	N	N;INAN;NOM;MASC;SG
species	види	species	вид	N	N;INAN;NOM;MASC;PL
hidup	життя	hidup	життя	N;SG	N;INAN;NOM;NEUT;SG
lagu	конкурс	lagu	конкурс	N;SG	N;INAN;NOM;MASC;SG
lagu	пісня	lagu	пісня	N;SG	N;INAN;NOM;FEM;SG
daerah	улус	daerah	улус	N;SG	N;INAN;NOM;MASC;SG
daerah	округ	daerah	округ	N;SG	N;INAN;NOM;MASC;SG
daerah	район	daerah	район	N;SG	N;INAN;NOM;MASC;SG
daerah	область	daerah	область	N;SG	N;INAN;NOM;FEM;SG
daerah	ділянка	daerah	ділянка	N;SG	N;INAN;NOM;FEM;SG
daerah	площа	daerah	площа	N;SG	N;INAN;NOM;FEM;SG
daerah	місцевість	daerah	місцевість	N;SG	N;INAN;NOM;FEM;SG
daerah	ділянку	daerah	ділянка	N;SG	N;INAN;ACC;FEM;SG
daerah	регіон	daerah	регіон	N;SG	N;INAN;NOM;MASC;SG
daerah	графство	daerah	графство	N;SG	N;INAN;NOM;NEUT;SG
daerah	повіт	daerah	повіт	N;SG	N;INAN;NOM;MASC;SG
daerah	жупанія	daerah	жупанія	N;SG	N;INAN;NOM;FEM;SG
daerah	розділ	daerah	розділ	N;SG	N;INAN;NOM;MASC;SG
daerah	секція	daerah	секція	N;SG	N;INAN;NOM;FEM;SG
sekolah	школа	sekolah	школа	N;SG	N;INAN;NOM;FEM;SG
sekolah	училище	sekolah	училище	N;SG	N;INAN;NOM;NEUT;SG
hanya	щойно	hanya	щойно	ADV	ADV
air	вода	air	вода	N;SG	N;INAN;NOM;FEM;SG
air	повітря	air	повітря	N;SG	N;INAN;NOM;NEUT;SG
terletak	знаходиться	terletak	знаходитися	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN
terletak	розташовано	terletak	розташовано	V;SG;PASS	V;PFV;IND;0;FIN
terletak	лежить	terletak	лежати	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN
terletak	бреше	terletak	брати	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN
hari	день	hari	день	N;SG	N;INAN;NOM;MASC;SG
hari	дню	hari	день	N;SG	N;INAN;DAT;MASC;SG
hari	дня	hari	день	N;SG	N;INAN;GEN;MASC;SG
hingga	до	hingga	до	ADP	ADP;GEN
sampai	до	sampai	до	ADP	ADP;GEN
digunakan	використовується	digunakan	використовуватися	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN
digunakan	використано	digunakan	використати	V;SG;PASS	V;PFV;IND;0;FIN
kali	тайм	kali	тайм	N;SG	N;INAN;NOM;MASC;SG
kali	час	kali	час	N;SG	N;INAN;NOM;MASC;SG
kali	таймс	kali	таймс	N;SG	N;INAN;NOM;MASC;SG
kali	час	kali	час	N;SG	N;INAN;NOM;MASC;SG
sama	рівне	sama	рівний	ADJ;SG	ADJ;NOM;NEUT;SG
sangat	дуже	sangat	дуже	ADV	ADV
sangat	сильно	sangat	сильно	ADV	ADV
sangat	надзвичайно	sangat	надзвичайно	ADV	ADV
album	альбому	album	альбий	N;SG	N;INAN;GEN;MASC;SG
album	альбом	album	альбом	N;SG	N;INAN;NOM;MASC;SG
hal	фішка	hal	фішка	N;SG	N;INAN;NOM;FEM;SG
hal	річ	hal	річ	N;SG	N;INAN;NOM;FEM;SG
panjang	довгий	panjang	довгий	ADJ;SG	ADJ;NOM;MASC;SG
panjang	довга	panjang	довга	ADJ;SG	ADJ;NOM;FEM;SG
anggota	член	anggota	член	N;SG	N;ANIM;NOM;MASC;SG
anggota	учасник	anggota	учасник	N;SG	N;ANIM;NOM;MASC;SG
anggota	учасника	anggota	учасник	N;SG	N;ANIM;ACC;MASC;SG
anggota	члена	anggota	член	N;SG	N;ANIM;ACC;MASC;SG
bisa	можна	bisa	можна	ADV	ADV
menggunakan	використати	mengunakan	використати	V;SG;ACT	V;PFV;NFIN
menggunakan	використовувати	mengunakan	використовувати	V;SG;ACT	V;IPFV;NFIN
menggunakan	використовує	mengunakan	використовувати	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
menggunakan	користується	mengunakan	користуватися	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
berasal	походити	berasal	походити	V;SG;ACT	V;PFV;NFIN
berasal	отримує	berasal	отримувати	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
utama	головний	utama	головний	ADJ;SG	ADJ;NOM;MASC;SG
utama	основне	utama	основний	ADJ;SG	ADJ;NOM;NEUT;SG
utama	головна	utama	головний	ADJ;SG	ADJ;NOM;FEM;SG
utama	основний	utama	основний	ADJ;SG	ADJ;NOM;MASC;SG
utama	основне	utama	основний	ADJ;SG	ADJ;NOM;NEUT;SG
utama	основна	utama	основний	ADJ;SG	ADJ;NOM;FEM;SG
disebut	згадала	disebut	згадати	V;SG;PASS	V;PFV;FEM;IND;SG;PST;FIN
disebut	згадав	disebut	згадати	V;SG;PASS	V;PFV;MASC;IND;SG;PST;FIN
disebut	згадував	disebut	згадувати	V;SG;PASS	V;IPFV;MASC;IND;SG;PST;FIN
disebut	викликала	disebut	викликати	V;SG;PASS	V;PFV;FEM;IND;SG;PST;FIN
disebut	називається	disebut	називатися	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN
kembali	повернутися	kembali	повернутися	V;SG;ACT	V;PFV;NFIN
kembali	повернулася	kembali	повернутися	V;SG;ACT	V;PFV;FEM;IND;SG;PST;FIN
sudah	уже	sudah	уже	ADV;SG;ACT	ADV
sudah	вже	sudah	вже	ADV;SG;ACT	ADV
menyebabkan	викликає	mensebabkan	викликати	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
menyebabkan	спричинити	mensebabkan	спричинити	V;SG;ACT	V;PFV;NFIN
masih	ще	masih	ще	ADV	ADV
masih	надалі	masih	надалі	ADV	ADV
masih	досі	masih	досі	ADV	ADV
lihat	подивитися	lihat	подивитися	V;SG;ACT	V;PFV;NFIN
lihat	бачу	lihat	бачити	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN
lihat	переглянути	lihat	переглянути	V;SG;ACT	V;PFV;NFIN
lihat	подивитися	lihat	подивитися	V;SG;ACT	V;PFV;NFIN
lihat	дивися	lihat	дитися	V;SG;ACT	V;IPFV;IMP;SG;2;FIN
lihat	дивись	lihat	дивися	V;SG;ACT	V;IPFV;IMP;SG;2;FIN
lihat	переглянути	lihat	переглянути	V;SG;ACT	V;PFV;NFIN
tinggi	високий	tinggi	високий	ADJ;SG	ADJ;NOM;MASC;SG
tinggi	висока	tinggi	високий	ADJ;SG	ADJ;NOM;FEM;SG
tinggi	значне	tinggi	значний	ADJ;SG	ADJ;NOM;NEUT;SG
tinggi	високе	tinggi	високий	ADJ;SG	ADJ;NOM;NEUT;SG
waktu	тайм	waktu	тайм	N;SG	N;INAN;NOM;MASC;SG
waktu	час	waktu	час	N;SG	N;INAN;NOM;MASC;SG
jenis	вид	jenis	вид	N;SG	N;INAN;NOM;MASC;SG
jenis	різновид	jenis	різновид	N;SG	N;INAN;NOM;MASC;SG
jenis	типу	jenis	тип	N;SG	N;INAN;NOM;MASC;SG
jenis	тип	jenis	тип	N;SG	N;INAN;NOM;MASC;SG
jakarta	джакарта	jakarta	джакарта	N;SG	N;INAN;NOM;FEM;SG
bulan	місяця	bulan	місяць	N;SG	N;INAN;GEN;MASC;SG
bulan	місяць	bulan	місяць	N;SG	N;INAN;NOM;MASC;SG
bulan	супутник	bulan	супутник	N;SG	N;INAN;NOM;MASC;SG
bulan	місяця	bulan	місяць	N;SG	N;INAN;GEN;MASC;SG
bulan	місяць	bulan	місяць	N;SG	N;INAN;NOM;MASC;SG
departemen	департамент	departemen	департамент	N;SG	N;INAN;NOM;MASC;SG
departemen	відділ	departemen	відділ	N;SG	N;INAN;NOM;MASC;SG
situs	сайт	situs	сайт	N;SG	N;INAN;NOM;MASC;SG
dikenal	впізнав	dikenal	впізнати	V;SG;PASS	V;PFV;MASC;IND;SG;PST;FIN
dikenal	визнано	dikenal	визнати	V;SG;PASS	V;PFV;IND;0;FIN
dikenal	визначив	dikenal	визначити	V;SG;PASS	V;PFV;MASC;IND;SG;PST;FIN
laba	прибуток	laba	прибуток	N;SG	N;INAN;NOM;MASC;SG
laba	павук	laba	павук	N;SG	N;ANIM;NOM;MASC;SG
membuat	створити	menbuat	створити	V;SG;ACT	V;PFV;NFIN
membuat	зробити	menbuat	зробити	V;SG;ACT	V;PFV;NFIN
mulai	запустити	mulai	запустити	V;SG;ACT	V;PFV;NFIN
mulai	розпочати	mulai	розпочати	V;SG;ACT	V;PFV;NFIN
mulai	запускати	mulai	запускати	V;SG;ACT	V;IPFV;NFIN
mulai	почати	mulai	почати	V;SG;ACT	V;PFV;NFIN
mulai	починаючи	mulai	починати	V;SG;ACT	V;IPFV;PRS;V.CVB
mulai	починається	mulai	починатися	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN
resmi	офіційна	resmi	офіційний	ADJ;SG	ADJ;NOM;FEM;SG
resmi	офіційний	resmi	офіційний	ADJ;SG	ADJ;NOM;MASC;SG
resmi	офіційне	resmi	офіційний	ADJ;SG	ADJ;NOM;NEUT;SG
sekitar	про	sekitar	про	ADP	ADP;ACC
sekitar	щодо	sekitar	щодо	ADP	ADP;GEN
udara	повітря	udara	повітря	N;SG	N;INAN;NOM;NEUT;SG
melalui	через	melalui	через	ADP	ADP;ACC
melalui	через	melalui	через	ADP	ADP;ACC
nasional	національна	nasional	національний	ADJ;SG	ADJ;NOM;FEM;SG
nasional	національне	nasional	національний	ADJ;SG	ADJ;NOM;NEUT;SG
nasional	національний	nasional	національний	ADJ;SG	ADJ;NOM;MASC;SG
sekarang	тепер	sekarang	тепер	ADV	ADV
sekarang	зараз	sekarang	зараз	ADV	ADV
perang	війна	perang	війна	N;SG	N;INAN;NOM;FEM;SG
perang	війна	perang	війна	N;SG	N;INAN;NOM;FEM;SG
perang	війни	perang	війна	N;SG	N;INAN;NOM;FEM;SG
tentang	про	tentang	про	ADP;SG;ACT	ADP;ACC
tentang	щодо	tentang	щодо	ADP;SG;ACT	ADP;GEN
pulau	пулау	pulau	пулати	N;SG	N;INAN;NOM;FEM;SG
pulau	острів	pulau	острів	N;SG	N;INAN;NOM;MASC;SG
rumah	дім	rumah	дім	N;SG	N;INAN;NOM;MASC;SG
rumah	домівка	rumah	домівка	N;SG	N;INAN;NOM;FEM;SG
rumah	будинок	rumah	будинок	N;SG	N;INAN;NOM;MASC;SG
pendidikan	освіта	pendidikan	освіта	N;SG	N;INAN;NOM;FEM;SG
laut	море	laut	море	N;SG	N;INAN;NOM;NEUT;SG
laut	океан	laut	океан	N;SG	N;INAN;NOM;MASC;SG
tim	команда	tim	команда	N;SG	N;INAN;NOM;FEM;SG
sistem	система	sistem	система	N;SG	N;INAN;NOM;FEM;SG
komune	комуни	komune	комуна	N	N;INAN;NOM;FEM;PL
komune	муніципалітетів	komune	муніципалітет	N	N;ANIM;ACC;MASC;PL
termasuk	включено	termasuk	включити	V	V;PFV;IND;0;FIN
termasuk	включаючи	termasuk	включати	V	V;IPFV;PRS;V.CVB
termasuk	включити	termasuk	включити	V	V;PFV;NFIN
termasuk	включати	termasuk	включати	V	V;IPFV;NFIN
termasuk	включено	termasuk	включити	V	V;PFV;IND;0;FIN
termasuk	входить	termasuk	входити	V	V;IPFV;IND;SG;3;PRS;FIN
termasuk	включає	termasuk	включати	V	V;IPFV;IND;SG;3;PRS;FIN
semua	усі	semua	увесь	DET	DET;NOM;PL
semua	всі	semua	весь	DET	DET;NOM;PL
larva	личинки	larva	личинка	N	N;ANIM;NOM;FEM;PL
larva	личинка	larva	личинка	N	N;ANIM;NOM;FEM;SG
batang	бар	batang	бар	N;SG	N;INAN;NOM;MASC;SG
batang	смужка	batang	смужка	N;SG	N;INAN;NOM;FEM;SG
sendiri	власний	sendiri	власний	ADJ;SG	ADJ;NOM;MASC;SG
matahari	сонця	matahari	сонце	N;SG	N;INAN;NOM;NEUT;SG
matahari	сонцю	matahari	сонце	N;SG	N;INAN;DAT;NEUT;SG
matahari	сонце	matahari	сонце	N;SG	N;INAN;NOM;NEUT;SG
presiden	президент	presiden	президент	N;SG	N;ANIM;NOM;MASC;SG
masyarakat	громада	masyarakat	громада	N;SG	N;INAN;NOM;FEM;SG
masyarakat	спільнота	masyarakat	спільнота	N;SG	N;INAN;NOM;FEM;SG
masyarakat	суспільство	masyarakat	суспільство	N;SG	N;INAN;NOM;NEUT;SG
masyarakat	товариства	masyarakat	товариство	N;SG	N;INAN;NOM;NEUT;SG
masyarakat	товариство	masyarakat	товариство	N;SG	N;INAN;NOM;NEUT;SG
pernah	ніколи	pernah	ніколи	ADV	ADV
tiga	троє	tiga	троє	NUM	NUM;NOM
tiga	три	tiga	три	NUM	NUM;NOM
jalan	дорога	jalan	дорога	N;SG;ACT	N;INAN;NOM;FEM;SG
musik	музика	musik	музика	N;SG	N;INAN;NOM;FEM;SG
musik	музику	musik	музика	N;SG	N;INAN;ACC;FEM;SG
musik	мюзикл	musik	мюзикл	N;SG	N;INAN;NOM;MASC;SG
planet	планета	planet	планета	N;SG	N;INAN;NOM;FEM;SG
umum	загальний	umum	загальний	ADJ;SG	ADJ;NOM;MASC;SG
umum	загальне	umum	загальний	ADJ;SG	ADJ;NOM;NEUT;SG
kerusakan	несправність	kerusakan	несправність	N;SG	N;INAN;NOM;FEM;SG
kerusakan	пошкодження	kerusakan	пошкодження	N;SG	N;INAN;NOM;NEUT;SG
kerusakan	сутичка	kerusakan	сутичка	N;SG	N;INAN;NOM;FEM;SG
kecil	малий	kecil	малий	ADJ;SG	ADJ;NOM;MASC;SG
kecil	маленька	kecil	маленький	ADJ;SG	ADJ;NOM;FEM;SG
kecil	маленький	kecil	маленький	ADJ;SG	ADJ;NOM;MASC;SG
kecil	незначна	kecil	незначний	ADJ;SG	ADJ;NOM;FEM;SG
kecil	незначний	kecil	незначний	ADJ;SG	ADJ;NOM;MASC;SG
menteri	секретар	menteri	секретар	N;SG	N;ANIM;NOM;MASC;SG
menteri	міністр	menteri	міністр	N;SG	N;ANIM;NOM;MASC;SG
menteri	міністру	menteri	міністр	N;SG	N;ANIM;DAT;MASC;SG
lagi	знов	lagi	знов	ADV	ADV
lagi	знову	lagi	знову	ADV	ADV
lagi	більше	lagi	більше	ADV	ADV;CMPR
jumlah	сума	jumlah	сума	N;SG	N;INAN;NOM;FEM;SG
jumlah	суму	jumlah	сума	N;SG	N;INAN;ACC;FEM;SG
jumlah	сума	jumlah	сума	N;SG	N;INAN;NOM;FEM;SG
jumlah	суму	jumlah	сума	N;SG	N;INAN;ACC;FEM;SG
jumlah	кількість	jumlah	кількість	N;SG	N;INAN;NOM;FEM;SG
kata	словом	kata	слово	N;SG	N;INAN;INS;NEUT;SG
kata	слово	kata	слово	N;SG	N;INAN;NOM;NEUT;SG
penduduk	жителька	penduduk	жителька	N;SG	N;ANIM;NOM;FEM;SG
penduduk	населення	penduduk	населення	N;SG	N;INAN;NOM;NEUT;SG
harus	слід	harus	слід	ADV;SG;ACT	ADV
harus	повинно	harus	повинно	ADV;SG;ACT	ADV
sebelum	перед	sebelum	перед	ADP	ADP;INS
sebelum	перед	sebelum	перед	ADP	ADP;INS
awal	рання	awal	ранній	ADJ;SG	ADJ;NOM;FEM;SG
awal	раннє	awal	ранній	ADJ;SG	ADJ;NOM;NEUT;SG
awal	ранній	awal	ранній	ADJ;SG	ADJ;NOM;MASC;SG
terjadi	сталося	terjadi	статися	V;SG;PASS	V;PFV;NEUT;IND;SG;PST;FIN
terjadi	відбулося	terjadi	відбутися	V;SG;PASS	V;PFV;NEUT;IND;SG;PST;FIN
terjadi	трапилося	terjadi	трапитися	V;SG;PASS	V;PFV;NEUT;IND;SG;PST;FIN
terjadi	трапилось	terjadi	трапитися	V;SG;PASS	V;PFV;NEUT;IND;SG;PST;FIN
terdiri	складено	terdiri	скласти	V;SG;PASS	V;PFV;IND;0;FIN
terdiri	складається	terdiri	складатися	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN
terdiri	складатись	terdiri	складатися	V;SG;PASS	V;IPFV;NFIN
artikel	стаття	artikel	стаття	N;SG	N;INAN;NOM;FEM;SG
artikel	статтю	artikel	стаття	N;SG	N;INAN;ACC;FEM;SG
tanduk	ріг	tanduk	ріг	N	N;INAN;NOM;MASC;SG
karya	шедевр	karya	шедевр	N;SG	N;INAN;NOM;MASC;SG
tanah	земля	tanah	земля	N;SG	N;INAN;NOM;FEM;SG
tanah	ґрунту	tanah	ґрунт	N;SG	N;INAN;GEN;MASC;SG
tanah	ґрунт	tanah	ґрунт	N;SG	N;INAN;NOM;MASC;SG
tanah	земля	tanah	земля	N;SG	N;INAN;NOM;FEM;SG
tanah	виноробстві	tanah	виноробство	N;SG	N;INAN;DAT;NEUT;SG
tanah	землею	tanah	земля	N;SG	N;INAN;INS;FEM;SG
tanah	землю	tanah	земля	N;SG	N;INAN;ACC;FEM;SG
abad	ст	abad	ст.	N;SG	N;INAN;NOM;NEUT;SG
abad	століття	abad	століття	N;SG	N;INAN;NOM;NEUT;SG
perusahaan	корпорація	perusahaan	корпорація	N;SG	N;INAN;NOM;FEM;SG
perusahaan	компанія	perusahaan	компанія	N;SG	N;INAN;NOM;FEM;SG
perusahaan	роботодавець	perusahaan	роботодавець	N;SG	N;ANIM;NOM;MASC;SG
style	стиль	style	стиль	N	N;INAN;NOM;MASC;SG
cukup	достатньо	cukup	достатньо	ADV	ADV
cukup	досить	cukup	досить	ADV	ADV
januari	січень	januari	січеня	N;SG	N;INAN;NOM;NEUT;SG
januari	січня	januari	січень	N;SG	N;INAN;GEN;MASC;SG
maret	березень	maret	березень	N;SG	N;INAN;NOM;MASC;SG
maret	березня	maret	березень	N;SG	N;INAN;GEN;MASC;SG
paling	найцікавіше	paling	найцікавіше	ADV	ADV;RL
musim	сезон	musim	сезон	N;SG	N;INAN;NOM;MASC;SG
musim	сезону	musim	сезон	N;SG	N;INAN;GEN;MASC;SG
bola	сфера	bola	сфера	N;SG	N;INAN;NOM;FEM;SG
bola	куля	bola	куля	N;SG	N;INAN;NOM;FEM;SG
bola	кулька	bola	кулька	N;SG	N;INAN;NOM;FEM;SG
bola	бал	bola	бал	N;SG	N;INAN;NOM;MASC;SG
pemerintah	правління	penperintah	правління	N;SG	N;INAN;NOM;NEUT;SG
pemerintah	уряд	penperintah	уряд	N;SG	N;INAN;NOM;MASC;SG
