der	tam	der	tam	ADV	ADV
deres	njihova	deres	njihov	DET;3	DET;NOM;FEM;SG;3
deres	njihove	deres	njihov	DET;3	DET;NOM;FEM;SG;3
deres	njihovi	deres	njihov	DET;3	DET;NOM;MASC;PL;3
deres	njihova	deres	njihov	DET;3	DET;NOM;FEM;SG;3
mange	številni	mange	številen	ADJ;PL	ADJ;NOM;MASC;PL
team	ekipa	team	ekipa	N;INDF;NEUT;SG	N;NOM;FEM;SG
team	team	team	teama	N;INDF;NEUT;SG	N;NOM;MASC;SG
danske	danske	dansk	danski	ADJ;PL	ADJ;NOM;FEM;PL
senere	pozneje	senere	pozno	ADV;CMPR	ADV;CMPR
senere	kasneje	senere	kasno	ADV;CMPR	ADV;CMPR
dog	kakorkoli	dog	kakorkoli	ADV	ADV
tidligere	prej	tidligere	prej	ADV;CMPR	ADV;CMPR
tidligere	prej	tidligere	prej	ADV;CMPR	ADV;CMPR
skal	mora	skulle	morati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
have	imajo	have	imeti	V;NFIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
have	imeti	have	imeti	V;NFIN;ACT	V;IPFV;NFIN
mere	bolj	mere	bolj	ADV;CMPR	ADV;CMPR
store	velike	stor	velik	ADJ;PL	ADJ;NOM;FEM;PL
store	velike	stor	velik	ADJ;PL	ADJ;NOM;FEM;PL
været	bil	være	biti	V;INDF;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
været	bila	være	biti	V;INDF;SG;PST;V.PTCP	V;FEM;SG;V.PTCP
sammen	skupaj	sammen	skupaj	ADV	ADV
bliver	ostal	blive	ostati	V;IND;PRS;FIN;ACT	V;PFV;MASC;SG;V.PTCP
vil	želiš	ville	želeti	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN
ham	ga	han	on	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;MASC;SG;3
omkring	glede	omkring	glede	ADV	ADV
omkring	naokrog	omkring	naokrog	ADV	ADV
kom	prišlo	komme	priti	V;IND;PST;FIN;ACT	V;PFV;NEUT;SG;V.PTCP
kom	prišel	komme	priti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
tre	tri	tre	trije	NUM	NUM;NOM;FEM;PL
tre	trije	tre	trije	NUM	NUM;NOM;MASC;PL
tre	tremi	tre	trije	NUM	NUM;NOM;FEM;PL
byen	mestu	by	mesto	N;DEF;MASC+FEM;SG	N;DAT;NEUT;SG
byen	mesto	by	mesto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
byen	mesto	by	mesto	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
byen	mestu	by	mesto	N;DEF;MASC+FEM;SG	N;DAT;NEUT;SG
maj	maja	maj	maj	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
dag	dan	dag	dan	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
her	tukaj	her	tukaj	ADV	ADV
tilbage	nazaj	tilbage	nazaj	ADV	ADV
kommune	občina	kommune	občina	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
død	smrt	død	smrt	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
dem	jih	de	on	PRO;ACC;PL;3	PRO;ACC;MASC;PL;3
findes	obstajajo	findes	obstajati	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
findes	obstaja	findes	obstajati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
august	avgusta	august	avgust	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
august	august	august	august	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
august	avgust	august	avgust	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gang	čas	gang	čas	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gang	časa	gang	čas	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
forskellige	drugačni	forskellig	drugačen	ADJ;PL	ADJ;NOM;MASC;PL
forskellige	različni	forskellig	različen	ADJ;PL	ADJ;NOM;MASC;PL
forskellige	različne	forskellig	različen	ADJ;PL	ADJ;NOM;FEM;PL
forskellige	razne	forskellig	razen	ADJ;PL	ADJ;NOM;FEM;PL
tid	čas	tid	čas	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tid	časa	tid	čas	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
nye	nove	ny	nov	ADJ;PL	ADJ;NOM;FEM;PL
januar	januar	januar	januar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
januar	januarja	januar	januar	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
stor	velika	stor	velik	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	velika	stor	velik	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	velik	stor	velik	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
når	kadar	når	kadar	CONJ	CONJ
når	ko	når	ko	CONJ	CONJ
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
juni	junij	juni	junij	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
juni	junija	juni	junij	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
kendt	znana	kendt	znan	ADJ;INDF;SG	ADJ;NOM;FEM;SG;V.PTCP
kendt	znan	kendt	znan	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
kendt	znano	kendt	znan	ADJ;INDF;SG	ADJ;NOM;NEUT;SG;V.PTCP
kendt	poznan	kendt	poznan	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
kendt	slaven	kendt	slaven	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG
kendt	znana	kendt	znan	ADJ;INDF;SG	ADJ;NOM;FEM;SG;V.PTCP
kendt	znan	kendt	znan	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
før	prej	før	prej	ADV	ADV;CMPR
sogn	župnijo	sogn	župen	N;INDF;NEUT;SG	N;ACC;FEM;SG
september	september	september	september	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
september	septembra	september	september	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
mest	najbolj	mest	najbolj	ADV;RL	ADV;RL
april	april	april	april	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
april	aprila	april	april	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
oktober	oktobra	oktober	oktober	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
oktober	oktober	oktober	oktober	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
marts	marec	marts	marec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
marts	marca	marts	marec	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
marts	pohod	marts	pohod	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
hele	cela	hel	cel	ADJ;DEF;SG	ADJ;NOM;FEM;SG
hele	celotno	hel	celoten	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
juli	julij	juli	julij	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
juli	julija	juli	julij	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
kirke	cerkev	kirke	cerkev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
række	vrstica	række	vrstica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
navn	ime	navn	ime	N;INDF;NEUT;SG	N;NOM;NEUT;SG
ofte	pogosto	ofte	pogosto	ADV	ADV
ofte	pogosto	ofte	pogosto	ADV	ADV
november	november	november	november	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
november	novembra	november	november	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
december	december	december	december	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
december	decembra	december	december	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
først	najprej	først	najprej	ADV	ADV;RL
mål	tarča	mål	tarča	N;INDF;NEUT;SG	N;NOM;FEM;SG
mål	cilj	mål	cilj	N;INDF;NEUT;SG	N;NOM;MASC;SG
mål	gol	mål	gol	N;INDF;NEUT;SG	N;NOM;MASC;SG
mål	cilj	mål	cilj	N;INDF;NEUT;SG	N;NOM;MASC;SG
film	filmi	film	film	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
film	filmi	film	film	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
film	filme	film	film	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
sidste	zadnji	sidste	zadnji	ADJ	ADJ;NOM;DEF;MASC;SG
sidste	poslednje	sidste	poslednji	ADJ	ADJ;NOM;NEUT;SG
sidste	zadnje	sidste	zadnji	ADJ	ADJ;NOM;FEM;PL
sidste	zadnja	sidste	zadnji	ADJ	ADJ;NOM;FEM;SG
noget	nekaj	nogen	nekaj	PRO;NEUT;SG	PRO;ACC;NEUT;SG
gik	hodil	gå	hoditi	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
indtil	dokler	indtil	dokler	CONJ	CONJ
februar	februarja	februar	februar	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
februar	februar	februar	februar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fire	štirje	fire	štirje	NUM	NUM;NOM;MASC;PL
fire	štiri	fire	štirje	NUM	NUM;ACC;FEM;PL
vandt	zmagali	vinde	zmagati	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
vandt	zmagala	vinde	zmagati	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
vandt	zmagal	vinde	zmagati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
inden	prej	inden	prej	ADV	ADV;CMPR
frem	naprej	frem	naprej	ADV	ADV
største	največji	stor	velik	ADJ;DEF;RL	ADJ;NOM;DEF;RL;MASC;SG
største	največja	stor	velik	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
største	največje	stor	velik	ADJ;DEF;RL	ADJ;NOM;RL;NEUT;SG
side	stran	side	stran	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
medlem	članica	medlem	članica	N;INDF;NEUT;SG	N;NOM;FEM;SG
medlem	član	medlem	član	N;INDF;NEUT;SG	N;NOM;MASC;SG
medlem	poslanec	medlem	poslanec	N;INDF;NEUT;SG	N;NOM;MASC;SG
større	večja	stor	velik	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	večje	stor	velik	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
større	večja	stor	velik	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	večji	stor	velik	ADJ;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
større	večje	stor	velik	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
større	večja	stor	velik	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	večji	stor	velik	ADJ;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
større	večje	stor	velik	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
spillede	igral	spille	igrati	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
spillede	igrala	spille	igrati	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
spillede	igralo	spille	igrati	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;V.PTCP
igen	spet	igen	spet	ADV	ADV
igen	znova	igen	znova	ADV	ADV
igen	ponovno	igen	ponovno	ADV	ADV
søn	sinko	søn	sinko	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
søn	sine	søn	sine	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
søn	sin	søn	sin	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
grund	razlog	grund	razlog	N;INDF;NEUT;SG	N;NOM;MASC;SG
tog	vzela	tage	vzeti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
tog	vzel	tage	vzeti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
amerikansk	ameriško	amerikansk	ameriški	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
amerikansk	ameriška	amerikansk	ameriški	ADJ;INDF;SG	ADJ;NOM;FEM;SG
lille	majhno	lille	majhen	ADJ;SG	ADJ;NOM;NEUT;SG
lille	majhen	lille	majhen	ADJ;SG	ADJ;NOM;INDF;MASC;SG
lille	majhna	lille	majhen	ADJ;SG	ADJ;NOM;FEM;SG
lille	mali	lille	mali	ADJ;SG	ADJ;NOM;DEF;MASC;SG
hendes	njene	hendes	njen	DET;3	DET;NOM;FEM;SG;3
hendes	njen	hendes	njen	DET;3	DET;NOM;MASC;SG;3
hendes	njena	hendes	njen	DET;3	DET;NOM;FEM;SG;3
hendes	njeno	hendes	njen	DET;3	DET;NOM;NEUT;SG;3
hendes	njeni	hendes	njen	DET;3	DET;NOM;MASC;SG;3
hendes	njen	hendes	njen	DET;3	DET;NOM;MASC;SG;3
hendes	njena	hendes	njen	DET;3	DET;NOM;FEM;SG;3
nord	sever	nord	sever	N;INDF	N;NOM;MASC;SG
kort	kratek	kort	kratek	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG
kort	kratka	kort	kratek	ADJ;INDF;SG	ADJ;NOM;FEM;SG
artikler	členi	artikel	člen	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
artikler	članki	artikel	članek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
artikler	izdelki	artikel	izdelek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
begyndte	začel	begynde	začeti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
begyndte	začela	begynde	začeti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
helt	popolnoma	helt	popolnoma	ADV	ADV
gamle	stare	gammel	star	ADJ;PL	ADJ;NOM;FEM;PL
gamle	stari	gammel	star	ADJ;PL	ADJ;NOM;MASC;PL
gange	časi	gang	čas	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
bedste	najboljša	god	dober	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
bedste	najboljši	god	dober	ADJ;DEF;RL	ADJ;NOM;DEF;RL;MASC;SG
bedste	najboljše	god	dober	ADJ;DEF;RL	ADJ;NOM;RL;NEUT;SG
amerikanske	ameriške	amerikansk	ameriški	ADJ;PL	ADJ;NOM;FEM;PL
tysk	nemško	tysk	nemški	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
tysk	nemška	tysk	nemški	ADJ;INDF;SG	ADJ;NOM;FEM;SG
meter	metrov	meter	meter	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	metrov	meter	meter	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
gruppe	skupino	gruppe	skupina	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
gruppe	skupina	gruppe	skupina	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
stedet	plac	sted	plac	N;DEF;NEUT;SG	N;NOM;MASC;SG
stedet	kraj	sted	kraj	N;DEF;NEUT;SG	N;NOM;MASC;SG
lige	naravnost	lige	naravnost	ADV	ADV
lige	enako	lige	enako	ADV	ADV
spillet	igral	spille	igrati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
spillet	igrala	spille	igrati	V;INDF;SG;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
spillet	igralo	spille	igrati	V;INDF;SG;PST;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
forbindelse	priključitev	forbindelse	priključitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
forbindelse	povezava	forbindelse	povezava	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
historie	zgodba	historie	zgodba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
historie	zgodbo	historie	zgodba	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
historie	zgodovina	historie	zgodovina	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
historie	zgodovino	historie	zgodovina	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
engelsk	angleški	engelsk	angleški	ADJ;INDF;SG	ADJ;NOM;MASC;SG
århundrede	stoletje	århundrede	stoletje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
stadig	vseeno	stadig	vseeno	ADV	ADV
sted	plac	sted	plac	N;INDF;NEUT;SG	N;NOM;MASC;SG
sted	kraj	sted	kraj	N;INDF;NEUT;SG	N;NOM;MASC;SG
sted	lokacija	sted	lokacija	N;INDF;NEUT;SG	N;NOM;FEM;SG
sted	lokacijo	sted	lokacija	N;INDF;NEUT;SG	N;ACC;FEM;SG
gift	poročen	gift	poročen	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
gift	poročena	gift	poročen	ADJ;INDF;SG	ADJ;NOM;FEM;SG;V.PTCP
center	središče	center	središče	N;INDF;NEUT;SG	N;NOM;NEUT;SG
center	center	center	center	N;INDF;NEUT;SG	N;NOM;MASC;SG
center	središče	center	središče	N;INDF;NEUT;SG	N;NOM;NEUT;SG
center	center	center	center	N;INDF;NEUT;SG	N;NOM;MASC;SG
forhold	razmerje	forhold	razmerje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
forhold	razmerje	forhold	razmerje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
forhold	zveza	forhold	zveza	N;INDF;NEUT;SG	N;NOM;FEM;SG
spiller	predvaja	spille	predvajati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
spiller	igrajo	spille	igrati	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
kommer	pride	komme	priti	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
kommer	prihaja	komme	prihajati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
især	posebej	især	posebej	ADV	ADV
kampe	vžigalice	kamp	vžigalica	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	borbe	kamp	borba	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	pretepi	kamp	pretepiti	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
kampe	tekme	kamp	tekma	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	igre	kamp	igra	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	igrah	kamp	igra	N;INDF;MASC+FEM;PL	N;ESS;FEM;PL
kampe	igrice	kamp	igrica	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	iger	kamp	igra	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
kampe	bitke	kamp	bitka	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	bitk	kamp	bitk	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
går	hodi	gå	hoditi	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
går	gre	gå	iti	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
fordi	ker	fordi	ker	CONJ	CONJ
syd	jug	syd	jug	N;INDF	N;NOM;MASC;SG
frederik	frederick	frederik	frederick	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ned	navzdol	ned	navzdol	ADV	ADV
form	oblika	form	oblika	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
form	obliko	form	oblika	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
form	oblika	form	oblika	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
form	obrazec	form	obrazec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
form	obliko	form	oblika	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
nogen	nekdo	nogen	nekdo	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
nogen	nekdo	nogen	nekdo	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
arbejde	delo	arbejde	delo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
land	dežela	land	dežela	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	država	land	država	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	državo	land	država	N;INDF;NEUT;SG	N;ACC;FEM;SG
land	dežela	land	dežela	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	kopno	land	kopno	N;INDF;NEUT;SG	N;NOM;NEUT;SG
land	zemljišče	land	zemljišče	N;INDF;NEUT;SG	N;NOM;NEUT;SG
land	zemljo	land	zemlja	N;INDF;NEUT;SG	N;ACC;FEM;SG
landet	dežela	land	dežela	N;DEF;NEUT;SG	N;NOM;FEM;SG
landet	država	land	država	N;DEF;NEUT;SG	N;NOM;FEM;SG
landet	državo	land	država	N;DEF;NEUT;SG	N;ACC;FEM;SG
børn	otroci	barn	otrok	N;INDF;NEUT;PL	N;NOM;MASC;PL
børn	otroci	barn	otrok	N;INDF;NEUT;PL	N;NOM;MASC;PL
http	http	http	http	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
lidt	rahlo	lidt	rahlo	ADV	ADV
verden	svet	verden	svet	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
lang	dolg	lang	dolg	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
lang	dolgi	lang	dolg	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
lang	dolga	lang	dolg	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
plads	sedež	plads	sedež	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plads	sedeža	plads	sedež	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plads	plac	plads	plac	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plads	kraj	plads	kraj	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plads	vesolje	plads	vesolje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
plads	prostor	plads	prostor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plads	space	plads	space	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
samtidig	sočasno	samtidig	sočasno	ADV	ADV
samtidig	istočasno	samtidig	istočasno	ADV	ADV
samtidig	sočasno	samtidig	sočasno	ADV	ADV
samtidig	hkrati	samtidig	hkrati	ADV	ADV
stort	velika	stor	velik	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
stort	velika	stor	velik	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
stort	velik	stor	velik	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
derefter	potem	derefter	potem	ADV	ADV
indeholder	vsebuje	indeholde	vsebovati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
indeholder	vsebujejo	indeholde	vsebovati	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
indeholder	vsebovati	indeholde	vsebovati	V;IND;PRS;FIN;ACT	V;IPFV;NFIN
indeholder	vsebuje	indeholde	vsebovati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
sprog	jezik	sprog	jezik	N;INDF;NEUT;SG	N;NOM;MASC;SG
set	videl	se	videti	V;INDF;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
set	obravnavati	se	obravnavati	V;INDF;SG;PST;V.PTCP	V;IPFV;NFIN
set	gledal	se	gledati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
set	opazoval	se	opazovati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
set	gledala	se	gledati	V;INDF;SG;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
kendte	vedel	kende	vedeti	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
kendte	vedela	kende	vedeti	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
gav	dal	give	dati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
