עשורים	десетилетия	עשור	десетилетие	N;MASC;PL	N;INDF;NEUT;PL
לאבד	губя	איבד	губя-(се)	V;NFIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
לאבד	губи	איבד	губя-(се)	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
לאבד	губиш	איבד	губя-(се)	V;NFIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
לאבד	губят	איבד	губя-(се)	V;NFIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
קדומות	предразсъдъци	קדום	предразсъдък	N;FEM;PL	N;INDF;MASC;PL
פיצוי	компенсация	פיצוי	компенсация	N;MASC;SG	N;INDF;FEM;SG
פיצוי	компенсиране	פיצוי	компенсиране	N;MASC;SG	N;INDF;NEUT;SG
פיצוי	обезщетение	פיצוי	обезщетение	N;MASC;SG	N;INDF;NEUT;SG
פיצוי	реституция	פיצוי	реституция	N;MASC;SG	N;INDF;FEM;SG
גשרים	мостове	גשר	мост	N;MASC;PL	N;INDF;MASC;PL
גשרים	мостовете	גשר	мост	N;MASC;PL	N;DEF;MASC;PL
נוחות	удобство	נוחות	удобство	N;FEM;SG	N;INDF;NEUT;SG
נוחות	комфорт	נוחות	комфорт	N;FEM;SG	N;INDF;MASC;SG
נוחות	утеха	נוחות	утех	N;FEM;SG	N;INDF;FEM;SG
נוחות	удобство	נוחות	удобство	N;FEM;SG	N;INDF;NEUT;SG
בעוצמה	интензивно	בעוצמה	интензивно	ADV	ADV
השערות	хипотези	השערה	хипотеза	N;FEM;PL	N;INDF;FEM;PL
השערות	косми	השערה	косъм	N;FEM;PL	N;INDF;MASC;PL
מוקדש	посветен	הוקדש	посветя-(се)	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
מוקדש	посветена	הוקדש	посветя-(се)	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
מוקדש	отдадена	הוקדש	отдам-(се)	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
מבטא	акцент	מבטא	акцент	N;MASC;SG	N;INDF;MASC;SG
מבטא	акцент	מבטא	акцент	N;MASC;SG	N;INDF;MASC;SG
הזמנה	резервация	הזמנה	резервация	N;FEM;SG	N;INDF;FEM;SG
הזמנה	резерват	הזמנה	резервам	N;FEM;SG	N;INDF;FEM;SG
הזמנה	покана	הזמנה	покана	N;FEM;SG	N;INDF;FEM;SG
הזמנה	ред	הזמנה	ред	N;FEM;SG	N;INDF;MASC;SG
הזמנה	поръчка	הזמנה	поръчка	N;FEM;SG	N;INDF;FEM;SG
הזמנה	резервация	הזמנה	резервация	N;FEM;SG	N;INDF;FEM;SG
הזמנה	покана	הזמנה	покана	N;FEM;SG	N;INDF;FEM;SG
כיתה	клас	כיתה	клас	N;FEM;SG	N;INDF;MASC;SG
כיתה	класа	כיתה	клас	N;FEM;SG	N;DEF;MASC;SG
הקומוניסטים	комунисти	הקומוניסטי	комунист	N	N;INDF;MASC;PL
הקומוניסטים	комунистите	הקומוניסטי	комунист	N	N;DEF;MASC;PL
אקדח	пистолет	אקדח	пистолет	N;MASC;SG	N;INDF;MASC;SG
אקדח	пистолет	אקדח	пистолет	N;MASC;SG	N;INDF;MASC;SG
אקדח	оръжие	אקדח	оръжие	N;MASC;SG	N;INDF;NEUT;SG
פיסול	скулптура	פיסול	скулптура	N;MASC;SG	N;INDF;FEM;SG
פיסול	скулптор	פיסול	скулптор	N;MASC;SG	N;INDF;MASC;SG
הגבלות	ограниченията	הגבלה	ограничение	N;FEM;PL	N;DEF;NEUT;PL
הגבלות	ограничения	הגבלה	ограничение	N;FEM;PL	N;INDF;NEUT;PL
הגבלות	граници	הגבלה	граница	N;FEM;PL	N;INDF;FEM;PL
הגבלות	ограничения	הגבלה	ограничение	N;FEM;PL	N;INDF;NEUT;PL
קברים	гробници	קבר	гробница	N;MASC;PL	N;INDF;FEM;PL
קברים	гробове	קבר	гроб	N;MASC;PL	N;INDF;MASC;PL
קברים	гробовете	קבר	гроб	N;MASC;PL	N;DEF;MASC;PL
דמוקרטי	демократ	דמוקרטי	демократ	N;MASC;SG	N;INDF;MASC;SG
ספציפיים	конкретни	ספציפיים	конкретен	ADJ;MASC;PL	ADJ;INDF;PL
ספציפיים	специфични	ספציפיים	специфичен	ADJ;MASC;PL	ADJ;INDF;PL
חוקיים	правни	חוקי	правен	ADJ;MASC;PL	ADJ;INDF;PL
הזדמנויות	възможности	הזדמנות	възможност	N;FEM;PL	N;INDF;FEM;PL
חובות	дългове	חוב	дълг	N;MASC;PL	N;INDF;MASC;PL
חובות	мита	חוב	мито	N;MASC;PL	N;INDF;NEUT;PL
חובות	задължения	חוב	задължение	N;MASC;PL	N;INDF;NEUT;PL
קומית	комично	קומי	комично	ADV	ADV
צלילים	звуци	צליל	звук	N;MASC;PL	N;INDF;MASC;PL
סיקור	отразяване	סיקור	отразяване	N;MASC;SG	N;INDF;NEUT;SG
סיקור	покритие	סיקור	покритие	N;MASC;SG	N;INDF;NEUT;SG
קומה	подът	קומה	под	N;FEM;SG	N;INDF;MASC;SG
קומה	пода	קומה	под	N;FEM;SG	N;DEF;MASC;SG
קומה	етаж	קומה	етаж	N;FEM;SG	N;INDF;MASC;SG
לדחות	отложи	דחה	отложа-(се)	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN
חיסול	елиминиране	חיסול	елиминиране	N;MASC;SG	N;INDF;NEUT;SG
שותפה	съдружник	שותף	съдружник	N;FEM;SG	N;INDF;MASC;SG
שותפה	партньор	שותף	партньор	N;FEM;SG	N;INDF;MASC;SG
שותפה	съквартирантка	שותף	съквартирантка	N;FEM;SG	N;INDF;FEM;SG
שותפה	сътрудник	שותף	сътрудник	N;FEM;SG	N;INDF;MASC;SG
שותפה	съдружник	שותף	съдружник	N;FEM;SG	N;INDF;MASC;SG
נסיגה	завръщане	נסיגה	завръщане	N;FEM;SG	N;INDF;NEUT;SG
נסיגה	отстъпление	נסיגה	отстъпление	N;FEM;SG	N;INDF;NEUT;SG
נסיגה	отнемане	נסיגה	отнемане	N;FEM;SG	N;INDF;NEUT;SG
נסיגה	теглене	נסיגה	теглене	N;FEM;SG	N;INDF;NEUT;SG
נסיגה	оттегляне	נסיגה	оттегляне	N;FEM;SG	N;INDF;NEUT;SG
רפורמה	реформата	רפורמה	реформа	N;FEM;SG	N;DEF;FEM;SG
רפורמה	реформиране	רפורמה	реформиране	N;FEM;SG	N;INDF;NEUT;SG
רפורמה	реформа	רפורמה	реформа	N;FEM;SG	N;INDF;FEM;SG
מעשים	деяния	מעשה	деяние	N;MASC;PL	N;INDF;NEUT;PL
מעשים	актове	מעשה	акт	N;MASC;PL	N;INDF;MASC;PL
מעשים	дела	מעשה	дело	N;MASC;PL	N;INDF;NEUT;PL
מעשים	действия	מעשה	действие	N;MASC;PL	N;INDF;NEUT;PL
מעשים	постъпки	מעשה	постъпка	N;MASC;PL	N;INDF;FEM;PL
מעשים	искове	מעשה	иск	N;MASC;PL	N;INDF;MASC;PL
אחסון	склад	אחסון	склад	N;MASC;SG	N;INDF;MASC;SG
אחסון	съхранение	אחסון	съхранение	N;MASC;SG	N;INDF;NEUT;SG
אחסון	складиране	אחסון	складиране	N;MASC;SG	N;INDF;NEUT;SG
אחסון	съхраняване	אחסון	съхраняване	N;MASC;SG	N;INDF;NEUT;SG
אובייקט	предмет	אובייקט	предмет	N;MASC;SG	N;INDF;MASC;SG
אובייקט	обект	אובייקט	обект	N;MASC;SG	N;INDF;MASC;SG
מחווה	почит	מחווה	почит	N;FEM;SG	N;INDF;FEM;SG
מחווה	поклон	מחווה	поклон	N;FEM;SG	N;INDF;MASC;SG
מחווה	жест	מחווה	жест	N;FEM;SG	N;INDF;MASC;SG
מחווה	почит	מחווה	почит	N;FEM;SG	N;INDF;FEM;SG
מושפע	повлиян	הושפע	повлиян-(се)	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
מושפע	засегнато	הושפע	засегна-(се)	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
מסורתיים	традиционни	מסורתי	традиционен	ADJ;MASC;PL	ADJ;INDF;PL
מהפכה	революция	מהפכה	революция	N;FEM;SG	N;INDF;FEM;SG
חשף	разкри	חשף	разкрия-(се)	V;MASC;SG;3;PST;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
לפתע	внезапно	לפתע	внезапно	ADV	ADV
לפתע	изведнъж	לפתע	изведнъж	ADV	ADV
מסים	данъците	מס	данък	N;MASC;PL	N;DEF;MASC;PL
מסים	данъци	מס	данък	N;MASC;PL	N;INDF;MASC;PL
אמינות	надеждност	אמינות	надеждност	N;FEM;SG	N;INDF;FEM;SG
אמינות	автентичност	אמינות	автентичност	N;FEM;SG	N;INDF;FEM;SG
נוסחה	формула	נוסחה	формула	N;FEM;SG	N;INDF;FEM;SG
נעורים	младежи	נעורים	младеж	N;MASC;PL	N;INDF;MASC;PL
דירה	апартамент	דירה	апартамент	N;FEM;SG	N;INDF;MASC;SG
דירה	плоска	דירה	плоска	N;FEM;SG	N;INDF;FEM;SG
דירה	апартамент	דירה	апартамент	N;FEM;SG	N;INDF;MASC;SG
בקושי	едвам	בקושי	едвам	ADV	ADV
בקושי	едва	בקושי	едва	ADV	ADV
תזונה	храненето	תזונה	хранене	N;FEM;SG	N;DEF;NEUT;SG
תזונה	хранене	תזונה	хранене	N;FEM;SG	N;INDF;NEUT;SG
השקעה	инвестиране	השקעה	инвестиране	N;FEM;SG	N;INDF;NEUT;SG
השקעה	инвестирането	השקעה	инвестиране	N;FEM;SG	N;DEF;NEUT;SG
השקעה	инвестиране	השקעה	инвестиране	N;FEM;SG	N;INDF;NEUT;SG
השקעה	инвестиция	השקעה	инвестиция	N;FEM;SG	N;INDF;FEM;SG
אבירים	рицарите	אבירים	рицар	N;MASC;PL	N;DEF;MASC;PL
אבירים	рицари	אבירים	рицар	N;MASC;PL	N;INDF;MASC;PL
אלגברה	алгебра	אלגברה	алгебра	N;FEM;SG	N;INDF;FEM;SG
ראיונות	интервюта	ריאיון	интервю	N;MASC;PL	N;INDF;NEUT;PL
