भित्ति	väggmålning	भित्ति	väggmålning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
चेन	kedja	चेन	kedja	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
चेन	kedjan	चेन	kedjan	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
आर्द्रता	luftfuktighet	आर्द्रता	luftfuktighet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
आर्द्रता	fukt	आर्द्रता	fukt	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
आर्द्रता	fuktighet	आर्द्रता	fuktighet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
ऑक्सीकरण	oxidation	ऑक्सीकरण	oxidation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
समन्वित	samordnade	समन्वित	samordna	ADJ;NOM	ADJ;NOM;PL;PST;V.PTCP
समन्वित	samordnat	समन्वित	samordnad	ADJ;NOM	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
समन्वित	samordnad	समन्वित	samordna	ADJ;NOM	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
संचिका	arkiv	संचिका	arkiv	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
संचिका	file	संचिका	file	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
संचिका	fil	संचिका	fil	N;NOM;FEM;SG;3	N
दाखिला	inskrivning	दाखिला	inskrivning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
स्पष्टीकरण	förklaring	स्पष्टीकरण	förklaring	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
स्पष्टीकरण	klargörande	स्पष्टीकरण	klargörande	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
स्पष्टीकरण	förtydligande	स्पष्टीकरण	förtydligande	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
निराश	besviken	निराश	besviken	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
निराश	besvikna	निराश	besviken	ADJ	ADJ;NOM;PL
निराश	frustrerade	निराश	frustrera	ADJ	ADJ;NOM;PL;PST;V.PTCP
निराश	frustrerad	निराश	frustrera	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
यूट्यूब	youtube	यूट्यूब	youtube	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
शक्तियाँ	krafter	शक्ति	kraft	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शक्तियाँ	befogenheter	शक्ति	befogenhet	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शक्तियाँ	maktbefogenheter	शक्ति	maktbefogenhet	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
कारखाना	fabriken	कारखाना	fabrik	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
कारखाना	fabrik	कारखाना	fabrik	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कारखाना	factory	कारखाना	factory	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
फलक	bräda	फलक	bräda	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
फलक	brädet	फलक	bräd	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
फलक	styrelse	फलक	styrelse	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
फलक	board	फलक	board	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
फलक	styrelsen	फलक	styrelse	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
फलक	panelen	फलक	panel	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
फलक	panel	फलक	panel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मिसाल	liknelse	मिसाल	liknelse	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
निलंबित	upphävd	निलंबित	upphävd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
निलंबित	avstängda	निलंबित	avstängd	ADJ	ADJ;NOM;PL;PST;V.PTCP
निलंबित	avstängd	निलंबित	avstängd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
बंदूक	pistol	बंदूक	pistol	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
बंदूक	gun	बंदूक	gun	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
संतुष्टि	belåtenhet	संतुष्टि	belåtenhet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
संतुष्टि	tillfredsställelse	संतुष्टि	tillfredsställelse	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
संवेग	slagkraft	संवेग	slagkraft	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
संवेग	drivkraft	संवेग	drivkraft	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
वंशावली	släktforskning	वंशावली	släktforskning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
वंशावली	släktträd	वंशावली	släktträd	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
निमोनिया	lunginflammation	निमोनिया	lunginflammation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बचाया	räddade	बचा	rädda	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PST;FIN;ACT
एस्टेट	egendom	एस्टेट	egendom	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
विस्थापित	fördrivna	विस्थापित	fördriven	ADJ	ADJ;NOM;PL;PST;V.PTCP
उत्पीड़न	misshandel	उत्पीडन	misshandel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
उत्पीड़न	överfall	उत्पीडन	överfall	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कोकेन	kokain	कोकेन	koka	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
शाखाएं	branscher	शाखा	bransch	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शाखाएं	filialer	शाखा	filial	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शाखाएं	grenar	शाखा	gren	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
जानबूझकर	avsiktligt	जानबूझकर	avsiktlig	ADV	ADV
मानकीकरण	standardisering	मानकीकरण	standardisering	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
पुकारा	ringde	पुकार	ringa	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PST;FIN;ACT
पुकारा	ringt	पुकार	ringa	V;PFV;MASC;SG;V.PTCP;ACT	V;V.CVB;ACT
झंडा	flagga	झंडा	flagga	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
झंडा	flagg	झंडा	flagg	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
झंडा	flaggan	झंडा	flagga	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
ग्लास	glas	ग्लास	glas	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
घेर	omge	घेर	omge	V;ACT	V;IMP;FIN;ACT
घेर	omringar	घेर	omring	V;ACT	V;IND;PRS;FIN;ACT
घेर	omringa	घेर	omring	V;ACT	V;NFIN;ACT
घेर	omger	घेर	omge	V;ACT	V;IND;PRS;FIN;ACT
आंत	tarmen	आंत	tarm	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
आंत	tarm	आंत	tarm	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
आंत	magkänsla	आंत	magkänsla	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
फ़ुट	fot	फोुट	fot	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
क्रियान्वयन	genomförande	क्रियान्वयन	genomförande	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
क्रियान्वयन	implementering	क्रियान्वयन	implementering	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
क्रियान्वयन	genomförandet	क्रियान्वयन	genomförande	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
सिगार	cigarr	सिगार	ciger	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रक्रम	process	प्रक्रम	process	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रक्रम	processen	प्रक्रम	process	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
गवाह	vittne	गवाह	vittne	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
गवाह	vittne	गवाह	vittne	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
मजाक	skämt	मजाक	skämt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कांड	skandal	कांड	skandal	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कांड	skandalen	कांड	skandal	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
मिठाई	efterrätt	मिठा	efterrätt	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
मिठाई	dessert	मिठा	dessert	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
मिठाई	godis	मिठा	godis	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
बदलना	ändra	बदल	ändra	V;MASC;NFIN;ACT	V;IMP;FIN;ACT
बदलना	ändrar	बदल	ändra	V;MASC;NFIN;ACT	V;IND;PRS;FIN;ACT
बदलना	byta	बदल	byta	V;MASC;NFIN;ACT	V;NFIN;ACT
सड़कें	vägar	सड़क	väg	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
सड़कें	gator	सड़क	gata	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
सड़कें	gatorna	सड़क	gata	N;NOM;FEM;PL;3	N;NOM;DEF;MASC+FEM;PL
प्रीमियम	premie	प्रीमियम	premie	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
घेरा	omkrets	घेरा	omkrets	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
घेरा	belägring	घेरा	belägring	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
घेरा	belägringen	घेरा	belägring	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
घेरा	circle	घेरा	circle	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
घेरा	cirkel	घेरा	cirkel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
घेरा	cirkeln	घेरा	cirkel	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
एक्सेस	åtkomst	एक्सेस	åtkomst	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
एक्सेस	tillgång	एक्सेस	tillgång	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
एक्सेस	tillträde	एक्सेस	tillträde	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
स्क्रिप्ट	manus	स्क्रिप्ट	manus	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
स्क्रिप्ट	skript	स्क्रिप्ट	skript	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
स्क्रिप्ट	manus	स्क्रिप्ट	manus	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
स्क्रिप्ट	skript	स्क्रिप्ट	skript	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
गर्भगृह	helgedomen	गर्भगृह	helgedom	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
विपक्षी	antagonist	विपक्षी	antagonist	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बहिष्कार	bojkott	बहिष्कार	bojkott	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
खरीदारी	köp	खरीदारी	köp	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
खरीदारी	köpet	खरीदारी	köp	N;NOM;FEM;SG;3	N;NOM;DEF;NEUT;SG
खरीदारी	shopping	खरीदारी	shopping	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
शंकु	kon	शंकु	konna	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सिक्का	slant	सिक्का	slan	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
घोटाले	skandal	घोटाला	skandal	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
घोटाले	skandalen	घोटाला	skandal	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
लाभांश	utdelning	लाभांश	utdelning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
लाभांश	utdelningen	लाभांश	utdelning	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
दबा	dämpar	दबा	dämpa	V;ACT	V;IND;PRS;FIN;ACT
उत्कीर्ण	gravyr	उत्कीर्ण	gravyr	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
आटा	mjöl	आटा	mjöl	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
आटा	deg	आटा	eg	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जासूस	kriminalinspektör	जासूस	kriminalinspektör	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जासूस	detektiv	जासूस	detektiv	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जासूस	spion	जासूस	spion	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कार्यक्षेत्र	omfång	कार्यक्षेत्र	omfång	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कार्यक्षेत्र	omfattning	कार्यक्षेत्र	omfattning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कार्यक्षेत्र	tillämpningsområde	कार्यक्षेत्र	tillämpningsområde	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कार्यक्षेत्र	räckvidd	कार्यक्षेत्र	räckvidd	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कार्यक्षेत्र	arbetsplatsen	कार्यक्षेत्र	arbetsplats	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
कार्यक्षेत्र	arbetsplats	कार्यक्षेत्र	arbetsplats	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मोटरसाइकिल	motorcykel	मोटरसाइकिल	motorcykel	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पुनरावृत्ति	repris	पुनरावृत्ति	repris	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
बेड़े	flotta	बेड़ा	flotta	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बेड़े	flottan	बेड़ा	flottan	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
किशोरावस्था	tonåring	किशोरावस्था	tonåring	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
किशोरावस्था	tonåren	किशोरावस्था	tonår	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
पंद्रह	femton	पंद्रह	femton	NUM	NUM;NOM
महंगा	dyr	महंगा	dy	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
महंगा	dyrt	महंगा	dyr	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
मनोरंजक	skoj	मनोरंजक	skoj	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
मनोरंजक	underhållande	मनोरंजक	underhålla	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
सुन्नी	sunni	सुन्नी	sunni	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
डिवाइस	anordning	डिवाइस	anordning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
डिवाइस	enhet	डिवाइस	enhet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
डिवाइस	enheten	डिवाइस	enhet	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
ऑब्जेक्ट	objektet	ऑब्जेक्ट	objekt	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
ऑब्जेक्ट	objekt	ऑब्जेक्ट	objekt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
ऑब्जेक्ट	föremål	ऑब्जेक्ट	föremål	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
ऑब्जेक्ट	objekt	ऑब्जेक्ट	objekt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
ऑब्जेक्ट	föremål	ऑब्जेक्ट	föremål	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पेंटिंग	tavla	पेंटिंग	tavla	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पेंटिंग	målning	पेंटिंग	målning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
सूचियाँ	listor	सूची	listor	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
सूचियाँ	förteckningar	सूची	förteckning	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
कुर्सी	stol	कुर्सी	stol	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
सांचे	mögel	सांच	mögel	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
क्षितिज	horisont	क्षितिज	horisont	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
क्षितिज	horisonten	क्षितिज	horisont	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
दोहरा	dubbel	दोहरा	dubbel	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
दोहरा	dubbelt	दोहरा	dubbel	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
दोहरा	dubbel	दोहरा	dubbel	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
रैली	rally	रैली	rally	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
रैली	jamboree	रैली	jambare	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
संविदा	pakt	संविदा	pakt	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
संविदा	pakten	संविदा	pakt	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
संविदा	kontraktet	संविदा	kontrakt	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
संविदा	kontrakt	संविदा	kontrakt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
शोधकर्ता	forskare	शोधकर्ता	forskare	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
प्रक्षेपास्त्र	raket	प्रक्षेपास्त्र	rak	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
प्रक्षेपास्त्र	rocket	प्रक्षेपास्त्र	rock	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
प्रक्षेपास्त्र	missil	प्रक्षेपास्त्र	missil	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रक्षेपास्त्र	robot	प्रक्षेपास्त्र	robot	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
फोटोग्राफी	fotografering	फोटोग्राफी	fotografering	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
फोटोग्राफी	fotografi	फोटोग्राफी	fotografi	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
धड़	överkropp	धड़	överkropp	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
धड़	bålen	धड़	bål	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
धड़	bål	धड़	bål	N;NOM;MASC;SG;3	N;MASC+FEM;SG
धड़	bröstkorg	धड़	bröstkorg	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पैकेट	packet	पैकेट	packet	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
साउंडट्रैक	soundtrack	साउंडट्रैक	soundtrack	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
वार्तालाप	konversation	वार्तालाप	konversation	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
वार्तालाप	samtal	वार्तालाप	samtal	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
वार्तालाप	konversationen	वार्तालाप	konversation	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
वार्तालाप	samtal	वार्तालाप	samtal	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
टीले	sanddyner	टीला	sanddyn	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
वन्यजीव	djurliv	वन्यजीव	djurliv	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
रुझान	trend	रुझान	trend	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
रुझान	tendens	रुझान	tendens	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
रुझान	trenden	रुझान	trende	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
वेशभूषा	dräkt	वेशभूषा	dräkt	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
वेशभूषा	kostym	वेशभूषा	kostym	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पुस्तिका	broschyr	पुस्तिका	broschyr	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पुस्तिका	häfte	पुस्तिका	häfte	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
नाभि	navel	नाभि	navel	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
नाभि	naveln	नाभि	navel	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
आधुनिकता	modernitet	आधुनिकता	modernitet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
क्लाइंट	klienten	क्लाइंट	klient	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
क्लाइंट	kunden	क्लाइंट	kund	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
क्लाइंट	klient	क्लाइंट	klient	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
क्लाइंट	kund	क्लाइंट	kund	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
गर्भाधान	insemination	गर्भाधान	insemination	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
डायरी	dagboken	डायरी	dagbok	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
डायरी	dagbok	डायरी	dagbok	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
अपडेट	uppdatering	अपडेट	uppdatering	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चैम्पियन	champ	चैम्पियन	champ	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चैम्पियन	mästaren	चैम्पियन	mästare	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
