undervisningen	lesgeven	undervisning	lesgeven	N;DEF;MASC+FEM;SG	N;NEUT;SG
regn	regen	regn	regen	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nedbør	regenval	nedbør	regenval	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nedbør	neerslag	nedbør	neerslag	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nedbør	neerslag	nedbør	neerslag	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
bibliografi	bibliografie	bibliografi	bibliografie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kræft	kanker	kræft	kanker	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
strækninger	lijnen	strækning	lijn	N;INDF;MASC+FEM;PL	N;PL
strækninger	afdelingen	strækning	afdeling	N;INDF;MASC+FEM;PL	N;PL
strækninger	secties	strækning	sectie	N;INDF;MASC+FEM;PL	N;PL
malta	malta	malta	malta	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
dynasti	dynastie	dynasti	dynastie	N;INDF;NEUT;SG	N;MASC+FEM;SG
dynasti	dynasty	dynasti	dynasty	N;INDF;NEUT;SG	N;MASC+FEM;SG
kulturel	cultureel	kulturel	cultureel	ADJ;INDF;MASC+FEM;SG	ADJ
kulturel	culturele	kulturel	cultureel	ADJ;INDF;MASC+FEM;SG	ADJ
dagbog	tijdschrift	dagbog	tijdschrift	N;INDF;MASC+FEM;SG	N;NEUT;SG
dagbog	dagboek	dagbog	dagboek	N;INDF;MASC+FEM;SG	N;NEUT;SG
dagbog	dagboek	dagbog	dagboek	N;INDF;MASC+FEM;SG	N;NEUT;SG
nevø	neef	nevø	neef	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nevø	neefje	nevø	neefje	N;INDF;MASC+FEM;SG	N;NEUT;SG
journalister	journalisten	journalist	journalist	N;INDF;MASC+FEM;PL	N;PL
journalister	verslaggevers	journalist	verslaggever	N;INDF;MASC+FEM;PL	N;PL
journalister	journalisten	journalist	journalist	N;INDF;MASC+FEM;PL	N;PL
journalister	reporters	journalist	reporter	N;INDF;MASC+FEM;PL	N;PL
etage	vloer	etage	vloer	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
etage	verdieping	etage	verdieping	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
etage	floor	etage	floor	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
poesi	poëzie	poesi	poëzie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sektion	afdeling	sektion	afdeling	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sektion	sectie	sektion	sectie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
stan	stan	stan	stan	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mil	mijl	mil	mijl	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mil	mile	mil	mile	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mil	mijl	mil	mijl	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mil	mil	mil	millen	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
installeret	geïnstalleerde	installere	installeren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
installeret	geinstalleerd	installere	installeren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
installeret	geïnstalleerd	installere	installeren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
varmt	warm	varm	warm	ADJ;INDF;NEUT;SG	ADJ
varmt	warm	varm	warm	ADJ;INDF;NEUT;SG	ADJ
varmt	warme	varm	warm	ADJ;INDF;NEUT;SG	ADJ
passere	passeren	passere	passeren	V;NFIN;ACT	V;NFIN
ideologi	ideologie	ideologi	ideologie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
wrestlemania	wrestlemania	wrestlemania	wrestlemania	N;INDF;MASC+FEM;SG	N;NEUT;SG
udvalget	commissie	udvalg	commissie	N;DEF;NEUT;SG	N;MASC+FEM;SG
udvalget	comité	udvalg	comité	N;DEF;NEUT;SG	N;NEUT;SG
byområde	agglomeratie	byområde	agglomeratie	N;INDF;NEUT;SG	N;MASC+FEM;SG
byområde	agglomeratie	byområde	agglomeratie	N;INDF;NEUT;SG	N;MASC+FEM;SG
fungerende	functioneert	fungerende	functioneren	V;PRS;V.PTCP	V;SG;PRS;FIN
fungerende	functionerend	fungerende	functioneren	V;PRS;V.PTCP	V;V.PTCP
fungerende	functioneren	fungerende	functioneren	V;PRS;V.PTCP	V;NFIN
væske	vloeistof	væske	vloeistof	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
væske	vloeistof	væske	vloeistof	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
konklusion	conclusie	konklusion	conclusie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mursten	baksteen	mursten	baksteen	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
mursten	baksteen	mursten	baksteen	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
mursten	brick	mursten	brick	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
forfatningen	grondwet	forfatning	grondwet	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
forfatningen	constitutie	forfatning	constitutie	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
udkommet	gepubliceerd	udkomme	publiceren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udkommet	verschenen	udkomme	verschijnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udkommet	gepubliceerde	udkomme	publiceren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udkommet	uitgegeven	udkomme	uitgeven	V;INDF;SG;PST;V.PTCP	V;V.PTCP
spørger	vraagt	spørge	vraag	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
lejr	kamp	lejr	kamp	N;INDF;MASC+FEM;SG	N;NEUT;SG
inkluderede	inbegrepen	inkludere	inbegrip	V;PL;PST;V.PTCP	V;V.PTCP
stødte	gestoten	stod	stuiten	V;IND;PST;FIN;ACT	V;V.PTCP
stødte	ondervonden	stod	ondervinden	V;IND;PST;FIN;ACT	V;V.PTCP
stødte	tegengekomen	stod	tegenkomen	V;IND;PST;FIN;ACT	V;V.PTCP
sum	sum	sum	sum	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sum	som	sum	som	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
unikke	unieke	unik	uniek	ADJ;PL	ADJ
unikke	uniek	unik	uniek	ADJ;PL	ADJ
tove	tove	tov	tove	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
xbox	xbox	xbox	xbox	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
skygge	schaduw	skygge	schaduw	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
skygge	shadow	skygge	shadow	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
skygge	schaduw	skygge	schaduw	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
skygge	schaduw	skygge	schaduw	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
passage	oversteek	passage	oversteek	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
passage	doorgang	passage	doorgang	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
passage	passage	passage	passage	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
videoen	filmpje	videoen	filmp	N;DEF;MASC+FEM;SG	N;NEUT;SG
videoen	video	videoen	video	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
torv	plein	torv	plein	N;INDF;NEUT;SG	N;NEUT;SG
anhalt	anhalt	anhalt	anhalt	N;INDF;MASC+FEM;SG	N;NEUT;SG
levet	woonde	leve	wonen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
levet	leefde	leve	leven	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
afslører	onthult	afsløre	onthullen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
afslører	onthullen	afsløre	onthullen	V;IND;PRS;FIN;ACT	V;NFIN
afslører	onthult	afsløre	onthullen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
afslører	openbaren	afsløre	openbaar	V;IND;PRS;FIN;ACT	V;NFIN
eksperimenter	experimenten	eksperiment	experiment	N;INDF;MASC+FEM;PL	N;PL
eksperimenter	proefnemingen	eksperiment	proefneming	N;INDF;MASC+FEM;PL	N;PL
eksperimenter	experimenten	eksperiment	experiment	N;INDF;MASC+FEM;PL	N;PL
måler	meten	måle	meten	V;IND;PRS;FIN;ACT	V;NFIN
måler	opmeten	måle	opmeten	V;IND;PRS;FIN;ACT	V;NFIN
helena	helena	helena	helena	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
helena	helena	helena	helena	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
spiser	eten	spise	eten	V;IND;PRS;FIN;ACT	V;NFIN
spiser	eet	spise	emmen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
spiser	eten	spise	eten	V;IND;PRS;FIN;ACT	V;NFIN
skift	shift	skift	shift	N;INDF;NEUT;SG	N;MASC+FEM;SG
skift	verschuiving	skift	verschuiving	N;INDF;NEUT;SG	N;MASC+FEM;SG
skift	schakelaar	skift	schakelaar	N;INDF;NEUT;SG	N;MASC+FEM;SG
skift	switch	skift	switch	N;INDF;NEUT;SG	N;MASC+FEM;SG
skift	wissel	skift	wissel	N;INDF;NEUT;SG	N;MASC+FEM;SG
skift	wijziging	skift	wijziging	N;INDF;NEUT;SG	N;MASC+FEM;SG
skift	verandering	skift	verandering	N;INDF;NEUT;SG	N;MASC+FEM;SG
ordning	regeling	ordning	regeling	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ordning	systeem	ordning	systeem	N;INDF;MASC+FEM;SG	N;NEUT;SG
ordning	stelsel	ordning	stelsel	N;INDF;MASC+FEM;SG	N;NEUT;SG
ordning	regeling	ordning	regeling	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ordning	arrangement	ordning	arrangement	N;INDF;MASC+FEM;SG	N;NEUT;SG
klint	klif	klint	klif	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
klint	rots	klint	rots	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
klint	klip	klint	klip	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
klint	cliff	klint	cliff	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
spin	spin	spin	spin	N;INDF;NEUT;SG	N;MASC+FEM;SG
bnp	bnp	bnp	bnp	N;INDF;MASC+FEM;SG	N;NEUT;SG
bnp	bbp	bnp	bbp	N;INDF;MASC+FEM;SG	N;NEUT;SG
bnp	bnp	bnp	bnp	N;INDF;MASC+FEM;SG	N;NEUT;SG
døre	deuren	dør	deur	N;INDF;MASC+FEM;PL	N;PL
output	uitvoer	output	uitvoer	N;INDF;NEUT;SG	N;MASC+FEM;SG
output	output	output	outputten	N;INDF;NEUT;SG	N;MASC+FEM;SG
output	output	output	outputten	N;INDF;NEUT;SG	N;MASC+FEM;SG
båden	boot	båd	boot	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	N;NEUT;SG
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	N;NEUT;SG
düsseldorf	dusseldorf	düsseldorf	dusseldorf	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
highway	snelweg	highway	snelweg	N;INDF;NEUT;SG	N;MASC+FEM;SG
overskud	winst	overskud	winst	N;INDF;NEUT;SG	N;MASC+FEM;SG
overskud	overschot	overskud	overschot	N;INDF;NEUT;SG	N;NEUT;SG
overskud	surplus	overskud	surplus	N;INDF;NEUT;SG	N;NEUT;SG
overskud	winst	overskud	winst	N;INDF;NEUT;SG	N;MASC+FEM;SG
krydse	oversteken	krydse	oversteken	V;NFIN;ACT	V;NFIN
krydse	overschrijden	krydse	overschrijden	V;NFIN;ACT	V;NFIN
krydse	oversteken	krydse	oversteken	V;NFIN;ACT	V;NFIN
ris	rijst	ris	rijst	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ris	ris	ris	ris	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
barnebarn	kleindochter	barnebarn	kleindochter	N;INDF;NEUT;SG	N;MASC+FEM;SG
barnebarn	kleinkind	barnebarn	kleinkind	N;INDF;NEUT;SG	N;NEUT;SG
barnebarn	kleinzoon	barnebarn	kleinzoon	N;INDF;NEUT;SG	N;MASC+FEM;SG
henderson	henderson	henderson	henderson	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nyligt	kortgeleden	nyligt	kortgeleden	ADV	ADV
