kao	som	kao	som	CONJ	CONJ
stoljeća	sekler	stoljeće	sekel	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
drugi	annan	drugi	annan	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
drugi	övrig	drugi	övrig	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
drugi	övrigt	drugi	övrigt	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
jezik	språket	jezik	språk	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
jezik	språk	jezik	språk	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
bez	utan	bez	utan	ADP;GEN	ADP
vrlo	mycket	vrlo	mycket	ADV	ADV
kad	när	kad	när	ADV	ADV
klub	club	klub	club	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
klub	klubb	klub	klubb	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
klub	klubben	klub	klubb	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
klub	klubba	klub	klubba	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
film	film	film	film	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
film	film	film	film	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
kroz	igenom	kroz	igenom	ADP;ACC	ADP
kroz	genom	kroz	genom	ADP;ACC	ADP
ljudi	karlar	čovjek	karla	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
ljudi	män	čovjek	man	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
ljudi	människor	čovjek	människa	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
ljudi	personer	čovjek	person	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
ljudi	folk	čovjek	folk	N;NOM;MASC;PL	N;NOM;INDF;NEUT;PL
sad	nu	sad	nu	ADV	ADV
razgovor	konversation	razgovor	konversation	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
razgovor	samtal	razgovor	samtal	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
razgovor	konversationen	razgovor	konversation	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
razgovor	chatten	razgovor	chatt	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
razgovor	chatt	razgovor	chatt	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
među	bland	među	bland	ADP;INS	ADP
slika	bilden	slika	bild	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
slika	bild	slika	bild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	avbild	slika	avbild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	bilden	slika	bild	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
slika	image	slika	image	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	bild	slika	bild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	photo	slika	photo	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	foto	slika	foto	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
popis	förteckning	popis	förteckning	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
popis	list	popis	list	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
popis	lista	popis	lista	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
preko	över	preko	över	ADP;GEN	ADP
album	album	album	album	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
album	musikalbum	album	musikalbum	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
album	albumet	album	album	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
često	frekvent	često	frekvent	ADV	ADV
često	ofta	često	ofta	ADV	ADV
često	ofta	često	ofta	ADV	ADV
postao	blev	postati	bli	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
jedna	en	jedan	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;MASC+FEM;SG
jedna	ett	jedan	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;NEUT;SG
put	sätt	put	sätt	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
put	way	put	way	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
put	landsväg	put	landsväg	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
put	road	put	road	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
put	väg	put	väg	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
put	vägen	put	väg	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
imao	had	imati	had	V;MASC;SG;PST;V.PTCP;ACT	V;IMP;FIN;ACT
imao	hadde	imati	ha	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
imao	hade	imati	ha	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
imao	haft	imati	ha	V;MASC;SG;PST;V.PTCP;ACT	V;V.CVB;ACT
smrti	dödsfall	smrt	dödsfall	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
smrti	dödsfall	smrt	dödsfall	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
radi	funkar	raditi	funka	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
radi	arbetar	raditi	arbeta	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
radi	fungerar	raditi	fungera	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
zajedno	tillsammans	zajedno	tillsammans	ADV	ADV
druge	övriga	drugi	övrig	ADJ;NOM;FEM;PL	ADJ;NOM;PL
vrsta	typ	vrsta	typ	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
vrsta	art	vrsta	art	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
datoteka	arkiv	datoteka	arkiv	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
datoteka	file	datoteka	file	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
datoteka	fil	datoteka	fil	N;NOM;FEM;SG	N
poslije	efteråt	poslije	efteråt	ADV	ADV
država	landet	država	land	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
država	land	država	land	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
država	stat	država	stat	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
država	delstat	država	delstad	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
države	staterna	država	stat	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
države	stater	država	stat	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
države	delstater	država	delstat	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
države	länderna	država	land	N;NOM;FEM;PL	N;NOM;DEF;NEUT;PL
države	länder	država	land	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
porodica	familjen	porodica	familj	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
porodica	familj	porodica	familj	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
porodica	family	porodica	family	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
porodica	släkt	porodica	släkt	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
neki	vissa	neki	vissa	PRO;NOM;MASC;PL	PRO;INDF;PL
neki	somliga	neki	somlig	PRO;NOM;MASC;PL	PRO;INDF;PL
četiri	fyra	četiri	fyra	NUM	NUM;NOM
stranica	sida	stranica	sida	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
stranica	sidan	stranica	sida	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
naziv	namn	naziv	namn	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
naziv	name	naziv	name	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
naziv	avd	naziv	avd	N;NOM;MASC;SG	N
naziv	avdelning	naziv	avdelning	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
naziv	titel	naziv	titel	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
naziv	rubrik	naziv	rubrik	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
sastav	band	sastav	band	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
sastav	musikgrupp	sastav	musikgrupp	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
sastav	sammansättningen	sastav	sammansättning	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
sastav	sammansättning	sastav	sammansättning	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ona	hon	on	hon	PRO;NOM;FEM;SG;3	PRO;NOM;DEF;MASC+FEM;SG
način	läge	način	läge	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
način	sätt	način	sätt	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
način	way	način	way	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
rod	stång	rod	stång	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
rod	rod	rod	rod	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
rod	spö	rod	spö	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
povijest	historia	povijest	historia	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
povijest	historik	povijest	historik	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
povijest	historiken	povijest	historik	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
mjesta	platser	mjesto	plats	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
mjesta	ställen	mjesto	ställe	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
područje	area	područje	are	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
područje	område	područje	område	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
područje	området	područje	område	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
područje	yta	područje	yta	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
vremena	gånger	vrijeme	gång	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
vremena	tider	vrijeme	tid	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
vremena	tiderna	vrijeme	tid	N;NOM;NEUT;PL	N;NOM;DEF;MASC+FEM;PL
red	raden	red	rad	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
red	rad	red	rad	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
red	row	red	row	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
obitelji	familjer	obitelj	familj	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
njih	dem	oni	de	PRO;ACC;PL;3	PRO;ACC;DEF;PL
dobio	fick	dobiti	få	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
općina	kommunen	općina	kommun	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
općina	kommun	općina	kommun	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
općine	kommuner	općina	kommun	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
općine	kommunerna	općina	kommun	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
međutim	dock	međutim	dock	ADV	ADV
međutim	emellertid	međutim	emellertid	ADV	ADV
oni	de	oni	de	PRO;NOM;MASC;PL;3	PRO;NOM;DEF;PL
oni	dom	oni	de	PRO;NOM;MASC;PL;3	PRO;NOM;DEF;PL
uglavnom	huvudsakligen	uglavnom	huvudsakligen	ADV	ADV
ostali	övriga	ostao	övrig	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;PL
rijeke	floder	rijeka	flod	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
rijeke	floderna	rijeka	flod	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
područja	områden	područje	område	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;PL
dan	dag	dan	dag	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
dan	dagen	dan	dag	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
dan	day	dan	day	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
pjesme	dikter	pjesma	dikt	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
pjesme	låtar	pjesma	låta	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
pjesme	sånger	pjesma	sång	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
crkva	kyrkan	crkva	kyrka	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
crkva	kyrka	crkva	kyrka	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
zemlje	länderna	zemlja	land	N;NOM;FEM;PL	N;NOM;DEF;NEUT;PL
zemlje	länder	zemlja	land	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
čak	även	čak	även	ADV	ADV
neke	vissa	neki	vissa	PRO;NOM;FEM;PL	PRO;INDF;PL
neke	somliga	neki	somlig	PRO;NOM;FEM;PL	PRO;INDF;PL
djela	gärningar	djelo	gärning	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
djela	åtgärder	djelo	åtgärd	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
djela	insatser	djelo	insats	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
rijeka	river	rijeka	riva	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
rijeka	floden	rijeka	flyd	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
rijeka	flod	rijeka	flod	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
rat	kriget	rat	krig	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
rat	krig	rat	krig	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
naselja	bosättningarna	naselje	bosättning	N;NOM;NEUT;PL	N;NOM;DEF;MASC+FEM;PL
naselja	bosättningar	naselje	bosättning	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
ipak	ännu	ipak	ännu	ADV	ADV
ipak	ändå	ipak	ändå	ADV	ADV
com	com	com	com	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
član	medlem	član	medlem	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
član	medlemmen	član	medlem	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
član	ledamot	član	ledamot	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
dolazi	kommer	dolaziti	komma	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
velike	stora	velik	stor	ADJ;NOM;DEF;FEM;PL	ADJ;NOM;PL
život	life	život	life	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
život	livet	život	liv	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
život	livstid	život	livstid	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
život	liv	život	liv	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
knjiga	bok	knjiga	bok	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
knjiga	book	knjiga	book	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
rad	arbete	rad	arbete	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
rad	work	rad	work	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
vrste	arter	vrsta	art	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
vrste	typer	vrsta	typ	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
uvijek	alltid	uvijek	alltid	ADV	ADV
predsjednik	president	predsjednik	president	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
predsjednik	ordförande	predsjednik	ordförande	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
predsjednik	ordföranden	predsjednik	ordförande	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
predsjednik	talmannen	predsjednik	talman	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
sustav	systemet	sustav	system	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
sustav	system	sustav	system	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
joj	hennes	on	hon	PRO;DAT;FEM;SG;3	PRO;DEF
kralj	king	kralj	king	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
kralj	kungen	kralj	kung	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
kralj	kung	kralj	kung	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
kralj	konung	kralj	konung	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
nagrada	belöning	nagrada	belöning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nagrada	pris	nagrada	pris	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
nagrada	utmärkelse	nagrada	utmärkelse	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nagrada	tilldelning	nagrada	tilldelning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
stranice	sidorna	stranica	sida	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
stranice	sidor	stranica	sida	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
gotovo	nästan	gotovo	nästan	ADV	ADV
njega	honom	on	han	PRO;ACC;MASC;SG;3	PRO;ACC;DEF;MASC+FEM;SG
prava	rättigheter	pravo	rättighet	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
govori	talar	govoriti	tala	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
govori	talar	govoriti	tala	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
treba	behöver	trebati	behöva	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
treba	behöver	trebati	behöva	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
manje	mindre	malo	lite	ADV;CMPR	ADV;CMPR
manje	mindre	malo	lite	ADV;CMPR	ADV;CMPR
mnogo	mycket	mnogo	mycket	ADV	ADV
crkve	kyrkor	crkva	kyrka	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
smatra	anses	smatrati	anse	V;IND;SG;3;PRS;FIN	V;NFIN;PASS
nešto	något	nešto	någon	PRO;ACC;NEUT;3	PRO;INDF;NEUT;SG
nešto	någonting	nešto	någonting	PRO;ACC;NEUT;3	PRO;INDF;NEUT;SG
nešto	nåt	nešto	nåt	PRO;ACC;NEUT;3	PRO;INDF;NEUT;SG
osvojio	vunnit	osvojiti	vinna	V;MASC;SG;PST;V.PTCP;ACT	V;V.CVB;ACT
osvojio	vann	osvojiti	vann	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
osvojio	besegrade	osvojiti	besegrad	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
osvojio	segrade	osvojiti	segra	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
osvojio	erövrade	osvojiti	erövra	V;MASC;SG;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
članak	artikeln	članak	artikel	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
članak	artikel	članak	artikel	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
pet	fem	pet	fem	NUM	NUM;NOM
liga	ligan	liga	ligan	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
liga	league	liga	league	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
liga	förbundet	liga	förbund	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
liga	liga	liga	lig	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
liga	liga	liga	lig	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
najbolji	bästa	dobar	bra	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;DEF;RL
većina	most	većina	most	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
većina	majoriteten	većina	majoritet	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
većina	majoritet	većina	majoritet	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
selo	byn	selo	byn	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
selo	by	selo	by	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
selo	village	selo	village	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
najveći	största	velik	stor	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;DEF;RL
najveći	största	velik	stor	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;DEF;RL
najveći	största	velik	stor	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;DEF;RL
baza	base	baza	base	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
baza	bas	baza	ba	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
baza	basen	baza	bas	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
druga	annan	drugi	annan	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
druga	övrig	drugi	övrig	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
druga	övrigt	drugi	övrigt	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
san	dream	san	dream	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
san	dröm	san	dröm	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
top	kanonen	top	kano	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
top	kanon	top	kano	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
top	toppen	top	topp	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
