die	the	die	the	DET;DEF	DET;DEF
dood	death	dood	death	N;SG	N;SG
dieselfde	same	dieselfde	same	ADJ;NOM	ADJ
wêreld	world	wêreld	world	N;SG	N;SG
miljoen	million	miljoen	million	NUM	NUM
aantal	quantity	aantal	quantity	N;SG	N;SG
plaaslike	local	plaaslik	local	ADJ;NOM	ADJ
dikwels	often	dikwels	often	ADV	ADV
internasionale	international	internasionaal	international	ADJ;NOM	ADJ
eie	own	eie	own	ADJ;NOM	ADJ
voëls	birds	voël	bird	N;PL	N;PL
steeds	still	steeds	still	ADV	ADV
groep	group	groep	group	N;SG	N;SG
stel	set	stel	set	V;PRS	V;FIN
sluit	quit	sluit	quit	V;PRS	V;IMP;FIN
hoofstad	capital	hoofstad	capital	N;SG	N;SG
verwys	refers	verwys	refer	V;PRS	V;IND;SG;3;PRS;FIN
verwys	refer	verwys	refer	V;PRS	V;IMP;FIN
state	states	staat	state	N;PL	N;PL
water	water	water	water	N;SG	N;SG
water	spatula	water	spatula	N;SG	N;SG
einde	finish	einde	finish	N;SG	N;SG
einde	end	einde	end	N;SG	N;SG
regering	government	regering	government	N;SG	N;SG
dae	days	dag	day	N;PL	N;PL
oorlog	war	oorlog	war	N;SG	N;SG
politieke	political	politiek	political	ADJ;NOM	ADJ
besluit	decides	besluit	decide	V;PRS	V;IND;SG;3;PRS;FIN
besluit	decide	besluit	decide	V;PRS	V;IMP;FIN
sommige	some	sommige	some	DET	DET
geskiedenis	history	geskiedenis	history	N;SG	N;SG
vis	fish	vis	fish	N;SG	N;SG
wetenskaplike	scientific	wetenskaplik	scientific	ADJ;NOM	ADJ
ontwikkel	develop	ontwikkel	develop	V;PRS	V;IMP;FIN
lande	countries	land	country	N;PL	N;PL
seun	boy	seun	boy	N;SG	N;SG
seun	son	seun	son	N;SG	N;SG
verskillende	different	verskil	different	ADJ;NOM	ADJ
belangrike	important	belangrik	important	ADJ;NOM	ADJ
kinders	kids	kind	kid	N;PL	N;PL
kinders	children	kind	child	N;PL	N;PL
neem	take	neem	take	V;PRS	V;IMP;FIN
vertaal	translate	vertaal	translate	V;PRS	V;IMP;FIN
munisipaliteit	municipality	munisipaliteit	municipality	N;SG	N;SG
tans	now	tans	now	ADV	ADV
tans	currently	tans	currently	ADV	ADV
self	self	self	self	PRO;SG;3;REFL	PRO
plek	venue	plek	venue	N;SG	N;SG
plek	place	plek	place	N;SG	N;SG
ongeveer	approximately	ongeveer	approximately	ADV	ADV
europese	european	europees	european	ADJ;NOM	ADJ
selfs	even	selfs	even	ADV	ADV
gehou	liked	hou	like	V;PST;V.PTCP	V;IND;PST;FIN
tydperk	duration	tydperk	duration	N;SG	N;SG
maande	months	maand	month	N;PL	N;PL
skool	school	skool	school	N;SG	N;SG
familie	family	familie	family	N;SG	N;SG
voorkom	prevent	voorkom	prevent	V;PRS	V;IMP;FIN
mag	may	mag	may	V;PRS	V;FIN
geneem	taken	neem	take	V;PST;V.PTCP	V;PST;V.PTCP
eiland	island	eiland	island	N;SG	N;SG
volg	follow	volg	follow	V;PRS	V;IMP;FIN
volg	following	volg	follow	V;PRS	V;V.MSDR
vyf	five	vyf	five	NUM	NUM
gee	give	gee	give	V;PRS	V;IMP;FIN
kry	get	kry	get	V;PRS	V;IMP;FIN
rol	role	rol	role	N;SG	N;SG
rol	roll	rol	roll	N;SG	N;SG
vrou	woman	vrou	woman	N;SG	N;SG
vrou	wife	vrou	wife	N;SG	N;SG
gebiede	territories	gebied	territory	N;PL	N;PL
gebiede	areas	gebied	area	N;PL	N;PL
dag	day	dag	day	N;SG	N;SG
woord	word	woord	word	N;SG	N;SG
tale	languages	taal	language	N;PL	N;PL
ontvang	receive	ontvang	receive	V;PRS	V;IMP;FIN
ontvang	receiving	ontvang	receive	V;PRS	V;V.MSDR
hoewel	although	hoewel	although	CONJ	CONJ
webwerf	website	webwerf	website	N;SG	N;SG
staat	state	staat	state	N;SG	N;SG
staat	sheet	staat	sheet	N;SG	N;SG
ekonomiese	economic	ekonomies	economic	ADJ;NOM	ADJ
aanvaar	accept	aanvaar	accept	V;PRS	V;IMP;FIN
hou	hold	hou	hold	V;PRS	V;IMP;FIN
hou	keep	hou	keep	V;PRS	V;IMP;FIN
geskryf	written	skryf	write	V;PST;V.PTCP	V;PST;V.PTCP
geskryf	burned	skryf	burn	V;PST;V.PTCP	V;PST;V.PTCP
hele	entire	heel	entire	ADJ;NOM	ADJ
hele	whole	heel	whole	ADJ;NOM	ADJ
bevat	contains	bevat	contain	V;PRS	V;IND;SG;3;PRS;FIN
skrywer	writer	skrywer	writer	N;SG	N;SG
skrywer	author	skrywer	author	N;SG	N;SG
verander	cancel	verander	cancel	V;PRS	V;IMP;FIN
verander	modify	verander	modify	V;PRS	V;IMP;FIN
bereik	reach	bereik	reach	V;PRS	V;IMP;FIN
russiese	russian	russies	russian	ADJ;NOM	ADJ
inwoners	residents	inwoner	resident	N;PL	N;PL
beteken	means	beteken	mean	V;PRS	V;IND;SG;3;PRS;FIN
man	husband	man	husband	N;SG	N;SG
man	man	man	man	N;SG	N;SG
huis	home	huis	home	N;SG	N;SG
huis	house	huis	house	N;SG	N;SG
besoek	visit	besoek	visit	V;PRS	V;IMP;FIN
administratiewe	administrative	administratief	administrative	ADJ;NOM	ADJ
bekende	famous	bekend	famous	ADJ;NOM	ADJ
gespeel	played	speel	play	V;PST;V.PTCP	V;PST;V.PTCP
kerke	churches	kerk	church	N;PL	N;PL
skryf	write	skryf	write	V;PRS	V;IMP;FIN
skryf	burn	skryf	burn	V;PRS	V;IMP;FIN
wie	who	wie	who	PRO	PRO
visse	fishes	visse	fish	N;PL	N;PL
visse	pisces	visse	pisce	N;PL	N;PL
suidelike	southern	suidelik	southern	ADJ;NOM	ADJ
alhoewel	although	alhoewel	although	CONJ	CONJ
gekry	found	kry	find	V;PST;V.PTCP	V;PST;V.PTCP
gekom	travelled	kom	travel	V;PST;V.PTCP	V;PST;FIN
verskyn	appear	verskyn	appear	V;PRS	V;IMP;FIN
reeks	series	reeks	series	N;SG	N;SG
hoofsaaklik	primarily	hoofsaaklik	primarily	ADV	ADV
eilande	islands	eilande	island	N;PL	N;PL
speel	playing	speel	play	V;PRS	V;V.MSDR
bou	build	bou	build	V;PRS	V;IMP;FIN
gelei	led	lei	lead	V;PST;V.PTCP	V;PST;V.PTCP
stigting	formation	stigting	formation	N;SG	N;SG
gegee	given	gee	give	V;PST;V.PTCP	V;PST;V.PTCP
beskryf	describe	beskryf	describe	V;PRS	V;IMP;FIN
streek	region	streek	region	N;SG	N;SG
rivier	river	rivier	river	N;SG	N;SG
ses	six	ses	six	NUM	NUM
grond	soil	grond	soil	N;SG	N;SG
grond	land	grond	land	N;SG	N;SG
grond	ground	grond	ground	N;SG	N;SG
spesies	species	spesie	species	N;PL	N;PL
beroep	profession	beroep	profession	N;SG	N;SG
gedoen	done	doen	do	V;PST;V.PTCP	V;PST;V.PTCP
lede	members	lid	member	N;PL	N;PL
historiese	historic	histories	historic	ADJ;NOM	ADJ
historiese	historical	histories	historical	ADJ;NOM	ADJ
minister	minister	minister	minister	N;SG	N;SG
span	team	span	team	N;SG	N;SG
ontwikkeling	development	ontwikkeling	development	N;SG	N;SG
dele	parts	deel	part	N;PL	N;PL
distrik	district	distrik	district	N;SG	N;SG
gewen	won	wen	win	V;PST;V.PTCP	V;PST;FIN
pad	road	pad	road	N;SG	N;SG
militêre	military	militêr	military	ADJ;NOM	ADJ
inligting	information	inligting	information	N;SG	N;SG
veroorsaak	causing	veroorsaak	cause	V;PRS	V;V.MSDR
ontdek	discover	ontdek	discover	V;PRS	V;IMP;FIN
oorspronklike	original	oorspronklik	original	ADJ;NOM	ADJ
katolieke	catholic	katoliek	catholic	ADJ;NOM	ADJ
boek	book	boek	book	N;SG	N;SG
artikels	articles	artikel	article	N;PL	N;PL
artikels	sections	artikel	section	N;PL	N;PL
opgerig	erected	opgerig	erect	V;PST;V.PTCP	V;PST;V.PTCP
opgerig	constructed	opgerig	construct	V;PST;V.PTCP	V;PST;V.PTCP
aanvanklik	initially	aanvanklik	initially	ADV	ADV
kalender	calendar	kalender	calendar	N;SG	N;SG
wet	law	wet	law	N;SG	N;SG
wet	act	wet	act	N;SG	N;SG
gevind	found	vind	find	V;PST;V.PTCP	V;PST;V.PTCP
omgewing	environment	omgewing	environment	N;SG	N;SG
omgewing	area	omgewing	area	N;SG	N;SG
lid	member	lid	member	N;SG	N;SG
voormalige	former	voormalig	former	ADJ;NOM	ADJ
grens	border	grens	border	N;SG	N;SG
skeidsregter	referee	skeidsregter	referee	N;SG	N;SG
data	data	data	data	N;SG	N;SG
ouderdom	age	ouderdom	age	N;SG	N;SG
diens	service	diens	service	N;SG	N;SG
noordelike	northern	noordelik	northern	ADJ;NOM	ADJ
vind	find	vind	find	V;PRS	V;IMP;FIN
woorde	words	woord	word	N;PL	N;PL
verkiesing	election	verkiesing	election	N;SG	N;SG
verbind	connect	verbind	connect	V;PRS	V;IMP;FIN
geval	case	geval	case	N;SG	N;SG
unie	union	unie	union	N;SG	N;SG
werke	jobs	werk	job	N;PL	N;PL
sterre	sparks	sterr	spark	N;PL	N;PL
sterre	bars	sterr	bar	N;PL	N;PL
sterre	stars	sterr	star	N;PL	N;PL
jou	your	jou	you	PRO;ACC;SG;2	PRO;2
slag	battle	slag	battle	N;SG	N;SG
deelstaat	state	deelstaat	state	N;SG	N;SG
museum	museum	museum	museum	N;SG	N;SG
probeer	try	probeer	try	V;PRS	V;IMP;FIN
bome	trees	bome	tree	N;PL	N;PL
gemeentes	parishes	gemeente	parish	N;PL	N;PL
kilometer	kilometre	kilometer	kilometre	N;SG	N;SG
stelsel	system	stelsel	system	N;SG	N;SG
raad	advice	raad	advice	N;SG	N;SG
raad	council	raad	council	N;SG	N;SG
dorpe	towns	dorpe	town	N;PL	N;PL
stede	cities	stede	city	N;PL	N;PL
klub	club	klub	club	N;SG	N;SG
vader	father	vader	father	N;SG	N;SG
ster	star	ster	star	N;SG	N;SG
almal	everybody	almal	everybody	PRO	PRO;SG
almal	everyone	almal	everyone	PRO	PRO;SG
genus	genus	genus	genus	N;SG	N;SG
weke	weeks	week	week	N;PL	N;PL
vergadering	meeting	vergadering	meeting	N;SG	N;SG
orde	order	orde	order	N;SG	N;SG
nooit	never	nooit	never	ADV	ADV
antieke	ancient	antiek	ancient	ADJ;NOM	ADJ
uitgawe	edition	uitgawe	edition	N;SG	N;SG
verkry	acquire	verkry	acquire	V;PRS	V;IMP;FIN
verkoop	sell	verkoop	sell	V;PRS	V;IMP;FIN
voël	bird	voël	bird	N;SG	N;SG
hoër	higher	hoog	higher	ADJ;NOM;CMPR	ADJ;CMPR
groei	growth	groei	growth	N;SG	N;SG
gestel	set	stel	set	V;PST;V.PTCP	V;FIN
foto	photo	foto	photo	N;SG	N;SG
gevestig	established	vestig	establish	V;PST;V.PTCP	V;PST;V.PTCP
sewe	seven	sewe	seven	NUM	NUM
oorspronklik	originally	oorspronklik	originally	ADV	ADV
voorbeeld	sample	voorbeeld	sample	N;SG	N;SG
voorbeeld	instance	voorbeeld	instance	N;SG	N;SG
voorbeeld	example	voorbeeld	example	N;SG	N;SG
voorsitter	chair	voorsitter	chair	N;SG	N;SG
sterf	die	sterf	die	V;PRS	V;IMP;FIN
verskil	disagree	verskil	disagree	V;PRS	V;IMP;FIN
bevestig	confirm	bevestig	confirm	V;PRS	V;IMP;FIN
bepaal	determines	bepaal	determine	V;PRS	V;IND;SG;3;PRS;FIN
klas	class	klas	class	N;SG	N;SG
vertoon	reveal	vertoon	reveal	V;PRS	V;IMP;FIN
altyd	always	altyd	always	ADV	ADV
lig	raise	lig	raise	V;PRS	V;IMP;FIN
punt	dot	punt	dot	N;SG	N;SG
punt	point	punt	point	N;SG	N;SG
vroue	women	vrou	woman	N;PL	N;PL
week	week	week	week	N;SG	N;SG
stadium	stage	stadium	stage	N;SG	N;SG
vervaardig	produce	vervaardig	produce	V;PRS	V;IMP;FIN
geskep	created	skep	create	V;PST;V.PTCP	V;PST;V.PTCP
plaasgevind	occurred	plaasvind	occur	V;PST;V.PTCP	V;IND;PST;FIN
openbare	public	openbaar	public	ADJ;NOM	ADJ
dui	indicate	dui	indicate	V;PRS	V;IMP;FIN
akteur	actor	akteur	actor	N;SG	N;SG
natuurlike	natural	natuurlik	natural	ADJ;NOM	ADJ
bied	offer	bied	offer	V;PRS	V;IMP;FIN
loopbaan	career	loopbaan	career	N;SG	N;SG
skep	create	skep	create	V;PRS	V;IMP;FIN
dogter	daughter	dogter	daughter	N;SG	N;SG
dra	carry	dra	carry	V;PRS	V;IMP;FIN
dra	contribute	dra	contribute	V;PRS	V;IMP;FIN
verteenwoordig	represents	verteenwoordig	represent	V;PRS	V;IND;SG;3;PRS;FIN
verteenwoordig	represent	verteenwoordig	represent	V;PRS	V;IMP;FIN
boeke	books	boeke	book	N;PL	N;PL
geplaas	posted	plaas	post	V;PST;V.PTCP	V;PST;V.PTCP
etniese	ethnic	etnies	ethnic	ADJ;NOM	ADJ
kus	coast	kus	coast	N;SG	N;SG
gepubliseer	live	publiseer	live	V;PST;V.PTCP	V;IMP;FIN
gepubliseer	published	publiseer	publish	V;PST;V.PTCP	V;PST;V.PTCP
bring	bring	bring	bring	V;PRS	V;IMP;FIN
geld	money	geld	money	N;SG	N;SG
erken	admit	erken	admit	V;PRS	V;IMP;FIN
erken	acknowledge	erken	acknowledge	V;PRS	V;IMP;FIN
leier	leader	leier	leader	N;SG	N;SG
boom	tree	boom	tree	N;SG	N;SG
boom	boom	boom	boom	N;SG	N;SG
rolprent	movie	rolprent	movie	N;SG	N;SG
rolprent	film	rolprent	film	N;SG	N;SG
westelike	western	westelik	western	ADJ;NOM	ADJ
tradisionele	traditional	tradisioneel	traditional	ADJ;NOM	ADJ
verdeel	divide	verdeel	divide	V;PRS	V;IMP;FIN
beweging	motion	beweging	motion	N;SG	N;SG
beweging	movement	beweging	movement	N;SG	N;SG
japannese	japanese	japannees	japanese	ADJ;NOM	ADJ
diere	animals	dier	animal	N;PL	N;PL
punte	points	punt	point	N;PL	N;PL
kulturele	cultural	kultureel	cultural	ADJ;NOM	ADJ
liggaam	body	liggaam	body	N;SG	N;SG
wen	win	wen	win	V;PRS	V;IMP;FIN
basis	base	basis	base	N;SG	N;SG
magte	forces	mag	force	N;PL	N;PL
kultuur	culture	kultuur	culture	N;SG	N;SG
kaart	map	kaart	map	N;SG	N;SG
oorsprong	origin	oorsprong	origin	N;SG	N;SG
kennis	acquaintance	kennis	acquaintance	N;SG	N;SG
kennis	knowledge	kennis	knowledge	N;SG	N;SG
parlement	parliament	parlement	parliament	N;SG	N;SG
sosiale	social	sosiaal	social	ADJ;NOM	ADJ
geboue	buildings	bou	building	N;PL	N;PL
gebring	brought	bring	bring	V;PST;V.PTCP	V;PST;V.PTCP
trek	pull	trek	pull	V;PRS	V;IMP;FIN
stem	vote	stem	vote	V;PRS	V;IMP;FIN
vroeër	earlier	vroeg	earlier	ADV;CMPR	ADV
energie	energy	energie	energy	N;SG	N;SG
boere	farmers	boer	farmer	N;PL	N;PL
prys	price	prys	price	N;SG	N;SG
prys	prize	prys	prize	N;SG	N;SG
ligging	location	ligging	location	N;SG	N;SG
gestuur	sent	stuur	send	V;PST;V.PTCP	V;PST;V.PTCP
broer	brother	broer	brother	N;SG	N;SG
studente	students	student	student	N;PL	N;PL
gemeenskap	society	gemeenskap	society	N;SG	N;SG
gemeenskap	community	gemeenskap	community	N;SG	N;SG
berg	mountain	berg	mountain	N;SG	N;SG
oppervlak	surface	oppervlak	surface	N;SG	N;SG
bronne	sources	bron	source	N;PL	N;PL
beleid	policy	beleid	policy	N;SG	N;SG
album	album	album	album	N;SG	N;SG
beweeg	moving	beweeg	move	V;PRS	V;V.MSDR
voorheen	previously	voorheen	previously	ADV	ADV
vertrek	departure	vertrek	departure	N;SG	N;SG
iets	something	iets	something	PRO	PRO;SG
meerderheid	majority	meerderheid	majority	N;SG	N;SG
verskaf	provide	verskaf	provide	V;PRS	V;IMP;FIN
lees	read	lees	read	V;PRS	V;IMP;FIN
webtuiste	website	webtuiste	website	N;SG	N;SG
onderwys	education	onderwys	education	N;SG	N;SG
periode	period	periode	period	N;SG	N;SG
lengte	length	lengte	length	N;SG	N;SG
manier	way	manier	way	N;SG	N;SG
buitelandse	foreign	buitelands	foreign	ADJ;NOM	ADJ
aangebied	offered	aanbied	offer	V;PST;V.PTCP	V;PST;V.PTCP
aangebied	presenting	aanbied	present	V;PST;V.PTCP	V;V.MSDR
aangebied	hosted	aanbied	host	V;PST;V.PTCP	V;PST;V.PTCP
ingesluit	included	insluit	include	V;PST;V.PTCP	V;PST;V.PTCP
verskeidenheid	diversity	verskeidenheid	diversity	N;SG	N;SG
verskeidenheid	variety	verskeidenheid	variety	N;SG	N;SG
duidelik	clearly	duidelik	clearly	ADV	ADV
duidelik	obviously	duidelik	obviously	ADV	ADV
leiding	guidance	leiding	guidance	N;SG	N;SG
iemand	someone	iemand	someone	PRO	PRO;SG
politikus	politician	politikus	politician	N;SG	N;SG
proses	process	proses	process	N;SG	N;SG
tree	take	tree	take	V;PRS	V;IMP;FIN
massa	mass	massa	mass	N;SG	N;SG
voorgestel	suggested	voorstel	suggest	V;PST;V.PTCP	V;PST;V.PTCP
plekke	places	plek	place	N;PL	N;PL
spaanse	spanish	spaans	spanish	ADJ;NOM	ADJ
res	rest	res	rest	N;SG	N;SG
ekonomie	economy	ekonomie	economy	N;SG	N;SG
mark	market	mark	market	N;SG	N;SG
saak	cause	saak	cause	N;SG	N;SG
hoogte	height	hoogte	height	N;SG	N;SG
sake	causes	saak	cause	N;PL	N;PL
dinastie	dynasty	dinastie	dynasty	N;SG	N;SG
verwerf	earn	verwerf	earn	V;PRS	V;IMP;FIN
onafhanklikheid	independence	onafhanklikheid	independence	N;SG	N;SG
verower	conquer	verower	conquer	V;PRS	V;IMP;FIN
verhouding	ratio	verhouding	ratio	N;SG	N;SG
verhouding	relationship	verhouding	relationship	N;SG	N;SG
gekies	selected	kies	select	V;PST;V.PTCP	V;PST;V.PTCP
gedeelte	portion	gedeelte	portion	N;SG	N;SG
gedeelte	part	gedeelte	part	N;SG	N;SG
waarde	value	waarde	value	N;SG	N;SG
mans	males	man	male	N;PL	N;PL
mans	men	man	man	N;PL	N;PL
maatskappy	company	maatskappy	company	N;SG	N;SG
maatskappy	comma	maatskappy	comma	N;SG	N;SG
regte	rights	reg	rights	N;PL	N;PL
dorpie	village	dorpie	village	N;SG	N;SG
dienste	services	diens	service	N;PL	N;PL
rigting	direction	rigting	direction	N;SG	N;SG
ondersoek	detect	ondersoek	detect	V;PRS	V;IMP;FIN
gereeld	frequently	gereeld	frequently	ADV	ADV
gereeld	often	gereeld	often	ADV	ADV
getal	number	getal	number	N;SG	N;SG
alles	everything	alles	everything	PRO	PRO;SG
onafhanklike	independent	onafhanklik	independent	ADJ;NOM	ADJ
demokratiese	democratic	demokraties	democratic	ADJ;NOM	ADJ
wys	show	wys	show	V;PRS	V;IMP;FIN
spesifieke	specific	spesifiek	specific	ADJ;NOM	ADJ
gemiddelde	average	gemiddel	average	ADJ;NOM	ADJ
stryd	struggle	stryd	struggle	N;SG	N;SG
huwelik	marriage	huwelik	marriage	N;SG	N;SG
vrygestel	released	vrystel	release	V;PST;V.PTCP	V;PST;V.PTCP
toegeken	assigned	toeken	assign	V;PST;V.PTCP	V;PST;V.PTCP
media	media	media	media	N;SG	N;SG
gelede	ago	gelede	ago	ADV	ADV
beïnvloed	affect	beïnvloed	affect	V;PRS	V;IMP;FIN
bron	source	bron	source	N;SG	N;SG
projek	project	projek	project	N;SG	N;SG
alfabet	alphabet	alfabet	alphabet	N;SG	N;SG
kind	kid	kind	kid	N;SG	N;SG
kind	child	kind	child	N;SG	N;SG
voorbeelde	templates	voorbeeld	template	N;PL	N;PL
voorbeelde	examples	voorbeeld	example	N;PL	N;PL
voorbeelde	samples	voorbeeld	samples	N;PL	N;PL
eenheid	unit	eenheid	unit	N;SG	N;SG
teks	text	teks	text	N;SG	N;SG
vloot	navy	vloot	navy	N;SG	N;SG
mate	measurement	mate	measurement	N;SG	N;SG
kommissie	commission	kommissie	commission	N;SG	N;SG
bevorder	promote	bevorder	promote	V;PRS	V;IMP;FIN
studie	study	studie	study	N;SG	N;SG
burgemeester	mayor	burgemeester	mayor	N;SG	N;SG
gebaseer	based	baseer	base	V;PST;V.PTCP	V;PST;V.PTCP
afstand	distance	afstand	distance	N;SG	N;SG
sit	sitting	sit	sit	V;PRS	V;V.MSDR
aangeneem	assumed	aanneem	assume	V;PST;V.PTCP	V;PST;V.PTCP
aangeneem	adopted	aanneem	adopt	V;PST;V.PTCP	V;PST;V.PTCP
navorsing	research	navorsing	research	N;SG	N;SG
bestuur	manage	bestuur	manage	V;PRS	V;IMP;FIN
opgeneem	recorded	opneem	record	V;PST;V.PTCP	V;PST;V.PTCP
hand	manual	hand	manual	N;SG	N;SG
hand	hand	hand	hand	N;SG	N;SG
praat	talk	praat	talk	V;PRS	V;IMP;FIN
praat	speak	praat	speak	V;PRS	V;IMP;FIN
bedien	serve	bedien	serve	V;PRS	V;IMP;FIN
bedien	serves	bedien	serve	V;PRS	V;IND;SG;3;PRS;FIN
eienskappe	features	eienskap	feature	N;PL	N;PL
elektriese	electrical	elektries	electrical	ADJ;NOM	ADJ
elektriese	electric	elektries	electric	ADJ;NOM	ADJ
aandag	attention	aandag	attention	N;SG	N;SG
voorsien	provide	voorsien	provide	V;PRS	V;IMP;FIN
geleentheid	event	geleentheid	event	N;SG	N;SG
leer	learn	leer	learn	V;PRS	V;IMP;FIN
kyk	watch	kyk	watch	V;PRS	V;IMP;FIN
kyk	look	kyk	look	V;PRS	V;IMP;FIN
kyk	watching	kyk	watch	V;PRS	V;V.MSDR
rolprente	movies	rolprent	movie	N;PL	N;PL
seuns	boys	seun	boy	N;PL	N;PL
seuns	sons	seun	son	N;PL	N;PL
glo	believe	glo	believe	V;PRS	V;IMP;FIN
gegaan	gone	gegaan	go	V;PST;V.PTCP	V;PST;V.PTCP
kombinasie	combination	kombinasie	combination	N;SG	N;SG
bladsy	anchor	bladsy	anchor	N;SG	N;SG
bladsy	page	bladsy	page	N;SG	N;SG
italiaanse	italian	italiaans	italian	ADJ;NOM	ADJ
roman	novel	roman	novel	N;SG	N;SG
geloof	faith	geloof	faith	N;SG	N;SG
graad	grade	graad	grade	N;SG	N;SG
graad	degree	graad	degree	N;SG	N;SG
ouers	parents	ouer	parent	N;PL	N;PL
skole	schools	skool	school	N;PL	N;PL
intussen	meanwhile	intussen	meanwhile	ADV	ADV
elemente	elements	element	element	N;PL	N;PL
weet	know	weet	know	V;PRS	V;IND;PRS;FIN
plante	plants	plant	plant	N;PL	N;PL
toring	tower	toring	tower	N;SG	N;SG
rede	reason	rede	reason	N;SG	N;SG
krag	force	krag	force	N;SG	N;SG
krag	power	krag	power	N;SG	N;SG
versprei	distribute	versprei	distribute	V;PRS	V;IMP;FIN
betekenis	meaning	betekenis	meaning	N;SG	N;SG
betekenis	significance	betekenis	significance	N;SG	N;SG
geniet	enjoying	geniet	enjoy	V;PRS	V;V.MSDR
federale	federal	federaal	federal	ADJ;NOM	ADJ
gesin	family	gesin	family	N;SG	N;SG
donker	dark	donker	dark	ADJ;NOM	ADJ
versameling	collection	versameling	collection	N;SG	N;SG
uitgewers	publishers	uitwer	publisher	N;PL	N;PL
nedersettings	settlements	nedersetting	settlement	N;PL	N;PL
gewerk	worked	werk	work	V;PST;V.PTCP	V;PST;V.PTCP
probleme	problems	probleem	problem	N;PL	N;PL
persoonlike	personal	persoonlik	personal	ADJ;NOM	ADJ
burgers	citizens	burger	citizen	N;PL	N;PL
vrede	peace	vrede	peace	N;SG	N;SG
reis	travel	reis	travel	N;SG	N;SG
reis	traveling	reis	traveling	N;SG	N;SG
burger	burger	burger	burger	N;SG	N;SG
burger	citizen	burger	citizen	N;SG	N;SG
voet	foot	voet	foot	N;SG	N;SG
ondersteun	supporting	ondersteun	support	V;PRS	V;V.MSDR
moeder	mother	moeder	mother	N;SG	N;SG
materiaal	material	materiaal	material	N;SG	N;SG
