קטגוריה	categoria	קטגוריה	categoria	N;FEM;SG	N;FEM;SG
חלק	part	חלק	part	N;MASC;SG	N;SG
חלק	parte	חלק	parte	N;MASC;SG	N;FEM;SG
שוליים	margini	שול	margine	N;MASC;PL	N;MASC;PL
שוליים	frange	שול	frangia	N;MASC;PL	N;FEM;PL
שוליים	fringe	שול	fringia	N;MASC;PL	N;MASC
שוליים	margini	שול	margine	N;MASC;PL	N;MASC;PL
ארצות	paesi	ארץ	paese	N;FEM;PL	N;MASC;PL
ראש	testa	ראש	testa	N;MASC;SG	N;FEM;SG
ראש	head	ראש	head	N;MASC;SG	N
ראש	testina	ראש	testina	N;MASC;SG	N;FEM;SG
ראש	fretta	ראש	fretta	N;MASC;SG	N;FEM;SG
ראש	rush	ראש	rush	N;MASC;SG	N
ערך	valore	ערך	valore	N;MASC;SG	N;MASC;SG
אלו	questi	אלו	questo	PRO;PL;3	PRO;MASC;PL
זמן	tempo	זמן	tempo	N;MASC;SG	N;MASC;SG
זמן	time	זמן	time	N;MASC;SG	N
בעיקר	principalmente	בעיקר	principalmente	ADV	ADV
בעיקר	soprattutto	בעיקר	soprattutto	ADV	ADV
בעיקר	principalmente	בעיקר	principalmente	ADV	ADV
בעיקר	soprattutto	בעיקר	soprattutto	ADV	ADV
אתר	site	אתר	sito	N;MASC;SG	N
אתר	sito	אתר	sito	N;MASC;SG	N;MASC;SG
אתר	etere	אתר	etere	N;MASC;SG	N;MASC;SG
ללא	senza	ללא	senza	ADP	ADP
שונים	differenti	שונה	differente	ADJ;MASC;PL	ADJ;PL
שונים	diverse	שונה	diverso	ADJ;MASC;PL	ADJ;FEM;PL
שונים	varie	שונה	vario	ADJ;MASC;PL	ADJ;FEM;PL
שונים	vari	שונה	vario	ADJ;MASC;PL	ADJ;MASC;PL
אדם	persona	אדם	persona	N;MASC;SG	N;FEM;SG
אדם	adamo	אדם	adamo	N;MASC;SG	N;MASC;SG
אדם	adam	אדם	adam	N;MASC;SG	N
אדם	human	אדם	human	N;MASC;SG	N
אדם	uomo	אדם	uomo	N;MASC;SG	N;MASC;SG
אדם	man	אדם	mano	N;MASC;SG	N
עוד	più	עוד	più	ADV	ADV
דבר	thing	דבר	thing	N;MASC;SG	N
דבר	talk	דבר	talk	N;MASC;SG	N;MASC
ספר	libro	ספר	libro	N;MASC;SG	N;MASC;SG
ספר	barber	ספר	barber	N;MASC;SG	N;MASC;SG
ספר	barbiere	ספר	barbiera	N;MASC;SG	N;MASC;SG
נגד	contro	נגד	contro	ADP	ADP
זכה	vinto	זכה	vincere	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
הן	loro	הוא	loro	PRO;FEM;PL;3	PRO;PL;3
יום	giornata	יום	giornata	N;MASC;SG	N;FEM;SG
יום	giorno	יום	giorno	N;MASC;SG	N;MASC;SG
יום	hume	יום	hume	N;MASC;SG	N;FEM;SG
אלה	questi	אלה	questo	PRO;MASC;PL;3	PRO;MASC;PL
כבר	già	כבר	già	ADV	ADV
כיום	attualmente	כיום	attualmente	ADV	ADV
כיום	oggigiorno	כיום	oggigiorno	ADV	ADV
מקום	posto	מקום	posto	N;MASC;SG	N;MASC;SG
מקום	luogo	מקום	luogo	N;MASC;SG	N;MASC;SG
מקום	place	מקום	place	N;MASC;SG	N;MASC
מאוד	molto	מאוד	molto	ADV	ADV
יהודים	ebrei	יהודי	ebreo	N;MASC;PL	N;MASC;PL
יהודים	ebrei	יהודי	ebreo	N;MASC;PL	N;MASC;PL
יהודים	giudei	יהודי	giudeo	N;MASC;PL	N;MASC;PL
כמה	alcune	כמה	alcuno	DET;PSSD	DET;FEM;PL
שנת	anno	שנה	anno	N;PSSD;FEM;SG	N;MASC;SG
יחד	insieme	יחד	insieme	ADV	ADV
בעל	baal	בעל	baal	N;MASC;SG	N;MASC;SG
בעל	marito	בעל	marito	N;MASC;SG	N;MASC;SG
תחת	sotto	תחת	sotto	ADP	ADP
תמונה	foto	תמונה	foto	N;FEM;SG	N;FEM
תמונה	immagine	תמונה	immagine	N;FEM;SG	N;FEM;SG
תמונה	picture	תמונה	pictura	N;FEM;SG	N
תמונה	immagine	תמונה	immagine	N;FEM;SG	N;FEM;SG
כתב	cronista	כתב	cronista	N;MASC;SG	N;SG
כתב	giornalista	כתב	giornalista	N;MASC;SG	N;SG
כתב	reporter	כתב	reporter	N;MASC;SG	N;MASC
היום	oggi	היום	oggi	ADV	ADV
אותם	loro	None	loro	PRO;ACC;MASC;PL;3	PRO;PL;3
החברה	società	החברה	società	N;FEM;SG	N;FEM
החברה	society	החברה	society	N;FEM;SG	N;MASC
החברה	società	החברה	società	N;FEM;SG	N;FEM
החברה	azienda	החברה	azienda	N;FEM;SG	N;FEM;SG
החברה	compagnia	החברה	compagnia	N;FEM;SG	N;FEM;SG
שונות	differenti	שונה	differente	ADJ;FEM;PL	ADJ;PL
שונות	diverse	שונה	diverso	ADJ;FEM;PL	ADJ;FEM;PL
שונות	varie	שונה	vario	ADJ;FEM;PL	ADJ;FEM;PL
שונות	vari	שונה	vario	ADJ;FEM;PL	ADJ;MASC;PL
מערכת	sistema	מערכת	sistema	N;FEM;SG	N;MASC;SG
בלבד	solo	בלבד	solo	ADV	ADV
בלבד	soltanto	בלבד	soltanto	ADV	ADV
עבר	passato	עבר	passato	N;MASC;SG	N;MASC;SG
מרכז	central	מרכז	central	N;MASC;SG	N
מרכז	centrale	מרכז	centrale	N;MASC;SG	N;MASC;SG
מרכז	centro	מרכז	centro	N;MASC;SG	N;MASC;SG
מרכז	centro	מרכז	centro	N;MASC;SG	N;MASC;SG
שימוש	utilizzo	שימוש	utilizzo	N;MASC;SG	N;MASC;SG
שימוש	uso	שימוש	uso	N;MASC;SG	N;MASC;SG
שימוש	uso	שימוש	uso	N;MASC;SG	N;MASC;SG
שימוש	utilizzo	שימוש	utilizzo	N;MASC;SG	N;MASC;SG
רוב	rob	רוב	rob	N;MASC;SG	N;MASC
רוב	maggioranza	רוב	maggioranza	N;MASC;SG	N;FEM;SG
כולל	incluso	כלל	includere	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
כולל	compreso	כלל	comprendere	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
כולל	compresa	כלל	comprendere	V;MASC;SG;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
כולל	compreso	כלל	comprendere	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
כולל	incluso	כלל	includere	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
כולל	inclusa	כלל	includere	V;MASC;SG;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;SG
גדול	grosso	גדול	grosso	ADJ;MASC;SG	ADJ;MASC;SG
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;SG
גדול	bravissimo	גדול	bravo	ADJ;MASC;SG	ADJ;AB;MASC;SG
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;SG
גדול	ottimo	גדול	ottimo	ADJ;MASC;SG	ADJ;MASC;SG
גדול	bravissima	גדול	bravo	ADJ;MASC;SG	ADJ;AB;FEM;SG
ישראלים	israeliani	ישראלי	israeliano	N;MASC;PL	N;MASC;PL
ישראלים	israeliani	ישראלי	israeliano	N;MASC;PL	N;MASC;PL
יהודי	ebreo	יהודי	ebreo	N;MASC;SG	N;MASC;SG
יהודי	ebraismo	יהודי	ebraismo	N;MASC;SG	N;MASC;SG
יהודי	giudeo	יהודי	giudeo	N;MASC;SG	N;MASC;SG
יהודי	ebreo	יהודי	ebreo	N;MASC;SG	N;MASC;SG
סוג	type	סוג	typo	N;MASC;SG	N
מידע	info	מידע	info	N;MASC;SG	N
מידע	informazione	מידע	informazione	N;MASC;SG	N;FEM;SG
ערכים	metriche	ערך	metrica	N;MASC;PL	N;FEM;PL
ערכים	valori	ערך	valore	N;MASC;PL	N;MASC;PL
ערכים	voci	ערך	voce	N;MASC;PL	N;FEM;PL
ערכים	diciture	ערך	dicitura	N;MASC;PL	N;FEM;PL
אנשים	persone	איש	persona	N;MASC;PL	N;FEM;PL
דקות	minuti	דקה	minuto	N;FEM;PL	N;MASC;PL
חבר	amica	חבר	amico	N;MASC;SG	N;FEM;SG
חבר	amico	חבר	amico	N;MASC;SG	N;MASC;SG
חבר	fidanzato	חבר	fidanzato	N;MASC;SG	N;MASC;SG
בת	figlia	בת	figlia	N;FEM;SG	N;FEM;SG
בת	beth	בת	beth	N;FEM;SG	N;FEM;SG
כאן	qui	כאן	qui	ADV	ADV
לעתים	talvolta	לעתים	talvolta	ADV	ADV
הכנסת	knesset	הכנסה	knesset	N;PSSD;FEM;SG	N;FEM;SG
הכנסת	sinagoga	הכנסה	sinagoga	N;PSSD;FEM;SG	N;FEM;SG
חדש	nuovo	חדש	nuovo	ADJ;MASC;SG	ADJ;MASC;SG
חדש	nuova	חדש	nuovo	ADJ;MASC;SG	ADJ;FEM;SG
ארץ	nazione	ארץ	nazione	N;FEM;SG	N;FEM;SG
ארץ	paese	ארץ	paese	N;FEM;SG	N;MASC;SG
ארץ	land	ארץ	land	N;FEM;SG	N;MASC
ארץ	terra	ארץ	terra	N;FEM;SG	N;FEM;SG
ארץ	earth	ארץ	earth	N;FEM;SG	N
ארץ	terra	ארץ	terra	N;FEM;SG	N;FEM;SG
כלי	strumento	כלי	strumento	N;MASC;SG	N;MASC;SG
כלי	attrezzo	כלי	attrezzo	N;MASC;SG	N;MASC;SG
כלי	utensile	כלי	utensile	N;MASC;SG	N;MASC;SG
הרבה	molto	הרבה	molto	ADV	ADV
אתה	te	הוא	te	PRO;MASC;SG;2	PRO;SG;2
אתה	tu	הוא	tu	PRO;MASC;SG;2	PRO;SG;2
נמצא	trovata	נמצא	trovare	V;MASC;SG;V.PTCP;MID	V;FEM;SG;PST;V.PTCP
נמצא	trovato	נמצא	trovare	V;MASC;SG;V.PTCP;MID	V;MASC;SG;PST;V.PTCP
טוב	buona	טוב	buono	ADJ;MASC;SG	ADJ;FEM;SG
טוב	brava	טוב	bravo	ADJ;MASC;SG	ADJ;FEM;SG
טוב	bravo	טוב	bravo	ADJ;MASC;SG	ADJ;MASC;SG
טוב	buono	טוב	buono	ADJ;MASC;SG	ADJ;MASC;SG
ילדים	ragazzi	ילד	ragazzo	N;MASC;PL	N;MASC;PL
ילדים	bambini	ילד	bambino	N;MASC;PL	N;MASC;PL
ילדים	bimbi	ילד	bimbo	N;MASC;PL	N;MASC;PL
ילדים	figli	ילד	figlio	N;MASC;PL	N;MASC;PL
ילדים	bambini	ילד	bambino	N;MASC;PL	N;MASC;PL
שלושה	tre	שלושה	tre	NUM;MASC;SG	NUM
הגיע	arrivato	הגיע	arrivare	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
הגיע	arrivata	הגיע	arrivare	V;MASC;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP
כמעט	quasi	כמעט	quasi	ADV	ADV
כמעט	quasi	כמעט	quasi	ADV	ADV
כוח	forza	כוח	forza	N;MASC;SG	N;FEM;SG
כוח	forza	כוח	forza	N;MASC;SG	N;FEM;SG
כוח	force	כוח	force	N;MASC;SG	N;FEM
כוח	potere	כוח	potere	N;MASC;SG	N;MASC;SG
כוח	potenza	כוח	potenza	N;MASC;SG	N;FEM;SG
כוח	power	כוח	power	N;MASC;SG	N
נפטר	deceduta	נפטר	decedere	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
נפטר	deceduto	נפטר	decedere	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
מלך	re	מלך	re	N;MASC;SG	N;MASC
מלך	king	מלך	king	N;MASC;SG	N;MASC
מקור	origine	מקור	origine	N;MASC;SG	N;FEM;SG
מקור	fonte	מקור	fonte	N;MASC;SG	N;FEM;SG
מקור	sorgente	מקור	sorgente	N;MASC;SG	N;FEM;SG
מקור	becco	מקור	becco	N;MASC;SG	N;MASC;SG
תוכנית	programma	תוכנית	programma	N;FEM;SG	N;MASC;SG
תוכנית	programma	תוכנית	programma	N;FEM;SG	N;MASC;SG
משתמש	usando	השתמש	usare	V;MASC;SG;V.PTCP	V;V.MSDR
קיבל	ricevuto	קיבל	ricevere	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
קיבל	accettata	קיבל	accettare	V;MASC;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP
קיבל	accettato	קיבל	accettare	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
נשים	donne	איש	donna	N;FEM;PL	N;FEM;PL
במיוחד	particolarmente	במיוחד	particolarmente	ADV	ADV
במיוחד	soprattutto	במיוחד	soprattutto	ADV	ADV
במיוחד	specialmente	במיוחד	specialmente	ADV	ADV
עדיין	ancora	עדיין	ancora	ADV	ADV
כוחות	potenze	כוח	potenza	N;MASC;PL	N;FEM;PL
כוחות	powers	כוח	powers	N;MASC;PL	N;MASC
כוחות	poteri	כוח	potere	N;MASC;PL	N;MASC;PL
כוחות	forze	כוח	forza	N;MASC;PL	N;FEM;PL
פעולה	action	פעולה	action	N;FEM;SG	N;MASC
פעולה	azione	פעולה	azione	N;FEM;SG	N;FEM;SG
נכון	giusto	נכון	giusto	ADJ;MASC;SG	ADJ;MASC;SG
נכון	vero	נכון	vero	ADJ;MASC;SG	ADJ;MASC;SG
החלה	cominciò	החל	cominciare	V;FEM;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
חוק	legge	חוק	legge	N;MASC;SG	N;FEM;SG
חוק	diritto	חוק	diritto	N;MASC;SG	N;MASC;SG
יחידה	unità	יחידה	unità	N;FEM;SG	N;FEM
יחידה	unit	יחידה	unit	N;FEM;SG	N
שוב	ancora	שוב	ancora	ADV	ADV
מדינות	paesi	מדינה	paese	N;FEM;PL	N;MASC;PL
מפקד	comandante	מפקד	comandante	N;MASC;SG	N;MASC;SG
מפקד	commendatore	מפקד	commendatore	N;MASC;SG	N;MASC;SG
שלוש	tre	שלוש	tre	NUM;FEM;SG	NUM
אזור	regione	אזור	regione	N;MASC;SG	N;FEM;SG
אזור	zona	אזור	zona	N;MASC;SG	N;FEM;SG
אזור	zona	אזור	zona	N;MASC;SG	N;FEM;SG
אזור	area	אזור	area	N;MASC;SG	N;FEM;SG
פעמים	tempi	פעם	tempo	N;FEM;PL	N;MASC;PL
פעמים	times	פעם	times	N;FEM;PL	N
פעמים	volte	פעם	volta	N;FEM;PL	N;FEM;PL
קבוצות	gruppi	קבוצה	gruppo	N;FEM;PL	N;MASC;PL
קבוצות	squadre	קבוצה	squadra	N;FEM;PL	N;FEM;PL
סרט	film	סרט	film	N;MASC;SG	N;MASC
סרט	pellicola	סרט	pellicolo	N;MASC;SG	N;FEM;SG
סרט	film	סרט	film	N;MASC;SG	N;MASC
קרב	battle	קרב	battle	N;MASC;SG	N
קרב	battaglia	קרב	battaglia	N;MASC;SG	N;FEM;SG
קרב	combattimento	קרב	combattimento	N;MASC;SG	N;MASC;SG
קרב	combat	קרב	combat	N;MASC;SG	N
קצר	corto	קצר	corto	ADJ;MASC;SG	ADJ;MASC;SG
קצר	breve	קצר	breve	ADJ;MASC;SG	ADJ;SG
קצר	breve	קצר	breve	ADJ;MASC;SG	ADJ;SG
ימים	giorni	יום	giorno	N;MASC;PL	N;MASC;PL
ימים	giornate	יום	giornata	N;MASC;PL	N;FEM;PL
ימים	days	יום	days	N;MASC;PL	N
צבא	esercito	צבא	esercito	N;MASC;SG	N;MASC;SG
צבא	armata	צבא	armata	N;MASC;SG	N;FEM;SG
צבא	esercito	צבא	esercito	N;MASC;SG	N;MASC;SG
ים	mare	ים	mare	N;MASC;SG	N;MASC;SG
ים	sea	ים	sea	N;MASC;SG	N
הפך	divenne	הפך	divenire	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN
משחק	game	משחק	game	N;MASC;SG	N
משחק	gioco	משחק	gioco	N;MASC;SG	N;MASC;SG
משחק	partita	משחק	partita	N;MASC;SG	N;FEM;SG
משחק	selvaggina	משחק	selvaggina	N;MASC;SG	N;FEM;SG
משחק	recitazione	משחק	recitazione	N;MASC;SG	N;FEM;SG
ראשי	head	ראש	head	N;PSSD;MASC;PL	N
ראשי	chief	ראש	chief	N;PSSD;MASC;PL	N
ראשי	primarie	ראש	primario	N;PSSD;MASC;PL	N;FEM;PL
נבחר	scelto	נבחר	scegliere	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
נבחר	selezionato	נבחר	selezionato	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
נבחר	selezionata	נבחר	selezionato	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
מדי	troppo	מדי	troppo	ADV	ADV
פעילות	attività	פעילות	attività	N;FEM;SG	N;FEM
שטח	field	שטח	field	N;MASC;SG	N
שטח	campo	שטח	campo	N;MASC;SG	N;MASC;SG
שטח	terreno	שטח	terreno	N;MASC;SG	N;MASC;SG
שטח	zona	שטח	zona	N;MASC;SG	N;FEM;SG
שטח	area	שטח	area	N;MASC;SG	N;FEM;SG
מאוחר	tardi	מאוחר	tardi	ADV	ADV
קולנוע	film	קולנוע	film	N;MASC;SG	N;MASC
קולנוע	film	קולנוע	film	N;MASC;SG	N;MASC
קולנוע	cinema	קולנוע	cinema	N;MASC;SG	N;MASC
קולנוע	cinematografia	קולנוע	cinematografia	N;MASC;SG	N;FEM;SG
קולנוע	fotografia	קולנוע	fotografia	N;MASC;SG	N;FEM;SG
קולנוע	cinema	קולנוע	cinema	N;MASC;SG	N;MASC
קשר	connessione	קשר	connessione	N;MASC;SG	N;FEM;SG
קשר	collegamento	קשר	collegamento	N;MASC;SG	N;MASC;SG
קשר	contatto	קשר	contatto	N;MASC;SG	N;MASC;SG
קשר	nodo	קשר	nodo	N;MASC;SG	N;MASC;SG
אחרת	altrimenti	אחרת	altrimenti	ADV	ADV
פני	penny	פנים	penny	N;PL	N;MASC
קודם	prima	קודם	prima	ADV	ADV
עיר	città	עיר	città	N;FEM;SG	N;FEM
עיר	città	עיר	città	N;FEM;SG	N;FEM
הופעות	visualizzazioni	הופעה	visualizzazione	N;FEM;PL	N;FEM;PL
הופעות	impressioni	הופעה	impressione	N;FEM;PL	N;FEM;PL
הופעות	apparizioni	הופעה	apparizione	N;FEM;PL	N;FEM;PL
הופעות	apparenze	הופעה	apparenza	N;FEM;PL	N;FEM;PL
הופעות	concerti	הופעה	concerto	N;FEM;PL	N;MASC;PL
תקופה	periodo	תקופה	periodo	N;FEM;SG	N;MASC;SG
ספרים	libri	ספר	libro	N;MASC;PL	N;MASC;PL
קטן	piccola	קטן	piccolo	ADJ;MASC;SG	ADJ;FEM;SG
קטן	piccolo	קטן	piccolo	ADJ;MASC;SG	ADJ;MASC;SG
קטן	piccolo	קטן	piccolo	ADJ;MASC;SG	ADJ;MASC;SG
קטן	piccola	קטן	piccolo	ADJ;MASC;SG	ADJ;FEM;SG
למד	imparata	למד	imparare	V;MASC;SG;3;PST	V;FEM;SG;PST;V.PTCP
למד	imparato	למד	imparare	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP
למד	studiata	למד	studiare	V;MASC;SG;3;PST	V;FEM;SG;PST;V.PTCP
למד	studiato	למד	studiare	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP
למד	imparare	למד	imparare	V;MASC;SG;3;PST	V;NFIN
ברית	alleanza	ברית	alleanza	N;FEM;SG	N;FEM;SG
תשע	nove	תשע	nove	NUM;FEM;SG	NUM
פחות	meno	פחות	meno	ADV	ADV
פחות	meno	פחות	meno	ADV	ADV
משרד	office	משרד	office	N;MASC;SG	N
משרד	ufficio	משרד	ufficio	N;MASC;SG	N;MASC;SG
איך	come	איך	come	ADV	ADV
גרסאות	varianti	גרסה	variante	N;FEM;PL	N;FEM;PL
גרסאות	versioni	גרסה	versione	N;FEM;PL	N;FEM;PL
זהב	golden	זהב	golden	N;MASC;SG	N;MASC;SG
זהב	oro	זהב	oro	N;MASC;SG	N;MASC;SG
זהב	gold	זהב	gold	N;MASC;SG	N
עולם	mondo	עולם	mondo	N;MASC;SG	N;MASC;SG
עולם	world	עולם	world	N;MASC;SG	N;MASC
יד	yad	יד	yad	N;FEM;SG	N;MASC
יד	hand	יד	hand	N;FEM;SG	N
יד	mano	יד	mano	N;FEM;SG	N;FEM;SG
מדינה	nazione	מדינה	nazione	N;FEM;SG	N;FEM;SG
מדינה	paese	מדינה	paese	N;FEM;SG	N;MASC;SG
ארגון	organizzazione	ארגון	organizzazione	N;MASC;SG	N;FEM;SG
ארגון	organizzazione	ארגון	organizzazione	N;MASC;SG	N;FEM;SG
לכתוב	scriva	כתב	scrivere	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
לכתוב	scrivi	כתב	scrivere	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN
לכתוב	scrivere	כתב	scrivere	V;NFIN;ACT	V;NFIN
לכתוב	scrivete	כתב	scrivere	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
גדולה	grande	גדול	grande	ADJ;FEM;SG	ADJ;SG
גדולה	grosso	גדול	grosso	ADJ;FEM;SG	ADJ;MASC;SG
גדולה	grande	גדול	grande	ADJ;FEM;SG	ADJ;SG
אוכלוסייה	popolazione	אוכלוסייה	popolazione	N;FEM;SG	N;FEM;SG
הקהילה	comunità	הקהיל	comunità	N;FEM;SG	N;FEM
כנגד	contro	כנגד	contro	ADP	ADP
מחוז	contea	מחוז	contea	N;MASC;SG	N;FEM;SG
מחוז	provincia	מחוז	provincia	N;MASC;SG	N;FEM;SG
מחוז	distretto	מחוז	distretto	N;MASC;SG	N;MASC;SG
תואר	laurea	תואר	laurea	N;MASC;SG	N;FEM;SG
סדרת	serie	סדרה	serie	N;FEM;SG	N;FEM
למצוא	trovate	מצא	trovare	V;NFIN;ACT	V;IND;PL;2;PRS;FIN
למצוא	trovare	מצא	trovare	V;NFIN;ACT	V;NFIN
למצוא	trova	מצא	trovare	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
נקרא	chiamato	נקרא	chiamare	V;MASC;SG;3;PST;MID	V;MASC;SG;PST;V.PTCP
נקרא	chiamata	נקרא	chiamare	V;MASC;SG;3;PST;MID	V;FEM;SG;PST;V.PTCP
עבודה	giobbe	עבודה	giobbe	N;FEM;SG	N;MASC;SG
עבודה	lavoro	עבודה	lavoro	N;FEM;SG	N;MASC;SG
עבודה	job	עבודה	job	N;FEM;SG	N
עבודה	lavoro	עבודה	lavoro	N;FEM;SG	N;MASC;SG
חשוב	importante	חשוב	importante	ADJ;MASC;SG	ADJ;SG
תבנית	pattern	תבנית	pattern	N;FEM;SG	N;MASC
תבנית	schema	תבנית	schema	N;FEM;SG	N;MASC;SG
תבנית	modello	תבנית	modello	N;FEM;SG	N;MASC;SG
תבנית	template	תבנית	templare	N;FEM;SG	N;MASC
אמריקאים	americani	אמריקני	americano	N;MASC;PL	N;MASC;PL
אמריקאים	americani	אמריקני	americano	N;MASC;PL	N;MASC;PL
נחשב	considerato	נחשב	considerare	V;MASC;SG;V.PTCP;MID	V;MASC;SG;PST;V.PTCP
דרום	sud	דרום	sud	N;MASC;SG	N;MASC;SG
דרום	southern	דרום	soutvern	N;MASC;SG	N
דרום	sud	דרום	sud	N;MASC;SG	N;MASC;SG
דרום	south	דרום	south	N;MASC;SG	N;MASC
זכויות	diritti	זכות	diritto	N;FEM;PL	N;MASC;PL
אולי	forse	אולי	forse	ADV	ADV
אולי	forse	אולי	forse	ADV	ADV
אולי	magari	אולי	magari	ADV	ADV
לקבל	accetti	קיבל	accettare	V;NFIN;ACT	V;IND;SG;2;PRS;FIN
לקבל	accetto	קיבל	accettare	V;NFIN;ACT	V;IND;SG;1;PRS;FIN
לקבל	accetta	קיבל	accettare	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
לקבל	accettare	קיבל	accettare	V;NFIN;ACT	V;NFIN
לקבל	accettate	קיבל	accettare	V;NFIN;ACT	V;FEM;PL;PST;V.PTCP
לקבל	accettano	קיבל	accettare	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
לקבל	ottenere	קיבל	ottenere	V;NFIN;ACT	V;NFIN
לקבל	ottieni	קיבל	ottenere	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN
לקבל	ricevi	קיבל	ricevere	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN
מבנה	struttura	מבנה	struttura	N;MASC;SG	N;FEM;SG
להשתמש	utilizzare	השתמש	utilizzare	V;NFIN	V;NFIN
בסיס	base	בסיס	base	N;MASC;SG	N;FEM;SG
בסיס	base	בסיס	base	N;MASC;SG	N;FEM;SG
