まで	hasta	まで	hasta	ADP	ADP
クラブ	trébol	クラブ	trébol	N	N;MASC;SG
クラブ	discotecas	クラブ	discoteca	N	N;FEM;PL
クラブ	tréboles	クラブ	trébol	N	N;MASC;PL
クラブ	clubes	クラブ	club	N	N;MASC;PL
中央	chūō	中央	chūō	N	N;MASC
中央	centrales	中央	central	N	N;FEM;PL
中央	centro	中央	centro	N	N;MASC;SG
中央	center	中央	center	N	N;MASC;SG
中央	centro	中央	centro	N	N;MASC;SG
中央	centre	中央	centre	N	N;MASC;SG
同じ	mismo	同じ	mismo	ADJ	ADJ;MASC;SG
考え	pensando	考える	pensar	V	V;V.MSDR
考え	pensar	考える	pensar	V	V;NFIN
教育	educación	教育	educación	N	N;FEM;SG
教育	enseñanza	教育	enseñanza	N	N;FEM;SG
教育	educacion	教育	educacion	N	N;FEM;SG
小学校	primaria	小学校	primario	N	N;FEM;SG
編集	edita	編集	editar	V	V;IND;SG;3;PRS;FIN
編集	editar	編集	editar	V	V;NFIN
編集	edita	編集	editar	V	V;IND;SG;3;PRS;FIN
編集	editando	編集	editar	V	V;V.MSDR
編集	editar	編集	editar	V	V;NFIN
編集	modificar	編集	modificar	V	V;NFIN
編集	modifique	編集	modificar	V	V;IMP;SG;3;FIN
編集	modifica	編集	modificar	V	V;IND;SG;3;PRS;FIN
シーズン	temporada	シーズン	temporada	N	N;FEM;SG
シーズン	estaciones	シーズン	estación	N	N;FEM;PL
シーズン	temporadas	シーズン	temporada	N	N;FEM;PL
ファイル	files	ファイル	fil	N	N
ファイル	archivos	ファイル	archivo	N	N;MASC;PL
ファイル	expedientes	ファイル	expediente	N	N;MASC;PL
ファイル	ficheros	ファイル	fichero	N	N;MASC;PL
ファイル	fichero	ファイル	fichero	N	N;MASC;SG
ファイル	expediente	ファイル	expediente	N	N;MASC;SG
ファイル	archivo	ファイル	archivo	N	N;MASC;SG
都市	ciudad	都市	ciudad	N	N;FEM;SG
都市	ciudades	都市	ciudad	N	N;FEM;PL
出版	publicar	出版	publicar	V	V;NFIN
出版	publicando	出版	publicar	V	V;V.MSDR
会社	bufete	会社	bufete	N	N;MASC;SG
会社	compañia	会社	compañia	N	N;FEM;SG
会社	empresa	会社	empresa	N	N;FEM;SG
会社	compañía	会社	compañía	N	N;FEM;SG
会社	companía	会社	companía	N	N;FEM;SG
会社	compañias	会社	compañia	N	N;FEM;PL
会社	empresas	会社	empresa	N	N;FEM;PL
会社	compañías	会社	compañía	N	N;FEM;PL
世紀	siglos	世紀	siglo	N	N;MASC;PL
世紀	siglo	世紀	siglo	N	N;MASC;SG
ノート	note	ノート	notar	N	N
ノート	nota	ノート	nota	N	N;FEM;SG
ノート	portátiles	ノート	portátil	N	N;PL
ノート	cuadernos	ノート	cuaderno	N	N;MASC;PL
ノート	apuntes	ノート	apunte	N	N;MASC;PL
ノート	notas	ノート	nota	N	N;FEM;PL
ノート	notes	ノート	note	N	N
ノート	libreta	ノート	libreta	N	N;FEM;SG
ノート	cuaderno	ノート	cuaderno	N	N;MASC;SG
社会	society	社会	society	N	N;SG
社会	sociedad	社会	sociedad	N	N;FEM;SG
社会	sociedades	社会	sociedad	N	N;FEM;PL
シングル	soltero	シングル	soltero	N	N;MASC;SG
シングル	soltera	シングル	soltera	N	N;FEM;SG
シングル	single	シングル	single	N	N;MASC;SG
センター	centro	センター	centro	N	N;MASC;SG
センター	center	センター	center	N	N;MASC;SG
センター	centro	センター	centro	N	N;MASC;SG
センター	centre	センター	centre	N	N;MASC;SG
終了	renunciar	終了	renunciar	V	V;NFIN
終了	acabar	終了	acabar	V	V;NFIN
終了	terminar	終了	terminar	V	V;NFIN
終了	finalizar	終了	finalizar	V	V;NFIN
終了	salir	終了	salir	V	V;NFIN
中心	centro	中心	centro	N	N;MASC;SG
中心	center	中心	center	N	N;MASC;SG
中心	centro	中心	centro	N	N;MASC;SG
中心	centre	中心	centre	N	N;MASC;SG
内容	contenido	内容	contenido	N	N;MASC;SG
内容	contenidos	内容	contenido	N	N;MASC;PL
内容	contenido	内容	contenido	N	N;MASC;SG
内容	contenidos	内容	contenido	N	N;MASC;PL
文化	cultivo	文化	cultivo	N	N;MASC;SG
文化	cultura	文化	cultura	N	N;FEM;SG
ドラマ	drama	ドラマ	drama	N	N;MASC;SG
ドラマ	dramas	ドラマ	drama	N	N;MASC;PL
撮影	filmando	撮影	filmar	V	V;V.MSDR
撮影	grabando	撮影	grabar	V	V;V.MSDR
選手権	campeonatos	選手権	campeonato	N	N;MASC;PL
選手権	campeonato	選手権	campeonato	N	N;MASC;SG
選手権	campeonato	選手権	campeonato	N	N;MASC;SG
選手権	championship	選手権	championship	N	N;MASC;SG
選手権	campeonatos	選手権	campeonato	N	N;MASC;PL
野球	beisbol	野球	beisbol	N	N;MASC;SG
野球	baseball	野球	baseball	N	N;SG
野球	béisbol	野球	béisbol	N	N;MASC;SG
指定	especifica	指定	especificar	V	V;IND;SG;3;PRS;FIN
指定	especifique	指定	especificar	V	V;IMP;SG;3;FIN
指定	precisar	指定	precisar	V	V;NFIN
指定	especificar	指定	especificar	V	V;NFIN
卒業	graduarse	卒業	graduarse	V	V;SBJV;SG;3;PRS;FIN
人物	persona	人物	persona	N	N;FEM;SG
文庫	bunko	文庫	bunko	N	N;SG
公開	publicar	公開	publicar	V	V;NFIN
公開	publique	公開	publicar	V	V;IMP;SG;3;FIN
最終	last	最終	last	N	N
最終	finales	最終	final	N	N;MASC;PL
最終	final	最終	final	N	N;MASC;SG
アニメ	anime	アニメ	animar	N	N;MASC;SG
確認	confirmar	確認	confirmar	V	V;NFIN
確認	confirma	確認	confirmar	V	V;IND;SG;3;PRS;FIN
確認	confirme	確認	confirmar	V	V;IMP;SG;3;FIN
確認	confirmo	確認	confirmar	V	V;IND;SG;1;PRS;FIN
一般	generalidades	一般	generalidad	N	N;FEM;PL
一般	generales	一般	general	N	N;MASC;PL
一般	general	一般	general	N	N;SG
歴史	historia	歴史	historia	N	N;FEM;SG
歴史	historial	歴史	historial	N	N;MASC;SG
選挙	elección	選挙	elección	N	N;FEM;SG
選挙	elecciones	選挙	elección	N	N;FEM;PL
選挙	eleccion	選挙	eleccion	N	N;FEM;SG
選挙	elecciones	選挙	elección	N	N;FEM;PL
計画	planificación	計画	planificación	N	N;FEM;SG
計画	planeación	計画	planeación	N	N;FEM;SG
計画	planeamiento	計画	planeamiento	N	N;MASC;SG
計画	plano	計画	plano	N	N;MASC;SG
計画	plan	計画	plan	N	N;MASC;SG
計画	planos	計画	plano	N	N;MASC;PL
計画	planes	計画	plan	N	N;MASC;PL
経済	economías	経済	economía	N	N;FEM;PL
経済	economia	経済	economia	N	N;FEM;SG
経済	economía	経済	economía	N	N;FEM;SG
ページ	pagina	ページ	pagina	N	N;FEM;SG
ページ	página	ページ	página	N	N;FEM;SG
ページ	page	ページ	pager	N	N
ページ	páginas	ページ	página	N	N;FEM;PL
ページ	paginas	ページ	pagina	N	N;FEM;PL
教授	profesor	教授	profesor	N	N;MASC;SG
教授	catedrático	教授	catedrático	N	N;MASC;SG
教授	profesora	教授	profesora	N	N;FEM;SG
ラジオ	radio	ラジオ	radio	N	N;FEM;SG
ラジオ	radios	ラジオ	radio	N	N;FEM;PL
劇場	teatro	劇場	teatro	N	N;MASC;SG
劇場	teatros	劇場	teatro	N	N;MASC;PL
劇場	teatro	劇場	teatro	N	N;MASC;SG
グループ	grupo	グループ	grupo	N	N;MASC;SG
グループ	group	グループ	group	N	N
グループ	grupos	グループ	grupo	N	N;MASC;PL
グループ	agrupaciones	グループ	agrupación	N	N;FEM;PL
英語	inglés	英語	inglés	N	N;MASC;SG
英語	espanol	英語	espanol	N	N;MASC;SG
女性	mujer	女性	mujer	N	N;FEM;SG
女性	mujer	女性	mujer	N	N;FEM;SG
女性	hembra	女性	hembra	N	N;FEM;SG
女性	hembras	女性	hembra	N	N;FEM;PL
女性	mujer	女性	mujer	N	N;FEM;SG
女性	mujeres	女性	mujer	N	N;FEM;PL
地区	distrito	地区	distrito	N	N;MASC;SG
獲得	gane	獲得	ganar	V	V;IMP;SG;3;FIN
得点	puntuación	得点	puntuación	N	N;FEM;SG
得点	partitura	得点	partitura	N	N;FEM;SG
コメント	comentario	コメント	comentario	N	N;MASC;SG
コメント	observaciones	コメント	observación	N	N;FEM;PL
コメント	comentarios	コメント	comentario	N	N;MASC;PL
コメント	comentario	コメント	comentario	N	N;MASC;SG
漫画	historietas	漫画	historieta	N	N;FEM;PL
漫画	comics	漫画	comics	N	N;MASC;PL
漫画	historieta	漫画	historieta	N	N;FEM;SG
漫画	cómics	漫画	cómics	N	N;MASC;PL
漫画	cómic	漫画	cómic	N	N;MASC;SG
漫画	manga	漫画	manga	N	N;FEM;SG
販売	vendiendo	販売	vender	V	V;V.MSDR
販売	vender	販売	vender	V	V;NFIN
販売	vendo	販売	ver	V	V;FIN
攻撃	ataca	攻撃	atacar	V	V;IND;SG;3;PRS;FIN
攻撃	atacar	攻撃	atacar	V	V;NFIN
攻撃	ataquen	攻撃	ataquen	V	V;IMP;PL;3;FIN
攻撃	ataca	攻撃	atacar	V	V;IND;SG;3;PRS;FIN
サッカー	soccer	サッカー	soccer	N	N;SG
サッカー	fútbol	サッカー	fútbol	N	N;MASC;SG
サッカー	futbol	サッカー	futbol	N	N;MASC;SG
議員	senador	議員	senador	N	N;MASC;SG
議員	senadora	議員	senadora	N	N;FEM;SG
協会	asociación	協会	asociación	N	N;FEM;SG
協会	association	協会	association	N	N;FEM;SG
路線	rutas	路線	ruta	N	N;FEM;PL
戦争	guerra	戦争	guerra	N	N;FEM;SG
戦争	war	戦争	war	N	N;SG
戦争	guerras	戦争	guerra	N	N;FEM;PL
部分	part	部分	part	N	N
部分	parte	部分	parte	N	N;FEM;SG
番号	número	番号	número	N	N;MASC;SG
番号	numero	番号	numero	N	N;MASC;SG
期間	duración	期間	duración	N	N;FEM;SG
期間	periodo	期間	periodo	N	N;MASC;SG
期間	período	期間	período	N	N;MASC;SG
場所	lugar	場所	lugar	N	N;MASC;SG
場所	place	場所	place	N	N
場所	lugar	場所	lugar	N	N;MASC;SG
場所	ubicacion	場所	ubicacion	N	N;FEM;SG
場所	ubicación	場所	ubicación	N	N;FEM;SG
場所	emplazamiento	場所	emplazamiento	N	N;MASC;SG
場所	localización	場所	localización	N	N;FEM;SG
場所	sitios	場所	sitio	N	N;MASC;PL
場所	lugares	場所	lugar	N	N;MASC;PL
場所	localidades	場所	localidad	N	N;FEM;PL
場所	plazas	場所	plaza	N	N;FEM;PL
技術	tecnologia	技術	tecnologia	N	N;FEM;SG
技術	tecnología	技術	tecnología	N	N;FEM;SG
海軍	marina	海軍	marina	N	N;FEM;SG
リンク	enlazar	リンク	enlazar	V	V;NFIN
道路	carreteras	道路	carretera	N	N;FEM;PL
道路	caminos	道路	camino	N	N;MASC;PL
道路	road	道路	road	N	N;MASC
道路	camino	道路	camino	N	N;MASC;SG
道路	carretera	道路	carretera	N	N;FEM;SG
システム	system	システム	system	N	N
システム	sistema	システム	sistema	N	N;MASC;SG
システム	sistemas	システム	sistema	N	N;MASC;PL
システム	systems	システム	system	N	N
モデル	modelos	モデル	modelo	N	N;MASC;PL
モデル	maquetas	モデル	maqueta	N	N;FEM;PL
モデル	modelos	モデル	modelo	N	N;MASC;PL
モデル	maqueta	モデル	maqueta	N	N;FEM;SG
モデル	modelo	モデル	modelo	N	N;MASC;SG
対応	correspondencia	対応	correspondencia	N	N;FEM;SG
対応	correspondencias	対応	correspondencia	N	N;FEM;PL
列車	train	列車	train	N	N
列車	trenes	列車	tren	N	N;MASC;PL
列車	entreno	列車	entreno	N	N;MASC;SG
列車	tren	列車	tren	N	N;MASC;SG
列車	trenes	列車	tren	N	N;MASC;PL
とき	when	とき	when	N	N
最後	last	最後	last	N	N
科学	ciencia	科学	ciencia	N	N;FEM;SG
科学	ciencias	科学	ciencia	N	N;FEM;PL
理由	motivos	理由	motivo	N	N;MASC;PL
理由	razones	理由	razón	N	N;FEM;PL
理由	razón	理由	razón	N	N;FEM;SG
理由	motivo	理由	motivo	N	N;MASC;SG
理由	razon	理由	razon	N	N;FEM;SG
そして	y	そして	y	CONJ	CONJ
最高	best	最高	best	N	N;MASC;SG
ブロック	bloques	ブロック	bloque	N	N;MASC;PL
ブロック	cuadras	ブロック	cuadra	N	N;FEM;PL
ブロック	bloque	ブロック	bloque	N	N;MASC;SG
ブロック	bloqueo	ブロック	bloqueo	N	N;MASC;SG
ブロック	cuadra	ブロック	cuadra	N	N;FEM;SG
車両	vehículos	車両	vehículo	N	N;MASC;PL
車両	vehiculos	車両	vehiculo	N	N;MASC;PL
車両	vehículo	車両	vehículo	N	N;MASC;SG
車両	vehiculo	車両	vehiculo	N	N;MASC;SG
自動車	coches	自動車	coche	N	N;MASC;PL
自動車	coche	自動車	coche	N	N;MASC;SG
自動車	automóvil	自動車	automóvil	N	N;MASC;SG
自動車	carro	自動車	carro	N	N;MASC;SG
自動車	auto	自動車	auto	N	N;MASC;SG
自動車	automóviles	自動車	automóvil	N	N;MASC;PL
自動車	automóvil	自動車	automóvil	N	N;MASC;SG
人口	poblaciones	人口	población	N	N;FEM;PL
人口	población	人口	población	N	N;FEM;SG
特に	particularmente	特に	particularmente	ADV	ADV
特に	especialmente	特に	especialmente	ADV	ADV
特に	especialmente	特に	especialmente	ADV	ADV
営業	empresa	営業	empresa	N	N;FEM;SG
営業	negocio	営業	negocio	N	N;MASC;SG
営業	negocios	営業	negocio	N	N;MASC;PL
新聞	periódico	新聞	periódico	N	N;MASC;SG
新聞	periodico	新聞	periodico	N	N;MASC;SG
新聞	periódicos	新聞	periódico	N	N;MASC;PL
新聞	diarios	新聞	diario	N	N;MASC;PL
新聞	prensa	新聞	prensa	N	N;FEM;SG
新聞	periódicos	新聞	periódico	N	N;MASC;PL
連続	continuo	連続	continuo	ADJ	ADJ;MASC;SG
連続	continuas	連続	continuo	ADJ	ADJ;FEM;PL
連続	continua	連続	continuo	ADJ	ADJ;FEM;SG
政府	gobierno	政府	gobierno	N	N;MASC;SG
キャラクター	carácter	キャラクター	carácter	N	N;MASC;SG
キャラクター	caracter	キャラクター	caracter	N	N;MASC;SG
キャラクター	personaje	キャラクター	personaje	N	N;MASC;SG
キャラクター	caracteres	キャラクター	carácter	N	N;MASC;PL
キャラクター	personajes	キャラクター	personaje	N	N;MASC;PL
小説	novela	小説	novela	N	N;FEM;SG
小説	novelas	小説	novela	N	N;FEM;PL
機関	órganos	機関	órgano	N	N;MASC;PL
機関	institución	機関	institución	N	N;FEM;SG
機関	instituciones	機関	institución	N	N;FEM;PL
メンバー	miembro	メンバー	miembro	N	N;MASC;SG
メンバー	diputados	メンバー	diputado	N	N;MASC;PL
メンバー	miembros	メンバー	miembro	N	N;MASC;PL
発行	cuestión	発行	cuestión	N	N;FEM;SG
画像	imagenes	画像	imagen	N	N;FEM;PL
画像	imágenes	画像	imagen	N	N;FEM;PL
画像	foto	画像	foto	N	N;FEM;SG
画像	imagen	画像	imagen	N	N;FEM;SG
画像	imágen	画像	imágen	N	N;FEM;SG
状態	state	状態	state	N	N
状態	estado	状態	estado	N	N;MASC;SG
状態	condicion	状態	condicionr	N	N;FEM;SG
状態	estado	状態	estado	N	N;MASC;SG
状態	condición	状態	condición	N	N;FEM;SG
名称	denominación	名称	denominación	N	N;FEM;SG
名称	nombre	名称	nombre	N	N;MASC;SG
名称	name	名称	name	N	N
名称	denominación	名称	denominación	N	N;FEM;SG
名称	nombres	名称	nombre	N	N;MASC;PL
ダム	dam	ダム	dam	N	N;MASC
ダム	presa	ダム	presa	N	N;FEM;SG
ダム	embalse	ダム	embalse	N	N;MASC;SG
ダム	represa	ダム	represar	N	N;FEM;SG
ダム	dique	ダム	dique	N	N;MASC;SG
ホーム	hogar	ホーム	hogar	N	N;MASC;SG
ホーム	casa	ホーム	casa	N	N;FEM;SG
ホーム	inicio	ホーム	inicio	N	N;MASC;SG
投稿	publicar	投稿	publicar	V	V;NFIN
投稿	publica	投稿	publicar	V	V;IND;SG;3;PRS;FIN
投稿	postear	投稿	postear	V	V;NFIN
投稿	publicar	投稿	publicar	V	V;NFIN
投稿	publicando	投稿	publicar	V	V;V.MSDR
名前	nombre	名前	nombre	N	N;MASC;SG
名前	name	名前	name	N	N
名前	denominación	名前	denominación	N	N;FEM;SG
名前	nombres	名前	nombre	N	N;MASC;PL
施設	facilidades	施設	facilidad	N	N;FEM;PL
施設	instalaciones	施設	instalación	N	N;FEM;PL
施設	institución	施設	institución	N	N;FEM;SG
独立	independiente	独立	independiente	ADJ	ADJ;SG
物語	historia	物語	historia	N	N;FEM;SG
物語	story	物語	story	N	N
物語	narrativa	物語	narrativa	N	N;FEM;SG
物語	narración	物語	narración	N	N;FEM;SG
神社	santuarios	神社	santuario	N	N;MASC;PL
神社	santuario	神社	santuario	N	N;MASC;SG
神社	jinja	神社	jinja	N	N;MASC;SG
企画	planificación	企画	planificación	N	N;FEM;SG
企画	planeación	企画	planeación	N	N;FEM;SG
企画	planeamiento	企画	planeamiento	N	N;MASC;SG
サン	san	サン	san	N	N;MASC;SG
企業	empresa	企業	empresa	N	N;FEM;SG
企業	enterprise	企業	enterprir	N	N;SG
航空	aviation	航空	aviation	N	N;MASC;SG
航空	aviación	航空	aviación	N	N;FEM;SG
航空	aire	航空	aire	N	N;MASC;SG
航空	air	航空	air	N	N
帝国	imperio	帝国	imperio	N	N;MASC;SG
帝国	empire	帝国	empire	N	N
トン	tonelada	トン	tonelada	N	N;FEM;SG
トン	toneladas	トン	tonelada	N	N;FEM;PL
トン	tonelada	トン	tonelada	N	N;FEM;SG
トン	toneladas	トン	tonelada	N	N;FEM;PL
トン	toneladas	トン	tonelada	N	N;FEM;PL
影響	influir	影響	influir	V	V;NFIN
影響	influenciar	影響	influenciar	V	V;NFIN
勝利	ganar	勝利	ganar	V	V;NFIN
勝利	gana	勝利	ganar	V	V;IND;SG;3;PRS;FIN
勝利	gane	勝利	ganar	V	V;IMP;SG;3;FIN
勝利	gano	勝利	ganar	V	V;IND;SG;1;PRS;FIN
勝利	gana	勝利	ganar	V	V;IND;SG;3;PRS;FIN
勝利	gane	勝利	ganar	V	V;IMP;SG;3;FIN
勝利	ganar	勝利	ganar	V	V;NFIN
勝利	ganando	勝利	ganar	V	V;V.MSDR
