kas	кой	kas	кой	PRO;NOM	PRO;NOM;MASC;SG
komanda	командата	komanda	команда	N;NOM;FEM;SG	N;DEF;MASC;SG
komanda	отбор	komanda	отбор	N;NOM;FEM;SG	N;INDF;MASC;SG
komanda	отбора	komanda	отбор	N;NOM;FEM;SG	N;DEF;MASC;SG
komanda	екип	komanda	екип	N;NOM;FEM;SG	N;INDF;MASC;SG
martā	март	marts	март	N;ESS;MASC;SG	N;INDF;MASC;SG
novembrī	ноември	novembris	ноември	N;ESS;MASC;SG	N;INDF;MASC;SG
augustā	август	augusts	август	N;ESS;MASC;SG	N;INDF;MASC;SG
dienas	дни	diena	ден	N;NOM;FEM;PL	N;INDF;MASC;PL
jūnijā	джун	jūnijs	джун	N;ESS;MASC;SG	N;INDF;MASC;SG
jūnijā	юни	jūnijs	юни	N;ESS;MASC;SG	N;INDF;MASC;SG
armijas	армии	armija	армия	N;NOM;FEM;PL	N;INDF;FEM;PL
klubs	клуб	klubs	клуб	N;NOM;MASC;SG	N;INDF;MASC;SG
klubs	клубът	klubs	клуб	N;NOM;MASC;SG	N;DEF;MASC;SG
cilvēku	човек	cilvēks	човек	N;ACC;MASC;SG	N;INDF;MASC;SG
sākās	започна	sākties	започна	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
salas	острови	sala	островя-(се)	N;NOM;FEM;PL	N;INDF;FEM;PL
salas	островите	sala	остров	N;NOM;FEM;PL	N;DEF;FEM;PL
hokeja	хокей	hokejs	хокей	N;GEN;MASC;SG	N;INDF;MASC;SG
decembrī	декември	decembris	декември	N;ESS;MASC;SG	N;INDF;MASC;SG
ezers	езерото	ezers	езеро	N;NOM;MASC;SG	N;DEF;NEUT;SG
ezers	езеро	ezers	езеро	N;NOM;MASC;SG	N;INDF;NEUT;SG
dzelzceļa	железница	dzelzceļš	железница	N;GEN;MASC;SG	N;INDF;FEM;SG
iespējams	възможен	iespējams	възможен	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;SG
iespējams	възможна	iespējams	възможен	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
septembrī	септември	septembris	септември	N;ESS;MASC;SG	N;INDF;MASC;SG
gadus	години	gads	година	N;ACC;MASC;PL	N;INDF;FEM;PL
gadus	годините	gads	година	N;ACC;MASC;PL	N;DEF;FEM;PL
impērijas	империи	impērija	империя	N;NOM;FEM;PL	N;INDF;FEM;PL
impērijas	imperia	impērija	imperia	N;NOM;FEM;PL	N
oktobrī	октомври	oktobris	октомври	N;ESS;MASC;SG	N;INDF;MASC;SG
daļas	части	daļa	част	N;NOM;FEM;PL	N;INDF;FEM;PL
kultūras	култури	kultūra	култура	N;NOM;FEM;PL	N;INDF;FEM;PL
kultūras	насаждения	kultūra	насаждение	N;NOM;FEM;PL	N;INDF;NEUT;PL
kultūras	култури	kultūra	култура	N;NOM;FEM;PL	N;INDF;FEM;PL
kultūras	културите	kultūra	култура	N;NOM;FEM;PL	N;DEF;FEM;PL
rietumu	запад	rietumi	запад	N;ACC;MASC;SG	N;INDF;MASC;SG
rietumu	уестърн	rietumi	уестърн	N;ACC;MASC;SG	N;INDF;MASC;SG
rietumu	western	rietumi	western	N;ACC;MASC;SG	N;INDF;MASC;SG
dzimums	пол	dzimums	пол	N;NOM;MASC;SG	N;INDF;MASC;SG
dzimums	пола	dzimums	пола	N;NOM;MASC;SG	N;INDF;FEM;SG
dzimums	секс	dzimums	секс	N;NOM;MASC;SG	N;INDF;MASC;SG
dzimums	секса	dzimums	секс	N;NOM;MASC;SG	N;DEF;MASC;SG
dzimums	сексът	dzimums	секс	N;NOM;MASC;SG	N;DEF;MASC;SG
tagad	сега	tagad	сега	ADV	ADV
vairākas	няколко	vairākas	няколко	PRO;NOM;FEM;PL	PRO;INDF
baznīcas	църкви	baznīca	църква	N;NOM;FEM;PL	N;INDF;FEM;PL
baznīcas	църквите	baznīca	църква	N;NOM;FEM;PL	N;DEF;FEM;PL
auto	автомобил	auto	автомобил	N	N;INDF;MASC;SG
auto	кола	auto	кола	N	N;INDF;FEM;SG
auto	колата	auto	кола	N	N;DEF;FEM;SG
auto	камиона	auto	камион	N	N;DEF;MASC;SG
auto	трак	auto	трак	N	N;INDF;MASC;SG
auto	камион	auto	камион	N	N;INDF;MASC;SG
auto	камионът	auto	камион	N	N;DEF;MASC;SG
auto	авто	auto	авто	N	N;INDF;MASC;PL
baznīca	църква	baznīca	църква	N;NOM;FEM;SG	N;INDF;FEM;SG
baznīca	църквата	baznīca	църква	N;NOM;FEM;SG	N;DEF;FEM;SG
visas	всички	visa	всеки	PRO;NOM;FEM;PL	PRO;NOM;PL
aprīlī	април	aprīlis	април	N;ESS;MASC;SG	N;INDF;MASC;SG
sporta	спорт	sports	спорт	N;GEN;MASC;SG	N;INDF;MASC;SG
sporta	спорт	sports	спорт	N;GEN;MASC;SG	N;INDF;MASC;SG
mājaslapa	уебсайт	mājaslaps	уебсайт	N;NOM;FEM;SG	N;INDF;MASC;SG
mājaslapa	сайт	mājaslaps	сайт	N;NOM;FEM;SG	N;INDF;MASC;SG
partijas	партиди	partija	партида	N;NOM;FEM;PL	N;INDF;FEM;PL
franču	французи	francis	француга	N;GEN;MASC;PL	N;INDF;MASC;PL
mājas	къщи	māja	къща	N;NOM;FEM;PL	N;INDF;FEM;PL
mājas	домове	māja	дом	N;NOM;FEM;PL	N;INDF;MASC;PL
mājas	къщи	māja	къща	N;NOM;FEM;PL	N;INDF;FEM;PL
mājas	къщите	māja	къща	N;NOM;FEM;PL	N;DEF;FEM;PL
diskusija	дискусия	diskusija	дискусия	N;NOM;FEM;SG	N;INDF;FEM;SG
diskusija	обсъждане	diskusija	обсъждане	N;NOM;FEM;SG	N;INDF;NEUT;SG
februārī	февруари	februāris	февруари	N;ESS;MASC;SG	N;INDF;MASC;SG
gandrīz	почти	gandrīz	почти	ADV	ADV
tāpēc	следователно	tāpēc	следователно	ADV	ADV
krastā	брега	krasts	бряг	N;ESS;MASC;SG	N;DEF;MASC;SG
krastā	шор	krasts	шор	N;ESS;MASC;SG	N;INDF;MASC;SG
krastā	бряг	krasts	бряг	N;ESS;MASC;SG	N;INDF;MASC;SG
pasta	поща	pasts	поща	N;NOM;MASC;SG	N;INDF;FEM;SG
albums	албум	albums	албум	N;NOM;MASC;SG	N;INDF;MASC;SG
prezidents	президентът	prezidents	президент	N;NOM;MASC;SG	N;DEF;MASC;SG
prezidents	президент	prezidents	президент	N;NOM;MASC;SG	N;INDF;MASC;SG
prezidents	председател	prezidents	председател	N;NOM;MASC;SG	N;INDF;MASC;SG
gadi	години	gads	година	N;NOM;MASC;PL	N;INDF;FEM;PL
gadi	годините	gads	година	N;NOM;MASC;PL	N;DEF;FEM;PL
karalis	крал	karalis	крал	N;NOM;MASC;SG	N;INDF;MASC;SG
karalis	кинг	karalis	кинг	N;NOM;MASC;SG	N;INDF;MASC;SG
karalis	кралят	karalis	крал	N;NOM;MASC;SG	N;DEF;MASC;SG
karalis	цар	karalis	цар	N;NOM;MASC;SG	N;INDF;MASC;SG
karalis	краля	karalis	крал	N;NOM;MASC;SG	N;DEF;MASC;SG
nodarbošanās	професия	nodarbošanās	професия	N;NOM;FEM;SG	N;INDF;FEM;SG
nodarbošanās	окупация	nodarbošanās	окупация	N;NOM;FEM;SG	N;INDF;FEM;SG
galvenokārt	предимно	galvenokārt	предимно	ADV	ADV
galvenokārt	главно	galvenokārt	главно	ADV	ADV
galvenokārt	основно	galvenokārt	основно	ADV	ADV
galvenokārt	предимно	galvenokārt	предимно	ADV	ADV
galvenokārt	главно	galvenokārt	главно	ADV	ADV
stacijas	станции	stacija	станция	N;NOM;FEM;PL	N;INDF;FEM;PL
politiķis	политик	politiķis	политик	N;NOM;MASC;SG	N;INDF;MASC;SG
šeit	тук	šeit	там	ADV	ADV
universitātes	университетите	universitāte	университет	N;NOM;FEM;PL	N;DEF;MASC;PL
universitātes	университети	universitāte	университет	N;NOM;FEM;PL	N;INDF;MASC;PL
iii	ііі	būt	ііі	ADJ	ADJ;INDF;MASC;SG
iii	iii	būt	iii	ADJ	ADJ;INDF;MASC;SG
republikas	републики	republika	република	N;NOM;FEM;PL	N;INDF;FEM;PL
gadiem	години	gads	година	N;DAT;MASC;PL	N;INDF;FEM;PL
gadiem	годините	gads	година	N;DAT;MASC;PL	N;DEF;FEM;PL
apgabals	окръг	apgabals	окръг	N;NOM;MASC;SG	N;INDF;MASC;SG
apgabals	графство	apgabals	графство	N;NOM;MASC;SG	N;INDF;NEUT;SG
apgabals	окръг	apgabals	окръг	N;NOM;MASC;SG	N;INDF;MASC;SG
apgabals	област	apgabals	област	N;NOM;MASC;SG	N;INDF;FEM;SG
apgabals	район	apgabals	район	N;NOM;MASC;SG	N;INDF;MASC;SG
apgabals	зона	apgabals	зона	N;NOM;MASC;SG	N;INDF;FEM;SG
apgabals	площ	apgabals	площ	N;NOM;MASC;SG	N;INDF;FEM;SG
apgabals	област	apgabals	област	N;NOM;MASC;SG	N;INDF;FEM;SG
apgabals	район	apgabals	район	N;NOM;MASC;SG	N;INDF;MASC;SG
darbības	операции	darbība	операция	N;NOM;FEM;PL	N;INDF;FEM;PL
darbības	дейности	darbība	дейност	N;NOM;FEM;PL	N;INDF;FEM;PL
darbības	занимания	darbība	занимание	N;NOM;FEM;PL	N;INDF;NEUT;PL
darbības	действия	darbība	действие	N;NOM;FEM;PL	N;INDF;NEUT;PL
darbības	постъпки	darbība	постъпка	N;NOM;FEM;PL	N;INDF;FEM;PL
darbības	искове	darbība	иск	N;NOM;FEM;PL	N;INDF;MASC;PL
ezera	езерото	ezers	езеро	N;GEN;MASC;SG	N;DEF;NEUT;SG
ezera	езеро	ezers	езеро	N;GEN;MASC;SG	N;INDF;NEUT;SG
izlase	мостра	izlase	мостра	N;NOM;FEM;SG	N;INDF;FEM;SG
izlase	проба	izlase	проба	N;NOM;FEM;SG	N;INDF;FEM;SG
izlase	извадка	izlase	извадка	N;NOM;FEM;SG	N;INDF;FEM;SG
izlase	селекция	izlase	селекция	N;NOM;FEM;SG	N;INDF;FEM;SG
izlase	подбор	izlase	подбор	N;NOM;FEM;SG	N;INDF;MASC;SG
izlase	избор	izlase	избор	N;NOM;FEM;SG	N;INDF;MASC;SG
tur	там	tur	там	ADV	ADV
viņi	те	viņš	аз	PRO;NOM;MASC;PL;3	PRO;NOM;PL;3
īpaši	особено	īpaši	особено	ADV	ADV
īpaši	особено	īpaši	особено	ADV	ADV
īpaši	специално	īpaši	специално	ADV	ADV
dienvidu	южен	dienvidi	южен	N;ACC;MASC;SG	N;INDF;MASC;SG
dienvidu	южен	dienvidi	южен	N;ACC;MASC;SG	N;INDF;MASC;SG
dienvidu	юг	dienvidi	юг	N;ACC;MASC;SG	N;INDF;MASC;SG
partija	парти	partija	парта	N;NOM;FEM;SG	N;INDF;NEUT;SG
partija	купон	partija	купон	N;NOM;FEM;SG	N;INDF;MASC;SG
partija	партия	partija	партия	N;NOM;FEM;SG	N;INDF;FEM;SG
partija	партида	partija	партида	N;NOM;FEM;SG	N;INDF;FEM;SG
partija	лот	partija	лот	N;NOM;FEM;SG	N;INDF;MASC;SG
informācija	информация	informācija	информация	N;NOM;FEM;SG	N;INDF;FEM;SG
informācija	информиране	informācija	информиране	N;NOM;FEM;SG	N;INDF;NEUT;SG
kluba	клуб	klubs	клуб	N;NOM;MASC;SG	N;INDF;MASC;SG
kluba	клубът	klubs	клуб	N;NOM;MASC;SG	N;DEF;MASC;SG
dzimusi	роден	dzimt	родя-(се)	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dzimusi	родена	dzimt	родя-(се)	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
teritorijas	териториите	teritorija	територия	N;NOM;FEM;PL	N;DEF;FEM;PL
teritorijas	територии	teritorija	територия	N;NOM;FEM;PL	N;INDF;FEM;PL
teritorijas	райони	teritorija	район	N;NOM;FEM;PL	N;INDF;MASC;PL
teritorijas	зони	teritorija	зоня	N;NOM;FEM;PL	N;INDF;FEM;PL
teritorijas	площи	teritorija	площ	N;NOM;FEM;PL	N;INDF;FEM;PL
teritorijas	области	teritorija	област	N;NOM;FEM;PL	N;INDF;FEM;PL
rajons	участък	rajons	участък	N;NOM;MASC;SG	N;INDF;MASC;SG
rajons	разделение	rajons	разделение	N;NOM;MASC;SG	N;INDF;NEUT;SG
rajons	дивизия	rajons	дивизия	N;NOM;MASC;SG	N;INDF;FEM;SG
rajons	деление	rajons	деление	N;NOM;MASC;SG	N;INDF;NEUT;SG
