van	frå	van	frå	ADP	ADP
goed	bra	goed	bra	ADJ	ADJ;INDF;NEUT;SG
bestand	fil	bestand	fil	N;NEUT;SG	N;INDF;MASC;SG
mensen	menneskene	mens	menneske	N;PL	N;DEF;FEM;PL
mensen	personer	mens	person	N;PL	N;INDF;FEM;PL
mensen	personar	mens	person	N;PL	N;INDF;MASC;PL
mensen	folk	mens	folk	N;PL	N;INDF;NEUT;PL
gaan	går	gaan	gå	V;PRS;NFIN	V;IND;PRS;FIN
gaan	skal	gaan	skulle	V;PRS;NFIN	V;IND;PRS;FIN
vaak	ofte	vaak	ofte	ADJ	ADJ
vaak	felles	vaak	felles	ADJ	ADJ;INDF;NEUT;SG
vaak	vanlig	vaak	vanlig	ADJ	ADJ;INDF;NEUT;SG
vaak	ofte	vaak	ofte	ADJ	ADJ
orde	orden	orde	orden	N;MASC+FEM;SG	N;INDF;MASC;SG
orde	bestilling	orde	bestilling	N;MASC+FEM;SG	N;INDF;FEM;SG
orde	order	orde	ord	N;MASC+FEM;SG	N;INDF
orde	rekkefølge	orde	rekkefølg	N;MASC+FEM;SG	N;INDF;MASC;SG
groot	stor	groot	stor	ADJ	ADJ;INDF;SG
groot	stort	groot	stor	ADJ	ADJ;INDF;NEUT;SG
groot	store	groot	stor	ADJ	ADJ;PL
groot	stor	groot	stor	ADJ	ADJ;INDF;SG
groot	stort	groot	stor	ADJ	ADJ;INDF;NEUT;SG
groot	flott	groot	flott	ADJ	ADJ;INDF;NEUT;SG
groot	supert	groot	super	ADJ	ADJ;INDF;NEUT;SG
groot	flotte	groot	flott	ADJ	ADJ;PL
groot	kjempefint	groot	kjempefint	ADJ	ADJ;INDF;NEUT;SG
marine	navy	marine	navy	N;MASC+FEM;SG	N;INDF;MASC;SG
marine	marine	marine	marin	N;MASC+FEM;SG	N;INDF;MASC;SG
marine	marinen	marine	marin	N;MASC+FEM;SG	N;DEF;MASC;SG
kerk	kirka	kerk	kirk	N;MASC+FEM;SG	N;INDF;FEM;SG
kerk	kirken	kerk	kirk	N;MASC+FEM;SG	N;DEF;MASC;SG
kerk	kirke	kerk	kirke	N;MASC+FEM;SG	N;INDF;MASC;SG
regio	region	regio	region	N;MASC+FEM;SG	N;INDF;MASC;SG
oppervlakte	areal	oppervlakte	areal	N;MASC+FEM;SG	N;INDF;NEUT;SG
oppervlakte	område	oppervlakte	område	N;MASC+FEM;SG	N;INDF;NEUT;SG
oppervlakte	området	oppervlakte	område	N;MASC+FEM;SG	N;DEF;NEUT;SG
oppervlakte	area	oppervlakte	area	N;MASC+FEM;SG	N;INDF;MASC;SG
genoemd	ringte	noemen	ringje	V;V.PTCP	V;IND;PST;FIN
ongeveer	omtrent	ongeveer	omtrent	ADV	ADV
ongeveer	omtrent	ongeveer	omtrent	ADV	ADV
ongeveer	cirka	ongeveer	cirka	ADV	ADV
php	php	php	php	N;MASC+FEM;SG	N;INDF;MASC;SG
speelde	spilte	spelen	spilte	V;SG;PST;FIN	V;IND;PST;FIN
dorp	landsby	dorp	landsby	N;NEUT;SG	N;INDF;MASC;SG
dorp	village	dorp	village	N;NEUT;SG	N;INDF;MASC;SG
dorp	bygda	dorp	bygd	N;NEUT;SG	N;DEF;FEM;SG
plaatsen	stader	plaats	stad	N;PL	N;INDF;MASC;PL
plaatsen	steder	plaats	stede	N;PL	N;INDF;MASC;PL
leven	liv	leven	liv	N;NEUT;SG	N;INDF;NEUT;SG
leven	livet	leven	liv	N;NEUT;SG	N;DEF;NEUT;SG
leven	life	leven	life	N;NEUT;SG	N;INDF;MASC;SG
leven	live	leven	live	N;NEUT;SG	N
leven	lev	leven	la	N;NEUT;SG	N;INDF;MASC;SG
leven	direktesending	leven	direktesending	N;NEUT;SG	N;INDF;FEM;SG
binnen	innafor	binnen	innafor	ADP	ADP
binnen	inne	binnen	inne	ADP	ADP
register	register	register	register	N;NEUT;SG	N;INDF;NEUT;SG
register	registeret	register	register	N;NEUT;SG	N;DEF;NEUT;SG
vier	fire	vier	fire	NUM	NUM;PL
toch	enda	toch	enda	ADV	ADV
toch	enno	toch	enno	ADV	ADV
toch	likevel	toch	likevel	ADV	ADV
toch	ennå	toch	ennå	ADV	ADV
top	øverst	top	øver	N;MASC+FEM;SG	N;INDF;MASC;SG
top	top	top	top	N;MASC+FEM;SG	N
top	toppen	top	topp	N;MASC+FEM;SG	N;DEF;MASC;SG
top	overdel	top	overdel	N;MASC+FEM;SG	N;INDF;NEUT;SG
top	topp	top	topp	N;MASC+FEM;SG	N;INDF;MASC;SG
top	summit	top	summit	N;MASC+FEM;SG	N;INDF;NEUT;SG
top	toppmøte	top	toppmøte	N;MASC+FEM;SG	N;INDF;NEUT;SG
oude	gammelt	oud	gammel	ADJ	ADJ;INDF;NEUT;SG
oude	gammal	oud	gammal	ADJ	ADJ;INDF;SG
oude	gamle	oud	gammal	ADJ	ADJ;PL
zonder	utan	zonder	utan	ADP	ADP
ronde	runde	ronde	runde	N;MASC+FEM;SG	N;INDF;MASC;SG
ronde	runden	ronde	runde	N;MASC+FEM;SG	N;DEF;MASC;SG
ronde	round	ronde	round	N;MASC+FEM;SG	N;INDF;SG
groep	gruppe	groep	gruppe	N;MASC+FEM;SG	N;INDF;FEM;SG
groep	gruppen	groep	grupp	N;MASC+FEM;SG	N;DEF;MASC;SG
goals	målene	goal	mål	N;PL	N;DEF;FEM;PL
gebruik	bruken	gebruik	bruk	N;NEUT;SG	N;DEF;MASC;SG
gebruik	bruk	gebruik	bruk	N;NEUT;SG	N;INDF;MASC;SG
gebruik	bruken	gebruik	bruk	N;NEUT;SG	N;DEF;MASC;SG
werken	arbeide	werken	arbeide	V;NFIN	V;NFIN
werken	jobbe	werken	jobbe	V;NFIN	V;NFIN
werken	arbeider	werken	arbeide	V;NFIN	V;IND;PRS;FIN
werken	fungerer	werken	fungere	V;NFIN	V;IND;PRS;FIN
derde	tredje	drie	tredje	ADJ	ADJ;DEF;SG
net	nett	net	nett	ADV	ADV
kleine	lite	klein	lite	ADJ	ADJ;INDF;NEUT;SG
kleine	små	klein	liten	ADJ	ADJ;PL
kleine	smått	klein	liten	ADJ	ADJ;INDF;NEUT;SG
kleine	liten	klein	liten	ADJ	ADJ;INDF;MASC;SG
kleine	lite	klein	lite	ADJ	ADJ;INDF;NEUT;SG
kleine	liten	klein	liten	ADJ	ADJ;INDF;MASC;SG
zien	skjønner	zien	skjønne	V;NFIN	V;IND;PRS;FIN
zien	sjå	zien	sjå	V;NFIN	V;IMP;FIN
album	album	album	album	N;NEUT;SG	N;INDF;NEUT;SG
album	albumet	album	album	N;NEUT;SG	N;DEF;NEUT;SG
mogelijk	mulige	mogelijk	mulige	ADJ	ADJ;PL
mogelijk	mulig	mogelijk	mulig	ADJ	ADJ;INDF;NEUT;SG
wil	ønsker	willen	ønske	V;SG;PRS;FIN	V;IND;PRS;FIN
wil	vil	willen	vilje	V;SG;PRS;FIN	V;IND;PRS;FIN
staten	stater	state	stat	N;PL	N;INDF;MASC;PL
staten	delstater	state	delstater	N;PL	N;INDF;MASC;PL
nam	tok	nemen	ta	V;SG;PST;FIN	V;IND;PST;FIN
station	stasjon	station	stasjon	N;NEUT;SG	N;INDF;MASC;SG
station	holdeplass	station	holdeplass	N;NEUT;SG	N;INDF;MASC;SG
zoon	sønn	zoon	sønn	N;MASC+FEM;SG	N;INDF;MASC;SG
zoon	son	zoon	son	N;MASC+FEM;SG	N;INDF;MASC;SG
man	mannfolk	man	mannfolk	N;MASC+FEM;SG	N;INDF;NEUT;SG
man	mannen	man	mann	N;MASC+FEM;SG	N;DEF;MASC;SG
man	mann	man	mann	N;MASC+FEM;SG	N;INDF;MASC;SG
begin	start	begin	start	N;NEUT;SG	N;INDF;MASC;SG
begin	begynn	begin	begynn	N;NEUT;SG	N;INDF;MASC;SG
begin	begynn	begin	begynn	N;NEUT;SG	N;INDF;MASC;SG
begin	begynnelsen	begin	begynnels	N;NEUT;SG	N;DEF;MASC;SG
begin	begynnelse	begin	begynnelse	N;NEUT;SG	N;INDF;MASC;SG
koning	konge	koning	konge	N;MASC+FEM;SG	N;INDF;MASC;SG
koning	dobbelseng	koning	dobbelseng	N;MASC+FEM;SG	N;INDF;NEUT;SG
slechts	berre	slechts	berre	ADV	ADV
slechts	bare	slechts	bare	ADV	ADV
spelen	spiller	spelen	spille	V;NFIN	V;IND;PRS;FIN
periode	punktum	periode	punktum	N;MASC+FEM;SG	N;INDF;NEUT;SG
periode	perioden	periode	periode	N;MASC+FEM;SG	N;DEF;MASC;SG
periode	periode	periode	periode	N;MASC+FEM;SG	N;INDF;MASC;SG
officiële	offisielt	officeel	offisiell	ADJ	ADJ;INDF;NEUT;SG
officiële	offisiell	officeel	offisiell	ADJ	ADJ;INDF;SG
officiële	offisielle	officeel	offisiell	ADJ	ADJ;PL
lid	medlem	lid	medlem	N;NEUT;SG	N;INDF;MASC;SG
lid	medlemmet	lid	medlem	N;NEUT;SG	N;DEF;NEUT;SG
titel	caption	titel	caption	N;MASC+FEM;SG	N;INDF;SG
titel	bildeteksten	titel	bildetekst	N;MASC+FEM;SG	N;DEF;MASC;SG
titel	bildetekst	titel	bildetekst	N;MASC+FEM;SG	N;INDF;MASC;SG
titel	tittel	titel	tittel	N;MASC+FEM;SG	N;INDF;MASC;SG
feb	feb	feb	feb	N;MASC+FEM;SG	N
begon	begynte	beginnen	begynne	V;SG;PST;FIN	V;IND;PST;FIN
begon	begynte	beginnen	begynne	V;SG;PST;FIN	V;IND;PST;FIN
nieuw	ny	nieuw	ny	ADJ	ADJ;INDF;SG
nieuw	nye	nieuw	ny	ADJ	ADJ;PL
nieuw	nytt	nieuw	ny	ADJ	ADJ;INDF;NEUT;SG
nummer	tall	nummer	tall	N;MASC+FEM;SG	N;INDF;NEUT;SG
nummer	nummer	nummer	nummer	N;MASC+FEM;SG	N;INDF;NEUT;SG
nummer	number	nummer	number	N;MASC+FEM;SG	N
nummer	antall	nummer	antall	N;MASC+FEM;SG	N;INDF;NEUT;SG
nummer	sang	nummer	sang	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	låt	nummer	låt	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	sangen	nummer	sang	N;MASC+FEM;SG	N;DEF;MASC;SG
nummer	song	nummer	song	N;MASC+FEM;SG	N;INDF;MASC;SG
lang	lang	lang	lang	ADJ	ADJ;INDF;SG
lang	lenge	lang	lenge	ADJ	ADJ
lang	lang	lang	lang	ADJ	ADJ;INDF;SG
lang	lange	lang	lang	ADJ	ADJ;PL
tekst	tekst	tekst	tekst	N;MASC+FEM;SG	N;INDF;FEM;SG
tekst	teksten	tekst	tekst	N;MASC+FEM;SG	N;DEF;MASC;SG
beste	best	goed	bra	ADJ;RL	ADJ;INDF;RL
beste	beste	goed	god	ADJ;RL	ADJ;DEF;RL
apr	apr	apr	apr	N;MASC+FEM;SG	N
vinden	finner	vinden	finne	V;NFIN	V;IND;PRS;FIN
vinden	finne	vinden	finne	V;NFIN	V;IMP;NFIN
vinden	finn	vinden	finne	V;NFIN	V;IND;PRS;FIN
vinden	finne	vinden	finne	V;NFIN	V;IMP;NFIN
pagina	sida	pagina	side	N;MASC+FEM;SG	N;DEF;FEM;SG
pagina	side	pagina	side	N;MASC+FEM;SG	N;INDF;FEM;SG
pagina	page	pagina	page	N;MASC+FEM;SG	N;INDF;MASC;SG
noord	noord	noord	noord	N;NEUT;SG	N;INDF;MASC;SG
bron	kilde	bron	kild	N;MASC+FEM;SG	N;INDF;MASC;SG
john	john	john	john	N;MASC+FEM;SG	N;INDF;MASC;SG
district	distriktet	district	distrikt	N;NEUT;SG	N;DEF;NEUT;SG
district	distrikt	district	distrikt	N;NEUT;SG	N;INDF;NEUT;SG
aug	aug	aug	aug	N;MASC+FEM;SG	N
daarna	deretter	daarna	deretter	ADV	ADV
daarna	så	daarna	så	ADV	ADV
daarna	da	daarna	da	ADV	ADV
database	database	databaas	database	N;MASC+FEM;SG	N;INDF;MASC;SG
band	band	band	band	N;MASC+FEM;SG	N;INDF;NEUT;SG
west	west	west	west	N;MASC+FEM;SG	N;INDF;MASC;SG
west	vesten	west	vest	N;MASC+FEM;SG	N;DEF;MASC;SG
soorten	arter	soort	arter	N;PL	N;INDF;FEM;PL
soorten	typer	soort	type	N;PL	N;INDF;MASC;PL
dec	dec	dec	dec	N;MASC+FEM;SG	N
boven	oppe	boven	oppe	ADP	ADP
boven	over	boven	over	ADP	ADP
vorm	formen	vorm	form	N;MASC+FEM;SG	N;DEF;MASC;SG
vorm	shape	vorm	shape	N;MASC+FEM;SG	N
vorm	form	vorm	form	N;MASC+FEM;SG	N;INDF;FEM;SG
vorm	fasong	vorm	fasong	N;MASC+FEM;SG	N;INDF;MASC;SG
vorm	skjemaet	vorm	skjema	N;MASC+FEM;SG	N;DEF;NEUT;SG
vorm	skjema	vorm	skjeme	N;MASC+FEM;SG	N;INDF;NEUT;SG
jun	jun	jun	jun	N;MASC+FEM;SG	N;INDF;MASC;SG
actief	aktive	actief	aktiv	ADJ	ADJ;PL
actief	aktivt	actief	aktiv	ADJ	ADJ;INDF;NEUT;SG
actief	aktiv	actief	aktiv	ADJ	ADJ;INDF;SG
actief	aktivt	actief	aktiv	ADJ	ADJ;INDF;NEUT;SG
wanneer	når	wanneer	når	ADV	ADV
toont	viser	tonen	vise	V;SG;PRS;FIN	V;IND;PRS;FIN
hoe	korleis	hoe	korleis	ADV	ADV
klasse	klasse	klasse	klasse	N;MASC+FEM;SG	N;INDF;FEM;SG
klasse	klassen	klasse	klasse	N;MASC+FEM;SG	N;DEF;MASC;SG
dag	dag	dag	dag	N;MASC+FEM;SG	N;INDF;MASC;SG
dag	bye	dag	bye	N;MASC+FEM;SG	N;INDF;MASC;SG
dag	dag	dag	dag	N;MASC+FEM;SG	N;INDF;MASC;SG
dag	dagen	dag	dag	N;MASC+FEM;SG	N;DEF;MASC;SG
dag	day	dag	day	N;MASC+FEM;SG	N;INDF;SG
uiteindelijk	etterhvert	uiteindelijk	etterhvert	ADJ	ADJ;INDF;NEUT;SG;V.PTCP
artikelen	artikler	artikel	artikke	N;PL	N;INDF;FEM;PL
universiteit	university	universiteit	university	N;MASC+FEM;SG	N;INDF;NEUT;SG
universiteit	universitet	universiteit	universitet	N;MASC+FEM;SG	N;INDF;NEUT;SG
universiteit	universitetet	universiteit	universitet	N;MASC+FEM;SG	N;DEF;NEUT;SG
universiteit	college	universiteit	colleg	N;MASC+FEM;SG	N;INDF;NEUT;SG
universiteit	høgskole	universiteit	høgskole	N;MASC+FEM;SG	N;INDF;MASC;SG
universiteit	høyskole	universiteit	høyskole	N;MASC+FEM;SG	N;INDF;MASC;SG
zelfs	sjølv	zelfs	sjølv	ADV	ADV
grootste	største	groot	stor	ADJ;RL	ADJ;DEF;RL
grootste	størst	groot	stor	ADJ;RL	ADJ;INDF;RL
grootste	størst	groot	stor	ADJ;RL	ADJ;INDF;RL
grootste	største	groot	stor	ADJ;RL	ADJ;DEF;RL
