ele	그를	ele	그+를	PRO;NOM;MASC;SG;3	PRO
construção	공사	construção	공사	N;FEM;SG	N
construção	건설	construção	건설	N;FEM;SG	N
construção	건축	construção	건축	N;FEM;SG	N
jogador	재생기	jogador	재생기	N;MASC;SG	N
jogador	선수	jogador	선수	N;MASC;SG	N
televisão	텔레비전	televisão	텔레비전	N;FEM;SG	N
vitória	승리	vitória	승리	N;FEM;SG	N
vitória	승리	vitória	승리	N;FEM;SG	N
união	동맹	união	동맹	N;FEM;SG	N
união	연맹	união	연맹	N;FEM;SG	N
união	연합	união	연합	N;FEM;SG	N
cultura	문화	cultura	문화	N;FEM;SG	N
político	정치인	político	정치인	N;MASC;SG	N
político	정치가	político	정치+가	N;MASC;SG	N
político	정치	político	정치	N;MASC;SG	N
político	정치	político	정치	N;MASC;SG	N
político	정치적	político	정치+적	N;MASC;SG	N
canal	채널	canal	채널	N;MASC;SG	N
papel	용지	papel	용지	N;MASC;SG	N
papel	역할	papel	역할	N;MASC;SG	N
força	체력	força	체력	N;FEM;SG	N
força	강제	força	강제	N;FEM;SG	N
principalmente	주로	principalmente	주로	ADV	ADV
principalmente	주로	principalmente	주로	ADV	ADV
principalmente	주로	principalmente	주로	ADV	ADV
lançamento	출시	lançamento	출시	N;MASC;SG	N
lançamento	발매	lançamento	발매	N;MASC;SG	N
lançamento	릴리스	lançamento	릴리스	N;MASC;SG	N
lançamento	개봉	lançamento	개봉	N;MASC;SG	N
lançamento	출시	lançamento	출시	N;MASC;SG	N
lançamento	출시	lançamento	출시	N;MASC;SG	N
lançamento	실행	lançamento	실행	N;MASC;SG	N
lançamento	발사	lançamento	발사	N;MASC;SG	N
personagem	성격	personagem	성격	N;MASC;SG	N
personagem	문자	personagem	문자	N;MASC;SG	N
personagem	인물	personagem	인물	N;MASC;SG	N
território	영토	território	영토	N;MASC;SG	N
território	준주	território	준주	N;MASC;SG	N
world	세상	world	세상	N;MASC;SG	N
world	세계	world	세계	N;MASC;SG	N
mãe	어머니	mãe	어머니	N;FEM;SG	N
existe	존재함	existir	존재+하+ㅁ	V;IND;SG;3;PRS;FIN	V
movimento	모션	movimento	모션	N;MASC;SG	N
movimento	운동	movimento	운동	N;MASC;SG	N
pessoa	사람	pessoa	사람	N;FEM;SG	N
fato	사실	fato	사실	N;MASC;SG	N
cruz	크루즈	cruz	크루즈	N;FEM;SG	N
cruz	십자가	cruz	십자가	N;FEM;SG	N
fonte	출처	fonte	출처	N;FEM;SG	N
fonte	글꼴	fonte	글꼴	N;FEM;SG	N
liga	동맹	liga	동맹	N;FEM;SG	N
liga	리그	liga	리그	N;FEM;SG	N
sociedade	사회	sociedade	사회	N;FEM;SG	N
império	제국	império	제국	N;MASC;SG	N
batalha	전투	batalha	전투	N;FEM;SG	N
seleção	선택	seleção	선택	N;FEM;SG	N
cidades	도시	cidade	도시	N;FEM;PL	N
americana	미국인	americana	미국인	N;FEM;SG	N
encontra	찾기	encontrar	찾+기	V;IND;SG;3;PRS;FIN	V
espaço	공간	espaço	공간	N;MASC;SG	N
espaço	우주	espaço	우주	N;MASC;SG	N
conjunto	집합	conjunto	집합	N;MASC;SG	N
conjunto	설정	conjunto	설정	N;MASC;SG	N
conjunto	앙상블	conjunto	앙상블	N;MASC;SG	N
municipal	시영	municipal	시영	N;MASC;SG	N
filmes	필름	filme	필름	N;MASC;PL	N
filmes	영화	filme	영화	N;MASC;PL	N
filmes	영화	filme	영화	N;MASC;PL	N
filmes	필름	filme	필름	N;MASC;PL	N
filmes	영화	filme	영화	N;MASC;PL	N
professor	교수	professor	교수	N;MASC;SG	N
professor	교수님	professor	교수+님	N;MASC;SG	N
professor	교사	professor	교사	N;MASC;SG	N
professor	스승	professor	스승	N;MASC;SG	N
modelo	모델	modelo	모델	N;MASC;SG	N
modelo	모형	modelo	모형	N;MASC;SG	N
modelo	템플릿	modelo	템플릿	N;MASC;SG	N
alemão	독일인	alemão	독일인	N;MASC;SG	N
administrativa	행정	administrativo	행정	N;FEM;SG	N
somente	오직	somente	오직	ADV	ADV
oeste	서양	oeste	서양	N;MASC;SG	N
informações	정보	informação	정보	N;FEM;PL	N
ator	배우	ator	배우	N;MASC;SG	N
novamente	다시	novamente	다시	ADV	ADV
novamente	또다시	novamente	또다시	ADV	ADV
luta	투쟁	luta	투쟁	N;FEM;SG	N
disco	디스크	disco	디스크	N;MASC;SG	N
disco	디스크	disco	디스크	N;MASC;SG	N
disco	디스코	disco	디스코	N;MASC;SG	N
criado	만들었습니다	criar	만들+었+습니다	V;MASC;SG;V.PTCP	V
francês	프랑스인	francês	프랑스인	N;MASC;SG	N
festival	축제	festival	축제	N;MASC;SG	N
general	장군	general	장군	N;MASC;SG	N
general	일반	general	일반	N;MASC;SG	N
teatro	연극	teatro	연극	N;MASC;SG	N
teatro	극장	teatro	극장	N;MASC;SG	N
teatro	영화관	teatro	영화관	N;MASC;SG	N
teatro	연극	teatro	연극	N;MASC;SG	N
teatro	극장	teatro	극장	N;MASC;SG	N
problemas	문제	problema	문제	N;MASC;PL	N
problemas	문제	problema	문제	N;MASC;PL	N
problemas	쟁점	problema	쟁점	N;MASC;PL	N
problemas	문제	problema	문제	N;MASC;PL	N
serviço	서비스	serviço	서비스	N;MASC;SG	N
cinema	영화	cinema	영화	N;MASC;SG	N
cinema	영화	cinema	영화	N;MASC;SG	N
disse	말했다	dizer	말하+었+다	V;IND;SG;3;PST;FIN	V
participação	개입	participação	개입	N;FEM;SG	N
participação	참가	participação	참가	N;FEM;SG	N
participação	참여	participação	참여	N;FEM;SG	N
membro	회원	membro	회원	N;MASC;SG	N
filhos	아들들	filho	아들+들	N;MASC;PL	N
filhos	어린이들	filho	어린이+들	N;MASC;PL	N
filhos	자녀	filho	자녀	N;MASC;PL	N
filhos	어린이	filho	어린이	N;MASC;PL	N
filhos	아이들	filho	아이+들	N;MASC;PL	N
filhos	애들	filho	애+들	N;MASC;PL	N
filhos	아이들	filho	아이+들	N;MASC;PL	N
filhos	어린이	filho	어린이	N;MASC;PL	N
modo	모드	modo	모드	N;MASC;SG	N
usado	사용함	usar	사용+하+ㅁ	V;MASC;SG;V.PTCP	V
usado	사용됨	usar	사용+되+ㄴ	V;MASC;SG;V.PTCP	V
resultado	결과	resultado	결과	N;MASC;SG	N
resultado	결과	resultado	결과	N;MASC;SG	N
resultado	결과	resultado	결과	N;MASC;SG	N
atriz	배우	atriz	배우	N;FEM;SG	N
atriz	여배우	atriz	여배우	N;FEM;SG	N
existem	존재함	existir	존재+하+ㅁ	V;IND;PL;3;PRS;FIN	V
código	부호	código	부호	N;MASC;SG	N
momento	순간	momento	순간	N;MASC;SG	N
antiga	고대	antigo	고대	N;FEM;SG	N
instituto	연구소	instituto	연구소	N;MASC;SG	N
autor	작가	autor	작가	N;MASC;SG	N
autor	저자	autor	저자	N;MASC;SG	N
autor	제작자	autor	제작자	N;MASC;SG	N
autor	작성자	autor	작성자	N;MASC;SG	N
chegou	도착했다	chegar	도착+하+었+다	V;IND;SG;3;PST;FIN	V
forte	강한	forte	강하+ㄴ	ADJ;MASC;SG	ADJ
amor	사랑	amor	사랑	N;MASC;SG	N
espécies	종족	espécie	종족	N;FEM;PL	N
descoberto	발견됨	descobrir	발견+되+ㄴ	V;MASC;SG;V.PTCP	V
termo	용어	termo	용어	N;MASC;SG	N
geralmente	일반적으로	geralmente	일반+적+으로	ADV	ADV
mulher	여자	mulher	여자	N;FEM;SG	N
mulher	여성	mulher	여성	N;FEM;SG	N
mulher	여성	mulher	여성	N;FEM;SG	N
mulher	아내	mulher	아내	N;FEM;SG	N
densidade	밀도	densidade	밀도	N;FEM;SG	N
fica	머무르지	ficar	머무르+지	V;IND;SG;3;PRS;FIN	V
fica	머물러	ficar	머무르+어	V;IND;SG;3;PRS;FIN	V
fica	머무르고	ficar	머무르+고	V;IND;SG;3;PRS;FIN	V
edições	편집	edição	편집	N;FEM;PL	N
edições	수정	edição	수정	N;FEM;PL	N
conteúdo	콘텐츠	conteúdo	콘텐츠	N;MASC;SG	N
conteúdo	컨텐츠	conteúdo	컨텐츠	N;MASC;SG	N
conteúdo	내용	conteúdo	내용	N;MASC;SG	N
conteúdo	목차	conteúdo	목차	N;MASC;SG	N
conteúdo	콘텐츠	conteúdo	콘텐츠	N;MASC;SG	N
conteúdo	내용	conteúdo	내용	N;MASC;SG	N
causa	원인	causa	원인	N;FEM;SG	N
causa	원인	causa	원인	N;FEM;SG	N
elenco	캐스팅	elenco	캐스팅	N;MASC;SG	N
elenco	캐스팅	elenco	캐스팅	N;MASC;SG	N
personagens	문자	personagem	문자	N;MASC;PL	N
personagens	등장인물	personagem	등장+인물	N;MASC;PL	N
formação	훈련	formação	훈련	N;FEM;SG	N
formação	트레이닝	formação	트레이닝	N;FEM;SG	N
formação	형성	formação	형성	N;FEM;SG	N
rua	거리가	rua	거리+가	N;FEM;SG	N
rua	거리	rua	거리	N;FEM;SG	N
apoio	지원	apoio	지원	N;MASC;SG	N
apoio	후원	apoio	후원	N;MASC;SG	N
rádio	라디오방송	rádio	라디오방송	N;MASC;SG	N
torneio	토너먼트	torneio	토너먼트	N;MASC;SG	N
torneio	대회	torneio	대회	N;MASC;SG	N
organização	조직	organização	조직	N;FEM;SG	N
organização	기구	organização	기구	N;FEM;SG	N
organização	단체	organização	단체	N;FEM;SG	N
organização	조직	organização	조직	N;FEM;SG	N
organização	기구	organização	기구	N;FEM;SG	N
museu	박물관	museu	박물관	N;MASC;SG	N
educação	교육	educação	교육	N;FEM;SG	N
educação	교육학	educação	교육학	N;FEM;SG	N
educação	교육	educação	교육	N;FEM;SG	N
educação	학력	educação	학력	N;FEM;SG	N
peso	몸무게	peso	몸무+게	N;MASC;SG	N
peso	몸무게가	peso	몸무게+가	N;MASC;SG	N
peso	체중	peso	체중	N;MASC;SG	N
informação	정보	informação	정보	N;FEM;SG	N
áreas	영역	área	영역	N;FEM;PL	N
homens	멘트	homem	멘트	N;MASC;PL	N
homens	남성	homem	남성	N;MASC;PL	N
homens	남자	homem	남자	N;MASC;PL	N
valor	가치	valor	가치	N;MASC;SG	N
velocidade	속력	velocidade	속력	N;FEM;SG	N
velocidade	스피드	velocidade	스피드	N;FEM;SG	N
profissional	전문	profissional	전문	N;MASC;SG	N
problema	문제	problema	문제	N;MASC;SG	N
jovem	젊은	jovem	젊+ㄴ	ADJ;MASC;SG	ADJ
forças	체력	força	체력	N;FEM;PL	N
associação	협회	associação	협회	N;FEM;SG	N
minas	광산	mina	광산	N;FEM;PL	N
minas	지뢰	mina	지뢰	N;FEM;PL	N
estudos	공부	estudo	공부	N;MASC;PL	N
cantora	가수	cantora	가수	N;FEM;SG	N
zona	지대	zona	지대	N;FEM;SG	N
zona	영역	zona	영역	N;FEM;SG	N
votos	득표	voto	득표	N;MASC;PL	N
votos	투표	voto	투표	N;MASC;PL	N
ganhou	획득한	ganhar	획득+하+ㄴ	V;IND;SG;3;PST;FIN	V
criar	만들기	criar	만들+기	V;NFIN	V
criar	만들기	criar	만들+기	V;NFIN	V
parque	공원	parque	공원	N;MASC;SG	N
sentido	감각	sentido	감각	N;MASC;SG	N
função	함수	função	함수	N;FEM;SG	N
editora	출판사	editora	출판사	N;FEM;SG	N
editora	출판	editora	출판	N;FEM;SG	N
editora	편집기	editora	편집기	N;FEM;SG	N
editora	편집자	editora	편집자	N;FEM;SG	N
género	장르	género	장르	N;MASC;SG	N
género	성별	género	성별	N;MASC;SG	N
câmara	사진기	câmara	사진기	N;FEM;SG	N
