ensino	nastava	ensino	nastava	N	N;NOM;FEM;SG
extensión	produžetak	extensión	produžetak	N	N;NOM;MASC;SG
extensión	proširenje	extensión	proširenje	N	N;NOM;NEUT;SG
expansión	proširenja	expansión	proširenje	N	N;NOM;NEUT;PL
expansión	širenje	expansión	širenje	N	N;NOM;NEUT;SG
expansión	proširenje	expansión	proširenje	N	N;NOM;NEUT;SG
azar	prilika	azar	prilika	N	N;NOM;FEM;SG
azar	šansa	azar	šansa	N	N;NOM;FEM;SG
azar	priliku	azar	prilika	N	N;ACC;FEM;SG
necesitan	treba	necesitar	trebati	V	V;IND;SG;3;PRS;FIN
necesitan	trebam	necesitar	trebati	V	V;IND;SG;1;PRS;FIN
organizacións	organizacije	organización	organizacija	N	N;NOM;FEM;PL
individual	pojedinac	individual	pojedinac	ADJ	ADJ;NOM;INDF;MASC;SG
web	sajt	web	sajt	N	N;NOM;MASC;SG
web	web	web	web	N	N;NOM;MASC;SG
novamente	ponovo	novamente	ponovo	ADV	ADV
novamente	opet	novamente	opet	ADV	ADV
intres	trenutci	intres	trenutak	N	N;NOM;MASC;PL
intres	trenutaka	intres	trenutak	N	N;GEN;MASC;PL
intres	momenti	intres	moment	N	N;NOM;MASC;PL
intres	trenuci	intres	trenuti	N	N;NOM;MASC;PL
intres	trenutke	intres	trenutak	N	N;ACC;MASC;PL
específico	specifično	específico	specifičan	ADJ	ADJ;NOM;NEUT;SG
específico	specifične	específico	specifičan	ADJ	ADJ;NOM;DEF;FEM;PL
específico	specifičan	específico	specifičan	ADJ	ADJ;NOM;INDF;MASC;SG
específico	specifična	específico	specifičan	ADJ	ADJ;NOM;DEF;FEM;SG
ordenadores	računala	ordenador	računalo	N	N;NOM;NEUT;PL
ordenadores	računalo	ordenador	računalo	N	N;NOM;NEUT;SG
estatísticas	statistika	estatística	statistika	N	N;NOM;FEM;SG
estatísticas	statistike	estatística	statistika	N	N;NOM;FEM;PL
trece	thirteen	trecer	thirteen	N	N;NOM;MASC;SG
características	značajke	característica	značajka	N	N;ACC;FEM;PL
características	karakteristike	característica	karakteristika	N	N;NOM;FEM;PL
características	karakteristike	característica	karakteristika	N	N;NOM;FEM;PL
residencia	boravište	residencia	boravište	N	N;NOM;NEUT;SG
residencia	rezidencija	residencia	rezidencija	N	N;NOM;FEM;SG
residencia	prebivalište	residencia	prebivalište	N	N;NOM;NEUT;SG
pensara	misli	pensar	misliti	V	V;IND;SG;3;PRS;FIN
pensara	razmislite	pensar	razmisliti	V	V;IMP;PL;2;FIN
pensara	mislio	pensar	misliti	V	V;MASC;SG;PST;V.PTCP;ACT
calefacción	toplina	calefacción	toplina	N	N;NOM;FEM;SG
calefacción	vrućina	calefacción	vrućina	N	N;NOM;FEM;SG
calefacción	topline	calefacción	toplina	N	N;NOM;FEM;PL
calefacción	grijanje	calefacción	grijanje	N	N;NOM;NEUT;SG
calefacción	grijanje	calefacción	grijanje	N	N;NOM;NEUT;SG
respondeu	odgovorio	responder	odgovoriti	V	V;MASC;SG;PST;V.PTCP;ACT
décadas	desetljeća	década	desetljeće	N	N;NOM;NEUT;PL
décadas	desetljećima	década	desetljeće	N	N;DAT;NEUT;PL
enfermos	bolesnik	enfermo	bolesnik	N	N;NOM;MASC;SG
compartimos	podijeli	compartir	podijetiti	V	V;IND;SG;3;PRS;FIN
compartimos	dijeli	compartir	dijeliti	V	V;IND;SG;3;PRS;FIN
compartimos	podijelili	compartir	podijeliti	V	V;MASC;PL;PST;V.PTCP;ACT
compartimos	dijelili	compartir	dijeliti	V	V;MASC;PL;PST;V.PTCP;ACT
redución	smanjenje	redución	smanjenje	N	N;NOM;NEUT;SG
arder	spali	arder	spati	V	V;MASC;PL;PST;V.PTCP;ACT
arder	spaliti	arder	spaliti	V	V;NFIN
arder	izgori	arder	izgor	V	V;IND;SG;3;PRS;FIN
volcán	vulkan	volcán	vulkan	N	N;NOM;MASC;SG
oriental	istočna	oriental	istočan	ADJ	ADJ;NOM;DEF;FEM;SG
oriental	orijentalni	oriental	orijentalan	ADJ	ADJ;NOM;DEF;MASC;SG
violín	violina	violín	violina	N	N;NOM;FEM;SG
violín	violinu	violín	violina	N	N;ACC;FEM;SG
sufriu	pretrpio	sufrir	pretrpiti	V	V;MASC;SG;PST;V.PTCP;ACT
sufriu	patio	sufrir	patiti	V	V;MASC;SG;PST;V.PTCP;ACT
sufriu	patila	sufrir	patiti	V	V;FEM;SG;PST;V.PTCP;ACT
explorar	istraži	explorar	istražiti	V	V;IND;SG;3;PRS;FIN
explorar	istražuje	explorar	istraživati	V	V;IND;SG;3;PRS;FIN
xeralmente	općenito	xeral	općenito	ADV	ADV
xeralmente	generalno	xeral	generalno	ADV	ADV
teléfonos	smartphone	teléfono	smartphon	N	N;NOM;MASC;SG
teléfonos	telefoni	teléfono	telefon	N	N;NOM;MASC;PL
teléfonos	telefone	teléfono	telefon	N	N;ACC;MASC;PL
estruturas	struktura	estrutura	struktura	N	N;NOM;FEM;SG
estruturas	strukture	estrutura	struktura	N	N;NOM;FEM;PL
fusión	fuzije	fusión	fuzija	N	N;NOM;FEM;PL
suma	zbroj	suma	zbroj	N	N;NOM;MASC;SG
suma	suma	suma	suma	N	N;NOM;FEM;SG
tanque	tenk	tanque	tenk	N	N;NOM;MASC;SG
tanque	spremnik	tanque	spremnik	N	N;NOM;MASC;SG
tanque	tank	tanque	tank	N	N;NOM;MASC;SG
eventos	događaji	evento	događaj	N	N;NOM;MASC;PL
eventos	događaja	evento	događaj	N	N;GEN;MASC;PL
eventos	događaje	evento	događaj	N	N;ACC;MASC;PL
bancos	banke	banco	banka	N	N;NOM;FEM;PL
pensaron	mislio	pensar	misliti	V	V;MASC;SG;PST;V.PTCP;ACT
instrucións	upute	instrución	uputa	N	N;NOM;FEM;PL
instrucións	instrukcije	instrución	instrukcija	N	N;NOM;FEM;PL
pluma	olovka	plumo	olovak	N	N;NOM;FEM;SG
pluma	olovku	plumo	olovka	N	N;ACC;FEM;SG
pluma	pero	plumo	pero	N	N;NOM;MASC;SG
pluma	pera	plumo	perati	N	N;NOM;MASC;SG
pluma	pero	plumo	pero	N	N;NOM;MASC;SG
pluma	perje	plumo	perje	N	N;NOM;NEUT;SG
espido	gol	espido	gol	N	N;NOM;MASC;SG
espido	gola	espido	gol	N	N;GEN;MASC;SG
espido	golu	espido	gol	N	N;DAT;MASC;SG
técnicos	tehničari	técnico	tehničar	N	N;NOM;MASC;PL
verbas	riječi	verba	riječ	N	N;NOM;FEM;PL
verbas	reči	verba	reči	N	N;NOM;FEM;PL
verbas	rijeci	verba	rijeka	N	N;DAT;FEM;SG
conclusión	zaključak	conclusión	zaključak	N	N;NOM;MASC;SG
orgullosos	ponosna	orgulloso	ponosan	ADJ	ADJ;NOM;DEF;FEM;SG
orgullosos	ponosan	orgulloso	ponosan	ADJ	ADJ;NOM;INDF;MASC;SG
orgullosos	ponosni	orgulloso	ponosan	ADJ	ADJ;NOM;DEF;MASC;PL
chegarán	hoce	chegar	hoce	V	V;IND;SG;3;PRS;FIN
músculos	mišići	músculo	mišić	N	N;NOM;MASC;PL
músculos	mišiće	músculo	mišić	N	N;ACC;MASC;PL
demostración	demonstracija	demostración	demonstracija	N	N;NOM;FEM;SG
demostración	demonstracije	demostración	demonstracija	N	N;NOM;FEM;PL
computador	računalo	computador	računalo	N	N;NOM;NEUT;SG
xogadores	igrači	xogador	igrač	N	N;NOM;MASC;PL
xogadores	igrača	xogador	igrač	N	N;ACC;MASC;SG
supostamente	navodno	supostamente	navodno	ADV	ADV
violación	silovanje	violación	silovanje	N	N;NOM;NEUT;SG
violación	silovanja	violación	silovanje	N	N;NOM;NEUT;PL
violación	kršenje	violación	kršenje	N	N;NOM;NEUT;SG
gustoume	volio	gustoume	voliti	V	V;MASC;SG;PST;V.PTCP;ACT
xefa	glavu	xefa	glava	N	N;ACC;FEM;SG
xefa	glava	xefa	glava	N	N;NOM;FEM;SG
manchas	pjege	mancha	pjega	N	N;NOM;FEM;PL
manchas	točke	mancha	točka	N	N;NOM;FEM;PL
neveira	hladnjak	neveiro	hladnjak	N	N;NOM;MASC;SG
potente	moćno	potente	moćno	ADJ	ADJ;NOM;DEF;NEUT;SG
potente	moćna	potente	moći	ADJ	ADJ;NOM;DEF;FEM;SG
potente	moćan	potente	moćan	ADJ	ADJ;NOM;INDF;MASC;SG
lexítimo	zakoniti	lexítimo	zakoniti	ADJ	ADJ;NOM;DEF;MASC;SG
perigosa	opasna	perigosa	opasan	ADJ	ADJ;NOM;DEF;FEM;SG
perigosa	opasni	perigosa	opasan	ADJ	ADJ;NOM;DEF;MASC;PL
perigosa	opasan	perigosa	opasan	ADJ	ADJ;NOM;INDF;MASC;SG
categoría	kategorije	categoría	kategorija	N	N;NOM;FEM;PL
categoría	kategorija	categoría	kategorija	N	N;NOM;FEM;SG
amargo	gorka	amargo	gorak	N	N;NOM;FEM;SG
representante	proxy	representante	proxy	N	N;NOM;MASC;SG
representante	predstavnica	representante	predstavnica	N	N;NOM;FEM;SG
representante	predstavnik	representante	predstavnik	N	N;NOM;MASC;SG
levárono	uzeo	levárono	uzeti	V	V;MASC;SG;PST;V.PTCP;ACT
xogamos	igrao	xogar	igrati	V	V;MASC;SG;PST;V.PTCP;ACT
xogamos	sviraj	xogar	sviraj	V	V;IND;SG;3;PRS;FIN
xogamos	igraj	xogar	igraj	V	V;IND;SG;3;PRS;FIN
feitas	napravio	facer	napraviti	V	V;MASC;SG;PST;V.PTCP;ACT
logro	ostvarenje	logro	ostvarenje	N	N;NOM;NEUT;SG
logro	postignuće	logro	postignuće	N	N;NOM;NEUT;SG
logro	dostignuće	logro	dostignuće	N	N;NOM;NEUT;SG
estranxeira	strano	estranxeiro	stran	ADJ	ADJ;NOM;DEF;NEUT;SG
seguranza	izvođač	seguranza	izvođač	N	N;NOM;MASC;SG
ciclo	ciklus	ciclo	ciklus	N	N;NOM;MASC;SG
viaxa	putuje	viaxa	putovati	V	V;IND;SG;3;PRS;FIN
néboa	magle	néboa	magla	N	N;NOM;FEM;PL
néboa	magla	néboa	magla	N	N;NOM;FEM;SG
localización	lokacija	localización	lokacija	N	N;NOM;FEM;SG
localización	lokaciju	localización	lokacija	N	N;ACC;FEM;SG
cidadás	građani	cidadán	građanin	N	N;NOM;MASC;PL
cidadás	građanima	cidadán	građanin	N	N;DAT;MASC;PL
satisfacer	zadovoljiti	satisfacer	zadovoljiti	V	V;NFIN
satisfacer	zadovolji	satisfacer	zadovolja	V	V;IND;SG;3;PRS;FIN
pioneiros	pioniri	pioneiro	pionir	N	N;NOM;MASC;PL
esperan	čekam	esperar	čekati	V	V;IND;SG;1;PRS;FIN
metais	metala	metal	metal	N	N;GEN;MASC;SG
acumulación	akumulacije	acumulación	akumulacija	N	N;NOM;FEM;PL
manchester	manchesteru	manchester	manchestera	N	N;DAT;MASC;SG
manchester	manchester	manchester	manchester	N	N;NOM;MASC;SG
raíces	korijene	raíz	korijen	N	N;ACC;MASC;PL
raíces	korijeni	raíz	korijen	N	N;NOM;MASC;PL
raíces	korijenje	raíz	korijenje	N	N;NOM;NEUT;SG
raíces	korijena	raíz	korijen	N	N;GEN;MASC;SG
evidentemente	očito	evidente	očito	ADV	ADV
tina	tinu	tina	tin	N	N;ACC;FEM;SG
tina	tini	tina	tina	N	N;NOM;FEM;SG
tina	tina	tina	tina	N	N;NOM;FEM;SG
condena	vreme	condena	vreme	N	N;NOM;NEUT;SG
condena	vrijeme	condena	vrijeme	N	N;NOM;NEUT;SG
fuga	ud	fugar	ud	N	N;NOM;MASC;SG
fantasma	kočije	fantasma	kočija	N	N;NOM;FEM;PL
fantasma	kočija	fantasma	kočija	N	N;NOM;FEM;SG
fantasma	duh	fantasma	duh	N	N;NOM;MASC;SG
escapou	pobjegla	escapar	pobjeći	V	V;FEM;SG;PST;V.PTCP;ACT
escapou	pobjegao	escapar	pobjeći	V	V;MASC;SG;PST;V.PTCP;ACT
tumbas	grobovi	tumba	grob	N	N;NOM;MASC;PL
tumbas	graves	tumba	graves	N	N;NOM;MASC;SG
tumbas	grobove	tumba	grob	N	N;ACC;MASC;PL
amada	voljeni	amadar	voljeti	ADJ	ADJ;NOM;DEF;MASC;PL;V.PTCP
amada	voljena	amadar	voljeti	ADJ	ADJ;NOM;DEF;FEM;SG;V.PTCP
colgar	objesiti	colgar	objesiti	V	V;NFIN
colgar	objesi	colgar	objesiti	V	V;IND;SG;3;PRS;FIN
internado	bolnica	internado	bolnica	N	N;NOM;FEM;SG
pensado	mislio	pensar	misliti	V	V;MASC;SG;PST;V.PTCP;ACT
sabas	plahte	saber	plaht	N	N;ACC;MASC;PL
sermón	propovijed	sermón	propovijed	N	N;NOM;FEM;SG
sermón	propovijedi	sermón	propovijed	N	N;NOM;FEM;PL
barriga	trbuh	barriga	trbuh	N	N;NOM;MASC;SG
barriga	stomak	barriga	stomak	N	N;NOM;MASC;SG
esperas	čekanje	espera	čekanje	N	N;NOM;NEUT;SG
escravo	robinja	escravo	robinje	N	N;NOM;FEM;SG
escravo	rob	escravo	rob	N	N;NOM;MASC;SG
escravo	roba	escravo	roba	N	N;NOM;FEM;SG
socorro	pomoć	socorro	pomoć	N	N;NOM;FEM;SG
seda	svile	sedo	sviti	N	N;NOM;FEM;PL
seda	svilu	sedo	sviti	N	N;ACC;FEM;SG
seda	svila	sedo	sviti	N	N;NOM;FEM;SG
seda	svileni	sedo	svilen	N	N;NOM;MASC;SG
secreta	tajna	secreta	tajna	N	N;NOM;FEM;SG
ombreiro	rame	ombreiro	rama	N	N;NOM;NEUT;SG
dispararon	upucao	disparar	upucati	V	V;MASC;SG;PST;V.PTCP;ACT
potencia	moc	potencia	moc	N	N;ACC;FEM;SG
potencia	moć	potencia	moć	N	N;NOM;FEM;SG
potencia	snaga	potencia	snaga	N	N;NOM;FEM;SG
potencia	napajanje	potencia	napajanje	N	N;NOM;NEUT;SG
planos	planovi	plano	plan	N	N;NOM;MASC;PL
planos	planova	plano	plan	N	N;GEN;MASC;PL
planos	planove	plano	plan	N	N;ACC;MASC;PL
polis	policajci	polis	policajac	N	N;NOM;MASC;PL
seguirá	hoce	seguir	hoce	V	V;IND;SG;3;PRS;FIN
vervos	vidi	vervo	vidjeti	V	V;IND;SG;3;PRS;FIN
ataques	napadi	ataque	napad	N	N;NOM;MASC;PL
ataques	napada	ataque	napad	N	N;GEN;MASC;SG
celosa	ljubomorna	celosar	ljubomoran	ADJ	ADJ;NOM;DEF;FEM;SG
celosa	ljubomorni	celosar	ljubomoran	ADJ	ADJ;NOM;DEF;MASC;SG
cometer	počini	cometer	počina	V	V;IND;SG;3;PRS;FIN
cometer	počiniti	cometer	počiniti	V	V;NFIN
escoitaches	čuti	escoitaches	čuti	V	V;NFIN
vendas	prodaja	venda	prodaja	N	N;NOM;FEM;SG
pague	plati	pague	platiti	V	V;IND;SG;3;PRS;FIN
sacaches	dobiti	sacaches	dobiti	V	V;NFIN
xudea	judeji	xudea	judej	N	N;DAT;FEM;SG
soñando	sanjam	soñar	sanjam	V	V;IND;SG;1;PRS;FIN
soñando	sanjao	soñar	sanjati	V	V;MASC;SG;PST;V.PTCP;ACT
adoro	volim	adoro	voljeti	V	V;IND;SG;1;PRS;FIN
xastre	krojač	xastre	krojač	N	N;NOM;MASC;SG
xastre	krojači	xastre	krojač	N	N;NOM;MASC;PL
enxergar	razumijem	enxergar	razumjeti	V	V;IND;SG;1;PRS;FIN
enxergar	shvati	enxergar	shvati	V	V;IND;SG;3;PRS;FIN
tetas	sise	teta	sisa	N	N;NOM;FEM;PL
tetas	sisa	teta	sisa	N	N;NOM;MASC;SG
boulevard	bulevaru	boulevard	bulevar	N	N;DAT;MASC;SG
boulevard	bulevar	boulevard	bulevar	N	N;NOM;MASC;SG
autoestrada	autoput	autoestrada	autoput	N	N;NOM;MASC;SG
autoestrada	autocesta	autoestrada	autocesta	N	N;NOM;FEM;SG
serventa	sluškinja	serventar	sluškinja	N	N;NOM;FEM;SG
serventa	sobarica	serventar	sobarica	N	N;NOM;FEM;SG
serventa	služavka	serventar	služavka	N	N;NOM;FEM;SG
melinda	melinda	melinda	melinda	N	N;NOM;FEM;SG
imperfecto	nesavršena	imperfecto	nesavršiti	ADJ	ADJ;NOM;DEF;FEM;SG
refuxiados	izbjeglica	refuxiado	izbjeglica	N	N;GEN;MASC;PL
refuxiados	izbjeglica	refuxiado	izbjeglica	N	N;GEN;MASC;PL
refuxiados	izbjeglice	refuxiado	izbjeglica	N	N;NOM;MASC;PL
viñan	dođi	vir	doći	V	V;IMP;SG;2;FIN
viñan	došla	vir	doći	V	V;FEM;SG;PST;V.PTCP;ACT
viñan	dosao	vir	dosao	V	V;MASC;SG;PST;V.PTCP;ACT
levei	uzeo	levar	uzeti	V	V;MASC;SG;PST;V.PTCP;ACT
cambian	promijeni	cambiar	promijeniti	V	V;IND;SG;3;PRS;FIN
honestidade	iskrenost	honestidade	iskrenost	N	N;NOM;FEM;SG
honestidade	poštenje	honestidade	poštenje	N	N;NOM;NEUT;SG
granxas	farmama	granxa	farma	N	N;INS;FEM;PL
granxas	farme	granxa	farma	N	N;NOM;FEM;PL
mozart	mozarta	mozart	mozart	N	N;ANIM;ACC;MASC;SG
mozart	mozart	mozart	mozart	N	N;NOM;MASC;SG
mestra	učiteljica	mestra	učiteljica	N	N;NOM;FEM;SG
mestra	nastavnik	mestra	nastavnik	N	N;NOM;MASC;SG
mestra	učitelj	mestra	učitelj	N	N;NOM;MASC;SG
occidental	zapadna	occidental	zapadan	ADJ	ADJ;NOM;DEF;FEM;SG
occidental	zapadni	occidental	zapadan	ADJ	ADJ;NOM;DEF;MASC;SG
representar	predstavljaju	representar	predstavljati	V	V;IND;PL;3;PRS;FIN
actuación	izvedba	actuación	izvedba	N	N;NOM;FEM;SG
actuación	izvođenje	actuación	izvođenje	N	N;NOM;NEUT;SG
actuación	nastup	actuación	nastup	N	N;NOM;MASC;SG
encaixa	odgovara	encaixa	odgovarati	V	V;IND;SG;3;PRS;FIN
encaixa	pristaje	encaixa	pristajati	V	V;IND;SG;3;PRS;FIN
encaixa	uklapa	encaixa	uklapa	V	V;IND;SG;3;PRS;FIN
encaixa	paše	encaixa	pašiti	V	V;IND;SG;3;PRS;FIN
tomaba	uzeo	tomar	uzeti	V	V;MASC;SG;PST;V.PTCP;ACT
fantasía	fantazije	fantasía	fantazija	N	N;NOM;FEM;PL
fantasía	fantazija	fantasía	fantazija	N	N;NOM;FEM;SG
xulgar	sudi	xulgar	suditi	V	V;IND;SG;3;PRS;FIN
vicepresidente	porok	vicepresidente	porok	N	N;NOM;MASC;SG
vicepresidente	vice	vicepresidente	vice	N	N;NOM;MASC;SG
vicepresidente	predsjednik	vicepresidente	predsjednik	N	N;NOM;MASC;SG
vicepresidente	predsjednica	vicepresidente	predsjednica	N	N;NOM;FEM;SG
fase	pozornica	fase	pozornica	N	N;NOM;FEM;SG
fase	faza	fase	faza	N	N;NOM;FEM;SG
fase	pozornici	fase	pozornica	N	N;DAT;FEM;SG
fase	faze	fase	faza	N	N;NOM;FEM;PL
fase	faza	fase	faza	N	N;NOM;FEM;SG
veredes	vidi	verede	vidjeti	V	V;IND;SG;3;PRS;FIN
pagas	plaća	paga	plaća	N	N;NOM;FEM;SG
preguntoume	pitao	preguntoume	pitati	V	V;MASC;SG;PST;V.PTCP;ACT
impedir	zadrži	impedir	zadržiti	V	V;IND;SG;3;PRS;FIN
congreso	kongres	congreso	kongres	N	N;NOM;MASC;SG
congreso	kongresu	congreso	kongres	N	N;DAT;MASC;SG
congreso	sabor	congreso	sabor	N	N;NOM;MASC;SG
recibiron	primio	recibir	primiti	V	V;MASC;SG;PST;V.PTCP;ACT
béisbol	bejzbol	béisbol	bejzbol	N	N;NOM;MASC;SG
béisbol	bejzbola	béisbol	bejzbol	N	N;NOM;MASC;SG
béisbol	baseball	béisbol	baseball	N	N;NOM;MASC;SG
reto	izazov	reto	izazov	N	N;NOM;MASC;SG
reto	izazovi	reto	izazov	N	N;NOM;MASC;PL
postura	držanje	postura	držanje	N	N;NOM;NEUT;SG
postura	položaj	postura	položaj	N	N;NOM;MASC;SG
postura	pozicija	postura	pozicija	N	N;NOM;FEM;SG
interacción	interakcija	interacción	interakcija	N	N;NOM;FEM;SG
interacción	interakcije	interacción	interakcija	N	N;NOM;FEM;PL
impotencia	nemoć	impotencia	nemoć	N	N;NOM;FEM;SG
despedida	zbogom	despedir	zbog	N	N;INS;FEM;SG
ego	ega	ego	ego	N	N;GEN;MASC;SG
ego	ego	ego	ego	N	N;NOM;MASC;SG
prioridades	prioriteti	prioridade	prioritet	N	N;NOM;MASC;PL
prioridades	prioritete	prioridade	prioritet	N	N;ACC;MASC;PL
experto	stručnjak	experto	stručnjak	N	N;NOM;MASC;SG
experto	ekspert	experto	ekspert	N	N;NOM;MASC;SG
referencia	reference	referencia	referenca	N	N;NOM;FEM;PL
tiveses	imao	ter	imati	V	V;MASC;SG;PST;V.PTCP;ACT
tiveses	imali	ter	imati	V	V;MASC;PL;PST;V.PTCP;ACT
tiveses	imala	ter	imati	V	V;FEM;SG;PST;V.PTCP;ACT
gafas	čaše	gafo	čaša	N	N;NOM;FEM;PL
gafas	naočale	gafo	naočala	N	N;NOM;FEM;PL
secreto	tajna	secreto	tajna	N	N;NOM;FEM;SG
verdadeiros	pravi	verdadeiro	prav	ADJ	ADJ;NOM;DEF;MASC;SG
verdadeiros	istinito	verdadeiro	istinit	ADJ	ADJ;NOM;DEF;NEUT;SG
similares	slično	similar	sličan	ADJ	ADJ;NOM;DEF;NEUT;SG
similares	slični	similar	sličan	ADJ	ADJ;NOM;DEF;MASC;PL
similares	slične	similar	sličan	ADJ	ADJ;NOM;DEF;FEM;PL
similares	slična	similar	sličan	ADJ	ADJ;NOM;DEF;FEM;SG
desafío	izazov	desafío	izazov	N	N;NOM;MASC;SG
desafío	izazovi	desafío	izazov	N	N;NOM;MASC;PL
desafío	defiance	desafío	defiance	N	N;NOM;MASC;SG
capturar	uhvatiti	capturar	uhvatiti	V	V;NFIN
profundidade	dubina	profundidade	dubina	N	N;NOM;FEM;SG
capas	slojeve	capa	sloj	N	N;ACC;MASC;PL
capas	zlato	capa	zlato	N	N;NOM;NEUT;SG
capas	zlata	capa	zlat	N	N;GEN;MASC;SG
utiliza	koristi	utilizar	koristiti	V	V;IND;SG;3;PRS;FIN
utiliza	iskoristi	utilizar	iskoristiti	V	V;IND;SG;3;PRS;FIN
utiliza	upotrijebi	utilizar	upotrijebiti	V	V;IND;SG;3;PRS;FIN
virán	dođi	virán	doći	V	V;IMP;SG;2;FIN
operar	operirati	operar	operirati	V	V;NFIN
orientais	istočna	oriental	istočan	ADJ	ADJ;NOM;DEF;FEM;SG
adolescente	adolescent	adolescente	adolescent	N	N;NOM;MASC;SG
nalgures	negdje	nalgures	negdje	ADV	ADV
maquinaria	strojeve	maquinaria	stroj	N	N;ACC;MASC;PL
maquinaria	stroj	maquinaria	stroj	N	N;NOM;MASC;SG
maquinaria	mašina	maquinaria	mašina	N	N;NOM;FEM;SG
maquinaria	masina	maquinaria	masina	N	N;NOM;FEM;SG
renda	najam	renda	najam	N	N;NOM;MASC;SG
renda	stanarinu	renda	stanarina	N	N;ACC;FEM;SG
renda	iznajmljivanje	renda	iznajmljivanje	N	N;NOM;NEUT;SG
renda	prihod	renda	prihod	N	N;NOM;MASC;SG
renda	prihodi	renda	prihod	N	N;NOM;MASC;PL
renda	primanja	renda	primanje	N	N;NOM;NEUT;PL
renda	dohodak	renda	dohodak	N	N;NOM;MASC;SG
admitir	želite	admitir	željeti	V	V;IND;PL;2;PRS;FIN
admitir	želim	admitir	željeti	V	V;IND;SG;1;PRS;FIN
inxección	ubrizgavanje	inxección	ubrizgavanje	N	N;NOM;NEUT;SG
inxección	injekcije	inxección	injekcija	N	N;NOM;FEM;PL
inxección	injekciju	inxección	injekcija	N	N;ACC;FEM;SG
inxección	injekcija	inxección	injekcija	N	N;NOM;FEM;SG
instrumento	instrument	instrumento	instrument	N	N;NOM;MASC;SG
diaños	pakao	diaño	pakao	N	N;NOM;MASC;SG
micrófono	mikrofon	micrófono	mikrofon	N	N;NOM;MASC;SG
micrófono	mikrofon	micrófono	mikrofon	N	N;NOM;MASC;SG
cheguen	dobiti	chegar	dobiti	V	V;NFIN
cheguen	dođi	chegar	doći	V	V;IMP;SG;2;FIN
placas	tablice	placa	tablica	N	N;NOM;FEM;PL
placas	tanjuri	placa	tanjur	N	N;NOM;MASC;PL
habitacións	sobe	habitación	soba	N	N;NOM;FEM;PL
habitacións	prostorije	habitación	prostorija	N	N;NOM;FEM;PL
