geprüft	zkontroloval	prüfen	zkontrolovat	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
scharf	pikantní	scharf	pikantní	ADJ	ADJ;NOM;MASC;SG;POS
vermittelt	zprostředkoval	vermitteln	zprostředkovat	V;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
frisch	čerstvé	frisch	čerstvý	ADJ	ADJ;NOM;NEUT;SG;POS
frisch	svěží	frisch	svěží	ADJ	ADJ;NOM;MASC;SG;POS
frisch	čerstvý	frisch	čerstvý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
frisch	čerstvá	frisch	čerstvý	ADJ	ADJ;NOM;FEM;SG;POS
dokument	dokument	dokument	dokument	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
dokument	doklad	dokument	doklad	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
kette	náhrdelník	kett	náhrdelník	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
kette	řetízek	kett	řetízek	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
kette	řetízek	kett	řetízek	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
kette	řetěz	kett	řetěz	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
kette	řetězec	kett	řetězec	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
moderner	moderní	modern	moderní	ADJ	ADJ;NOM;MASC;SG;POS
offizieller	oficiální	offiziell	oficiální	ADJ	ADJ;NOM;MASC;SG;POS
offizieller	úřední	offiziell	úřední	ADJ	ADJ;NOM;MASC;SG;POS
sank	potopil	sinken	potopit	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
abbau	rozklad	Abbau	rozklad	N	N;INAN;NOM;MASC;SG;POS
abbau	rozkladu	Abbau	rozklad	N	N;INAN;DAT;MASC;SG;POS
abbau	demontáž	Abbau	demontáž	N	N;NOM;FEM;SG;POS
strategie	strategie	strategie	strategie	N;SG	N;NOM;FEM;SG;POS
strategie	strategie	strategie	strategie	N;SG	N;NOM;FEM;SG;POS
strategie	strategii	strategie	strategie	N;SG	N;ACC;FEM;SG;POS
einheimischen	místní	einheimisch	místní	ADJ	ADJ;NOM;MASC;SG;POS
quer	napříč	quer	napříč	ADV	ADV
fragt	žádá	fragen	žádat	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
neueren	novější	neu	nový	ADJ	ADJ;NOM;CMPR;MASC;SG;POS
publikation	publikace	publikation	publikace	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
publikation	zveřejňování	publikation	zveřejňování	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
publikation	vyhlášení	publikation	vyhlášení	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
publikation	publikace	publikation	publikace	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
publikation	uveřejnění	publikation	uveřejnění	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
publikation	zveřejnění	publikation	zveřejnění	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
ernsthaft	vážný	ernsthaft	vážný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
ernsthaft	závažné	ernsthaft	závažný	ADJ	ADJ;NOM;MASC;PL;POS
ernsthaft	vážné	ernsthaft	vážný	ADJ	ADJ;NOM;NEUT;SG;POS
ernsthaft	vážná	ernsthaft	vážný	ADJ	ADJ;NOM;FEM;SG;POS
rief	křičel	rufen	křičet	V;IND;SG;3;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
rief	volal	rufen	volat	V;IND;SG;3;PST;FIN	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
rief	zavolal	rufen	zavolat	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
rief	plakal	rufen	plakat	V;IND;SG;3;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
entlassung	vypouštění	entlassung	vypouštění	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
entlassung	absolutorium	entlassung	absolutorium	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
entlassung	zamítnutí	entlassung	zamítnutí	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
entlassung	propuštění	entlassung	propuštění	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
siebten	sedmé	siebt	sedmý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
siebten	sedmá	siebt	sedmý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
siebten	sedmý	siebt	sedmý	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
grob	surový	grob	surový	ADJ	ADJ;INAN;NOM;MASC;SG;POS
grob	surové	grob	surový	ADJ	ADJ;NOM;NEUT;SG;POS
grob	drsná	grob	drsný	ADJ	ADJ;NOM;FEM;SG;POS
grob	hrubý	grob	hrubý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
grob	drsné	grob	drsný	ADJ	ADJ;NOM;NEUT;SG;POS
grob	drsný	grob	drsný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
grob	hrubé	grob	hrubý	ADJ	ADJ;NOM;NEUT;SG;POS
technischer	technický	technisch	technický	ADJ	ADJ;INAN;NOM;MASC;SG;POS
technischer	technické	technisch	technický	ADJ	ADJ;NOM;NEUT;SG;POS
technischer	technická	technisch	technický	ADJ	ADJ;NOM;FEM;SG;POS
merkmal	charakteristické	merkmal	charakteristický	ADJ	ADJ;NOM;NEUT;SG;POS
orthodoxen	ortodoxní	orthodox	ortodoxní	ADJ	ADJ;NOM;MASC;SG;POS
epoche	epochu	epoch	epocha	N;SG	N;ACC;FEM;SG;POS
wertung	bodování	wertung	bodování	N;FEM;SG	N;NOM;NEUT;SG;POS
wertung	hodnocení	wertung	hodnocení	N;FEM;SG	N;NOM;NEUT;SG;POS
wertung	rating	wertung	rating	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
eintragen	registrovat	eintragen	registrovat	V;NFIN	V;POS;NFIN
eintragen	zaregistrovat	eintragen	zaregistrovat	V;NFIN	V;PFV;POS;NFIN
eintragen	vstoupit	eintragen	vstoupit	V;NFIN	V;PFV;POS;NFIN
eintragen	zadejte	eintragen	zadat	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
eintragen	vstupte	eintragen	vstupit	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
ähnelt	podobat	ähneln	podobat	V;IND;SG;3;PRS;FIN	V;IPFV;POS;NFIN
beitragen	přispívá	beitragen	přispívat	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
beitragen	přispět	beitragen	přispět	V;NFIN	V;POS;NFIN
beitragen	přispívat	beitragen	přispívat	V;NFIN	V;IPFV;POS;NFIN
kopiert	zkopíroval	kopieren	zkopírovat	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
dünn	hubený	dünn	hubený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
dünn	hubená	dünn	hubený	ADJ	ADJ;NOM;FEM;SG;POS
dünn	tenké	dünn	tenký	ADJ	ADJ;NOM;NEUT;PL;POS
dünn	tenká	dünn	tenký	ADJ	ADJ;NOM;FEM;SG;POS
dünn	tenký	dünn	tenký	ADJ	ADJ;INAN;NOM;MASC;SG;POS
dünn	hubená	dünn	hubený	ADJ	ADJ;NOM;FEM;SG;POS
dünn	řídké	dünn	řídký	ADJ	ADJ;NOM;NEUT;SG;POS
verlieren	ztrácí	verlieren	ztrácet	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
verlieren	ztratí	verlieren	ztratit	V;NFIN	V;PFV;IND;SG;3;POS;PRS;FIN;ACT
verlieren	ztrácí	verlieren	ztrácet	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
verlieren	prohrát	verlieren	prohrát	V;NFIN	V;POS;NFIN
verlieren	ztratit	verlieren	ztratit	V;NFIN	V;PFV;POS;NFIN
wem	čí	wer	čí	ADV	ADV
gültigen	platné	gültig	platný	ADJ	ADJ;NOM;NEUT;SG;POS
gültigen	platná	gültig	platný	ADJ	ADJ;NOM;FEM;SG;POS
gültigen	platný	gültig	platný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
wohnen	žít	wohnen	žít	V;NFIN	V;POS;NFIN
wohnen	žij	wohnen	žij	V;NFIN	V;IMP;SG;2;POS;FIN
zeichnen	nakreslit	zeichnen	nakreslit	V;NFIN	V;PFV;POS;NFIN
zeichnen	kreslit	zeichnen	kreslit	V;NFIN	V;IPFV;POS;NFIN
marianne	marianne	marianne	marianne	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
österreichisch	rakouský	österreichisch	rakouský	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
österreichisch	rakouské	österreichisch	rakouský	ADJ	ADJ;NOM;NEUT;SG;POS
klarer	jasnější	klar	jasný	ADJ	ADJ;NOM;CMPR;MASC;SG;POS
anfangen	začít	anfangen	začít	V;NFIN	V;POS;NFIN
anfangen	spustit	anfangen	spustit	V;NFIN	V;PFV;POS;NFIN
anfangen	začít	anfangen	začít	V;NFIN	V;POS;NFIN
anfangen	začněte	anfangen	začít	V;NFIN	V;IMP;PL;2;POS;FIN
arabische	arabské	arabisch	arabský	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL;POS
arabische	arabské	arabisch	arabský	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL;POS
arabische	arabské	arabisch	arabský	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL;POS
ankunft	příjezdu	ankunft	příjezd	N;FEM;SG	N;INAN;GEN;MASC;SG;POS
ankunft	příjezd	ankunft	příjezd	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
ankunft	příchod	ankunft	příchod	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
ankunft	přílet	ankunft	přílet	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
verändern	měním	verändern	měnit	V;NFIN	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
verändern	pozměnit	verändern	pozměnit	V;NFIN	V;PFV;POS;NFIN
verändern	upravit	verändern	upravit	V;NFIN	V;PFV;POS;NFIN
stürmer	stávkující	stürm	stávkující	ADJ	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
heller	jasnější	hell	jasný	ADJ	ADJ;NOM;CMPR;MASC;SG;POS
befreit	osvobodili	befreien	osvobodit	V;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
befreit	osvobodil	befreien	osvobodit	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
naturschutz	přírodní	naturschutz	přírodní	ADJ	ADJ;NOM;MASC;PL;POS
nordischen	severské	nordisch	severský	ADJ	ADJ;NOM;NEUT;SG;POS
gebeten	požádal	bitten	požádat	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
gebeten	zeptal	bitten	zeptat	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
kritisierte	kritizoval	kritisieren	kritizovat	V;IND;SG;3;PST;FIN	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
kritisierte	kritizoval	kritisieren	kritizovat	V;IND;SG;3;PST;FIN	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
verschwunden	zmizela	verschwinden	zmizet	V;V.PTCP	V;POS;PST;V.PTCP;ACT
verschwunden	zmizel	verschwinden	zmizet	V;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
startet	zahajuje	starten	zahajovat	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
startet	začíná	starten	začínat	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
startet	startuje	starten	startovat	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
älterer	starší	alt	starý	ADJ	ADJ;NOM;CMPR;MASC;SG;POS
erwachsenen	dospělé	erwachsen	dospělý	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
erwachsenen	dospělí	erwachsen	dospělý	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
erwachsenen	dospělých	erwachsen	dospělý	ADJ	ADJ;ANIM;GEN;MASC;PL;POS
erwachsenen	dospělé	erwachsen	dospělý	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
erwachsenen	dospělá	erwachsen	dospělý	ADJ	ADJ;NOM;FEM;SG;POS
erwachsenen	dospělí	erwachsen	dospělý	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
erwachsenen	dospělý	erwachsen	dospělý	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
trennen	odpojit	trennen	odpojit	V;NFIN	V;PFV;POS;NFIN
trennen	oddělit	trennen	oddělit	V;NFIN	V;PFV;POS;NFIN
zwingend	povinné	zwingend	povinný	ADJ	ADJ;NOM;NEUT;SG;POS
zwingend	povinná	zwingend	povinný	ADJ	ADJ;NOM;FEM;SG;POS
zwingend	povinný	zwingend	povinný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
zwingend	povinné	zwingend	povinný	ADJ	ADJ;NOM;NEUT;SG;POS
zwingend	povinná	zwingend	povinný	ADJ	ADJ;NOM;FEM;SG;POS
zwingend	povinný	zwingend	povinný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
zwingend	povinné	zwingend	povinný	ADJ	ADJ;NOM;NEUT;SG;POS
zwingend	povinná	zwingend	povinný	ADJ	ADJ;NOM;FEM;SG;POS
zwingend	povinný	zwingend	povinný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
germanistik	germánské	germanistik	germánský	ADJ	ADJ;NOM;NEUT;PL;POS
singen	zpívej	singen	zpívej	V;NFIN	V;IMP;SG;2;POS;FIN
singen	zpívat	singen	zpívat	V;NFIN	V;IPFV;POS;NFIN
singen	zpívám	singen	zpívam	V;NFIN	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
überprüfung	recenze	überprüfung	recenze	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
überprüfung	přezkum	überprüfung	přezkum	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
überprüfung	ověření	überprüfung	ověření	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
überprüfung	ověřování	überprüfung	ověřování	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
ägyptischen	egyptské	ägyptisch	egyptský	ADJ;PL	ADJ;NOM;MASC;PL;POS
ständigen	stojící	ständig	stojící	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
ständigen	trvalý	ständig	trvalý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
ständigen	trvalá	ständig	trvalý	ADJ	ADJ;NOM;FEM;SG;POS
ständigen	permanentní	ständig	permanentní	ADJ	ADJ;NOM;MASC;SG;POS
ständigen	trvalé	ständig	trvalý	ADJ	ADJ;NOM;NEUT;SG;POS
ständigen	stálá	ständig	stálý	ADJ	ADJ;NOM;FEM;SG;POS
bühnen	plošiny	bühnen	plošin	N;NOM;PL	N;NOM;FEM;PL;POS
bühnen	platformy	bühnen	platforma	N;NOM;PL	N;NOM;FEM;PL;POS
bühnen	etapy	bühnen	etapa	N;NOM;PL	N;NOM;FEM;PL;POS
bühnen	stádia	bühnen	stádium	N;NOM;PL	N;NOM;NEUT;PL;POS
bühnen	stadia	bühnen	stadium	N;NOM;PL	N;NOM;NEUT;PL;POS
vermehrt	vypěstované	vermehrt	vypěstovaný	ADJ	ADJ;NOM;MASC;PL;POS
abgehalten	držel	abhalten	držet	V;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
japanisch	japonské	japanisch	japonský	ADJ	ADJ;NOM;MASC;PL;POS
japanisch	japonská	japanisch	japonský	ADJ	ADJ;NOM;FEM;SG;POS
japanisch	japonský	japanisch	japonský	ADJ	ADJ;INAN;NOM;MASC;SG;POS
fliehen	utéct	fliehen	utéci	V;NFIN	V;POS;NFIN
stoffe	látky	stoffen	látka	N;NOM;PL	N;NOM;FEM;PL;POS
stoffe	textilie	stoffen	textilie	N;NOM;PL	N;NOM;FEM;PL;POS
stoffe	tkaniny	stoffen	tkanina	N;NOM;PL	N;NOM;FEM;PL;POS
stoffe	látky	stoffen	látka	N;NOM;PL	N;NOM;FEM;PL;POS
fraglich	sporné	fraglich	sporný	ADJ	ADJ;NOM;NEUT;SG;POS
fraglich	diskutabilní	fraglich	diskutabilní	ADJ	ADJ;NOM;MASC;SG;POS
fraglich	pochybné	fraglich	pochybný	ADJ	ADJ;NOM;NEUT;SG;POS
empfangen	obdržet	empfangen	obdržet	V;V.PTCP	V;POS;NFIN
empfangen	přijímat	empfangen	přijímat	V;V.PTCP	V;IPFV;POS;NFIN
empfangen	obdržel	empfangen	obdržet	V;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
empfangen	obdržela	empfangen	obdržet	V;V.PTCP	V;POS;PST;V.PTCP;ACT
pflicht	povinné	pflicht	povinný	ADJ	ADJ;NOM;NEUT;SG;POS
pflicht	povinná	pflicht	povinný	ADJ	ADJ;NOM;FEM;SG;POS
pflicht	povinný	pflicht	povinný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
pflicht	povinné	pflicht	povinný	ADJ	ADJ;NOM;NEUT;SG;POS
pflicht	povinná	pflicht	povinný	ADJ	ADJ;NOM;FEM;SG;POS
pflicht	povinný	pflicht	povinný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
pflicht	povinné	pflicht	povinný	ADJ	ADJ;NOM;NEUT;SG;POS
pflicht	povinná	pflicht	povinný	ADJ	ADJ;NOM;FEM;SG;POS
pflicht	povinný	pflicht	povinný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
türkisch	turecký	türkisch	turecký	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
türkisch	turecké	türkisch	turecký	ADJ	ADJ;NOM;MASC;PL;POS
türkisch	turecká	türkisch	turecký	ADJ	ADJ;NOM;FEM;SG;POS
nummern	čísla	nummern	číslo	N	N;NOM;NEUT;PL;POS
schnellen	rychlé	schnell	rychlý	ADJ	ADJ;NOM;NEUT;SG;POS
schnellen	rychlá	schnell	rychlý	ADJ	ADJ;NOM;FEM;SG;POS
schnellen	rychlý	schnell	rychlý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
wusste	věděl	wissen	vědět	V;IND;SG;3;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
hinreichend	dostačující	hinreichend	dostačující	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
hinreichend	dostatečná	hinreichend	dostatečný	ADJ	ADJ;NOM;FEM;SG;POS
hinreichend	postačující	hinreichend	postačující	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
hinreichend	dostatečný	hinreichend	dostatečný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
hinreichend	dostatečné	hinreichend	dostatečný	ADJ	ADJ;NOM;NEUT;SG;POS
theoretisch	teoretické	theoretisch	teoretický	ADJ	ADJ;NOM;MASC;PL;POS
decken	krýt	decken	krýt	V;NFIN	V;POS;NFIN
persönlicher	osobní	persönlich	osobní	ADJ	ADJ;NOM;MASC;SG;POS
persönlicher	osobního	persönlich	osobní	ADJ	ADJ;ANIM;GEN;MASC;SG;POS
ernährung	výživa	Ernährung	výživa	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
ernährung	výživy	Ernährung	výživa	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
ernährung	dieta	Ernährung	dieta	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
ernährung	strava	Ernährung	strava	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
vergleichen	porovnávat	vergleichen	porovnávat	V;NFIN	V;IPFV;POS;NFIN
vergleichen	porovnat	vergleichen	porovnat	V;NFIN	V;PFV;POS;NFIN
vergleichen	srovnat	vergleichen	srovnat	V;NFIN	V;PFV;POS;NFIN
gestrichen	namaloval	gestrechen	namalovat	V;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
anerkannte	uznáno	anerkannt	uznaný	ADJ;SG	ADJ;NEUT;SG;POS;V.PTCP;PASS
anerkannte	uznávaný	anerkannt	uznávaný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG;POS
anerkannte	uznávané	anerkannt	uznávaný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
anerkannte	uznané	anerkannt	uznaný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
anerkannte	uznáno	anerkannt	uznaný	ADJ;SG	ADJ;NEUT;SG;POS;V.PTCP;PASS
anerkannte	uznávané	anerkannt	uznávaný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
anerkannte	uznané	anerkannt	uznaný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
springen	skočit	springen	skočit	V;NFIN	V;PFV;POS;NFIN
ära	éry	ära	éra	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
ära	éra	ära	éra	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
annehmen	předpokládat	annehmen	předpokládat	V;NFIN	V;IPFV;POS;NFIN
annehmen	předpokládejme	annehmen	předpokládat	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
annehmen	přijmout	annehmen	přijmout	V;NFIN	V;POS;NFIN
genügt	postačí	nügen	postačit	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN;ACT
erläutert	vysvětlil	erläutern	vysvětlit	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
erläutert	vysvětlila	erläutern	vysvětlit	V;V.PTCP	V;PFV;POS;PST;V.PTCP;ACT
erläutert	vysvětluje	erläutern	vysvětlovat	V;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
nachweisbar	prokazatelné	nachweisbar	prokazatelný	ADJ	ADJ;NOM;NEUT;SG;POS
nachweisbar	zjistitelné	nachweisbar	zjistitelný	ADJ	ADJ;NOM;NEUT;SG;POS
kritischen	kritický	kritisch	kritický	ADJ	ADJ;INAN;NOM;MASC;SG;POS
kritischen	kritická	kritisch	kritický	ADJ	ADJ;NOM;FEM;SG;POS
kritischen	kritické	kritisch	kritický	ADJ	ADJ;NOM;NEUT;SG;POS
vorzeitig	předčasné	vorzeitig	předčasný	ADJ	ADJ;NOM;NEUT;SG;POS
vorzeitig	předčasný	vorzeitig	předčasný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
teilgenommen	zúčastnil	teilnehmen	zúčastnit	V;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
shakespeare	shakespeare	shakespeare	shakespeare	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
hang	sklon	hang	sklon	N	N;INAN;NOM;MASC;SG;POS
hang	svahu	hang	svah	N	N;INAN;DAT;MASC;SG;POS
löscht	smaže	löschen	smaže	V;IND;SG;3;PRS;FIN	V;IND;SG;3;POS;PRS;FIN;ACT
beantwortet	odpovědělo	beantworten	odpovědět	V;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
beantwortet	odpověděl	beantworten	odpovědět	V;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
beantwortet	odpověděla	beantworten	odpovědět	V;V.PTCP	V;POS;PST;V.PTCP;ACT
beantwortet	odpovědělo	beantworten	odpovědět	V;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
beantwortet	odpověděl	beantworten	odpovědět	V;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
oberste	nejvyšší	ober	vysoký	ADJ;NOM	ADJ;NOM;RL;MASC;SG;POS
schwäbisch	švábská	schwäbisch	švábský	ADJ	ADJ;NOM;FEM;SG;POS
berühmt	slavná	berühmt	slavný	ADJ	ADJ;NOM;FEM;SG;POS
berühmt	slavní	berühmt	slavný	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
berühmt	slavný	berühmt	slavný	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
berühmt	slavné	berühmt	slavný	ADJ	ADJ;NOM;NEUT;SG;POS
berühmt	proslulý	berühmt	proslulý	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
restaurierung	obnovení	restaurierung	obnovení	N;NOM;FEM;SG	N;NOM;NEUT;SG;POS
restaurierung	obnova	restaurierung	obnova	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
restaurierung	renovace	restaurierung	renovace	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
restaurierung	renovace	restaurierung	renovace	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
umzug	přemístění	umzugen	přemístění	N;SG	N;NOM;NEUT;SG;POS
umzug	stěhování	umzugen	stěhování	N;SG	N;NOM;NEUT;SG;POS
umzug	průvod	umzugen	průvod	N;SG	N;INAN;NOM;MASC;SG;POS
umzug	přehlídka	umzugen	přehlídka	N;SG	N;NOM;FEM;SG;POS
umzug	odstraňování	umzugen	odstraňování	N;SG	N;NOM;NEUT;SG;POS
umzug	odstranění	umzugen	odstranění	N;SG	N;NOM;NEUT;SG;POS
umzug	odebrání	umzugen	odebrání	N;SG	N;NOM;NEUT;SG;POS
umzug	vyjmutí	umzugen	vyjmutí	N;SG	N;NOM;NEUT;SG;POS
niedrigen	nízký	niedrig	nízký	ADJ	ADJ;INAN;NOM;MASC;SG;POS
