και	et	και	et	CONJ	CONJ
ιστορία	récit	ιστορία	récit	N;NOM;FEM;SG	N;MASC;SG
ιστορία	histoire	ιστορία	histoire	N;NOM;FEM;SG	N;FEM;SG
πρωτάθλημα	league	πρωτάθλημα	league	N;NOM;NEUT;SG	N;MASC;SG
πρωτάθλημα	ligue	πρωτάθλημα	ligue	N;NOM;NEUT;SG	N;FEM;SG
πρωτάθλημα	championnat	πρωτάθλημα	championnat	N;NOM;NEUT;SG	N;MASC;SG
νέα	nouvelles	νέος	nouveau	ADJ;NOM;NEUT;PL	ADJ;FEM;PL
νέα	nouveaux	νέος	nouveau	ADJ;NOM;NEUT;PL	ADJ;MASC;PL
νέα	nouvelles	νέος	nouveau	ADJ;NOM;NEUT;PL	ADJ;FEM;PL
περίπου	approximativement	περίπου	approximativement	ADV	ADV
περίπου	environ	περίπου	environ	ADV	ADV
αυτά	ces	αυτός	ce	PRO;NOM;NEUT;PL;3	PRO;PL;3
πριν	auparavant	πριν	auparavant	ADV	ADV
χωρίς	sans	χωρίς	sans	ADP	ADP
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	ADJ;MASC;SG
εθνική	nationale	εθνικός	national	ADJ;NOM;FEM;SG	ADJ;FEM;SG
συζήτηση	conversation	συζήτηση	conversation	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	discussion	συζήτηση	discussion	N;ACC;FEM;SG	N;FEM;SG
συζήτηση	débat	συζήτηση	débat	N;ACC;FEM;SG	N;MASC;SG
συζήτηση	débat	συζήτηση	débat	N;ACC;FEM;SG	N;MASC;SG
αρχείο	archivage	αρχείο	archivage	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	archive	αρχείο	archive	N;NOM;NEUT;SG	N;FEM;SG
αρχείο	dossier	αρχείο	dossier	N;NOM;NEUT;SG	N;MASC;SG
αρχείο	fichier	αρχείο	fichier	N;NOM;NEUT;SG	N;MASC;SG
πρέπει	doit	πρέπει	devoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
φορά	temps	φορά	temps	N;ACC;FEM;SG	N;MASC;SG
φορά	heure	φορά	heure	N;ACC;FEM;SG	N;FEM;SG
ομάδες	groupes	ομάδα	groupe	N;NOM;FEM;PL	N;MASC;PL
ομάδες	équipes	ομάδα	équipe	N;NOM;FEM;PL	N;FEM;PL
ομάδες	equipes	ομάδα	equipe	N;NOM;FEM;PL	N;MASC;PL
έργο	projet	έργο	projet	N;NOM;NEUT;SG	N;MASC;SG
έργο	travail	έργο	travail	N;NOM;NEUT;SG	N;MASC;SG
κυρίως	principalement	κυρίως	principalement	ADV	ADV
κυρίως	essentiellement	κυρίως	essentiellement	ADV	ADV
κυρίως	principalement	κυρίως	principalement	ADV	ADV
κυρίως	essentiellement	κυρίως	essentiellement	ADV	ADV
κυρίως	surtout	κυρίως	surtout	ADV	ADV
ελληνική	grecque	ελληνικός	grec	ADJ;NOM;FEM;SG	ADJ;FEM;SG
ελληνική	grec	ελληνικός	grec	ADJ;NOM;FEM;SG	ADJ;MASC;SG
μεγάλη	gros	μεγάλος	gros	ADJ;NOM;FEM;SG	ADJ;MASC;SG
μεγάλη	grosse	μεγάλος	gros	ADJ;NOM;FEM;SG	ADJ;FEM;SG
μεγάλη	grande	μεγάλος	grand	ADJ;NOM;FEM;SG	ADJ;FEM;SG
μεγάλη	grand	μεγάλος	grand	ADJ;NOM;FEM;SG	ADJ;MASC;SG
υπό	sous	υπό	sous	ADP	ADP
ποδοσφαιριστές	footballeurs	ποδοσφαιριστής	footballeur	N;NOM;MASC;PL	N;MASC;PL
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;MASC;SG
ταινία	ruban	ταινία	ruban	N;NOM;FEM;SG	N;MASC;SG
ταινία	cassette	ταινία	cassette	N;NOM;FEM;SG	N;FEM;SG
ταινία	bande	ταινία	bande	N;NOM;FEM;SG	N;FEM;SG
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;MASC;SG
άλλα	autres	άλλος	autre	PRO;NOM;NEUT;PL;3	PRO;PL
άλλα	autres	άλλος	autre	PRO;NOM;NEUT;PL;3	PRO;PL
τμήμα	département	τμήμα	département	N;NOM;NEUT;SG	N;MASC;SG
τμήμα	section	τμήμα	section	N;NOM;NEUT;SG	N;FEM;SG
εκεί	là	εκεί	là	ADV	ADV
άλλες	autres	άλλος	autre	PRO;NOM;FEM;PL;3	PRO;PL
τέλος	enfin	τέλος	enfin	ADV	ADV
τέλος	finalement	τέλος	finalement	ADV	ADV
σειρά	série	σειρά	série	N;ACC;FEM;SG	N;FEM;SG
σειρά	ordre	σειρά	ordre	N;ACC;FEM;SG	N;MASC;SG
σειρά	commande	σειρά	commande	N;ACC;FEM;SG	N;FEM;SG
σειρά	ligne	σειρά	ligne	N;ACC;FEM;SG	N;FEM;SG
σειρά	rang	σειρά	rang	N;ACC;FEM;SG	N;MASC;SG
στοιχεία	éléments	στοιχείο	élément	N;NOM;NEUT;PL	N;MASC;PL
στοιχεία	eléments	στοιχείο	elément	N;NOM;NEUT;PL	N;MASC;PL
στοιχεία	données	στοιχείο	donnée	N;NOM;NEUT;PL	N;FEM;PL
συνέχεια	continuité	συνέχεια	continuité	N;ACC;FEM;SG	N;FEM;SG
πολλές	nombreux	πολύς	nombreux	ADJ;NOM;FEM;PL	ADJ;MASC;PL
πολλές	nombreuses	πολύς	nombreux	ADJ;NOM;FEM;PL	ADJ;FEM;PL
σύστημα	système	σύστημα	système	N;NOM;NEUT;SG	N;MASC;SG
ακόμα	encore	ακόμα	encore	ADV	ADV
ακόμα	toujours	ακόμα	toujours	ADV	ADV
ίδια	identique	ίδιος	identique	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ίδια	identique	ίδιος	identique	ADJ;NOM;FEM;SG	ADJ;MASC;SG
ιουλίου	juillet	ιούλιος	juillet	N;GEN;NEUT;SG	N;MASC;SG
χώρα	pays	χώρα	pays	N;NOM;FEM;SG	N;MASC;SG
αποτέλεσμα	aboutissement	αποτέλεσμα	aboutissement	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	résultat	αποτέλεσμα	résultat	N;ACC;NEUT;SG	N;MASC;SG
αποτέλεσμα	effet	αποτέλεσμα	effet	N;ACC;NEUT;SG	N;MASC;SG
οκτωβρίου	octobre	οκτώβριος	octobre	N;GEN;MASC;SG	N;MASC;SG
σεπτεμβρίου	septembre	σεπτέμβριο	septembre	N;GEN;MASC;SG	N;MASC;SG
νοεμβρίου	novembre	νόεμβριος	novembre	N;GEN;MASC;SG	N;MASC;SG
αγώνες	matches	αγώνας	match	N;NOM;MASC;PL	N;MASC;PL
αγώνες	correspondances	αγώνας	correspondance	N;NOM;MASC;PL	N;FEM;PL
αγώνες	matchs	αγώνας	match	N;NOM;MASC;PL	N;MASC;PL
αγώνες	allumettes	αγώνας	allumette	N;NOM;MASC;PL	N;FEM;PL
αγώνες	jeux	αγώνας	jeu	N;NOM;MASC;PL	N;MASC;PL
ταινίες	films	ταινία	film	N;NOM;FEM;PL	N;MASC;PL
ταινίες	films	ταινία	film	N;NOM;FEM;PL	N;MASC;PL
μέσω	via	μέσω	via	ADP	ADP
μέσω	via	μέσω	via	ADP	ADP
μαρτίου	marche	μάρτιος	marche	N;GEN;MASC;SG	N;FEM;SG
μαρτίου	mars	μάρτιος	mars	N;GEN;MASC;SG	N;MASC;SG
γεννήθηκε	naître	γεννώ	naître	V;PFV;IND;SG;3;PST;FIN;PASS	V;NFIN
γεννήθηκε	né	γεννώ	naître	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;PST;V.PTCP
γεννήθηκε	née	γεννώ	naître	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;SG;PST;V.PTCP
ιουνίου	juin	ιούνιος	juin	N;GEN;MASC;SG	N;MASC;SG
αυτές	ces	αυτός	ce	PRO;NOM;FEM;PL;3	PRO;PL;3
πολλά	nombreux	πολύς	nombreux	ADJ;NOM;NEUT;PL	ADJ;MASC;PL
πολλά	nombreuses	πολύς	nombreux	ADJ;NOM;NEUT;PL	ADJ;FEM;PL
απριλίου	avril	απρίλιος	avril	N;GEN;MASC;SG	N;MASC;SG
τρεις	trois	τρεις	trois	NUM;NOM;MASC;PL	NUM
αυγούστου	aout	αυγούστος	août	N;GEN;MASC;SG	N;MASC;SG
αυγούστου	août	αυγούστος	août	N;GEN;MASC;SG	N;MASC;SG
έργα	travaux	έργο	travail	N;NOM;NEUT;PL	N;MASC;PL
έργα	œuvres	έργο	œuvre	N;NOM;NEUT;PL	N;FEM;PL
έργα	oeuvres	έργο	oeuvre	N;NOM;NEUT;PL	N;FEM;PL
έργα	projets	έργο	projet	N;NOM;NEUT;PL	N;MASC;PL
δεκεμβρίου	décembre	δεκέμβριο	décembre	N;GEN;MASC;SG	N;MASC;SG
δεκεμβρίου	decembre	δεκέμβριο	decembre	N;GEN;MASC;SG	N;MASC;SG
χρήση	utilisation	χρήση	utilisation	N;ACC;FEM;SG	N;FEM;SG
πρόεδρος	présidente	πρόεδρος	président	N;ACC;MASC;SG	N;FEM;SG
πρόεδρος	président	πρόεδρος	président	N;ACC;MASC;SG	N;MASC;SG
ακόμη	encore	ακόμα	encore	ADV	ADV
ακόμη	toujours	ακόμα	toujours	ADV	ADV
ίδιο	identique	ίδιος	identique	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
εκλογές	élections	εκλογή	élection	N;NOM;FEM;PL	N;FEM;PL
εκλογές	elections	εκλογή	election	N;NOM;FEM;PL	N;FEM;PL
εκλογές	élections	εκλογή	élection	N;NOM;FEM;PL	N;FEM;PL
μέλη	membres	μέλος	membre	N;NOM;NEUT;PL	N;MASC;PL
μέλη	adhérents	μέλος	adhérent	N;NOM;NEUT;PL	N;MASC;PL
τελικά	éventuellement	τελικά	éventuellement	ADV	ADV
τελικά	finalement	τελικά	finalement	ADV	ADV
τελικά	enfin	τελικά	enfin	ADV	ADV
τελικά	finalement	τελικά	finalement	ADV	ADV
μέλος	membre	μέλος	membre	N;NOM;NEUT;SG	N;MASC;SG
εποχή	époque	εποχή	époque	N;ACC;FEM;SG	N;FEM;SG
εποχή	saison	εποχή	saison	N;ACC;FEM;SG	N;FEM;SG
εποχή	eer	εποχή	eer	N;ACC;FEM;SG	N;MASC;SG
εποχή	époque	εποχή	époque	N;ACC;FEM;SG	N;FEM;SG
χωριό	village	χωριό	village	N;NOM;NEUT;SG	N;MASC;SG
αρχικά	initialement	αρχικά	initialement	ADV	ADV
αρχικά	initialement	αρχικά	initialement	ADV	ADV
περίοδος	période	περίοδος	période	N;NOM;FEM;SG	N;FEM;SG
δήμος	municipalité	δήμος	municipalité	N;NOM;MASC;SG	N;FEM;SG
κύπελλο	gobelet	κύπελλος	gobelet	N;NOM;NEUT;SG	N;MASC;SG
κύπελλο	tasse	κύπελλος	tasse	N;NOM;NEUT;SG	N;FEM;SG
κύπελλο	coupe	κύπελλος	coupe	N;NOM;NEUT;SG	N;FEM;SG
ζωή	vie	ζωή	vie	N;ACC;FEM;SG	N;FEM;SG
ζωή	zoé	ζωή	zoé	N;ACC;FEM;SG	N;FEM;SG
έδρα	siège	έδρα	siège	N;NOM;FEM;SG	N;MASC;SG
έδρα	banquette	έδρα	banquette	N;NOM;FEM;SG	N;FEM;SG
έδρα	siège	έδρα	siège	N;NOM;FEM;SG	N;MASC;SG
περιλαμβάνει	inclut	περιλαμβάνω	inclure	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
περιλαμβάνει	comprend	περιλαμβάνω	comprendre	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
μεγάλο	grande	μεγάλος	grand	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
μεγάλο	grand	μεγάλος	grand	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
μεγάλο	gros	μεγάλος	gros	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
μεγάλο	grosse	μεγάλος	gros	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
μεγάλο	grande	μεγάλος	grand	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
μεγάλο	grand	μεγάλος	grand	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
βάση	base	βάση	base	N;ACC;FEM;SG	N;FEM;SG
βάση	base	βάση	base	N;ACC;FEM;SG	N;FEM;SG
βάση	fondement	βάση	fondement	N;ACC;FEM;SG	N;MASC;SG
κέντρο	center	κέντρο	center	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	centre	κέντρο	centre	N;NOM;NEUT;SG	N;MASC;SG
κέντρο	centre	κέντρο	centre	N;NOM;NEUT;SG	N;MASC;SG
γεννήσεις	naissances	γεννήση	naissance	N;NOM;FEM;PL	N;FEM;PL
γεννήσεις	accouchements	γεννήση	accouchement	N;NOM;FEM;PL	N;MASC;PL
φεβρουαρίου	fevrier	φεβρουάριο	fevrier	N;GEN;MASC;SG	N;MASC;SG
φεβρουαρίου	février	φεβρουάριο	février	N;GEN;MASC;SG	N;MASC;SG
κοντά	près	κοντά	près	ADV	ADV
μορφή	forme	μορφή	forme	N;NOM;FEM;SG	N;FEM;SG
μορφή	formulaire	μορφή	formulaire	N;NOM;FEM;SG	N;MASC;SG
μορφή	format	μορφή	format	N;NOM;FEM;SG	N;MASC;SG
χρόνο	temps	χρόνος	temps	N;ACC;MASC;SG	N;MASC;SG
χρόνο	heure	χρόνος	heure	N;ACC;MASC;SG	N;FEM;SG
ιστοσελίδα	site	ιστοσελίδα	site	N;NOM;FEM;SG	N;MASC;SG
κόμμα	partie	κόμμα	partie	N;NOM;NEUT;SG	N;FEM;SG
κόμμα	fete	κόμμα	fete	N;NOM;NEUT;SG	N;FEM;SG
κόμμα	soirée	κόμμα	soirée	N;NOM;NEUT;SG	N;FEM;SG
κόμμα	fête	κόμμα	fête	N;NOM;NEUT;SG	N;FEM;SG
κόμμα	virgule	κόμμα	virgule	N;NOM;NEUT;SG	N;FEM;SG
ρόλο	rôle	ρόλος	rôle	N;ACC;MASC;SG	N;MASC;SG
άλμπουμ	album	άλμπουμ	album	N;MASC;SG	N;MASC;SG
έκδοση	edition	έκδοση	edition	N;ACC;FEM;SG	N;FEM;SG
έκδοση	édition	έκδοση	édition	N;ACC;FEM;SG	N;FEM;SG
έκδοση	version	έκδοση	version	N;ACC;FEM;SG	N;FEM;SG
αρχές	autorités	αρχή	autorité	N;NOM;FEM;PL	N;FEM;PL
αρχές	principes	αρχή	principe	N;NOM;FEM;PL	N;MASC;PL
γύρω	autour	γύρω	autour	ADV	ADV
γύρω	alentour	γύρω	alentour	ADV	ADV
συνήθως	habituellement	συνήθως	habituellement	ADV	ADV
συνήθως	généralement	συνήθως	généralement	ADV	ADV
ονομασία	nom	ονομασία	nom	N;NOM;FEM;SG	N;MASC;SG
ονομασία	dénomination	ονομασία	dénomination	N;NOM;FEM;SG	N;FEM;SG
ονομασία	désignation	ονομασία	désignation	N;NOM;FEM;SG	N;FEM;SG
ονομασία	dénomination	ονομασία	dénomination	N;NOM;FEM;SG	N;FEM;SG
ονομασία	appellation	ονομασία	appellation	N;NOM;FEM;SG	N;FEM;SG
κοινότητα	communaute	κοινότητα	communaute	N;ACC;FEM;SG	N;FEM;SG
κοινότητα	communauté	κοινότητα	communauté	N;ACC;FEM;SG	N;FEM;SG
κοινότητα	collectivité	κοινότητα	collectivité	N;ACC;FEM;SG	N;FEM;SG
τελευταία	dernièrement	τελευταία	dernièrement	ADV	ADV
έκανε	fait	κάνω	faire	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
έκανε	faite	κάνω	faire	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
έκανε	fabriqué	κάνω	fabriquer	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ξεκίνησε	commencé	ξεκινώ	commencer	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ξεκίνησε	démarré	ξεκινώ	démarrer	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
ξεκίνησε	commencée	ξεκινώ	commencer	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
κυβέρνηση	gouvernement	κυβέρνηση	gouvernement	N;NOM;FEM;SG	N;MASC;SG
πήρε	pris	παίρνω	prendre	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
πήρε	prit	παίρνω	prendre	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
γλώσσα	langue	γλώσσα	langue	N;NOM;FEM;SG	N;FEM;SG
γλώσσα	langage	γλώσσα	langage	N;NOM;FEM;SG	N;MASC;SG
γιος	fils	γιος	fils	N;NOM;MASC;SG	N;MASC;SG
γιος	fiston	γιος	fiston	N;NOM;MASC;SG	N;MASC;SG
μάχη	bataille	μάχη	bataille	N;ACC;FEM;SG	N;FEM;SG
μάχη	combat	μάχη	combat	N;ACC;FEM;SG	N;MASC;SG
μάχη	combat	μάχη	combat	N;ACC;FEM;SG	N;MASC;SG
μάχη	lutte	μάχη	lutte	N;ACC;FEM;SG	N;FEM;SG
μάχη	combat	μάχη	combat	N;ACC;FEM;SG	N;MASC;SG
μάχη	bagarre	μάχη	bagarre	N;ACC;FEM;SG	N;FEM;SG
πανεπιστήμιο	université	πανεπιστήμιο	université	N;NOM;NEUT;SG	N;FEM;SG
κάποια	certains	κάποιος	certain	PRO;NOM;NEUT;PL;3	PRO;MASC;PL
κάποια	certaines	κάποιος	certain	PRO;NOM;NEUT;PL;3	PRO;FEM;PL
κάποια	quelques	κάποιος	quelque	PRO;NOM;NEUT;PL;3	PRO;PL
δείτε	consultez	βλέπω	consulter	V;PFV;IMP;PL;2;FIN;ACT	V;IMP;PL;2;PRS;FIN
δείτε	voyez	βλέπω	voir	V;PFV;IMP;PL;2;FIN;ACT	V;IMP;PL;2;PRS;FIN
δείτε	voir	βλέπω	voir	V;PFV;IMP;PL;2;FIN;ACT	V;NFIN
δείτε	regardez	βλέπω	regarder	V;PFV;IMP;PL;2;FIN;ACT	V;IMP;PL;2;PRS;FIN
δείτε	regarder	βλέπω	regarder	V;PFV;IMP;PL;2;FIN;ACT	V;NFIN
πόλεμο	guerre	πόλεμος	guerre	N;ACC;MASC;SG	N;FEM;SG
πόλεμο	war	πόλεμος	war	N;ACC;MASC;SG	N;SG
συχνά	souvent	συχνά	souvent	ADV	ADV
συχνά	fréquemment	συχνά	fréquemment	ADV	ADV
συχνά	souvent	συχνά	souvent	ADV	ADV
περιοχές	régions	περιοχή	région	N;NOM;FEM;PL	N;FEM;PL
περιοχές	domaines	περιοχή	domaine	N;NOM;FEM;PL	N;MASC;PL
περιοχές	zones	περιοχή	zone	N;NOM;FEM;PL	N;FEM;PL
συμμετοχές	participations	συμμετοχή	participation	N;NOM;FEM;PL	N;FEM;PL
παράδειγμα	exemple	παράδειγμα	exemple	N;NOM;NEUT;SG	N;MASC;SG
άρθρο	article	άρθρο	article	N;NOM;NEUT;SG	N;MASC;SG
εικόνα	photo	εικόνα	photo	N;NOM;FEM;SG	N;FEM;SG
εικόνα	image	εικόνα	image	N;NOM;FEM;SG	N;FEM;SG
εικόνα	image	εικόνα	image	N;NOM;FEM;SG	N;FEM;SG
έλαβε	reçu	λαμβάνω	recevoir	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
έλαβε	reçue	λαμβάνω	recevoir	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
επίσημη	officielle	επίσημος	officiel	ADJ;NOM;FEM;SG	ADJ;FEM;SG
επίσημη	officiel	επίσημος	officiel	ADJ;NOM;FEM;SG	ADJ;MASC;SG
επίσημη	formel	επίσημος	formel	ADJ;NOM;FEM;SG	ADJ;MASC;SG
επίσημη	formelle	επίσημος	formel	ADJ;NOM;FEM;SG	ADJ;FEM;SG
κατοίκους	habitants	κάτοικος	habitant	N;ACC;MASC;PL	N;MASC;PL
κατοίκους	habitants	κάτοικος	habitant	N;ACC;MASC;PL	N;MASC;PL
κατοίκους	résidents	κάτοικος	résident	N;ACC;MASC;PL	N;MASC;PL
πηγές	sources	πηγή	source	N;NOM;FEM;PL	N;FEM;PL
πόλεις	bourgs	πόλη	bourg	N;NOM;FEM;PL	N;MASC;PL
πόλεις	villes	πόλη	ville	N;NOM;FEM;PL	N;FEM;PL
ιδιαίτερα	particulièrement	ιδιαίτερα	particulièrement	ADV	ADV
ιδιαίτερα	particulièrement	ιδιαίτερα	particulièrement	ADV	ADV
ιδιαίτερα	surtout	ιδιαίτερα	surtout	ADV	ADV
ιδιαίτερα	spécialement	ιδιαίτερα	spécialement	ADV	ADV
αγώνα	course	αγώνας	course	N;ACC;MASC;SG	N;FEM;SG
αγώνα	race	αγώνας	race	N;ACC;MASC;SG	N;FEM;SG
αγώνα	correspondance	αγώνας	correspondance	N;ACC;MASC;SG	N;FEM;SG
αγώνα	allumette	αγώνας	allumette	N;ACC;MASC;SG	N;FEM;SG
αγώνα	match	αγώνας	match	N;ACC;MASC;SG	N;MASC;SG
αγώνα	lutte	αγώνας	lutte	N;ACC;MASC;SG	N;FEM;SG
αγώνα	combat	αγώνας	combat	N;ACC;MASC;SG	N;MASC;SG
αγώνα	bagarre	αγώνας	bagarre	N;ACC;MASC;SG	N;FEM;SG
γεγονός	évènement	γεγονός	évènement	N;NOM;NEUT;SG	N;MASC;SG
γεγονός	événement	γεγονός	événement	N;NOM;NEUT;SG	N;MASC;SG
γεγονός	evénement	γεγονός	evénement	N;NOM;NEUT;SG	N;MASC;SG
σελίδα	page	σελίδα	page	N;NOM;FEM;SG	N;FEM;SG
θέμα	thème	θέμα	thème	N;NOM;NEUT;SG	N;MASC;SG
θέμα	objet	θέμα	objet	N;NOM;NEUT;SG	N;MASC;SG
θέμα	sujet	θέμα	sujet	N;NOM;NEUT;SG	N;MASC;SG
ηλικία	ère	ηλικία	ère	N;NOM;FEM;SG	N;FEM;SG
ηλικία	age	ηλικία	age	N;NOM;FEM;SG	N;MASC;SG
ηλικία	âge	ηλικία	âge	N;NOM;FEM;SG	N;MASC;SG
μέγεθος	taille	μέγεθος	taille	N;NOM;NEUT;SG	N;FEM;SG
μέγεθος	pointure	μέγεθος	pointure	N;NOM;NEUT;SG	N;FEM;SG
εδώ	ici	εδώ	ici	ADV	ADV
σημείο	point	σημείο	point	N;NOM;NEUT;SG	N;MASC;SG
