על	om	על	om	ADP	ADP
שונים	anderledes	שונה	anderledes	ADJ;MASC;PL	ADJ
שונים	forskellige	שונה	forskellig	ADJ;MASC;PL	ADJ;PL
אדם	person	אדם	person	N;MASC;SG	N;INDF;MASC+FEM;SG
אדם	adam	אדם	adam	N;MASC;SG	N;INDF;MASC+FEM;SG
אדם	menneske	אדם	menneske	N;MASC;SG	N;INDF;NEUT;SG
אדם	mennesket	אדם	menneske	N;MASC;SG	N;DEF;NEUT;SG
אדם	mand	אדם	mand	N;MASC;SG	N;INDF;MASC+FEM;SG
אדם	manden	אדם	mand	N;MASC;SG	N;DEF;MASC+FEM;SG
עוד	mere	עוד	mere	ADV	ADV;CMPR
דבר	tale	דבר	tale	N;MASC;SG	N;INDF;MASC+FEM;SG
דבר	snak	דבר	snak	N;MASC;SG	N;INDF;MASC+FEM;SG
דבר	tale	דבר	tale	N;MASC;SG	N;INDF;MASC+FEM;SG
ספר	bogen	ספר	bog	N;MASC;SG	N;DEF;MASC+FEM;SG
ספר	bog	ספר	bog	N;MASC;SG	N;INDF;MASC+FEM;SG
ספר	frisør	ספר	frisør	N;MASC;SG	N;INDF;MASC+FEM;SG
ספר	barber	ספר	barbe	N;MASC;SG	N;INDF;MASC+FEM;SG
זכה	vandt	זכה	vinde	V;MASC;SG;3;PST;ACT	V;IND;PST;FIN;ACT
זכה	vundet	זכה	vinde	V;MASC;SG;3;PST;ACT	V;INDF;SG;PST;V.PTCP
הן	de	הוא	de	PRO;FEM;PL;3	PRO;NOM;PL;3
יום	dag	יום	dag	N;MASC;SG	N;INDF;MASC+FEM;SG
יום	dagen	יום	dag	N;MASC;SG	N;DEF;MASC+FEM;SG
יום	kampdag	יום	kampdag	N;MASC;SG	N;INDF;MASC+FEM;SG
אלה	disse	אלה	denne	PRO;MASC;PL;3	PRO;PL
כבר	allerede	כבר	allerede	ADV	ADV
מקום	mødested	מקום	mødested	N;MASC;SG	N;INDF;NEUT;SG
מקום	stedet	מקום	sted	N;MASC;SG	N;DEF;NEUT;SG
מקום	sted	מקום	sted	N;MASC;SG	N;INDF;NEUT;SG
מקום	plads	מקום	plads	N;MASC;SG	N;INDF;MASC+FEM;SG
יהודים	jøder	יהודי	jøde	N;MASC;PL	N;INDF;MASC+FEM;PL
יהודים	jøder	יהודי	jøde	N;MASC;PL	N;INDF;MASC+FEM;PL
יהודים	jøderne	יהודי	jøde	N;MASC;PL	N;DEF;MASC+FEM;PL
באמצעות	via	באמצעות	via	ADP	ADP
יחד	sammen	יחד	sammen	ADV	ADV
בעל	husbond	בעל	husbond	N;MASC;SG	N;INDF;MASC+FEM;SG
בעל	ægtemand	בעל	ægtemand	N;MASC;SG	N;INDF;MASC+FEM;SG
בעל	mand	בעל	mand	N;MASC;SG	N;INDF;MASC+FEM;SG
בנוסף	derudover	בנוסף	derudover	ADV	ADV
בנוסף	herudover	בנוסף	herudover	ADV	ADV
תמונה	foto	תמונה	foto	N;FEM;SG	N;INDF;NEUT;SG
תמונה	billede	תמונה	billede	N;FEM;SG	N;INDF;NEUT;SG
תמונה	image	תמונה	image	N;FEM;SG	N;INDF;NEUT;SG
תמונה	billede	תמונה	billede	N;FEM;SG	N;INDF;NEUT;SG
תמונה	billedet	תמונה	billede	N;FEM;SG	N;DEF;NEUT;SG
תמונה	billed	תמונה	billed	N;FEM;SG	N;INDF;NEUT;SG
תמונה	billede	תמונה	billede	N;FEM;SG	N;INDF;NEUT;SG
כתב	journalist	כתב	journalist	N;MASC;SG	N;INDF;MASC+FEM;SG
כתב	reporter	כתב	reporter	N;MASC;SG	N;INDF;MASC+FEM;SG
היום	idag	היום	idag	ADV	ADV
אותם	dem	None	de	PRO;ACC;MASC;PL;3	PRO;ACC;PL;3
החברה	samfundet	החברה	samfund	N;FEM;SG	N;DEF;NEUT;SG
החברה	samfund	החברה	samfund	N;FEM;SG	N;INDF;NEUT;SG
החברה	selskab	החברה	selskab	N;FEM;SG	N;INDF;NEUT;SG
החברה	firma	החברה	firma	N;FEM;SG	N;INDF;NEUT;SG
החברה	kompagni	החברה	kompagni	N;FEM;SG	N;INDF;NEUT;SG
החברה	virksomhed	החברה	virksomhed	N;FEM;SG	N;INDF;MASC+FEM;SG
שונות	forskellige	שונה	forskellig	ADJ;FEM;PL	ADJ;PL
שונות	anderledes	שונה	anderledes	ADJ;FEM;PL	ADJ
שונות	diverse	שונה	diverse	ADJ;FEM;PL	ADJ
מערכת	systemet	מערכת	system	N;FEM;SG	N;DEF;NEUT;SG
מערכת	ordning	מערכת	ordning	N;FEM;SG	N;INDF;MASC+FEM;SG
מערכת	system	מערכת	system	N;FEM;SG	N;INDF;NEUT;SG
בלבד	kun	בלבד	kun	ADV	ADV
עבר	fortid	עבר	fortid	N;MASC;SG	N;INDF;MASC+FEM;SG
עבר	fortiden	עבר	fortid	N;MASC;SG	N;DEF;MASC+FEM;SG
מרכז	central	מרכז	central	N;MASC;SG	N;INDF;MASC+FEM;SG
מרכז	centrum	מרכז	centrum	N;MASC;SG	N;INDF;NEUT;SG
מרכז	midtpunkt	מרכז	midtpunkt	N;MASC;SG	N;INDF;NEUT;SG
מרכז	center	מרכז	center	N;MASC;SG	N;INDF;NEUT;SG
מרכז	midten	מרכז	midte	N;MASC;SG	N;DEF;MASC+FEM;SG
מרכז	centret	מרכז	center	N;MASC;SG	N;DEF;NEUT;SG
מרכז	centrum	מרכז	centrum	N;MASC;SG	N;INDF;NEUT;SG
מרכז	centre	מרכז	centre	N;MASC;SG	N;INDF;MASC+FEM;SG
מרכז	center	מרכז	center	N;MASC;SG	N;INDF;NEUT;SG
שימוש	brug	שימוש	brug	N;MASC;SG	N;INDF;MASC+FEM;SG
שימוש	anvendelse	שימוש	anvendelse	N;MASC;SG	N;INDF;MASC+FEM;SG
רוב	røver	רוב	røve	N;MASC;SG	N;INDF;MASC+FEM;SG
רוב	majoritet	רוב	majoritet	N;MASC;SG	N;INDF;MASC+FEM;SG
רוב	flertal	רוב	flertal	N;MASC;SG	N;INDF;NEUT;SG
רוב	flertallet	רוב	flertal	N;MASC;SG	N;DEF;NEUT;SG
כולל	inkluderet	כלל	inkludere	V;MASC;SG;V.PTCP;ACT	V;INDF;SG;PST;V.PTCP
כולל	omfattede	כלל	omfatte	V;MASC;SG;V.PTCP;ACT	V;IND;PST;FIN;ACT
כולל	medtaget	כלל	medtage	V;MASC;SG;V.PTCP;ACT	V;INDF;SG;PST;V.PTCP
גדול	stor	גדול	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
גדול	stort	גדול	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
גדול	stor	גדול	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
גדול	stort	גדול	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
גדול	fantastisk	גדול	fantastisk	ADJ;MASC;SG	ADJ;INDF;SG
גדול	fedt	גדול	fedt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
גדול	stor	גדול	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
גדול	skønt	גדול	skøn	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
גדול	herligt	גדול	herlig	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
ישראלים	israelere	ישראלי	israelere	N;MASC;PL	N;INDF;MASC+FEM;PL
ישראלים	israelerne	ישראלי	israel	N;MASC;PL	N;DEF;MASC+FEM;PL
ישראלים	israelere	ישראלי	israelere	N;MASC;PL	N;INDF;MASC+FEM;PL
מאז	siden	מאז	siden	ADV	ADV
יהודי	jøde	יהודי	jøde	N;MASC;SG	N;INDF;MASC+FEM;SG
יהודי	jøde	יהודי	jøde	N;MASC;SG	N;INDF;MASC+FEM;SG
יהודי	jøden	יהודי	jød	N;MASC;SG	N;DEF;MASC+FEM;SG
סוג	type	סוג	type	N;MASC;SG	N;INDF;MASC+FEM;SG
מידע	info	מידע	info	N;MASC;SG	N;INDF;NEUT;SG
מידע	oplysning	מידע	oplysning	N;MASC;SG	N;INDF;MASC+FEM;SG
מידע	information	מידע	information	N;MASC;SG	N;INDF;MASC+FEM;SG
מידע	underretning	מידע	underretning	N;MASC;SG	N;INDF;MASC+FEM;SG
ערכים	målinger	ערך	måling	N;MASC;PL	N;INDF;MASC+FEM;PL
ערכים	værdier	ערך	værdi	N;MASC;PL	N;INDF;MASC+FEM;PL
ערכים	indgange	ערך	indgange	N;MASC;PL	N;INDF;MASC+FEM;PL
ערכים	angivelser	ערך	angivelse	N;MASC;PL	N;INDF;MASC+FEM;PL
אנשים	mennesker	איש	menneske	N;MASC;PL	N;INDF;NEUT;PL
אנשים	personer	איש	person	N;MASC;PL	N;INDF;MASC+FEM;PL
אנשים	folk	איש	folk	N;MASC;PL	N;INDF;NEUT;PL
דקות	minutter	דקה	minut	N;FEM;PL	N;INDF;NEUT;PL
חבר	ven	חבר	ven	N;MASC;SG	N;INDF;MASC+FEM;SG
חבר	veninde	חבר	veninde	N;MASC;SG	N;INDF;MASC+FEM;SG
חבר	kæresten	חבר	kæreste	N;MASC;SG	N;DEF;MASC+FEM;SG
צריך	bør	צריך	burde	V;MASC;SG	V;IND;PRS;FIN;ACT
בת	datter	בת	datter	N;FEM;SG	N;INDF;MASC+FEM;SG
בת	datteren	בת	datter	N;FEM;SG	N;DEF;MASC+FEM;SG
כאן	her	כאן	her	ADV	ADV
חדש	ny	חדש	ny	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
חדש	nyt	חדש	ny	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
ארץ	landet	ארץ	land	N;FEM;SG	N;DEF;NEUT;SG
ארץ	land	ארץ	land	N;FEM;SG	N;INDF;NEUT;SG
ארץ	jord	ארץ	jord	N;FEM;SG	N;INDF;MASC+FEM;SG
ארץ	land	ארץ	land	N;FEM;SG	N;INDF;NEUT;SG
ארץ	jorden	ארץ	jord	N;FEM;SG	N;DEF;MASC+FEM;SG
ארץ	jord	ארץ	jord	N;FEM;SG	N;INDF;MASC+FEM;SG
ארץ	jordens	ארץ	jord	N;FEM;SG	N;GEN;DEF;MASC+FEM;SG
כלי	redskab	כלי	redskab	N;MASC;SG	N;INDF;NEUT;SG
כלי	værktøj	כלי	værktøj	N;MASC;SG	N;INDF;NEUT;SG
כלי	værktøjet	כלי	værktøj	N;MASC;SG	N;DEF;NEUT;SG
אתה	du	הוא	du	PRO;MASC;SG;2	PRO;NOM;MASC+FEM;SG;2
אתה	dig	הוא	du	PRO;MASC;SG;2	PRO;ACC;MASC+FEM;SG;2
נמצא	fundet	נמצא	finde	V;MASC;SG;V.PTCP;MID	V;INDF;SG;PST;V.PTCP
טוב	god	טוב	god	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
ילדים	børn	ילד	barn	N;MASC;PL	N;INDF;NEUT;PL
ילדים	unger	ילד	unge	N;MASC;PL	N;INDF;MASC+FEM;PL
ילדים	børn	ילד	barn	N;MASC;PL	N;INDF;NEUT;PL
ילדים	børns	ילד	barn	N;MASC;PL	N;GEN;INDF;NEUT;PL
שלושה	tre	שלושה	tre	NUM;MASC;SG	NUM
הגיע	ankom	הגיע	ankomme	V;MASC;SG;3;PST;ACT	V;IND;PST;FIN;ACT
הגיע	ankommet	הגיע	ankomme	V;MASC;SG;3;PST;ACT	V;INDF;SG;PST;V.PTCP
הגיע	kom	הגיע	komme	V;MASC;SG;3;PST;ACT	V;IND;PST;FIN;ACT
כמעט	næsten	כמעט	næsten	ADV	ADV
כמעט	næsten	כמעט	næsten	ADV	ADV
כוח	styrke	כוח	styrke	N;MASC;SG	N;INDF;MASC+FEM;SG
כוח	modstandsdygtighed	כוח	modstandsdygtighed	N;MASC;SG	N;INDF;MASC+FEM;SG
כוח	kraft	כוח	kraft	N;MASC;SG	N;INDF;MASC+FEM;SG
כוח	effekt	כוח	effekt	N;MASC;SG	N;INDF;MASC+FEM;SG
כוח	kraft	כוח	kraft	N;MASC;SG	N;INDF;MASC+FEM;SG
כוח	strøm	כוח	strøm	N;MASC;SG	N;INDF;MASC+FEM;SG
כוח	power	כוח	powe	N;MASC;SG	N;INDF;MASC+FEM;SG
כוח	magt	כוח	magt	N;MASC;SG	N;INDF;MASC+FEM;SG
מלך	konge	מלך	konge	N;MASC;SG	N;INDF;MASC+FEM;SG
מלך	kongens	מלך	konge	N;MASC;SG	N;GEN;DEF;MASC+FEM;SG
מלך	kongen	מלך	konge	N;MASC;SG	N;DEF;MASC+FEM;SG
מקור	oprindelse	מקור	oprindelse	N;MASC;SG	N;INDF;MASC+FEM;SG
מקור	oprindelsessted	מקור	oprindelsessted	N;MASC;SG	N;INDF;MASC+FEM;SG
מקור	kilde	מקור	kilde	N;MASC;SG	N;INDF;MASC+FEM;SG
מקור	næb	מקור	næb	N;MASC;SG	N;INDF;NEUT;SG
מקור	næbbet	מקור	næb	N;MASC;SG	N;DEF;NEUT;SG
תוכנית	program	תוכנית	program	N;FEM;SG	N;INDF;NEUT;SG
תוכנית	programmet	תוכנית	program	N;FEM;SG	N;DEF;NEUT;SG
תוכנית	plan	תוכנית	plan	N;FEM;SG	N;INDF;MASC+FEM;SG
תוכנית	program	תוכנית	program	N;FEM;SG	N;INDF;NEUT;SG
תוכנית	arbejdsprogram	תוכנית	arbejdsprogram	N;FEM;SG	N;INDF;NEUT;SG
לגבי	om	לגבי	om	ADP	ADP
משתמש	bruger	השתמש	bruge	V;MASC;SG;V.PTCP	V;IND;PRS;FIN;ACT
משתמש	bruger	השתמש	bruge	V;MASC;SG;V.PTCP	V;IND;PRS;FIN;ACT
קיבל	modtog	קיבל	modtage	V;MASC;SG;3;PST;ACT	V;IND;PST;FIN;ACT
קיבל	modtaget	קיבל	modtage	V;MASC;SG;3;PST;ACT	V;INDF;SG;PST;V.PTCP
קיבל	accepteret	קיבל	acceptere	V;MASC;SG;3;PST;ACT	V;INDF;SG;PST;V.PTCP
קיבל	accepterede	קיבל	acceptere	V;MASC;SG;3;PST;ACT	V;IND;PST;FIN;ACT
קיבל	godtaget	קיבל	godtage	V;MASC;SG;3;PST;ACT	V;INDF;SG;PST;V.PTCP
נשים	kvinderne	איש	kvinde	N;FEM;PL	N;DEF;MASC+FEM;PL
נשים	kvinder	איש	kvinde	N;FEM;PL	N;INDF;MASC+FEM;PL
במיוחד	særligt	במיוחד	særligt	ADV	ADV
במיוחד	specielt	במיוחד	specielt	ADV	ADV
במיוחד	især	במיוחד	især	ADV	ADV
במיוחד	specielt	במיוחד	specielt	ADV	ADV
במיוחד	især	במיוחד	især	ADV	ADV
עדיין	stadig	עדיין	stadig	ADV	ADV
עדיין	stadigvæk	עדיין	stadigvæk	ADV	ADV
כוחות	kræfter	כוח	kraft	N;MASC;PL	N;INDF;MASC+FEM;PL
כוחות	beføjelser	כוח	beføjelse	N;MASC;PL	N;INDF;MASC+FEM;PL
כוחות	styrkerne	כוח	styrke	N;MASC;PL	N;DEF;MASC+FEM;PL
כוחות	styrker	כוח	styrke	N;MASC;PL	N;INDF;MASC+FEM;PL
כוחות	kræfter	כוח	kraft	N;MASC;PL	N;INDF;MASC+FEM;PL
פעולה	aktion	פעולה	aktion	N;FEM;SG	N;INDF;MASC+FEM;SG
פעולה	action	פעולה	action	N;FEM;SG	N;INDF;MASC+FEM;SG
פעולה	handling	פעולה	handling	N;FEM;SG	N;INDF;MASC+FEM;SG
פעולה	indsats	פעולה	indsats	N;FEM;SG	N;INDF;MASC+FEM;SG
נכון	højre	נכון	højre	ADJ;MASC;SG	ADJ
נכון	sandt	נכון	sinde	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
החלה	begyndte	החל	begynde	V;FEM;SG;3;PST;ACT	V;IND;PST;FIN;ACT
החלה	begyndt	החל	begynde	V;FEM;SG;3;PST;ACT	V;INDF;SG;PST;V.PTCP
החלה	påbegyndt	החל	påbegynde	V;FEM;SG;3;PST;ACT	V;INDF;SG;PST;V.PTCP
חוק	jura	חוק	jura	N;MASC;SG	N;INDF;MASC+FEM;SG
חוק	lovgivning	חוק	lovgivning	N;MASC;SG	N;INDF;MASC+FEM;SG
חוק	lov	חוק	lov	N;MASC;SG	N
יחידה	enhed	יחידה	enhed	N;FEM;SG	N;INDF;MASC+FEM;SG
שוב	igen	שוב	igen	ADV	ADV
מדינות	stater	מדינה	stat	N;FEM;PL	N;INDF;MASC+FEM;PL
מדינות	staterne	מדינה	stat	N;FEM;PL	N;DEF;MASC+FEM;PL
מדינות	landene	מדינה	land	N;FEM;PL	N;DEF;NEUT;PL
מדינות	lande	מדינה	land	N;FEM;PL	N;INDF;NEUT;PL
הבית	hjem	הבית	hjem	ADV	ADV
הבית	hjemme	הבית	hjemme	ADV	ADV
הבית	hjemad	הבית	hjemad	ADV	ADV
מפקד	kommandør	מפקד	kommandør	N;MASC;SG	N;INDF;MASC+FEM;SG
מפקד	kommandant	מפקד	kommandant	N;MASC;SG	N;INDF;MASC+FEM;SG
מפקד	commander	מפקד	commande	N;MASC;SG	N;INDF;MASC+FEM;SG
שלוש	tre	שלוש	tre	NUM;FEM;SG	NUM
אזור	region	אזור	region	N;MASC;SG	N;INDF;MASC+FEM;SG
אזור	område	אזור	område	N;MASC;SG	N;INDF;NEUT;SG
אזור	zone	אזור	zone	N;MASC;SG	N;INDF;MASC+FEM;SG
אזור	areal	אזור	areal	N;MASC;SG	N;INDF;NEUT;SG
אזור	område	אזור	område	N;MASC;SG	N;INDF;NEUT;SG
פעמים	tidspunkter	פעם	tidspunkt	N;FEM;PL	N;INDF;NEUT;PL
פעמים	gange	פעם	gang	N;FEM;PL	N;INDF;MASC+FEM;PL
פעמים	tiderne	פעם	tid	N;FEM;PL	N;DEF;MASC+FEM;PL
פעמים	tider	פעם	tid	N;FEM;PL	N;INDF;MASC+FEM;PL
קבוצות	grupper	קבוצה	gruppe	N;FEM;PL	N;INDF;MASC+FEM;PL
קבוצות	grupperne	קבוצה	gruppe	N;FEM;PL	N;DEF;MASC+FEM;PL
קבוצות	holdene	קבוצה	holde	N;FEM;PL	N;DEF;MASC+FEM;PL
קבוצות	teams	קבוצה	teams	N;FEM;PL	N;INDF;NEUT;PL
סרט	folie	סרט	folie	N;MASC;SG	N;INDF;MASC+FEM;SG
קרב	slag	קרב	slag	N;MASC;SG	N;INDF;NEUT;SG
קרב	kamp	קרב	kamp	N;MASC;SG	N;INDF;MASC+FEM;SG
קרב	slaget	קרב	slag	N;MASC;SG	N;DEF;NEUT;SG
קרב	kamp	קרב	kamp	N;MASC;SG	N;INDF;MASC+FEM;SG
קצר	kort	קצר	kort	ADJ;MASC;SG	ADJ;INDF;SG
קצר	kortfattet	קצר	kortfattet	ADJ;MASC;SG	ADJ;INDF;SG
ימים	dage	יום	dag	N;MASC;PL	N;INDF;MASC+FEM;PL
צבא	militæret	צבא	militær	N;MASC;SG	N;DEF;NEUT;SG
צבא	hær	צבא	hær	N;MASC;SG	N;INDF;MASC+FEM;SG
צבא	hæren	צבא	hær	N;MASC;SG	N;DEF;MASC+FEM;SG
צבא	hærens	צבא	hær	N;MASC;SG	N;GEN;DEF;MASC+FEM;SG
צבא	army	צבא	army	N;MASC;SG	N;INDF;MASC+FEM;SG
ים	søs	ים	søs	N;MASC;SG	N;INDF;MASC+FEM;SG
ים	hav	ים	hav	N;MASC;SG	N;INDF;NEUT;SG
ים	havet	ים	hav	N;MASC;SG	N;DEF;NEUT;SG
הפך	blev	הפך	blive	V;MASC;SG;3;PST	V;IND;PST;FIN;ACT
משחק	kamp	משחק	kamp	N;MASC;SG	N;INDF;MASC+FEM;SG
משחק	spil	משחק	spil	N;MASC;SG	N;INDF;NEUT;SG
משחק	leg	משחק	leg	N;MASC;SG	N;INDF;MASC+FEM;SG
משחק	afspilning	משחק	afspilning	N;MASC;SG	N;INDF;MASC+FEM;SG
משחק	skuespil	משחק	skuespil	N;MASC;SG	N;INDF;NEUT;SG
למעשה	faktisk	למעשה	faktisk	ADV	ADV
נבחר	valgt	נבחר	vælge	V;MASC;SG;3;PST;MID	V;INDF;SG;PST;V.PTCP
נבחר	udvalgt	נבחר	udvælge	V;MASC;SG;3;PST;MID	V;INDF;SG;PST;V.PTCP
נבחר	valgt	נבחר	vælge	V;MASC;SG;3;PST;MID	V;INDF;SG;PST;V.PTCP
נבחר	udvalgt	נבחר	udvælge	V;MASC;SG;3;PST;MID	V;INDF;SG;PST;V.PTCP
נבחר	markeret	נבחר	markere	V;MASC;SG;3;PST;MID	V;INDF;SG;PST;V.PTCP
מדי	også	מדי	også	ADV	ADV
פעילות	aktiviteten	פעילות	aktivitet	N;FEM;SG	N;DEF;MASC+FEM;SG
פעילות	aktivitet	פעילות	aktivitet	N;FEM;SG	N;INDF;MASC+FEM;SG
שטח	fagområde	שטח	fagområde	N;MASC;SG	N;INDF;NEUT;SG
שטח	felt	שטח	felt	N;MASC;SG	N;INDF;NEUT;SG
שטח	område	שטח	område	N;MASC;SG	N;INDF;NEUT;SG
שטח	marken	שטח	mark	N;MASC;SG	N;DEF;MASC+FEM;SG
שטח	terrænet	שטח	terræn	N;MASC;SG	N;DEF;NEUT;SG
שטח	terræn	שטח	terræn	N;MASC;SG	N;INDF;NEUT;SG
שטח	areal	שטח	areal	N;MASC;SG	N;INDF;NEUT;SG
שטח	område	שטח	område	N;MASC;SG	N;INDF;NEUT;SG
מאוחר	sent	מאוחר	sent	ADV	ADV
קולנוע	biografen	קולנוע	biograf	N;MASC;SG	N;DEF;MASC+FEM;SG
קולנוע	biograf	קולנוע	biograf	N;MASC;SG	N;INDF;MASC+FEM;SG
קשר	forbindelse	קשר	forbindelse	N;MASC;SG	N;INDF;MASC+FEM;SG
קשר	tilslutning	קשר	tilslutning	N;MASC;SG	N;INDF;MASC+FEM;SG
