contraste	contraste	contraste	contraste	N;MASC;SG	N;MASC;SG
terry	rizo	terry	rezo	N;MASC;SG	N;MASC;SG
duma	duma	doma	duma	N;FEM;SG	N;FEM;SG
polêmica	polémica	polêmica	polémica	N;FEM;SG	N;FEM;SG
polêmica	polémica	polêmica	polémica	N;FEM;SG	N;FEM;SG
polêmica	controversia	polêmica	controversia	N;FEM;SG	N;FEM;SG
crescer	crecen	crescer	crecer	V;NFIN	V;IND;PL;3;PRS;FIN
crescer	crecer	crescer	crecer	V;NFIN	V;NFIN
crescer	crece	crescer	crecer	V;NFIN	V;IND;SG;3;PRS;FIN
secreto	secret	secreto	secret	N;MASC;SG	N
secreto	secreto	secreto	secreto	N;MASC;SG	N;MASC;SG
mágico	mago	mágico	mago	N;MASC;SG	N;MASC;SG
mágico	hechicero	mágico	hechicero	N;MASC;SG	N;MASC;SG
mágico	maga	mágico	maga	N;MASC;SG	N;FEM;SG
mágico	mago	mágico	mago	N;MASC;SG	N;MASC;SG
mágico	magic	mágico	magic	N;MASC;SG	N
mágico	magia	mágico	magia	N;MASC;SG	N;FEM;SG
protocolo	protocolo	protocolo	protocolo	N;MASC;SG	N;MASC;SG
cristiano	cristián	cristiano	cristián	N;MASC;SG	N;MASC;SG
lema	lema	lema	lema	N;MASC;SG	N;MASC;SG
stars	stars	star	star	N;MASC;SG	N
son	hijo	son	hijo	N;MASC;SG	N;MASC;SG
germânico	germánico	germânico	germánico	ADJ;MASC;SG	ADJ;MASC;SG
germânico	germánica	germânico	germánico	ADJ;MASC;SG	ADJ;FEM;SG
ângulo	ángulo	ângulo	ángulo	N;MASC;SG	N;MASC;SG
ângulo	angulo	ângulo	angulo	N;MASC;SG	N;MASC;SG
procedimentos	procedimientos	procedimento	procedimiento	N;MASC;PL	N;MASC;PL
noção	noción	noção	noción	N;FEM;SG	N;FEM;SG
típica	típico	típico	típico	ADJ;FEM;SG	ADJ;MASC;SG
típica	típica	típico	típico	ADJ;FEM;SG	ADJ;FEM;SG
johannes	johannes	johanne	johanne	N;MASC;SG	N;MASC
vivendo	vivir	viver	vivir	V;V.MSDR	V;NFIN
vivendo	viviendo	viver	vivir	V;V.MSDR	V;V.MSDR
beatles	beatles	beatles	beatle	N;MASC;PL	N;MASC;PL
famosas	famosas	famoso	famoso	ADJ;FEM;PL	ADJ;FEM;PL
famosas	famosos	famoso	famoso	ADJ;FEM;PL	ADJ;MASC;PL
gonzaga	gonzaga	gonzaga	gonzagar	N;MASC;SG	N;FEM;SG
fantasy	fantasy	fantasy	fantasy	N;MASC;SG	N;MASC
fantasy	fantasia	fantasy	fantasia	N;MASC;SG	N;FEM;SG
fantasy	fantasía	fantasy	fantasía	N;MASC;SG	N;FEM;SG
metais	metales	metal	metal	N;MASC;PL	N;MASC;PL
metais	metales	metal	metal	N;MASC;PL	N;MASC;PL
four	four	four	four	N;MASC;SG	N
carey	carey	carey	carey	N;FEM;SG	N;FEM;SG
existiam	existían	existir	existir	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
obtendo	obteniendo	obter	obtener	V;V.MSDR	V;V.MSDR
obtendo	obteniendo	obter	obtener	V;V.MSDR	V;V.MSDR
obtendo	recibiendo	obter	recibir	V;V.MSDR	V;V.MSDR
obtendo	consiguiendo	obter	conseguir	V;V.MSDR	V;V.MSDR
obtendo	obteniendo	obter	obtener	V;V.MSDR	V;V.MSDR
broadway	broadway	broadway	broadway	N;FEM;SG	N;FEM;SG
dick	polla	dick	polla	N;MASC;SG	N;FEM;SG
dick	verga	dick	verga	N;MASC;SG	N;FEM;SG
dick	pito	dick	pito	N;MASC;SG	N;MASC;SG
africanos	africanos	africano	africano	N;MASC;PL	N;MASC;PL
africanos	africanos	africano	africano	N;MASC;PL	N;MASC;PL
testemunhas	testigos	testemunha	testigo	N;FEM;PL	N;MASC;PL
testemunhas	testigos	testemunha	testigo	N;FEM;PL	N;MASC;PL
guitarras	guitarras	guitarra	guitarra	N;FEM;PL	N;FEM;PL
determinação	determinación	determinação	determinación	N;FEM;SG	N;FEM;SG
nicolas	nicolás	nicola	nicolás	N;MASC;SG	N;MASC;SG
nicolas	nicolas	nicola	nicola	N;MASC;SG	N;MASC;SG
fighting	lucha	fighting	lucha	N;MASC;SG	N;FEM;SG
fighting	fighting	fighting	fighting	N;MASC;SG	N
minerais	minerales	mineral	mineral	N;MASC;PL	N;PL
minerais	minerales	mineral	mineral	N;MASC;PL	N;PL
separado	separar	separar	separar	V;MASC;SG;V.PTCP	V;NFIN
decoração	decoración	decoração	decoración	N;FEM;SG	N;FEM;SG
decoração	decoración	decoração	decoración	N;FEM;SG	N;FEM;SG
decoração	decoración	decoração	decoración	N;FEM;SG	N;FEM;SG
secret	secret	secret	secret	N;MASC;SG	N
secret	secreto	secret	secreto	N;MASC;SG	N;MASC;SG
herschel	herschel	herschel	herschel	N;MASC;SG	N;MASC;SG
azuis	blue	azul	blue	N;MASC;PL	N
azuis	blues	azul	blues	N;MASC;PL	N
diretora	directora	diretora	directora	N;FEM;SG	N;FEM;SG
diretora	director	diretora	director	N;FEM;SG	N;MASC;SG
diretora	directora	diretora	directora	N;FEM;SG	N;FEM;SG
analisar	analizar	analisar	analizar	V;NFIN	V;NFIN
analisar	analice	analisar	analizar	V;NFIN	V;IMP;SG;3;FIN
analisar	analiza	analisar	analizar	V;NFIN	V;IND;SG;3;PRS;FIN
analisar	analizar	analisar	analizar	V;NFIN	V;NFIN
moléculas	moléculas	molécula	molécula	N;FEM;PL	N;FEM;PL
previsão	previsión	previsão	previsión	N;FEM;SG	N;FEM;SG
previsão	predicción	previsão	predicción	N;FEM;SG	N;FEM;SG
previsão	pronóstico	previsão	pronóstico	N;FEM;SG	N;MASC;SG
previsão	predicción	previsão	predicción	N;FEM;SG	N;FEM;SG
previsão	previsión	previsão	previsión	N;FEM;SG	N;FEM;SG
comentou	comentó	comentar	comentar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
julio	julio	julio	julio	N;MASC;SG	N
acre	hectárea	acrir	hectárea	N;MASC;SG	N;FEM;SG
acre	acre	acrir	acrir	N;MASC;SG	N;MASC;SG
melhoria	mejoramiento	melhoria	mejoramiento	N;FEM;SG	N;MASC;SG
melhoria	mejora	melhoria	mejora	N;FEM;SG	N;FEM;SG
melhoria	mejoría	melhoria	mejoría	N;FEM;SG	N;FEM;SG
melhoria	mejoramiento	melhoria	mejoramiento	N;FEM;SG	N;MASC;SG
melhoria	perfeccionamiento	melhoria	perfeccionamiento	N;FEM;SG	N;MASC;SG
melhoria	mejora	melhoria	mejora	N;FEM;SG	N;FEM;SG
carmen	carmen	carmen	carmen	N;FEM;SG	N;MASC;SG
resolve	solucionar	resolver	solucionar	V;IND;SG;3;PRS;FIN	V;NFIN
resolve	resolver	resolver	resolver	V;IND;SG;3;PRS;FIN	V;NFIN
resolve	resuelve	resolver	resolver	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
resolve	soluciona	resolver	solucionar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
resolve	resuelve	resolver	resolver	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
vilas	ciudades	vila	ciudad	N;FEM;PL	N;FEM;PL
vilas	pueblos	vila	pueblo	N;FEM;PL	N;MASC;PL
vilas	pueblos	vila	pueblo	N;FEM;PL	N;MASC;PL
vilas	aldeas	vila	aldea	N;FEM;PL	N;FEM;PL
censura	censura	censura	censura	N;FEM;SG	N;FEM;SG
censura	censura	censura	censura	N;FEM;SG	N;FEM;SG
censura	censura	censura	censura	N;FEM;SG	N;FEM;SG
assembléia	ensamblaje	assembléia	ensamblaje	N;FEM;SG	N;MASC;SG
assembléia	asamblea	assembléia	asamblea	N;FEM;SG	N;FEM;SG
assembléia	montaje	assembléia	montaje	N;FEM;SG	N;MASC;SG
jersey	camiseta	jersey	camiseta	N;MASC;SG	N;FEM;SG
jersey	jersey	jersey	jersey	N;MASC;SG	N;MASC;SG
hell	hell	hell	hell	N;MASC;SG	N
hell	infierno	hell	infierno	N;MASC;SG	N;MASC;SG
chineses	chinos	chinês	chino	N;MASC;PL	N;MASC;PL
supervisor	supervisora	supervisor	supervisora	N;MASC;SG	N;FEM;SG
supervisor	supervisor	supervisor	supervisor	N;MASC;SG	N;MASC;SG
renascimento	renacimiento	renascimento	renacimiento	N;MASC;SG	N;MASC;SG
renascimento	renacimiento	renascimento	renacimiento	N;MASC;SG	N;MASC;SG
renascimento	reactivación	renascimento	reactivación	N;MASC;SG	N;FEM;SG
renascimento	resurgimiento	renascimento	resurgimiento	N;MASC;SG	N;MASC;SG
renascimento	renacimiento	renascimento	renacimiento	N;MASC;SG	N;MASC;SG
colonos	colonos	colono	colono	N;MASC;PL	N;MASC;PL
colonos	colonizadores	colono	colonizador	N;MASC;PL	N;MASC;PL
colonos	colonos	colono	colono	N;MASC;PL	N;MASC;PL
colonos	colonizadores	colono	colonizador	N;MASC;PL	N;MASC;PL
colonos	pobladores	colono	poblador	N;MASC;PL	N;MASC;PL
campbell	campbell	campbell	campbell	N;MASC;SG	N;SG
cultivo	cultivo	cultivo	cultivo	N;MASC;SG	N;MASC;SG
galo	polla	galo	polla	N;MASC;SG	N;FEM;SG
galo	verga	galo	verga	N;MASC;SG	N;FEM;SG
galo	gallo	galo	gallo	N;MASC;SG	N;MASC;SG
galo	gallito	galo	gallito	N;MASC;SG	N;MASC;SG
galo	gallo	galo	gallo	N;MASC;SG	N;MASC;SG
reuniões	reuniones	reunião	reunión	N;FEM;PL	N;FEM;PL
reuniões	encuentros	reunião	encuentro	N;FEM;PL	N;MASC;PL
gerações	generaciones	geração	generación	N;FEM;PL	N;FEM;PL
sabendo	sabiendo	saber	saber	V;V.MSDR	V;V.MSDR
sabendo	conociendo	saber	conocer	V;V.MSDR	V;V.MSDR
capitais	mayúsculas	capital	mayúsculo	N;MASC;PL	N;FEM;PL
capitais	capitales	capital	capital	N;MASC;PL	N;MASC;PL
capitais	capitales	capital	capital	N;MASC;PL	N;MASC;PL
piso	planta	piso	planta	N;MASC;SG	N;FEM;SG
piso	piso	piso	piso	N;MASC;SG	N;MASC;SG
piso	suelo	piso	suelo	N;MASC;SG	N;MASC;SG
minnesota	minnesota	minnesota	minnesota	N;FEM;SG	N;MASC;SG
pagina	pagina	pagina	pagina	N;FEM;SG	N;FEM;SG
pagina	página	pagina	página	N;FEM;SG	N;FEM;SG
pagina	page	pagina	pager	N;FEM;SG	N
leme	timón	leme	timón	N;MASC;SG	N;MASC;SG
leme	timón	leme	timón	N;MASC;SG	N;MASC;SG
liberais	liberales	liberal	liberal	N;MASC;PL	N;PL
liberais	liberales	liberal	liberal	N;MASC;PL	N;PL
selvagem	silvestre	selvagem	silvestre	ADJ;MASC;SG	ADJ;SG
selvagem	salvaje	selvagem	salvaje	ADJ;MASC;SG	ADJ;SG
selvagem	salvaje	selvagem	salvaje	ADJ;MASC;SG	ADJ;SG
transmitida	transmitió	transmitir	transmitir	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
formatos	formatos	formato	formato	N;MASC;PL	N;MASC;PL
aceitação	aceptación	aceitação	aceptación	N;FEM;SG	N;FEM;SG
recebem	recibir	receber	recibir	V;IND;PL;3;PRS;FIN	V;NFIN
sítios	sitios	sítio	sitio	N;MASC;PL	N;MASC;PL
sítios	emplazamientos	sítio	emplazamiento	N;MASC;PL	N;MASC;PL
sítios	sitios	sítio	sitio	N;MASC;PL	N;MASC;PL
sítios	lugares	sítio	lugar	N;MASC;PL	N;MASC;PL
sítios	localidades	sítio	localidad	N;MASC;PL	N;FEM;PL
sítios	plazas	sítio	plaza	N;MASC;PL	N;FEM;PL
bandeiras	pabellones	bandeira	pabellón	N;FEM;PL	N;MASC;PL
bandeiras	banderas	bandeira	bandera	N;FEM;PL	N;FEM;PL
bandeiras	banners	bandeira	banner	N;FEM;PL	N;MASC;PL
bandeiras	banderas	bandeira	bandera	N;FEM;PL	N;FEM;PL
bandeiras	pancartas	bandeira	pancarta	N;FEM;PL	N;FEM;PL
túmulo	tumba	túmulo	tumba	N;MASC;SG	N;FEM;SG
túmulo	sepulcro	túmulo	sepulcro	N;MASC;SG	N;MASC;SG
túmulo	tumba	túmulo	tumba	N;MASC;SG	N;FEM;SG
leonor	eleanor	leonor	eleanor	N;FEM;SG	N;FEM;SG
leonor	leonor	leonor	leonor	N;FEM;SG	N;FEM;SG
leonor	eleonora	leonor	eleonorar	N;FEM;SG	N;FEM;SG
causada	causó	causar	causar	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
acampamento	camp	acampamento	camp	N;MASC;SG	N;MASC;SG
acampamento	campamento	acampamento	campamento	N;MASC;SG	N;MASC;SG
acampamento	campo	acampamento	campo	N;MASC;SG	N;MASC;SG
acampamento	campamento	acampamento	campamento	N;MASC;SG	N;MASC;SG
acampamento	camping	acampamento	camping	N;MASC;SG	N;MASC;SG
fabaceae	fabaceae	fabaceae	fabaceae	N;FEM;SG	N;FEM;SG
publicar	publicar	publicar	publicar	V;NFIN	V;NFIN
publicar	publicando	publicar	publicar	V;NFIN	V;V.MSDR
publicar	publicar	publicar	publicar	V;NFIN	V;NFIN
publicar	publique	publicar	publicar	V;NFIN	V;IMP;SG;3;FIN
publicar	publicar	publicar	publicar	V;NFIN	V;NFIN
publicar	postear	publicar	postear	V;NFIN	V;NFIN
publicar	publicar	publicar	publicar	V;NFIN	V;NFIN
publicar	publicando	publicar	publicar	V;NFIN	V;V.MSDR
gera	genera	gerar	generar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gera	generar	gerar	generar	V;IND;SG;3;PRS;FIN	V;NFIN
gera	genera	gerar	generar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
pedindo	preguntar	pedir	preguntar	V;V.MSDR	V;NFIN
pedindo	preguntando	pedir	preguntar	V;V.MSDR	V;V.MSDR
pedindo	pidiendo	pedir	pedir	V;V.MSDR	V;V.MSDR
atribuída	atribuyó	atribuir	atribuir	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
imigração	inmigración	imigração	inmigración	N;FEM;SG	N;FEM;SG
celso	celso	celso	celso	N;MASC;SG	N;MASC;SG
controvérsia	polémica	controvérsia	polémica	N;FEM;SG	N;FEM;SG
controvérsia	controversia	controvérsia	controversia	N;FEM;SG	N;FEM;SG
roman	roman	roman	romar	N;MASC;SG	N
roman	román	roman	román	N;MASC;SG	N;MASC;SG
aumentando	aumentar	aumentar	aumentar	V;V.MSDR	V;NFIN
aumentando	incrementando	aumentar	incrementar	V;V.MSDR	V;V.MSDR
aumentando	aumentando	aumentar	aumentar	V;V.MSDR	V;V.MSDR
coloração	colorante	coloração	colorante	N;FEM;SG	N;SG
coloração	coloración	coloração	coloración	N;FEM;SG	N;FEM;SG
coloração	coloración	coloração	coloración	N;FEM;SG	N;FEM;SG
coloração	colorante	coloração	colorante	N;FEM;SG	N;SG
coloração	coloración	coloração	coloración	N;FEM;SG	N;FEM;SG
semelhança	semejanza	semelhança	semejanza	N;FEM;SG	N;FEM;SG
semelhança	similitud	semelhança	similitud	N;FEM;SG	N;FEM;SG
semelhança	semejanza	semelhança	semejanza	N;FEM;SG	N;FEM;SG
semelhança	semejanza	semelhança	semejanza	N;FEM;SG	N;FEM;SG
expressa	expresa	esprimir	expresar	V;FEM;SG;V.PTCP	V;IND;SG;3;PRS;FIN
expressa	expresar	esprimir	expresar	V;FEM;SG;V.PTCP	V;NFIN
expressa	expresa	esprimir	expresar	V;FEM;SG;V.PTCP	V;IND;SG;3;PRS;FIN
expressa	expresó	esprimir	expresar	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
mars	mars	mar	mars	N;MASC;SG	N
proprietários	propietarios	proprietário	propietario	N;MASC;PL	N;MASC;PL
proprietários	dueños	proprietário	dueño	N;MASC;PL	N;MASC;PL
proprietários	propietarios	proprietário	propietario	N;MASC;PL	N;MASC;PL
proprietários	terratenientes	proprietário	terrateniente	N;MASC;PL	N;PL
ava	ava	avar	avar	N;MASC;SG	N;FEM;SG
actividades	actividades	actividade	actividad	N;FEM;PL	N;FEM;PL
polaco	polaco	polaco	polaco	N;MASC;SG	N;MASC;SG
rapaz	muchacho	rapaz	muchacho	N;MASC;SG	N;MASC;SG
rapaz	boy	rapaz	boy	N;MASC;SG	N
rapaz	niño	rapaz	niño	N;MASC;SG	N;MASC;SG
rapaz	chico	rapaz	chico	N;MASC;SG	N;MASC;SG
estabelece	establece	estabelecer	establecer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
irlandês	irlanda	irlandês	irlanda	N;MASC;SG	N;FEM;SG
irlandês	irish	irlandês	irish	N;MASC;SG	N
irlandês	irlandés	irlandês	irlandés	N;MASC;SG	N;MASC;SG
irlandês	irlandés	irlandês	irlandés	N;MASC;SG	N;MASC;SG
combates	peleas	combate	pelea	N;MASC;PL	N;FEM;PL
combates	luchas	combate	lucha	N;MASC;PL	N;FEM;PL
possuindo	poseer	possuir	poseer	V;V.MSDR	V;NFIN
saiba	saber	saber	saber	V;SBJV;SG;3;PRS;FIN	V;NFIN
divisa	divisa	divisa	divisa	N;FEM;SG	N;FEM;SG
divisa	moneda	divisa	moneda	N;FEM;SG	N;FEM;SG
reunir	reunir	reunir	reunir	V;NFIN	V;NFIN
reunir	reunir	reunir	reunir	V;NFIN	V;NFIN
sonda	sonda	sondar	sonda	N;FEM;SG	N;FEM;SG
guatemala	guatemala	guatemala	guatemala	N;FEM;SG	N;FEM;SG
kent	kent	kent	kent	N;MASC;SG	N;MASC;SG
terrestres	terrestres	terrestre	terrestre	N;MASC;PL	N;PL
pleno	lleno	pleno	lleno	ADJ;MASC;SG	ADJ;MASC;SG
pleno	llena	pleno	lleno	ADJ;MASC;SG	ADJ;FEM;SG
pleno	plena	pleno	pleno	ADJ;MASC;SG	ADJ;FEM;SG
pleno	completo	pleno	completo	ADJ;MASC;SG	ADJ;MASC;SG
ofensiva	ofensiva	ofensiva	ofensiva	N;FEM;SG	N;FEM;SG
mancha	mancha	mancha	mancha	N;FEM;SG	N;FEM;SG
mancha	mancha	mancha	mancha	N;FEM;SG	N;FEM;SG
tokyo	tokyo	tokyo	tokyo	N;MASC;SG	N;MASC;SG
tokyo	tokio	tokyo	tokio	N;MASC;SG	N;MASC;SG
quartel	barracón	quartel	barracón	N;MASC;SG	N;MASC;SG
quartel	barraca	quartel	barraca	N;MASC;SG	N;FEM;SG
quartel	cuartel	quartel	cuartel	N;MASC;SG	N;MASC;SG
mamíferos	mamíferos	mamífero	mamífero	N;MASC;PL	N;MASC;PL
mamíferos	mamíferos	mamífero	mamífero	N;MASC;PL	N;MASC;PL
fracasso	falla	fracasso	fallar	N;MASC;SG	N;FEM;SG
fracasso	fracaso	fracasso	fracaso	N;MASC;SG	N;MASC;SG
fracasso	fracaso	fracasso	fracaso	N;MASC;SG	N;MASC;SG
fracasso	fallo	fracasso	fallo	N;MASC;SG	N;MASC;SG
fracasso	falla	fracasso	fallar	N;MASC;SG	N;FEM;SG
solos	suelos	solo	suelo	N;MASC;PL	N;MASC;PL
solos	suelos	solo	suelo	N;MASC;PL	N;MASC;PL
armazenamento	almacén	armazenamento	almacén	N;MASC;SG	N;MASC;SG
armazenamento	almacenaje	armazenamento	almacenaje	N;MASC;SG	N;MASC;SG
armazenamento	almacenamiento	armazenamento	almacenamiento	N;MASC;SG	N;MASC;SG
códigos	códigos	código	código	N;MASC;PL	N;MASC;PL
thompson	thompson	thompson	thompson	N;MASC;SG	N;MASC;SG
cidadania	ciudadanía	cidadania	ciudadanía	N;FEM;SG	N;FEM;SG
cidadania	nacionalidad	cidadania	nacionalidad	N;FEM;SG	N;FEM;SG
acompanhar	acompañan	acompanhar	acompañar	V;NFIN	V;IND;PL;3;PRS;FIN
acompanhar	acompañe	acompanhar	acompañar	V;NFIN	V;SBJV;SG;3;FIN
acompanhar	acompañar	acompanhar	acompañar	V;NFIN	V;NFIN
acompanhar	acompaña	acompanhar	acompañar	V;NFIN	V;IND;SG;3;PRS;FIN
plena	lleno	pleno	lleno	ADJ;FEM;SG	ADJ;MASC;SG
plena	llena	pleno	lleno	ADJ;FEM;SG	ADJ;FEM;SG
plena	plena	pleno	pleno	ADJ;FEM;SG	ADJ;FEM;SG
plena	completo	pleno	completo	ADJ;FEM;SG	ADJ;MASC;SG
wolf	loba	wolf	loba	N;MASC;SG	N;FEM;SG
wolf	wolf	wolf	wolf	N;MASC;SG	N
wolf	lobo	wolf	lobo	N;MASC;SG	N;MASC;SG
variam	variar	variar	variar	V;IND;PL;3;PRS;FIN	V;NFIN
variam	varían	variar	variar	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
ricos	ricos	rico	rico	N;MASC;PL	N;MASC;PL
ricos	ricos	rico	rico	N;MASC;PL	N;MASC;PL
tópicos	tópicos	tópico	tópico	N;MASC;PL	N;MASC;PL
tópicos	temas	tópico	tema	N;MASC;PL	N;MASC;PL
tópicos	hilos	tópico	hilo	N;MASC;PL	N;MASC;PL
tópicos	hebras	tópico	hebra	N;MASC;PL	N;FEM;PL
colaboradores	colaboradores	colaborador	colaborador	N;MASC;PL	N;MASC;PL
