par	za	par	za		
otrā	druhé	otrā	druhý	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
otrā	druhe	otrā	druh	ADJ;NOM;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG
otrā	druhý	otrā	druhý	ADJ;NOM;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG
profils	profil	profils	profiť	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
profils	profile	profils	profil	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
bez	bez	bez	bez	ADP	ADP;GEN
tautas	národy	tauta	národ	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
apmēram	približne	apmēram	približne	ADV	ADV
garums	dĺžka	garums	dĺžka	N;NOM;MASC;SG	N;NOM;FEM;SG
garums	dĺžka	garums	dĺžka	N;NOM;MASC;SG	N;NOM;FEM;SG
divas	dve	divas	dva	NUM;NOM;FEM;PL	NUM;NOM;FEM;PL
divas	dvaja	divas	dva	NUM;NOM;FEM;PL	NUM;ANIM;NOM;MASC;PL
divas	dva	divas	dva	NUM;NOM;FEM;PL	NUM;INAN;NOM;MASC;PL
komandas	príkazy	komanda	príkaz	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
komandas	tímy	komanda	tím	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
pils	zámok	pils	zámok	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
pils	hrad	pils	hrad	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
pils	palace	pils	palac	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
pils	palác	pils	palác	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
vietas	lokality	vieta	lokalita	N;NOM;FEM;PL	N;NOM;FEM;PL
vietas	umiestnenia	vieta	umiestnenie	N;NOM;FEM;PL	N;NOM;NEUT;PL
vietas	miesta	vieta	miesto	N;NOM;FEM;PL	N;NOM;NEUT;PL
vietas	reštaurácie	vieta	reštaurácia	N;NOM;FEM;PL	N;NOM;FEM;PL
vietas	miesta	vieta	miesto	N;NOM;FEM;PL	N;NOM;NEUT;PL
valodas	jazyky	valoda	jazyk	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
pašlaik	momentálne	pašlaik	momentálne	ADV	ADV
novads	samospráva	novads	samosprávať	N;NOM;MASC;SG	N;NOM;FEM;SG
novads	obec	novads	obec	N;NOM;MASC;SG	N;NOM;FEM;SG
grupa	skupina	grupa	skupina	N;NOM;FEM;SG	N;NOM;FEM;SG
piedalījās	zúčastnili	piedalīties	zúčastniť	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
piedalījās	zúčastnila	piedalīties	zúčastniť	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
ūdens	voda	ūdens	voda	N;NOM;MASC;SG	N;NOM;FEM;SG
valoda	jazyk	valoda	jazyk	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
tāpat	obdobne	tāpat	obdobne	ADV	ADV
tāpat	podobne	tāpat	podobne	ADV	ADV
tāpat	rovnako	tāpat	rovnako	ADV	ADV
janvārī	januári	janvāris	január	N;ESS;MASC;SG	N;INAN;ESS;MASC;SG
sugas	druhy	suga	druh	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
pasaulē	svete	pasaule	svet	N;ESS;FEM;SG	N;INAN;ESS;MASC;SG
ciems	dedinka	ciems	dedinka	N;NOM;MASC;SG	N;NOM;FEM;SG
ciems	dedina	ciems	dedina	N;NOM;MASC;SG	N;NOM;FEM;SG
ciems	obec	ciems	obec	N;NOM;MASC;SG	N;NOM;FEM;SG
skaits	gróf	skaits	gróf	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
skaits	číslo	skaits	číslo	N;NOM;MASC;SG	N;NOM;NEUT;SG
skaits	počet	skaits	počet	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
skaits	čislo	skaits	čislo	N;NOM;MASC;SG	N;NOM;NEUT;SG
suga	druh	suga	druh	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
spēlē	prehrať	spēlēt	prehrať	V;FH;IND;3;POS;PRS;FIN;ACT	V;PFV;POS;NFIN
spēlē	hrať	spēlēt	hrať	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;POS;NFIN
spēlē	zahrať	spēlēt	zahrať	V;FH;IND;3;POS;PRS;FIN;ACT	V;PFV;POS;NFIN
spēlē	hrať	spēlēt	hrať	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;POS;NFIN
spēlē	hrajú	spēlēt	hrať	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN
aptuveni	približne	aptuveni	približne	ADV	ADV
aptuveni	približne	aptuveni	približne	ADV	ADV
apriņķis	county	apriņķis	count	N;NOM;MASC;SG	N;NOM;MASC;SG
upes	rieka	upe	rieka	N;NOM;FEM;SG	N;NOM;FEM;SG
komanda	veliteľstvo	komanda	veliteľstvo	N;NOM;FEM;SG	N;NOM;NEUT;SG
komanda	príkaz	komanda	príkaz	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
komanda	velenie	komanda	velenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
komanda	mužstvo	komanda	mužstvo	N;NOM;FEM;SG	N;NOM;NEUT;SG
komanda	tím	komanda	tím	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
martā	marci	marts	marec	N;ESS;MASC;SG	N;INAN;ESS;MASC;SG
dienas	dni	diena	deň	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
dienas	daily	diena	daila	N;NOM;FEM;PL	N;NOM;FEM;PL
armijas	armády	armija	armáda	N;NOM;FEM;PL	N;NOM;FEM;PL
armijas	armády	armija	armáda	N;NOM;FEM;PL	N;NOM;FEM;PL
armijas	army	armija	arm	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
klubs	klub	klubs	klub	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
sākās	začali	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;MASC;PL;POS;PST;V.PTCP
sākās	začalo	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
sākās	začal	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
sākās	začala	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
sākās	začal	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
sākās	začalo	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
sākās	začali	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;MASC;PL;POS;PST;V.PTCP
sākās	začala	sākties	začať	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
salas	ostrovy	sala	ostrov	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
līgas	ligy	līga	liga	N;NOM;FEM;PL	N;NOM;FEM;PL
ezers	jazere	ezers	jazero	N;NOM;MASC;SG	N;NOM;NEUT;SG
ezers	jazero	ezers	jazero	N;NOM;MASC;SG	N;NOM;NEUT;SG
iespējams	možná	iespējams	možný	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
iespējams	možné	iespējams	možný	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
iespējams	možný	iespējams	možný	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG
impērijas	ríše	impērija	ríša	N;NOM;FEM;PL	N;NOM;FEM;PL
daļas	diely	daļa	diely	N;NOM;FEM;PL	N;NOM;FEM;PL
daļas	súčiastky	daļa	súčiastka	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
kultūras	plodiny	kultūra	plodina	N;NOM;FEM;PL	N;NOM;FEM;PL
kultūras	kultúry	kultūra	kultúra	N;NOM;FEM;PL	N;NOM;FEM;PL
dzimums	pohlavie	dzimums	pohlavie	N;NOM;MASC;SG	N;NOM;NEUT;SG
dzimums	pohlavie	dzimums	pohlavie	N;NOM;MASC;SG	N;NOM;NEUT;SG
dzimums	sex	dzimums	sex	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
tagad	teraz	tagad	teraz	ADV	ADV
baznīcas	kostoly	baznīca	kostol	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
baznīcas	cirkvi	baznīca	cirkev	N;NOM;FEM;PL	N;NOM;FEM;PL
baznīcas	cirkvi	baznīca	cirkev	N;NOM;FEM;PL	N;NOM;FEM;PL
auto	auto	auto	auto	N	N;NOM;NEUT;SG
auto	auta	auto	auto	N	N;NOM;NEUT;PL
auto	autom	auto	auto	N	N;INS;NEUT;SG
auto	auto	auto	auto	N	N;NOM;NEUT;SG
auto	kamión	auto	kamión	N	N;INAN;NOM;MASC;SG
auto	auto	auto	auto	N	N;NOM;NEUT;SG
baznīca	kostol	baznīca	kostol	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
baznīca	cirkev	baznīca	cirkev	N;NOM;FEM;SG	N;NOM;FEM;SG
dzīvo	žiť	dzīvot	žiť	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;POS;NFIN
dzīvo	žiť	dzīvot	žiť	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;POS;NFIN
mājaslapa	web	mājaslaps	web	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
mājaslapa	webe	mājaslaps	wiaba	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
mājas	domy	māja	dom	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
mājas	domovy	māja	domov	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
mājas	domy	māja	dom	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
diskusija	diskusia	diskusija	diskusi	N;NOM;FEM;SG	N;NOM;FEM;SG
viņam	mu	viņš	on	PRO;DAT;MASC;SG;3	PRO;ANIM;DAT;MASC;SG;3
varētu	mohla	varēt	môcť	V;COND;POS;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
varētu	mohol	varēt	môcť	V;COND;POS;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
varētu	mohli	varēt	môcť	V;COND;POS;FIN;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
varētu	mohlo	varēt	môcť	V;COND;POS;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
tāpēc	preto	tāpēc	preto	ADV	ADV
pasta	mail	pasts	maiť	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
pasta	pošta	pasts	pošta	N;NOM;MASC;SG	N;NOM;FEM;SG
notiek	deje	notikt	diať	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
albums	album	albums	album	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
prezidents	prezidentka	prezidents	prezidentka	N;NOM;MASC;SG	N;NOM;FEM;SG
prezidents	prezident	prezidents	prezident	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
prezidents	predseda	prezidents	predseda	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
gadi	roky	gads	rok	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL
karalis	kráľ	karalis	kráľ	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
karalis	král	karalis	král	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
nodarbošanās	povolanie	nodarbošanās	povolanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
nodarbošanās	zamestnanie	nodarbošanās	zamestnanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
galvenokārt	najčastejšie	galvenokārt	často	ADV	ADV;RL
galvenokārt	väčšinou	galvenokārt	väčšinou	ADV	ADV
galvenokārt	hlavne	galvenokārt	hlavne	ADV	ADV
galvenokārt	prevažne	galvenokārt	prevažne	ADV	ADV
galvenokārt	zväčša	galvenokārt	zväčša	ADV	ADV
galvenokārt	hlavne	galvenokārt	hlavne	ADV	ADV
galvenokārt	prevažne	galvenokārt	prevažne	ADV	ADV
galvenokārt	primárne	galvenokārt	primárne	ADV	ADV
stacijas	stanovištia	stacija	stanovište	N;NOM;FEM;PL	N;NOM;NEUT;PL
stacijas	stanice	stacija	stanica	N;NOM;FEM;PL	N;NOM;FEM;PL
politiķis	politik	politiķis	politik	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
šeit	sem	šeit	sem	ADV	ADV
šeit	tu	šeit	tu	ADV	ADV
universitātes	univerzity	universitāte	univerzita	N;NOM;FEM;PL	N;NOM;FEM;PL
universitātes	university	universitāte	universita	N;NOM;FEM;PL	N;NOM;FEM;PL
universitātes	univerzity	universitāte	univerzita	N;NOM;FEM;PL	N;NOM;FEM;PL
republikas	republiky	republika	republika	N;NOM;FEM;PL	N;NOM;FEM;PL
republikas	republiky	republika	republika	N;NOM;FEM;PL	N;NOM;FEM;PL
būtu	by	būt	by	V;COND;POS;FIN;ACT	V;COND
apgabals	county	apgabals	count	N;NOM;MASC;SG	N;NOM;MASC;SG
apgabals	obvod	apgabals	obvod	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
apgabals	okrsok	apgabals	okrsok	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
apgabals	oblasť	apgabals	oblasť	N;NOM;MASC;SG	N;NOM;FEM;SG
apgabals	plocha	apgabals	plocha	N;NOM;MASC;SG	N;NOM;FEM;SG
darbības	operácie	darbība	operácia	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	prevádzky	darbība	prevádzka	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	činnosti	darbība	činnosť	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	aktivity	darbība	aktivita	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	akcie	darbība	akcia	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	činy	darbība	čin	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
cilvēki	ludia	cilvēks	ludia	N;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
cilvēki	ľudia	cilvēks	človek	N;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
izlase	vzorka	izlase	vzorka	N;NOM;FEM;SG	N;NOM;FEM;SG
izlase	ukážka	izlase	ukážka	N;NOM;FEM;SG	N;NOM;FEM;SG
izlase	výber	izlase	výber	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
tur	tam	tur	tam	ADV	ADV
viņi	oni	viņš	on	PRO;NOM;MASC;PL;3	PRO;ANIM;NOM;MASC;PL;3
īpaši	zvlášť	īpaši	zvlášť	ADV	ADV
īpaši	hlavne	īpaši	hlavne	ADV	ADV
īpaši	zvlášť	īpaši	zvlášť	ADV	ADV
