dan	in	dan	in	CONJ	CONJ
kecamatan	okrožje	kecamatan	okrožje	N;SG	N;NOM;NEUT;SG
negara	dežela	negara	dežela	N;SG	N;NOM;FEM;SG
negara	država	negara	država	N;SG	N;NOM;FEM;SG
negara	državo	negara	država	N;SG	N;ACC;FEM;SG
negara	stanje	negara	stanje	N;SG	N;NOM;NEUT;SG
negara	država	negara	država	N;SG	N;NOM;FEM;SG
biasanya	običajno	biasanya	običajno	ADV	ADV
biasanya	navadno	biasanya	navadno	ADV	ADV
biasanya	ponavadi	biasanya	ponavadi	ADV	ADV
biasanya	običajno	biasanya	običajno	ADV	ADV
kemudian	potem	kemudian	potem	ADV	ADV
kemudian	pozneje	kemudian	pozno	ADV	ADV;CMPR
kemudian	kasneje	kemudian	kasno	ADV	ADV;CMPR
kabupaten	regency	kabupaten	regency	N;SG	N;NOM;MASC;SG
kabupaten	okrožje	kabupaten	okrožje	N;SG	N;NOM;NEUT;SG
kabupaten	okraj	kabupaten	okraj	N;SG	N;NOM;MASC;SG
kabupaten	okrožju	kabupaten	okrožje	N;SG	N;DAT;NEUT;SG
kabupaten	okrožja	kabupaten	okrožje	N;SG	N;NOM;NEUT;SG
kabupaten	okrožje	kabupaten	okrožje	N;SG	N;NOM;NEUT;SG
kumbang	pikapolonica	kumbang	pikapolonica	N	N;NOM;FEM;SG
kumbang	hrošč	kumbang	hrošč	N	N;NOM;MASC;SG
lalat	fly	lalat	fly	N;SG	N;NOM;MASC;SG
lalat	muh	lalat	muha	N;SG	N;GEN;FEM;SG
genus	rodu	genus	rod	N	N;GEN;MASC;SG
genus	rod	genus	rod	N	N;NOM;MASC;SG
isi	vsebnost	isi	vsebnost	N;SG	N;NOM;FEM;SG
isi	vsebina	isi	vsebina	N;SG	N;NOM;FEM;SG
isi	vsebina	isi	vsebina	N;SG	N;NOM;FEM;SG
daftar	spisek	daftar	spisek	N;SG	N;NOM;MASC;SG
daftar	seznam	daftar	seznam	N;SG	N;NOM;MASC;SG
baru	novo	baru	nov	ADJ;SG	ADJ;NOM;NEUT;SG
baru	nov	baru	nov	ADJ;SG	ADJ;NOM;INDF;MASC;SG
baru	novi	baru	nov	ADJ;SG	ADJ;NOM;DEF;MASC;SG
baru	nova	baru	nov	ADJ;SG	ADJ;NOM;FEM;SG
antara	med	antara	med	ADP	ADP;INS
barat	zahod	barat	zahod	N;SG	N;NOM;MASC;SG
wilayah	območje	wilayah	območje	N;SG	N;NOM;NEUT;SG
wilayah	površina	wilayah	površina	N;SG	N;NOM;FEM;SG
wilayah	področje	wilayah	področje	N;SG	N;NOM;NEUT;SG
wilayah	regiji	wilayah	regija	N;SG	N;DAT;FEM;SG
wilayah	regija	wilayah	regija	N;SG	N;NOM;FEM;SG
wilayah	ozemlje	wilayah	ozemlje	N;SG	N;NOM;NEUT;SG
tanggal	zmenek	tanggal	zmenek	N;SG;ACT	N;NOM;MASC;SG
tanggal	datum	tanggal	datum	N;SG;ACT	N;NOM;MASC;SG
dunia	svet	dunia	svet	N;SG	N;NOM;MASC;SG
timur	vzhod	timur	vzhod	N;SG	N;NOM;MASC;SG
timur	timur	timur	timur	N;SG	N;NOM;MASC;SG
tempat	plac	tempat	plac	N;SG	N;NOM;MASC;SG
tempat	kraj	tempat	kraj	N;SG	N;NOM;MASC;SG
dua	dve	dua	dva	NUM	NUM;NOM;FEM;DU
dua	dva	dua	dva	NUM	NUM;NOM;MASC;DU
selatan	jug	selatan	jug	N;SG	N;NOM;MASC;SG
september	september	september	september	N;SG	N;NOM;MASC;SG
september	septembra	september	september	N;SG	N;GEN;MASC;SG
anak	sinko	anak	sinko	N;SG	N;NOM;MASC;SG
anak	sine	anak	sine	N;SG	N;NOM;MASC;SG
anak	sin	anak	sin	N;SG	N;NOM;MASC;SG
anak	otrok	anak	otrok	N;SG	N;NOM;MASC;SG
species	vrsta	species	vrsta	N	N;NOM;FEM;SG
species	vrste	species	vrsta	N	N;NOM;FEM;PL
hidup	zivljenje	hidup	zivljenje	N;SG	N;NOM;NEUT;SG
hidup	življenje	hidup	življenje	N;SG	N;NOM;NEUT;SG
lagu	pesem	lagu	pesem	N;SG	N;NOM;FEM;SG
daerah	okrožje	daerah	okrožje	N;SG	N;NOM;NEUT;SG
daerah	območje	daerah	območje	N;SG	N;NOM;NEUT;SG
daerah	površina	daerah	površina	N;SG	N;NOM;FEM;SG
daerah	področje	daerah	področje	N;SG	N;NOM;NEUT;SG
daerah	regiji	daerah	regija	N;SG	N;DAT;FEM;SG
daerah	regija	daerah	regija	N;SG	N;NOM;FEM;SG
daerah	okrožje	daerah	okrožje	N;SG	N;NOM;NEUT;SG
daerah	okraj	daerah	okraj	N;SG	N;NOM;MASC;SG
daerah	okrožju	daerah	okrožje	N;SG	N;DAT;NEUT;SG
daerah	odsek	daerah	odsek	N;SG	N;NOM;MASC;SG
daerah	poglavje	daerah	poglavje	N;SG	N;NOM;NEUT;SG
daerah	razdelek	daerah	razdelek	N;SG	N;NOM;MASC;SG
daerah	oddelek	daerah	oddelek	N;SG	N;NOM;MASC;SG
sekolah	šolo	sekolah	šola	N;SG	N;ACC;FEM;SG
sekolah	šola	sekolah	šola	N;SG	N;NOM;FEM;SG
sekolah	šolanje	sekolah	šolanje	N;SG	N;NOM;NEUT;SG
air	vode	air	voda	N;SG	N;GEN;FEM;SG
air	vodo	air	voda	N;SG	N;ACC;FEM;SG
air	voda	air	voda	N;SG	N;NOM;FEM;SG
air	vode	air	voda	N;SG	N;GEN;FEM;SG
air	zrak	air	zrak	N;SG	N;NOM;MASC;SG
air	air	air	air	N;SG	N;NOM;MASC;SG
terletak	nahaja	terletak	nahajati	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN
hari	dan	hari	dan	N;SG	N;NOM;MASC;SG
hingga	do	hingga	do	ADP	ADP;GEN
sampai	do	sampai	do	ADP	ADP;GEN
kali	čas	kali	čas	N;SG	N;NOM;MASC;SG
kali	časa	kali	čas	N;SG	N;GEN;MASC;SG
kali	times	kali	times	N;SG	N;NOM;MASC;SG
ketika	kadar	ketika	kadar	CONJ	CONJ
ketika	ko	ketika	ko	CONJ	CONJ
sangat	zelo	sangat	zelo	ADV	ADV
sangat	odločno	sangat	odločno	ADV	ADV
sangat	izjemno	sangat	izjemno	ADV	ADV
sangat	izredno	sangat	izredno	ADV	ADV
album	album	album	album	N;SG	N;NOM;MASC;SG
album	albuma	album	album	N;SG	N;GEN;MASC;SG
hal	stvar	hal	stvar	N;SG	N;NOM;FEM;SG
hal	hala	hal	hala	N;SG	N;NOM;FEM;SG
panjang	dolg	panjang	dolg	ADJ;SG	ADJ;NOM;INDF;MASC;SG
panjang	dolgi	panjang	dolg	ADJ;SG	ADJ;NOM;MASC;SG
panjang	dolga	panjang	dolg	ADJ;SG	ADJ;NOM;FEM;SG
anggota	članica	anggota	članica	N;SG	N;NOM;FEM;SG
anggota	član	anggota	član	N;SG	N;NOM;MASC;SG
anggota	poslanec	anggota	poslanec	N;SG	N;NOM;MASC;SG
selama	med	selama	med	ADP	ADP;INS
bisa	lahko	bisa	lahko	ADV	ADV
utama	glavni	utama	glaven	ADJ;SG	ADJ;NOM;DEF;MASC;SG
utama	glavno	utama	glaven	ADJ;SG	ADJ;NOM;NEUT;SG
utama	glavna	utama	glaven	ADJ;SG	ADJ;NOM;FEM;SG
utama	primarna	utama	primaren	ADJ;SG	ADJ;NOM;FEM;SG
utama	primarni	utama	primaren	ADJ;SG	ADJ;NOM;DEF;MASC;SG
disebut	poklical	disebut	poklicati	V;SG;PASS	V;PFV;MASC;SG;V.PTCP
masih	vseeno	masih	vseeno	ADV	ADV
lihat	glej	lihat	gledati	V;SG;ACT	V;IPFV;IMP;SG;2;FIN
lihat	poglej	lihat	poglej	V;SG;ACT	V;PFV;IMP;SG;2;FIN
tinggi	visoka	tinggi	visok	ADJ;SG	ADJ;NOM;FEM;SG
waktu	čas	waktu	čas	N;SG	N;NOM;MASC;SG
waktu	časa	waktu	čas	N;SG	N;GEN;MASC;SG
jenis	type	jenis	typ	N;SG	N;NOM;MASC;SG
jenis	vrsta	jenis	vrsta	N;SG	N;NOM;FEM;SG
jenis	tip	jenis	tip	N;SG	N;NOM;MASC;SG
bulan	mesec	bulan	mesec	N;SG	N;NOM;MASC;SG
bulan	luna	bulan	luna	N;SG	N;NOM;FEM;SG
bulan	luni	bulan	luniti	N;SG	N;NOM;FEM;SG
bulan	meseca	bulan	mesec	N;SG	N;ACC;MASC;SG
bulan	mesec	bulan	mesec	N;SG	N;NOM;MASC;SG
bulan	meseca	bulan	mesec	N;SG	N;ACC;MASC;SG
departemen	oddelek	departemen	oddelek	N;SG	N;NOM;MASC;SG
dikenal	prepoznal	dikenal	prepoznati	V;SG;PASS	V;PFV;MASC;SG;V.PTCP
laba	dobiček	laba	dobiček	N;SG	N;NOM;MASC;SG
laba	pajka	laba	pajk	N;SG	N;NOM;MASC;SG
laba	pajek	laba	pajek	N;SG	N;NOM;MASC;SG
laba	spider	laba	spider	N;SG	N;NOM;MASC;SG
membuat	ustvarjati	menbuat	ustvarjati	V;SG;ACT	V;IPFV;NFIN
membuat	ustvariti	menbuat	ustvariti	V;SG;ACT	V;PFV;NFIN
membuat	ustvari	menbuat	ustvariti	V;SG;ACT	V;PFV;IND;SG;3;PRS;FIN
membuat	naredi	menbuat	narediti	V;SG;ACT	V;PFV;IND;SG;3;PRS;FIN
mulai	začni	mulai	začeti	V;SG;ACT	V;PFV;IMP;SG;2;FIN
resmi	uradna	resmi	uraden	ADJ;SG	ADJ;NOM;FEM;SG
resmi	uradni	resmi	uraden	ADJ;SG	ADJ;NOM;DEF;MASC;SG
resmi	pooblaščen	resmi	pooblaščen	ADJ;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
sekitar	okoli	sekitar	okoli	ADP	ADP;GEN
sekitar	okrog	sekitar	okrog	ADP	ADP;GEN
udara	antena	udara	anteno	N;SG	N;NOM;FEM;SG
udara	zrak	udara	zrak	N;SG	N;NOM;MASC;SG
udara	air	udara	air	N;SG	N;NOM;MASC;SG
melalui	skozi	melalui	skozi	ADP	ADP;ACC
nasional	nacionalna	nasional	nacionalen	ADJ;SG	ADJ;NOM;FEM;SG
nasional	nacionalno	nasional	nacionalen	ADJ;SG	ADJ;NOM;NEUT;SG
nasional	nacionalni	nasional	nacionalen	ADJ;SG	ADJ;NOM;MASC;SG
sekarang	zdaj	sekarang	zdaj	ADV	ADV
sekarang	sedaj	sekarang	sedaj	ADV	ADV
perang	vojskovanje	perang	vojskovanje	N;SG	N;NOM;NEUT;SG
perang	bojevanje	perang	bojevanje	N;SG	N;NOM;NEUT;SG
perang	vojno	perang	vojna	N;SG	N;ACC;FEM;SG
perang	vojna	perang	vojna	N;SG	N;NOM;FEM;SG
pulau	island	pulau	island	N;SG	N;NOM;MASC;SG
pulau	otok	pulau	otok	N;SG	N;NOM;MASC;SG
pulau	otoku	pulau	otok	N;SG	N;DAT;MASC;SG
pulau	otočje	pulau	otočje	N;SG	N;NOM;NEUT;SG
rumah	dom	rumah	dom	N;SG	N;NOM;MASC;SG
rumah	hiša	rumah	hiša	N;SG	N;NOM;FEM;SG
rumah	hisa	rumah	hisa	N;SG	N;NOM;FEM;SG
rumah	hiška	rumah	hiška	N;SG	N;NOM;FEM;SG
pendidikan	izobraževanje	pendidikan	izobraževanje	N;SG	N;NOM;NEUT;SG
pendidikan	izobrazba	pendidikan	izobrazba	N;SG	N;NOM;FEM;SG
pendidikan	izobraževanja	pendidikan	izobraževanje	N;SG	N;GEN;NEUT;SG
pendidikan	izobraževanje	pendidikan	izobraževanje	N;SG	N;NOM;NEUT;SG
laut	marinec	laut	marinec	N;SG	N;NOM;MASC;SG
laut	morje	laut	morje	N;SG	N;NOM;NEUT;SG
laut	ocean	laut	ocean	N;SG	N;NOM;MASC;SG
tim	tim	tim	tim	N;SG	N;NOM;MASC;SG
tim	ekipa	tim	ekipa	N;SG	N;NOM;FEM;SG
tim	team	tim	teama	N;SG	N;NOM;MASC;SG
sistem	sistem	sistem	sistem	N;SG	N;NOM;MASC;SG
komune	komune	komune	komun	N	N;NOM;FEM;PL
komune	občin	komune	občina	N	N;GEN;FEM;PL
termasuk	vključi	termasuk	vključiti	V	V;PFV;IND;SG;3;PRS;FIN
termasuk	vključuje	termasuk	vključevati	V	V;IPFV;IND;SG;3;PRS;FIN
semua	vsi	semua	ves	DET	DET;NOM;MASC;PL
semua	vsem	semua	ves	DET	DET;DAT;MASC;PL
semua	vse	semua	ves	DET	DET;NOM;NEUT;SG
semua	vseh	semua	ves	DET	DET;GEN;MASC;PL
larva	ličink	larva	ličinka	N	N;GEN;FEM;PL
larva	ličinke	larva	ličinka	N	N;NOM;FEM;PL
larva	ličinka	larva	ličinka	N	N;NOM;FEM;SG
terhadap	proti	terhadap	proti	ADP	ADP;DAT
terhadap	zoper	terhadap	zoper	ADP	ADP;ACC
batang	bar	batang	bar	N;SG	N;NOM;MASC;SG
batang	steblo	batang	steblo	N;SG	N;NOM;NEUT;SG
sendiri	sama	sendiri	sam	ADJ;SG	ADJ;NOM;FEM;SG
sendiri	lastno	sendiri	lasten	ADJ;SG	ADJ;NOM;NEUT;SG
sendiri	lastna	sendiri	lasten	ADJ;SG	ADJ;NOM;FEM;SG
matahari	sonca	matahari	sonce	N;SG	N;GEN;NEUT;SG
matahari	sonce	matahari	sonce	N;SG	N;NOM;NEUT;SG
matahari	soncu	matahari	sonce	N;SG	N;DAT;NEUT;SG
matahari	sonca	matahari	sonce	N;SG	N;GEN;NEUT;SG
presiden	predsednik	presiden	predsednik	N;SG	N;NOM;MASC;SG
presiden	predsednica	presiden	predsednica	N;SG	N;NOM;FEM;SG
masyarakat	skupnost	masyarakat	skupnost	N;SG	N;NOM;FEM;SG
masyarakat	družbo	masyarakat	družba	N;SG	N;ACC;FEM;SG
masyarakat	društvo	masyarakat	društvo	N;SG	N;NOM;NEUT;SG
masyarakat	družba	masyarakat	družba	N;SG	N;NOM;FEM;SG
pernah	nikdar	pernah	nikdar	ADV	ADV
pernah	nikoli	pernah	nikoli	ADV	ADV
pernah	kdaj	pernah	kdaj	ADV	ADV
tiga	tri	tiga	trije	NUM	NUM;NOM;FEM;PL
tiga	trije	tiga	trije	NUM	NUM;NOM;MASC;PL
tiga	tremi	tiga	trije	NUM	NUM;NOM;FEM;PL
jalan	pot	jalan	pot	N;SG;ACT	N;NOM;FEM;SG
jalan	cesta	jalan	cesta	N;SG;ACT	N;NOM;FEM;SG
musik	glasba	musik	glasba	N;SG	N;NOM;FEM;SG
musik	muzika	musik	muzik	N;SG	N;NOM;FEM;SG
musik	glasbo	musik	glasba	N;SG	N;ACC;FEM;SG
musik	muzikal	musik	muzikal	N;SG	N;NOM;MASC;SG
planet	planet	planet	planet	N;SG	N;NOM;MASC;SG
planet	planeta	planet	planet	N;SG	N;NOM;MASC;SG
umum	splošno	umum	splošen	ADJ;SG	ADJ;NOM;NEUT;SG
umum	splošni	umum	splošen	ADJ;SG	ADJ;NOM;MASC;SG
umum	splošna	umum	splošen	ADJ;SG	ADJ;NOM;FEM;SG
kerusakan	okvara	kerusakan	okvara	N;SG	N;NOM;FEM;SG
kerusakan	opustošenje	kerusakan	opustošenje	N;SG	N;NOM;NEUT;SG
kerusakan	škoda	kerusakan	škoda	N;SG	N;NOM;FEM;SG
kerusakan	odškodnina	kerusakan	odškodnina	N;SG	N;NOM;FEM;SG
kecil	majhno	kecil	majhen	ADJ;SG	ADJ;NOM;NEUT;SG
kecil	majhen	kecil	majhen	ADJ;SG	ADJ;NOM;INDF;MASC;SG
kecil	majhna	kecil	majhen	ADJ;SG	ADJ;NOM;FEM;SG
kecil	mali	kecil	mali	ADJ;SG	ADJ;NOM;DEF;MASC;SG
kecil	drobna	kecil	droben	ADJ;SG	ADJ;NOM;FEM;SG
kecil	droben	kecil	droben	ADJ;SG	ADJ;NOM;INDF;MASC;SG
menteri	tajnik	menteri	tajnik	N;SG	N;NOM;MASC;SG
menteri	sekretarka	menteri	sekretarka	N;SG	N;NOM;FEM;SG
menteri	sekretar	menteri	sekretar	N;SG	N;NOM;MASC;SG
menteri	tajnica	menteri	tajnica	N;SG	N;NOM;FEM;SG
menteri	minister	menteri	minister	N;SG	N;NOM;MASC;SG
menteri	ministrica	menteri	ministrica	N;SG	N;NOM;FEM;SG
menteri	minister	menteri	minister	N;SG	N;NOM;MASC;SG
lagi	spet	lagi	spet	ADV	ADV
lagi	znova	lagi	znova	ADV	ADV
lagi	ponovno	lagi	ponovno	ADV	ADV
lagi	bolj	lagi	bolj	ADV	ADV;CMPR
jumlah	vsota	jumlah	vsota	N;SG	N;NOM;FEM;SG
jumlah	seštevek	jumlah	seštevek	N;SG	N;NOM;MASC;SG
jumlah	količina	jumlah	količina	N;SG	N;NOM;FEM;SG
jumlah	znesek	jumlah	znesek	N;SG	N;NOM;MASC;SG
jumlah	količina	jumlah	količina	N;SG	N;NOM;FEM;SG
jumlah	količino	jumlah	količina	N;SG	N;ACC;FEM;SG
kata	beseda	kata	beseda	N;SG	N;NOM;FEM;SG
kata	besedo	kata	beseda	N;SG	N;ACC;FEM;SG
kata	kata	kata	kat	N;SG	N;NOM;FEM;SG
penduduk	prebivalec	penduduk	prebivalec	N;SG	N;NOM;MASC;SG
penduduk	prebivalstvo	penduduk	prebivalstvo	N;SG	N;NOM;NEUT;SG
penduduk	populacija	penduduk	populacija	N;SG	N;NOM;FEM;SG
bawah	dno	bawah	dno	N;SG	N;NOM;NEUT;SG
sebelum	pred	sebelum	pred	ADP	ADP;INS
awal	zgodnje	awal	zgodnji	ADJ;SG	ADJ;NOM;NEUT;SG
awal	zgodnja	awal	zgodnja	ADJ;SG	ADJ;NOM;FEM;SG
awal	zgodnji	awal	zgodnji	ADJ;SG	ADJ;NOM;DEF;MASC;SG
artikel	članek	artikel	članek	N;SG	N;NOM;MASC;SG
artikel	člena	artikel	člen	N;SG	N;GEN;MASC;SG
artikel	člen	artikel	člen	N;SG	N;NOM;MASC;SG
artikel	izdelek	artikel	izdelek	N;SG	N;NOM;MASC;SG
tanduk	rogovi	tanduk	rog	N	N;NOM;MASC;PL
tanduk	rogovje	tanduk	rogovje	N	N;NOM;NEUT;SG
tanduk	rogovi	tanduk	rog	N	N;NOM;MASC;PL
tanduk	rogov	tanduk	rog	N	N;GEN;MASC;PL
tanduk	rogove	tanduk	rog	N	N;ACC;MASC;PL
tanduk	roga	tanduk	rog	N	N;GEN;MASC;SG
tanduk	rog	tanduk	rog	N	N;NOM;MASC;SG
karya	mojstrovina	karya	mojstrovina	N;SG	N;NOM;FEM;SG
karya	mojstrovino	karya	mojstrovina	N;SG	N;ACC;FEM;SG
karya	umetnina	karya	umetnina	N;SG	N;NOM;FEM;SG
tanah	dežela	tanah	dežela	N;SG	N;NOM;FEM;SG
tanah	kopno	tanah	kopno	N;SG	N;NOM;NEUT;SG
tanah	zemljišče	tanah	zemljišče	N;SG	N;NOM;NEUT;SG
tanah	zemljo	tanah	zemlja	N;SG	N;ACC;FEM;SG
tanah	zemlja	tanah	zemlja	N;SG	N;NOM;FEM;SG
tanah	umazanija	tanah	umazanija	N;SG	N;NOM;FEM;SG
jpg	jpg	jpg	jpg	N	N;NOM;MASC;SG
abad	stoletje	abad	stoletje	N;SG	N;NOM;NEUT;SG
perusahaan	korporacija	perusahaan	korporacija	N;SG	N;NOM;FEM;SG
perusahaan	corporation	perusahaan	corporation	N;SG	N;NOM;MASC;SG
perusahaan	korporacijo	perusahaan	korporacija	N;SG	N;ACC;FEM;SG
perusahaan	družbo	perusahaan	družba	N;SG	N;ACC;FEM;SG
perusahaan	četa	perusahaan	ket	N;SG	N;NOM;FEM;SG
perusahaan	podjetje	perusahaan	podjetje	N;SG	N;NOM;NEUT;SG
perusahaan	družba	perusahaan	družba	N;SG	N;NOM;FEM;SG
perusahaan	delodajalec	perusahaan	delodajalec	N;SG	N;NOM;MASC;SG
perusahaan	delodajalca	perusahaan	delodajalec	N;SG	N;ANIM;ACC;MASC;SG
perusahaan	delodajalec	perusahaan	delodajalec	N;SG	N;NOM;MASC;SG
style	stil	style	stil	N	N;NOM;MASC;SG
style	slog	style	slog	N	N;NOM;MASC;SG
januari	januar	januari	januar	N;SG	N;NOM;MASC;SG
januari	januarja	januari	januar	N;SG	N;GEN;MASC;SG
maret	marec	maret	marec	N;SG	N;NOM;MASC;SG
maret	marca	maret	marec	N;SG	N;GEN;MASC;SG
maret	pohod	maret	pohod	N;SG	N;NOM;MASC;SG
paling	najbolj	paling	najbolj	ADV	ADV;RL
musim	sezono	musim	sezona	N;SG	N;ACC;FEM;SG
musim	sezona	musim	sezona	N;SG	N;NOM;FEM;SG
bola	bola	bola	bol	N;SG	N;NOM;MASC;SG
bola	krogla	bola	krogel	N;SG	N;NOM;FEM;SG
bola	žogo	bola	žoga	N;SG	N;ACC;FEM;SG
bola	žoga	bola	žoga	N;SG	N;NOM;FEM;SG
bola	žogica	bola	žogica	N;SG	N;NOM;FEM;SG
pemerintah	vlado	penperintah	vlada	N;SG	N;ACC;FEM;SG
pemerintah	vlada	penperintah	vlada	N;SG	N;NOM;FEM;SG
setiap	vsak	setiap	vsak	DET	DET;NOM;MASC;SG
setiap	vsaka	setiap	vsak	DET	DET;NOM;FEM;SG
setiap	vsako	setiap	vsak	DET	DET;ACC;NEUT;SG
setiap	vsak	setiap	vsak	DET	DET;NOM;MASC;SG
setiap	vsaka	setiap	vsak	DET	DET;NOM;FEM;SG
juni	juni	juni	juni	N;SG	N;NOM;MASC;SG
juni	junij	juni	junij	N;SG	N;NOM;MASC;SG
juni	junija	juni	junij	N;SG	N;GEN;MASC;SG
muda	mlad	muda	mlad	ADJ;SG	ADJ;NOM;INDF;MASC;SG
muda	mlada	muda	mlad	ADJ;SG	ADJ;NOM;FEM;SG
muda	mlado	muda	mlad	ADJ;SG	ADJ;NOM;NEUT;SG
muda	mladostna	muda	mladosten	ADJ;SG	ADJ;NOM;FEM;SG
desember	december	desember	december	N;SG	N;NOM;MASC;SG
desember	decembra	desember	december	N;SG	N;GEN;MASC;SG
bidang	field	bidang	field	N;SG	N;NOM;MASC;SG
bidang	polje	bidang	polje	N;SG	N;NOM;NEUT;SG
kepala	glavo	kepala	glava	N;SG	N;ACC;FEM;SG
kepala	glava	kepala	glava	N;SG	N;NOM;FEM;SG
kepala	poglavar	kepala	poglavar	N;SG	N;NOM;MASC;SG
kepala	načelnik	kepala	načelnik	N;SG	N;NOM;MASC;SG
pusat	središče	pusat	središče	N;SG	N;NOM;NEUT;SG
pusat	center	pusat	center	N;SG	N;NOM;MASC;SG
pusat	središče	pusat	središče	N;SG	N;NOM;NEUT;SG
pusat	center	pusat	center	N;SG	N;NOM;MASC;SG
agustus	avgusta	agustus	avgust	N;SG	N;GEN;MASC;SG
agustus	august	agustus	august	N;SG	N;NOM;MASC;SG
agustus	avgust	agustus	avgust	N;SG	N;NOM;MASC;SG
agustus	avg	agustus	avg	N;SG	N;NOM;MASC;SG
internasional	mednarodni	internasional	mednaroden	ADJ;SG	ADJ;NOM;MASC;SG
