και	그리고	και	그리고	CONJ	CONJ
τέλος	드디어	τέλος	드디어	ADV	ADV
σειρά	순서	σειρά	순서	N;ACC;FEM;SG	N
σειρά	주문	σειρά	주문	N;ACC;FEM;SG	N
στοιχεία	원소	στοιχείο	원소	N;NOM;NEUT;PL	N
στοιχεία	자료	στοιχείο	자료	N;NOM;NEUT;PL	N
στοιχεία	데이터	στοιχείο	데이터	N;NOM;NEUT;PL	N
συνέχεια	연속성	συνέχεια	연속성	N;ACC;FEM;SG	N
συνέχεια	연속	συνέχεια	연속	N;ACC;FEM;SG	N
κάτω	아래에	κάτω	아래+에	ADV	ADV
πολλές	많은	πολύς	많+ㄴ	ADJ;NOM;FEM;PL	ADJ
σύστημα	체계	σύστημα	체계	N;NOM;NEUT;SG	N
σύστημα	시스템	σύστημα	시스템	N;NOM;NEUT;SG	N
ακόμα	아직도	ακόμα	아직도	ADV	ADV
ακόμα	여전히	ακόμα	여전+히	ADV	ADV
ίδια	같은	ίδιος	같+ㄴ	ADJ;NOM;FEM;SG	ADJ
χώρα	나라	χώρα	나라	N;NOM;FEM;SG	N
χώρα	국가	χώρα	국가	N;NOM;FEM;SG	N
αποτέλεσμα	결과	αποτέλεσμα	결과	N;ACC;NEUT;SG	N
αποτέλεσμα	결과	αποτέλεσμα	결과	N;ACC;NEUT;SG	N
αποτέλεσμα	영향	αποτέλεσμα	영향	N;ACC;NEUT;SG	N
αποτέλεσμα	효과	αποτέλεσμα	효과	N;ACC;NEUT;SG	N
αγώνες	게임	αγώνας	게임	N;NOM;MASC;PL	N
ταινίες	필름	ταινία	필름	N;NOM;FEM;PL	N
ταινίες	영화	ταινία	영화	N;NOM;FEM;PL	N
ταινίες	영화	ταινία	영화	N;NOM;FEM;PL	N
μαρτίου	행진	μάρτιος	행진	N;GEN;MASC;SG	N
πολλά	많은	πολύς	많+ㄴ	ADJ;NOM;NEUT;PL	ADJ
έργα	작동	έργο	작동	N;NOM;NEUT;PL	N
έργα	작품	έργο	작품	N;NOM;NEUT;PL	N
χρήση	사용	χρήση	사용	N;ACC;FEM;SG	N
χρήση	이용	χρήση	이용	N;ACC;FEM;SG	N
πρόεδρος	회장	πρόεδρος	회장	N;ACC;MASC;SG	N
πρόεδρος	대통령	πρόεδρος	대통령	N;ACC;MASC;SG	N
πολιτική	정책	πολιτική	정책	N;NOM;FEM;SG	N
πολιτική	방침	πολιτική	방침	N;NOM;FEM;SG	N
πολιτική	정치	πολιτική	정치	N;NOM;FEM;SG	N
πολιτική	정치학	πολιτική	정치학	N;NOM;FEM;SG	N
ακόμη	아직도	ακόμα	아직도	ADV	ADV
ακόμη	여전히	ακόμα	여전+히	ADV	ADV
ίδιο	같은	ίδιος	같+ㄴ	ADJ;NOM;NEUT;SG	ADJ
μας	우리의	μου	우리+의	PRO;GEN;MASC;PL;1	PRO
εκλογές	선거	εκλογή	선거	N;NOM;FEM;PL	N
εκλογές	선거	εκλογή	선거	N;NOM;FEM;PL	N
μέλη	구성원	μέλος	구성원	N;NOM;NEUT;PL	N
μέλη	멤버들	μέλος	멤버+들	N;NOM;NEUT;PL	N
τελικά	마침내	τελικά	마침내	ADV	ADV
τελικά	드디어	τελικά	드디어	ADV	ADV
μέλος	회원	μέλος	회원	N;NOM;NEUT;SG	N
εποχή	계절	εποχή	계절	N;ACC;FEM;SG	N
εποχή	시대	εποχή	시대	N;ACC;FEM;SG	N
χωριό	마을	χωριό	마을	N;NOM;NEUT;SG	N
περίοδος	기간	περίοδος	기간	N;NOM;FEM;SG	N
περίοδος	시대	περίοδος	시대	N;NOM;FEM;SG	N
ζωή	생명	ζωή	생명	N;ACC;FEM;SG	N
ζωή	생활	ζωή	생활	N;ACC;FEM;SG	N
ζωή	인생	ζωή	인생	N;ACC;FEM;SG	N
έδρα	본부	έδρα	본부	N;NOM;FEM;SG	N
έδρα	본사	έδρα	본사	N;NOM;FEM;SG	N
έδρα	좌석	έδρα	좌석	N;NOM;FEM;SG	N
περιλαμβάνει	포함됨	περιλαμβάνω	포함+되+ㄴ	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
βάση	기지	βάση	기지	N;ACC;FEM;SG	N
βάση	기초	βάση	기초	N;ACC;FEM;SG	N
βάση	근거	βάση	근거	N;ACC;FEM;SG	N
βάση	기저	βάση	기저	N;ACC;FEM;SG	N
κέντρο	중앙	κέντρο	중앙	N;NOM;NEUT;SG	N
κέντρο	중심	κέντρο	중심	N;NOM;NEUT;SG	N
κέντρο	중앙	κέντρο	중앙	N;NOM;NEUT;SG	N
γεννήσεις	출산	γεννήση	출산	N;NOM;FEM;PL	N
γεννήσεις	출생	γεννήση	출생	N;NOM;FEM;PL	N
μορφή	형태	μορφή	형태	N;NOM;FEM;SG	N
μορφή	양식	μορφή	양식	N;NOM;FEM;SG	N
μορφή	포맷	μορφή	포맷	N;NOM;FEM;SG	N
χρόνο	시간	χρόνος	시간	N;ACC;MASC;SG	N
κόμμα	파티	κόμμα	파티	N;NOM;NEUT;SG	N
κόμμα	쉼표	κόμμα	쉼표	N;NOM;NEUT;SG	N
ρόλο	역할	ρόλος	역할	N;ACC;MASC;SG	N
άλμπουμ	앨범	άλμπουμ	앨범	N;MASC;SG	N
άλμπουμ	음반	άλμπουμ	음반	N;MASC;SG	N
άλμπουμ	앨범	άλμπουμ	앨범	N;MASC;SG	N
άλμπουμ	음반	άλμπουμ	음반	N;MASC;SG	N
έκδοση	버전	έκδοση	버전	N;ACC;FEM;SG	N
αρχές	당국	αρχή	당국	N;NOM;FEM;PL	N
αρχές	원칙	αρχή	원칙	N;NOM;FEM;PL	N
αρχές	원리	αρχή	원리	N;NOM;FEM;PL	N
ονομασία	이름	ονομασία	이름	N;NOM;FEM;SG	N
ονομασία	명명법	ονομασία	명명법	N;NOM;FEM;SG	N
κοινότητα	공동체	κοινότητα	공동체	N;ACC;FEM;SG	N
τελευταία	최근에	τελευταία	최근+에	ADV	ADV
ξεκίνησε	시작되었습니다	ξεκινώ	시작+되+었+습니다	V;PFV;IND;SG;3;PST;FIN;ACT	V
ξεκίνησε	시작했습니다	ξεκινώ	시작+하+었+습니다	V;PFV;IND;SG;3;PST;FIN;ACT	V
ξεκίνησε	시작됨	ξεκινώ	시작+되+ㄴ	V;PFV;IND;SG;3;PST;FIN;ACT	V
κυβέρνηση	정부	κυβέρνηση	정부	N;NOM;FEM;SG	N
δεύτερη	둘째	δεύτερος	둘째	NUM;NOM;FEM;SG	NUM
γλώσσα	언어	γλώσσα	언어	N;NOM;FEM;SG	N
γιος	아들	γιος	아들	N;NOM;MASC;SG	N
μάχη	전투	μάχη	전투	N;ACC;FEM;SG	N
μάχη	전투	μάχη	전투	N;ACC;FEM;SG	N
μάχη	컴뱃	μάχη	컴뱃	N;ACC;FEM;SG	N
πανεπιστήμιο	대학교	πανεπιστήμιο	대학교	N;NOM;NEUT;SG	N
πανεπιστήμιο	대학	πανεπιστήμιο	대학	N;NOM;NEUT;SG	N
πόλεμο	전쟁	πόλεμος	전쟁	N;ACC;MASC;SG	N
συχνά	자주	συχνά	자주	ADV	ADV
συχνά	자주	συχνά	자주	ADV	ADV
περιοχές	지역	περιοχή	지역	N;NOM;FEM;PL	N
περιοχές	영역	περιοχή	영역	N;NOM;FEM;PL	N
παράδειγμα	예제	παράδειγμα	예제	N;NOM;NEUT;SG	N
παράδειγμα	예시	παράδειγμα	예시	N;NOM;NEUT;SG	N
άρθρο	기사	άρθρο	기사	N;NOM;NEUT;SG	N
εικόνα	사진	εικόνα	사진	N;NOM;FEM;SG	N
εικόνα	그림	εικόνα	그림	N;NOM;FEM;SG	N
εικόνα	그림	εικόνα	그림	N;NOM;FEM;SG	N
έλαβε	받았습니다	λαμβάνω	받+았+습니다	V;PFV;IND;SG;3;PST;FIN;ACT	V
έλαβε	받은	λαμβάνω	받+ㄴ	V;PFV;IND;SG;3;PST;FIN;ACT	V
κατοίκους	주민들	κάτοικος	주민+들	N;ACC;MASC;PL	N
πηγές	출처	πηγή	출처	N;NOM;FEM;PL	N
πόλεις	도시	πόλη	도시	N;NOM;FEM;PL	N
ιδιαίτερα	특히	ιδιαίτερα	특히	ADV	ADV
ιδιαίτερα	특히	ιδιαίτερα	특히	ADV	ADV
αγώνα	인종	αγώνας	인종	N;ACC;MASC;SG	N
αγώνα	경쟁	αγώνας	경쟁	N;ACC;MASC;SG	N
γεγονός	이벤트	γεγονός	이벤트	N;NOM;NEUT;SG	N
γεγονός	사실	γεγονός	사실	N;NOM;NEUT;SG	N
θέμα	주제	θέμα	주제	N;NOM;NEUT;SG	N
θέμα	제목	θέμα	제목	N;NOM;NEUT;SG	N
ηλικία	연령	ηλικία	연령	N;NOM;FEM;SG	N
ηλικία	나이	ηλικία	나이	N;NOM;FEM;SG	N
χρησιμοποιείται	사용함	χρησιμοποιώ	사용+하+ㅁ	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
χρησιμοποιείται	사용됨	χρησιμοποιώ	사용+되+ㄴ	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
πρώτα	우선	πρώτα	우선	ADV	ADV
πρώτα	먼저	πρώτα	먼저	ADV	ADV
εδώ	여기에	εδώ	여기+에	ADV	ADV
σχέση	연애	σχέση	연애	N;ACC;FEM;SG	N
σχέση	관계	σχέση	관계	N;ACC;FEM;SG	N
περίπτωση	케이스	περίπτωση	케이스	N;ACC;FEM;SG	N
περίπτωση	사례	περίπτωση	사례	N;ACC;FEM;SG	N
ήδη	이미	ήδη	이미	ADV	ADV
ήδη	벌써	ήδη	벌써	ADV	ADV
σχεδόν	거의	σχεδόν	거의	ADV	ADV
ένωση	동맹	ένωση	동맹	N;NOM;FEM;SG	N
ένωση	연맹	ένωση	연맹	N;NOM;FEM;SG	N
ένωση	연합	ένωση	연합	N;NOM;FEM;SG	N
ένωση	협회	ένωση	협회	N;NOM;FEM;SG	N
εκκλησία	교회	εκκλησία	교회	N;NOM;FEM;SG	N
εκδόσεις	출판물	έκδοση	출판물	N;NOM;FEM;PL	N
μουσείο	박물관	μουσείο	박물관	N;NOM;NEUT;SG	N
συμμετοχή	개입	συμμετοχή	개입	N;NOM;FEM;SG	N
συμμετοχή	참가	συμμετοχή	참가	N;NOM;FEM;SG	N
συμμετοχή	참여	συμμετοχή	참여	N;NOM;FEM;SG	N
πέθανε	죽는다	πεθαίνω	죽+는다	V;PFV;IND;SG;3;PST;FIN;ACT	V
κόσμο	세상	κόσμος	세상	N;ACC;MASC;SG	N
κόσμο	세계	κόσμος	세계	N;ACC;MASC;SG	N
άτομα	국민	άτομο	국민	N;NOM;NEUT;PL	N
άτομα	사람	άτομο	사람	N;NOM;NEUT;PL	N
άτομα	사람들	άτομο	사람+들	N;NOM;NEUT;PL	N
δεύτερο	둘째	δεύτερος	둘째	NUM;NOM;NEUT;SG	NUM
είδος	종류	είδος	종류	N;NOM;NEUT;SG	N
είδος	유형	είδος	유형	N;NOM;NEUT;SG	N
είδος	종족	είδος	종족	N;NOM;NEUT;SG	N
αρκετά	충분히	αρκετά	충분+히	ADV	ADV
εκείνη	그녀는	εκείνος	그녀+는	PRO;ACC;FEM;SG;3	PRO
χώρο	공간	χώρος	공간	N;ACC;MASC;SG	N
χώρο	우주	χώρος	우주	N;ACC;MASC;SG	N
σχολή	학교	σχολή	학교	N;NOM;FEM;SG	N
σχολή	학교는	σχολή	학교+는	N;NOM;FEM;SG	N
χαρακτηριστικά	특성	χαρακτηριστικός	특성	N;NOM;NEUT;PL	N
χαρακτηριστικά	특징	χαρακτηριστικός	특징	N;NOM;NEUT;PL	N
χαρακτηριστικά	특징	χαρακτηριστικός	특징	N;NOM;NEUT;PL	N
χαρακτηριστικά	기능	χαρακτηριστικός	기능	N;NOM;NEUT;PL	N
χαρακτηριστικά	속성	χαρακτηριστικός	속성	N;NOM;NEUT;PL	N
όρος	용어	όρος	용어	N;NOM;MASC;SG	N
όρος	조건	όρος	조건	N;NOM;MASC;SG	N
παιδιά	소년	παιδί	소년	N;NOM;NEUT;PL	N
παιδιά	소년들	παιδί	소년+들	N;NOM;NEUT;PL	N
παιδιά	보이즈	παιδί	보이즈	N;NOM;NEUT;PL	N
παιδιά	애들	παιδί	애+들	N;NOM;NEUT;PL	N
παιδιά	아이들	παιδί	아이+들	N;NOM;NEUT;PL	N
παιδιά	어린이	παιδί	어린이	N;NOM;NEUT;PL	N
παιδιά	어린이들	παιδί	어린이+들	N;NOM;NEUT;PL	N
παιδιά	자녀	παιδί	자녀	N;NOM;NEUT;PL	N
παιδιά	어린이	παιδί	어린이	N;NOM;NEUT;PL	N
παιδιά	아이들	παιδί	아이+들	N;NOM;NEUT;PL	N
άρχισε	시작되었습니다	αρχίζω	시작+되+었+습니다	V;PFV;IND;SG;3;PST;FIN;ACT	V
άρχισε	시작했습니다	αρχίζω	시작+하+었+습니다	V;PFV;IND;SG;3;PST;FIN;ACT	V
άρχισε	시작됨	αρχίζω	시작+되+ㄴ	V;PFV;IND;SG;3;PST;FIN;ACT	V
παραγωγή	생산	παραγωγή	생산	N;NOM;FEM;SG	N
παραγωγή	제작	παραγωγή	제작	N;NOM;FEM;SG	N
ηθοποιός	배우	ηθοποιός	배우	N;NOM;MASC;SG	N
ηθοποιός	여배우	ηθοποιός	여배우	N;NOM;MASC;SG	N
ηθοποιός	배우	ηθοποιός	배우	N;NOM;MASC;SG	N
δυνάμεις	권력	δύναμη	권력	N;NOM;FEM;PL	N
διάστημα	구간	διάστημα	구간	N;NOM;NEUT;SG	N
διάστημα	간격	διάστημα	간격	N;NOM;NEUT;SG	N
διάστημα	공간	διάστημα	공간	N;NOM;NEUT;SG	N
διάστημα	우주	διάστημα	우주	N;NOM;NEUT;SG	N
μέτρα	조치	μέτρο	조치	N;NOM;NEUT;PL	N
μέτρα	측정	μέτρο	측정	N;NOM;NEUT;PL	N
μέτρα	대책	μέτρο	대책	N;NOM;NEUT;PL	N
πέντε	다섯	πέντε	다섯	NUM;NOM;MASC;PL	NUM
υπουργός	장관	υπουργός	장관	N;NOM;MASC;SG	N
σεζόν	계절	σεζόν	계절	N;ACC;FEM;SG	N
πρότυπο	모델	πρότυπο	모델	N;NOM;NEUT;SG	N
πρότυπο	모형	πρότυπο	모형	N;NOM;NEUT;SG	N
πρότυπο	템플릿	πρότυπο	템플릿	N;NOM;NEUT;SG	N
αριθμός	숫자	αριθμός	숫자	N;NOM;MASC;SG	N
αριθμός	번호	αριθμός	번호	N;NOM;MASC;SG	N
θάνατο	죽음	θάνατος	죽음	N;ACC;MASC;SG	N
θάνατο	사망	θάνατος	사망	N;ACC;MASC;SG	N
εταιρεία	회사	εταιρεία	회사	N;NOM;FEM;SG	N
εταιρεία	기업	εταιρεία	기업	N;NOM;FEM;SG	N
σώμα	시체	σώμα	시체	N;NOM;NEUT;SG	N
σώμα	몸매	σώμα	몸매	N;NOM;NEUT;SG	N
σώμα	몸매가	σώμα	몸매+가	N;NOM;NEUT;SG	N
σώμα	군단	σώμα	군단	N;NOM;NEUT;SG	N
πρωτεύουσα	자본	πρωτεύουσα	자본	N;NOM;FEM;SG	N
πρωτεύουσα	자본주의	πρωτεύουσα	자본주의	N;NOM;FEM;SG	N
σύνολο	총액	σύνολο	총액	N;NOM;NEUT;SG	N
σύνολο	전체	σύνολο	전체	N;NOM;NEUT;SG	N
κατάσταση	상태	κατάσταση	상태	N;ACC;FEM;SG	N
κατάσταση	상황	κατάσταση	상황	N;ACC;FEM;SG	N
κατάσταση	상황이	κατάσταση	상황+이	N;ACC;FEM;SG	N
κατάσταση	조건	κατάσταση	조건	N;ACC;FEM;SG	N
επιτυχία	성공적	επιτυχία	성공+적	N;NOM;FEM;SG	N
επιτυχία	성공	επιτυχία	성공	N;NOM;FEM;SG	N
πίσω	다시	πίσω	다시	ADV	ADV
πίσω	뒤로	πίσω	뒤+로	ADV	ADV
δημιουργία	생성	δημιουργία	생성	N;ACC;FEM;SG	N
δημιουργία	생성	δημιουργία	생성	N;ACC;FEM;SG	N
δημιουργία	창조	δημιουργία	창조	N;ACC;FEM;SG	N
αρχή	시작	αρχή	시작	N;NOM;FEM;SG	N
αρχή	원칙	αρχή	원칙	N;NOM;FEM;SG	N
αρχή	원리	αρχή	원리	N;NOM;FEM;SG	N
αρχή	권위	αρχή	권위	N;NOM;FEM;SG	N
άδεια	라이선스	άδεια	라이선스	N;NOM;FEM;SG	N
άδεια	면허	άδεια	면허	N;NOM;FEM;SG	N
άδεια	허가	άδεια	허+가	N;NOM;FEM;SG	N
άδεια	라이선스	άδεια	라이선스	N;NOM;FEM;SG	N
άδεια	면허	άδεια	면허	N;NOM;FEM;SG	N
άδεια	허가	άδεια	허+가	N;NOM;FEM;SG	N
ανάπτυξη	개발	ανάπτυξη	개발	N;ACC;FEM;SG	N
ανάπτυξη	발달	ανάπτυξη	발달	N;ACC;FEM;SG	N
ανάπτυξη	성장	ανάπτυξη	성장	N;ACC;FEM;SG	N
ανάπτυξη	증가	ανάπτυξη	증가	N;ACC;FEM;SG	N
αυτόν	그를	αυτός	그+를	PRO;ACC;MASC;SG;3	PRO
συγγραφέας	작가	συγγραφέα	작가	N;NOM;MASC;SG	N
συγγραφέας	작가	συγγραφέα	작가	N;NOM;MASC;SG	N
συγγραφέας	저자	συγγραφέα	저자	N;NOM;MASC;SG	N
συγγραφέας	제작자	συγγραφέα	제작자	N;NOM;MASC;SG	N
συγγραφέας	작성자	συγγραφέα	작성자	N;NOM;MASC;SG	N
θάνατοι	죽음	θάνατος	죽음	N;NOM;MASC;PL	N
τραγούδι	노래	τραγούδι	노래	N;NOM;NEUT;SG	N
τραγούδι	노래	τραγούδι	노래	N;NOM;NEUT;SG	N
πάλι	다시	πάλι	다시	ADV	ADV
πάλι	또다시	πάλι	또다시	ADV	ADV
βασίλειο	왕국	βασίλειο	왕국	N;NOM;NEUT;SG	N
σκοπό	목적	σκοπός	목적	N;ACC;MASC;SG	N
συνολικά	전반적으로	συνολικά	전반+적+으로	ADV	ADV
συνολικά	전체적으로	συνολικά	전체+적+으로	ADV	ADV
πληροφορίες	정보	πληροφορία	정보	N;NOM;FEM;PL	N
πληροφορίες	정보	πληροφορία	정보	N;NOM;FEM;PL	N
καριέρα	경력	καριέρα	경력	N;ACC;FEM;SG	N
καριέρα	직업	καριέρα	직업	N;ACC;FEM;SG	N
τέλη	요금	τέλος	요금	N;ACC;NEUT;PL	N
τέλη	수수료	τέλος	수수료	N;ACC;NEUT;PL	N
τέλη	수수료	τέλος	수수료	N;ACC;NEUT;PL	N
πρόγραμμα	프로그램	πρόγραμμα	프로그램	N;NOM;NEUT;SG	N
πρόγραμμα	일정	πρόγραμμα	일정	N;NOM;NEUT;SG	N
πρόγραμμα	예약	πρόγραμμα	예약	N;NOM;NEUT;SG	N
κάτοικοι	주민들	κάτοικος	주민+들	N;NOM;MASC;PL	N
άρθρα	기사	άρθρο	기사	N;NOM;NEUT;PL	N
τύπου	종류	τύπος	종류	N;GEN;MASC;SG	N
τύπου	유형	τύπος	유형	N;GEN;MASC;SG	N
δημοκρατία	공화국	δημοκρατία	공화국	N;NOM;FEM;SG	N
δημοκρατία	민주주의	δημοκρατία	민주주의	N;NOM;FEM;SG	N
δημοκρατία	민주화	δημοκρατία	민주화	N;NOM;FEM;SG	N
πόλεμος	전쟁	πόλεμος	전쟁	N;NOM;MASC;SG	N
εφημερίδα	신문	εφημερίδα	신문	N;NOM;FEM;SG	N
τόπος	장소	τόπος	장소	N;NOM;MASC;SG	N
συγκεκριμένα	구체적으로	συγκεκριμένα	구체+적+으로	ADV	ADV
είδη	종족	είδος	종족	N;NOM;NEUT;PL	N
πηγή	출처	πηγή	출처	N;NOM;FEM;SG	N
πατέρας	아버지	πατέρα	아버지	N;NOM;MASC;SG	N
κατηγορίες	청구	κατηγορία	청구	N;NOM;FEM;PL	N
κατηγορίες	카테고리	κατηγορία	카테고리	N;NOM;FEM;PL	N
κατηγορίες	카테고리가	κατηγορία	카테고리+가	N;NOM;FEM;PL	N
κατηγορίες	범주	κατηγορία	범주	N;NOM;FEM;PL	N
κατηγορίες	분류	κατηγορία	분류	N;NOM;FEM;PL	N
ποδόσφαιρο	축구	ποδόσφαιρος	축구	N;NOM;NEUT;SG	N
ποδόσφαιρο	축구	ποδόσφαιρος	축구	N;NOM;NEUT;SG	N
ποδόσφαιρο	미식축구	ποδόσφαιρος	미식+축구	N;NOM;NEUT;SG	N
ποδόσφαιρο	풋볼	ποδόσφαιρος	풋볼	N;NOM;NEUT;SG	N
θέσεις	직위	θέση	직위	N;NOM;FEM;PL	N
θέσεις	입장	θέση	입장	N;NOM;FEM;PL	N
θέσεις	포지션	θέση	포지션	N;NOM;FEM;PL	N
θέσεις	게시물	θέση	게시물	N;NOM;FEM;PL	N
θέσεις	좌석	θέση	좌석	N;NOM;FEM;PL	N
έκταση	범위	έκταση	범위	N;ACC;FEM;SG	N
έκταση	구역	έκταση	구역	N;ACC;FEM;SG	N
έκταση	영역	έκταση	영역	N;ACC;FEM;SG	N
έκταση	지역	έκταση	지역	N;ACC;FEM;SG	N
γενικά	전반적으로	γενικά	전반+적+으로	ADV	ADV
γενικά	전체적으로	γενικά	전체+적+으로	ADV	ADV
γενικά	일반적으로	γενικά	일반+적+으로	ADV	ADV
νίκη	승리	νίκη	승리	N;ACC;FEM;SG	N
νίκη	승리	νίκη	승리	N;ACC;FEM;SG	N
νίκη	우승	νίκη	우승	N;ACC;FEM;SG	N
νίκη	승리	νίκη	승리	N;ACC;FEM;SG	N
πατέρα	아버지	πατέρα	아버지	N;ACC;MASC;SG	N
πάντα	항상	πάντα	항상	ADV	ADV
πάντα	언제나	πάντα	언제나	ADV	ADV
συγκρότημα	밴드	συγκρότημα	밴드	N;NOM;NEUT;SG	N
συγκρότημα	복합체	συγκρότημα	복합체	N;NOM;NEUT;SG	N
παραγωγής	생산	παραγωγή	생산	N;GEN;FEM;SG	N
παραγωγής	제작	παραγωγή	제작	N;GEN;FEM;SG	N
ίσως	아마도	ίσως	아마도	ADV	ADV
ίσως	아마	ίσως	아마	ADV	ADV
ίσως	아마도	ίσως	아마도	ADV	ADV
ίσως	아마	ίσως	아마	ADV	ADV
στιγμή	순간	στιγμή	순간	N;ACC;FEM;SG	N
θεωρία	이론	θεωρία	이론	N;NOM;FEM;SG	N
ύψος	키는	ύψος	키+는	N;NOM;NEUT;SG	N
πολλοί	많은	πολύς	많+ㄴ	ADJ;NOM;MASC;PL	ADJ
προπονητής	코치	προπονητής	코치	N;NOM;MASC;SG	N
θέατρο	연극	θέατρο	연극	N;NOM;NEUT;SG	N
θέατρο	극장	θέατρο	극장	N;NOM;NEUT;SG	N
θέατρο	영화관	θέατρο	영화관	N;NOM;NEUT;SG	N
θέατρο	연극	θέατρο	연극	N;NOM;NEUT;SG	N
θέατρο	극장	θέατρο	극장	N;NOM;NEUT;SG	N
ημέρα	하루	ημέρα	하루	N;NOM;FEM;SG	N
θέματα	주제	θέμα	주제	N;NOM;NEUT;PL	N
θέματα	주제	θέμα	주제	N;NOM;NEUT;PL	N
θέματα	쟁점	θέμα	쟁점	N;NOM;NEUT;PL	N
θέματα	문제	θέμα	문제	N;NOM;NEUT;PL	N
στάδιο	경기장	στάδιο	경기장	N;NOM;NEUT;SG	N
στάδιο	스타디움	στάδιο	스타디움	N;NOM;NEUT;SG	N
στάδιο	무대	στάδιο	무대	N;NOM;NEUT;SG	N
χωριά	마을	χωριό	마을	N;NOM;NEUT;PL	N
επίθεση	공격	επίθεση	공격	N;ACC;FEM;SG	N
επίθεση	폭행	επίθεση	폭행	N;ACC;FEM;SG	N
