august	август	august	август	N;MASC;SG	N;INDF;MASC;SG
proibido	забранена	proibir	забраня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
marine	пехотинец	marine	пехотинец	N;MASC;SG	N;INDF;MASC;SG
culinária	кухня	culinário	кухня	N;FEM;SG	N;INDF;FEM;SG
culinária	готвенето	culinário	готвене	N;FEM;SG	N;DEF;NEUT;SG
culinária	готвене	culinário	готвене	N;FEM;SG	N;INDF;NEUT;SG
arizona	аризона	arizonar	аризон	N;MASC;SG	N;DEF;FEM;SG
charlotte	шарлот	charlotte	шарлот	N;MASC;SG	N;INDF;FEM;SG
charlotte	шарлота	charlotte	шарлота	N;MASC;SG	N;INDF;FEM;SG
charlotte	шарлът	charlotte	шарл	N;MASC;SG	N;DEF;MASC;SG
mito	мит	mito	мит	N;MASC;SG	N;INDF;MASC;SG
químicos	химици	químico	химица	N;MASC;PL	N;INDF;FEM;PL
químicos	химикали	químico	химикал	N;MASC;PL	N;INDF;MASC;PL
avó	баба	avó	баба	N;FEM;SG	N;INDF;FEM;SG
avó	баба	avó	баба	N;FEM;SG	N;INDF;FEM;SG
avó	баба	avó	баба	N;FEM;SG	N;INDF;FEM;SG
ênfase	акцент	ênfase	акцент	N;FEM;SG	N;INDF;MASC;SG
consulta	питане	consulta	питане	N;FEM;SG	N;INDF;NEUT;SG
consulta	справка	consulta	справка	N;FEM;SG	N;INDF;FEM;SG
consulta	запитване	consulta	запитване	N;FEM;SG	N;INDF;NEUT;SG
consulta	консултация	consulta	консултация	N;FEM;SG	N;INDF;FEM;SG
consulta	консултиране	consulta	консултиране	N;FEM;SG	N;INDF;NEUT;SG
análises	анализи	análise	анализ	N;FEM;PL	N;INDF;MASC;PL
análises	анализите	análise	анализ	N;FEM;PL	N;DEF;MASC;PL
análises	анализи	análise	анализ	N;FEM;PL	N;INDF;MASC;PL
aula	клас	aula	клас	N;FEM;SG	N;INDF;MASC;SG
aula	класа	aula	клас	N;FEM;SG	N;DEF;MASC;SG
filmado	сниман	filmar	снимам	V;MASC;SG;V.PTCP	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
filmado	заснет	filmar	заснет	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
filmado	снимано	filmar	снима	V;MASC;SG;V.PTCP	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
filmado	заснето	filmar	засне	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
matando	убивам	matar	убивам	V;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
giro	сладур	giro	сладур	N;MASC;SG	N;INDF;MASC;SG
giro	джиро	giro	джиро	N;MASC;SG	N;INDF;NEUT;SG
padres	свещениците	padre	свещеник	N;MASC;PL	N;DEF;MASC;PL
padres	свещеници	padre	свещеник	N;MASC;PL	N;INDF;MASC;PL
ferrovia	железница	ferrovia	железница	N;FEM;SG	N;INDF;FEM;SG
ferrovia	железница	ferrovia	железница	N;FEM;SG	N;INDF;FEM;SG
segmentos	сегменти	segmento	сегмент	N;MASC;PL	N;INDF;MASC;PL
aplica	важи	aplicar	важа	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
elias	илайджа	elia	илайджа	N;MASC;SG	N;DEF;MASC;SG
traços	черти	traço	черта	N;MASC;PL	N;INDF;FEM;PL
traços	следи	traço	следя	N;MASC;PL	N;INDF;FEM;PL
soberano	суверен	soberano	суверен	N;MASC;SG	N;INDF;MASC;SG
colocadas	поставени	colocar	поставя-(се)	V;FEM;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
judeu	евреин	judeu	евреин	N;MASC;SG	N;INDF;MASC;SG
judeu	еврейка	judeu	еврейка	N;MASC;SG	N;INDF;FEM;SG
judeu	евреин	judeu	евреин	N;MASC;SG	N;INDF;MASC;SG
bank	банк	bank	банк	N;MASC;SG	N;INDF;FEM;SG
bank	банката	bank	банка	N;MASC;SG	N;DEF;FEM;SG
bank	банка	bank	банка	N;MASC;SG	N;INDF;FEM;SG
divulgar	оповестява	divulgar	оповестявам	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
vegetais	зеленчуци	vegetal	зеленчук	N;MASC;PL	N;INDF;MASC;PL
vegetais	зеленчуци	vegetal	зеленчук	N;MASC;PL	N;INDF;MASC;PL
alimento	храна	alimento	храна	N;MASC;SG	N;INDF;FEM;SG
elétrons	електроните	elétron	електрон	N;MASC;PL	N;DEF;MASC;PL
elétrons	електрони	elétron	електрон	N;MASC;PL	N;INDF;MASC;PL
observatório	обсерватория	observatório	обсерватор	N;MASC;SG	N;INDF;FEM;SG
observatório	обсерваторията	observatório	обсерватория	N;MASC;SG	N;DEF;FEM;SG
esboços	скици	esboço	скица	N;MASC;PL	N;INDF;FEM;PL
regresso	завръщане	regresso	завръщане	N;MASC;SG	N;INDF;NEUT;SG
regresso	връщане	regresso	връщане	N;MASC;SG	N;INDF;NEUT;SG
regresso	завръщане	regresso	завръщане	N;MASC;SG	N;INDF;NEUT;SG
automóvel	автомобил	automóvel	автомобил	N;MASC;SG	N;INDF;MASC;SG
automóvel	кола	automóvel	кола	N;MASC;SG	N;INDF;FEM;SG
automóvel	колата	automóvel	кола	N;MASC;SG	N;DEF;FEM;SG
automóvel	автомобил	automóvel	автомобил	N;MASC;SG	N;INDF;MASC;SG
cana	рид	cana	рид	N;FEM;SG	N;INDF;MASC;SG
cana	бастун	cana	бастун	N;FEM;SG	N;INDF;MASC;SG
cana	тръстика	cana	тръстика	N;FEM;SG	N;INDF;FEM;SG
cana	прът	cana	прът	N;FEM;SG	N;INDF;MASC;SG
cana	род	cana	род	N;FEM;SG	N;INDF;MASC;SG
cana	кана	cana	кана	N;FEM;SG	N;INDF;FEM;SG
emma	емма	emma	емма	N;FEM;SG	N;INDF;FEM;SG
asiático	азиатски	asiático	азиатски	ADJ;MASC;SG	ADJ;INDF;MASC;SG
asiático	азиатска	asiático	азиатски	ADJ;MASC;SG	ADJ;INDF;FEM;SG
cinquenta	петдесет	cinquenta	петдесет	NUM	NUM;INDF;PL
couto	коуто	couto	коуто	N;MASC;SG	N;DEF;NEUT;SG
profundamente	дълбоко	profundamente	дълбоко	ADV	ADV
estética	естетика	estética	естетика	N;FEM;SG	N;INDF;FEM;SG
gradualmente	постепенно	gradualmente	постепенно	ADV	ADV
dores	болки	dor	болка	N;FEM;PL	N;INDF;FEM;PL
dores	болки	dor	болка	N;FEM;PL	N;INDF;FEM;PL
centre	център	centre	център	N;MASC;SG	N;INDF;MASC;SG
augusta	аугуста	augusta	аугуст	N;FEM;SG	N;INDF;FEM;SG
massas	спагети	massa	спагет	N;FEM;PL	N;INDF;MASC;PL
massas	макарони	massa	макарон	N;FEM;PL	N;INDF;MASC;PL
massas	маси	massa	маса	N;FEM;PL	N;INDF;FEM;PL
massas	спагети	massa	спагет	N;FEM;PL	N;INDF;MASC;PL
marta	марта	marta	марта	N;FEM;SG	N;INDF;FEM;SG
marta	марта	marta	марта	N;FEM;SG	N;INDF;FEM;SG
reduzido	намалено	reduzir	намаля	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
reduzido	намален	reduzir	намаля	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
reduzido	намалена	reduzir	намаля	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
gospel	евангелието	gospel	евангелие	N;MASC;SG	N;DEF;NEUT;SG
lorenzo	лоренцо	lorenzo	лоренцо	N;MASC;SG	N;INDF;MASC;SG
provocou	провокира	provocar	провокирам	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
legais	правни	legal	правен	ADJ;MASC;PL	ADJ;INDF;PL
mineira	добив	mineira	добив	N;FEM;SG	N;INDF;MASC;SG
lúcia	люси	lúcia	люс	N;FEM;SG	N;INDF;MASC;SG
lúcia	луси	lúcia	лус	N;FEM;SG	N;INDF;FEM;SG
lúcia	лучия	lúcia	лучия	N;FEM;SG	N;INDF;FEM;SG
naturalmente	естествено	naturalmente	естествено	ADV	ADV
gustav	густав	gustav	густав	N;MASC;SG	N;INDF;MASC;SG
horta	градината	horta	градина	N;FEM;SG	N;DEF;FEM;SG
horta	гардън	horta	гардън	N;FEM;SG	N;INDF;MASC;SG
horta	градинка	horta	градинка	N;FEM;SG	N;INDF;FEM;SG
horta	градина	horta	градина	N;FEM;SG	N;INDF;FEM;SG
madrugada	зора	madrugada	зора	N;FEM;SG	N;INDF;FEM;SG
madrugada	даун	madrugada	даун	N;FEM;SG	N;INDF;MASC;SG
madrugada	зората	madrugada	зора	N;FEM;SG	N;DEF;FEM;SG
amostra	мостра	amostra	мостра	N;FEM;SG	N;INDF;FEM;SG
amostra	проба	amostra	проба	N;FEM;SG	N;INDF;FEM;SG
amostra	извадка	amostra	извадка	N;FEM;SG	N;INDF;FEM;SG
estabelecimentos	заведения	estabelecimento	заведение	N;MASC;PL	N;INDF;NEUT;PL
estabelecimentos	предприятия	estabelecimento	предприятие	N;MASC;PL	N;INDF;NEUT;PL
medalhista	медалист	medalhista	медалист	N;MASC;SG	N;INDF;MASC;SG
exibidos	показани	exibir	покажа-(се)	V;MASC;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
correr	бягай	correr	бягам	V;NFIN	V;IPFV;IMP;SG;2;FIN
empregado	работник	empregado	работник	N;MASC;SG	N;INDF;MASC;SG
empregado	служител	empregado	служител	N;MASC;SG	N;INDF;MASC;SG
empregado	служителка	empregado	служителка	N;MASC;SG	N;INDF;FEM;SG
empregado	келнер	empregado	келнер	N;MASC;SG	N;INDF;MASC;SG
empregado	сервитьор	empregado	сервитьор	N;MASC;SG	N;INDF;MASC;SG
reduzida	намалено	reduzir	намаля	V;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
reduzida	намален	reduzir	намаля	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
reduzida	намалена	reduzir	намаля	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
funk	фънк	funk	фънк	N;MASC;SG	N;INDF;MASC;SG
estabilidade	стабилност	estabilidade	стабилност	N;FEM;SG	N;INDF;FEM;SG
estabilidade	устойчивост	estabilidade	устойчивост	N;FEM;SG	N;INDF;FEM;SG
escultor	скулптор	escultor	скулптор	N;MASC;SG	N;INDF;MASC;SG
horizontal	хоризонтален	horizontal	хоризонтален	ADJ;MASC;SG	ADJ;INDF;MASC;SG
horizontal	хоризонтална	horizontal	хоризонтален	ADJ;MASC;SG	ADJ;INDF;FEM;SG
magic	вълшебство	magic	вълшебство	N;MASC;SG	N;INDF;NEUT;SG
magic	магия	magic	магия	N;MASC;SG	N;INDF;FEM;SG
sensação	чувство	sensação	чувство	N;FEM;SG	N;INDF;NEUT;SG
sensação	усещане	sensação	усещане	N;FEM;SG	N;INDF;NEUT;SG
sensação	усещане	sensação	усещане	N;FEM;SG	N;INDF;NEUT;SG
sensação	сензация	sensação	сензация	N;FEM;SG	N;INDF;FEM;SG
convidada	поканена	convidar	поканя	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
convidada	поканен	convidar	поканя	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
permanecendo	оставам	permanecer	оставам	V;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
efetivamente	ефективно	efetivamente	ефективно	ADV	ADV
samurai	самурай	samurai	самурай	N;MASC;SG	N;INDF;MASC;SG
pretendia	предназначен	pretender	предназнача	V;IND;SG;3;IPFV;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pretendia	предвидена	pretender	предвидя	V;IND;SG;3;IPFV;FIN	V;PFV;INDF;FEM;SG;V.PTCP;PASS
sertão	пустош	sertão	пустош	N;MASC;SG	N;INDF;FEM;SG
espectro	спектър	espectro	спектър	N;MASC;SG	N;INDF;MASC;SG
espectro	спектъра	espectro	спектър	N;MASC;SG	N;DEF;MASC;SG
espectro	спектър	espectro	спектър	N;MASC;SG	N;INDF;MASC;SG
espectro	спектър	espectro	спектър	N;MASC;SG	N;INDF;MASC;SG
anunciada	обявена	anunciar	обявя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
anunciada	обявен	anunciar	обявя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
anunciada	обяви	anunciar	обявя-(се)	V;FEM;SG;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
anunciada	обявено	anunciar	обявя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fósseis	вкаменелости	fóssil	вкаменелост	N;MASC;PL	N;INDF;FEM;PL
fósseis	изкопаеми	fóssil	изкопаем	N;MASC;PL	N;INDF;MASC;PL
catalunha	каталуния	catalunha	каталуния	N;FEM;SG	N;DEF;FEM;SG
puro	чист	puro	чист	ADJ;MASC;SG	ADJ;INDF;MASC;SG
puro	чиста	puro	чист	ADJ;MASC;SG	ADJ;INDF;FEM;SG
currículo	възобновяване	currículo	възобновяване	N;MASC;SG	N;INDF;NEUT;SG
currículo	резюмето	currículo	резюме	N;MASC;SG	N;DEF;NEUT;SG
conquistado	завладян	conquistar	завладея	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
conquistado	завладяна	conquistar	завладея	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
cuidados	грижи	cuidado	грижа	N;MASC;PL	N;INDF;FEM;PL
barras	пръти	barra	прът	N;FEM;PL	N;INDF;MASC;PL
barras	барове	barra	бар	N;FEM;PL	N;INDF;MASC;PL
barras	решетки	barra	решетка	N;FEM;PL	N;INDF;FEM;PL
barras	решетките	barra	решетка	N;FEM;PL	N;DEF;FEM;PL
premio	награда	premio	награда	N;MASC;SG	N;INDF;FEM;SG
núcleos	ядра	núcleo	ядър	N;MASC;PL	N;INDF;NEUT;PL
núcleos	ядра	núcleo	ядър	N;MASC;PL	N;INDF;NEUT;PL
arsenal	арсенал	arsenal	арсенал	N;MASC;SG	N;INDF;MASC;SG
respectivos	съответни	respectivo	съответен	ADJ;MASC;PL	ADJ;INDF;PL
turcos	турците	turco	турчин	N;MASC;PL	N;DEF;MASC;PL
turcos	турци	turco	турчин	N;MASC;PL	N;INDF;MASC;PL
colina	хълм	colina	хълм	N;FEM;SG	N;INDF;MASC;SG
colina	холин	colina	холин	N;FEM;SG	N;INDF;MASC;SG
farol	фара	farol	фара	N;MASC;SG	N;DEF;MASC;SG
farol	фар	farol	фар	N;MASC;SG	N;INDF;MASC;SG
farol	фар	farol	фар	N;MASC;SG	N;INDF;MASC;SG
farol	маяк	farol	маяк	N;MASC;SG	N;INDF;MASC;SG
conselhos	съвети	conselho	съвет	N;MASC;PL	N;INDF;MASC;PL
parou	спрян	parar	спра-(се)	V;IND;SG;3;PST;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
parou	спряна	parar	спра-(се)	V;IND;SG;3;PST;FIN	V;PFV;INDF;FEM;SG;V.PTCP;PASS
parou	спря	parar	спра-(се)	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
bombas	помпите	bomba	помпа	N;FEM;PL	N;DEF;FEM;PL
bombas	помпи	bomba	помпя	N;FEM;PL	N;INDF;FEM;PL
bombas	бомбите	bomba	бомба	N;FEM;PL	N;DEF;FEM;PL
bombas	бомби	bomba	бомба	N;FEM;PL	N;INDF;FEM;PL
equipas	отбори	equipa	отбор	N;FEM;PL	N;INDF;MASC;PL
equipas	екипи	equipa	екип	N;FEM;PL	N;INDF;MASC;PL
escocês	шотландец	escocês	шотландец	N;MASC;SG	N;INDF;MASC;SG
debates	разисквания	debate	разискване	N;MASC;PL	N;INDF;NEUT;PL
debates	дебати	debate	дебат	N;MASC;PL	N;INDF;MASC;PL
acusação	обвинение	acusação	обвинение	N;FEM;SG	N;INDF;NEUT;SG
investigações	разследвания	investigação	разследване	N;FEM;PL	N;INDF;NEUT;PL
investigações	изследвания	investigação	изследване	N;FEM;PL	N;INDF;NEUT;PL
adequada	задоволителна	adequado	задоволителен	ADJ;FEM;SG	ADJ;INDF;FEM;SG
adequada	адекватен	adequado	адекватен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
adequada	адекватна	adequado	адекватен	ADJ;FEM;SG	ADJ;INDF;FEM;SG
adequada	подходящ	adequado	подходящ	ADJ;FEM;SG	ADJ;INDF;MASC;SG
adequada	подходяща	adequado	подходящ	ADJ;FEM;SG	ADJ;INDF;FEM;SG
misericórdia	мърси	misericórdia	мърся	N;FEM;SG	N;INDF;FEM;SG
misericórdia	милосърдие	misericórdia	милосърдие	N;FEM;SG	N;INDF;NEUT;SG
misericórdia	милост	misericórdia	милост	N;FEM;SG	N;INDF;FEM;SG
válidos	валидни	válido	валиден	ADJ;MASC;PL	ADJ;INDF;PL
guiana	гвиана	guiana	гвиана	N;FEM;SG	N;INDF;FEM;SG
esquadrão	ескадрила	esquadrão	ескадрал	N;MASC;SG	N;INDF;FEM;SG
esquadrão	отряд	esquadrão	отряд	N;MASC;SG	N;INDF;MASC;SG
esquadrão	взвод	esquadrão	взвод	N;MASC;SG	N;INDF;MASC;SG
registo	регистър	registo	регистър	N;MASC;SG	N;INDF;MASC;SG
registo	регистър	registo	регистър	N;MASC;SG	N;INDF;MASC;SG
registo	регистрация	registo	регистрация	N;MASC;SG	N;INDF;FEM;SG
registo	регистриране	registo	регистриране	N;MASC;SG	N;INDF;NEUT;SG
governante	владетел	governante	владетел	N;MASC;SG	N;INDF;MASC;SG
piratas	пиратите	pirata	пират	N;MASC;PL	N;DEF;MASC;PL
piratas	пирати	pirata	пират	N;MASC;PL	N;INDF;MASC;PL
corredor	бегач	corredor	бегач	N;MASC;SG	N;INDF;MASC;SG
corredor	коридор	corredor	коридор	N;MASC;SG	N;INDF;MASC;SG
corredor	коридора	corredor	коридор	N;MASC;SG	N;DEF;MASC;SG
corredor	коридор	corredor	коридор	N;MASC;SG	N;INDF;MASC;SG
corredor	коридора	corredor	коридор	N;MASC;SG	N;DEF;MASC;SG
kingdom	кралство	kingdom	кралство	N;MASC;SG	N;INDF;NEUT;SG
kingdom	царство	kingdom	царство	N;MASC;SG	N;INDF;NEUT;SG
vizinho	съсед	vizinho	съсед	N;MASC;SG	N;INDF;MASC;SG
vizinho	съседка	vizinho	съседка	N;MASC;SG	N;INDF;FEM;SG
vizinho	съсед	vizinho	съсед	N;MASC;SG	N;INDF;MASC;SG
vizinho	съседка	vizinho	съседка	N;MASC;SG	N;INDF;FEM;SG
