kot	som	kot	som	CONJ	CONJ
mesto	stad	mesto	stad	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
mesto	staden	mesto	stad	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
mesto	staden	mesto	stad	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
mesto	city	mesto	city	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
mesto	ort	mesto	ort	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
mesto	stad	mesto	stad	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
mesto	orten	mesto	ort	N;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
ima	har	imeti	ha	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
september	september	september	september	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
opombe	sedlar	opomba	sedel	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	anteckningar	opomba	anteckning	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	anmärkningar	opomba	anmärkning	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	noter	opomba	nota	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	anmärkningar	opomba	anmärkning	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	kommentarer	opomba	kommentar	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	synpunkter	opomba	synpunkt	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	anmärkningar	opomba	anmärkning	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	fotnoter	opomba	fotnot	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
opombe	fotnoterna	opomba	fotnot	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
pred	före	pred	före	ADP;INS	ADP
ime	namn	ime	namn	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
ime	name	ime	name	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
center	centrum	center	centrum	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
center	center	center	cent	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
center	mitten	center	mitt	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
center	centrumet	center	centrum	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
center	centrum	center	centrum	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
center	centre	center	cena	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
viri	källor	vir	källa	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
viri	resurser	vir	resurs	N;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
prvi	första	prvi	en	ADJ;NOM;MASC;PL	ADJ;NOM
proti	mot	proti	mot	ADP;DAT	ADP
oktober	oktober	oktober	oktober	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
vendar	men	vendar	men	CONJ	CONJ
polk	regemente	polk	regemente	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
polk	regementet	polk	regemente	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
zelo	mycket	zelo	mycket	ADV	ADV
marec	marsch	marec	marsch	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
marec	march	marec	march	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
marec	demonstrationståg	marec	demonstrationståg	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
marec	mars	marec	mars	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
avgust	august	avgust	august	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
avgust	augusti	avgust	augusti	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
strani	sidorna	stran	sida	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
strani	sidor	stran	sida	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
delo	job	delo	job	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
delo	jobb	delo	jobb	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
delo	arbete	delo	arbete	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
delo	work	delo	work	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
ker	eftersom	ker	eftersom	CONJ	CONJ
nekaj	något	nekaj	någon	PRO;ACC;NEUT;SG	PRO;INDF;NEUT;SG
nekaj	någonting	nekaj	någonting	PRO;ACC;NEUT;SG	PRO;INDF;NEUT;SG
nekaj	nåt	nekaj	nåt	PRO;ACC;NEUT;SG	PRO;INDF;NEUT;SG
januar	januari	januar	januari	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
december	december	december	december	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
november	november	november	november	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
november	nov	november	nov	N;NOM;MASC;SG	N
drugi	annan	drug	annan	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
drugi	övrig	drug	övrig	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
drugi	övrigt	drug	övrigt	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
april	april	april	april	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
druge	övriga	drug	övrig	ADJ;NOM;FEM;PL	ADJ;NOM;PL
druge	övriga	drug	övrig	ADJ;NOM;FEM;PL	ADJ;NOM;PL
postal	blev	postati	bli	V;PFV;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
vojne	krigen	vojna	krig	N;NOM;FEM;PL	N;NOM;DEF;NEUT;PL
število	tal	število	tal	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
število	antal	število	antal	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
število	nummer	število	nummer	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
februar	februari	februar	februari	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
okoli	kring	okoli	kring	ADP;GEN	ADP
zajema	täcker	zajema	täcka	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
zajema	omfattar	zajema	omfatta	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
liga	ligan	liga	ligan	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
liga	league	liga	league	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
liga	förbundet	liga	förbund	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
liga	liga	liga	lig	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
liga	liga	liga	lig	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
kasneje	senare	kasno	sen	ADV;CMPR	ADV;CMPR
bolj	mera	bolj	mycket	ADV;CMPR	ADV;CMPR
bolj	mer	bolj	mycket	ADV;CMPR	ADV;CMPR
danes	idag	danes	idag	ADV	ADV
skupaj	totalt	skupaj	total	ADV	ADV
skupaj	sammanlagt	skupaj	sammanlagd	ADV	ADV
skupaj	tillsammans	skupaj	tillsammans	ADV	ADV
najbolj	mest	najbolj	mycket	ADV;RL	ADV;RL
stran	away	stran	away	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
stran	sida	stran	sida	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
stran	sidan	stran	sida	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
julij	juli	julij	juli	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
svetovno	världsomfattande	svetoven	världsomfattande	ADJ;NOM;NEUT;SG	ADJ;NOM;PRS;V.PTCP
svetovno	världsomspännande	svetoven	världsomspännande	ADJ;NOM;NEUT;SG	ADJ;NOM;PRS;V.PTCP
svetovno	globalt	svetoven	global	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
glede	ungefär	glede	ungefär	ADV	ADV
leto	year	leto	yea	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
leto	årsmodell	leto	årsmodell	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
leto	året	leto	år	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
leto	år	leto	år	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
imajo	har	imeti	ha	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
prvenstvo	mästerskap	prvenstvo	mästerskap	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
prvenstvo	championship	prvenstvo	championship	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
prvenstvo	mästerskapet	prvenstvo	mästerskap	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
brez	utan	brez	utan	ADP;GEN	ADP
mesta	städer	mesto	stad	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
mesta	städer	mesto	stad	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
mesta	orter	mesto	ort	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
mesta	städerna	mesto	stad	N;NOM;NEUT;PL	N;NOM;DEF;MASC+FEM;PL
cerkev	kyrkan	cerkev	kyrka	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
cerkev	kyrka	cerkev	kyrka	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
primer	case	primer	case	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
primer	fodral	primer	fodral	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
primer	fallet	primer	fall	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
primer	fall	primer	fall	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
primer	exempel	primer	exempel	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
dan	dag	dan	dag	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
dan	dagen	dan	dag	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
dan	day	dan	day	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
velika	stor	velik	stor	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
velika	stort	velik	stor	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
velika	stor	velik	stor	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
velika	stort	velik	stor	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
hms	hms	hms	hms	N;NOM;FEM;SG	N
dve	två	dva	två	NUM;NOM;FEM;DU	NUM;NOM
vedno	alltid	vedno	alltid	ADV	ADV
junij	juni	junij	juni	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
junij	june	junij	jun	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
observatorij	observatoriet	observatorij	observatorium	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
observatorij	observatorium	observatorij	observatorium	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
jpg	jpg	jpg	jpg	N;NOM;MASC;SG	N
občina	kommunen	občina	kommun	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
občina	kommun	občina	kommun	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
drugo	annan	drug	annan	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
drugo	övrig	drug	övrig	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
drugo	övrigt	drug	övrigt	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
vojna	kriget	vojna	krig	N;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
vojna	krig	vojna	krig	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
pesmi	dikter	pesem	dikt	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
pesmi	låtar	pesem	låta	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
pesmi	sånger	pesem	sång	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
tri	tre	trije	tre	NUM;NOM;FEM;PL	NUM;NOM
dva	två	dva	två	NUM;NOM;MASC;DU	NUM;NOM
slika	bilden	slika	bild	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
slika	bild	slika	bild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	avbild	slika	avbild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	bilden	slika	bild	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
slika	image	slika	image	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	bild	slika	bild	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	tavla	slika	tavla	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
slika	målning	slika	målning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
prva	första	prvi	en	ADJ;NOM;FEM;SG	ADJ;NOM
imel	had	imeti	had	V;IPFV;MASC;SG;V.PTCP	V;IMP;FIN;ACT
imel	hadde	imeti	ha	V;IPFV;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
imel	hade	imeti	ha	V;IPFV;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
imel	haft	imeti	ha	V;IPFV;MASC;SG;V.PTCP	V;V.CVB;ACT
druga	annan	drug	annan	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
druga	övrig	drug	övrig	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
druga	övrigt	drug	övrigt	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
vojske	arméer	vojska	arm	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
pogosto	frekvent	pogosto	frekvent	ADV	ADV
pogosto	ofta	pogosto	ofta	ADV	ADV
pogosto	ofta	pogosto	ofta	ADV	ADV
eno	en	en	en	NUM;NOM;NEUT;SG	NUM;NOM;INDF;MASC+FEM;SG
eno	ett	en	en	NUM;NOM;NEUT;SG	NUM;NOM;INDF;NEUT;SG
življenje	life	življenje	life	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
življenje	livet	življenje	liv	N;NOM;NEUT;SG	N;NOM;DEF;NEUT;SG
življenje	livstid	življenje	livstid	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
življenje	liv	življenje	liv	N;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
skupina	gruppen	skupina	grupp	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
skupina	grupp	skupina	grupp	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nagrada	belöning	nagrada	belöning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nagrada	pris	nagrada	pris	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
nagrada	utmärkelse	nagrada	utmärkelse	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nagrada	tilldelning	nagrada	tilldelning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
priimek	efternamn	priimek	efternamn	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
izvirno	ursprungligt	izviren	ursprunglig	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
izvirno	originellt	izviren	originell	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
izvirno	ursprunglig	izviren	ursprunglig	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
skupine	grupper	skupina	grupp	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
skupine	grupperna	skupina	grupp	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
ena	en	en	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;MASC+FEM;SG
ena	ett	en	en	NUM;NOM;FEM;SG	NUM;NOM;INDF;NEUT;SG
časa	dags	čas	dags	N;GEN;MASC;SG	N;MASC+FEM
smrti	dödsfall	smrt	dödsfall	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
divizija	division	divizija	division	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
divizija	delning	divizija	delning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pomeni	betyder	pomeniti	betyda	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
pomeni	innebär	pomeniti	innebära	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
kralj	king	kralj	king	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
kralj	kungen	kralj	kung	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
kralj	kung	kralj	kung	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
kralj	konung	kralj	konung	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
eden	en	eden	en	NUM;NOM;MASC;SG	NUM;NOM;INDF;MASC+FEM;SG
eden	ett	eden	en	NUM;NOM;MASC;SG	NUM;NOM;INDF;NEUT;SG
http	http	http	http	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
čas	tid	čas	tid	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
čas	tidpunkt	čas	tidpunkt	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
čas	dags	čas	dags	N;NOM;MASC;SG	N;MASC+FEM
čas	klockslag	čas	klockslag	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
čas	tiden	čas	tid	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
palomar	palomar	palomar	palom	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
skozi	igenom	skozi	igenom	ADP;ACC	ADP
skozi	genom	skozi	genom	ADP;ACC	ADP
ponovno	igen	ponovno	igen	ADV	ADV
ponovno	återigen	ponovno	återigen	ADV	ADV
osvojil	erövra	osvojiti	erövra	V;PFV;MASC;SG;V.PTCP	V;IMP;FIN;ACT
začel	påbörjade	začeti	påbörja	V;PFV;MASC;SG;V.PTCP	V;IND;PST;V.PTCP;ACT
začel	började	začeti	börja	V;PFV;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
začel	startade	začeti	starta	V;PFV;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
približno	cirka	približno	cirka	ADV	ADV
približno	ungefär	približno	ungefär	ADV	ADV
države	staterna	država	stat	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
države	stater	država	stat	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
države	delstater	država	delstat	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
države	länderna	država	land	N;NOM;FEM;PL	N;NOM;DEF;NEUT;PL
države	länder	država	land	N;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
novo	ny	nov	ny	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
novo	nytt	nov	ny	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
potem	sedan	potem	sedan	ADV	ADV
potem	sen	potem	sen	ADV	ADV
potem	då	potem	då	ADV	ADV
pesem	dikt	pesem	dikt	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pesem	låten	pesem	låt	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
pesem	sång	pesem	sång	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
švedska	svenskt	švedska	svensk	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
krog	circle	krog	circle	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
krog	cirkel	krog	cirkel	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
krog	cirkeln	krog	cirkel	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
krog	varv	krog	varv	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
krog	omgång	krog	omgång	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
red	ordningsföljd	red	ordningsföljd	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
red	beställning	red	beställning	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
red	ordning	red	ordning	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
član	medlem	član	medlem	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
član	medlemmen	član	medlem	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
član	ledamot	član	ledamot	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
slovenija	slovenien	slovenija	slovenien	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
knjiga	bok	knjiga	bok	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
knjiga	book	knjiga	book	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
tam	där	tam	där	ADV	ADV
sistem	systemet	sistem	system	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
sistem	system	sistem	system	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
večinoma	huvudsakligen	večinoma	huvudsakligen	ADV	ADV
peter	peter	peter	peter	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
grad	castle	grad	castle	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
grad	borgen	grad	borgen	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
grad	slottet	grad	slott	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
grad	slott	grad	slott	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
grad	grad	grad	grad	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
kmalu	snart	kmalu	snart	ADV	ADV
način	läge	način	läge	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
način	sätt	način	sätt	N;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
način	way	način	way	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
film	film	film	film	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
film	film	film	film	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
gre	går	iti	gå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
občine	kommuner	občina	kommun	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
občine	kommunerna	občina	kommun	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
brigada	brigaden	brigada	brigad	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
vrste	arter	vrsta	art	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
vrste	typer	vrsta	typ	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
sveta	council	svet	council	N;NOM;MASC;SG	N
sveta	rådet	svet	råd	N;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
kako	hur	kako	hur	ADV	ADV
svetovna	världsomfattande	svetoven	världsomfattande	ADJ;NOM;FEM;SG	ADJ;NOM;PRS;V.PTCP
svetovna	världsomspännande	svetoven	världsomspännande	ADJ;NOM;FEM;SG	ADJ;NOM;PRS;V.PTCP
svetovna	globalt	svetoven	global	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
nahaja	ligger	nahajati	ligga	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
sin	sonen	sin	son	N;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
sin	son	sin	son	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
verjetno	troligtvis	verjetno	troligtvis	ADV	ADV
verjetno	förmodligen	verjetno	förmodligen	ADV	ADV
verjetno	troligen	verjetno	troligen	ADV	ADV
verjetno	antagligen	verjetno	antagligen	ADV	ADV
pot	färdväg	pot	färdväg	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pot	väg	pot	väg	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pot	rutt	pot	rutt	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pot	landsväg	pot	landsväg	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pot	road	pot	road	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pot	väg	pot	väg	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pot	vägen	pot	väg	N;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
pot	sätt	pot	sätt	N;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
pot	way	pot	way	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nekateri	några	nekateri	någon	DET;NOM;MASC;PL	DET;INDF;PL
vsebuje	innehåller	vsebovati	innehålla	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
vsebuje	innehåller	vsebovati	innehålla	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
umrl	dö	umreti	dö	V;PFV;MASC;SG;V.PTCP	V;IMP;FIN;ACT
umrl	dör	umreti	dör	V;PFV;MASC;SG;V.PTCP	V;IMP;FIN;ACT
umrl	dog	umreti	dö	V;PFV;MASC;SG;V.PTCP	V;IMP;FIN;ACT
