על	относно	על	относно	ADP	ADP
אותו	него	None	аз	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
שני	двама	שני	двама	NUM;MASC;PL	NUM;INDF;PL
שני	две	שני	два	NUM;MASC;PL	NUM;INDF;FEM;PL
שנים	години	שנה	година	N;FEM;PL	N;INDF;FEM;PL
שנים	годините	שנה	година	N;FEM;PL	N;DEF;FEM;PL
אבל	но	אבל	но	CONJ	CONJ
אביב	пролет	אביב	пролет	N;MASC;SG	N;INDF;FEM;SG
אביב	пролетта	אביב	пролет	N;MASC;SG	N;DEF;FEM;SG
במאי	директорът	במאי	директор	N;MASC;SG	N;DEF;MASC;SG
במאי	режисьор	במאי	режисьор	N;MASC;SG	N;INDF;MASC;SG
במאי	директор	במאי	директор	N;MASC;SG	N;INDF;MASC;SG
שנה	година	שנה	година	N;FEM;SG	N;INDF;FEM;SG
שנה	годината	שנה	година	N;FEM;SG	N;DEF;FEM;SG
הערות	забележки	הערה	забележка	N;FEM;PL	N;INDF;FEM;PL
הערות	записки	הערה	записка	N;FEM;PL	N;INDF;FEM;PL
הערות	бележки	הערה	бележка	N;FEM;PL	N;INDF;FEM;PL
הערות	ноти	הערה	нот	N;FEM;PL	N;INDF;FEM;PL
הערות	забележки	הערה	забележка	N;FEM;PL	N;INDF;FEM;PL
הערות	коментари	הערה	коментар	N;FEM;PL	N;INDF;MASC;PL
הערות	мнения	הערה	мнение	N;FEM;PL	N;INDF;NEUT;PL
חלק	част	חלק	част	N;MASC;SG	N;INDF;FEM;SG
חלק	гладка	חלק	гладка	N;MASC;SG	N;INDF;FEM;SG
לפני	преди	לפני	преди	ADP	ADP
אחת	една	אחת	един	NUM;FEM;SG	NUM;INDF;FEM;SG
אחת	един	אחת	един	NUM;FEM;SG	NUM;INDF;MASC;SG
אחת	едно	אחת	един	NUM;FEM;SG	NUM;INDF;NEUT;SG
במקום	вместо	במקום	вместо	ADP	ADP
אותה	нея	None	аз	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
ארצות	държави	ארץ	държава	N;FEM;PL	N;INDF;FEM;PL
ארצות	страни	ארץ	страна	N;FEM;PL	N;INDF;FEM;PL
ראש	главата	ראש	глава	N;MASC;SG	N;DEF;FEM;SG
ראש	глава	ראש	глава	N;MASC;SG	N;INDF;FEM;SG
תל	тел	תל	тел	N;MASC;SG	N;INDF;FEM;SG
ערך	стойност	ערך	стойност	N;MASC;SG	N;INDF;FEM;SG
זמן	времето	זמן	време	N;MASC;SG	N;DEF;NEUT;SG
זמן	време	זמן	време	N;MASC;SG	N;INDF;NEUT;SG
בעיקר	основно	בעיקר	основно	ADV	ADV
בעיקר	предимно	בעיקר	предимно	ADV	ADV
בעיקר	главно	בעיקר	главно	ADV	ADV
בעיקר	предимно	בעיקר	предимно	ADV	ADV
בעיקר	главно	בעיקר	главно	ADV	ADV
אתר	уебсайт	אתר	уебсайт	N;MASC;SG	N;INDF;MASC;SG
אתר	сайт	אתר	сайт	N;MASC;SG	N;INDF;MASC;SG
אתר	сайт	אתר	сайт	N;MASC;SG	N;INDF;MASC;SG
אתר	етер	אתר	етер	N;MASC;SG	N;INDF;MASC;SG
ללא	без	ללא	без	ADP	ADP
שונים	различни	שונה	различен	ADJ;MASC;PL	ADJ;INDF;PL
שונים	различни	שונה	различен	ADJ;MASC;PL	ADJ;INDF;PL
אדם	човек	אדם	човек	N;MASC;SG	N;INDF;MASC;SG
אדם	личност	אדם	личност	N;MASC;SG	N;INDF;FEM;SG
אדם	адам	אדם	адам	N;MASC;SG	N;INDF;MASC;SG
אדם	човек	אדם	човек	N;MASC;SG	N;INDF;MASC;SG
אדם	човек	אדם	човек	N;MASC;SG	N;INDF;MASC;SG
אדם	мъж	אדם	мъж	N;MASC;SG	N;INDF;MASC;SG
עוד	повече	עוד	повече	ADV	ADV;INDF;PL
עוד	още	עוד	още	ADV	ADV
אחרים	други	אחר	друг	ADJ;MASC;PL	ADJ;INDF;PL
אחרים	другите	אחר	друг	ADJ;MASC;PL	ADJ;DEF;PL
אחרים	други	אחר	друг	ADJ;MASC;PL	ADJ;INDF;PL
ספר	тефтер	ספר	тефтер	N;MASC;SG	N;INDF;MASC;SG
ספר	книга	ספר	книга	N;MASC;SG	N;INDF;FEM;SG
ספר	барбър	ספר	барбър	N;MASC;SG	N;INDF;MASC;SG
ספר	фризьор	ספר	фризьор	N;MASC;SG	N;INDF;MASC;SG
ספר	бръснар	ספר	бръснар	N;MASC;SG	N;INDF;MASC;SG
נגד	срещу	נגד	срещу	ADP	ADP
נגד	против	נגד	против	ADP	ADP
זכה	спечели	זכה	спечеля	V;MASC;SG;3;PST;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
אחרי	след	אחרי	след	ADP	ADP
הן	те	הוא	аз	PRO;FEM;PL;3	PRO;NOM;PL;3
יום	денят	יום	ден	N;MASC;SG	N;DEF;MASC;SG
יום	ден	יום	ден	N;MASC;SG	N;INDF;MASC;SG
כבר	вече	כבר	вече	ADV	ADV
מקום	място	מקום	място	N;MASC;SG	N;INDF;NEUT;SG
מאוד	много	מאוד	много	ADV	ADV;INDF;PL
יהודים	евреите	יהודי	евреин	N;MASC;PL	N;DEF;MASC;PL
יהודים	евреи	יהודי	евреин	N;MASC;PL	N;INDF;MASC;PL
באמצעות	чрез	באמצעות	чрез	ADP	ADP
יחד	заедно	יחד	заедно	ADV	ADV
בעל	баал	בעל	баал	N;MASC;SG	N;INDF;MASC;SG
בעל	съпруг	בעל	съпруг	N;MASC;SG	N;INDF;MASC;SG
בנוסף	плюс	בנוסף	плюс	ADV	ADV
בנוסף	допълнително	בנוסף	допълнително	ADV	ADV
תחת	под	תחת	под	ADP	ADP
תמונה	снимка	תמונה	снимка	N;FEM;SG	N;INDF;FEM;SG
תמונה	снимката	תמונה	снимка	N;FEM;SG	N;DEF;FEM;SG
תמונה	фото	תמונה	фото	N;FEM;SG	N;INDF;MASC;SG
תמונה	имидж	תמונה	имидж	N;FEM;SG	N;INDF;MASC;SG
תמונה	картинка	תמונה	картинка	N;FEM;SG	N;INDF;FEM;SG
תמונה	образ	תמונה	образ	N;FEM;SG	N;INDF;MASC;SG
תמונה	изображение	תמונה	изображение	N;FEM;SG	N;INDF;NEUT;SG
תמונה	снимка	תמונה	снимка	N;FEM;SG	N;INDF;FEM;SG
תמונה	картинка	תמונה	картинка	N;FEM;SG	N;INDF;FEM;SG
כתב	репортера	כתב	репортер	N;MASC;SG	N;DEF;MASC;SG
כתב	репортер	כתב	репортер	N;MASC;SG	N;INDF;MASC;SG
כתב	репортерка	כתב	репортерка	N;MASC;SG	N;INDF;FEM;SG
כתב	репортерът	כתב	репортер	N;MASC;SG	N;DEF;MASC;SG
היום	днеска	היום	днеска	ADV	ADV
היום	днес	היום	днес	ADV	ADV
למרות	въпреки	למרות	въпреки	ADP	ADP
למרות	макар	למרות	макар	ADP	ADP
למרות	макар	למרות	макар	ADP	ADP
אחרות	другите	אחר	друг	ADJ;FEM;PL	ADJ;DEF;PL
אחרות	други	אחר	друг	ADJ;FEM;PL	ADJ;INDF;PL
אותם	ги	None	аз	PRO;ACC;MASC;PL;3	PRO;ACC;PL;3
אותם	тях	None	аз	PRO;ACC;MASC;PL;3	PRO;ACC;PL;3
החברה	общество	החברה	общество	N;FEM;SG	N;INDF;NEUT;SG
החברה	обществото	החברה	общество	N;FEM;SG	N;DEF;NEUT;SG
החברה	дружество	החברה	дружество	N;FEM;SG	N;INDF;NEUT;SG
החברה	компания	החברה	компания	N;FEM;SG	N;INDF;FEM;SG
החברה	рота	החברה	рота	N;FEM;SG	N;INDF;FEM;SG
החברה	фирма	החברה	фирма	N;FEM;SG	N;INDF;FEM;SG
שונות	различни	שונה	различен	ADJ;FEM;PL	ADJ;INDF;PL
שונות	различни	שונה	различен	ADJ;FEM;PL	ADJ;INDF;PL
שונות	разнообразни	שונה	разнообразен	ADJ;FEM;PL	ADJ;INDF;PL
שונות	разни	שונה	разен	ADJ;FEM;PL	ADJ;INDF;PL
מערכת	система	מערכת	система	N;FEM;SG	N;INDF;FEM;SG
מערכת	системата	מערכת	система	N;FEM;SG	N;DEF;FEM;SG
בלבד	само	בלבד	само	ADV	ADV
בלבד	единствено	בלבד	единствено	ADV	ADV
עבר	минало	עבר	минало	N;MASC;SG	N;INDF;NEUT;SG
מרכז	централа	מרכז	централа	N;MASC;SG	N;INDF;FEM;SG
מרכז	център	מרכז	център	N;MASC;SG	N;INDF;MASC;SG
מרכז	център	מרכז	център	N;MASC;SG	N;INDF;MASC;SG
שימוש	използване	שימוש	използване	N;MASC;SG	N;INDF;NEUT;SG
שימוש	употреба	שימוש	употреба	N;MASC;SG	N;INDF;FEM;SG
שימוש	използване	שימוש	използване	N;MASC;SG	N;INDF;NEUT;SG
שימוש	употреба	שימוש	употреба	N;MASC;SG	N;INDF;FEM;SG
רוב	роб	רוב	роб	N;MASC;SG	N;INDF;MASC;SG
רוב	мнозинство	רוב	мнозинство	N;MASC;SG	N;INDF;NEUT;SG
רוב	мнозинството	רוב	мнозинство	N;MASC;SG	N;DEF;NEUT;SG
גדול	голям	גדול	голям	ADJ;MASC;SG	ADJ;INDF;MASC;SG
גדול	голяма	גדול	голям	ADJ;MASC;SG	ADJ;INDF;FEM;SG
גדול	голям	גדול	голям	ADJ;MASC;SG	ADJ;INDF;MASC;SG
גדול	голяма	גדול	голям	ADJ;MASC;SG	ADJ;INDF;FEM;SG
ישראלים	израелците	ישראלי	израелец	N;MASC;PL	N;DEF;MASC;PL
יהודי	евреин	יהודי	евреин	N;MASC;SG	N;INDF;MASC;SG
יהודי	еврейка	יהודי	еврейка	N;MASC;SG	N;INDF;FEM;SG
יהודי	евреин	יהודי	евреин	N;MASC;SG	N;INDF;MASC;SG
סוג	вид	סוג	вид	N;MASC;SG	N;INDF;MASC;SG
סוג	тип	סוג	тип	N;MASC;SG	N;INDF;MASC;SG
מידע	информация	מידע	информация	N;MASC;SG	N;INDF;FEM;SG
מידע	инфо	מידע	инфо	N;MASC;SG	N;INDF;MASC;SG
מידע	информация	מידע	информация	N;MASC;SG	N;INDF;FEM;SG
מידע	информиране	מידע	информиране	N;MASC;SG	N;INDF;NEUT;SG
מידע	дейта	מידע	дейт	N;MASC;SG	N;INDF;MASC;SG
ערכים	ценности	ערך	ценност	N;MASC;PL	N;INDF;FEM;PL
ערכים	стойности	ערך	стойност	N;MASC;PL	N;INDF;FEM;PL
ערכים	вписвания	ערך	вписване	N;MASC;PL	N;INDF;NEUT;PL
ערכים	записи	ערך	запис	N;MASC;PL	N;INDF;MASC;PL
דקות	минути	דקה	минута	N;FEM;PL	N;INDF;FEM;PL
דקות	минути	דקה	минута	N;FEM;PL	N;INDF;FEM;PL
חבר	приятелка	חבר	приятелка	N;MASC;SG	N;INDF;FEM;SG
חבר	приятел	חבר	приятел	N;MASC;SG	N;INDF;MASC;SG
חבר	гадже	חבר	гадже	N;MASC;SG	N;INDF;NEUT;SG
חבר	гаджето	חבר	гадже	N;MASC;SG	N;DEF;NEUT;SG
בת	дъще	בת	дъще	N;FEM;SG	N;INDF;FEM;SG
בת	дъщеря	בת	дъщеря	N;FEM;SG	N;INDF;FEM;SG
כאן	тук	כאן	там	ADV	ADV
לעתים	понякога	לעתים	някога	ADV	ADV
חדש	нов	חדש	нов	ADJ;MASC;SG	ADJ;INDF;MASC;SG
חדש	нова	חדש	нов	ADJ;MASC;SG	ADJ;INDF;FEM;SG
מעל	над	מעל	над	ADP	ADP
מעל	над	מעל	над	ADP	ADP
ארץ	държава	ארץ	държава	N;FEM;SG	N;INDF;FEM;SG
ארץ	страна	ארץ	страна	N;FEM;SG	N;INDF;FEM;SG
ארץ	земя	ארץ	земя	N;FEM;SG	N;INDF;FEM;SG
ארץ	земята	ארץ	земя	N;FEM;SG	N;DEF;FEM;SG
ארץ	земя	ארץ	земя	N;FEM;SG	N;INDF;FEM;SG
כלי	инструмент	כלי	инструмент	N;MASC;SG	N;INDF;MASC;SG
הרבה	много	הרבה	много	ADV	ADV;INDF;PL
אתה	ти	הוא	аз	PRO;MASC;SG;2	PRO;NOM;SG;2
אתה	ви	הוא	аз	PRO;MASC;SG;2	PRO;ACC;SG;2
טוב	добър	טוב	добър	ADJ;MASC;SG	ADJ;INDF;MASC;SG
ילדים	деца	ילד	дете	N;MASC;PL	N;INDF;NEUT;PL
ילדים	децата	ילד	дете	N;MASC;PL	N;DEF;NEUT;PL
ילדים	деца	ילד	дете	N;MASC;PL	N;INDF;NEUT;PL
הגיע	пристигнал	הגיע	пристигна	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
הגיע	пристигна	הגיע	пристигна	V;MASC;SG;3;PST;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
הגיע	дойде	הגיע	дойда	V;MASC;SG;3;PST;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
כמעט	почти	כמעט	почти	ADV	ADV
כוח	сила	כוח	сила	N;MASC;SG	N;INDF;FEM;SG
כוח	мощ	כוח	мощ	N;MASC;SG	N;INDF;FEM;SG
כוח	якост	כוח	якост	N;MASC;SG	N;INDF;FEM;SG
כוח	сила	כוח	сила	N;MASC;SG	N;INDF;FEM;SG
כוח	мощност	כוח	мощност	N;MASC;SG	N;INDF;FEM;SG
כוח	сила	כוח	сила	N;MASC;SG	N;INDF;FEM;SG
כוח	власт	כוח	власт	N;MASC;SG	N;INDF;FEM;SG
כוח	мощ	כוח	мощ	N;MASC;SG	N;INDF;FEM;SG
מלך	крал	מלך	крал	N;MASC;SG	N;INDF;MASC;SG
מלך	кинг	מלך	кинг	N;MASC;SG	N;INDF;MASC;SG
מלך	кралят	מלך	крал	N;MASC;SG	N;DEF;MASC;SG
מלך	цар	מלך	цар	N;MASC;SG	N;INDF;MASC;SG
מלך	краля	מלך	крал	N;MASC;SG	N;DEF;MASC;SG
מקור	произход	מקור	произход	N;MASC;SG	N;INDF;MASC;SG
מקור	източник	מקור	източник	N;MASC;SG	N;INDF;MASC;SG
מקור	клюн	מקור	клюн	N;MASC;SG	N;INDF;MASC;SG
תוכנית	програмата	תוכנית	програма	N;FEM;SG	N;DEF;FEM;SG
תוכנית	програма	תוכנית	програма	N;FEM;SG	N;INDF;FEM;SG
תוכנית	план	תוכנית	план	N;FEM;SG	N;INDF;MASC;SG
תוכנית	програма	תוכנית	програма	N;FEM;SG	N;INDF;FEM;SG
לגבי	относно	לגבי	относно	ADP	ADP
פעם	веднъж	פעם	веднъж	ADV	ADV
קיבל	прие	קיבל	приема	V;MASC;SG;3;PST;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
נשים	жени	איש	жена	N;FEM;PL	N;INDF;FEM;PL
נשים	жените	איש	жена	N;FEM;PL	N;DEF;FEM;PL
במיוחד	особено	במיוחד	особено	ADV	ADV
במיוחד	особено	במיוחד	особено	ADV	ADV
עדיין	още	עדיין	още	ADV	ADV
כוחות	сили	כוח	сила	N;MASC;PL	N;INDF;FEM;PL
כוחות	правомощия	כוח	правомощие	N;MASC;PL	N;INDF;NEUT;PL
כוחות	сили	כוח	сила	N;MASC;PL	N;INDF;FEM;PL
פעולה	действие	פעולה	действие	N;FEM;SG	N;INDF;NEUT;SG
פעולה	екшън	פעולה	екшън	N;FEM;SG	N;INDF;MASC;SG
חוק	закон	חוק	закон	N;MASC;SG	N;INDF;MASC;SG
יחידה	поделение	יחידה	поделение	N;FEM;SG	N;INDF;NEUT;SG
יחידה	единица	יחידה	единица	N;FEM;SG	N;INDF;FEM;SG
שוב	отново	שוב	отново	ADV	ADV
שוב	пак	שוב	пак	ADV	ADV
מדינות	държави	מדינה	държава	N;FEM;PL	N;INDF;FEM;PL
מדינות	щати	מדינה	щат	N;FEM;PL	N;INDF;MASC;PL
מדינות	държави	מדינה	държава	N;FEM;PL	N;INDF;FEM;PL
מדינות	страни	מדינה	страна	N;FEM;PL	N;INDF;FEM;PL
הבית	вкъщи	הבית	вкъщи	ADV	ADV
מפקד	командващ	מפקד	командващ	N;MASC;SG	N;INDF;MASC;SG
מפקד	командир	מפקד	командир	N;MASC;SG	N;INDF;MASC;SG
אזור	район	אזור	район	N;MASC;SG	N;INDF;MASC;SG
אזור	регион	אזור	регион	N;MASC;SG	N;INDF;MASC;SG
אזור	област	אזור	област	N;MASC;SG	N;INDF;FEM;SG
אזור	зона	אזור	зона	N;MASC;SG	N;INDF;FEM;SG
אזור	зона	אזור	зона	N;MASC;SG	N;INDF;FEM;SG
אזור	площ	אזור	площ	N;MASC;SG	N;INDF;FEM;SG
אזור	област	אזור	област	N;MASC;SG	N;INDF;FEM;SG
אזור	район	אזור	район	N;MASC;SG	N;INDF;MASC;SG
פעמים	времена	פעם	време	N;FEM;PL	N;INDF;NEUT;PL
קבוצות	групи	קבוצה	група	N;FEM;PL	N;INDF;FEM;PL
קבוצות	отбори	קבוצה	отбор	N;FEM;PL	N;INDF;MASC;PL
קבוצות	екипи	קבוצה	екип	N;FEM;PL	N;INDF;MASC;PL
סרט	филм	סרט	филм	N;MASC;SG	N;INDF;MASC;SG
סרט	филм	סרט	филм	N;MASC;SG	N;INDF;MASC;SG
סרט	лента	סרט	лента	N;MASC;SG	N;INDF;FEM;SG
קרב	битката	קרב	битка	N;MASC;SG	N;DEF;FEM;SG
קרב	битка	קרב	битка	N;MASC;SG	N;INDF;FEM;SG
קרב	битка	קרב	битка	N;MASC;SG	N;INDF;FEM;SG
קצר	къса	קצר	къс	ADJ;MASC;SG	ADJ;INDF;FEM;SG
קצר	кратка	קצר	кратък	ADJ;MASC;SG	ADJ;INDF;FEM;SG
קצר	кратък	קצר	кратък	ADJ;MASC;SG	ADJ;INDF;MASC;SG
קצר	кратка	קצר	кратък	ADJ;MASC;SG	ADJ;INDF;FEM;SG
ימים	дни	יום	ден	N;MASC;PL	N;INDF;MASC;PL
צבא	армията	צבא	армия	N;MASC;SG	N;DEF;FEM;SG
צבא	армеец	צבא	армеец	N;MASC;SG	N;INDF;MASC;SG
צבא	армия	צבא	армия	N;MASC;SG	N;INDF;FEM;SG
ים	море	ים	море	N;MASC;SG	N;INDF;NEUT;SG
ים	морето	ים	море	N;MASC;SG	N;DEF;NEUT;SG
משחק	мач	משחק	мач	N;MASC;SG	N;INDF;MASC;SG
משחק	гейм	משחק	гейм	N;MASC;SG	N;INDF;MASC;SG
משחק	играта	משחק	игра	N;MASC;SG	N;DEF;FEM;SG
משחק	игра	משחק	игра	N;MASC;SG	N;INDF;FEM;SG
משחק	свирене	משחק	свирене	N;MASC;SG	N;INDF;NEUT;SG
למעשה	всъщност	למעשה	всъщност	ADV	ADV
פעילות	дейност	פעילות	дейност	N;FEM;SG	N;INDF;FEM;SG
פעילות	активност	פעילות	активност	N;FEM;SG	N;INDF;FEM;SG
שטח	полето	שטח	поле	N;MASC;SG	N;DEF;NEUT;SG
שטח	поле	שטח	поле	N;MASC;SG	N;INDF;NEUT;SG
שטח	терена	שטח	терен	N;MASC;SG	N;DEF;MASC;SG
שטח	терен	שטח	терен	N;MASC;SG	N;INDF;MASC;SG
שטח	зона	שטח	зона	N;MASC;SG	N;INDF;FEM;SG
שטח	площ	שטח	площ	N;MASC;SG	N;INDF;FEM;SG
שטח	област	שטח	област	N;MASC;SG	N;INDF;FEM;SG
שטח	район	שטח	район	N;MASC;SG	N;INDF;MASC;SG
מאוחר	късно	מאוחר	късно	ADV	ADV
קולנוע	филм	קולנוע	филм	N;MASC;SG	N;INDF;MASC;SG
קולנוע	кинематография	קולנוע	кинематография	N;MASC;SG	N;INDF;FEM;SG
קולנוע	киното	קולנוע	кино	N;MASC;SG	N;DEF;NEUT;SG
קולנוע	кино	קולנוע	кино	N;MASC;SG	N;INDF;NEUT;SG
קשר	свързване	קשר	свързване	N;MASC;SG	N;INDF;NEUT;SG
קשר	връзка	קשר	връзка	N;MASC;SG	N;INDF;FEM;SG
קשר	връзката	קשר	връзка	N;MASC;SG	N;DEF;FEM;SG
קשר	контакт	קשר	контакт	N;MASC;SG	N;INDF;MASC;SG
קשר	възел	קשר	възел	N;MASC;SG	N;INDF;MASC;SG
אחרת	иначе	אחרת	така	ADV	ADV
קודם	първо	קודם	първо	ADV	ADV
עיר	град	עיר	град	N;FEM;SG	N;INDF;MASC;SG
עיר	градът	עיר	град	N;FEM;SG	N;DEF;MASC;SG
עיר	градче	עיר	градче	N;FEM;SG	N;INDF;NEUT;SG
עיר	град	עיר	град	N;FEM;SG	N;INDF;MASC;SG
עיר	градът	עיר	град	N;FEM;SG	N;DEF;MASC;SG
עיר	сити	עיר	сит	N;FEM;SG	N;INDF;MASC;SG
ידוע	познат	ידוע	познат	N;MASC;SG	N;INDF;MASC;SG
הופעות	впечатления	הופעה	впечатление	N;FEM;PL	N;INDF;NEUT;PL
הופעות	изяви	הופעה	изява	N;FEM;PL	N;INDF;FEM;PL
הופעות	концерти	הופעה	концерт	N;FEM;PL	N;INDF;MASC;PL
הופעות	концертите	הופעה	концерт	N;FEM;PL	N;DEF;MASC;PL
תקופה	период	תקופה	период	N;FEM;SG	N;INDF;MASC;SG
ספרים	книгите	ספר	книга	N;MASC;PL	N;DEF;FEM;PL
ספרים	книги	ספר	книга	N;MASC;PL	N;INDF;FEM;PL
קטן	малка	קטן	малък	ADJ;MASC;SG	ADJ;INDF;FEM;SG
קטן	малък	קטן	малък	ADJ;MASC;SG	ADJ;INDF;MASC;SG
קטן	дребен	קטן	дребен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
קטן	малка	קטן	малък	ADJ;MASC;SG	ADJ;INDF;FEM;SG
קטן	малък	קטן	малък	ADJ;MASC;SG	ADJ;INDF;MASC;SG
למד	научил	למד	науча-(се)	V;MASC;SG;3;PST	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
למד	учил	למד	уча-(се)	V;MASC;SG;3;PST	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
למד	проучен	למד	проучен	V;MASC;SG;3;PST	V;PFV;INDF;MASC;SG;V.PTCP;PASS
למד	учила	למד	уча-(се)	V;MASC;SG;3;PST	V;IPFV;INDF;FEM;SG;PST;V.PTCP;ACT
ברית	алианса	ברית	алианс	N;FEM;SG	N;DEF;MASC;SG
ברית	алианс	ברית	алианс	N;FEM;SG	N;INDF;MASC;SG
ברית	съюз	ברית	съюз	N;FEM;SG	N;INDF;MASC;SG
משרד	кабинет	משרד	кабинет	N;MASC;SG	N;INDF;MASC;SG
משרד	офисът	משרד	офис	N;MASC;SG	N;DEF;MASC;SG
משרד	офис	משרד	офис	N;MASC;SG	N;INDF;MASC;SG
משרד	офиса	משרד	офис	N;MASC;SG	N;DEF;MASC;SG
איך	как	איך	как	ADV	ADV
גרסאות	варианти	גרסה	вариант	N;FEM;PL	N;INDF;MASC;PL
גרסאות	версиите	גרסה	версия	N;FEM;PL	N;DEF;FEM;PL
גרסאות	версии	גרסה	версия	N;FEM;PL	N;INDF;FEM;PL
זהב	злато	זהב	злато	N;MASC;SG	N;INDF;NEUT;SG
עולם	свят	עולם	свят	N;MASC;SG	N;INDF;MASC;SG
עולם	света	עולם	свят	N;MASC;SG	N;DEF;MASC;SG
יד	ръка	יד	ръка	N;FEM;SG	N;INDF;FEM;SG
יד	ръката	יד	ръка	N;FEM;SG	N;DEF;FEM;SG
מדינה	държава	מדינה	държава	N;FEM;SG	N;INDF;FEM;SG
מדינה	страна	מדינה	страна	N;FEM;SG	N;INDF;FEM;SG
מדינה	щат	מדינה	щат	N;FEM;SG	N;INDF;MASC;SG
מדינה	държава	מדינה	държава	N;FEM;SG	N;INDF;FEM;SG
ארגון	организация	ארגון	организация	N;MASC;SG	N;INDF;FEM;SG
ארגון	организация	ארגון	организация	N;MASC;SG	N;INDF;FEM;SG
ארגון	организиране	ארגון	организиране	N;MASC;SG	N;INDF;NEUT;SG
לכתוב	пиши	כתב	пиша	V;NFIN;ACT	V;IPFV;IMP;SG;2;FIN
לכתוב	напишете	כתב	напиша	V;NFIN;ACT	V;PFV;IMP;PL;2;FIN
לכתוב	пишете	כתב	пиша	V;NFIN;ACT	V;IPFV;IND;PL;2;PRS;FIN;ACT
גדולה	голям	גדול	голям	ADJ;FEM;SG	ADJ;INDF;MASC;SG
גדולה	голяма	גדול	голям	ADJ;FEM;SG	ADJ;INDF;FEM;SG
גדולה	голям	גדול	голям	ADJ;FEM;SG	ADJ;INDF;MASC;SG
גדולה	голяма	גדול	голям	ADJ;FEM;SG	ADJ;INDF;FEM;SG
קשה	трудно	קשה	трудно	ADV	ADV
קשה	силно	קשה	силно	ADV	ADV
קשה	здраво	קשה	здраво	ADV	ADV
קשה	твърдо	קשה	твърдо	ADV	ADV
קשה	трудно	קשה	трудно	ADV	ADV
אוכלוסייה	популация	אוכלוסייה	популация	N;FEM;SG	N;INDF;FEM;SG
אוכלוסייה	население	אוכלוסייה	население	N;FEM;SG	N;INDF;NEUT;SG
הקהילה	общност	הקהיל	общност	N;FEM;SG	N;INDF;FEM;SG
הקהילה	общността	הקהיל	общност	N;FEM;SG	N;DEF;FEM;SG
כנגד	срещу	כנגד	срещу	ADP	ADP
כנגד	против	כנגד	против	ADP	ADP
קיים	съществуващ	קיים	съществувам	ADJ;MASC;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
קיים	съществуваща	קיים	съществувам	ADJ;MASC;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
מחוז	окръг	מחוז	окръг	N;MASC;SG	N;INDF;MASC;SG
