lovlige	قانونی	lovlig	قانونی	ADJ;PL	ADJ
kløft	فصل	kløft	فصل	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kløft	خلا	kløft	خلا	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kløft	رخنہ	kløft	رخنہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kløft	مذاق	kløft	مذاق	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kløft	گھاٹی	kløft	گھاٹی	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kløft	فصل	kløft	فصل	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
levering	سامان	levering	سامان	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
harmonisk	متوازن	harmonisk	متوازن	ADJ;INDF;SG	ADJ
harmonisk	ہموار	harmonisk	ہموار	ADJ;INDF;SG	ADJ
ego	خودی	ego	خودی	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
ego	خودی	ego	خودی	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
himmelske	ربّانی	himmelsk	ربّانی	ADJ;PL	ADJ
himmelske	ربّانی	himmelsk	ربّانی	ADJ;PL	ADJ
undsætning	نجات	undsætning	نجات	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
sving	لچک	sving	لچک	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
ørnen	عقاب	ørn	عقاب	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
chok	شورش	chok	شورش	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
chok	تصادم	chok	تصادم	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
chok	دھماکا	chok	دھماکا	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
uafhængigheden	استقلال.	uafhængighed	استقلال.	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
intensiv	زوردار	intensiv	زوردار	ADJ;INDF;MASC+FEM;SG	ADJ
kirsebær	بکارت	kirsebær	بکارت	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
privatliv	اجتناب	privatliv	اجتناب	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
privatliv	اجتناب	privatliv	اجتناب	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
fugtigt	مایوسی	fugtig	مایوسی	ADJ;INDF;NEUT;SG	ADJ
fugtigt	مایوسی	fugtig	مایوسی	ADJ;INDF;NEUT;SG	ADJ
kviksølv	پارہ	kviksølv	پارہ	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
værdig	باوقار	værdig	باوقار	ADJ;INDF;MASC+FEM;SG	ADJ
værdig	شاندار	værdig	شاندار	ADJ;INDF;MASC+FEM;SG	ADJ
værdig	معزز	værdig	معزز	ADJ;INDF;MASC+FEM;SG	ADJ
værdig	لائق	værdig	لائق	ADJ;INDF;MASC+FEM;SG	ADJ
værdig	معزز	værdig	معزز	ADJ;INDF;MASC+FEM;SG	ADJ
omdømme	امتیاز	omdømme	امتیاز	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
omdømme	اعتبار	omdømme	اعتبار	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
tune	آہنگ	tune	آہنگ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gyldighed	معقولیت	gyldighed	معقولیت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
identifikation	شناخت	identifikation	شناخت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
nedbrydning	تذلیل	nedbrydning	تذلیل	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
meditation	استغراق	meditation	استغراق	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
pick	امتیاز	pick	امتیاز	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
pick	کان	pick	کان	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
pick	دانہ	pick	دانہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
frygter	دھڑکا	frygte	دھڑکا	V;IND;PRS;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
knude	مجمع	knude	مجمع	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
knude	مجمع	knude	مجمع	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
uheldig	نافہمیدہ.	uheldig	نافہمیدہ.	ADJ;INDF;MASC+FEM;SG	ADJ
uheldig	منحوس.	uheldig	منحوس.	ADJ;INDF;MASC+FEM;SG	ADJ
exit	برآمدگی	exit	برآمدگی	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
exit	اخراج	exit	اخراج	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
interaktion	ملاقات	interaktion	ملاقات	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
forbandelse	وبال	forbandelse	وبال	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
opsamling	تسخیر	opsamling	تسخیر	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
opsamling	قبضے	opsamling	قبضہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
partikel	ریزہ	partikel	ریزہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
ubestemt	مشکوک	ubestemt	مشکوک	ADJ;INDF;SG	ADJ
udholdenhed	توانائی	udholdenhed	توانائی	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
udholdenhed	سکت	udholdenhed	سکت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
udholdenhed	توانائی	udholdenhed	توانائی	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
udholdenhed	استقلال	udholdenhed	استقلال	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
udholdenhed	دم	udholdenhed	دم	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
tvivlsomt	مبہم	tvivlsom	مبہم	ADJ;INDF;NEUT;SG	ADJ
tvivlsomt	مشتبہ	tvivlsom	مشتبہ	ADJ;INDF;NEUT;SG	ADJ
tilbagetog	اعتکاف	tilbagetog	اعتکاف	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
tilbagetog	مراقبہ	tilbagetog	مراقبہ	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
venlige	موافق.	venlig	موافق.	ADJ;PL	ADJ
venlige	موافق.	venlig	موافق.	ADJ;PL	ADJ
venlige	دوستانہ	venlig	دوستانہ	ADJ;PL	ADJ
biografiske	سوانحی	biografisk	سوانحی	ADJ;PL	ADJ
plet	عیب	plet	عیب	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plet	روغن	plet	روغن	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plet	داغ	plet	داغ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plet	عیب	plet	عیب	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plet	روغن	plet	روغن	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plet	نشان	plet	نشان	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plet	داغ	plet	داغ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gulv	میدان	gulv	میدان	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
gulv	غار	gulv	غار	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
shake	اطمینان	shake	اطمینان	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
shake	جھٹکا	shake	جھٹکا	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
shake	اطمینان	shake	اطمینان	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
shake	جھٹکا	shake	جھٹکا	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
taxi	ٹیکسی	taxi	ٹیکسی	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kompetence	عملداری.	kompetence	عملداریؤ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kompetence	صلاحیت	kompetence	صلاحیت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kompetence	اہلیت	kompetence	اہلیت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kompetence	استعداد.	kompetence	استعداد.	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stolthed	غرور	stolthed	غرور	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stolthed	سبب	stolthed	سبب	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG;3
stolthed	غرور	stolthed	غرور	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stolthed	سبب	stolthed	سبب	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG;3
troværdighed	شہرت	troværdighed	شہرت	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
troværdighed	مرتبہ	troværdighed	مرتبہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
troværdighed	اعتبار	troværdighed	اعتبار	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
betjening	عمل	betjening	عمل	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
betjening	بجلی	betjening	بجلی	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
betjening	دعا	betjening	دعا	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
betjening	گیس	betjening	گیس	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
betjening	خدمت	betjening	خدمت	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
nøjagtighed	صداقت	nøjagtighed	صداقت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
nøjagtighed	صحت	nøjagtighed	صحت	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
forsyning	سامان	forsyning	سامان	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
producenten	فلم	producent	فلم	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
kommunismen	اشتراکیت	kommunisme	اشتراکیت	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
skrog	غلاف	skrog	غلاف	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
skrog	جہاز	skrog	جہاز	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
gyldige	جائز	gyldig	جائز	ADJ;PL	ADJ
indvendig	داخلی	indvendig	داخلی	ADJ;INDF;MASC+FEM;SG	ADJ
indvendig	اندرونی	indvendig	اندرونی	ADJ;INDF;MASC+FEM;SG	ADJ
indvendig	کمتر	indvendig	کمتر	ADJ;INDF;MASC+FEM;SG	ADJ
modvilje	تردد	modvilje	تردد	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kick	زور	kick	زور	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
kick	توانائی	kick	توانائی	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
invaderet	چڑھائی	invadere	چڑھا	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
utilfredse	ناخوش	utilfreds	ناخوش	ADJ;PL	ADJ
broderskab	مواخات	broderskab	مواخ	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
broderskab	اخوت	broderskab	اخوت	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
broderskab	رفاقت.	broderskab	رفاقت.	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forhindring	رکاوٹ	forhindring	رکاوٹ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forhindring	مزاحمت	forhindring	مزاحمت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forhindring	رکاوٹ	forhindring	رکاوٹ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forhindring	مزاحمت	forhindring	مزاحمت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forhindring	رکاوٹ.	forhindring	رکاوٹ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
rust	کثافت	rust	کثافت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
iransk	ایرانی	iransk	ایرانی	ADJ;INDF;SG	ADJ
kæledyr	پالتو	kæledyr	پالتو	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
opståen	ظہور	opstå	ظہور	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
antologi	کشکول	antologi	کشکول	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
brændsel	لکڑی	brændsel	لکڑی	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forsinkelse	رکاوٹ.	forsinkelse	رکاوٹ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forsinkelse	دیر	forsinkelse	دیر	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
forsinkelse	رکاوٹ.	forsinkelse	رکاوٹ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forsinkelse	تاخیر	forsinkelse	تاخیر	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
skrue	موڑنا	skrue	موڑ	V;NFIN;ACT	V;NFIN;ACT
skrue	جوڑنا.	skrue	جوڑنا.	V;NFIN;ACT	V;MASC;SG;NFIN;ACT
heftig	بڑی	heftig	بڑی	ADJ;INDF;MASC+FEM;SG	ADJ;FEM
heftig	بھاری	heftig	بھاری	ADJ;INDF;MASC+FEM;SG	ADJ
bid	چارہ	bid	چارہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bid	سانپ	bid	سانپ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
marxistiske	مارکسی	marxistisk	مارکسی	ADJ;PL	ADJ
buen	کمان	bue	کمان	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
buen	شریر	bue	شریر	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
fundamentale	ابتدائی	fundamentale	ابتدائی	ADJ;PL	ADJ
fundamentale	بنیادی	fundamentale	بنیادی	ADJ;PL	ADJ
fundamentale	ابتدائی	fundamentale	ابتدائی	ADJ;PL	ADJ
fundamentale	اصلی	fundamentale	اصلی	ADJ;PL	ADJ
fundamentale	بنیادی	fundamentale	بنیادی	ADJ;PL	ADJ
beundring	تعریف	beundring	تعریف	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
grusomme	خبیث	grusom	خبیث	ADJ;PL	ADJ
forpligtelse	اصول	forpligtelse	اصول	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forpligtelse	قانون	forpligtelse	قانون	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forpligtelse	فرض	forpligtelse	فرض	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forpligtelse	اصول	forpligtelse	اصول	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forpligtelse	قانون	forpligtelse	قانون	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forpligtelse	عہد	forpligtelse	عہد	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
symbolske	علامتی	symbolsk	علامتی	ADJ;PL	ADJ
filial	دریا	filial	دریا	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
salmebog	حمدیہ	salmebog	حمدیہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
erhvervsdrivende	تجارتی	erhvervsdrivende	تجارتی	ADJ	ADJ
gødning	کھاد	gødning	کھاد	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bevidstheden	ہوش	bevidsthed	ہوش	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
bevidstheden	آگاہی	bevidsthed	آگاہی	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
farverige	روشن	farverig	روشن	ADJ;PL	ADJ
farverige	دلچسپ	farverig	دلچسپ	ADJ;PL	ADJ
farverige	روشن	farverig	روشن	ADJ;PL	ADJ
farverige	دلچسپ	farverig	دلچسپ	ADJ;PL	ADJ
mangfoldige	متنوع	mangfoldig	متنوع	ADJ;PL	ADJ
forhandling	بحث	forhandling	بحث	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
udvendige	خارجی	udvendig	خارجی	ADJ;PL	ADJ
djævelen	شخص	djævel	شخص	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
djævelen	شر	djævel	شر	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
pioneer	مقدم	pione	مقدم	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
pioneer	پیشرو	pione	پیشرو	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
potentiel	امکان	potentiel	امکان	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
loyal	وفاداری	loyal	وفاداری	ADJ;INDF;MASC+FEM;SG	ADJ
loyal	وفادار	loyal	وفادار	ADJ;INDF;MASC+FEM;SG	ADJ
intelligente	ذہین	intelligent	ذہین	ADJ;PL	ADJ
komplekst	مربوط	komplekst	مربوط	ADJ;INDF;NEUT;SG	ADJ
komplekst	مربوط	komplekst	مربوط	ADJ;INDF;NEUT;SG	ADJ
komplekst	پیچیدہ	komplekst	پیچیدہ	ADJ;INDF;NEUT;SG	ADJ
kollaps	موقوف	kollaps	موقوف	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
kollaps	تعطل	kollaps	تعطل	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
kollaps	شکستگی	kollaps	شکستگی	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
kage	انڈا	kage	انڈا	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
indeni	کمتر	indeni	کمتر	ADJ;INDF;MASC+FEM;SG	ADJ
narkotika	دوا	narkotika	دوا	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
kommunisme	اشتراکیت	kommunisme	اشتراکیت	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
ubetydelig	معمولی	ubetydelig	معمولی	ADJ;INDF;MASC+FEM;SG	ADJ
ubetydelig	لایعنی	ubetydelig	لایعنی	ADJ;INDF;MASC+FEM;SG	ADJ
ubetydelig	غیراہم	ubetydelig	غیراہم	ADJ;INDF;MASC+FEM;SG	ADJ
gris	گندہ	gris	گندہ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
villige	تیار	villig	تیار	ADJ;PL	ADJ
villige	تیار	villig	تیار	ADJ;PL	ADJ
villige	آمادہ	villig	آمادہ	ADJ;PL	ADJ
villige	راضی	villig	راضی	ADJ;PL	ADJ
vigtighed	مفاد	vigtighed	مفاد	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
vigtighed	مفہوم	vigtighed	مفہوم	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
vigtighed	وزن	vigtighed	وزن	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
vigtighed	مفاد	vigtighed	مفاد	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
vigtighed	مفہوم	vigtighed	مفہوم	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
reb	سوت	reb	سوت	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
reb	سوت	reb	سوت	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
domæne	عملداری	domæn	عملداری	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
filter	روشنی	filter	روشنی	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
