kategória	kategorie	kategória	kategorie	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
nasledujúci	následující	nasledujúci	následující	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
nasledujúci	další	nasledujúci	další	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;NOM;MASC;SG;POS
zobrazuje	ukazuje	zobrazovať	ukazovat	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
keď	když	keď	když	CONJ	CONJ
len	jen	len	jen	PART	PART
len	jenom	len	jenom	PART	PART
len	jen	len	jen	PART	PART
len	jenom	len	jenom	PART	PART
mesto	město	mesto	město	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
mesto	městečko	mesto	městečko	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
mesto	město	mesto	město	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
počas	během	počas	během	ADP;GEN	ADP;GEN
rokov	roků	rok	rok	N;INAN;GEN;MASC;PL	N;INAN;GEN;MASC;PL;POS
rokov	let	rok	rok	N;INAN;GEN;MASC;PL	N;GEN;NEUT;PL;POS
nie	ne	nie	ne	PART	PART
september	září	september	září	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
slovenský	slovenská	slovenský	slovenský	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
slovenský	slovenské	slovenský	slovenský	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
slovenský	slovenská	slovenský	slovenský	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
slovenský	slovenské	slovenský	slovenský	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
storočia	staletí	storočie	století	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
stránka	strana	stránka	strana	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
stránka	stránka	stránka	stránka	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
stránka	stránka	stránka	stránka	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
stránka	lokalita	stránka	lokalita	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
skupiny	skupiny	skupina	skupina	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
skupiny	skupinky	skupina	skupinka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
skupiny	skupiny	skupina	skupina	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
html	html	htmly	htmnout	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;POS
roka	roku	rok	rok	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
roka	roce	rok	rok	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
ktorú	kterou	ktorý	který	DET;ACC;FEM;SG	DET;ACC;FEM;SG
časť	úsek	časť	úsek	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
časť	oddíl	časť	oddíl	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
časť	sekce	časť	sekce	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
časť	part	časť	part	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
časť	část	časť	část	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
ngc	ngc	my	ngc	N;NOM;FEM;SG	N;FEM;SG;POS
október	říjen	október	říjen	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
október	říjen	október	říjen	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
mesta	město	mesto	město	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
mesta	městečko	mesto	městečko	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
mesta	město	mesto	město	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
marec	březen	marec	březen	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
marec	pochod	marec	pochod	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
august	srpen	august	srpen	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
august	srpen	august	srpen	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
skupina	skupina	skupina	skupina	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
veľmi	velice	veľmi	velice	ADV	ADV
veľmi	velmi	veľmi	velmi	ADV	ADV
potom	pak	potom	pak	ADV	ADV
oficiálna	oficiální	oficiálny	oficiální	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
oficiálna	úřední	oficiálny	úřední	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
tento	tento	tento	tento	DET;INAN;NOM;MASC;SG	DET;NOM;MASC;SG
tento	toto	tento	tento	DET;INAN;NOM;MASC;SG	DET;NOM;NEUT;SG
tento	tohle	tento	tenhle	DET;INAN;NOM;MASC;SG	DET;NOM;NEUT;SG
osobnosti	osobnosti	osobnosť	osobnost	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
osobnosti	osobnosti	osobnosť	osobnost	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
november	listopad	november	listopad	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
november	listopad	november	listopad	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
december	prosinec	december	prosinec	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
december	prosinec	december	prosinec	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
iba	jen	iba	jen	PART	PART
iba	jenom	iba	jenom	PART	PART
iba	jen	iba	jen	PART	PART
iba	jenom	iba	jenom	PART	PART
roky	léta	rok	rok	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL;POS
roky	roky	rok	rok	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
oblasti	oblasti	oblasť	oblast	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
oblasti	plochy	oblasť	plocha	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
oblasti	oblasti	oblasť	oblast	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
január	leden	január	leden	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
súbor	spis	súbor	spis	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
súbor	soubor	súbor	soubor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
mal	měl	mať	mít	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
proti	proti	proti	proti	ADP;DAT	ADP;DAT
apríl	duben	aprila	duben	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
apríl	duben	aprila	duben	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
bez	bez	bez	bez	ADP;GEN	ADP;GEN
február	únor	február	únor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
február	únor	február	únor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
náhľad	náhled	náhľad	náhled	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
náhľad	ukázka	náhľad	ukázka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
mužov	muže	muž	muž	N;ANIM;ACC;MASC;PL	N;ANIM;ACC;MASC;PL;POS
názov	jméno	názov	jméno	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
názov	jmeno	názov	jmeno	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;POS
názov	name	názov	můj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;POS
názov	název	názov	název	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
názov	nadpis	názov	nadpis	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
názov	titul	názov	titul	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
názov	název	názov	název	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
okolo	okolo	okolo	okolo	ADP;GEN	ADP;GEN
okolo	kolem	okolo	kolem	ADP;GEN	ADP;GEN
prvý	první	prvý	první	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
text	text	text	text	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
spolu	celkem	spolu	celkem	ADV	ADV
spolu	spolu	spolu	spolu	ADV	ADV
spolu	společně	spolu	společně	ADV	ADV;POS
spolu	dohromady	spolu	dohromady	ADV	ADV
okrem	kromě	okrem	kromě	ADP;GEN	ADP;GEN
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
americký	americká	americký	americký	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
americký	americký	americký	americký	ADJ;ANIM;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
júl	červenec	júl	červenec	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
cez	přes	cez	přes	ADP;ACC	ADP;ACC
cez	přes	cez	přes	ADP;ACC	ADP;ACC
asi	asi	asi	asi	PART	PART
jeden	jedno	jeden	jeden	NUM;ANIM;NOM;MASC;SG	NUM;NOM;NEUT;SG
jeden	jeden	jeden	jeden	NUM;ANIM;NOM;MASC;SG	NUM;NOM;MASC;SG
jeden	jedna	jeden	jeden	NUM;ANIM;NOM;MASC;SG	NUM;NOM;FEM;SG
objavil	objevil	objaviť	objevit	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
vojny	války	vojna	válka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
vojny	války	vojna	válka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
rok	rok	rok	rok	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
rok	ročník	rok	ročník	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
ulica	ulice	ulica	ulice	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
album	album	album	album	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
dátum	datum	dátum	datum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
dátum	rande	dátum	rande	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
tieto	tyto	tento	tento	DET;NOM;MASC;PL	DET;NOM;MASC;PL
tieto	tyhle	tento	tenhle	DET;NOM;MASC;PL	DET;NOM;MASC;PL
januára	ledna	január	leden	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
majú	mít	mať	mít	V;IPFV;IND;PL;3;POS;PRS;FIN	V;POS;NFIN
toto	tento	toto	tento	DET;NOM;NEUT;SG	DET;NOM;MASC;SG
toto	toto	toto	tento	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
toto	tohle	toto	tenhle	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
toto	toto	toto	tento	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
všetky	všechny	všetok	všechen	DET;INAN;NOM;MASC;PL	DET;NOM;MASC;PL
francúzsky	francouzština	francúzsky	francouzština	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
francúzsky	francouz	francúzsky	francouz	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
mestá	města	mesto	město	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
mestá	velkoměsta	mesto	velkoměsto	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
mestá	města	mesto	město	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
svoje	jeho	svoj	jeho	DET;ACC;NEUT;SG;REFL	DET;3
žije	žije	žiť	žít	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
český	česká	český	český	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
český	české	český	český	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
český	česko	český	český	ADJ;ANIM;NOM;MASC;SG	ADJ;POS
často	často	často	často	ADV	ADV;POS
často	mnohdy	často	mnohdy	ADV	ADV
často	často	často	často	ADV	ADV;POS
niekoľko	několik	niekoľko	několik	DET;NOM;NEUT;SG	DET;NOM
šablóny	šablony	šablón	šablon	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
šablóny	šablony	šablón	šablon	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
dnes	dneska	dnes	dneska	ADV	ADV
dnes	dnes	dnes	dnes	ADV	ADV
slovensko	slovakia	slovensko	slovakium	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
pretože	protože	pretože	protože	CONJ	CONJ
nové	nový	nový	nový	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
nové	nová	nový	nový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
ďalšie	dodatečná	ďalší	dodatečný	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
ďalšie	dodatečné	ďalší	dodatečný	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
ďalšie	doplňková	ďalší	doplňkový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
ďalšie	další	ďalší	další	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
ďalšie	jiná	ďalší	jiný	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
ďalšie	jiné	ďalší	jiný	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
ďalšie	jiný	ďalší	jiný	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS
ďalšie	další	ďalší	další	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
meno	jméno	meno	jméno	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
meno	jmeno	meno	jmeno	N;NOM;NEUT;SG	N;NOM;MASC;SG;POS
meno	name	meno	můj	N;NOM;NEUT;SG	N;NOM;MASC;SG;POS
meno	název	meno	název	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
dve	dva	dva	dva	NUM;NOM;FEM;PL	NUM;NOM;MASC;PL
dve	dvě	dva	dva	NUM;NOM;FEM;PL	NUM;NOM;PL
dva	dva	dva	dva	NUM;INAN;NOM;MASC;PL	NUM;NOM;MASC;PL
dva	dvě	dva	dva	NUM;INAN;NOM;MASC;PL	NUM;NOM;PL
mala	měl	mať	mít	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
približne	zhruba	približne	zhruba	ADV	ADV
približne	přibližně	približne	přibližně	ADV	ADV;POS
približne	přibližně	približne	přibližně	ADV	ADV;POS
táto	tento	táto	tento	DET;NOM;FEM;SG	DET;NOM;MASC;SG
táto	toto	táto	tento	DET;NOM;FEM;SG	DET;NOM;NEUT;SG
táto	tohle	táto	tenhle	DET;NOM;FEM;SG	DET;NOM;NEUT;SG
prvé	první	prvý	první	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
tri	tři	tri	tři	NUM;INAN;NOM;MASC;PL	NUM;NOM;PL
začal	začalo	začať	začít	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
začal	začal	začať	začít	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
začal	začal	začať	začít	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
začal	začalo	začať	začít	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
film	film	film	film	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
film	film	film	film	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
spoločnosti	společnosti	spoločnosť	společnost	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
spoločnosti	společnosti	spoločnosť	společnost	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
spoločnosti	firmy	spoločnosť	firma	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
patrí	patří	patriť	patřit	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
slovenská	slovenská	slovenský	slovenský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
slovenská	slovenské	slovenský	slovenský	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
strany	stránky	strana	stránka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
strany	večírky	strana	večírka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
strany	strany	strana	strana	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
svg	svg	svg	svgj	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
slovensky	česky	slovensky	česky	ADV	ADV;POS
slovensky	anglicky	slovensky	anglicky	ADV	ADV;POS
prvá	první	prvý	první	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
nemecký	německý	nemecký	německý	ADJ;ANIM;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
nemecký	německá	nemecký	německý	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
storočí	století	storočie	století	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
storočí	století	storočie	století	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
hlavne	hlavně	hlavne	hlavně	ADV	ADV;POS
hlavne	převážně	hlavne	převážně	ADV	ADV;POS
hlavne	zvlášť	hlavne	zvlášť	ADV	ADV
hlavne	hlavně	hlavne	hlavně	ADV	ADV;POS
hlavne	obzvlášť	hlavne	obzvlášť	ADV	ADV
hlavne	zejména	hlavne	zejména	ADV	ADV
hlavne	zvláště	hlavne	zvláště	ADV	ADV
hlavne	většinou	hlavne	většinou	ADV	ADV
hlavne	hlavně	hlavne	hlavně	ADV	ADV;POS
hlavne	převážně	hlavne	převážně	ADV	ADV;POS
astronóm	astronom	astronó	astronom	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
rod	tyč	rod	tyč	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
titul	nadpis	tituť	nadpis	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
titul	titul	tituť	titul	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
titul	název	tituť	název	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
kostol	kostel	kostol	kostel	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
kostol	církev	kostol	církev	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
republiky	republiky	republika	republika	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
ženy	ženy	žena	žena	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
ženy	ženy	žena	žena	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
ďalej	dále	ďalej	dále	ADV	ADV
ďalej	dále	ďalej	dále	ADV	ADV
kedy	kdy	kedy	kdy	ADV	ADV
územia	teritoria	územie	teritorium	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
systém	systém	systém	systém	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
systém	system	systém	system	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
potok	potok	potok	potok	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
potok	stream	potok	stream	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
latinsky	latinsky	latinsky	latinsky	ADV	ADV;POS
góly	cíle	góla	cíl	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
góly	branky	góla	branka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
góly	góly	góla	gól	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
spisovateľ	spisovatel	spisovateľ	spisovatel	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
spisovateľ	autor	spisovateľ	autor	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
spisovateľ	spisovatelka	spisovateľ	spisovatelka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
pôvodne	původně	pôvodne	původně	ADV	ADV;POS
pôvodne	zpočátku	pôvodne	zpočátku	ADV	ADV
pôvodne	původně	pôvodne	původně	ADV	ADV;POS
