els	the	el	the	DET;DEF;MASC;PL	DET;DEF
rei	king	rei	king	N;MASC;SG	N;SG
francès	french	francès	french	ADJ;MASC;SG	ADJ
mentre	while	mentre	while	CONJ	CONJ
nombre	number	nombre	number	N;MASC;SG	N;SG
edició	editing	edició	editing	N;FEM;SG	N;SG
edició	publishing	edició	publish	N;FEM;SG	N;SG
renda	rent	renda	rent	N;FEM;SG	N;SG
quatre	four	quatre	four	NUM;PL	NUM
partit	party	partit	party	N;MASC;SG	N;SG
fill	son	fill	son	N;MASC;SG	N;SG
nou	new	nou	new	ADJ;MASC;SG	ADJ
principal	main	principal	main	ADJ;SG	ADJ
color	color	color	color	N;MASC;SG	N;SG
color	colour	color	colour	N;MASC;SG	N;SG
món	world	món	world	N;MASC;SG	N;SG
empresa	company	empresa	company	N;FEM;SG	N;SG
abans	before	abans	before	ADV	ADV
edat	age	edat	age	N;FEM;SG	N;SG
web	web	web	web	N;SG	N;SG
església	church	església	church	N;FEM;SG	N;SG
casa	house	casa	house	N;FEM;SG	N;SG
història	story	història	story	N;FEM;SG	N;SG
història	history	història	history	N;FEM;SG	N;SG
govern	government	govern	government	N;MASC;SG	N;SG
vida	life	vida	life	N;FEM;SG	N;SG
tipus	type	tipus	type	N;MASC	N;SG
habitatge	housing	habitatge	housing	N;MASC;SG	N;SG
diferents	different	diferent	different	ADJ;PL	ADJ
català	catalan	català	catalan	ADJ;MASC;SG	ADJ
títol	title	títol	title	N;MASC;SG	N;SG
què	what	què	what	PRO;SG	PRO
nacional	national	nacional	national	ADJ;SG	ADJ
major	major	major	major	ADJ;SG	ADJ
poble	village	poble	village	N;MASC;SG	N;SG
centre	center	centre	center	N;MASC;SG	N;SG
centre	centre	centre	centre	N;MASC;SG	N;SG
perquè	because	perquè	because	CONJ	CONJ
riu	river	riu	river	N;MASC;SG	N;SG
millor	best	millor	best	ADJ;SG	ADJ;RL
sistema	system	sistema	system	N;MASC;SG	N;SG
diverses	several	divers	several	ADJ;FEM;PL	ADJ
total	total	total	total	ADJ;SG	ADJ
universitat	university	universitat	university	N;FEM;SG	N;SG
dia	day	dia	day	N;MASC;SG	N;SG
data	date	data	date	N;FEM;SG	N;SG
departament	department	departament	department	N;MASC;SG	N;SG
construcció	construction	construcció	construction	N;FEM;SG	N;SG
premi	prize	premi	prize	N;MASC;SG	N;SG
premi	award	premi	award	N;MASC;SG	N;SG
escola	school	escola	school	N;FEM;SG	N;SG
cinc	five	cinc	five	NUM;PL	NUM
principals	main	principal	main	ADJ;PL	ADJ
font	source	font	source	N;FEM;SG	N;SG
zona	zone	zona	zone	N;FEM;SG	N;SG
grans	large	gran	large	ADJ;PL	ADJ
central	central	central	central	ADJ;SG	ADJ
província	province	província	province	N;FEM;SG	N;SG
superfície	surface	superfície	surface	N;FEM;SG	N;SG
cens	census	cens	census	N;MASC;SG	N;SG
equip	team	equip	team	N;MASC;SG	N;SG
ara	now	ara	now	ADV	ADV
punt	punt	punt	punt	N;MASC;SG	N;SG
punt	point	punt	point	N;MASC;SG	N;SG
actualment	currently	actualment	currently	ADV	ADV
unitats	units	unitat	unit	N;FEM;PL	N;PL
activitats	activities	activitat	activity	N;FEM;PL	N;PL
article	article	article	article	N;MASC;SG	N;SG
exèrcit	army	exèrcit	army	N;MASC;SG	N;SG
música	music	música	music	N;FEM;SG	N;SG
aigua	water	aigua	water	N;FEM;SG	N;SG
increment	increase	increment	increase	N;MASC;SG	N;SG
llavors	then	llavors	then	ADV	ADV
art	art	art	art	N;MASC;SG	N;SG
club	club	club	club	N;MASC;SG	N;SG
etapa	stage	etapa	stage	N;FEM;SG	N;SG
donar	give	donar	give	V;NFIN	V;IMP;FIN
cosa	thing	cosa	thing	N;FEM;SG	N;SG
ell	him	ell	he	PRO;MASC;SG;3	PRO;ACC;MASC;SG;3
llista	list	llista	list	N;FEM;SG	N;SG
important	important	important	important	ADJ;SG	ADJ
servei	service	servei	service	N;MASC;SG	N;SG
serveis	services	servei	service	N;MASC;PL	N;PL
morir	die	morir	die	V;NFIN	V;IMP;FIN
piràmide	pyramid	piràmide	pyramid	N;FEM;SG	N;SG
antic	old	antic	old	ADJ;MASC;SG	ADJ
plaça	plaza	plaça	plaza	N;FEM;SG	N;SG
comtat	county	comtar	county	N;MASC;SG	N;SG
pare	father	pare	father	N;MASC;SG	N;SG
pare	parent	pare	parent	N;MASC;SG	N;SG
informació	information	informació	information	N;FEM;SG	N;SG
mar	sea	mar	sea	N;SG	N;SG
actual	current	actual	current	ADJ;SG	ADJ
castell	castle	castell	castle	N;MASC;SG	N;SG
països	countries	país	country	N;MASC;PL	N;PL
moment	moment	moment	moment	N;MASC;SG	N;SG
illa	island	illa	island	N;FEM;SG	N;SG
període	period	període	period	N;MASC;SG	N;SG
territori	territory	territori	territory	N;MASC;SG	N;SG
internacional	international	internacional	international	ADJ;SG	ADJ
premis	awards	premi	award	N;MASC;PL	N;PL
premis	prizes	premi	prize	N;MASC;PL	N;PL
museu	museum	museu	museum	N;MASC;SG	N;SG
establiments	establishments	establiment	establishment	N;MASC;PL	N;PL
edats	ages	edat	age	N;FEM;PL	N;PL
districte	district	districte	district	N;MASC;SG	N;SG
dies	days	dia	day	N;MASC;PL	N;PL
camp	field	camp	field	N;MASC;SG	N;SG
camp	camp	camp	camp	N;MASC;SG	N;SG
capital	capital	capital	capital	N;MASC;SG	N;SG
alt	high	alt	high	ADJ;MASC;SG	ADJ
edifici	building	edifici	building	N;MASC;SG	N;SG
metres	meters	metre	meter	N;MASC;PL	N;PL
metres	metres	metre	metre	N;MASC;PL	N;PL
finalment	finally	finalment	finally	ADV	ADV
costat	side	costat	side	N;MASC;SG	N;SG
planta	plant	planta	plant	N;FEM;SG	N;SG
gènere	genre	gènere	genre	N;MASC;SG	N;SG
gènere	gender	gènere	gender	N;MASC;SG	N;SG
vegades	times	vegada	time	N;FEM;PL	N;PL
majoria	majority	majoria	majority	N;FEM;SG	N;SG
natural	natural	natural	natural	ADJ;SG	ADJ
unió	union	unió	union	N;FEM;SG	N;SG
tard	late	tard	late	ADV	ADV
director	director	director	director	N;MASC;SG	N;SG
distribució	distribution	distribució	distribution	N;FEM;SG	N;SG
origen	origin	origen	origin	N;MASC;SG	N;SG
persona	person	persona	person	N;FEM;SG	N;SG
cos	body	cos	body	N;MASC;SG	N;SG
espècies	species	espècie	species	N;FEM;PL	N;PL
cases	houses	casa	house	N;FEM;PL	N;PL
batalla	battle	batalla	battle	N;FEM;SG	N;SG
classificació	classification	classificació	classification	N;FEM;SG	N;SG
cop	cop	cop	cop	N	N;SG
fitxer	file	fitxer	file	N;MASC;SG	N;SG
peix	fish	peix	fish	N;MASC;SG	N;SG
militar	military	militar	military	ADJ;SG	ADJ
popular	popular	popular	popular	ADJ;SG	ADJ
temporada	season	temporada	season	N;FEM;SG	N;SG
treball	job	treball	job	N;MASC;SG	N;SG
treball	work	treball	work	N;MASC;SG	N;SG
mare	mother	mare	mother	N;FEM;SG	N;SG
estudis	studies	estudi	study	N;MASC;PL	N;PL
eleccions	elections	elecció	election	N;FEM;PL	N;PL
articles	articles	article	article	N;MASC;PL	N;PL
discussió	discussion	discussió	discussion	N;FEM;SG	N;SG
posteriorment	subsequently	posteriorment	subsequently	ADV	ADV
llibre	book	llibre	book	N;MASC;SG	N;SG
estil	style	estil	style	N;MASC;SG	N;SG
moviment	movement	moviment	movement	N;MASC;SG	N;SG
imperi	empire	imperi	empire	N;MASC;SG	N;SG
divisió	division	divisió	division	N;FEM;SG	N;SG
membre	member	membre	member	N;MASC;SG	N;SG
sempre	always	sempre	always	ADV	ADV
teatre	theater	teatre	theater	N;MASC;SG	N;SG
teatre	theatre	teatre	theatre	N;MASC;SG	N;SG
membres	members	membre	member	N;MASC;PL	N;PL
ells	them	ell	they	PRO;MASC;PL;3	PRO;ACC;PL;3
resta	subtraction	resta	subtraction	N;FEM;SG	N;SG
acord	agreement	acord	agreement	N;MASC;SG	N;SG
jocs	games	joc	game	N;MASC;PL	N;PL
rebre	receive	rebre	receive	V;NFIN	V;IMP;FIN
rebre	receiving	rebre	receive	V;NFIN	V;V.MSDR
illes	islands	illa	island	N;FEM;PL	N;PL
illes	isles	illa	isle	N;FEM;PL	N;PL
alta	high	alt	high	ADJ;FEM;SG	ADJ
posició	position	posició	position	N;FEM;SG	N;SG
espanyol	spanish	espanyol	spanish	ADJ;MASC;SG	ADJ
sovint	often	sovint	often	ADV	ADV
opció	option	opció	option	N;FEM;SG	N;SG
germà	brother	germà	brother	N;MASC;SG	N;SG
comunes	common	comú	common	ADJ;FEM;PL	ADJ
material	material	material	material	N;MASC;SG	N;SG
superior	superior	superior	superior	ADJ;SG	ADJ
nivell	level	nivell	level	N;MASC;SG	N;SG
crear	create	crear	create	V;NFIN	V;IMP;FIN
consell	council	consell	council	N;MASC;SG	N;SG
consell	hint	consell	hint	N;MASC;SG	N;SG
futbol	football	futbol	football	N;MASC;SG	N;SG
antiga	former	antic	former	ADJ;FEM;SG	ADJ
finals	finals	final	final	N;MASC;PL	N;PL
finals	endings	final	ending	N;MASC;PL	N;PL
paper	paper	paper	paper	N;MASC;SG	N;SG
únic	unique	únic	unique	ADJ;MASC;SG	ADJ
institut	institute	institut	institute	N;MASC;SG	N;SG
cultura	culture	cultura	culture	N;FEM;SG	N;SG
espai	space	espai	space	N;MASC;SG	N;SG
equips	teams	equip	team	N;MASC;PL	N;PL
pau	peace	pau	peace	N;FEM;SG	N;SG
qualsevol	any	qualsevol	any	DET;SG	DET
civil	civil	civil	civil	ADJ;SG	ADJ
civil	civilian	civil	civilian	ADJ;SG	ADJ
torre	tower	torre	tower	N;FEM;SG	N;SG
comerç	trade	comerç	trade	N;MASC;SG	N;SG
carrer	street	carrer	street	N;MASC;SG	N;SG
direcció	direction	direcció	direction	N;FEM;SG	N;SG
nens	kids	nen	kid	N;MASC;PL	N;PL
nens	children	nen	child	N;MASC;PL	N;PL
elements	items	element	item	N;MASC;PL	N;PL
elements	elements	element	element	N;MASC;PL	N;PL
mapa	map	mapa	map	N;MASC;SG	N;SG
especialment	especially	especialment	especially	ADV	ADV
procés	process	procés	process	N;MASC;SG	N;SG
versió	version	versió	version	N;FEM;SG	N;SG
occidental	occidental	occidental	occidental	ADJ;SG	ADJ
municipal	municipal	municipal	municipal	ADJ;SG	ADJ
vall	valley	vall	valley	N;FEM;SG	N;SG
local	local	local	local	ADJ;SG	ADJ
guanyar	win	guanyar	win	V;NFIN	V;IMP;FIN
desenvolupament	development	desenvolupament	development	N;MASC;SG	N;SG
vertical	vertical	vertical	vertical	ADJ;SG	ADJ
set	seven	set	seven	NUM;PL	NUM
grups	groups	grup	group	N;MASC;PL	N;PL
campionat	championship	campionat	championship	N;MASC;SG	N;SG
pla	plan	pla	plan	N;MASC;SG	N;SG
original	original	original	original	ADJ;SG	ADJ
projecte	project	projecte	project	N;MASC;SG	N;SG
situació	situation	situació	situation	N;FEM;SG	N;SG
carrera	career	carrera	career	N;FEM;SG	N;SG
alemany	german	alemany	german	ADJ;MASC;SG	ADJ
oriental	oriental	oriental	oriental	ADJ;SG	ADJ
filla	daughter	filla	daughter	N;FEM;SG	N;SG
societat	society	societat	society	N;FEM;SG	N;SG
sis	six	sis	six	NUM;PL	NUM
forces	forces	força	force	N;FEM;PL	N;PL
real	real	real	real	ADJ;SG	ADJ
èxit	success	èxit	success	N;MASC;SG	N;SG
social	social	social	social	ADJ;SG	ADJ
relació	relationship	relació	relationship	N;FEM;SG	N;SG
punts	dots	punt	dot	N;MASC;PL	N;PL
punts	points	punt	point	N;MASC;PL	N;PL
densitat	density	densitat	density	N;FEM;SG	N;SG
clubs	clubs	club	club	N;MASC;PL	N;PL
imatge	image	imatge	image	N;FEM;SG	N;SG
producció	production	producció	production	N;FEM;SG	N;SG
pedra	stone	pedra	stone	N;FEM;SG	N;SG
cultural	cultural	cultural	cultural	ADJ;SG	ADJ
home	man	home	man	N;MASC;SG	N;SG
administració	administration	administració	administration	N;FEM;SG	N;SG
resultats	results	resultat	result	N;MASC;PL	N;PL
gràcies	thanks	gràcies	thanks	N	N;SG
econòmiques	economic	econòmic	economic	ADJ;FEM;PL	ADJ
automòbils	cars	automòbil	car	N;MASC;PL	N;PL
escut	shield	escat	shield	N;MASC;SG	N;SG
autor	author	autor	author	N;MASC;SG	N;SG
productes	products	producte	product	N;MASC;PL	N;PL
ciutats	cities	ciutat	city	N;FEM;PL	N;PL
gairebé	almost	gairebé	almost	ADV	ADV
categoria	category	categoria	category	N;FEM;SG	N;SG
partits	matches	partit	match	N;MASC;PL	N;PL
estudi	study	estudi	study	N;MASC;SG	N;SG
estudi	studio	estudi	studio	N;MASC;SG	N;SG
muntanya	mountain	muntanya	mountain	N;FEM;SG	N;SG
apareix	appears	aparèixer	appear	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sobretot	especially	sobretot	especially	ADV	ADV
longitud	length	longitud	length	N;FEM;SG	N;SG
longitud	longitude	longitud	longitude	N;FEM;SG	N;SG
reparació	repair	reparació	repair	N;FEM;SG	N;SG
propietaris	owners	propietari	owner	N;MASC;PL	N;PL
comunitat	community	comunitat	community	N;FEM;SG	N;SG
fons	fons	fon	fon	N;MASC;PL	N;PL
milions	millions	milió	million	N;MASC;PL	N;PL
revista	magazine	revista	magazine	N;FEM;SG	N;SG
familiars	relatives	familiar	relative	N;PL	N;PL
elaboració	preparation	elaboració	preparation	N;FEM;SG	N;SG
sexe	sex	sexe	sex	N;MASC;SG	N;SG
camí	path	camí	path	N;MASC;SG	N;SG
estadístiques	statistics	estadística	statistic	N;FEM;PL	N;PL
campió	champion	campió	champion	N;MASC;SG	N;SG
control	control	control	control	N;MASC;SG	N;SG
principalment	mainly	principalment	mainly	ADV	ADV
llei	law	llei	law	N;FEM;SG	N;SG
interès	interest	interès	interest	N;MASC;SG	N;SG
participar	participate	participar	participate	V;NFIN	V;IMP;FIN
anual	annual	anual	annual	ADJ;SG	ADJ
llocs	places	lloc	place	N;MASC;PL	N;PL
mai	never	mai	never	ADV	ADV
ministre	minister	ministre	minister	N;MASC;SG	N;SG
alçada	height	alçada	height	N;FEM;SG	N;SG
funció	function	funció	function	N;FEM;SG	N;SG
dècada	decade	dècada	decade	N;FEM;SG	N;SG
activitat	activity	activitat	activity	N;FEM;SG	N;SG
presenta	presents	presentar	present	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
anterior	previous	anterior	previous	ADJ;SG	ADJ
tour	tour	tour	tour	N;MASC;SG	N;SG
ella	she	ell	she	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
ella	her	ell	she	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
públic	public	públic	public	ADJ;MASC;SG	ADJ
programa	program	programa	program	N;MASC;SG	N;SG
programa	programme	programa	programme	N;MASC;SG	N;SG
façana	facade	façana	facade	N;FEM;SG	N;SG
cinema	cinema	cinema	cinema	N;MASC;SG	N;SG
petita	small	petit	small	ADJ;FEM;SG	ADJ
tropes	troops	tropa	troops	N;FEM;PL	N;PL
construir	build	construir	build	V;NFIN	V;IMP;FIN
fundació	foundation	fundació	foundation	N;FEM;SG	N;SG
podria	could	poder	could	V;COND;SG;3;FIN	V;FIN
patrimoni	heritage	patrimoni	heritage	N;MASC;SG	N;SG
zones	areas	zona	area	N;FEM;PL	N;PL
realitzar	perform	realitzar	perform	V;NFIN	V;IMP;FIN
àrea	area	àrea	area	N;FEM;SG	N;SG
medalla	medal	medalla	medal	N;FEM;SG	N;SG
aproximadament	roughly	aproximadament	roughly	ADV	ADV
aproximadament	approximately	aproximadament	approximately	ADV	ADV
pobresa	poverty	pobresa	poverty	N;FEM;SG	N;SG
formació	training	formació	training	N;FEM;SG	N;SG
backgroundcolors	backgroundcolors	backgroundccol	backgroundcolor	N;MASC;PL	N;PL
organització	organization	organització	organization	N;FEM;SG	N;SG
resultat	result	resultat	result	N;MASC;SG	N;SG
possible	possible	possible	possible	ADJ;SG	ADJ
mesos	months	mes	month	N;MASC;PL	N;PL
terres	lands	terra	land	N;FEM;PL	N;PL
professor	professor	professor	professor	N;MASC;SG	N;SG
valencià	valencian	valencià	valencian	ADJ;MASC;SG	ADJ
musical	musical	musical	musical	ADJ;SG	ADJ
joc	game	joc	game	N;MASC;SG	N;SG
llengües	languages	llengua	language	N;FEM;PL	N;PL
transport	transportation	transport	transportation	N;MASC;SG	N;SG
transport	transport	transport	transport	N;MASC;SG	N;SG
creació	creation	creació	creation	N;FEM;SG	N;SG
grec	greek	grec	greek	ADJ;MASC;SG	ADJ
caps	heads	cap	head	N;MASC;PL	N;PL
model	model	model	model	N;MASC;SG	N;SG
jugador	player	jugador	player	N;MASC;SG	N;SG
municipis	municipalities	municipi	municipality	N;MASC;PL	N;PL
llindar	threshold	llindar	threshold	N;MASC;SG	N;SG
pàrquing	parking	pàrquing	parking	N;MASC;SG	N;SG
restauració	restoration	restauració	restoration	N;FEM;SG	N;SG
principis	principles	principi	principle	N;MASC;PL	N;PL
escriptor	writer	escriptor	writer	N;MASC;SG	N;SG
naixement	birth	naixement	birth	N;MASC;SG	N;SG
estiu	summer	estiu	summer	N;MASC;SG	N;SG
parts	parts	part	part	N;FEM;PL	N;PL
parts	parties	part	party	N;FEM;PL	N;PL
residències	residences	residència	residence	N;FEM;PL	N;PL
probablement	probably	probablement	probably	ADV	ADV
italià	italian	italià	italian	ADJ;MASC;SG	ADJ
mestre	master	mestre	master	N;MASC;SG	N;SG
plantes	plants	planta	plant	N;FEM;PL	N;PL
fabricació	manufacture	fabricació	manufacture	N;FEM;SG	N;SG
fabricació	manufacturing	fabricació	manufacturing	N;FEM;SG	N;SG
fabricació	fabrication	fabricació	fabrication	N;FEM;SG	N;SG
explotacions	farms	explotació	farm	N;FEM;PL	N;PL
romà	roman	romà	roman	ADJ;MASC;SG	ADJ
número	number	número	number	N;MASC;SG	N;SG
ruta	route	ruta	route	N;FEM;SG	N;SG
entrada	entry	entrada	entry	N;FEM;SG	N;SG
caràcter	character	caràcter	character	N;MASC;SG	N;SG
companyia	company	companyia	company	N;FEM;SG	N;SG
deu	ten	deu	ten	NUM;PL	NUM
reis	kings	rei	king	N;MASC;PL	N;PL
port	port	port	port	N;MASC;SG	N;SG
restes	remains	resta	remains	N;FEM;PL	N;PL
portar	carry	portar	carry	V;NFIN	V;IMP;FIN
conca	basin	conca	basin	N;FEM;SG	N;SG
parc	park	parc	park	N;MASC;SG	N;SG
festival	festival	festival	festival	N;MASC;SG	N;SG
arts	arts	art	art	N;FEM;PL	N;PL
gratuït	free	gratuït	free	ADJ;MASC;SG	ADJ
drets	rights	dret	rights	N;MASC;PL	N;PL
llibres	books	llibre	book	N;MASC;PL	N;PL
inclou	includes	incloure	include	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
compositor	composer	compositor	composer	N;MASC;SG	N;SG
capella	chapel	capella	chapel	N;FEM;SG	N;SG
bona	good	bo	good	ADJ;FEM;SG	ADJ
personatges	characters	personatge	character	N;MASC;PL	N;PL
teoria	theory	teoria	theory	N;FEM;SG	N;SG
comunicació	communication	comunicació	communication	N;FEM;SG	N;SG
blanc	white	blanc	white	ADJ;MASC;SG	ADJ
massachusetts	massachusetts	massachusett	massachusett	N;MASC;PL	N;PL
meitat	half	meitat	half	N;FEM;SG	N;SG
lliure	free	lliure	free	ADJ;SG	ADJ
aleshores	then	aleshores	then	ADV	ADV
pobles	peoples	poble	people	N;MASC;PL	N;PL
presència	presence	presència	presence	N;FEM;SG	N;SG
televisió	television	televisió	television	N;FEM;SG	N;SG
últim	last	últim	last	ADJ;MASC;SG	ADJ
tema	topic	tema	topic	N;MASC;SG	N;SG
tema	theme	tema	theme	N;MASC;SG	N;SG
humans	human	humà	human	ADJ;MASC;PL	ADJ
estació	station	estació	station	N;FEM;SG	N;SG
associació	association	associació	association	N;FEM;SG	N;SG
pintor	painter	pintor	painter	N;MASC;SG	N;SG
menor	minor	menor	minor	ADJ;SG	ADJ
problemes	problems	problema	problem	N;MASC;PL	N;PL
objectiu	goal	objectiu	goal	N;MASC;SG	N;SG
national	national	national	national	ADJ;SG	ADJ
acció	action	acció	action	N;FEM;SG	N;SG
ocupació	occupation	ocupació	occupation	N;FEM;SG	N;SG
mascles	males	mascle	male	N;MASC;PL	N;PL
casos	cases	cas	case	N;MASC;PL	N;PL
fonts	sources	font	source	N;FEM;PL	N;PL
noves	new	nou	new	ADJ;FEM;PL	ADJ
pont	bridge	pont	bridge	N;MASC;SG	N;SG
imatges	images	imatge	image	N;FEM;PL	N;PL
velocitat	velocity	velocitat	velocity	N;FEM;SG	N;SG
velocitat	speed	velocitat	speed	N;FEM;SG	N;SG
valor	value	valor	value	N;MASC;SG	N;SG
qualitat	quality	qualitat	quality	N;FEM;SG	N;SG
generalitat	generalitat	generalitat	generalitat	N;FEM;SG	N;SG
generalitat	generality	generalitat	generality	N;FEM;SG	N;SG
professional	professional	professional	professional	ADJ;SG	ADJ
referències	references	referència	reference	N;FEM;PL	N;PL
temple	temple	temple	temple	N;MASC;SG	N;SG
vista	view	vista	view	N;FEM;SG	N;SG
museum	museum	museum	museum	N;MASC;SG	N;SG
aquí	here	aquí	here	ADV	ADV
energia	energy	energia	energy	N;FEM;SG	N;SG
classe	class	classe	class	N;FEM;SG	N;SG
dinastia	dynasty	dinastia	dynasty	N;FEM;SG	N;SG
barri	neighborhood	barri	neighborhood	N;MASC;SG	N;SG
segles	centuries	segle	century	N;MASC;PL	N;PL
recent	recent	recent	recent	ADJ;SG	ADJ
monestir	monastery	monestir	monastery	N;MASC;SG	N;SG
animals	animals	animal	animal	N;PL	N;PL
parlament	parliament	parlament	parliament	N;MASC;SG	N;SG
educació	education	educació	education	N;FEM;SG	N;SG
característiques	features	característica	feature	N;FEM;PL	N;PL
actor	actor	actor	actor	N;MASC;SG	N;SG
influència	influence	influència	influence	N;FEM;SG	N;SG
accés	access	accés	access	N;MASC;SG	N;SG
conté	contains	contenir	contain	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
especial	special	especial	special	ADJ;SG	ADJ
xarxa	network	xarxa	network	N;FEM;SG	N;SG
nucli	nucleus	nucli	nucleus	N;MASC;SG	N;SG
nucli	kernel	nucli	kernel	N;MASC;SG	N;SG
mesura	measurement	mesura	measurement	N;FEM;SG	N;SG
mesura	measure	mesura	measure	N;FEM;SG	N;SG
sala	room	sala	room	N;FEM;SG	N;SG
literatura	literature	literatura	literature	N;FEM;SG	N;SG
clima	climate	clima	climate	N;MASC;SG	N;SG
selecció	selection	selecció	selection	N;FEM;SG	N;SG
domini	domain	domini	domain	N;MASC;SG	N;SG
fort	strong	fort	strong	ADJ;MASC;SG	ADJ
canal	canal	canal	canal	N;MASC;SG	N;SG
canal	channel	canal	channel	N;MASC;SG	N;SG
quantitat	amount	quantitat	amount	N;FEM;SG	N;SG
quantitat	quantity	quantitat	quantity	N;FEM;SG	N;SG
secció	section	secció	section	N;FEM;SG	N;SG
acadèmia	academy	acadèmia	academy	N;FEM;SG	N;SG
cançó	song	cançó	song	N;FEM;SG	N;SG
capacitat	capacity	capacitat	capacity	N;FEM;SG	N;SG
normalment	usually	normalment	usually	ADV	ADV
normalment	normally	normalment	normally	ADV	ADV
generalment	generally	generalment	generally	ADV	ADV
ocupar	occupy	ocupar	occupy	V;NFIN	V;IMP;FIN
noms	names	nom	name	N;MASC;PL	N;PL
sistemes	systems	sistema	system	N;MASC;PL	N;PL
disseny	design	disseny	design	N;MASC;SG	N;SG
pintura	painting	pintura	painting	N;FEM;SG	N;SG
coll	neck	coll	neck	N;MASC;SG	N;SG
senyor	lord	senyor	lord	N;MASC;SG	N;SG
hectàrees	hectares	hectàrea	hectare	N;FEM;PL	N;PL
biblioteca	library	biblioteca	library	N;FEM;SG	N;SG
territoris	territories	territori	territory	N;MASC;PL	N;PL
esdevenir	becoming	esdevenir	become	V;NFIN	V;V.MSDR
rus	russian	rus	russian	ADJ;MASC;SG	ADJ
genera	generates	generar	generate	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
formes	forms	forma	form	N;FEM;PL	N;PL
formes	shapes	forma	shape	N;FEM;PL	N;PL
campanya	campaign	campanya	campaign	N;FEM;SG	N;SG
alcalde	mayor	alcalde	mayor	N;MASC;SG	N;SG
mes	month	mes	month	N;MASC;SG	N;SG
recerca	research	recerca	research	N;FEM;SG	N;SG
carretera	road	carretera	road	N;FEM;SG	N;SG
relacions	relationships	relació	relationship	N;FEM;PL	N;PL
relacions	relations	relació	relation	N;FEM;PL	N;PL
fusta	wood	fusta	wood	N;FEM;SG	N;SG
potser	maybe	potser	maybe	ADV	ADV
britànic	british	britànic	british	ADJ;MASC;SG	ADJ
importància	importance	importància	importance	N;FEM;SG	N;SG
aigües	waters	aigua	water	N;FEM;PL	N;PL
independència	independence	independència	independence	N;FEM;SG	N;SG
propi	own	propi	own	ADJ;MASC;SG	ADJ
industrials	industrial	industrial	industrial	ADJ;PL	ADJ
etapes	stages	etapa	stage	N;FEM;PL	N;PL
personatge	character	personatge	character	N;MASC;SG	N;SG
aire	air	aire	air	N;MASC;SG	N;SG
petites	small	petit	small	ADJ;FEM;PL	ADJ
unitat	unit	unitat	unit	N;FEM;SG	N;SG
atac	attack	atac	attack	N;MASC;SG	N;SG
diari	newspaper	diari	newspaper	N;MASC;SG	N;SG
diari	journal	diari	journal	N;MASC;SG	N;SG
diari	diary	diari	diary	N;MASC;SG	N;SG
peces	tracks	peça	track	N;PL	N;PL
peces	pieces	peça	piece	N;PL	N;PL
diferència	difference	diferència	difference	N;FEM;SG	N;SG
