aliado	حليف	aliado	حَلِيف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
intenso	مكثف	intenso	مُكَثَّف	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
intenso	مكثفة	intenso	مُكَثَّف	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
intenso	مكثفة	intenso	مُكَثَّف	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
intenso	مكثف	intenso	مُكَثَّف	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
shows	عروض	show	عَرض	N;MASC;PL	N;NOM;INDF;PL
shows	العروض	show	عَرض	N;MASC;PL	N;NOM;DEF;PL
name	اسم	name	اِسم	N	N;NOM;INDF;SG
name	الاسم	name	اِسم	N	N;NOM;DEF;SG
consulado	القنصلية	consulado	قُنصُلِيَّة	N;MASC;SG	N;NOM;DEF;SG
autorización	تصريح	autorización	تَصرِيح	N;FEM;SG	N;NOM;INDF;SG
autorización	الاذن	autorización	اَلذَذِن	N;FEM;SG	N;NOM;DEF;SG
autorización	تصريح	autorización	تَصرِيح	N;FEM;SG	N;NOM;INDF;SG
autorización	تفويض	autorización	تَفوِيض	N;FEM;SG	N;NOM;INDF;SG
autorización	الترخيص	autorización	تَرخِيص	N;FEM;SG	N;NOM;DEF;SG
esquí	التزحلق	esquí	تَزَحُّل	N;MASC;SG	N;NOM;DEF;SG
esquí	التزلج	esquí	تَزَلُّج	N;MASC;SG	N;NOM;DEF;SG
envía	يرسل	enviar	أَرسَل	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
prisionero	السجين	prisionero	سَجِين	N;MASC;SG	N;NOM;DEF;SG
prisionero	سجين	prisionero	سَجِين	N;MASC;SG	N;NOM;INDF;SG
prisionero	سجينة	prisionero	سَجِينَة	N;MASC;SG	N;NOM;INDF;SG
causando	تسبب	causar	تَسَبَّب	V;V.MSDR	V;PFV;MASC;SG;3;ACT
causando	يسبب	causar	سَبَّب	V;V.MSDR	V;IPFV;MASC;IND;SG;3;FIN;ACT
disparo	طلقة	disparo	طَلَقَة	N;MASC;SG	N;NOM;INDF;SG
golpes	الضربات	golpe	ضَربَة	N;MASC;PL	N;NOM;DEF;PL
golpes	اللكمات	golpe	لِكمَة	N;MASC;PL	N;NOM;DEF;PL
mega	ميجا	mega	ميجا	N;SG	N;NOM;INDF;SG
extranjera	اجنبي	extranjero	أَجنَبِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
extranjera	الاجنبي	extranjero	أَجنَبِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
extranjera	اجنبية	extranjero	أَجنَبِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
extranjera	اجنبي	extranjero	أَجنَبِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
extranjera	الاجنبي	extranjero	أَجنَبِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
extranjera	اجنبية	extranjero	أَجنَبِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
caña	القطب	caña	قُطب	N;FEM;SG	N;NOM;DEF;SG
ética	اخلاق	ética	إِخلَاق	N;FEM;SG	N;NOM;INDF;SG
arquitectónico	معماري	arquitectónico	مُعَمَّار	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
correspondencia	المراسلة	correspondencia	مُرَاسَلَة	N;FEM;SG	N;NOM;DEF;SG
correspondencia	مراسلة	correspondencia	مُرَاسَلَة	N;FEM;SG	N;NOM;INDF;SG
correspondencia	بريد	correspondencia	بَرِيد	N;FEM;SG	N;NOM;INDF;SG
correspondencia	البريد	correspondencia	بَرِيد	N;FEM;SG	N;NOM;DEF;SG
monjes	الرهبان	monje	رَهَبَان	N;MASC;PL	N;NOM;DEF;PL
formatos	الاشكال	formato	شَكل	N;MASC;PL	N;NOM;DEF;PL
formatos	اشكال	formato	شَكل	N;MASC;PL	N;NOM;INDF;PL
bombardeo	قصف	bombardeo	قَصف	N;MASC;SG	N;NOM;INDF;SG
bombardeo	القصف	bombardeo	قَصف	N;MASC;SG	N;NOM;DEF;SG
bombardeo	قصف	bombardeo	قَصف	N;MASC;SG	N;NOM;INDF;SG
bombardeo	القصف	bombardeo	قَصف	N;MASC;SG	N;NOM;DEF;SG
bombardeo	التفجير	bombardeo	تَفجِير	N;MASC;SG	N;NOM;DEF;SG
bombardeo	قصف	bombardeo	قَصف	N;MASC;SG	N;NOM;INDF;SG
bombardeo	القصف	bombardeo	قَصف	N;MASC;SG	N;NOM;DEF;SG
bombardeo	تفجير	bombardeo	تَفجِير	N;MASC;SG	N;NOM;INDF;SG
respuestas	الردود	respuesta	رَدّ	N;FEM;PL	N;NOM;DEF;PL
respuestas	الاستجابات	respuesta	اِستِجَابَة	N;FEM;PL	N;NOM;DEF;PL
respuestas	استجابات	respuesta	اِستِجَابَة	N;FEM;PL	N;NOM;INDF;PL
respuestas	ردود	respuesta	رَدّ	N;FEM;PL	N;NOM;INDF;PL
respuestas	الاجابات	respuesta	إِجَابَة	N;FEM;PL	N;NOM;DEF;PL
respuestas	اجابات	respuesta	إِجَابَة	N;FEM;PL	N;NOM;INDF;PL
respuestas	الردود	respuesta	رَدّ	N;FEM;PL	N;NOM;DEF;PL
respuestas	ردود	respuesta	رَدّ	N;FEM;PL	N;NOM;INDF;PL
lento	بطيئة	lento	بَطِيء	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
summer	الصيف	summer	صَيف	N	N;NOM;DEF;SG
summer	صيف	summer	صَيف	N	N;NOM;INDF;SG
apoyado	المدعومة	apoyar	مَدعُوم	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG
apoyado	مدعوم	apoyar	مَدعُوم	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
apoyado	مدعومة	apoyar	مَدعُوم	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
astronómico	فلكي	astronómico	فَلَكِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
líbano	لبناني	líbano	لُبنَانِيّ	N;MASC;SG	N;NOM;INDF;SG
líbano	لبنان	líbano	لُبنَان	N;MASC;SG	N;NOM;INDF;SG
túnez	تونس	túnez	تُونِس	N;MASC;SG	N;NOM;INDF;SG
túnez	تونس	túnez	تُونِس	N;MASC;SG	N;NOM;INDF;SG
túnez	تونس	túnez	تُونِس	N;MASC;SG	N;NOM;INDF;SG
cena	عشاء	cena	عَشَاء	N;FEM;SG	N;NOM;INDF;SG
cena	العشاء	cena	عَشَاء	N;FEM;SG	N;NOM;DEF;SG
pescado	مكه	pescado	مٰكه	N;MASC;SG	N;NOM;INDF;SG
pescado	سمكة	pescado	سُمكَة	N;MASC;SG	N;NOM;INDF;SG
pescado	السمك	pescado	سَمَك	N;MASC;SG	N;NOM;DEF;SG
pescado	الاسماك	pescado	سَمَك	N;MASC;SG	N;NOM;DEF;SG
magic	السحر	magic	سِحر	N	N;NOM;DEF;SG
magic	سحر	magic	سِحر	N	N;NOM;INDF;SG
lujo	الترف	lujo	تَرَف	N;MASC;SG	N;NOM;DEF;SG
lujo	رفاهية	lujo	رَفَاهِيّ	N;MASC;SG	N;NOM;INDF;SG
lujo	الفخامة	lujo	فَخَّامَة	N;MASC;SG	N;NOM;DEF;SG
lujo	الفاخرة	lujo	فَاخِر	N;MASC;SG	N;NOM;DEF;SG
electrones	الالكترونات	electrón	الالكترونات	N;MASC;PL	N;NOM;DEF;PL
wood	خشب	wood	خشب	N	N;NOM;INDF;SG
wood	الخشب	wood	خَشَب	N	N;NOM;DEF;SG
wood	الحطب	wood	حَطب	N	N;NOM;DEF;SG
vacaciones	اجازات	vacaciones	إِجَازَة	N;FEM;PL	N;NOM;INDF;PL
vacaciones	الاجازات	vacaciones	إِجَازَة	N;FEM;PL	N;NOM;DEF;PL
vacaciones	العطلات	vacaciones	عَطَل	N;FEM;PL	N;NOM;DEF;PL
vacaciones	العطلات	vacaciones	عَطَل	N;FEM;PL	N;NOM;DEF;PL
vacaciones	الاجازات	vacaciones	إِجَازَة	N;FEM;PL	N;NOM;DEF;PL
vacaciones	اعياد	vacaciones	عِيد	N;FEM;PL	N;NOM;INDF;PL
murallas	الحوائط	muralla	حَائِط	N;FEM;PL	N;NOM;DEF;PL
murallas	الجدران	muralla	جِدَار	N;FEM;PL	N;NOM;DEF;PL
reduce	يقلل	reducir	قَلَّل	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
esperando	تنتظر	esperar	اِنتَظَر	V;V.MSDR	V;IPFV;MASC;IND;SG;3;FIN;ACT
manifestación	مظاهرة	manifestación	مُظَاهَرَة	N;FEM;SG	N;NOM;INDF;SG
manifestación	المظاهرة	manifestación	مُظَاهَرَة	N;FEM;SG	N;NOM;DEF;SG
trajo	جلبت	traer	جَلَب	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
trajo	احضرت	traer	أَحضَر	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
bienestar	العافية	bienestar	عَافِيَة	N;MASC;SG	N;NOM;DEF;SG
bienestar	عافية	bienestar	عَافِيَة	N;MASC;SG	N;NOM;INDF;SG
bienestar	رفاهية	bienestar	رَفَاهِيّ	N;MASC;SG	N;NOM;INDF;SG
bienestar	الرفاه	bienestar	رَفَاه	N;MASC;SG	N;NOM;DEF;SG
suplente	البديل	suplente	بَدِيل	N;SG	N;NOM;DEF;SG
suplente	المناوب	suplente	مَنُوب	N;SG	N;NOM;DEF;SG
suplente	بديل	suplente	بَدِيل	N;SG	N;NOM;INDF;SG
suplente	بديلة	suplente	بَدِيلَة	N;SG	N;NOM;INDF;SG
suplente	بديل	suplente	بَدِيل	N;SG	N;NOM;INDF;SG
convencional	التقليدية	convencional	تَقلِيدِيّ	ADJ;SG	ADJ;NOM;DEF;FEM;SG
asesinatos	الاغتيالات	asesinato	اِغتِيَال	N;MASC;PL	N;NOM;DEF;PL
southern	جنوب	southern	جَنُوب	N	N;NOM;INDF;SG
concha	صدفة	concha	صَدَفَة	N;FEM;SG	N;NOM;INDF;SG
concha	الصدفة	concha	صُدفَة	N;FEM;SG	N;NOM;DEF;SG
implementación	تنفيذ	implementación	تَنفِيذ	N;FEM;SG	N;NOM;INDF;SG
implementación	التنفيذ	implementación	تَنفِيذ	N;FEM;SG	N;NOM;DEF;SG
perdida	ضائع	perdido	ضَائِع	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
ciudadanía	مواطنة	ciudadanía	مُوَاطِنَة	N;FEM;SG	N;NOM;INDF;SG
ciudadanía	الجنسية	ciudadanía	جِنسِيَّة	N;FEM;SG	N;NOM;DEF;SG
ciudadanía	المواطنة	ciudadanía	مُوَاطَنَة	N;FEM;SG	N;NOM;DEF;SG
desastre	كارثة	desastre	كَارِثَة	N;MASC;SG	N;NOM;INDF;SG
desastre	الكارثة	desastre	كَارِثَة	N;MASC;SG	N;NOM;DEF;SG
ejecutar	نفذ	ejecutar	نَفَّذ	V;NFIN	V;PFV;MASC;SG;3;ACT
studio	الاستديو	studio	اِستَديُو	N;MASC;SG	N;NOM;DEF;SG
studio	استوديو	studio	استوديو	N;MASC;SG	N;NOM;INDF;SG
studio	استديو	studio	اِستَدَاو	N;MASC;SG	N;NOM;INDF;SG
destinada	مقدر	destinado	مُقَدِّر	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
calificación	تقييم	calificación	تَقيِيم	N;FEM;SG	N;NOM;INDF;SG
calificación	التقييم	calificación	تَقيِيم	N;FEM;SG	N;NOM;DEF;SG
calificación	التصنيف	calificación	تَصنِيف	N;FEM;SG	N;NOM;DEF;SG
calificación	تصنيف	calificación	تَصنِيف	N;FEM;SG	N;NOM;INDF;SG
calificación	مؤهل	calificación	مُؤَهَّل	N;FEM;SG	N;NOM;INDF;SG
calificación	المؤهل	calificación	مُؤَهَّل	N;FEM;SG	N;NOM;DEF;SG
calificación	التاهيل	calificación	تَاهِيل	N;FEM;SG	N;NOM;DEF;SG
dramática	درامية	dramático	دِرَامِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
plástico	البلاستيك	plástico	بلَاستِيك	N;MASC;SG	N;NOM;DEF;SG
plástico	البلاستيك	plástico	بلَاستِيك	N;MASC;SG	N;NOM;DEF;SG
bebé	طفل	bebé	طِفل	N;MASC;SG	N;NOM;INDF;SG
hits	الضربات	hit	ضَربَة	N;MASC;PL	N;NOM;DEF;PL
mortal	مميت	mortal	مُمَيَّت	ADJ;SG	ADJ;NOM;INDF;MASC;SG
reconocimientos	الامتحانات	reconocimiento	اِمتِحَان	N;MASC;PL	N;NOM;DEF;PL
vencedor	الفائز	vencedor	فَائِز	N;MASC;SG	N;NOM;DEF;SG
delegado	مندوب	delegado	مَندُوب	N;MASC;SG	N;NOM;INDF;SG
delegado	مندوبة	delegado	مَندُوب	N;MASC;SG	N;NOM;INDF;SG
delegado	المندوب	delegado	مَندُوب	N;MASC;SG	N;NOM;DEF;SG
adoptado	المعتمد	adoptar	مُعتَمَد	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;MASC;SG
colinas	تلال	colina	تَلَال	N;FEM;PL	N;NOM;INDF;PL
colinas	التلال	colina	تَلَال	N;FEM;PL	N;NOM;DEF;PL
membrana	الغشاء	membrana	غِشَاء	N;FEM;SG	N;NOM;DEF;SG
membrana	غشاء	membrana	غِشَاء	N;FEM;SG	N;NOM;INDF;SG
etnia	العرق	etnia	عِرق	N;FEM;SG	N;NOM;DEF;SG
etnia	الاثنية	etnia	اِثنِيّ	N;FEM;SG	N;NOM;DEF;SG
etnia	الاثنية	etnia	اِثنِيّ	N;FEM;SG	N;NOM;DEF;SG
ruido	ضجيج	ruido	ضَجِيج	N;MASC;SG	N;NOM;INDF;SG
ruido	ضوضاء	ruido	ضَوضَاء	N;MASC;SG	N;NOM;INDF;SG
ruido	الضجيج	ruido	ضَجِيج	N;MASC;SG	N;NOM;DEF;SG
ruido	الضوضاء	ruido	ضَوضَاء	N;MASC;SG	N;NOM;DEF;SG
radar	رادار	radar	رادار	N;MASC;SG	N;NOM;INDF;SG
radar	الرادار	radar	رَادَار	N;MASC;SG	N;NOM;DEF;SG
television	تلفاز	television	تَلفَاز	N;FEM;SG	N;NOM;INDF;SG
television	التلفاز	television	تَلَفُّز	N;FEM;SG	N;NOM;DEF;SG
television	تلفزيون	television	تِلفِزيُون	N;FEM;SG	N;NOM;INDF;SG
television	التلفزيون	television	تِلفِزيُون	N;FEM;SG	N;NOM;DEF;SG
teatros	مسارح	teatro	مَسرَحَة	N;MASC;PL	N;NOM;INDF;PL
teatros	المسارح	teatro	مَسرَحَة	N;MASC;PL	N;NOM;DEF;PL
teatros	مسارح	teatro	مَسرَحَة	N;MASC;PL	N;NOM;INDF;PL
teatros	المسارح	teatro	مَسرَحَة	N;MASC;PL	N;NOM;DEF;PL
fabricantes	المصنعين	fabricante	مُصَنِّع	N;PL	N;NOM;DEF;PL
finca	المزرعة	finca	مَزرَعَة	N;FEM;SG	N;NOM;DEF;SG
finca	مزرعة	finca	مَزرَعَة	N;FEM;SG	N;NOM;INDF;SG
finca	حوزة	finca	حَوزَة	N;FEM;SG	N;NOM;INDF;SG
finca	الحوزة	finca	حَوزَة	N;FEM;SG	N;NOM;DEF;SG
pilares	الاركان	pilar	رُكن	N;MASC;PL	N;NOM;DEF;PL
pilares	الركائز	pilar	رَكِيزَة	N;MASC;PL	N;NOM;DEF;PL
pilares	الاعمدة	pilar	الاعمدة	N;MASC;PL	N;NOM;DEF;PL
pilares	اركان	pilar	رُكن	N;MASC;PL	N;NOM;INDF;PL
fábricas	مصانع	fábrica	مَصنَع	N;FEM;PL	N;NOM;INDF;PL
fábricas	المصانع	fábrica	مَصنَع	N;FEM;PL	N;NOM;DEF;PL
oliva	الزيتون	oliva	زَيتُون	N;FEM;SG	N;NOM;DEF;SG
conservadores	المحافظين	conservador	مُحَافِظ	N;MASC;PL	N;NOM;DEF;PL
escape	استنفاد	escape	استنفاد	N;MASC;SG	N;NOM;INDF;SG
escape	هروب	escape	هُرُوب	N;MASC;SG	N;NOM;INDF;SG
escape	الهرب	escape	الهرب	N;MASC;SG	N;NOM;DEF;SG
escape	الهروب	escape	هُرُوب	N;MASC;SG	N;NOM;DEF;SG
baños	المراحيض	baño	مُرَاحِيض	N;MASC;PL	N;NOM;DEF;PL
baños	مراحيض	baño	مُرَاحِيض	N;MASC;PL	N;NOM;INDF;PL
baños	الحمامات	baño	حَمَامَة	N;MASC;PL	N;NOM;DEF;PL
baños	حمامات	baño	حمامات	N;MASC;PL	N;NOM;INDF;PL
alternativas	البدائل	alternativa	بَدِيل	N;FEM;PL	N;NOM;DEF;PL
alternativas	بدائل	alternativa	بَدِيل	N;FEM;PL	N;NOM;INDF;PL
logro	الانجاز	logro	إِنجَاز	N;MASC;SG	N;NOM;DEF;SG
logro	انجاز	logro	إِنجَاز	N;MASC;SG	N;NOM;INDF;SG
logro	الانجاز	logro	إِنجَاز	N;MASC;SG	N;NOM;DEF;SG
logro	انجاز	logro	إِنجَاز	N;MASC;SG	N;NOM;INDF;SG
entiende	يفهم	entender	فَهِم	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
entiende	فهم	entender	فَهِم	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;3;ACT
extracción	الاستخراج	extracción	اِستِخرَاج	N;FEM;SG	N;NOM;DEF;SG
extracción	استخراج	extracción	اِستِخرَاج	N;FEM;SG	N;NOM;INDF;SG
extracción	استخلاص	extracción	اِستِخلَاص	N;FEM;SG	N;NOM;INDF;SG
fresco	طازجة	fresco	طَازِج	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
adulto	بالغا	adulto	بَالِغ	ADJ;MASC;SG	ADJ;ACC;INDF;MASC;SG
adulto	بالغ	adulto	بَالِغ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
disciplinas	التخصصات	disciplina	تَخَصُّص	N;FEM;PL	N;NOM;DEF;PL
disciplinas	الضوابط	disciplina	ضَابِط	N;FEM;PL	N;NOM;DEF;PL
responder	رد	responder	رَدّ	V;NFIN	V;PFV;MASC;SG;3;ACT
hermosa	جميلة	hermoso	جَمِيل	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
hermosa	فاتنة	hermoso	فَاتِن	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
hermosa	رائعة	hermoso	رَائِع	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
hermosa	رائع	hermoso	رَائِع	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
electrónicos	الالكترونيات	electrónico	إِلِكترُونِيّ	ADJ;MASC;PL	ADJ;NOM;DEF;FEM;PL
galaxia	مجرة	galaxia	مِجرَة	N;FEM;SG	N;NOM;INDF;SG
