und	та	und	та	CONJ	CONJ
heute	сьогодні	heute	сьогодні	ADV	ADV
ihre	їхнє	ihr	їхній	DET;NOM;FEM;SG	DET;NOM;NEUT;SG;3
ihre	твій	ihr	твій	DET;NOM;FEM;SG	DET;NOM;MASC;SG;2
ihre	твоя	ihr	твій	DET;NOM;FEM;SG	DET;NOM;FEM;SG;2
ihre	ваша	ihr	ваш	DET;NOM;FEM;SG	DET;NOM;FEM;SG;2
ihre	твій	ihr	твій	DET;NOM;FEM;SG	DET;NOM;MASC;SG;2
ihre	твоя	ihr	твій	DET;NOM;FEM;SG	DET;NOM;FEM;SG;2
bereits	уже	bereits	уже	ADV	ADV
bereits	вже	bereits	вже	ADV	ADV
sehr	дуже	sehr	дуже	ADV	ADV
ihr	ти	ihr	ти	PRO;NOM;MASC;SG	PRO;ANIM;NOM;SG;2
gemeinde	парафія	gemeinde	парафія	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
gemeinde	підпорядкування	gemeinde	підпорядкування	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
gemeinde	муніципалітет	gemeinde	муніципалітет	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
gemeinde	край	gemeinde	край	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
gemeinde	громада	gemeinde	громада	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
gemeinde	спільнота	gemeinde	спільнота	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
liegt	лежить	liegen	лежати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
liegt	бреше	liegen	брати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
ohne	без	ohne	без	ADP	ADP;GEN
ihm	йому	er	він	PRO;DAT;MASC;SG;3	PRO;DAT;MASC;SG;3
doch	ще	doch	ще	ADV	ADV
immer	завжди	immer	завжди	ADV	ADV
ihn	нього	er	він	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
ihn	його	er	він	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
selbst	самостійно	selbst	самостійно	ADV	ADV
selbst	власноруч	selbst	власноруч	ADV	ADV
verlag	видавець	verliegen	видавець	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ihrer	їхнє	ihr	їхній	DET;NOM;MASC;SG	DET;NOM;NEUT;SG;3
ihrer	твій	ihr	твій	DET;NOM;MASC;SG	DET;NOM;MASC;SG;2
ihrer	твоя	ihr	твій	DET;NOM;MASC;SG	DET;NOM;FEM;SG;2
ihrer	ваша	ihr	ваш	DET;NOM;MASC;SG	DET;NOM;FEM;SG;2
ihrer	твій	ihr	твій	DET;NOM;MASC;SG	DET;NOM;MASC;SG;2
ihrer	твоя	ihr	твій	DET;NOM;MASC;SG	DET;NOM;FEM;SG;2
steht	стоїть	stehen	стояти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
liste	перелік	lassen	перелік	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
liste	список	lassen	список	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
kam	приїхала	kommen	приїхати	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
kam	приїхав	kommen	приїхати	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
kam	зайшла	kommen	зайти	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
kam	прийшло	kommen	прийти	V;IND;SG;3;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
kam	прийшов	kommen	прийти	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
vier	чотирьох	vier	чотири	NUM	NUM;NOM
vier	чотири	vier	чотири	NUM	NUM;NOM
seite	сторона	seit	сторона	N	N;INAN;NOM;FEM;SG
seite	бік	seit	бік	N	N;INAN;NOM;MASC;SG
seite	сторони	seit	сторона	N	N;INAN;NOM;FEM;PL
seite	сторінку	seit	сторінка	N	N;INAN;ACC;FEM;SG
seite	сторінка	seit	сторінка	N	N;INAN;NOM;FEM;SG
seite	сторінки	seit	сторінка	N	N;INAN;NOM;FEM;PL
seite	сайт	seit	сайт	N	N;INAN;NOM;MASC;SG
gab	віддала	geben	віддати	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
gab	дав	geben	дати	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
gab	дала	geben	дати	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
etwas	трошки	etwas	трошки	ADV	ADV
etwas	трохи	etwas	трохи	ADV	ADV
etwas	дещо	etwas	дещо	ADV	ADV
etwas	дещо	etwas	дещо	ADV	ADV
mich	себе	ich	себе	PRO;ACC;SG;1	PRO;ACC;REFL
zusammen	разом	zusammen	разом	ADV	ADV
allerdings	щоправда	allerdings	щоправда	ADV	ADV
neue	нові	neu	новий	ADJ;NOM;FEM;PL	ADJ;NOM;PL
nun	тепер	nun	тепер	ADV	ADV
nun	зараз	nun	зараз	ADV	ADV
nun	добре	nun	добре	ADV	ADV
nun	імхо	nun	імхо	ADV	ADV
leben	жити	leben	жити	V;NFIN	V;IPFV;NFIN
leben	живу	leben	жити	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
weil	адже	weil	адже	CONJ	CONJ
weil	бо	weil	бо	CONJ	CONJ
einige	дехто	einige	дехто	PRO;NOM;INDF;PL	PRO;ANIM;NOM
ebenfalls	також	ebenfalls	також	ADV	ADV
ebenfalls	теж	ebenfalls	теж	ADV	ADV
ebenfalls	надто	ebenfalls	надто	ADV	ADV
ebenfalls	занадто	ebenfalls	занадто	ADV	ADV
ebenfalls	взаємно	ebenfalls	взаємно	ADV	ADV
löschen	очистити	löschen	очистити	V;NFIN	V;PFV;NFIN
löschen	стерти	löschen	стерти	V;NFIN	V;PFV;NFIN
löschen	витерти	löschen	витерти	V;NFIN	V;PFV;NFIN
löschen	видалити	löschen	видалити	V;NFIN	V;PFV;NFIN
löschen	вилучити	löschen	вилучити	V;NFIN	V;PFV;NFIN
erhielt	отримала	erhalten	отримати	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
bekannt	відома	bekennen	відомий	ADJ	ADJ;NOM;FEM;SG
bekannt	відоме	bekennen	відомий	ADJ	ADJ;NOM;NEUT;SG
bekannt	відомі	bekennen	відомий	ADJ	ADJ;NOM;PL
zurück	назад	zurück	назад	ADV	ADV
zurück	ззаду	zurück	ззаду	ADV	ADV
ort	місце	ort	місце	N;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
ort	розміщення	ort	розміщення	N;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
ort	місцезнаходження	ort	місцезнаходження	N;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
ort	локація	ort	локація	N;NOM;MASC;SG	N;INAN;NOM;FEM;SG
ort	місце	ort	місце	N;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
ort	розташування	ort	розташування	N;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
geht	їздить	gehen	їздити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
geht	йде	gehen	йти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
geht	переходить	gehen	переходити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
geht	ходить	gehen	ходити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
jetzt	тепер	jetzt	тепер	ADV	ADV
jetzt	зараз	jetzt	зараз	ADV	ADV
wohl	ймовірно	wohl	ймовірно	ADV	ADV
wohl	орієнтовно	wohl	орієнтовно	ADV	ADV
saison	сезон	saison	сезон	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
art	типу	art	тип	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
art	тип	art	тип	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
art	вид	art	вид	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
art	різновид	art	різновид	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
stand	стояв	stehen	стояти	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
personen	особи	Person	особа	N;NOM;FEM;PL	N;ANIM;NOM;FEM;PL
personen	люди	Person	людина	N;NOM;FEM;PL	N;ANIM;NOM;FEM;PL
gut	хороші	gut	хороший	ADJ	ADJ;NOM;PL
gut	гарні	gut	гарний	ADJ	ADJ;NOM;PL
gut	добрий	gut	добрий	ADJ	ADJ;NOM;MASC;SG
statt	замість	statt	замість	ADP	ADP;GEN
daher	тому	daher	тому	ADV	ADV
familie	сімейство	familie	сімейство	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
familie	родина	familie	родина	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
weiter	далі	weiter	далі	ADV	ADV
name	назва	Name	назва	N;NOM;SG	N;INAN;NOM;FEM;SG
ganz	зовсім	ganz	зовсім	ADV	ADV
ganz	досить	ganz	досить	ADV	ADV
behalten	збереглося	behalten	зберегтися	V;NFIN	V;PFV;NEUT;IND;SG;PST;FIN
behalten	тримай	behalten	тримай	V;NFIN	V;IPFV;IMP;SG;2;FIN
sohn	сина	sohnen	син	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
sohn	син	sohnen	син	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
außerdem	також	außerdem	також	ADV	ADV
großen	великі	groß	великий	ADJ;PL	ADJ;NOM;PL
großen	великих	groß	великий	ADJ;PL	ADJ;ANIM;ACC;PL
großen	великі	groß	великий	ADJ;PL	ADJ;NOM;PL
gehört	почув	gehören	почути	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
gehört	чув	gehören	чути	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
gehört	почула	gehören	почути	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
gehört	чули	gehören	чути	V;V.PTCP	V;IPFV;IND;PL;PST;FIN
gehört	чула	gehören	чути	V;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN
gehört	належить	gehören	належати	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
gehört	слухав	gehören	слухати	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
gehört	послухав	gehören	послухати	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
gehört	слухала	gehören	слухати	V;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN
gehört	володів	gehören	володіти	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
gehört	володіє	gehören	володіти	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
gelöscht	вилучено	löschen	вилучити	V;V.PTCP	V;PFV;IND;0;FIN
große	великі	groß	великий	ADJ;NOM;FEM;PL	ADJ;NOM;PL
große	великі	groß	великий	ADJ;NOM;FEM;PL	ADJ;NOM;PL
kommt	приходить	kommen	приходити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
kommt	наближається	kommen	наближатися	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
menschen	люди	menschen	людина	N;NOM;PL	N;ANIM;NOM;FEM;PL
menschen	люди	menschen	людина	N;NOM;PL	N;ANIM;NOM;FEM;PL
begann	почалося	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
begann	почалось	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
begann	почався	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
begann	почалось	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
begann	почався	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
begann	почалась	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
begann	почалося	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
begann	почалось	beginnen	початися	V;IND;SG;3;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
aufgrund	через	aufgrund	через	ADP	ADP;ACC
fall	випадку	fall	випадок	ADV	ADV
englisch	англійською	englisch	англійський	ADJ	ADJ;INS;FEM;SG
englisch	англійська	englisch	англійський	ADJ	ADJ;NOM;FEM;SG
danach	потім	danach	потім	ADV	ADV
danach	тоді	danach	тоді	ADV	ADV
könig	король	könig	король	N;NOM;SG	N;ANIM;NOM;MASC;SG
könig	цар	könig	цар	N;NOM;SG	N;ANIM;NOM;MASC;SG
besteht	складається	bestehen	складатися	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
besteht	наполягає	bestehen	наполягати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
welche	що	welch	що	PRO;NOM;SG	PRO;INAN;NOM;NEUT;SG
form	форму	form	форма	N;SG	N;INAN;ACC;FEM;SG
form	форма	form	форма	N;SG	N;INAN;NOM;FEM;SG
form	форму	form	форма	N;SG	N;INAN;ACC;FEM;SG
form	форма	form	форма	N;SG	N;INAN;NOM;FEM;SG
schloss	зафіксувати	schließen	зафіксувати	V;SG	V;PFV;NFIN
schloss	замкнути	schließen	замкнути	V;SG	V;PFV;NFIN
schloss	заблокувати	schließen	заблокувати	V;SG	V;PFV;NFIN
gruppe	група	grappe	група	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
gruppe	спільнота	grappe	спільнота	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
finden	знайти	finden	знайти	V;NFIN	V;PFV;NFIN
finden	знайти	finden	знайти	V;NFIN	V;PFV;NFIN
finden	знайдіть	finden	знайти	V;NFIN	V;PFV;IMP;PL;2;FIN
finden	знаходить	finden	знаходити	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
finden	виявить	finden	виявити	V;NFIN	V;PFV;IND;SG;3;FUT;FIN
finden	знайде	finden	знайти	V;NFIN	V;PFV;IND;SG;3;FUT;FIN
genannt	назвали	nennen	назвати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
genannt	названо	nennen	назвати	V;V.PTCP	V;PFV;IND;0;FIN
genannt	назвали	nennen	назвати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
genannt	викликала	nennen	викликати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
genannt	називається	nennen	називатися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
genannt	викликали	nennen	викликати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
nahm	взяв	nehmen	взяти	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
nahm	забрала	nehmen	забрати	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
nahm	забрав	nehmen	забрати	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
spielte	грала	spielen	грати	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
spielte	грав	spielen	грати	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
neu	нові	neu	новий	ADJ	ADJ;NOM;PL
neu	нове	neu	новий	ADJ	ADJ;NOM;NEUT;SG
neu	нова	neu	новий	ADJ	ADJ;NOM;FEM;SG
neu	новий	neu	новий	ADJ	ADJ;NOM;MASC;SG
ging	поїхала	gehen	поїхати	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
ging	ходив	gehen	ходити	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
ging	поїхав	gehen	поїхати	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
ging	йшов	gehen	йти	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
machen	творити	machen	творити	V;NFIN	V;IPFV;NFIN
machen	зробити	machen	зробити	V;NFIN	V;PFV;NFIN
gewann	переміг	gewinnen	перемогти	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
gewann	виграв	gewinnen	виграти	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
beispiel	прикладу	beispiel	приклад	ADV	ADV
recht	праворуч	recht	праворуч	ADV	ADV
zwar	загальновизнано	zwar	загальновизнати	ADV	ADV
frage	запитання	frage	запитання	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
frage	питання	frage	питання	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
insgesamt	загалом	insgesamt	загалом	ADV	ADV
gehörte	належав	gehören	належати	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
eher	скоріше	eher	скоріше	ADV	ADV;CMPR
eher	скоріш	eher	скоріш	ADV	ADV
eher	дещо	eher	дещо	ADV	ADV
eher	раніше	eher	раніше	ADV	ADV;CMPR
kurz	короткий	kurz	короткий	ADJ	ADJ;NOM;MASC;SG
kurz	коротка	kurz	короткий	ADJ	ADJ;NOM;FEM;SG
kurz	коротке	kurz	короткий	ADJ	ADJ;NOM;NEUT;SG
kurz	короткі	kurz	короткий	ADJ	ADJ;NOM;PL
unternehmen	компанії	unternehmen	компанія	N;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
unternehmen	підприємства	unternehmen	підприємство	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;PL
verwendet	використовується	verwenden	використовуватися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
verwendet	використано	verwenden	використати	V;V.PTCP	V;PFV;IND;0;FIN
verwendet	використовує	verwenden	використовувати	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
verwendet	користується	verwenden	користуватися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
straße	дорожні	straß	дорожній	ADJ	ADJ;NOM;PL
rund	приблизно	rund	приблизно	ADV	ADV
rund	довкола	rund	довкола	ADV	ADV
einfach	щойно	einfach	щойно	ADV	ADV
einfach	легко	einfach	легко	ADV	ADV
schließlich	зрештою	schließlich	зрештою	ADV	ADV
schließlich	нарешті	schließlich	нарешті	ADV	ADV
frau	жінка	frau	жінка	N;NOM;FEM;SG	N;ANIM;NOM;FEM;SG
frau	дружина	frau	дружина	N;NOM;FEM;SG	N;ANIM;NOM;FEM;SG
lassen	дозволила	lassen	дозволити	V;NFIN	V;PFV;FEM;IND;SG;PST;FIN
fast	майже	fast	майже	ADV	ADV
hatten	мали	haben	мати	V;IND;PL;3;PST;FIN	V;IPFV;IND;PL;PST;FIN
trat	відійшов	treten	відійти	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
trat	звільнився	treten	звільнитися	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
trat	приєднався	treten	приєднатися	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
trat	долучився	treten	долучитися	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
trat	приєдналася	treten	приєднатися	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
arbeit	робота	arbeit	робота	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
arbeit	праця	arbeit	праця	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
arbeit	трудова	arbeit	трудовий	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
macht	робить	machen	робити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
vielleicht	можливо	vielleicht	можливо	ADV	ADV
oft	часто	oft	часто	ADV	ADV
oft	часто	oft	часто	ADV	ADV
landkreis	графство	landkreis	графство	N	N;INAN;NOM;NEUT;SG
landkreis	повіт	landkreis	повіт	N	N;INAN;NOM;MASC;SG
landkreis	жупанія	landkreis	жупанія	N	N;INAN;NOM;FEM;SG
landkreis	улус	landkreis	улус	N	N;INAN;NOM;MASC;SG
landkreis	округ	landkreis	округ	N	N;INAN;NOM;MASC;SG
landkreis	район	landkreis	район	N	N;INAN;NOM;MASC;SG
führte	повів	führen	повести	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
kategorie	категорія	kategorie	категорія	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
gilt	стосується	gelten	стосуватися	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gilt	застосовує	gelten	застосовувати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
gilt	застосовується	gelten	застосовуватися	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
relevant	актуальна	relevant	актуальний	ADJ	ADJ;NOM;FEM;SG
welt	світ	welt	світ	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
welt	світе	welt	світи	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
welt	глобус	welt	глобус	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
viel	багато	viel	багато	ADV	ADV
viel	багато	viel	багато	ADV	ADV
viel	сильно	viel	сильно	ADV	ADV
insbesondere	особливо	insbesondere	особливо	ADV	ADV
insbesondere	особливо	insbesondere	особливо	ADV	ADV
haus	будинок	haus	будинок	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
haus	дім	haus	дім	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
haus	домівка	haus	домівка	N;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
fand	знайшов	finden	знайти	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
fand	знайшовся	finden	знайтися	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
fand	знайшла	finden	знайти	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
meist	зазвичай	meist	зазвичай	ADV	ADV
meist	найцікавіше	meist	найцікавіше	ADV	ADV;RL
meist	здебільшого	meist	здебільшого	ADV	ADV
meist	переважно	meist	переважно	ADV	ADV
findet	знайти	finden	знайти	V;IND;SG;3;PRS;FIN	V;PFV;NFIN
findet	знаходить	finden	знаходити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
lang	довгий	lang	довгий	ADJ	ADJ;NOM;MASC;SG
lang	довга	lang	довга	ADJ	ADJ;NOM;FEM;SG
lang	довгі	lang	довгий	ADJ	ADJ;NOM;PL
besonders	особливо	besonders	особливо	ADV	ADV
besonders	особливо	besonders	особливо	ADV	ADV
besonders	спеціально	besonders	спеціально	ADV	ADV
deutsch	німецька	deutsch	німецький	ADJ	ADJ;NOM;FEM;SG
deutsch	німецькою	deutsch	німецький	ADJ	ADJ;INS;FEM;SG
deutsch	німецький	deutsch	німецький	ADJ	ADJ;NOM;MASC;SG
deutsch	англійською	deutsch	англійський	ADJ	ADJ;INS;FEM;SG
deutsch	англійська	deutsch	англійський	ADJ	ADJ;NOM;FEM;SG
deutsch	німецькій	deutsch	німецький	ADJ	ADJ;DAT;FEM;SG
begriff	фраза	begreifen	фраза	N;MASC;SG	N;INAN;NOM;FEM;SG
begriff	фразу	begreifen	фраза	N;MASC;SG	N;INAN;ACC;FEM;SG
begriff	термін	begreifen	термін	N;MASC;SG	N;INAN;NOM;MASC;SG
begriff	поняття	begreifen	поняття	N;MASC;SG	N;INAN;NOM;NEUT;SG
