觸動	tocar	觸動	tocar	V	V
輕聲	na	輕聲	na	N	N
母牛	vaca	母牛	vaca	N	N
木棍	paos	木棍	paos	N	N
髒	porca	髒	porco	N	N
片語	frase	片語	frase	N	N
片語	frases	片語	frase	N	N
耐性	paciencia	耐性	paciencia	N	N
浴缸	bañeira	浴缸	bañeira	N	N
差額	diferenzas	差額	diferenza	N	N
差額	diferenza	差額	diferenza	N	N
差額	diferenzas	差額	diferenza	N	N
差額	diferencia	差額	diferencia	N	N
外科	cirurxía	外科	cirurxía	N	N
機遇	oportunidade	機遇	oportunidade	N	N
機遇	oportunidades	機遇	oportunidade	N	N
血肉	carne	血肉	carne	N	N
夢魘	pesadelo	夢魘	pesadelo	N	N
西服	traxe	西服	traxar	N	N
洞察	percepción	洞察	percepción	N	N
長褲	pantalóns	長褲	pantalón	N	N
長褲	pantalón	長褲	pantalón	N	N
絕對	absoluto	絕對	absoluto	ADJ	ADJ
絕對	absolutos	絕對	absoluto	ADJ	ADJ
營養	malnutrición	營養	malnutrición	N	N
營養	desnutrición	營養	desnutrición	N	N
堅果	noces	堅果	noz	N	N
堅果	tolo	堅果	tolo	N	N
母后	nai	母后	nai	N	N
母后	á	母后	á	N	N
母后	mamá	母后	mamá	N	N
花兒	flores	花兒	flores	N	N
花兒	flor	花兒	flor	N	N
記憶	memoria	記憶	memoria	N	N
郵寄	correo	郵寄	correo	N	N
方	caixa	方	caixa	N	N
方	palco	方	palco	N	N
方	caixas	方	caixa	N	N
方	palcos	方	palco	N	N
比例尺	escala	比例尺	escala	N	N
書架	estantes	書架	estante	N	N
拘留	detención	拘留	detención	N	N
寢	dormitorio	寢	dormitorio	N	N
寢	inspección	寢	inspección	N	N
靈活	flexibles	靈活	flexible	ADJ	ADJ
領帶	gravata	領帶	gravatar	N	N
領帶	átenos	領帶	átenos	N	N
棍子	paos	棍子	paos	N	N
洗滌	lavar	洗滌	lavar	V	V
細則	regras	細則	regra	N	N
細則	normas	細則	norma	N	N
細則	norma	細則	norma	N	N
細則	regra	細則	regra	N	N
純淨	pureza	純淨	pureza	N	N
櫃台	mostrador	櫃台	mostrador	N	N
湯匙	culler	湯匙	culler	N	N
常備	pé	常備	pé	N	N
常備	parados	常備	parado	N	N
機油	petróleo	機油	petróleo	N	N
機油	aceite	機油	aceite	N	N
火種	chispa	火種	chispa	N	N
穀	granxa	穀	granxa	N	N
稅金	impostos	稅金	imposto	N	N
老了	anos	老了	ano	N	N
老了	vellos	老了	vello	N	N
老了	vello	老了	vello	N	N
老了	vella	老了	vella	N	N
狹隘	estreito	狹隘	estreito	N	N
限額	límite	限額	límite	N	N
限額	límites	限額	límite	N	N
傭人	servo	傭人	servo	N	N
傭人	bedel	傭人	bedel	N	N
理髮	barbeiro	理髮	barbeiro	N	N
理髮	perruqueiro	理髮	perruqueiro	N	N
肚皮	estómago	肚皮	estómago	N	N
肚皮	ventre	肚皮	ventrar	N	N
肚皮	barriga	肚皮	barriga	N	N
公事	maletín	公事	maletín	N	N
床單	sabas	床單	saber	N	N
噩夢	pesadelo	噩夢	pesadelo	N	N
接住	coller	接住	coller	V	V
接住	pescar	接住	pescar	V	V
仇視	odio	仇視	odio	N	N
胳膊	brazo	胳膊	brazo	N	N
辮子	trenzas	辮子	trenza	N	N
感恩	acción	感恩	acción	N	N
感恩	gracias	感恩	gracia	N	N
內疚	culpa	內疚	culpa	N	N
膠帶	cinta	膠帶	cintar	N	N
鄰里	barrio	鄰里	barrio	N	N
無神	ateo	無神	ateo	N	N
地心	gravidade	地心	gravidade	N	N
罪孽	pecado	罪孽	pecado	N	N
罪孽	pecados	罪孽	pecar	N	N
罪孽	pecado	罪孽	pecado	N	N
夾克	chaqueta	夾克	chaqueta	N	N
證言	testemuña	證言	testemuña	N	N
旗子	bandeira	旗子	bandeira	N	N
電子	ordenadores	電子	ordenador	N	N
電子	computadores	電子	computador	N	N
講課	charla	講課	charlar	N	N
釘子	cravo	釘子	cravo	N	N
釘子	unllas	釘子	unlla	N	N
釘子	cravos	釘子	cravo	N	N
洋	boneca	洋	bonecar	N	N
皮	bolso	皮	bolso	N	N
臥室	dormitorio	臥室	dormitorio	N	N
謙卑	humilde	謙卑	humilde	N	N
謙卑	humildes	謙卑	humilde	N	N
謙卑	humildade	謙卑	humildade	N	N
皮帶	correa	皮帶	correr	N	N
皮帶	libros	皮帶	libro	N	N
皮帶	cinto	皮帶	cinto	N	N
信譽	reputación	信譽	reputación	N	N
信譽	sona	信譽	sona	N	N
台階	paso	台階	paso	N	N
台階	escala	台階	escala	N	N
悄悄	silencio	悄悄	silencio	N	N
豆類	feixóns	豆類	feixón	N	N
豆類	xudías	豆類	xudía	N	N
薯	fichas	薯	ficha	N	N
隱約	vagamente	隱約	vagamente	ADV	ADV
框框	foto	框框	foto	N	N
累	cansa	累	cansar	V	V
最壞	peores	最壞	peor	ADJ	ADJ
胸膛	peito	胸膛	peito	N	N
枷鎖	cadeas	枷鎖	cadea	N	N
鼓聲	tambores	鼓聲	tambor	N	N
勺子	culler	勺子	culler	N	N
打賭	aposta	打賭	apostar	V	V
打賭	apostar	打賭	apostar	V	V
營房	barracas	營房	barraca	N	N
週數	semanas	週數	semana	N	N
腳	pegada	腳	pegada	N	N
腳	pegadas	腳	pegar	N	N
草叢	herba	草叢	herba	N	N
鑽孔	perforar	鑽孔	perforar	V	V
船艙	cabana	船艙	cabanar	N	N
蔑視	desprezo	蔑視	desprezo	N	N
尺碼	tamaños	尺碼	tamaño	N	N
嗓子	gorxa	嗓子	gorxa	N	N
嗓子	voz	嗓子	voz	N	N
食慾	apetito	食慾	apetito	N	N
食慾	fame	食慾	fame	N	N
嗎啡	morfina	嗎啡	morfina	N	N
邊框	fronteira	邊框	fronteira	N	N
傢具	mobles	傢具	moble	N	N
魚種	especie	魚種	especie	N	N
魚種	especies	魚種	especie	N	N
幫會	clube	幫會	clubar	N	N
幫會	salvavidas	幫會	salvavidas	N	N
幫會	club	幫會	club	N	N
鞦韆	abaneo	鞦韆	abaneo	N	N
鞦韆	xuntas	鞦韆	xunta	N	N
時辰	hora	時辰	hora	N	N
胃口	apetito	胃口	apetito	N	N
胃口	fame	胃口	fame	N	N
大霧	néboa	大霧	néboa	N	N
大霧	brétema	大霧	brétema	N	N
獨裁	ditadura	獨裁	ditadura	N	N
魚兒	peixes	魚兒	peixe	N	N
魚兒	peixe	魚兒	peixe	N	N
峰峰	pico	峰峰	pico	N	N
擔子	carga	擔子	carga	N	N
輕蔑	desprezo	輕蔑	desprezo	N	N
決算	contas	決算	conta	N	N
臭蟲	bugs	臭蟲	bugs	N	N
汗水	suor	汗水	suor	N	N
汗水	factoría	汗水	factoría	N	N
臟	porca	臟	porco	N	N
罪過	pecado	罪過	pecado	N	N
泥巴	lama	泥巴	lama	N	N
手心	palmas	手心	palma	N	N
忙	ocupada	忙	ocupado	V	V
鐵鍊	cadeas	鐵鍊	cadea	N	N
許諾	prometer	許諾	prometer	V	V
許諾	prometo	許諾	prometo	V	V
十誡	mandamentos	十誡	mandamento	N	N
試點	piloto	試點	piloto	N	N
政界	políticos	政界	político	N	N
糖蜜	melaza	糖蜜	melaza	N	N
供詞	confesións	供詞	confesión	N	N
烤箱	forno	烤箱	forno	N	N
塵土	po	塵土	po	N	N
塵土	pó	塵土	pó	N	N
塵土	das	塵土	das	N	N
核	aprobación	核	aprobación	N	N
癱	paralizada	癱	paralizar	V	V
癱	paralizado	癱	paralizar	V	V
幻燈	diapositivas	幻燈	diapositivo	N	N
幻燈	portaobxectos	幻燈	portaobxectos	N	N
幻燈	diapositiva	幻燈	diapositivo	N	N
姨媽	tía	姨媽	tía	N	N
編目	catálogos	編目	catálogos	N	N
編目	catálogo	編目	catálogo	N	N
獵槍	escopeta	獵槍	escopeta	N	N
戲服	vestiario	戲服	vestiario	N	N
戲服	disfraces	戲服	disfraz	N	N
旅費	cara	旅費	cara	N	N
消瘦	tempo	消瘦	tempo	N	N
罪惡	culpa	罪惡	culpa	N	N
核	reactor	核	reactor	N	N
秒數	segundos	秒數	segundo	N	N
武庫	arsenal	武庫	arsenal	N	N
血跡	sangue	血跡	sangue	N	N
籠子	gaiola	籠子	gaiola	N	N
晚飯	cea	晚飯	cear	N	N
帳單	billetes	帳單	billete	N	N
帳單	contas	帳單	conta	N	N
帳單	facturas	帳單	factura	N	N
蟲子	bugs	蟲子	bugs	N	N
髖	hurra	髖	hurra	N	N
數數	conta	數數	conta	N	N
鋼筆	lápiz	鋼筆	lápiz	N	N
鋼筆	pluma	鋼筆	plumo	N	N
口譯	interpretación	口譯	interpretación	N	N
耳語	na	耳語	na	N	N
山雞	galiña	山雞	galiña	N	N
山雞	polo	山雞	polo	N	N
山雞	pito	山雞	pito	N	N
海帶	algas	海帶	alga	N	N
祝願	gustaríame	祝願	gustaríame	V	V
祝願	desexaría	祝願	desexar	V	V
祝願	oxalá	祝願	oxal	V	V
祝願	desexa	祝願	desexar	V	V
轉帳	transferir	轉帳	transferir	V	V
保險	seguro	保險	seguro	N	N
保險	seguros	保險	seguro	N	N
鰐	crocodilo	鰐	crocodilo	N	N
理髮	pelo	理髮	pelo	N	N
理髮	barbeiro	理髮	barbeiro	N	N
理髮	perruqueiro	理髮	perruqueiro	N	N
老練	sofisticación	老練	sofisticación	N	N
運費	despachos	運費	despacho	N	N
買東	mercar	買東	mercar	V	V
藥方	receitas	藥方	receita	N	N
藥方	receita	藥方	receita	N	N
賣方	libro	賣方	libro	N	N
手	carreta	手	carreta	N	N
手	carro	手	carro	N	N
影象	imaxe	影象	imaxe	N	N
田間	campos	田間	campo	N	N
田間	campo	田間	campo	N	N
田間	leiras	田間	leira	N	N
失業	no	失業	no	V	V
食糖	azucre	食糖	azucrar	N	N
藥	pílula	藥	pílula	N	N
藥	pílulas	藥	pílula	N	N
藥	pastillas	藥	pastilla	N	N
藥	somníferos	藥	somnífer	N	N
乾草	feo	乾草	feo	N	N
口渴	sede	口渴	sede	N	N
口渴	sede	口渴	sede	N	N
圍裙	mandil	圍裙	mandil	N	N
掙	gañar	掙	gañar	V	V
騾	mula	騾	mulo	N	N
聽著	escoitar	聽著	escoitar	V	V
聽著	escoita	聽著	escoita	V	V
聽著	escoite	聽著	escoitar	V	V
洗衣	roupa	洗衣	roupa	N	N
凶	homicidio	凶	homicidio	N	N
麵團	diñeiro	麵團	diñeiro	N	N
口	asubío	口	asubío	N	N
煮飯	cociñar	煮飯	cociñar	V	V
煮飯	cociñando	煮飯	cociñar	V	V
頭疼	cabeza	頭疼	cabeza	N	N
頭疼	dor	頭疼	dor	N	N
污垢	terra	污垢	terra	N	N
輪班	quendas	輪班	quenda	N	N
輪班	horas	輪班	hora	N	N
輪班	quenda	輪班	quenda	N	N
錘子	martelo	錘子	martelo	N	N
午飯	almorzo	午飯	almorzo	N	N
午飯	comida	午飯	comida	N	N
麻袋	saco	麻袋	saco	N	N
腦子	cerebro	腦子	cerebro	N	N
腦子	cerebros	腦子	cerebro	N	N
腦子	cerebrais	腦子	cerebral	N	N
腦子	cerebro	腦子	cerebro	N	N
籬笆	perista	籬笆	perista	N	N
領結	gravata	領結	gravatar	N	N
領結	átenos	領結	átenos	N	N
怯懦	covardía	怯懦	covardía	N	N
泥漿	lama	泥漿	lama	N	N
通風	hidrotérmicos	通風	hidrotérmico	ADJ	ADJ
重擔	carga	重擔	carga	N	N
溢位	derramamentos	溢位	derramamento	N	N
指頭	dedo	指頭	dedo	N	N
叛亂	rebeldes	叛亂	rebelde	N	N
黃油	manteiga	黃油	manteiga	N	N
蓋章	filatelia	蓋章	filatelia	N	N
蓋章	selo	蓋章	selo	N	N
沙袋	sacos	沙袋	saco	N	N
暴發	brote	暴發	brote	N	N
木	xogo	木	xogo	N	N
民主	mercados	民主	mercado	N	N
民主	democracias	民主	democracia	N	N
民主	democracia	民主	democracia	N	N
鏈	cadeas	鏈	cadea	N	N
鏈	cadea	鏈	cadea	N	N
鏈	subministración	鏈	subministración	N	N
鏈	traballos	鏈	traballo	N	N
金剛	diamante	金剛	diamante	N	N
金剛	verdade	金剛	verdade	N	N
哇哇	vaites	哇哇	vaite	N	N
爛	desastre	爛	desastre	N	N
精疲	esgotada	精疲	esgotar	V	V
精疲	exhaustos	精疲	exhausto	V	V
鬱悶	depresión	鬱悶	depresión	N	N
鬱悶	deprimido	鬱悶	deprimir	N	N
叛亂	rebeldes	叛亂	rebelde	N	N
叛亂	rebelde	叛亂	rebeldar	N	N
叛亂	rebeldes	叛亂	rebelde	N	N
沼氣	metano	沼氣	metano	N	N
蠶絲	seda	蠶絲	sedo	N	N
蚊蟲	mosquitos	蚊蟲	mosquito	N	N
噪聲	ruido	噪聲	ruido	N	N
噪聲	ruído	噪聲	ruído	N	N
可蘭	corán	可蘭	corán	N	N
思鄉	da	思鄉	da	V	V
鳥兒	aves	鳥兒	ave	N	N
鳥兒	paxaros	鳥兒	paxar	N	N
呼氣	respiro	呼氣	respiro	N	N
呼氣	alento	呼氣	alento	N	N
呼氣	respiración	呼氣	respiración	N	N
呼氣	folgos	呼氣	folgo	N	N
呼氣	tempo	呼氣	tempo	N	N
貨架	estantes	貨架	estante	N	N
做飯	cociñar	做飯	cociñar	V	V
做飯	cociñar	做飯	cociñar	V	V
做飯	cociñando	做飯	cociñar	V	V
違禁	prohibido	違禁	prohibir	V	V
違禁	prohibidas	違禁	prohibir	V	V
吹哨	asubía	吹哨	asubir	V	V
紙巾	tecido	紙巾	tecido	N	N
款額	cantidade	款額	cantidade	N	N
歡呼	saúde	歡呼	saúde	N	N
醜八	fea	醜八	fear	N	N
醜八	feo	醜八	feo	N	N
調色盤	paleta	調色盤	paleta	N	N
警笛	serea	警笛	ser	N	N
凶	homicidio	凶	homicidio	N	N
結餘	equilibrio	結餘	equilibrio	N	N
結餘	balance	結餘	balance	N	N
別針	prendedor	別針	prendedor	N	N
不管	de	不管	de	ADP	ADP
加冕	da	加冕	da	V	V
臥房	dormitorio	臥房	dormitorio	N	N
書	despacho	書	despacho	N	N
書	mesa	書	mesa	N	N
騾子	mula	騾子	mulo	N	N
管弦	orquestra	管弦	orquestra	N	N
崗	sentinela	崗	sentinela	N	N
烤爐	forno	烤爐	forno	N	N
內科	médico	內科	médico	N	N
彈坑	cráteres	彈坑	cráteres	N	N
偏執	paranoico	偏執	paranoico	N	N
偏執	paranoia	偏執	paranoia	N	N
偏執	paranoide	偏執	paranoide	N	N
睪酮	testosterona	睪酮	testosterona	N	N
吹口	asubía	吹口	asubir	V	V
耗子	rata	耗子	rata	N	N
皮夾	carteira	皮夾	carteira	N	N
皮夾	moedeiro	皮夾	moedeiro	N	N
紀律	disciplina	紀律	disciplina	N	N
陰戶	micho	陰戶	micho	N	N
帳蓬	tenda	帳蓬	tenda	N	N
帳蓬	carpa	帳蓬	carpa	N	N
藥片	pílulas	藥片	pílula	N	N
藥片	pastillas	藥片	pastilla	N	N
藥片	somníferos	藥片	somnífer	N	N
藥片	pílula	藥片	pílula	N	N
竊案	roubo	竊案	roubo	N	N
竊案	invasión	竊案	invasión	N	N
棉質	algodón	棉質	algodón	N	N
鋸子	vino	鋸子	ver	N	N
軟	suave	軟	suave	ADJ	ADJ
野營	campamento	野營	campamento	N	N
惡心	noxento	惡心	noxento	N	N
西紅	tomate	西紅	tomate	N	N
手絹	pano	手絹	pano	N	N
像片	fotos	像片	foto	N	N
像片	fotografías	像片	fotografía	N	N
像片	fotografía	像片	fotografía	N	N
像片	foto	像片	foto	N	N
像片	foto	像片	foto	N	N
像片	fotos	像片	foto	N	N
像片	fotografías	像片	fotografía	N	N
像片	foto	像片	foto	N	N
像片	fotos	像片	foto	N	N
像片	imaxes	像片	imaxe	N	N
像片	fotografías	像片	fotografía	N	N
薪給	nómina	薪給	nómina	N	N
賬	billetes	賬	billete	N	N
賬	contas	賬	conta	N	N
賬	facturas	賬	factura	N	N
早飯	almorzo	早飯	almorzo	N	N
洗洗	lavan	洗洗	lavar	V	V
洗洗	lavar	洗洗	lavar	V	V
推推	presionar	推推	presionar	V	V
低低	baixa	低低	baixa	N	N
低低	baixas	低低	baixa	N	N
低低	baixos	低低	baixo	N	N
案文	texto	案文	texto	N	N
案文	mensaxe	案文	mensaxe	N	N
案文	mensaxes	案文	mensaxe	N	N
