से	from	से	from		
शामिल	włączone	शामिल	włączyć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
शामिल	uwzględnione	शामिल	uwzględnić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
स्थान	miejsce	स्थान	miejsce	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
स्थान	miejsce	स्थान	miejsce	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
स्थान	lokalizacja	स्थान	lokalizacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्थान	położenie	स्थान	położenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
प्रमुख	szef	प्रमुख	szef	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रमुख	major	प्रमुख	major	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्य	zadania	कार्य	zadanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कार्य	zlecenie	कार्य	zlecenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कार्य	praca	कार्य	praca	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्य	praca	कार्य	praca	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्य	zadanie	कार्य	zadanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
नगर	miejscowość	नगर	miejscowość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नगर	miasto	नगर	miasto	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
नगर	miejscowość	नगर	miejscowość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नगर	miasto	नगर	miasto	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
उपयोग	wykorzystanie	उपयोग	wykorzystać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
उपयोग	korzystanie	उपयोग	korzystać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
उपयोग	użycie	उपयोग	użyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
उपयोग	użytkowanie	उपयोग	użytkować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
उपयोग	wykorzystanie	उपयोग	wykorzystać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
लोगों	ludzi	लोग	człowiek	N;ACC;MASC;PL;3	N;ACC;MASC;PL
आधार	baza	आधार	baza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आधार	podstawa	आधार	podstawa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आधार	założenie	आधार	założenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आधार	założenia	आधार	założenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आधार	podstawa	आधार	podstawa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
काम	praca	काम	praca	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जीवन	dożywocie	जीवन	dożywocie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
जीवन	życie	जीवन	życie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विश्व	świat	विश्व	świat	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्माण	tworzenie	निर्माण	tworzyć	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
निर्माण	utworzenie	निर्माण	utworzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
निर्माण	stworzenie	निर्माण	stworzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
निर्माण	konstrukcja	निर्माण	konstrukcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	budownictwo	निर्माण	budownictwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
निर्माण	budowanie	निर्माण	budować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
निर्माण	wytwarzanie	निर्माण	wytwarzać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
निर्माण	produkcja	निर्माण	produkcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गई	poszedł	जा	pójść	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
गई	poszło	जा	pójść	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
जानकारी	informacja	जानकारी	informacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जानकारी	informacja	जानकारी	informacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पोर्टल	portal	पोर्टल	portal	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शहर	miejscowość	शहर	miejscowość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शहर	miasto	शहर	miasto	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बार	bar	बार	bar	N;NOM;FEM;SG;3	N;NOM;MASC;SG
लगभग	prawie	लगभग	prawie	PART	PART
लगभग	około	लगभग	około	PART	PART
फिल्म	folia	फिल्म	folia	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रसिद्ध	sławne	प्रसिद्ध	sławny	ADJ	ADJ;NOM;NEUT;SG
प्रसिद्ध	sławny	प्रसिद्ध	sławny	ADJ	ADJ;NOM;MASC;SG
प्रसिद्ध	sławna	प्रसिद्ध	sławna	ADJ	ADJ;NOM;FEM;SG
विकास	rozwój	विकास	rozwój	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विकास	opracowywanie	विकास	opracowywać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
विकास	opracowanie	विकास	opracowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विकास	rozwój	विकास	rozwój	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विकास	wzrost	विकास	wzrost	N;NOM;MASC;SG;3	N;NOM;MASC;SG
केवल	tylko	केवल	tylko	PART	PART
देश	ojczyzna	देश	ojczyzna	N;NOM;MASC;SG;3	N;NOM;FEM;SG
देश	kraj	देश	kraj	N;NOM;MASC;SG;3	N;NOM;MASC;SG
देश	państwo	देश	państwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
देश	naród	देश	naród	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अलग	rozdzielone	अलग	rozdzielić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
अलग	oddzielone	अलग	oddzielić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
अलग	inna	अलग	inny	ADJ	ADJ;NOM;FEM;SG
अलग	różne	अलग	różny	ADJ	ADJ;NOM;NEUT;SG
अलग	inny	अलग	inny	ADJ	ADJ;NOM;MASC;SG
अलग	różnych	अलग	różny	ADJ	ADJ;GEN;MASC;PL
अलग	osobne	अलग	osobny	ADJ	ADJ;NOM;NEUT;SG
अलग	odrębne	अलग	odrębny	ADJ	ADJ;NOM;NEUT;SG
अलग	oddzielne	अलग	oddzielny	ADJ	ADJ;NOM;NEUT;SG
विशेष	ekskluzywne	विशेष	ekskluzywny	ADJ;NOM	ADJ;NOM;NEUT;SG
विशेष	ekskluzywny	विशेष	ekskluzywny	ADJ;NOM	ADJ;NOM;MASC;SG
विशेष	wyłączne	विशेष	wyłączny	ADJ;NOM	ADJ;NOM;NEUT;SG
विशेष	specjalna	विशेष	specjalny	ADJ;NOM	ADJ;NOM;FEM;SG
विशेष	specjalny	विशेष	specjalny	ADJ;NOM	ADJ;NOM;MASC;SG
विशेष	specjalne	विशेष	specjalny	ADJ;NOM	ADJ;NOM;NEUT;SG
विशेष	wyjątkowy	विशेष	wyjątkowy	ADJ;NOM	ADJ;NOM;MASC;SG
विशेष	szczególne	विशेष	szczególny	ADJ;NOM	ADJ;NOM;NEUT;SG
दी	zważywszy	दे	zważyć	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;PST;V.CVB;ACT
दी	dał	दे	dać	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
पृष्ठ	strona	पृष्ठ	strona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शब्द	słowo	शब्द	słowo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
फिर	wtedy	फिर	wtedy	ADV	ADV
तीन	trzy	तीन	trzy	NUM	NUM;ACC;MASC;PL
पुरस्कार	nagroda	पुरस्कार	nagroda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	wyróżnienie	पुरस्कार	wyróżnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
पुरस्कार	nagroda	पुरस्कार	nagroda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	nagroda	पुरस्कार	nagroda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लेख	artykuł	लेख	artykuł	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मंदिर	świątynia	मंदिर	świątynia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मंदिर	temple	मंदिर	temple	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
स्थल	miejsce	स्थल	miejsce	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विभिन्न	różnych	विभिन्न	różny	ADJ	ADJ;GEN;MASC;PL
विभिन्न	różne	विभिन्न	różny	ADJ	ADJ;NOM;NEUT;SG
विभिन्न	różne	विभिन्न	różny	ADJ	ADJ;NOM;NEUT;SG
इतिहास	historia	इतिहास	historia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
फ़िल्म	folia	फ़िल्म	folia	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्योंकि	bo	क्योंकि	bo	CONJ	CONJ
विस्तृत	szczegółowy	विस्तृत	szczegółowy	ADJ	ADJ;NOM;MASC;SG
विस्तृत	szczegółowe	विस्तृत	szczegółowy	ADJ	ADJ;NOM;NEUT;SG
विस्तृत	wyszukane	विस्तृत	wyszukać	ADJ	ADJ;NOM;NEUT;SG
विस्तृत	wyczerpujące	विस्तृत	wyczerpujący	ADJ	ADJ;NOM;NEUT;SG
विस्तृत	wyczerpujący	विस्तृत	wyczerpujący	ADJ	ADJ;NOM;MASC;SG
विस्तृत	zaawansowanych	विस्तृत	zaawansowany	ADJ	ADJ;GEN;MASC;PL
विस्तृत	zaawansowane	विस्तृत	zaawansować	ADJ	ADJ;NOM;NEUT;SG
विस्तृत	zaawansowana	विस्तृत	zaawansować	ADJ	ADJ;NOM;FEM;SG
विस्तृत	zaawansowany	विस्तृत	zaawansowany	ADJ	ADJ;NOM;MASC;SG
दिन	dzień	दिन	dzień	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कृषि	rolnictwa	कृषि	rolnictwo	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
कृषि	rolnictwo	कृषि	rolnictwo	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
व्यक्ति	osoba	व्यक्ति	osoba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
व्यक्ति	indywidualizm	व्यक्ति	indywidualizm	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विज्ञान	nauka	विज्ञान	nauka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सदस्य	posłowie	सदस्य	poseł	N;NOM;MASC;PL;3	N;NOM;MASC;PL
सदस्य	członkowie	सदस्य	członek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
अनेक	wielu	अनेक	wiele	DET	DET;ACC;MASC;PL
अनेक	wiele	अनेक	wiele	DET	DET;ACC;MASC;PL
अनेक	kilkanaście	अनेक	kilkanaście	DET	DET;ACC;MASC;PL
अनेक	kilka	अनेक	kilka	DET	DET;ACC;MASC;PL
अनेक	kilku	अनेक	kilka	DET	DET;ACC;MASC;PL
अनेक	wiele	अनेक	wiele	DET	DET;ACC;MASC;PL
अनेक	wielu	अनेक	wiele	DET	DET;ACC;MASC;PL
संख्या	numer	संख्या	numer	N;NOM;FEM;SG;3	N;NOM;MASC;SG
संख्या	liczba	संख्या	liczba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
साहित्य	literatura	साहित्य	literatura	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शिक्षा	kształcenie	शिक्षा	kształcenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
शिक्षा	wykształcenie	शिक्षा	wykształcenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
शिक्षा	edukacja	शिक्षा	edukacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
धर्म	wyznanie	धर्म	wyznanie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
धर्म	religia	धर्म	religia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मूल	pochodzenie	मूल	pochodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कोड	code	कोड	cod		
कोड	kodów	कोड	kodywa		
युद्ध	walka	युद्ध	walka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
युद्ध	wojna	युद्ध	wojna	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नदी	rzeka	नदी	rzeka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
काल	okres	काल	okres	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वर्षों	lata	वर्ष	rok	N;NOM;MASC;PL;3	N;NOM;MASC;PL
प्रति	per	प्रति	per		
स्टेशन	posterunek	स्टेशन	posterunek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्टेशन	stacja	स्टेशन	stacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्टेशन	dworzec	स्टेशन	dworzec	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मध्य	central	मध्य	centrala		
मध्य	center	मध्य	center		
राजा	król	राजा	król	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रथम	pierwszy	प्रथम	pierwszy	ADJ	ADJ;NOM;MASC;SG
प्रथम	pierwsze	प्रथम	pierwszy	ADJ	ADJ;NOM;NEUT;SG
प्रथम	pierwsza	प्रथम	pierwszy	ADJ	ADJ;NOM;FEM;SG
विश्वविद्यालय	uczelnie	विश्वविद्यालय	uczelnie	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वविद्यालय	uczelnia	विश्वविद्यालय	uczelniać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वविद्यालय	uniwersytet	विश्वविद्यालय	uniwersytet	N;NOM;MASC;SG;3	N;NOM;MASC;SG
महत्वपूर्ण	ważne	महत्वपूर्ण	ważny	ADJ	ADJ;NOM;NEUT;SG
महत्वपूर्ण	ważny	महत्वपूर्ण	ważny	ADJ	ADJ;NOM;MASC;SG
महत्वपूर्ण	ważna	महत्वपूर्ण	ważny	ADJ	ADJ;NOM;FEM;SG
महत्वपूर्ण	krytyczne	महत्वपूर्ण	krytyczny	ADJ	ADJ;NOM;NEUT;SG
महत्वपूर्ण	krytyczna	महत्वपूर्ण	krytyczny	ADJ	ADJ;NOM;FEM;SG
महत्वपूर्ण	krytyczny	महत्वपूर्ण	krytyczny	ADJ	ADJ;NOM;MASC;SG
महत्वपूर्ण	krytycznych	महत्वपूर्ण	krytyczny	ADJ	ADJ;GEN;MASC;PL
महत्वपूर्ण	doniosłe	महत्वपूर्ण	donieść	ADJ	ADJ;NOM;NEUT;SG
प्रामाणिक	autentyczne	प्रामाणिक	autentyczny	ADJ;NOM	ADJ;NOM;NEUT;SG
प्रामाणिक	autentyczny	प्रामाणिक	autentyczny	ADJ;NOM	ADJ;NOM;MASC;SG
आप	ty	आप	ty	PRO;NOM;SG;2;FORM	PRO;NOM;MASC;SG;2
समूह	zgromadzenie	समूह	zgromadzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
समूह	zgromadzenia	समूह	zgromadzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
समूह	grupa	समूह	grupa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वर्तमान	prąd	वर्तमान	prąd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वर्तमान	teraźniejszość	वर्तमान	teraźniejszość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वर्तमान	prezent	वर्तमान	prezent	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्ययन	nauka	अध्ययन	nauka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अध्ययन	badanie	अध्ययन	badanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विभाग	wydział	विभाग	wydział	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विभाग	departament	विभाग	departament	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विभाग	dział	विभाग	dziać	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विभाग	wydział	विभाग	wydział	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आम	wspólnej	आम	wspólny	ADJ	ADJ;GEN;FEM;SG
आम	wspólny	आम	wspólny	ADJ	ADJ;NOM;MASC;SG
आम	wspólne	आम	wspólny	ADJ	ADJ;NOM;NEUT;SG
स्थिति	status	स्थिति	status	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	położenie	स्थिति	położenie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
स्थिति	stanowisko	स्थिति	stanowisko	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
स्थिति	pozycja	स्थिति	pozycja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थिति	stan	स्थिति	stan	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	państwo	स्थिति	państwo	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
स्थिति	stan	स्थिति	stan	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	sytuacja	स्थिति	sytuacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रभाव	wpływ	प्रभाव	wpływ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रभाव	zderzenie	प्रभाव	zderzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
प्रभाव	uderzenie	प्रभाव	uderzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
प्रभाव	oddziaływanie	प्रभाव	oddziaływać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
