conquistando	conquérir	conquistare	conquérir	V;V.MSDR	V;NFIN
immediato	immédiate	immediato	immédiat	ADJ;MASC;SG	ADJ;FEM;SG
leggeri	légères	leggero	léger	ADJ;MASC;PL	ADJ;FEM;PL
coinvolti	impliqués	coinvolgere	impliquer	V;MASC;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
suicidio	suicide	suicidio	suicide	N;MASC;SG	N;MASC;SG
carbone	houille	carbone	houille	N;MASC;SG	N;FEM;SG
carbone	charbon	carbone	charbon	N;MASC;SG	N;MASC;SG
carbone	charbon	carbone	charbon	N;MASC;SG	N;MASC;SG
carbone	carbone	carbone	carbone	N;MASC;SG	N;MASC;SG
credito	crédit	credito	crédit	N;MASC;SG	N;MASC;SG
adriatico	adriatique	adriatico	adriatique	ADJ;MASC;SG	ADJ;FEM;SG
regolari	régulières	regolare	régulier	ADJ;PL	ADJ;FEM;PL
famose	célèbres	famoso	célèbre	ADJ;FEM;PL	ADJ;MASC;PL
fiamme	flammes	fiamma	flamme	N;FEM;PL	N;FEM;PL
fiamme	flammes	fiamma	flamme	N;FEM;PL	N;FEM;PL
august	aout	august	août	N;MASC	N;MASC;SG
august	août	august	août	N;MASC	N;MASC;SG
comunisti	communistes	comunista	communiste	N;MASC;PL	N;MASC;PL
comunisti	communistes	comunista	communiste	N;MASC;PL	N;MASC;PL
organismi	organismes	organismo	organisme	N;MASC;PL	N;MASC;PL
pienamente	complètement	pienamente	complètement	ADV	ADV
pienamente	pleinement	pienamente	pleinement	ADV	ADV
pienamente	entièrement	pienamente	entièrement	ADV	ADV
pienamente	totalement	pienamente	totalement	ADV	ADV
terribile	affreux	terribile	affreux	ADJ;SG	ADJ;MASC;SG
terribile	horrible	terribile	horrible	ADJ;SG	ADJ;MASC;SG
terribile	affreux	terribile	affreux	ADJ;SG	ADJ;MASC;SG
terribile	terrible	terribile	terrible	ADJ;SG	ADJ;MASC;SG
terribile	épouvantable	terribile	épouvantable	ADJ;SG	ADJ;MASC;SG
terribile	horrible	terribile	horrible	ADJ;SG	ADJ;MASC;SG
hell	enfer	hell	enfer	N	N;MASC;SG
kiss	bisou	kiss	bisou	N	N;MASC;SG
gestita	gérée	gestire	gérer	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
gestita	géré	gestire	gérer	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
topolino	souris	topolino	souris	N;MASC;SG	N;FEM;SG
sedici	seize	sedici	seize	NUM	NUM
anticipo	advance	anticipo	advance	N;MASC;SG	N;SG
anticipo	avance	anticipo	avance	N;MASC;SG	N;FEM;SG
philadelphia	philadelphie	philadelphia	philadelphie	N;FEM;SG	N;FEM;SG
crimine	délit	crimine	délit	N;MASC;SG	N;MASC;SG
crimine	délinquance	crimine	délinquance	N;MASC;SG	N;FEM;SG
crimine	criminalité	crimine	criminalité	N;MASC;SG	N;FEM;SG
crimine	crime	crimine	crime	N;MASC;SG	N;MASC;SG
ispirata	inspiré	ispirare	inspirer	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ispirata	inspirée	ispirare	inspirer	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
empire	empire	empire	empire	N;SG	N;MASC;SG
teatri	théâtres	teatro	théâtre	N;MASC;PL	N;MASC;PL
teatri	théâtres	teatro	théâtre	N;MASC;PL	N;MASC;PL
taglia	coupe	taglia	coupe	N;FEM;SG	N;FEM;SG
taglia	taille	taglia	taille	N;FEM;SG	N;FEM;SG
taglia	pointure	taglia	pointure	N;FEM;SG	N;FEM;SG
orange	orange	orangia	orange	N;FEM;SG	N;FEM;SG
rettangolare	rectangulaire	rettangolare	rectangulaire	ADJ;SG	ADJ;MASC;SG
intensa	intense	intenso	intense	ADJ;FEM;SG	ADJ;FEM;SG
laser	laser	laser	laser	N;MASC	N;MASC;SG
laser	lasers	laser	laser	N;MASC	N;MASC;PL
laser	lasers	laser	laser	N;MASC	N;MASC;PL
mentale	mentale	mentale	mental	ADJ;SG	ADJ;FEM;SG
mentale	mental	mentale	mental	ADJ;SG	ADJ;MASC;SG
allenamento	entrainement	allenamento	entraînement	N;MASC;SG	N;MASC;SG
allenamento	entraînement	allenamento	entraînement	N;MASC;SG	N;MASC;SG
ritratti	portraits	ritratto	portrait	N;MASC;PL	N;MASC;PL
sergente	sergent	sergente	sergent	N;MASC;SG	N;MASC;SG
sergente	sarge	sergente	sarge	N;MASC;SG	N;FEM;SG
sergente	sergent	sergente	sergent	N;MASC;SG	N;MASC;SG
sergente	adjudant	sergente	adjuder	N;MASC;SG	N;MASC;SG
divenire	devenez	divenire	devoir	V;NFIN	V;IMP;PL;2;PRS;FIN
divenire	deviennent	divenire	devenir	V;NFIN	V;IND;PL;3;PRS;FIN
divenire	deviens	divenire	devenir	V;NFIN	V;IND;SG;2;PRS;FIN
divenire	devenir	divenire	devenir	V;NFIN	V;NFIN
divenire	devenant	divenire	devenir	V;NFIN	V;PRS;V.PTCP
divenire	devenir	divenire	devenir	V;NFIN	V;NFIN
invenzione	invention	invenzione	invention	N;FEM;SG	N;FEM;SG
ristorante	restaurant	ristorante	restaurant	N;MASC;SG	N;MASC;SG
ristorante	gastronomie	ristorante	gastronomie	N;MASC;SG	N;FEM;SG
marchi	marques	marchio	marque	N;MASC;PL	N;FEM;PL
marchi	marques	marchio	marque	N;MASC;PL	N;FEM;PL
marchi	marks	marchio	mark	N;MASC;PL	N;MASC;PL
marchi	marques	marchio	marque	N;MASC;PL	N;FEM;PL
borghese	bourgeoisie	borghese	bourgeoisie	N;MASC;SG	N;FEM;SG
borghese	bourgeois	borghese	bourgeois	N;MASC;SG	N;MASC;SG
channel	canal	channel	canal	N;MASC	N;MASC;SG
channel	chaîne	channel	chaîne	N;MASC	N;FEM;SG
channel	chenal	channel	chenal	N;MASC	N;MASC;SG
channel	channel	channel	channel	N;MASC	N;MASC;SG
indipendentemente	indépendamment	indipendentemente	indépendamment	ADV	ADV
polemiche	controverses	polemica	controverse	N;FEM;PL	N;FEM;PL
polemiche	controverses	polemica	controverse	N;FEM;PL	N;FEM;PL
frequenta	assiste	frequentare	assister	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
tentare	tenter	tentare	tenter	V;NFIN	V;NFIN
antologia	anthologie	antologia	anthologie	N;FEM;SG	N;FEM;SG
ritardo	retard	ritardo	retard	N;MASC;SG	N;MASC;SG
ritardo	délai	ritardo	délai	N;MASC;SG	N;MASC;SG
ritardo	retard	ritardo	retard	N;MASC;SG	N;MASC;SG
ritardo	retard	ritardo	retard	N;MASC;SG	N;MASC;SG
fauna	faune	fauna	faune	N;FEM;SG	N;FEM;SG
cancro	cancer	cancro	cancer	N;MASC;SG	N;MASC;SG
louise	louise	louiso	louise	N;FEM;SG	N;FEM;SG
soprannominato	surnommé	soprannominare	surnommer	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
soprannominato	surnommé	soprannominare	surnommer	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
soprannominato	surnommée	soprannominare	surnommer	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
bande	bandes	banda	bande	N;FEM;PL	N;FEM;PL
bande	groupes	banda	groupe	N;FEM;PL	N;MASC;PL
bande	gangs	banda	gang	N;FEM;PL	N;MASC;PL
cappelle	chapelles	cappella	chapelle	N;FEM;PL	N;FEM;PL
beata	bienheureux	beato	bienheureux	ADJ;FEM;SG	ADJ;MASC;SG
perfetta	parfait	perfetto	parfait	ADJ;FEM;SG	ADJ;MASC;SG
perfetta	parfaite	perfetto	parfait	ADJ;FEM;SG	ADJ;FEM;SG
perfetta	impeccable	perfetto	impeccable	ADJ;FEM;SG	ADJ;MASC;SG
perfetta	irréprochable	perfetto	irréprochable	ADJ;FEM;SG	ADJ;MASC;SG
pontefice	pontife	pontefice	pontife	N;MASC;SG	N;MASC;SG
autrice	auteure	autore	auteure	N;FEM;SG	N;FEM;SG
autrice	auteur	autore	auteur	N;FEM;SG	N;MASC;SG
prete	priest	prete	priest	N;MASC;SG	N;MASC;SG
prete	prêtre	prete	prêtre	N;MASC;SG	N;MASC;SG
prete	curé	prete	curé	N;MASC;SG	N;MASC;SG
cadavere	cadavre	cadavere	cadavre	N;MASC;SG	N;MASC;SG
cadavere	cadavre	cadavere	cadavre	N;MASC;SG	N;MASC;SG
periferia	banlieue	periferia	banlieue	N;FEM;SG	N;FEM;SG
periferia	faubourg	periferia	faubourg	N;FEM;SG	N;MASC;SG
periferia	banlieue	periferia	banlieue	N;FEM;SG	N;FEM;SG
periferia	périphérie	periferia	périphérie	N;FEM;SG	N;FEM;SG
periferia	périphérie	periferia	périphérie	N;FEM;SG	N;FEM;SG
periferia	banlieue	periferia	banlieue	N;FEM;SG	N;FEM;SG
cranio	crâne	cranio	crâne	N;MASC;SG	N;MASC;SG
cranio	crâne	cranio	crâne	N;MASC;SG	N;MASC;SG
nono	neuvième	nono	neuvième	ADJ;MASC;SG	ADJ;MASC;SG
sguardo	regard	sguardo	regard	N;MASC;SG	N;MASC;SG
borgogna	bourgogne	borgogna	bourgogne	N;FEM;SG	N;MASC;SG
borgogna	bourgogne	borgogna	bourgogne	N;FEM;SG	N;MASC;SG
orizzontale	horizontal	orizzontale	horizontal	ADJ;SG	ADJ;MASC;SG
orizzontale	horizontale	orizzontale	horizontal	ADJ;SG	ADJ;FEM;SG
catturare	capturer	catturare	capturer	V;NFIN	V;NFIN
catturare	capter	catturare	capter	V;NFIN	V;NFIN
catturare	capturer	catturare	capturer	V;NFIN	V;NFIN
catturare	capter	catturare	capter	V;NFIN	V;NFIN
strati	pondeuses	strato	pondeur	N;MASC;PL	N;FEM;PL
strati	couches	strato	couche	N;MASC;PL	N;FEM;PL
strati	calques	strato	calque	N;MASC;PL	N;MASC;PL
strati	strates	strato	strate	N;MASC;PL	N;FEM;PL
campana	cloche	campana	cloche	N;FEM;SG	N;FEM;SG
campana	clochette	campana	clochette	N;FEM;SG	N;FEM;SG
frederick	frederick	frederick	frederick	N;MASC	N;MASC;SG
tombe	tombes	tomba	tombe	N;FEM;PL	N;FEM;PL
tombe	tombeaux	tomba	tombeau	N;FEM;PL	N;MASC;PL
tombe	fosses	tomba	fosse	N;FEM;PL	N;FEM;PL
tombe	tombes	tomba	tombe	N;FEM;PL	N;FEM;PL
tombe	tombeaux	tomba	tombeau	N;FEM;PL	N;MASC;PL
studia	étudier	studiare	étudier	V;IND;SG;3;PRS;FIN	V;NFIN
ricostruita	reconstitué	ricostruire	reconstituer	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ricostruita	reconstruite	ricostruire	reconstruire	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
ricostruita	reconstruit	ricostruire	reconstruire	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ricostruita	reconstruite	ricostruire	reconstruire	V;FEM;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
ricostruita	reconstruit	ricostruire	reconstruire	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
gambe	cuisses	gamba	cuisse	N;FEM;PL	N;FEM;PL
gambe	jambes	gamba	jambe	N;FEM;PL	N;FEM;PL
gambe	pattes	gamba	patte	N;FEM;PL	N;FEM;PL
puro	pur	puro	pur	ADJ;MASC;SG	ADJ;MASC;SG
puro	pure	puro	pur	ADJ;MASC;SG	ADJ;FEM;SG
miles	milles	miles	mille	N	N;MASC;PL
miles	kilomètres	miles	kilomètre	N	N;MASC;PL
miles	miles	miles	mile	N	N;MASC;PL
connessione	branchement	connessione	branchement	N;FEM;SG	N;MASC;SG
connessione	raccordement	connessione	raccordement	N;FEM;SG	N;MASC;SG
connessione	connexion	connessione	connexion	N;FEM;SG	N;FEM;SG
connessione	raccordement	connessione	raccordement	N;FEM;SG	N;MASC;SG
connessione	connexion	connessione	connexion	N;FEM;SG	N;FEM;SG
rappresentanza	représentation	rappresentanza	représentation	N;FEM;SG	N;FEM;SG
anziani	aînés	anziano	aîné	N;MASC;PL	N;MASC;PL
predecessore	prédécesseur	predecessore	prédécesseur	N;MASC;SG	N;MASC;SG
canne	roseaux	canne	roseau	N;FEM;PL	N;MASC;PL
intellettuale	intellectuelle	intellettuale	intellectuel	ADJ;SG	ADJ;FEM;SG
intellettuale	intellectuel	intellettuale	intellectuel	ADJ;SG	ADJ;MASC;SG
marittima	maritime	marittimo	maritime	ADJ;FEM;SG	ADJ;MASC;SG
classiche	classiques	classico	classique	ADJ;FEM;PL	ADJ;MASC;PL
classiche	classiques	classico	classique	ADJ;FEM;PL	ADJ;MASC;PL
efficacia	efficacité	efficacia	efficacité	N;FEM;SG	N;FEM;SG
efficacia	effectivité	efficacia	effectivité	N;FEM;SG	N;FEM;SG
efficacia	efficacité	efficacia	efficacité	N;FEM;SG	N;FEM;SG
efficacia	effectivité	efficacia	effectivité	N;FEM;SG	N;FEM;SG
spot	spot	spot	spot	N;MASC	N;MASC;SG
batterie	batteries	batteria	batterie	N;FEM;PL	N;FEM;PL
batterie	piles	batteria	pile	N;FEM;PL	N;FEM;PL
batterie	accumulateurs	batteria	accumulateur	N;FEM;PL	N;MASC;PL
collezioni	collections	collezione	collection	N;FEM;PL	N;FEM;PL
riservato	confidentielle	riservato	confidentiel	ADJ;MASC;SG	ADJ;FEM;SG
riservato	confidentiel	riservato	confidentiel	ADJ;MASC;SG	ADJ;MASC;SG
manoscritto	manuscrit	manoscritto	manuscrit	N;MASC;SG	N;MASC;SG
jake	jake	jake	jake	N;MASC	N;MASC;SG
completamento	achèvement	completamento	achèvement	N;MASC;SG	N;MASC;SG
acronimo	acronyme	acronimo	acronyme	N;MASC;SG	N;MASC;SG
acronimo	sigle	acronimo	sigle	N;MASC;SG	N;MASC;SG
premiato	récompensée	premiare	récompenser	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
premiato	récompensé	premiare	récompenser	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
armatura	blindage	armatura	blindage	N;FEM;SG	N;MASC;SG
armatura	armure	armatura	armure	N;FEM;SG	N;FEM;SG
armatura	blindage	armatura	blindage	N;FEM;SG	N;MASC;SG
armatura	armure	armatura	armure	N;FEM;SG	N;FEM;SG
buio	noir	buio	noir	N;MASC;SG	N;MASC;SG
buio	noirceur	buio	noirceur	N;MASC;SG	N;FEM;SG
buio	pénombre	buio	pénombre	N;MASC;SG	N;FEM;SG
buio	obscurité	buio	obscurité	N;MASC;SG	N;FEM;SG
dono	cadeau	dono	cadeau	N;MASC;SG	N;MASC;SG
allevamento	élevage	allevamento	élevage	N;MASC;SG	N;MASC;SG
allevamento	elevage	allevamento	elevage	N;MASC;SG	N;MASC;SG
allevamento	reproduction	allevamento	reproduction	N;MASC;SG	N;FEM;SG
jules	jules	jules	jule	N;MASC;SG	N;MASC;SG
prestigio	prestige	prestigio	prestige	N;MASC;SG	N;MASC;SG
munizioni	munitions	munizione	munition	N;FEM;PL	N;FEM;PL
munizioni	munitions	munizione	munition	N;FEM;PL	N;FEM;PL
munizioni	munitions	munizione	munition	N;FEM;PL	N;FEM;PL
votato	votée	votare	voter	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
votato	voté	votare	voter	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
esisteva	existait	esistere	exister	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
trionfo	triomphe	trionfo	triomphe	N;MASC;SG	N;MASC;SG
trionfo	triumph	trionfo	triumph	N;MASC;SG	N;MASC;SG
identificato	identifiée	identificare	identifier	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
identificato	identifié	identificare	identifier	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
english	anglais	english	anglais	N	N;MASC;SG
lettori	lecteurs	lettore	lecteur	N;MASC;PL	N;MASC;PL
approvato	approuvé	approvare	approuver	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
approvato	approuvée	approvare	approuver	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
approvato	agréée	approvare	agréée	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
approvato	agréé	approvare	agrée	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
organizzatore	organisateur	organizzatore	organisateur	N;MASC;SG	N;MASC;SG
organizzatore	organisateur	organizzatore	organisateur	N;MASC;SG	N;MASC;SG
vertici	sommets	vertice	sommet	N;MASC;PL	N;MASC;PL
industrie	industries	industria	industrie	N;FEM;PL	N;FEM;PL
gemelli	jumeaux	gemello	jumeau	N;MASC;PL	N;MASC;PL
gemelli	jumelles	gemello	jumeau	N;MASC;PL	N;FEM;PL
gemelli	jumelles	gemello	jumeau	N;MASC;PL	N;FEM;PL
gemelli	jumeaux	gemello	jumeau	N;MASC;PL	N;MASC;PL
invitato	invité	invitare	inviter	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
invitato	invitée	invitare	inviter	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
presumibilmente	vraisemblablement	presumibilmente	vraisemblablement	ADV	ADV
presumibilmente	prétendument	presumibilmente	prétendument	ADV	ADV
presumibilmente	prétendument	presumibilmente	prétendument	ADV	ADV
pareri	opinions	parere	opinion	N;MASC;PL	N;FEM;PL
riuniti	réunis	riunito	réunir	V;MASC;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
meccanico	mécanique	meccanico	mécanique	ADJ;MASC;SG	ADJ;MASC;SG
trilogia	trilogie	trilogia	trilogie	N;FEM;SG	N;FEM;SG
servire	servant	servire	servir	V;NFIN	V;PRS;V.PTCP
servire	servir	servire	servir	V;NFIN	V;NFIN
servire	servir	servire	servir	V;NFIN	V;NFIN
servire	sers	servire	ser	V;NFIN	V;IND;SG;1;PRS;FIN
servire	servez	servire	servir	V;NFIN	V;IMP;PL;2;PRS;FIN
abile	habile	abile	habile	ADJ;SG	ADJ;MASC;SG
abile	adepte	abile	adepte	ADJ;SG	ADJ;MASC;SG
abile	habile	abile	habile	ADJ;SG	ADJ;MASC;SG
