задняя	zadní	задний	zadní	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
боги	bozi	бог	bůh	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
обложка	obal	обложка	obal	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
обложка	krytí	обложка	krytí	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
обложка	pokrytí	обложка	pokrytí	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
классическая	klasický	классический	klasický	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
классическая	klasické	классический	klasický	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
классическая	klasická	классический	klasický	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
классическая	klasické	классический	klasický	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
классическая	klasická	классический	klasický	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
классическая	klasický	классический	klasický	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
картинки	obrázky	картинка	obrázek	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
картинки	obrazy	картинка	obraz	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
картинки	fotky	картинка	fotka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
картинки	obrázky	картинка	obrázek	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
перепись	sčítání	перепись	sčítání	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
принадлежали	patřili	принадлежать	patřit	V;IPFV;IND;PL;PST;FIN;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP;ACT
принадлежали	patřily	принадлежать	patřit	V;IPFV;IND;PL;PST;FIN;ACT	V;INAN;IPFV;PL;POS;PST;V.PTCP;ACT
объяснения	vysvětlivky	объяснение	vysvětlivka	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL;POS
швейцарский	švýcarský	швейцарский	švýcarský	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
швейцарский	švýcarská	швейцарский	švýcarský	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
швейцарский	švýcarské	швейцарский	švýcarský	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
зубов	zubů	зуб	zub	N;INAN;GEN;MASC;PL	N;INAN;GEN;MASC;PL;POS
грант	grant	грант	grant	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
постановления	rozsudky	постановление	rozsudek	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
дискуссия	diskuse	дискуссия	diskuse	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
дискуссия	diskuze	дискуссия	diskuse	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
барабаны	bubny	барабан	buben	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
студент	studentka	студент	studentka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
студент	žák	студент	žák	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
студент	student	студент	student	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
водорода	vodíku	водород	vodík	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
шотландский	skotské	шотландский	skotský	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
шотландский	skotská	шотландский	skotský	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
образы	obrázky	образ	obrázek	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
образы	obrazy	образ	obraz	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
домашние	domácí	домашний	domácí	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;PL;POS
дэн	dane	дэн	daň	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
приборы	přístroje	прибор	přístroj	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
приборы	nástroje	прибор	nástroj	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
арест	zatčení	арест	zatčení	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
рисунки	fotky	рисунок	fotka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
рисунки	obrázky	рисунок	obrázek	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
рисунки	kresby	рисунок	kresba	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
рисунки	výkresy	рисунок	výkres	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
рисунки	nákresy	рисунок	nákres	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
заказ	pořádek	заказ	pořádek	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
заказ	řád	заказ	řád	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
заказ	pořadí	заказ	pořadí	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
заказ	objednávka	заказ	objednávka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
социальный	společenské	социальный	společenský	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
социальный	sociální	социальный	sociální	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
социальный	společenský	социальный	společenský	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
социальный	společenská	социальный	společenský	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
выразил	vyjádřil	выразить	vyjádřit	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
реальность	skutečnost	реальность	skutečnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
реальность	realita	реальность	realita	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
хасан	hasan	хасан	hasan	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
намерения	úmysly	намерение	úmysl	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
намерения	záměry	намерение	záměr	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
хоп	hop	хоп	hop	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
юлий	julius	юлий	julius	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
арбитр	rozhodce	арбитр	rozhodce	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
арбитр	rozhodčí	арбитр	rozhodčí	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
свадьба	svatba	свадьба	svatba	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
журналистики	žurnalistiky	журналистика	žurnalistika	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
преобразование	přepočet	преобразование	přepočet	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
преобразование	přeměna	преобразование	přeměna	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
преобразование	konverze	преобразование	konverze	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
преобразование	proměna	преобразование	proměna	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
преобразование	přeměna	преобразование	přeměna	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
преобразование	transformace	преобразование	transformace	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
ученый	vědec	ученый	vědec	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
ученый	učenec	ученый	učenec	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
театры	divadla	театр	divadlo	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL;POS
гитары	kytary	гитара	kytara	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
политехнический	polytechnické	политехнический	polytechnický	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
мельница	mlýn	мельница	mlýn	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
механик	mechanika	механик	mechanika	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
механик	mechanik	механик	mechanik	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
склад	skladiště	склад	skladiště	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
склад	sklad	склад	sklad	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
склад	sklad	склад	sklad	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
склад	úložiště	склад	úložiště	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
склад	uchovávání	склад	uchovávání	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
склад	skladování	склад	skladování	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
публично	veřejně	публично	veřejně	ADV	ADV;POS
чрезвычайный	neobyčejný	чрезвычайный	obyčejný	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;NEG
чрезвычайный	mimořádná	чрезвычайный	mimořádný	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
критическое	kritický	критический	kritický	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
критическое	kritická	критический	kritický	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
критическое	kritické	критический	kritický	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
особняк	sídlo	особняк	sídlo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
хлеб	pečivo	хлеб	pečivo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
хлеб	chleba	хлеб	chléb	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
хлеб	chléb	хлеб	chléb	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
сады	sady	сад	sada	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
сады	zahrady	сад	zahrada	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
движок	motor	движок	motor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
девочки	dívky	девочка	dívka	N;ANIM;NOM;FEM;PL	N;NOM;FEM;PL;POS
девочки	holčičky	девочка	holčička	N;ANIM;NOM;FEM;PL	N;NOM;FEM;PL;POS
девочки	holky	девочка	holka	N;ANIM;NOM;FEM;PL	N;NOM;FEM;PL;POS
девочки	děvčata	девочка	děvče	N;ANIM;NOM;FEM;PL	N;NOM;NEUT;PL;POS
освободить	propustit	освободить	propustit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
освободить	uvolnit	освободить	uvolnit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
освободить	osvobodit	освободить	osvobodit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
медицинская	lékařská	медицинский	lékařský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
медицинская	lékařský	медицинский	lékařský	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
медицинская	lékařské	медицинский	lékařský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
логично	logické	логичный	logický	ADJ;NEUT;SG	ADJ;NOM;NEUT;SG;POS
логично	logický	логичный	logický	ADJ;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
логично	logická	логичный	logický	ADJ;NEUT;SG	ADJ;NOM;FEM;SG;POS
выпускников	absolventů	выпускник	absolvent	N;ANIM;GEN;MASC;PL	N;ANIM;GEN;MASC;PL;POS
выпускников	absolventů	выпускник	absolvent	N;ANIM;GEN;MASC;PL	N;ANIM;GEN;MASC;PL;POS
месяцы	měsíce	месяц	měsíc	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
индонезия	indonésie	индонезия	indonésie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
дизайнер	návrhář	дизайнер	návrhář	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
стол	stůl	стол	stůl	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
стол	tabulka	стол	tabulka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
стол	stolek	стол	stolek	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
стол	stůl	стол	stůl	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
могилы	hroby	могила	hrob	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
королевская	královské	королевский	královský	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
королевская	královská	королевский	královský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
королевская	královský	королевский	královský	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
белков	proteinů	белок	protein	N;INAN;GEN;MASC;PL	N;INAN;GEN;MASC;PL;POS
белков	bílkovin	белок	bílkovina	N;INAN;GEN;MASC;PL	N;GEN;FEM;PL;POS
способствовало	přispěl	способствовать	přispět	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
способствовало	přispělo	способствовать	přispět	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;NEUT;SG;POS;PST;V.PTCP;ACT
казнь	poprava	казнь	poprava	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
казнь	vykonání	казнь	vykonání	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
казнь	provedení	казнь	provedení	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
совершает	spáchá	совершать	spáchat	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
совершает	zavazuje	совершать	zavazovat	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
самцы	samci	самец	samec	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
убедить	přesvědčit	убедить	přesvědčit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
убедить	přesvědčit	убедить	přesvědčit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
технику	techniku	техника	technika	N;INAN;ACC;FEM;SG	N;ACC;FEM;SG;POS
цветы	květiny	цветы	květina	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
цветы	květy	цветы	květ	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
рыцарь	rytíř	рыцарь	rytíř	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
прокат	pronájem	прокат	pronájem	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
прокат	půjčovna	прокат	půjčovna	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
прокат	nájemné	прокат	nájemné	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
прокат	pronájem	прокат	pronájem	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
прокат	nájem	прокат	nájem	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
наблюдать	pozorovat	наблюдать	pozorovat	V;IPFV;NFIN;ACT	V;IPFV;POS;NFIN
северное	severní	северный	severní	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
ценностей	hodnot	ценность	hodnota	N;INAN;GEN;FEM;PL	N;GEN;FEM;PL;POS
реплика	narážka	реплика	narážka	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
одежда	oděv	одежда	oděv	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
одежда	oblečení	одежда	oblečení	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
одежда	oděv	одежда	oděv	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
одежда	oblečení	одежда	oblečení	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
тяжёлая	těžká	тяжелый	těžký	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
тяжёлая	těžké	тяжелый	těžký	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
тяжёлая	těžký	тяжелый	těžký	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
вдова	vdovec	вдова	vdovec	N;ANIM;NOM;FEM;SG	N;ANIM;NOM;MASC;SG;POS
вдова	vdova	вдова	vdova	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
грибы	houby	гриб	houba	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
грибы	houby	гриб	houba	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
грибы	houby	гриб	houba	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
идеологии	ideologie	идеология	ideologie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
идеологии	ideologie	идеология	ideologie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
разрешить	povolit	разрешить	povolit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
разрешить	umožnit	разрешить	umožnit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
разрешить	povolit	разрешить	povolit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
барбара	barbara	барбар	barbar	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
псевдонимы	přezdívky	псевдоним	přezdívka	N;ANIM;NOM;MASC;PL	N;NOM;FEM;PL;POS
законодательство	legislativa	законодательство	legislativa	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
тон	tón	тон	tón	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
планете	planetě	планета	planeta	N;INAN;DAT;FEM;SG	N;DAT;FEM;SG;POS
потомков	potomků	потомок	potomek	N;ANIM;GEN;MASC;PL	N;ANIM;GEN;MASC;PL;POS
регистр	registr	регистр	registr	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
регистр	registr	регистр	registr	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
регистр	rejstřík	регистр	rejstřík	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
прототип	prototyp	прототип	prototyp	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
творческий	kreativní	творческий	kreativní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
творческий	tvůrčí	творческий	tvůrčí	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
химический	chemická	химический	chemický	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
химический	chemické	химический	chemický	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
химический	chemický	химический	chemický	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
ближайший	nejbližší	близкий	blízký	ADJ;NOM;RL;MASC;SG	ADJ;NOM;RL;MASC;SG;POS
ближайший	nejbližší	близкий	blízký	ADJ;NOM;RL;MASC;SG	ADJ;NOM;RL;MASC;SG;POS
астрономы	astronomové	астроном	astronom	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
украинцы	ukrajinci	украинец	ukrajinec	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
коды	kódy	код	kód	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
среду	středu	среда	středa	N;INAN;ACC;FEM;SG	N;ACC;FEM;SG;POS
уголовное	kriminální	уголовный	kriminální	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
уголовное	trestní	уголовный	trestní	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
капитал	kapitál	капитал	kapitál	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
монография	monografie	монография	monografie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
вкус	chuť	вкус	chuť	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
вкус	chuť	вкус	chuť	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
вкус	příchuť	вкус	příchuť	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
племя	kmen	племя	kmen	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
дама	dáma	дама	dáma	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
дама	lady	дама	lady	N;ANIM;NOM;FEM;SG	N;FEM;SG;POS
дама	paní	дама	paní	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
атлетика	atletika	атлетика	atletika	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
ставки	sázky	ставка	sázka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
ставки	sázky	ставка	sázka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
ставки	sazby	ставка	sazba	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
ставки	sázky	ставка	sázka	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
подруга	přítelkyně	подруга	přítelkyně	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
подруга	kamarád	подруга	kamarád	N;ANIM;NOM;FEM;SG	N;ANIM;NOM;MASC;SG;POS
подруга	kamarádka	подруга	kamarádek	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
подруга	přítel	подруга	přítel	N;ANIM;NOM;FEM;SG	N;ANIM;NOM;MASC;SG;POS
клиентов	zákazníků	клиент	zákazník	N;ANIM;GEN;MASC;PL	N;ANIM;GEN;MASC;PL;POS
выпускник	absolvent	выпускник	absolvent	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
возникновение	vznik	возникновение	vznik	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
остановка	zastavení	остановка	zastavení	N;INAN;NOM;FEM;SG	N;NOM;NEUT;SG;POS
гвинея	guinea	гвинее	guinea	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
реформа	reforma	реформа	reforma	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
войти	přihlásit	войти	přihlásit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
войти	vstoupit	войти	vstoupit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
войти	zadejte	войти	zadat	V;PFV;NFIN;ACT	V;PFV;IMP;PL;2;POS;FIN
войти	vstupte	войти	vstupit	V;PFV;NFIN;ACT	V;PFV;IMP;PL;2;POS;FIN
скрипки	housle	скрипок	housle	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
дева	panna	дева	panna	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
дева	panna	дева	panna	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
висит	visí	висеть	viset	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
