gard	gard	gard	gard	N;MASC;SG	N;INDF;MASC+FEM;SG
obligé	forpligtet	obliger	forpligte	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
vilaine	frækt	vilaine	frække	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
vilaine	fræk	vilaine	fræk	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
vilaine	uartig	vilaine	uartig	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
vilaine	grim	vilaine	grim	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
réalisations	resultater	réalisation	resultat	N;FEM;PL	N;INDF;NEUT;PL
réalisations	bedrifter	réalisation	bedrifter	N;FEM;PL	N;INDF;MASC+FEM;PL
kings	konger	king	konge	N;MASC;PL	N;INDF;MASC+FEM;PL
puissante	kraftfuld	puissant	kraftfuld	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
puissante	magtfuld	puissant	magtfuld	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
astronomie	astronomi	astronomie	astronomi	N;FEM;SG	N;INDF;MASC+FEM;SG
tombé	faldt	tomber	falde	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
tombé	faldet	tomber	falde	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
tombé	væltede	tomber	vælte	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
tombé	faldet	tomber	falde	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
escadron	eskadrille	escadron	eskadrille	N;MASC;SG	N;INDF;MASC+FEM;SG
escadron	trup	escadron	trup	N;MASC;SG	N;INDF;MASC+FEM;SG
immatriculation	registrering	immatriculation	registrering	N;FEM;SG	N;INDF;MASC+FEM;SG
immatriculation	tilmelding	immatriculation	tilmelding	N;FEM;SG	N;INDF;MASC+FEM;SG
immatriculation	indregistrering	immatriculation	indregistrering	N;FEM;SG	N;INDF;MASC+FEM;SG
juridiction	jurisdiktion	juridiction	jurisdiktion	N;FEM;SG	N;INDF;MASC+FEM;SG
juridiction	kompetence	juridiction	kompetence	N;FEM;SG	N;INDF;MASC+FEM;SG
terminer	afslut	terminer	afslut	V;NFIN	V;IMP
terminer	færdiggør	terminer	færdiggøre	V;NFIN	V;IND;PRS;FIN;ACT
terminer	afsluttende	terminer	afslutte	V;NFIN	V;PRS;V.PTCP
terminer	færdiggør	terminer	færdiggøre	V;NFIN	V;IND;PRS;FIN;ACT
claviers	tastaturer	clavier	tastatur	N;MASC;PL	N;INDF;MASC+FEM;PL
conclut	konkluderer	conclure	konkludere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
engagés	hyrede	engager	hyre	V;MASC;PL;PST;V.PTCP	V;IND;PST;FIN;ACT
engagés	engagerede	engager	engagere	V;MASC;PL;PST;V.PTCP	V;PL;PST;V.PTCP
engagés	engagerede	engager	engagere	V;MASC;PL;PST;V.PTCP	V;PL;PST;V.PTCP
engagés	forpligtede	engager	forpligte	V;MASC;PL;PST;V.PTCP	V;PL;PST;V.PTCP
mandats	mandater	mandat	mandat	N;MASC;PL	N;INDF;NEUT;PL
mandats	mandaterne	mandat	mandat	N;MASC;PL	N;DEF;NEUT;PL
sarthe	sarthe	sarthe	sarthe	N;FEM;SG	N;INDF;MASC+FEM;SG
proposée	friede	proposer	fri	V;FEM;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
proposée	foreslået	proposer	foreslå	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
élimination	afskaffelse	élimination	afskaffelse	N;FEM;SG	N;INDF;MASC+FEM;SG
élimination	eliminering	élimination	eliminering	N;FEM;SG	N;INDF;MASC+FEM;SG
élimination	fjernelse	élimination	fjernelse	N;FEM;SG	N;INDF;MASC+FEM;SG
élimination	bortskaffelse	élimination	bortskaffelse	N;FEM;SG	N;INDF;MASC+FEM;SG
consacrer	dedikere	consacrer	dediker	V;NFIN	V;NFIN;ACT
consacrer	helliger	consacrer	helliger	V;NFIN	V;IND;PRS;FIN;ACT
aviron	roning	aviron	roning	N;MASC;SG	N;INDF;MASC+FEM;SG
aviron	åre	aviron	åre	N;MASC;SG	N;INDF;MASC+FEM;SG
timbre	stempel	timbre	stempel	N;MASC;SG	N;INDF;NEUT;SG
timbre	frimærke	timbre	frimærke	N;MASC;SG	N;INDF;NEUT;SG
baptisé	døbt	baptiser	døb	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
baptisé	døbte	baptiser	døbe	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
baptisé	døbt	baptiser	døb	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
baptisé	døbte	baptiser	døbe	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
dégâts	skader	dégât	skade	N;MASC;PL	N;INDF;MASC+FEM;PL
dégâts	skader	dégât	skade	N;MASC;PL	N;INDF;MASC+FEM;PL
arrondissements	distrikterne	arrondissement	distrikt	N;MASC;PL	N;DEF;NEUT;PL
arrondissements	kvarterer	arrondissement	kvarter	N;MASC;PL	N;INDF;NEUT;PL
arrondissements	distrikter	arrondissement	distrikt	N;MASC;PL	N;INDF;NEUT;PL
arrondissements	arrondissementer	arrondissement	arrondissementer	N;MASC;PL	N;INDF;NEUT;PL
notable	bemærkelsesværdig	notable	bemærkelsesværdig	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
notable	mærkbar	notable	mærkbar	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
secrète	hemmelig	secret	hemmelig	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
secrète	hemmeligt	secret	hemmelig	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
considérablement	betragteligt	considérablement	betragtelig	ADV	ADV
considérablement	betydeligt	considérablement	betydeligt	ADV	ADV
louisiane	louisiana	louisian	louisiana	N;FEM;SG	N;INDF;MASC+FEM;SG
professionnelles	faglige	professionnel	faglig	ADJ;FEM;PL	ADJ;PL
professionnelles	professionelle	professionnel	professionel	ADJ;FEM;PL	ADJ;PL
spécialité	specialitet	spécialité	specialitet	N;FEM;SG	N;INDF;MASC+FEM;SG
spécialité	speciale	spécialité	speciale	N;FEM;SG	N;INDF;NEUT;SG
spécialité	specialitet	spécialité	specialitet	N;FEM;SG	N;INDF;MASC+FEM;SG
prime	bonus	prime	bonus	N;FEM;SG	N;INDF;MASC+FEM;SG
prime	præmie	prime	præmie	N;FEM;SG	N;INDF;MASC+FEM;SG
prime	præmien	prime	præmie	N;FEM;SG	N;DEF;MASC+FEM;SG
prime	dusør	prime	dusør	N;FEM;SG	N;INDF;MASC+FEM;SG
occupent	besætte	occuper	besætte	V;IND;PL;3;PRS;FIN	V;NFIN;ACT
occupent	besætter	occuper	besætte	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
classées	klassificerede	classer	klassificere	V;FEM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
oracle	oraklet	oracle	orak	N;MASC;SG	N;DEF;NEUT;SG
oracle	orakel	oracle	orakel	N;MASC;SG	N;INDF;NEUT;SG
age	alder	age	alder	N;MASC;SG	N;INDF;MASC+FEM;SG
age	alderen	age	alder	N;MASC;SG	N;DEF;MASC+FEM;SG
polémique	kontroversiel	polémique	kontroversiel	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
polémique	omstridt	polémique	omstridt	ADJ;FEM;SG	ADJ;INDF;SG
polémique	kontroversielt	polémique	kontroversielt	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
sauvages	vilde	sauvage	vild	ADJ;MASC;PL	ADJ;PL
sauvages	vildtlevende	sauvage	vildtlevende	ADJ;MASC;PL	ADJ
sauvages	vilde	sauvage	vild	ADJ;MASC;PL	ADJ;PL
vivants	levende	vivant	levende	ADJ;MASC;PL	ADJ
compréhension	forståelse	compréhension	forståelse	N;FEM;SG	N;INDF;MASC+FEM;SG
compréhension	forståelse	compréhension	forståelse	N;FEM;SG	N;INDF;MASC+FEM;SG
bade	baden	bade	bade	N;MASC;SG	N;DEF;MASC+FEM;SG
catastrophe	katastrofe	catastrophe	katastrofe	N;FEM;SG	N;INDF;MASC+FEM;SG
catastrophe	katastrofen	catastrophe	katastrofe	N;FEM;SG	N;DEF;MASC+FEM;SG
catastrophe	katastrofe	catastrophe	katastrofe	N;FEM;SG	N;INDF;MASC+FEM;SG
démonstration	demo	démonstration	demo	N;FEM;SG	N;INDF;MASC+FEM;SG
démonstration	demonstration	démonstration	demonstration	N;FEM;SG	N;INDF;MASC+FEM;SG
démonstration	påvisning	démonstration	påvisning	N;FEM;SG	N;INDF;MASC+FEM;SG
réussite	succes	réussite	succes	N;FEM;SG	N;INDF;MASC+FEM;SG
citoyen	borgeren	citoyen	borger	N;MASC;SG	N;DEF;MASC+FEM;SG
citoyen	borger	citoyen	borger	N;MASC;SG	N;INDF;MASC+FEM;SG
thriller	thriller	thriller	thriller	N;MASC;SG	N;INDF;MASC+FEM;SG
configuration	opsætning	configuration	opsætning	N;FEM;SG	N;INDF;MASC+FEM;SG
configuration	setup	configuration	setup	N;FEM;SG	N;INDF;NEUT;SG
configuration	indstilling	configuration	indstilling	N;FEM;SG	N;INDF;MASC+FEM;SG
configuration	konfiguration	configuration	konfiguration	N;FEM;SG	N;INDF;MASC+FEM;SG
configuration	opsætning	configuration	opsætning	N;FEM;SG	N;INDF;MASC+FEM;SG
bleus	blå	bleu	blå	ADJ;MASC;PL	ADJ;PL
creuse	hult	creux	hul	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
nuits	aftener	nuit	aften	N;FEM;PL	N;INDF;MASC+FEM;PL
nuits	nætter	nuit	nætte	N;FEM;PL	N;INDF;MASC+FEM;PL
cavaliers	ryttere	cavalier	ryttere	N;MASC;PL	N;INDF;MASC+FEM;PL
cavaliers	ryttere	cavalier	ryttere	N;MASC;PL	N;INDF;MASC+FEM;PL
volcan	vulkanen	volcan	vulkane	N;MASC;SG	N;DEF;MASC+FEM;SG
volcan	vulkan	volcan	vulkan	N;MASC;SG	N;INDF;MASC+FEM;SG
parlant	snakker	parler	snakke	V;PRS;V.PTCP	V;IND;PRS;FIN;ACT
parlant	taler	parler	tale	V;PRS;V.PTCP	V;IND;PRS;FIN;ACT
parlant	taler	parler	tale	V;PRS;V.PTCP	V;IND;PRS;FIN;ACT
grille	gitter	grille	gitter	N;FEM;SG	N;INDF;NEUT;SG
marvel	vidunder	marvel	vidunder	N;MASC;SG	N;INDF;NEUT;SG
voisines	tilstødende	voisin	tilstødende	ADJ;FEM;PL	ADJ
remarques	noter	remarque	note	N;FEM;PL	N;INDF;MASC+FEM;PL
remarques	sedler	remarque	sedle	N;FEM;PL	N;INDF;MASC+FEM;PL
remarques	bemærkninger	remarque	bemærkning	N;FEM;PL	N;INDF;MASC+FEM;PL
remarques	kommentarer	remarque	kommentar	N;FEM;PL	N;INDF;MASC+FEM;PL
remarques	bemærkninger	remarque	bemærkning	N;FEM;PL	N;INDF;MASC+FEM;PL
remarques	anmærkninger	remarque	anmærkning	N;FEM;PL	N;INDF;MASC+FEM;PL
spirou	spirou	spirou	spirou	N;MASC;SG	N;INDF;NEUT;SG
quête	søgen	quête	søge	N;FEM;SG	N;DEF;MASC+FEM;SG
quête	togt	quête	tog	N;FEM;SG	N;INDF;NEUT;SG
inhumé	begravet	inhumer	begrave	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
inhumé	begravede	inhumer	begrave	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
variables	variable	variable	variable	ADJ;FEM;PL	ADJ;PL
variables	variable	variable	variable	ADJ;FEM;PL	ADJ;PL
vignoble	vingård	vignoble	vingård	N;MASC;SG	N;INDF;MASC+FEM;SG
vignoble	vingård	vignoble	vingård	N;MASC;SG	N;INDF;MASC+FEM;SG
roue	hjulet	roue	hjæle	N;FEM;SG	N;DEF;NEUT;SG
autorisé	godkendt	autoriser	godkende	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	tilladt	autoriser	tillade	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	bemyndiget	autoriser	bemyndige	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	autoriseret	autoriser	autorisere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	godkendt	autoriser	godkende	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	autoriseret	autoriser	autorisere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	bemyndiget	autoriser	bemyndige	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	tilladt	autoriser	tillade	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	tilladt	autoriser	tillade	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
autorisé	tilladte	autoriser	tillade	V;MASC;SG;PST;V.PTCP	V;DEF;SG;PST;V.PTCP
cavalier	rytter	cavalier	rytte	N;MASC;SG	N;INDF;MASC+FEM;SG
cavalier	cavalier	cavalier	cavalie	N;MASC;SG	N;INDF;MASC+FEM;SG
retenu	opbevaret	retenir	opbevar	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
retenu	beholdt	retenir	beholde	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
retenu	bibeholdt	retenir	bibeholde	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
navigateur	navigatør	navigateur	navigatør	N;MASC;SG	N;INDF;MASC+FEM;SG
navigateur	browseren	navigateur	browser	N;MASC;SG	N;DEF;MASC+FEM;SG
navigateur	browser	navigateur	browse	N;MASC;SG	N;INDF;MASC+FEM;SG
organes	organerne	organe	organ	N;MASC;PL	N;DEF;MASC+FEM;PL
organes	organer	organe	organ	N;MASC;PL	N;INDF;MASC+FEM;PL
organes	karrosserier	organe	karrosseri	N;MASC;PL	N;INDF;NEUT;PL
organes	kroppe	organe	kroppe	N;MASC;PL	N;INDF;MASC+FEM;PL
organes	organer	organe	organ	N;MASC;PL	N;INDF;MASC+FEM;PL
compétence	kompetencer	compétence	kompetence	N;FEM;SG	N;INDF;MASC+FEM;SG
compétence	kompetence	compétence	kompetence	N;FEM;SG	N;INDF;MASC+FEM;SG
compétence	jurisdiktion	compétence	jurisdiktion	N;FEM;SG	N;INDF;MASC+FEM;SG
compétence	kompetence	compétence	kompetence	N;FEM;SG	N;INDF;MASC+FEM;SG
compétence	dygtighed	compétence	dygtighed	N;FEM;SG	N;INDF;MASC+FEM;SG
compétence	færdighed	compétence	færdighed	N;FEM;SG	N;INDF;MASC+FEM;SG
compétence	kompetencer	compétence	kompetence	N;FEM;SG	N;INDF;MASC+FEM;SG
compétence	kompetence	compétence	kompetence	N;FEM;SG	N;INDF;MASC+FEM;SG
décerné	tildelte	décerner	tildele	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
décerné	uddelt	décerner	uddele	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
décerné	tildelt	décerner	tildele	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
éliminer	eliminere	éliminer	eliminere	V;NFIN	V;NFIN;ACT
usages	anvendelser	usage	anvendelse	N;MASC;PL	N;INDF;MASC+FEM;PL
fonctionnaires	embedsmænd	fonctionnaire	embedsmand	N;MASC;PL	N;INDF;MASC+FEM;PL
fonctionnaires	tjenestemænd	fonctionnaire	tjenestemand	N;MASC;PL	N;INDF;MASC+FEM;PL
caractérise	karakteriserer	caractériser	karakterisere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
démocrates	demokrater	démocrate	demokrat	N;MASC;PL	N;INDF;MASC+FEM;PL
démocrates	demokraterne	démocrate	demokrat	N;MASC;PL	N;DEF;MASC+FEM;PL
démocrates	demokrater	démocrate	demokrat	N;MASC;PL	N;INDF;MASC+FEM;PL
bords	kanter	bord	kant	N;MASC;PL	N;INDF;MASC+FEM;PL
bords	kanterne	bord	kant	N;MASC;PL	N;DEF;MASC+FEM;PL
directrice	direktør	directrice	direktør	N;FEM;SG	N;INDF;MASC+FEM;SG
directrice	instruktør	directrice	instruktør	N;FEM;SG	N;INDF;MASC+FEM;SG
directrice	direktøren	directrice	direktør	N;FEM;SG	N;DEF;MASC+FEM;SG
directrice	bestyrelsesmedlem	directrice	bestyrelsesmedlem	N;FEM;SG	N;INDF;NEUT;SG
directrice	driftsleder	directrice	driftsleder	N;FEM;SG	N;INDF;MASC+FEM;SG
directrice	manager	directrice	manager	N;FEM;SG	N;INDF;MASC+FEM;SG
directrice	leder	directrice	leder	N;FEM;SG	N;INDF;MASC+FEM;SG
espérance	håb	espérance	håb	N;FEM;SG	N;INDF;NEUT;SG
espérance	håbet	espérance	håb	N;FEM;SG	N;DEF;NEUT;SG
fragments	brudstykker	fragment	brudstykker	N;MASC;PL	N;INDF;NEUT;PL
fragments	fragmenter	fragment	fragment	N;MASC;PL	N;INDF;NEUT;PL
existant	bestående	exister	bestå	V;PRS;V.PTCP	V;PRS;V.PTCP
existant	eksisterende	exister	eksistere	V;PRS;V.PTCP	V;PRS;V.PTCP
bond	obligation	bond	obligation	N;MASC;SG	N;INDF;MASC+FEM;SG
missiles	missiler	missile	missil	N;MASC;PL	N;INDF;NEUT;PL
ordonné	ordineret	ordonner	ordinere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ordonné	bestilt	ordonner	bestille	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ordonné	bestilte	ordonner	bestille	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
certifié	certificeret	certifier	certificere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
certifié	attesteret	certifier	attestere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
chercheur	forsker	chercheur	forsker	N;MASC;SG	N;INDF;MASC+FEM;SG
chercheur	forskeren	chercheur	forsker	N;MASC;SG	N;DEF;MASC+FEM;SG
prépare	forbereder	préparer	forberede	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
innovation	fornyelse	innovation	fornyelse	N;FEM;SG	N;INDF;MASC+FEM;SG
innovation	nyskabelse	innovation	nyskabelse	N;FEM;SG	N;INDF;MASC+FEM;SG
innovation	innovation	innovation	innovation	N;FEM;SG	N;INDF;MASC+FEM;SG
combiné	kombineret	combiner	kombinere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ref	ref	ref	ref	N;FEM;SG	N;INDF;NEUT;SG
ardèche	ardèche	ardèche	ardèche	N;FEM;SG	N;INDF;MASC+FEM;SG
fortifications	befæstninger	fortification	befæstning	N;FEM;PL	N;INDF;MASC+FEM;PL
définitive	definitiv	définitif	definitiv	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
jaunes	gule	jaune	gul	ADJ;MASC;PL	ADJ;PL
évènement	hændelse	évènement	hændelse	N;MASC;SG	N;INDF;MASC+FEM;SG
évènement	begivenheden	évènement	begivenhed	N;MASC;SG	N;DEF;MASC+FEM;SG
évènement	event	évènement	event	N;MASC;SG	N;INDF;MASC+FEM;SG
évènement	begivenhed	évènement	begivenhed	N;MASC;SG	N;INDF;MASC+FEM;SG
assisté	bistået	assister	bistå	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
assisté	assisteret	assister	assistere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
répression	undertrykkelsen	répression	undertrykkelse	N;FEM;SG	N;DEF;MASC+FEM;SG
répression	undertrykkelse	répression	undertrykkelse	N;FEM;SG	N;INDF;MASC+FEM;SG
blé	hvede	blé	hved	N;MASC;SG	N;INDF;MASC+FEM;SG
inaugurée	indviet	inaugurer	indvie	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
inaugurée	indviede	inaugurer	indvie	V;FEM;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
stable	stabil	stable	stabil	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
stable	stabilt	stable	stabil	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
symphonique	symfonisk	symphonique	symfonisk	ADJ;MASC;SG	ADJ;INDF;SG
fonctionnaire	embedsmand	fonctionnaire	embedsmand	N;MASC;SG	N;INDF;MASC+FEM;SG
fonctionnaire	tjenestemand	fonctionnaire	tjenestemand	N;MASC;SG	N;INDF;MASC+FEM;SG
catholicisme	katolicismen	catholicisme	katolicisme	N;MASC;SG	N;DEF;MASC+FEM;SG
rayons	stråler	rayon	stråle	N;MASC;PL	N;INDF;MASC+FEM;PL
linéaire	lineært	linéaire	lineært	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
commandé	bestilt	commander	bestille	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
commandé	bestilte	commander	bestille	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
commandé	bestilt	commander	bestille	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
commandé	bestilte	commander	bestille	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
commandé	befalede	commander	befale	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
commandé	befalet	commander	befale	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
brevet	patent	brevet	patent	N;MASC;SG	N;INDF;NEUT;SG
brevet	patentet	brevet	patent	N;MASC;SG	N;DEF;NEUT;SG
mémorial	mindesmærke	mémorial	mindesmærke	N;MASC;SG	N;INDF;NEUT;SG
mémorial	mindehøjtidelighed	mémorial	mindehøjtidelighed	N;MASC;SG	N;INDF;MASC+FEM;SG
engagée	ansat	engager	ansætte	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagée	lejet	engager	leje	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagée	hyrede	engager	hyre	V;FEM;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
engagée	hyret	engager	hyre	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagée	forlovede	engager	forlove	V;FEM;SG;PST;V.PTCP	V;DEF;SG;PST;V.PTCP
engagée	engageret	engager	engagere	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagée	forlovet	engager	forlov	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagée	forpligtet	engager	forpligte	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagée	begået	engager	begå	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagée	engageret	engager	engagere	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
propulsion	fremdrift	propulsion	fremdrift	N;FEM;SG	N;INDF;MASC+FEM;SG
mythe	myte	mythe	myte	N;MASC;SG	N;INDF;MASC+FEM;SG
mythe	myten	mythe	myte	N;MASC;SG	N;DEF;MASC+FEM;SG
manger	spiser	manger	spise	V;NFIN	V;IND;PRS;FIN;ACT
manger	spise	manger	spise	V;NFIN	V;NFIN;ACT
manger	spis	manger	spise	V;NFIN	V;IMP
manger	spiser	manger	spise	V;NFIN	V;IND;PRS;FIN;ACT
manger	æd	manger	æd	V;NFIN	V;IMP
manger	spise	manger	spise	V;NFIN	V;NFIN;ACT
prochaine	næste	prochain	næste	ADJ;FEM;SG	ADJ
degrés	grader	degré	grad	N;MASC;PL	N;INDF;MASC+FEM;PL
extérieure	udendørs	extérieur	udendørs	ADJ;FEM;SG	ADJ
extérieure	udvendig	extérieur	udvendig	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
styles	styles	style	styles	N;MASC;PL	N;INDF;MASC+FEM;PL
styles	stile	style	stile	N;MASC;PL	N;INDF;MASC+FEM;PL
doubs	doubs	doub	doub	N;MASC;SG	N;INDF;MASC+FEM;SG
nazis	nazisterne	nazi	nazist	N;MASC;PL	N;DEF;MASC+FEM;PL
nazis	nazister	nazi	nazist	N;MASC;PL	N;INDF;MASC+FEM;PL
