pilih	διάλεξε	pilih	διαλώ	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
romantis	ρομαντισμός	romantis	ρομαντισμός	N;SG	N;NOM;MASC;SG
beri	δώσε	beri	δίνω	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
mendatang	επερχόμενη	mendatang	επερχόμενος	ADJ;SG	ADJ;NOM;FEM;SG
agregat	ομαδοποίηση	agregat	ομαδοποίηση	N;SG	N;NOM;FEM;SG
agregat	συνάθροιση	agregat	συνάθροιση	N;SG	N;NOM;FEM;SG
perlombaan	κούρσα	perlombaan	κούρσα	N;SG	N;NOM;FEM;SG
perlombaan	φυλή	perlombaan	φυλή	N;SG	N;NOM;FEM;SG
perlombaan	αγώνα	perlombaan	αγώνας	N;SG	N;ACC;MASC;SG
perlombaan	αγώνας	perlombaan	αγώνας	N;SG	N;NOM;MASC;SG
serigala	λύκους	serigala	λύκος	N	N;ACC;MASC;PL
serigala	λύκοι	serigala	λύκος	N	N;NOM;MASC;PL
serigala	λύκος	serigala	λύκος	N	N;NOM;MASC;SG
wabah	εστία	wabah	εστία	N;SG	N;NOM;FEM;SG
wabah	ξέσπασμα	wabah	ξέσπασμα	N;SG	N;NOM;NEUT;SG
wabah	επιδημία	wabah	επιδημία	N;SG	N;NOM;FEM;SG
wabah	πανώλη	wabah	πανώλης	N;SG	N;NOM;FEM;SG
wabah	πανούκλα	wabah	πανούκλο	N;SG	N;NOM;FEM;SG
wabah	μάστιγα	wabah	μάστιγα	N;SG	N;NOM;FEM;SG
wabah	επιδημία	wabah	επιδημία	N;SG	N;NOM;FEM;SG
lilin	κερί	lilin	κερί	N;SG	N;NOM;NEUT;SG
lilin	κερί	lilin	κερί	N;SG	N;NOM;NEUT;SG
menyerbu	εισέβαλε	menserbu	εισβάλλω	V;SG;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
laras	βαρέλι	laras	βαρέλι	N	N;NOM;NEUT;SG
akademisi	ακαδημαϊκό	akademisi	ακαδημαϊκός	N;SG	N;NOM;NEUT;SG
dibuktikan	αποδεδειγμένη	dibuktikan	αποδεικνύω	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
dibuktikan	αποδεδειγμένο	dibuktikan	αποδεικνύω	V;SG;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
dibuktikan	αποδειχθεί	dibuktikan	αποδεικνύω	V;SG;PASS	V;PFV;NFIN;PASS
dibuktikan	βεβαιώνεται	dibuktikan	βεβαιώνω	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
patroli	περίπολο	patroli	περίπολο	N;SG	N;ACC;FEM;SG
patroli	περίπολος	patroli	περίπολος	N;SG	N;NOM;MASC;SG
patroli	περιπολία	patroli	περιπολία	N;SG	N;NOM;FEM;SG
mutlak	απόλυτος	mutlak	απόλυτος	ADJ;SG	ADJ;NOM;MASC;SG
mutlak	απόλυτη	mutlak	απόλυτος	ADJ;SG	ADJ;NOM;FEM;SG
mutlak	απόλυτο	mutlak	απόλυτος	ADJ;SG	ADJ;NOM;NEUT;SG
plasma	πλάσματος	plasma	πλάσμα	N	N;GEN;NEUT;SG
plasma	πλάσμα	plasma	πλάσμα	N	N;NOM;NEUT;SG
produktif	παραγωγική	produktif	παραγωγικός	ADJ;SG	ADJ;NOM;FEM;SG
produktif	παραγωγικό	produktif	παραγωγικός	ADJ;SG	ADJ;NOM;NEUT;SG
tertangkap	πιάστηκε	tertangkap	πιάνω	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
tertangkap	συλληφθεί	tertangkap	συλλαμβάνω	V;SG;PASS	V;PFV;NFIN;PASS
pelaut	ναύτης	penlaut	ναύτος	N;SG	N;NOM;MASC;SG
pelaut	ναύτη	penlaut	ναύτος	N;SG	N;VOC;MASC;SG
pelaut	ναύτης	penlaut	ναύτος	N;SG	N;NOM;MASC;SG
pelaut	ναύτη	penlaut	ναύτος	N;SG	N;VOC;MASC;SG
perkantoran	γραφείο	perkantoran	γραφείο	N;SG	N;NOM;NEUT;SG
utang	χρέος	utang	χρέος	N;SG	N;NOM;NEUT;SG
utang	οφειλή	utang	οφειλή	N;SG	N;ACC;FEM;SG
pecinta	εραστής	pecinta	εραστής	N;SG	N;NOM;MASC;SG
pecinta	εραστή	pecinta	εραστής	N;SG	N;ACC;MASC;SG
tayangan	εμφανίσεις	tayangan	εμφάνιση	N;SG	N;NOM;FEM;SG
tayangan	εντύπωση	tayangan	εντύπωση	N;SG	N;NOM;FEM;SG
kelanjutan	συνέχιση	kelanjutan	συνέχιση	N;SG	N;ACC;FEM;SG
menyelidiki	ερευνήσει	menselidiki	ερευνώ	V;SG;ACT	V;PFV;IND;3;NFIN;ACT
menyelidiki	ερεύνησε	menselidiki	ερεύνω	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
orientasi	προσανατολισμός	orientasi	προσανατολισμός	N;SG	N;NOM;MASC;SG
orientasi	προσανατολισμό	orientasi	προσανατολισμός	N;SG	N;ACC;MASC;SG
bir	μπύρα	bir	μπύρα	N;SG	N;NOM;FEM;SG
bir	μπίρα	bir	μπίρα	N;SG	N;NOM;FEM;SG
rusa	ελάφι	rusa	ελάφι	N	N;NOM;NEUT;SG
rusa	μους	rusa	μου	N	N;NOM;FEM;SG
rusa	ελάφια	rusa	ελάφιος	N	N;NOM;NEUT;PL
rusa	ελάφι	rusa	ελάφι	N	N;NOM;NEUT;SG
bahu	ώμος	bahu	ώμος	N;SG	N;NOM;MASC;SG
bahu	ώμο	bahu	ώμο	N;SG	N;ACC;MASC;SG
berlari	έτρεξε	berlari	τρώω	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
berlari	έτρεξα	berlari	χτρεύδα	V;SG;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
berlari	τρέχει	berlari	τρέχω	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
berlari	τρέχοντας	berlari	τρέχων	V;SG;ACT	V;IPFV;V.CVB;ACT
berlari	τρέχω	berlari	τρέχω	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
residen	κάτοικος	residen	κάτοικος	N	N;NOM;MASC;SG
residen	κάτοικο	residen	κάτοικος	N	N;ACC;MASC;SG
residen	νομάρχης	residen	νομάρχης	N	N;NOM;MASC;SG
anggrek	ορχιδέα	anggrek	ορχιδέα	N;SG	N;NOM;FEM;SG
referendum	δημοψήφισμα	referendum	δημοψήφισμα	N	N;NOM;NEUT;SG
michelle	μιχάλη	michelle	μιχάλος	N	N
seminari	ιεροδιδασκαλείο	seminari	ιεροδιδασκαλείο	N	N;NOM;NEUT;SG
sindrom	σύνδρομο	sindrom	σύνδρομος	N	N;NOM;NEUT;SG
sajak	ομοιοκαταληξία	sajak	ομοιοκαταληξία	N	N;NOM;FEM;SG
sajak	ρίμα	sajak	ρίμα	N	N;NOM;FEM;SG
sajak	ρίμες	sajak	ρίμος	N	N;NOM;FEM;PL
kejayaan	θρίαμβος	kejayaan	θρίαμβος	N;SG	N;NOM;MASC;SG
kejayaan	θρίαμβο	kejayaan	θρίαμβο	N;SG	N;NOM;NEUT;SG
elit	ελίτ	elit	ελίτ	N;SG	N;NOM;FEM;SG
jujur	ειλικρινής	jujur	ειλικρινός	ADJ;SG	ADJ;NOM;MASC;SG
jujur	τίμιος	jujur	τίμιος	ADJ;SG	ADJ;NOM;MASC;SG
jujur	τίμιο	jujur	τίμιο	ADJ;SG	ADJ;NOM;MASC;SG
instalasi	εγκατάσταση	instalasi	εγκατάσταση	N;SG	N;NOM;FEM;SG
cabai	τσίλι	cabai	τσίλι	N;SG	N;NOM;NEUT;SG
diiringi	συνοδεύεται	diiringi	συνοδεύω	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
lencana	σήμα	lencana	σήμα	N;SG	N;NOM;NEUT;SG
lembar	φύλλο	lembar	φύλλο	N;SG	N;NOM;NEUT;SG
lembar	σεντόνι	lembar	σεντόνι	N;SG	N;NOM;NEUT;SG
faksi	φατρία	faksi	φατρία	N;SG	N;NOM;FEM;SG
kelautan	πεζοναύτης	kelautan	πεζοναύτης	N;SG	N;NOM;MASC;SG
kelautan	πεζοναύτη	kelautan	πεζοναύτης	N;SG	N;NOM;MASC;SG
bayangan	σκιά	bayangan	σκιά	N;SG	N;NOM;FEM;SG
keberadaannya	ύπαρξη	keberadaan	ύπαρξη	N;SG	N;ACC;FEM;SG
waris	διάδοχος	waris	διάδοχος	N;SG	N;NOM;MASC;SG
waris	κληρονόμος	waris	κληρονόμος	N;SG	N;NOM;MASC;SG
waris	κληρονόμο	waris	κληρονόμος	N;SG	N;ACC;MASC;SG
dirasakan	αισθάνθηκε	dirasakan	αισθέμτομαι	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
keterbatasan	περιορισμός	keterbatasan	περιορισμός	N;SG	N;NOM;MASC;SG
sendirian	μονη	sendirian	μονος	N;SG	N;ACC;FEM;SG
torpedo	τορπίλη	torpedo	τορπίλη	N	N;NOM;FEM;SG
torpedo	τορπίλες	torpedo	τορπίλα	N	N;NOM;FEM;PL
busur	τόξο	busur	τόξο	N;SG	N;NOM;NEUT;SG
busur	εκα	busur	εκα	N;SG	N
busur	τόξου	busur	τόξος	N;SG	N;GEN;MASC;SG
busur	τόξο	busur	τόξο	N;SG	N;NOM;NEUT;SG
busur	υπόκλιση	busur	υπόκλιση	N;SG	N;ACC;FEM;SG
luasnya	έκταση	luas	έκταση	N;SG	N;ACC;FEM;SG
luasnya	απεραντοσύνη	luas	απεραντοσύνη	N;SG	N;ACC;FEM;SG
persenjataan	οπλοστάσιο	persenjataan	οπλοστάσιο	N;SG	N;NOM;NEUT;SG
kantong	τσέπης	kantong	τσέπης	N;SG	N;GEN;FEM;SG
kantong	τσέπη	kantong	τσέπη	N;SG	N;ACC;FEM;SG
kantong	σακούλα	kantong	σακούλα	N;SG	N;NOM;FEM;SG
kantong	σάκο	kantong	σάκος	N;SG	N;NOM;NEUT;SG
kantong	τσάντα	kantong	τσάντα	N;SG	N;NOM;FEM;SG
kantong	σάκος	kantong	σάκος	N;SG	N;NOM;MASC;SG
kantong	σάκο	kantong	σάκος	N;SG	N;NOM;NEUT;SG
kelayakan	επιλεξιμότητας	kelayakan	επιλεξιμότητα	N;SG	N;GEN;FEM;SG
kelayakan	σκοπιμότητα	kelayakan	σκοπιμότητα	N;SG	N;ACC;FEM;SG
kelayakan	σκοπιμότητας	kelayakan	σκοπιμότητα	N;SG	N;GEN;FEM;SG
depresi	κατάθλιψη	depresi	κατάθλιψη	N;SG	N;ACC;FEM;SG
depresi	κατάθλιψη	depresi	κατάθλιψη	N;SG	N;ACC;FEM;SG
pembaruan	ανανέωση	penbaruan	ανανέωση	N;SG	N;ACC;FEM;SG
pembaruan	ενημέρωση	penbaruan	ενημέρωση	N;SG	N;ACC;FEM;SG
pembaruan	επικαιροποίηση	penbaruan	επικαιροποίηση	N;SG	N;ACC;FEM;SG
pengecualian	εξαίρεση	pengecualian	εξαίρεση	N;SG	N;ACC;FEM;SG
pengecualian	εξαίρεση	pengecualian	εξαίρεση	N;SG	N;ACC;FEM;SG
pengecualian	αποκλεισμού	pengecualian	αποκλεισμός	N;SG	N;GEN;MASC;SG
pengecualian	αποκλεισμός	pengecualian	αποκλεισμός	N;SG	N;NOM;MASC;SG
pengecualian	εξαίρεση	pengecualian	εξαίρεση	N;SG	N;ACC;FEM;SG
sintesis	σύνθεση	sintesis	σύνθεση	N;SG	N;ACC;FEM;SG
keterlibatan	εμπλοκή	keterlibatan	εμπλοκή	N;SG	N;ACC;FEM;SG
keterlibatan	αρραβώνας	keterlibatan	αρραβώνας	N;SG	N;NOM;FEM;SG
keterlibatan	αλληλεπίδραση	keterlibatan	αλληλεπίδραση	N;SG	N;ACC;FEM;SG
keterlibatan	συμμετοχή	keterlibatan	συμμετοχή	N;SG	N;NOM;FEM;SG
keterlibatan	συμμετοχη	keterlibatan	συμμετοχή	N;SG	N;NOM;FEM;SG
keterlibatan	εμπλοκή	keterlibatan	εμπλοκή	N;SG	N;ACC;FEM;SG
keterlibatan	συνενοχή	keterlibatan	συνενοχή	N;SG	N;NOM;FEM;SG
tendangan	κλωτσιά	tendangan	κλωτσιά	N;SG	N;NOM;FEM;SG
enak	νόστιμη	enak	νόστιμος	ADJ;SG	ADJ;NOM;FEM;SG
enak	νόστιμο	enak	νόστιμο	ADJ;SG	ADJ;NOM;NEUT;SG
dimasak	μαγειρεμένο	dimasak	μαγειρεμένος	V;SG;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
kesimpulan	σύναψη	kesimpulan	σύναψη	N;SG	N;ACC;FEM;SG
kesimpulan	συμπέρασμα	kesimpulan	συμπέρασμα	N;SG	N;NOM;NEUT;SG
menyembuhkan	θεραπεύει	mensembuhkan	θεραπεύω	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
menyembuhkan	γιατρεύει	mensembuhkan	γιατρέπω	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
menyembuhkan	θεραπεύσει	mensembuhkan	θεραπεύω	V;SG;ACT	V;PFV;NFIN;ACT
kebijaksanaan	διακριτικότητα	kebijaksanaan	διακριτικότητα	N;SG	N;ACC;FEM;SG
kebijaksanaan	εχεμύθεια	kebijaksanaan	εχεμύθεια	N;SG	N;NOM;FEM;SG
kebijaksanaan	σοφία	kebijaksanaan	σοφία	N;SG	N;NOM;FEM;SG
striker	στράικερ	striker	στράικερ	N;SG	N
ringkasan	περίληψη	ringkasan	περίληψη	N;SG	N;NOM;FEM;SG
ringkasan	σύνοψη	ringkasan	σύνοψη	N;SG	N;NOM;FEM;SG
perkemahan	στρατόπεδο	perkemahan	στρατόπεδο	N	N;NOM;NEUT;SG
perkemahan	κατασκήνωση	perkemahan	κατασκήνωση	N	N;NOM;FEM;SG
perkemahan	καταυλισμός	perkemahan	καταυλισμός	N	N;NOM;MASC;SG
perkemahan	στρατόπεδο	perkemahan	στρατόπεδο	N	N;NOM;NEUT;SG
perkemahan	στρατόπεδα	perkemahan	στρατόπεδο	N	N;NOM;NEUT;PL
perkemahan	κατασκηνώσεις	perkemahan	κατασκήνωση	N	N;NOM;FEM;PL
persemakmuran	κοινοπολιτείας	persemakmuran	κοινοπολιτεία	N	N;GEN;FEM;SG
persemakmuran	κοινοπολιτεία	persemakmuran	κοινοπολιτεία	N	N;NOM;FEM;SG
pemujaan	λατρεία	penpujaan	λατρεία	N;SG	N;NOM;FEM;SG
pemujaan	αίρεση	penpujaan	αίρεση	N;SG	N;ACC;FEM;SG
survey	έρευνα	survey	έρευνα	N	N;NOM;FEM;SG
survey	ερευνα	survey	ερευνα	N	N;NOM;FEM;SG
survey	δημοσκόπηση	survey	δημοσκόπηση	N	N;NOM;FEM;SG
diperluas	επεκταθεί	diperluas	επεκτείνω	V;SG;PASS	V;PFV;NFIN;PASS
diperluas	επεκτάθηκε	diperluas	επικτείνω	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
diperluas	διευρυμένη	diperluas	διευρύμενος	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
diperluas	επεκταθεί	diperluas	επεκτείνω	V;SG;PASS	V;PFV;NFIN;PASS
diperluas	εκτεταμένη	diperluas	εκτεταμένος	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
terganggu	αφηρημένη	terganggu	αφηρημένος	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
terganggu	διακόπηκε	terganggu	διακόπτω	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
terganggu	διαταραγμένος	terganggu	διαταραγμένος	V;SG;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
terganggu	διαταραγμένη	terganggu	διαταραγμένος	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
terganggu	ενοχλημένος	terganggu	ενοχλημένος	V;SG;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
kutukan	κατάρα	kutukan	κατάρα	N;SG	N;ACC;FEM;SG
temuan	ανακάλυψη	temuan	ανακάλυψη	N;SG	N;ACC;FEM;SG
pentas	στάδιο	pentas	στάδιο	N	N;NOM;NEUT;SG
antarmuka	διεπαφή	antarmuka	διεπαφή	N;SG	N;NOM;FEM;SG
antarmuka	διασύνδεση	antarmuka	διασύνδεση	N;SG	N;ACC;FEM;SG
petang	απόγευμα	petang	απόγευμα	N;SG	N;NOM;NEUT;SG
petang	βράδυ	petang	βράδυ	N;SG	N;ACC;NEUT;SG
diagram	σχεδιάγραμμα	diagram	σχεδιάγραμμα	N;SG	N;NOM;NEUT;SG
diagram	διάγραμμα	diagram	διάγραμμα	N;SG	N;NOM;NEUT;SG
diagram	γράφημα	diagram	γράφημα	N;SG	N;NOM;NEUT;SG
diagram	διάγραμμα	diagram	διάγραμμα	N;SG	N;NOM;NEUT;SG
elektro	ηλεκτρο	elektro	ηλεκτρο	N;SG	N
sandi	σύνθημα	sandi	σύνθημα	N;SG	N;NOM;NEUT;SG
sandi	κρυπτογράφημα	sandi	κρυπτογράφημα	N;SG	N;NOM;NEUT;SG
administrator	διαχειριστής	administrator	διαχειριστής	N;SG	N;NOM;MASC;SG
administrator	διαχειριστή	administrator	διαχειριστής	N;SG	N;NOM;FEM;SG
mewarisi	κληρονομεί	menwarisi	κληρονώ	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mewarisi	κληρονομήσει	menwarisi	κληρονομώ	V;SG;ACT	V;PFV;NFIN;ACT
mewarisi	κληρονόμησε	menwarisi	κληρονομώ	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
kental	παχύρρευστο	kental	παχύρρευστος	ADJ;SG	ADJ;NOM;NEUT;SG
susah	δύσκολο	susah	δύσκολος	ADJ;SG	ADJ;NOM;NEUT;SG
susah	σκληρός	susah	σκληρός	ADJ;SG	ADJ;NOM;MASC;SG
susah	σκληρό	susah	σκληρός	ADJ;SG	ADJ;NOM;NEUT;SG
susah	σκληρή	susah	σκληρός	ADJ;SG	ADJ;NOM;FEM;SG
susah	δύσκολο	susah	δύσκολος	ADJ;SG	ADJ;NOM;NEUT;SG
susah	δύσκολη	susah	δύσκολος	ADJ;SG	ADJ;NOM;FEM;SG
susah	δύσκολος	susah	δύσκολος	ADJ;SG	ADJ;NOM;MASC;SG
dilepaskan	απελευθερώνεται	dilepaskan	απελευθερώνω	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
dilepaskan	αποσπαστεί	dilepaskan	αποσπάζω	V;SG;PASS	V;PFV;IND;SG;3;FIN;PASS
penomoran	αρίθμηση	pennomoran	αρίθμηση	N;SG	N;NOM;FEM;SG
adventure	περιπέτεια	adventure	περιπέτεια	N	N;NOM;FEM;SG
ketegangan	ένταση	ketegangan	ένταση	N;SG	N;ACC;FEM;SG
ketegangan	αγωνία	ketegangan	αγωνία	N;SG	N;ACC;FEM;SG
petir	κεραυνός	petir	κεραυνός	N;SG	N;NOM;MASC;SG
petir	κεραυνός	petir	κεραυνός	N;SG	N;NOM;MASC;SG
petir	αστραπή	petir	αστραπή	N;SG	N;NOM;FEM;SG
menantang	προκάλεσε	mentantang	προκαλώ	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
desainer	σχεδιαστής	desainer	σχεδιαστής	N;SG	N;NOM;MASC;SG
desainer	σχεδιαστή	desainer	σχεδιαστής	N;SG	N;ACC;MASC;SG
kecerdasan	εξυπνάδα	kecerdasan	εξυπνάδα	N;SG	N;NOM;FEM;SG
kecerdasan	ευφυία	kecerdasan	ευφυία	N;SG	N;NOM;FEM;SG
kecerdasan	νοημοσύνη	kecerdasan	νοημοσύνη	N;SG	N;NOM;FEM;SG
kecerdasan	νοημοσύνη	kecerdasan	νοημοσύνη	N;SG	N;NOM;FEM;SG
kecerdasan	διάνοια	kecerdasan	διάνοια	N;SG	N;NOM;FEM;SG
modul	ενότητα	modul	ενότητα	N;SG	N;NOM;FEM;SG
vandalisme	βανδαλισμό	vandalisme	βανδαλισμός	N;SG	N;ACC;MASC;SG
tinju	πυγμαχία	tinju	πυγμαχία	N;SG	N;NOM;FEM;SG
tinju	γροθιά	tinju	γροθιά	N;SG	N;ACC;FEM;SG
diwakili	εκπροσωπείται	diwakili	εκπροσωπώ	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
manufaktur	κατασκευαστές	manufaktur	κατασκευαστής	N	N;NOM;MASC;PL
manufaktur	μεταποίηση	manufaktur	μεταποίηση	N	N;NOM;FEM;SG
manufaktur	κατασκευαστής	manufaktur	κατασκευαστής	N	N;NOM;MASC;SG
manufaktur	κατασκευαστή	manufaktur	κατασκευαστής	N	N;ACC;MASC;SG
manufaktur	παραγωγός	manufaktur	παραγωγός	N	N;NOM;MASC;SG
potret	πορτραίτο	potret	πορτρέχω	N;SG	N;NOM;NEUT;SG
potret	πορτρέτο	potret	πορτρέτω	N;SG	N;NOM;NEUT;SG
propaganda	προπαγάνδα	propaganda	προπαγάνδα	N;SG	N;NOM;FEM;SG
mempercepat	επιταχύνει	menpercepat	επιταχύνω	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mempercepat	επιτάχυνε	menpercepat	επιταχύνω	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
geng	συμμορία	geng	συμμορία	N;SG	N;NOM;FEM;SG
suster	αδερφές	suster	αδερφή	N	N;NOM;FEM;PL
suster	αδελφές	suster	αδελφή	N	N;NOM;FEM;PL
suster	αδελφή	suster	αδελφή	N	N;NOM;FEM;SG
suster	αδερφή	suster	αδερφή	N	N;NOM;FEM;SG
suster	νοσοκόμα	suster	νοσοκόμα	N	N;NOM;FEM;SG
suster	νοσοκόμος	suster	νοσοκόμος	N	N;NOM;MASC;SG
fighter	πυγμάχος	fighter	πυγμάχος	N	N;NOM;MASC;SG
fighter	αγωνιστής	fighter	αγωνιστής	N	N;NOM;MASC;SG
geometri	γεωμετρία	geometri	γεωμετρία	N	N;NOM;FEM;SG
kelainan	ανωμαλία	kelainan	ανωμαλία	N;SG	N;NOM;FEM;SG
kelainan	διαταραχή	kelainan	διαταραχή	N;SG	N;NOM;FEM;SG
kelainan	αταξία	kelainan	αταξία	N;SG	N;NOM;FEM;SG
gaji	μισθός	gaji	μισθός	N;SG	N;NOM;MASC;SG
gaji	μισθό	gaji	μισθός	N;SG	N;NOM;NEUT;SG
diarahkan	ανακατεύθυνση	diarahkan	ανακατεύθυνση	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
lada	πιπέρι	lada	πιπέρι	N;SG	N;NOM;NEUT;SG
lada	πιπεριά	lada	πιπερία	N;SG	N;NOM;FEM;SG
lada	πέπερ	lada	πέπερ	N;SG	N
pengurangan	μείωση	penkurangan	μείωση	N;SG	N;ACC;FEM;SG
direbut	συλληφθεί	direbut	συλλαμβάνω	V;SG;PASS	V;PFV;NFIN;PASS
menyumbangkan	συμβάλει	mensumbangkan	συμβάλλω	V;SG;ACT	V;PFV;NFIN;ACT
anggun	κομψό	anggun	κομψός	ADJ;SG	ADJ;NOM;NEUT;SG
inspektur	επιθεωρητής	inspektur	επιθεωρητής	N	N;NOM;MASC;SG
inspektur	επιθεωρητή	inspektur	επιθεωρητής	N	N;ACC;MASC;SG
globalisasi	παγκοσμιοποίηση	globalisasi	παγκοσμιοποίηση	N	N;NOM;FEM;SG
dec	δεκ	dec	δεκ		
identifikasi	αναγνώρισης	identifikasi	αναγνώριση	N;SG	N;GEN;FEM;SG
identifikasi	αναγνώριση	identifikasi	αναγνώριση	N;SG	N;ACC;FEM;SG
identifikasi	ταυτοποίηση	identifikasi	ταυτοποίηση	N;SG	N;ACC;FEM;SG
identifikasi	ταυτότητα	identifikasi	ταυτότητα	N;SG	N;ACC;FEM;SG
kebahagiaan	ευτυχία	kebahagiaan	ευτυχία	N;SG	N;NOM;FEM;SG
dilatih	εκπαιδευτεί	dilatih	εκπαιδεύω	V;SG;PASS	V;PFV;NFIN;PASS
dilatih	εκπαιδευμένος	dilatih	εκπαιδευμένος	V;SG;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
dilatih	εκπαιδευμένη	dilatih	εκπαιδεύω	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
dilatih	εκπαιδευμένο	dilatih	εκπαιδεύω	V;SG;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
pemberdayaan	ενδυνάμωση	pemberdayaan	ενδυνάμωση	N;SG	N;ACC;FEM;SG
terintegrasi	ολοκληρωμένη	terintegrasi	ολοκληρώνω	V;SG;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
terintegrasi	ολοκληρωμένο	terintegrasi	ολοκληρώνω	V;SG;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
script	σενάρια	script	σενάριο	N	N;NOM;NEUT;PL
script	σενάριο	script	σενάριο	N	N;NOM;NEUT;SG
komitmen	προσήλωση	komitmen	προσήλωση	N;SG	N;ACC;FEM;SG
komitmen	δέσμευση	komitmen	δέσμευση	N;SG	N;ACC;FEM;SG
kentang	πατάτας	kentang	πατάτα	N;SG	N;GEN;FEM;SG
kentang	πατάτα	kentang	πατάτα	N;SG	N;NOM;FEM;SG
nutrisi	διατροφή	nutrisi	διατροφή	N;SG	N;NOM;FEM;SG
jual	πώληση	jual	πώληση	N;SG;ACT	N;NOM;FEM;SG
canggih	σοφιστικέ	canggih	σοφιστικός	N;SG	N;NOM;FEM;SG
fantasi	φαντασίωση	fantasi	φαντασίωση	N	N;ACC;FEM;SG
fantasi	φαντασία	fantasi	φαντασία	N	N;NOM;FEM;SG
