על	sobre	על	sobre	ADP	ADP
קישורים	vínculos	קישורים	vínculo	N;MASC;PL	N;MASC;PL
קישורים	enlaces	קישורים	enlace	N;MASC;PL	N;MASC;PL
קישורים	links	קישורים	link	N;MASC;PL	N;MASC;PL
חיצוניים	externos	חיצוני	externo	ADJ;MASC;PL	ADJ;MASC;PL
מספר	número	מספר	número	N;MASC;SG	N;MASC;SG
מספר	numero	מספר	numero	N;MASC;SG	N;MASC;SG
רק	únicamente	רק	únicamente	ADV	ADV
רק	solo	רק	solo	ADV	ADV
רק	sólo	רק	sólo	ADV	ADV
רק	solamente	רק	solamente	ADV	ADV
רק	solo	רק	solo	ADV	ADV
רק	simplemente	רק	simplemente	ADV	ADV
רק	sólo	רק	sólo	ADV	ADV
כאשר	cuando	כאשר	cuando	CONJ	CONJ
אותו	él	None	él	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
שני	dos	שני	dos	NUM;MASC;PL	NUM;PL
כן	sí	כן	sí	ADV	ADV
כן	sí	כן	sí	ADV	ADV
שנים	años	שנה	año	N;FEM;PL	N;MASC;PL
שנים	anos	שנה	ano	N;FEM;PL	N;MASC;PL
אבל	sino	אבל	sino	CONJ	CONJ
אבל	pero	אבל	pero	CONJ	CONJ
אביב	manantial	אביב	manantial	N;MASC;SG	N;MASC;SG
אביב	primavera	אביב	primavera	N;MASC;SG	N;FEM;SG
אביב	resorte	אביב	resorte	N;MASC;SG	N;MASC;SG
במאי	mayo	במאי	mayo	N;MASC;SG	N
במאי	directora	במאי	directora	N;MASC;SG	N;FEM;SG
במאי	director	במאי	director	N;MASC;SG	N;MASC;SG
שנה	año	שנה	año	N;FEM;SG	N;MASC;SG
הערות	apuntes	הערה	apunte	N;FEM;PL	N;MASC;PL
הערות	notas	הערה	nota	N;FEM;PL	N;FEM;PL
הערות	notes	הערה	note	N;FEM;PL	N
הערות	observaciones	הערה	observación	N;FEM;PL	N;FEM;PL
הערות	comentarios	הערה	comentario	N;FEM;PL	N;MASC;PL
חלק	part	חלק	part	N;MASC;SG	N
חלק	parte	חלק	parte	N;MASC;SG	N;FEM;SG
שוליים	márgenes	שול	margen	N;MASC;PL	N;PL
שוליים	márgenes	שול	margen	N;MASC;PL	N;PL
להיות	estar	היה	estar	V;POS;NFIN	V;NFIN
אותה	ella	None	él	PRO;ACC;FEM;SG;3	PRO;FEM;SG;3
ארצות	paises	ארץ	pais	N;FEM;PL	N;MASC;PL
ארצות	países	ארץ	país	N;FEM;PL	N;MASC;PL
ראש	head	ראש	head	N;MASC;SG	N
ראש	cabezal	ראש	cabezal	N;MASC;SG	N;MASC;SG
ראש	cabeza	ראש	cabeza	N;MASC;SG	N;FEM;SG
ראש	rush	ראש	rush	N;MASC;SG	N
ערך	value	ערך	valar	N;MASC;SG	N
ערך	valor	ערך	valor	N;MASC;SG	N;MASC;SG
אלו	éstas	אלו	este	PRO;PL;3	PRO;FEM;PL
אלו	estos	אלו	este	PRO;PL;3	PRO;MASC;PL
אלו	estas	אלו	este	PRO;PL;3	PRO;FEM;PL
אלו	éstos	אלו	este	PRO;PL;3	PRO;MASC;PL
זמן	hora	זמן	hora	N;MASC;SG	N;FEM;SG
זמן	tiempo	זמן	tiempo	N;MASC;SG	N;MASC;SG
זמן	time	זמן	time	N;MASC;SG	N
בעיקר	principalmente	בעיקר	principalmente	ADV	ADV
בעיקר	principalmente	בעיקר	principalmente	ADV	ADV
בעיקר	mayormente	בעיקר	mayormente	ADV	ADV
אתר	website	אתר	website	N;MASC;SG	N;MASC;SG
אתר	web	אתר	web	N;MASC;SG	N;FEM;SG
אתר	sitio	אתר	sitio	N;MASC;SG	N;MASC;SG
אתר	sitio	אתר	sitio	N;MASC;SG	N;MASC;SG
אתר	site	אתר	sitir	N;MASC;SG	N;MASC;SG
אתר	éter	אתר	éter	N;MASC;SG	N;MASC;SG
ללא	sin	ללא	sin	ADP	ADP
שונים	diferentes	שונה	diferente	ADJ;MASC;PL	ADJ;PL
רב	rav	רב	rav		
אדם	persona	אדם	persona	N;MASC;SG	N;FEM;SG
אדם	adán	אדם	adán	N;MASC;SG	N;MASC;SG
אדם	humanos	אדם	humanos	N;MASC;SG	N
אדם	man	אדם	man	N;MASC;SG	N
אדם	hombre	אדם	hombre	N;MASC;SG	N;MASC;SG
עוד	más	עוד	más	ADV	ADV
עוד	mas	עוד	mas	ADV	ADV
דבר	thing	דבר	thing	N;MASC;SG	N
דבר	cosa	דבר	cosa	N;MASC;SG	N;FEM;SG
דבר	talk	דבר	talk	N;MASC;SG	N
דבר	charla	דבר	charla	N;MASC;SG	N;FEM;SG
ספר	libro	ספר	libro	N;MASC;SG	N;MASC;SG
ספר	peluquería	ספר	peluquería	N;MASC;SG	N;FEM;SG
ספר	barber	ספר	barber	N;MASC;SG	N;SG
ספר	barbero	ספר	barbero	N;MASC;SG	N;MASC;SG
ספר	peluquero	ספר	peluquero	N;MASC;SG	N;MASC;SG
נגד	contra	נגד	contra	ADP	ADP
זכה	ganó	זכה	ganar	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
אחרי	tras	אחרי	tras	ADP	ADP
הן	ellos	הוא	él	PRO;FEM;PL;3	PRO;MASC;PL;3
הן	ellas	הוא	él	PRO;FEM;PL;3	PRO;FEM;PL;3
יום	día	יום	día	N;MASC;SG	N;MASC;SG
יום	dia	יום	diar	N;MASC;SG	N;MASC;SG
יום	hume	יום	humir	N;MASC;SG	N;SG
אלה	éstas	אלה	este	PRO;MASC;PL;3	PRO;FEM;PL
אלה	estos	אלה	este	PRO;MASC;PL;3	PRO;MASC;PL
אלה	estas	אלה	este	PRO;MASC;PL;3	PRO;FEM;PL
אלה	éstos	אלה	este	PRO;MASC;PL;3	PRO;MASC;PL
כבר	ya	כבר	ya	ADV	ADV
כיום	actualmente	כיום	actualmente	ADV	ADV
מקום	lugar	מקום	lugar	N;MASC;SG	N;MASC;SG
מקום	lugar	מקום	lugar	N;MASC;SG	N;MASC;SG
מקום	place	מקום	place	N;MASC;SG	N
מאוד	muy	מאוד	mucho	ADV	ADV
יהודים	judías	יהודי	judía	N;MASC;PL	N;FEM;PL
יהודים	judíos	יהודי	judío	N;MASC;PL	N;MASC;PL
יהודים	judios	יהודי	judio	N;MASC;PL	N;MASC;PL
יהודים	judíos	יהודי	judío	N;MASC;PL	N;MASC;PL
דרך	via	דרך	via		
דרך	vía	דרך	vía		
שנת	año	שנה	año	N;PSSD;FEM;SG	N;MASC;SG
בעל	baal	בעל	baal	N;MASC;SG	N;MASC;SG
בעל	marido	בעל	marido	N;MASC;SG	N;MASC;SG
בעל	esposo	בעל	esposo	N;MASC;SG	N;MASC;SG
בנוסף	además	בנוסף	además	ADV	ADV
בנוסף	adicionalmente	בנוסף	adicionalmente	ADV	ADV
תחת	bajo	תחת	bajo	ADP	ADP
תמונה	fotografía	תמונה	fotografía	N;FEM;SG	N;FEM;SG
תמונה	photo	תמונה	photo	N;FEM;SG	N
תמונה	foto	תמונה	foto	N;FEM;SG	N;FEM;SG
תמונה	imagen	תמונה	imagen	N;FEM;SG	N;FEM;SG
תמונה	imágen	תמונה	imágen	N;FEM;SG	N;FEM;SG
תמונה	foto	תמונה	foto	N;FEM;SG	N;FEM;SG
כתב	reportero	כתב	reportero	N;MASC;SG	N;MASC;SG
כתב	periodista	כתב	periodista	N;MASC;SG	N;SG
כתב	reportera	כתב	reportera	N;MASC;SG	N;FEM;SG
היום	hoy	היום	hoy	ADV	ADV
אותם	ellas	None	él	PRO;ACC;MASC;PL;3	PRO;FEM;PL;3
אותם	ellos	None	él	PRO;ACC;MASC;PL;3	PRO;MASC;PL;3
החברה	society	החברה	society	N;FEM;SG	N;SG
החברה	sociedad	החברה	sociedad	N;FEM;SG	N;FEM;SG
החברה	compañia	החברה	compañia	N;FEM;SG	N;FEM;SG
החברה	empresa	החברה	empresa	N;FEM;SG	N;FEM;SG
החברה	compañía	החברה	compañía	N;FEM;SG	N;FEM;SG
החברה	companía	החברה	companía	N;FEM;SG	N;FEM;SG
שונות	diferentes	שונה	diferente	ADJ;FEM;PL	ADJ;PL
מערכת	system	מערכת	system	N;FEM;SG	N
מערכת	sistema	מערכת	sistema	N;FEM;SG	N;MASC;SG
בלבד	únicamente	בלבד	únicamente	ADV	ADV
בלבד	solo	בלבד	solo	ADV	ADV
בלבד	sólo	בלבד	sólo	ADV	ADV
בלבד	solamente	בלבד	solamente	ADV	ADV
מרכז	centro	מרכז	centro	N;MASC;SG	N;MASC;SG
מרכז	center	מרכז	center	N;MASC;SG	N;MASC;SG
מרכז	centro	מרכז	centro	N;MASC;SG	N;MASC;SG
מרכז	centre	מרכז	centre	N;MASC;SG	N;MASC;SG
שימוש	uso	שימוש	uso	N;MASC;SG	N;MASC;SG
שימוש	utilización	שימוש	utilización	N;MASC;SG	N;FEM;SG
שימוש	uso	שימוש	uso	N;MASC;SG	N;MASC;SG
שימוש	utilización	שימוש	utilización	N;MASC;SG	N;FEM;SG
רוב	most	רוב	most	N;MASC;SG	N
רוב	mayoría	רוב	mayoría	N;MASC;SG	N;FEM;SG
רוב	mayoria	רוב	mayoria	N;MASC;SG	N;FEM;SG
כולל	incluyendo	כלל	incluir	V;MASC;SG;V.PTCP;ACT	V;V.MSDR
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;SG
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;SG
גדול	gran	גדול	gran	ADJ;MASC;SG	ADJ;SG
גדול	grandioso	גדול	grandioso	ADJ;MASC;SG	ADJ;MASC;SG
גדול	genial	גדול	genial	ADJ;MASC;SG	ADJ;SG
גדול	estupendo	גדול	estupendo	ADJ;MASC;SG	ADJ;MASC;SG
גדול	gran	גדול	gran	ADJ;MASC;SG	ADJ;SG
ישראלים	israelíes	ישראלי	israelí	N;MASC;PL	N;PL
ישראלים	israelíes	ישראלי	israelí	N;MASC;PL	N;PL
ישראלים	israelitas	ישראלי	israelita	N;MASC;PL	N;PL
יהודי	judio	יהודי	judio	N;MASC;SG	N;MASC;SG
יהודי	judío	יהודי	judío	N;MASC;SG	N;MASC;SG
יהודי	judio	יהודי	judio	N;MASC;SG	N;MASC;SG
יהודי	judío	יהודי	judío	N;MASC;SG	N;MASC;SG
סוג	type	סוג	type	N;MASC;SG	N
סוג	tipo	סוג	tipo	N;MASC;SG	N;MASC;SG
מידע	info	מידע	info	N;MASC;SG	N;FEM;SG
מידע	información	מידע	información	N;MASC;SG	N;FEM;SG
מידע	informacion	מידע	informacion	N;MASC;SG	N;FEM;SG
מידע	información	מידע	información	N;MASC;SG	N;FEM;SG
מידע	informacion	מידע	informacion	N;MASC;SG	N;FEM;SG
מידע	data	מידע	datar	N;MASC;SG	N;FEM;SG
מידע	dato	מידע	dato	N;MASC;SG	N;MASC;SG
ערכים	valores	ערך	valor	N;MASC;PL	N;MASC;PL
ערכים	entradas	ערך	entrada	N;MASC;PL	N;FEM;PL
אנשים	personas	איש	persona	N;MASC;PL	N;FEM;PL
דקות	actas	דקה	acta	N;FEM;PL	N;FEM;PL
דקות	minutos	דקה	minuto	N;FEM;PL	N;MASC;PL
חבר	amigo	חבר	amigo	N;MASC;SG	N;MASC;SG
חבר	friend	חבר	friend	N;MASC;SG	N
חבר	amiga	חבר	amiga	N;MASC;SG	N;FEM;SG
חבר	novio	חבר	novio	N;MASC;SG	N;MASC;SG
בת	hija	בת	hija	N;FEM;SG	N;FEM;SG
בת	beth	בת	beth	N;FEM;SG	N;FEM;SG
כאן	aquí	כאן	aquí	ADV	ADV
כאן	acá	כאן	acá	ADV	ADV
הכנסת	knesset	הכנסה	knesset	N;PSSD;FEM;SG	N;MASC;SG
הכנסת	sinagoga	הכנסה	sinagogo	N;PSSD;FEM;SG	N;FEM;SG
וגם	tambien	וגם	tambien		
חדש	nuevo	חדש	nuevo	ADJ;MASC;SG	ADJ;MASC;SG
חדש	nueva	חדש	nuevo	ADJ;MASC;SG	ADJ;FEM;SG
ארץ	pais	ארץ	pais	N;FEM;SG	N;MASC;SG
ארץ	país	ארץ	país	N;FEM;SG	N;MASC;SG
ארץ	land	ארץ	land	N;FEM;SG	N
ארץ	terreno	ארץ	terreno	N;FEM;SG	N;MASC;SG
ארץ	tierra	ארץ	tierra	N;FEM;SG	N;FEM;SG
ארץ	earth	ארץ	earth	N;FEM;SG	N
ארץ	tierra	ארץ	tierra	N;FEM;SG	N;FEM;SG
כלי	tool	כלי	tool	N;MASC;SG	N
כלי	herramienta	כלי	herramienta	N;MASC;SG	N;FEM;SG
כלי	instrumento	כלי	instrumento	N;MASC;SG	N;MASC;SG
הרבה	mucho	הרבה	mucho	ADV	ADV
אתה	te	הוא	tú	PRO;MASC;SG;2	PRO;SG;2
אתה	tú	הוא	tú	PRO;MASC;SG;2	PRO;NOM;SG;2
אתה	usted	הוא	tú	PRO;MASC;SG;2	PRO;SG;2;FORM
אתה	vos	הוא	vo	PRO;MASC;SG;2	PRO;SG;2
טוב	buena	טוב	buen	ADJ;MASC;SG	ADJ;FEM;SG
ילדים	ninos	ילד	nino	N;MASC;PL	N;MASC;PL
ילדים	niños	ילד	niño	N;MASC;PL	N;MASC;PL
ילדים	kids	ילד	kids	N;MASC;PL	N
ילדים	ninos	ילד	nino	N;MASC;PL	N;MASC;PL
ילדים	niños	ילד	niño	N;MASC;PL	N;MASC;PL
הגיע	llegado	הגיע	llegar	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
הגיע	llegó	הגיע	llegar	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
כמעט	casi	כמעט	casi	ADV	ADV
כמעט	casi	כמעט	casi	ADV	ADV
כוח	fortaleza	כוח	fortaleza	N;MASC;SG	N;FEM;SG
כוח	fuerza	כוח	fuerza	N;MASC;SG	N;FEM;SG
כוח	fuerza	כוח	fuerza	N;MASC;SG	N;FEM;SG
כוח	force	כוח	force	N;MASC;SG	N
כוח	potencia	כוח	potencia	N;MASC;SG	N;FEM;SG
כוח	power	כוח	power	N;MASC;SG	N
מלך	king	מלך	king	N;MASC;SG	N
מלך	rey	מלך	rey	N;MASC;SG	N;MASC;SG
מקור	procedencia	מקור	procedencia	N;MASC;SG	N;FEM;SG
מקור	origen	מקור	origen	N;MASC;SG	N;MASC;SG
מקור	procedencia	מקור	procedencia	N;MASC;SG	N;FEM;SG
מקור	fuente	מקור	fuente	N;MASC;SG	N;FEM;SG
מקור	origen	מקור	origen	N;MASC;SG	N;MASC;SG
מקור	source	מקור	source	N;MASC;SG	N
תוכנית	programa	תוכנית	programa	N;FEM;SG	N;MASC;SG
תוכנית	plano	תוכנית	plano	N;FEM;SG	N;MASC;SG
תוכנית	plan	תוכנית	plan	N;FEM;SG	N;MASC;SG
תוכנית	programa	תוכנית	programa	N;FEM;SG	N;MASC;SG
לגבי	sobre	לגבי	sobre	ADP	ADP
משתמש	usando	השתמש	usar	V;MASC;SG;V.PTCP	V;V.MSDR
משתמש	utilizando	השתמש	utilizar	V;MASC;SG;V.PTCP	V;V.MSDR
נשים	mujeres	איש	mujer	N;FEM;PL	N;FEM;PL
במיוחד	particularmente	במיוחד	particularmente	ADV	ADV
במיוחד	especialmente	במיוחד	especialmente	ADV	ADV
במיוחד	especialmente	במיוחד	especialmente	ADV	ADV
עדיין	todavía	עדיין	todavía	ADV	ADV
עדיין	aún	עדיין	aún	ADV	ADV
כוחות	powers	כוח	power	N;MASC;PL	N
כוחות	poderes	כוח	poder	N;MASC;PL	N;MASC;PL
כוחות	atribuciones	כוח	atribución	N;MASC;PL	N;FEM;PL
כוחות	potencias	כוח	potencia	N;MASC;PL	N;FEM;PL
כוחות	fuerzas	כוח	fuerza	N;MASC;PL	N;FEM;PL
כוחות	forces	כוח	force	N;MASC;PL	N;FEM
פעולה	action	פעולה	action	N;FEM;SG	N;SG
פעולה	acción	פעולה	acción	N;FEM;SG	N;FEM;SG
פעולה	accion	פעולה	accionar	N;FEM;SG	N;FEM;SG
נכון	correcto	נכון	correcto	ADJ;MASC;SG	ADJ;MASC;SG
נכון	cierto	נכון	cierto	ADJ;MASC;SG	ADJ;MASC;SG
נכון	verdadera	נכון	verdadero	ADJ;MASC;SG	ADJ;FEM;SG
נכון	verdadero	נכון	verdadero	ADJ;MASC;SG	ADJ;MASC;SG
החלה	empezó	החל	empezar	V;FEM;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
החלה	comenzó	החל	comenzar	V;FEM;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
החלה	comenzado	החל	comenzar	V;FEM;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
חוק	derecho	חוק	derecho	N;MASC;SG	N;MASC;SG
חוק	legislación	חוק	legislación	N;MASC;SG	N;FEM;SG
חוק	ley	חוק	ley	N;MASC;SG	N;FEM;SG
יחידה	unit	יחידה	unit	N;FEM;SG	N
יחידה	unidad	יחידה	unidad	N;FEM;SG	N;FEM;SG
שוב	nuevamente	שוב	nuevamente	ADV	ADV
מדינות	estados	מדינה	estado	N;FEM;PL	N;MASC;PL
מדינות	paises	מדינה	pais	N;FEM;PL	N;MASC;PL
מדינות	países	מדינה	país	N;FEM;PL	N;MASC;PL
מפקד	comandante	מפקד	comandante	N;MASC;SG	N;SG
מפקד	comendador	מפקד	comendador	N;MASC;SG	N;MASC;SG
אזור	region	אזור	region	N;MASC;SG	N;FEM;SG
אזור	comarca	אזור	comarca	N;MASC;SG	N;FEM;SG
אזור	región	אזור	región	N;MASC;SG	N;FEM;SG
אזור	zona	אזור	zona	N;MASC;SG	N;FEM;SG
אזור	zone	אזור	zone	N;MASC;SG	N
אזור	superficie	אזור	superficie	N;MASC;SG	N;FEM;SG
אזור	zona	אזור	zona	N;MASC;SG	N;FEM;SG
אזור	area	אזור	area	N;MASC;SG	N;FEM;SG
אזור	área	אזור	área	N;MASC;SG	N;FEM;SG
פעמים	tiempos	פעם	tiempo	N;FEM;PL	N;MASC;PL
פעמים	veces	פעם	vez	N;FEM;PL	N;FEM;PL
פעמים	épocas	פעם	época	N;FEM;PL	N;FEM;PL
פעמים	times	פעם	time	N;FEM;PL	N
קבוצות	grupos	קבוצה	grupo	N;FEM;PL	N;MASC;PL
קבוצות	agrupaciones	קבוצה	agrupación	N;FEM;PL	N;FEM;PL
קבוצות	equipos	קבוצה	equipo	N;FEM;PL	N;MASC;PL
האי	hai	האי	hacer		
סרט	pelicula	סרט	pelicula	N;MASC;SG	N;FEM;SG
סרט	cine	סרט	cine	N;MASC;SG	N;MASC;SG
סרט	movie	סרט	movie	N;MASC;SG	N;SG
סרט	película	סרט	película	N;MASC;SG	N;FEM;SG
סרט	pelicula	סרט	pelicula	N;MASC;SG	N;FEM;SG
סרט	cine	סרט	cine	N;MASC;SG	N;MASC;SG
סרט	película	סרט	película	N;MASC;SG	N;FEM;SG
סרט	film	סרט	film	N;MASC;SG	N;MASC;SG
קרב	batalla	קרב	batalla	N;MASC;SG	N;FEM;SG
קרב	combate	קרב	combate	N;MASC;SG	N;MASC;SG
קרב	combate	קרב	combate	N;MASC;SG	N;MASC;SG
קצר	corta	קצר	corto	ADJ;MASC;SG	ADJ;FEM;SG
קצר	corto	קצר	corto	ADJ;MASC;SG	ADJ;MASC;SG
קצר	breve	קצר	breve	ADJ;MASC;SG	ADJ;SG
קצר	breve	קצר	breve	ADJ;MASC;SG	ADJ;SG
ימים	días	יום	día	N;MASC;PL	N;MASC;PL
ימים	jornadas	יום	jornada	N;MASC;PL	N;FEM;PL
ימים	dias	יום	dia	N;MASC;PL	N;MASC;PL
ימים	days	יום	day	N;MASC;PL	N
צבא	ejército	צבא	ejército	N;MASC;SG	N;MASC;SG
צבא	ejército	צבא	ejército	N;MASC;SG	N;MASC;SG
צבא	army	צבא	army	N;MASC;SG	N
צבא	ejercito	צבא	ejercito	N;MASC;SG	N;MASC;SG
ים	mar	ים	mar	N;MASC;SG	N;SG
צה	eet	צה	eet		
משחק	juego	משחק	juego	N;MASC;SG	N;MASC;SG
משחק	actuación	משחק	actuación	N;MASC;SG	N;FEM;SG
ראשי	head	ראש	head	N;PSSD;MASC;PL	N
ראשי	primarias	ראש	primaria	N;PSSD;MASC;PL	N;FEM;PL
מדי	también	מדי	también	ADV	ADV
מדי	demasiado	מדי	demasiado	ADV	ADV
פעילות	actividad	פעילות	actividad	N;FEM;SG	N;FEM;SG
שטח	field	שטח	field	N;MASC;SG	N
שטח	campo	שטח	campo	N;MASC;SG	N;MASC;SG
שטח	terreno	שטח	terreno	N;MASC;SG	N;MASC;SG
שטח	superficie	שטח	superficie	N;MASC;SG	N;FEM;SG
שטח	zona	שטח	zona	N;MASC;SG	N;FEM;SG
שטח	area	שטח	area	N;MASC;SG	N;FEM;SG
שטח	área	שטח	área	N;MASC;SG	N;FEM;SG
מאוחר	tarde	מאוחר	tarde	ADV	ADV
קולנוע	pelicula	קולנוע	pelicula	N;MASC;SG	N;FEM;SG
קולנוע	cine	קולנוע	cine	N;MASC;SG	N;MASC;SG
קולנוע	movie	קולנוע	movie	N;MASC;SG	N;SG
קולנוע	película	קולנוע	película	N;MASC;SG	N;FEM;SG
קולנוע	cine	קולנוע	cine	N;MASC;SG	N;MASC;SG
קולנוע	cinematografía	קולנוע	cinematografía	N;MASC;SG	N;FEM;SG
קולנוע	fotografía	קולנוע	fotografía	N;MASC;SG	N;FEM;SG
קולנוע	cine	קולנוע	cine	N;MASC;SG	N;MASC;SG
קולנוע	cinema	קולנוע	cinema	N;MASC;SG	N;MASC;SG
קשר	conexion	קשר	conexion	N;MASC;SG	N;FEM;SG
קשר	conexión	קשר	conexión	N;MASC;SG	N;FEM;SG
קשר	contacto	קשר	contacto	N;MASC;SG	N;MASC;SG
קשר	nudo	קשר	nudo	N;MASC;SG	N;MASC;SG
קודם	primero	קודם	primero	ADV	ADV
עיר	pueblo	עיר	pueblo	N;FEM;SG	N;MASC;SG
עיר	ciudad	עיר	ciudad	N;FEM;SG	N;FEM;SG
עיר	ciudad	עיר	ciudad	N;FEM;SG	N;FEM;SG
הופעות	impresiones	הופעה	impresión	N;FEM;PL	N;FEM;PL
הופעות	apariciones	הופעה	aparición	N;FEM;PL	N;FEM;PL
הופעות	apariencias	הופעה	apariencia	N;FEM;PL	N;FEM;PL
הופעות	conciertos	הופעה	concierto	N;FEM;PL	N;MASC;PL
תקופה	periodo	תקופה	periodo	N;FEM;SG	N;MASC;SG
תקופה	período	תקופה	período	N;FEM;SG	N;MASC;SG
ספרים	libros	ספר	libro	N;MASC;PL	N;MASC;PL
קטן	pequeño	קטן	pequeño	ADJ;MASC;SG	ADJ;MASC;SG
קטן	pequeña	קטן	pequeño	ADJ;MASC;SG	ADJ;FEM;SG
קטן	pequeño	קטן	pequeño	ADJ;MASC;SG	ADJ;MASC;SG
קטן	pequeña	קטן	pequeño	ADJ;MASC;SG	ADJ;FEM;SG
קטן	poquito	קטן	poquito	ADJ;MASC;SG	ADJ;MASC;SG
למד	aprendió	למד	aprender	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN
למד	estudió	למד	estudiar	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN
למד	aprenda	למד	aprender	V;MASC;SG;3;PST	V;IMP;SG;3;FIN
למד	aprender	למד	aprender	V;MASC;SG;3;PST	V;NFIN
ברית	alliance	ברית	alliance	N;FEM;SG	N;SG
ברית	alianza	ברית	alianza	N;FEM;SG	N;FEM;SG
פחות	menos	פחות	menos	ADV	ADV
משרד	oficina	משרד	oficina	N;MASC;SG	N;FEM;SG
משרד	office	משרד	office	N;MASC;SG	N;SG
משרד	despacho	משרד	despacho	N;MASC;SG	N;MASC;SG
גרסאות	variantes	גרסה	variante	N;FEM;PL	N;FEM;PL
גרסאות	versiones	גרסה	versión	N;FEM;PL	N;FEM;PL
זהב	oro	זהב	oro	N;MASC;SG	N;MASC;SG
זהב	golden	זהב	golden	N;MASC;SG	N;MASC;SG
זהב	oro	זהב	oro	N;MASC;SG	N;MASC;SG
זהב	gold	זהב	gold	N;MASC;SG	N
עולם	mundo	עולם	mundo	N;MASC;SG	N;MASC;SG
עולם	world	עולם	world	N;MASC;SG	N
יד	yad	יד	yad	N;FEM;SG	N;MASC;SG
יד	hand	יד	hand	N;FEM;SG	N
יד	mano	יד	mano	N;FEM;SG	N;FEM;SG
מדינה	pais	מדינה	pais	N;FEM;SG	N;MASC;SG
מדינה	país	מדינה	país	N;FEM;SG	N;MASC;SG
מדינה	state	מדינה	state	N;FEM;SG	N
מדינה	estado	מדינה	estado	N;FEM;SG	N;MASC;SG
ארגון	organizacion	ארגון	organizacion	N;MASC;SG	N;FEM;SG
ארגון	organización	ארגון	organización	N;MASC;SG	N;FEM;SG
ארגון	organizacion	ארגון	organizacion	N;MASC;SG	N;FEM;SG
ארגון	organización	ארגון	organización	N;MASC;SG	N;FEM;SG
ארגון	organización	ארגון	organización	N;MASC;SG	N;FEM;SG
ארגון	organizador	ארגון	organizador	N;MASC;SG	N;MASC;SG
לכתוב	escribe	כתב	escribir	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
לכתוב	escribo	כתב	escribir	V;NFIN;ACT	V;IND;SG;1;PRS;FIN
לכתוב	escribir	כתב	escribir	V;NFIN;ACT	V;NFIN
לכתוב	escriba	כתב	escribir	V;NFIN;ACT	V;IMP;SG;3;FIN
גדולה	grande	גדול	grande	ADJ;FEM;SG	ADJ;SG
גדולה	grande	גדול	grande	ADJ;FEM;SG	ADJ;SG
גדולה	gran	גדול	gran	ADJ;FEM;SG	ADJ;SG
אוכלוסייה	población	אוכלוסייה	población	N;FEM;SG	N;FEM;SG
הקהילה	comunidad	הקהיל	comunidad	N;FEM;SG	N;FEM;SG
