tagasiside	odozva	tagasi_side	odozva	N;NOM;SG	N;NOM;FEM;SG
retseptorid	receptory	retseptor	receptor	N;NOM;PL	N;INAN;NOM;MASC;PL
ülemineku	prechod	üle_minek	prechod	N;NOM;SG	N;INAN;NOM;MASC;SG
föderatsioon	federácia	föderatsioon	federácia	N;NOM;SG	N;NOM;FEM;SG
pronks	bronz	pronks	bronz	N;NOM;SG	N;INAN;NOM;MASC;SG
laager	camp	laager	camp	N;NOM;SG	N;INAN;NOM;MASC;SG
laager	tábor	laager	tábor	N;NOM;SG	N;INAN;NOM;MASC;SG
saatja	vysielač	saatja	vysielač	N;NOM;SG	N;INAN;NOM;MASC;SG
saatja	odosielateľ	saatja	odosielateľ	N;NOM;SG	N;ANIM;NOM;MASC;SG
price	cena	price	cena	N;NOM;SG	N;NOM;FEM;SG
sõltuv	závislé	sõltuv	závislý	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG
tunnistab	uznáva	tunnistama	uznávať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
tunnistab	priznáva	tunnistama	priznávať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
tunnistab	pripúšťa	tunnistama	pripúšťať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
tunnistab	priznáva	tunnistama	priznávať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
tunnistab	pripúšťa	tunnistama	pripúšťať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
tunnistab	uznáva	tunnistama	uznávať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
index	index	index	index	N;NOM;SG	N;INAN;NOM;MASC;SG
tarbija	spotrebiteľ	tarbija	spotrebiteľ	N;NOM;SG	N;ANIM;NOM;MASC;SG
kolmkümmend	tridsať	kolm_kümmend	tridsať	NUM;NOM;SG	NUM;NOM;NEUT;SG
mündid	mince	münt	minca	N;NOM;PL	N;NOM;FEM;PL
vastutus	zodpovednosť	vastutus	zodpovednosť	N;NOM;SG	N;NOM;FEM;SG
vastutus	ručenie	vastutus	ručenie	N;NOM;SG	N;NOM;NEUT;SG
vastutus	záväzok	vastutus	záväzok	N;NOM;SG	N;INAN;NOM;MASC;SG
vastutus	zodpovednosť	vastutus	zodpovednosť	N;NOM;SG	N;NOM;FEM;SG
vastutus	zodpovednosť	vastutus	zodpovednosť	N;NOM;SG	N;NOM;FEM;SG
apostel	apoštol	apostel	apoštol	N;NOM;SG	N;ANIM;NOM;MASC;SG
arusaadav	zrozumiteľné	aru_saadav	zrozumiteľný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG
arusaadav	pochopiteľné	aru_saadav	pochopiteľný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG
lõpmatu	nekonečný	lõpmatu	nekonečný	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
lõpmatu	nekonečné	lõpmatu	konečný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
lõpmatu	nekonečná	lõpmatu	konečný	ADJ;NOM;SG	ADJ;NOM;FEM;SG
osatähtsus	intenzita	osa_tähtsus	intenzita	N;NOM;SG	N;NOM;FEM;SG
osatähtsus	svietivosť	osa_tähtsus	svietivosť	N;NOM;SG	N;NOM;FEM;SG
dean	dekan	deadma	dekan	N;NOM;SG	N;ANIM;NOM;MASC;SG
seisukohad	pohľady	seisu_koht	pohľad	N;NOM;PL	N;INAN;NOM;MASC;PL
seisukohad	zobrazenia	seisu_koht	zobrazenie	N;NOM;PL	N;NOM;NEUT;PL
seisukohad	názory	seisu_koht	názor	N;NOM;PL	N;INAN;NOM;MASC;PL
britid	briti	britt	brit	N;NOM;PL	N;ANIM;NOM;MASC;PL
britid	briti	britt	brit	N;NOM;PL	N;ANIM;NOM;MASC;PL
sakslane	nemčina	sakslane	nemčina	N;NOM;SG	N;NOM;FEM;SG
mozart	mozart	mozart	mozart	N;NOM;SG	N;ANIM;NOM;MASC;SG
mehitatud	obsadený	mehitama	obsadený	ADJ;PST;V.PTCP;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
vaidlused	spory	vaidlus	spor	N;NOM;PL	N;INAN;NOM;MASC;PL
lugemine	čítanie	lugemine	čítanie	N;NOM;SG	N;NOM;NEUT;SG
lugemine	čítanie	lugemine	čítanie	N;NOM;SG	N;NOM;NEUT;SG
dünaamika	dynamika	dünaamika	dynamika	N;NOM;SG	N;NOM;FEM;SG
dünaamika	dynamic	dünaamika	dynamica	N;NOM;SG	N;NOM;FEM;SG
muhammad	muhammad	muhamm	muhammad	N;NOM;SG	N;ANIM;NOM;MASC;SG
muhammad	mohamed	muhamm	mohamed	N;NOM;SG	N;ANIM;NOM;MASC;SG
edukad	úspešní	edukas	úspešniť	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;PL
tutvustab	zavádza	tutvustama	zavádzať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
kinnine	uzavretá	kinnine	uzavretý	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
kinnine	zatvorená	kinnine	zatvorený	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
kinnine	zatvorené	kinnine	zatvorený	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
kinnine	zavreté	kinnine	zavretý	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
kinnine	uzavreté	kinnine	uzavretý	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
federico	federico	federico	federico	N;NOM;SG	N;ANIM;NOM;MASC;SG
lászló	lászló	lászló	lászló	N;NOM;SG	N;ANIM;NOM;MASC;SG
kirjuta	písať	kirjutama	písať	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;POS;NFIN
kirjuta	napísať	kirjutama	napísať	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;POS;NFIN
kirjuta	píš	kirjutama	pís	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;IMP;SG;2;POS;FIN
kirjuta	napíš	kirjutama	napísať	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;IMP;SG;2;POS;FIN
täpsus	presnosť	täpsus	presnosť	N;NOM;SG	N;NOM;FEM;SG
täpsus	presnosť	täpsus	presnosť	N;NOM;SG	N;NOM;FEM;SG
täpsus	správnosť	täpsus	správnosť	N;NOM;SG	N;NOM;FEM;SG
täpsus	presnosť	täpsus	presnosť	N;NOM;SG	N;NOM;FEM;SG
kombinatsioon	kombinácia	kombinatsioon	kombinácia	N;NOM;SG	N;NOM;FEM;SG
christie	christie	christie	christie	N;NOM;SG	N;NOM;FEM;SG
üliõpilane	študent	üli_õpilane	študent	N;NOM;SG	N;ANIM;NOM;MASC;SG
üliõpilane	študentka	üli_õpilane	študentka	N;NOM;SG	N;NOM;FEM;SG
vöö	opasok	vöö	opasok	N;NOM;SG	N;INAN;NOM;MASC;SG
vöö	pás	vöö	pás	N;NOM;SG	N;INAN;NOM;MASC;SG
valley	valley	valley	valli	N;NOM;SG	N;INAN;NOM;MASC;SG
valley	dolina	valley	dolina	N;NOM;SG	N;NOM;FEM;SG
valley	údolie	valley	údolie	N;NOM;SG	N;NOM;NEUT;SG
juhani	juhani	juhani	juhaň	N;NOM;SG	N;ANIM;NOM;MASC;SG
mars	marse	mars	marsa	N;NOM;SG	N;INAN;NOM;MASC;SG
kõrgused	výšky	kõrgune	výška	N;NOM;PL	N;NOM;FEM;PL
põhjendatud	podložené	põhjenda=tud	podložený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
põhjendatud	odôvodnené	põhjenda=tud	odôvodnený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
põhjendatud	odôvodnený	põhjenda=tud	odôvodnený	ADJ;PST;V.PTCP;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
põhjendatud	odôvodnené	põhjenda=tud	odôvodnený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
põhjendatud	oprávnený	põhjenda=tud	oprávnený	ADJ;PST;V.PTCP;PASS	ADJ;ANIM;NOM;MASC;SG
põhjendatud	odôvodnené	põhjenda=tud	odôvodnený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
põhjendatud	oprávnené	põhjenda=tud	oprávnený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
põhjendatud	opodstatnené	põhjenda=tud	opodstatnený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
põhjendatud	oprávnená	põhjenda=tud	oprávnený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
epitsenter	epicentra	epitsenter	epicentrum	N;NOM;SG	N;NOM;FEM;SG
samoa	samoa	samo	samoa	N;NOM;SG	N;ANIM;NOM;MASC;SG
seksuaalne	pohlavný	seksuaalne	pohlavný	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
seksuaalne	sexuálna	seksuaalne	sexuálny	ADJ;NOM;SG	ADJ;NOM;FEM;SG
seksuaalne	sexuálne	seksuaalne	sexuálny	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
seksuaalne	sexuálny	seksuaalne	sexuálny	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG
juurdepääs	pristup	juurde_pääs	pristup	N;NOM;SG	N;INAN;NOM;MASC;SG
juurdepääs	prístup	juurde_pääs	prístup	N;NOM;SG	N;INAN;NOM;MASC;SG
juurdepääs	dostupnosť	juurde_pääs	dostupnosť	N;NOM;SG	N;NOM;FEM;SG
juurdepääs	prístupnosť	juurde_pääs	prístupnosť	N;NOM;SG	N;NOM;FEM;SG
igavene	večný	igavene	večný	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
igavene	večná	igavene	večný	ADJ;NOM;SG	ADJ;NOM;FEM;SG
igavene	večné	igavene	večný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
ootamatu	nečakané	ootamatu	čakaný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ootamatu	neočakávané	ootamatu	očakávaný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
bayern	bayern	bayern	bayern	N;NOM;SG	N;INAN;NOM;MASC;SG
rääkides	hovoriac	rääkima	hovoriť	V;V.CVB	V;IPFV;POS;V.CVB
madu	had	madu	had	N;NOM;SG	N;ANIM;NOM;MASC;SG
madu	had	madu	had	N;NOM;SG	N;ANIM;NOM;MASC;SG
tükk	kus	tükk	kus	N;NOM;SG	N;INAN;NOM;MASC;SG
tükk	kúsok	tükk	kúsok	N;NOM;SG	N;INAN;NOM;MASC;SG
tasakaal	zostatok	tasa_kaal	zostatok	N;NOM;SG	N;INAN;NOM;MASC;SG
tasakaal	rovnováha	tasa_kaal	rovnováhať	N;NOM;SG	N;NOM;FEM;SG
tasakaal	vyváženie	tasa_kaal	vyváženie	N;NOM;SG	N;NOM;NEUT;SG
tasakaal	saldo	tasa_kaal	saldo	N;NOM;SG	N;INAN;NOM;MASC;SG
tasakaal	vyváženosť	tasa_kaal	vyváženosť	N;NOM;SG	N;NOM;FEM;SG
tasakaal	rovnováha	tasa_kaal	rovnováhať	N;NOM;SG	N;NOM;FEM;SG
mateeria	hmota	mateeria	hmota	N;NOM;SG	N;NOM;FEM;SG
mateeria	záležitosť	mateeria	záležitosť	N;NOM;SG	N;NOM;FEM;SG
olend	stvorenie	olend	stvorenie	N;NOM;SG	N;NOM;NEUT;SG
olend	tvor	olend	tvor	N;NOM;SG	N;ANIM;NOM;MASC;SG
neutraalne	neutrálny	neutraalne	neutrálny	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG
neutraalne	neutrálna	neutraalne	utrálny	ADJ;NOM;SG	ADJ;NOM;FEM;SG
discovery	objavenie	discovery	objavenie	N;NOM;SG	N;NOM;NEUT;SG
discovery	objav	discovery	objav	N;NOM;SG	N;INAN;NOM;MASC;SG
omavalitsused	obce	oma_valitsus	obec	N;NOM;PL	N;NOM;FEM;PL
sööt	kŕmenie	sööt	kŕmenie	N;NOM;SG	N;NOM;NEUT;SG
sööt	návnada	sööt	návnada	N;NOM;SG	N;NOM;FEM;SG
tüür	kormidlo	tüür	kormidlo	N;NOM;SG	N;NOM;NEUT;SG
mootorid	motory	mootor	motor	N;NOM;PL	N;INAN;NOM;MASC;PL
mootorid	motory	mootor	motor	N;NOM;PL	N;INAN;NOM;MASC;PL
läbipaistev	priesvitné	läbi_paistev	priesvitný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG
läbipaistev	transparentné	läbi_paistev	transparentný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;NEUT;SG
läbipaistev	transparentná	läbi_paistev	transparentný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;FEM;SG
läbipaistev	transparentný	läbi_paistev	transparentný	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;INAN;NOM;MASC;SG
keiserlik	cisársky	keiserlik	cisársky	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
lineaarne	lineárne	lineaarne	lineárne	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
lineaarne	lineárna	lineaarne	lineárny	ADJ;NOM;SG	ADJ;NOM;FEM;SG
lineaarne	lineárny	lineaarne	lineárny	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
illustratsioonid	ilustrácie	illustratsioon	ilustrácia	N;NOM;PL	N;NOM;FEM;PL
muda	kal	muda	kala	N;NOM;SG	N;INAN;NOM;MASC;SG
muda	blato	muda	blato	N;NOM;SG	N;NOM;NEUT;SG
muda	blate	muda	blat	N;NOM;SG	N;NOM;NEUT;SG
mõõtmine	meranie	mõõtmine	meranie	N;NOM;SG	N;NOM;NEUT;SG
mõõtmine	meranie	mõõtmine	meranie	N;NOM;SG	N;NOM;NEUT;SG
mõõtmine	oceňovanie	mõõtmine	oceňovanie	N;NOM;SG	N;NOM;NEUT;SG
mõõtmine	meranie	mõõtmine	meranie	N;NOM;SG	N;NOM;NEUT;SG
õnnetus	úraz	õnnetus	úraz	N;NOM;SG	N;INAN;NOM;MASC;SG
õnnetus	nehoda	õnnetus	nehoda	N;NOM;SG	N;NOM;FEM;SG
õnnetus	havária	õnnetus	havária	N;NOM;SG	N;NOM;FEM;SG
semper	semper	semper	semper	N;NOM;SG	N;ANIM;NOM;MASC;SG
tragöödia	tragédia	tragöödia	tragédium	N;NOM;SG	N;NOM;FEM;SG
eeldused	predpoklady	eeldus	predpoklad	N;NOM;PL	N;INAN;NOM;MASC;PL
eeldused	domnienky	eeldus	domnienka	N;NOM;PL	N;NOM;FEM;PL
eeldused	predpoklady	eeldus	predpoklad	N;NOM;PL	N;INAN;NOM;MASC;PL
václav	václav	václav	václava	N;NOM;SG	N;ANIM;NOM;MASC;SG
valdkond	oblasť	valdkond	oblasť	N;NOM;SG	N;NOM;FEM;SG
valdkond	plocha	valdkond	plocha	N;NOM;SG	N;NOM;FEM;SG
vulgaris	vulgaris	vulgar	vulgaris	N;NOM;SG	N;NOM;FEM;SG
vicente	vicente	vicente	vicent	N;NOM;SG	N;ANIM;NOM;MASC;SG
jälgib	monitoruje	jälgima	monitorovať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
marge	marge	marg	marga	N;NOM;SG	N;NOM;FEM;SG
pen	pero	pen	pero	N;NOM;SG	N;NOM;NEUT;SG
arendab	vyvíja	arendama	vyvíjať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
arendab	rozvíja	arendama	rozvíjať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
ungarlased	maďari	ungarlane	maďar	N;NOM;PL	N;ANIM;NOM;MASC;PL
kommentaar	komentár	kommentaar	komentár	N;NOM;SG	N;INAN;NOM;MASC;SG
shanghai	šanghaji	shanghai	šanghaj	N;NOM;SG	N;INAN;NOM;MASC;SG
armastaja	milenka	armastaja	milenka	N;NOM;SG	N;NOM;FEM;SG
armastaja	milenec	armastaja	milenec	N;NOM;SG	N;ANIM;NOM;MASC;SG
orange	orange	orang	oranga	N;NOM;SG	N;INAN;NOM;MASC;SG
orange	pomaranč	orang	pomaranč	N;NOM;SG	N;INAN;NOM;MASC;SG
sõnaraamat	slovník	sõna_raamat	slovník	N;NOM;SG	N;INAN;NOM;MASC;SG
odavam	lacnejší	odavam	lacný	ADJ;NOM;CMPR;SG	ADJ;ANIM;NOM;CMPR;MASC;SG
edge	hrane	edge	hraň	N;NOM;SG	N;NOM;FEM;SG
edge	okraj	edge	okraj	N;NOM;SG	N;INAN;NOM;MASC;SG
kiili	vážka	kiil	vážka	N;NOM;SG	N;NOM;FEM;SG
individuaalne	individuálna	individuaalne	individuálny	ADJ;NOM;SG	ADJ;NOM;FEM;SG
individuaalne	individuálny	individuaalne	individuálny	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG
robot	robot	robot	robot	N;NOM;SG	N;INAN;NOM;MASC;SG
robot	robota	robot	robota	N;NOM;SG	N;NOM;FEM;SG
geneetiliselt	geneticky	geneetiliselt	geneticky	ADV	ADV
pilv	oblak	pilv	oblak	N;NOM;SG	N;INAN;NOM;MASC;SG
pilv	mrak	pilv	mrak	N;NOM;SG	N;INAN;NOM;MASC;SG
pilv	cloud	pilv	cloud	N;NOM;SG	N;NOM;MASC;SG
litsents	licencia	litsents	licencia	N;NOM;SG	N;NOM;FEM;SG
litsents	preukaz	litsents	preukaz	N;NOM;SG	N;INAN;NOM;MASC;SG
litsents	licencia	litsents	licencia	N;NOM;SG	N;NOM;FEM;SG
kristlus	kresťanstvo	kristlus	kresťanstvo	N;NOM;SG	N;NOM;NEUT;SG
java	java	java	java	N;NOM;SG	N;INAN;NOM;MASC;SG
opel	opel	ope	opel	N;NOM;SG	N;INAN;NOM;MASC;SG
nero	nero	nero	nero	N;NOM;SG	N;INAN;NOM;MASC;SG
säilitab	zachová	säilitama	zachovať	V;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
säilitab	uchováva	säilitama	uchovávať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
säilitab	ponechá	säilitama	ponechý	V;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
säilitab	zachováva	säilitama	zachovávať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
säilitab	udržiava	säilitama	udržiav	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
säilitab	zachováva	säilitama	zachovávať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
säilitab	udržuje	säilitama	udržovať	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
konsul	konzul	konsul	konzul	N;NOM;SG	N;ANIM;NOM;MASC;SG
rõõm	potešenie	rõõm	potešenie	N;NOM;SG	N;NOM;NEUT;SG
rõõm	radosť	rõõm	radosť	N;NOM;SG	N;NOM;FEM;SG
rõõm	radosť	rõõm	radosť	N;NOM;SG	N;NOM;FEM;SG
dünaamiline	dynamický	dünaamiline	dynamický	ADJ;NOM;SG	ADJ;ANIM;NOM;MASC;SG
dünaamiline	dynamická	dünaamiline	dynamický	ADJ;NOM;SG	ADJ;NOM;FEM;SG
dünaamiline	dynamické	dünaamiline	dynamický	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
