もの	rzeczy	もの	rzecz	N	N;ACC;FEM;PL
サイト	witryna	サイト	witryna	N	N;NOM;FEM;SG
サイト	strona	サイト	strona	N	N;NOM;FEM;SG
サイト	witryny	サイト	witryna	N	N;GEN;FEM;PL
サイト	witryny	サイト	witryna	N	N;GEN;FEM;PL
サイト	witryn	サイト	witryna	N	N;GEN;FEM;PL
関係	relacje	関係	relacja	N	N;NOM;FEM;PL
関係	relacja	関係	relacja	N	N;NOM;FEM;SG
関係	relacje	関係	relacja	N	N;NOM;FEM;PL
関係	relacji	関係	relacja	N	N;GEN;FEM;SG
関係	stosunków	関係	stosunki	N	N;GEN;NEUT;PL
関係	stosunki	関係	stosunki	N	N;NOM;NEUT;PL
クラブ	klub	クラブ	klub	N	N;NOM;MASC;SG
クラブ	klubie	クラブ	klub	N	N;DAT;MASC;SG
クラブ	kluby	クラブ	klub	N	N;NOM;MASC;PL
クラブ	klubów	クラブ	klub	N	N;GEN;MASC;PL
中央	środek	中央	środek	N	N;NOM;MASC;SG
中央	centrum	中央	centrum	N	N;ACC;NEUT;SG
中央	ośrodek	中央	ośrodek	N	N;NOM;MASC;SG
中央	centrum	中央	centrum	N	N;ACC;NEUT;SG
中央	ośrodek	中央	ośrodek	N	N;NOM;MASC;SG
設立	ustanowiono	設立	ustanowić	V	V;PFV;IND;0;PST;FIN;ACT
設立	ustalono	設立	ustalić	V	V;PFV;IND;0;PST;FIN;ACT
考え	myśleć	考える	myśleć	V	V;IPFV;NFIN;ACT
考え	myśli	考える	myśleć	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
考え	mysli	考える	mysleć	V	V;IPFV;IND;SG;PRS;FIN;ACT
考え	myśli	考える	myśleć	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
教育	kształcenie	教育	kształcenie	N	N;NOM;NEUT;SG
教育	edukacji	教育	edukacja	N	N;GEN;FEM;SG
教育	wykształcenie	教育	wykształcenie	N	N;NOM;NEUT;SG
教育	edukacja	教育	edukacja	N	N;NOM;FEM;SG
プロ	zawodowiec	プロ	zawodowiec	N	N;NOM;MASC;SG
発表	zapowiedź	発表	zapowiedź	V	V;IPFV;IND;SG;FIN;ACT
発表	ogłoszenia	発表	ogłoszenie	V	V;PFV;IND;SG;1;FIN;ACT
編集	zmodyfikować	編集	zmodyfikować	V	V;PFV;NFIN;ACT
シーズン	sezonie	シーズン	sezon	N	N;INS;MASC;SG
シーズン	sezon	シーズン	sezon	N	N;NOM;MASC;SG
ファイル	pliki	ファイル	plik	N	N;NOM;MASC;PL
ファイル	plików	ファイル	plik	N	N;GEN;MASC;PL
ファイル	plik	ファイル	plik	N	N;ACC;MASC;SG
ファイル	pliku	ファイル	plik	N	N;GEN;MASC;SG
都市	miejscowość	都市	miejscowość	N	N;NOM;FEM;SG
都市	miasta	都市	miasto	N	N;GEN;NEUT;SG
都市	miasto	都市	miasto	N	N;NOM;NEUT;SG
都市	miasta	都市	miasto	N	N;GEN;NEUT;SG
会社	firma	会社	firma	N	N;NOM;FEM;SG
会社	kancelaria	会社	kancelaria	N	N;NOM;FEM;SG
会社	towarzystwo	会社	towarzystwo	N	N;NOM;NEUT;SG
会社	kompania	会社	kompania	N	N;NOM;FEM;SG
会社	firma	会社	firma	N	N;NOM;FEM;SG
会社	firmy	会社	firma	N	N;NOM;FEM;PL
会社	przedsiębiorstwo	会社	przedsiębiorstwo	N	N;NOM;NEUT;SG
会社	firmy	会社	firma	N	N;NOM;FEM;PL
会社	przedsiębiorstwa	会社	przedsiębiorstwa	N	N;NOM;NEUT;SG
世紀	wieków	世紀	wiek	N	N;GEN;MASC;PL
世紀	wieki	世紀	wiek	N	N;ACC;MASC;PL
世紀	stulecia	世紀	stulecie	N	N;NOM;NEUT;SG
世紀	wieku	世紀	wiek	N	N;GEN;MASC;SG
世紀	wiek	世紀	wiek	N	N;NOM;MASC;SG
ノート	notatka	ノート	notatka	N	N;NOM;FEM;SG
ノート	noty	ノート	not	N	N;NOM;MASC;PL
ノート	notatek	ノート	notatka	N	N;GEN;FEM;PL
ノート	notatki	ノート	notatek	N	N;NOM;MASC;PL
ノート	notatnik	ノート	notatnik	N	N;NOM;MASC;SG
社会	społeczeństwo	社会	społeczeństwo	N	N;NOM;NEUT;SG
社会	towarzystwo	社会	towarzystwo	N	N;NOM;NEUT;SG
社会	społeczeństwa	社会	społeczeństwo	N	N;GEN;NEUT;SG
社会	społeczeństw	社会	społeczeństwo	N	N;GEN;NEUT;PL
社会	społeczeństwa	社会	społeczeństwo	N	N;GEN;NEUT;SG
シングル	singiel	シングル	singiel	N	N;ACC;MASC;SG
センター	środek	センター	środek	N	N;NOM;MASC;SG
センター	centrum	センター	centrum	N	N;ACC;NEUT;SG
センター	ośrodek	センター	ośrodek	N	N;NOM;MASC;SG
センター	centrum	センター	centrum	N	N;ACC;NEUT;SG
センター	ośrodek	センター	ośrodek	N	N;NOM;MASC;SG
終了	skończyć	終了	skończyć	V	V;PFV;NFIN;ACT
中心	środek	中心	środek	N	N;NOM;MASC;SG
中心	centrum	中心	centrum	N	N;ACC;NEUT;SG
中心	ośrodek	中心	ośrodek	N	N;NOM;MASC;SG
中心	centrum	中心	centrum	N	N;ACC;NEUT;SG
中心	ośrodek	中心	ośrodek	N	N;NOM;MASC;SG
内容	zawartość	内容	zawartość	N	N;NOM;FEM;SG
内容	treści	内容	treść	N	N;GEN;FEM;SG
内容	zawartości	内容	zawartość	N	N;GEN;FEM;SG
内容	zawartość	内容	zawartość	N	N;NOM;FEM;SG
文化	kultura	文化	kultura	N	N;NOM;FEM;SG
文化	kultury	文化	kultura	N	N;GEN;FEM;SG
ドラマ	dramat	ドラマ	dramat	N	N;NOM;MASC;SG
ドラマ	dramaty	ドラマ	dramata	N	N;NOM;MASC;PL
選手権	mistrzostwa	選手権	mistrzostwa	N	N;NOM;NEUT;PL
選手権	mistrzostw	選手権	mistrzostwa	N	N;GEN;NEUT;PL
選手権	mistrzostwo	選手権	mistrzostwo	N	N;NOM;NEUT;SG
野球	baseballu	野球	basebalel	N	N;ACC;MASC;SG
指定	określić	指定	określić	V	V;PFV;NFIN;ACT
人物	osoba	人物	osoba	N	N;NOM;FEM;SG
人物	osoby	人物	osoba	N	N;NOM;FEM;PL
公開	opublikować	公開	opublikować	V	V;PFV;NFIN;ACT
公開	publikować	公開	publikować	V	V;IPFV;NFIN;ACT
最終	finał	最終	finał	N	N;NOM;MASC;SG
確認	potwierdzić	確認	potwierdzić	V	V;PFV;NFIN;ACT
確認	potwierdzam	確認	potwierdzać	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
一般	generał	一般	generał	N	N;NOM;MASC;SG
歴史	historia	歴史	historia	N	N;NOM;FEM;SG
歴史	historii	歴史	historia	N	N;GEN;FEM;SG
歴史	historię	歴史	historia	N	N;ACC;FEM;SG
選挙	wybory	選挙	wybory	N	N;NOM;NEUT;PL
選挙	wybory	選挙	wybory	N	N;NOM;NEUT;PL
選挙	wyborach	選挙	wybory	N	N;DAT;NEUT;PL
計画	planowania	計画	planowanie	N	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
計画	planowanie	計画	planować	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
計画	plan	計画	plan	N	N;NOM;MASC;SG
計画	planów	計画	plan	N	N;GEN;MASC;PL
計画	plany	計画	plan	N	N;NOM;MASC;PL
経済	gospodarki	経済	gospodarka	N	N;GEN;FEM;SG
経済	gospodarka	経済	gospodarka	N	N;NOM;FEM;SG
経済	gospodarki	経済	gospodarka	N	N;GEN;FEM;SG
経済	ekonomia	経済	ekonomia	N	N;NOM;FEM;SG
ページ	stronę	ページ	strona	N	N;ACC;FEM;SG
ページ	stronie	ページ	strona	N	N;DAT;FEM;SG
ページ	strona	ページ	strona	N	N;NOM;FEM;SG
ページ	strony	ページ	strona	N	N;NOM;FEM;PL
ページ	strony	ページ	strona	N	N;NOM;FEM;PL
教授	profesor	教授	profesor	N	N;NOM;MASC;SG
教授	profesorze	教授	profesor	N	N;VOC;MASC;SG
ラジオ	radia	ラジオ	radio	N	N;GEN;NEUT;SG
ラジオ	radio	ラジオ	radio	N	N;NOM;NEUT;SG
劇場	teatrze	劇場	teatr	N	N;DAT;MASC;SG
劇場	teatr	劇場	teatr	N	N;NOM;MASC;SG
劇場	teatr	劇場	teatr	N	N;NOM;MASC;SG
劇場	teatru	劇場	teatr	N	N;GEN;MASC;SG
グループ	grupie	グループ	grupa	N	N;DAT;FEM;SG
グループ	grupy	グループ	grupa	N	N;ACC;FEM;SG
グループ	grupa	グループ	grupa	N	N;NOM;FEM;SG
グループ	grupy	グループ	grupa	N	N;ACC;FEM;SG
グループ	grupach	グループ	grupa	N	N;GEN;MASC;PL
英語	anglik	英語	anglik	N	N;NOM;MASC;SG
女性	kobiety	女性	kobieta	N	N;NOM;FEM;PL
女性	kobieta	女性	kobieta	N	N;NOM;FEM;SG
女性	samica	女性	samica	N	N;NOM;FEM;SG
女性	kobieta	女性	kobieta	N	N;NOM;FEM;SG
女性	kobiety	女性	kobieta	N	N;NOM;FEM;PL
女性	suczka	女性	suczka	N	N;NOM;FEM;SG
女性	kobietki	女性	kobietka	N	N;NOM;FEM;PL
女性	kobiety	女性	kobieta	N	N;NOM;FEM;PL
地区	okręg	地区	okręg	N	N;NOM;MASC;SG
地区	dzielnicy	地区	dzielnica	N	N;GEN;FEM;SG
地区	dystrykt	地区	dystrykt	N	N;NOM;MASC;SG
地区	dzielnica	地区	dzielnica	N	N;NOM;FEM;SG
地区	rejon	地区	rejon	N	N;NOM;MASC;SG
獲得	zarabiać	獲得	zarabiać	V	V;IPFV;NFIN;ACT
獲得	zarobić	獲得	zarobić	V	V;PFV;NFIN;ACT
得点	wynik	得点	wynik	N	N;NOM;MASC;SG
コメント	komentarz	コメント	komentarz	N	N;NOM;MASC;SG
コメント	komentowanie	コメント	komentować	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
コメント	uwagi	コメント	uwaga	N	N;ACC;FEM;SG
コメント	komentarzy	コメント	komentarz	N	N;GEN;MASC;PL
コメント	komentarze	コメント	komentarz	N	N;NOM;MASC;PL
漫画	komiks	漫画	komiks	N	N;NOM;MASC;SG
漫画	komiksów	漫画	komiks	N	N;GEN;MASC;PL
漫画	komiksy	漫画	komiks	N	N;NOM;MASC;PL
他の	inne	他の	inny	ADJ	ADJ;NOM;NEUT;SG
他の	inni	他の	inny	ADJ	ADJ;NOM;MASC;PL
廃止	zniosła	廃止	znieść	V	V;PFV;FEM;IND;SG;PST;FIN;ACT
廃止	zniósł	廃止	znieść	V	V;PFV;MASC;IND;SG;PST;FIN;ACT
販売	sprzedaje	販売	sprzedawać	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
攻撃	atakuje	攻撃	atakować	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
議員	senator	議員	senator	N	N;NOM;MASC;SG
協会	skojarzenia	協会	skojarzenie	N	N;NOM;NEUT;PL
協会	stowarzyszenia	協会	stowarzyszenie	N	N;NOM;NEUT;SG
協会	stowarzyszenie	協会	stowarzyszenie	N	N;NOM;NEUT;SG
路線	trasy	路線	trasa	N	N;ACC;FEM;PL
路線	szlaki	路線	szlak	N	N;NOM;MASC;PL
路線	tras	路線	tras	N	N;GEN;FEM;PL
戦争	wojnę	戦争	wojna	N	N;ACC;FEM;SG
戦争	wojna	戦争	wojna	N	N;NOM;FEM;SG
戦争	wojny	戦争	wojna	N	N;GEN;FEM;SG
戦争	wojny	戦争	wojna	N	N;GEN;FEM;SG
部分	część	部分	część	N	N;NOM;FEM;SG
高校	liceum	高校	liceum	N	N;ACC;NEUT;SG
高校	szkółka	高校	szkółka	N	N;NOM;FEM;SG
番号	numer	番号	numer	N	N;NOM;MASC;SG
番号	liczba	番号	liczba	N	N;NOM;FEM;SG
期間	okres	期間	okres	N	N;NOM;MASC;SG
場所	miejsce	場所	miejsce	N	N;NOM;NEUT;SG
場所	lokalizacja	場所	lokalizacja	N	N;NOM;FEM;SG
場所	położenie	場所	położenie	N	N;PFV;NOM;NEUT;SG;POS;V.MSDR
場所	lokale	場所	lokał	N	N;NOM;MASC;PL
場所	miejsca	場所	miejsce	N	N;NOM;NEUT;PL
場所	miejsc	場所	miejsce	N	N;GEN;NEUT;PL
技術	technologia	技術	technologia	N	N;NOM;FEM;SG
技術	technologii	技術	technologia	N	N;GEN;FEM;SG
技術	technologie	技術	technologia	N	N;NOM;FEM;PL
技術	technika	技術	technika	N	N;NOM;FEM;SG
海軍	marynarka	海軍	marynarka	N	N;NOM;FEM;SG
海軍	marynarki	海軍	marynarka	N	N;GEN;FEM;SG
リンク	link	リンク	link	V	V;PFV;IND;SG;FIN;ACT
道路	drodze	道路	droga	N	N;DAT;FEM;SG
道路	droga	道路	droga	N	N;NOM;FEM;SG
特定	określony	特定	określić		
システム	układ	システム	układ	N	N;NOM;MASC;SG
システム	systemu	システム	system	N	N;GEN;MASC;SG
システム	system	システム	system	N	N;ACC;MASC;SG
システム	systemy	システム	system	N	N;NOM;MASC;PL
モデル	wzory	モデル	wzór	N	N;NOM;MASC;PL
モデル	modeli	モデル	model	N	N;GEN;MASC;PL
モデル	modelki	モデル	modelka	N	N;ACC;FEM;SG
モデル	modele	モデル	model	N	N;NOM;MASC;PL
モデル	wzór	モデル	wzór	N	N;NOM;MASC;SG
モデル	model	モデル	model	N	N;NOM;MASC;SG
モデル	modelka	モデル	modelka	N	N;NOM;FEM;SG
対応	korespondencja	対応	korespondencja	N	N;NOM;FEM;SG
対応	korespondencji	対応	korespondencja	N	N;GEN;FEM;SG
列車	pociągiem	列車	pociąg	N	N;INS;MASC;SG
列車	pociągu	列車	pociąg	N	N;GEN;MASC;SG
列車	pociąg	列車	pociąg	N	N;NOM;MASC;SG
列車	pociągi	列車	pociąg	N	N;NOM;MASC;PL
列車	pociągów	列車	pociąg	N	N;GEN;MASC;PL
列車	pociągi	列車	pociąg	N	N;NOM;MASC;PL
科学	nauka	科学	nauka	N	N;NOM;FEM;SG
理由	powody	理由	powód	N	N;NOM;MASC;PL
理由	przyczyny	理由	przyczyna	N	N;ACC;FEM;PL
理由	powody	理由	powód	N	N;NOM;MASC;PL
理由	przyczyna	理由	przyczynać	N	N;NOM;FEM;SG
理由	powód	理由	powód	N	N;NOM;MASC;SG
そして	oraz	そして	oraz	CONJ	CONJ
ブロック	bloków	ブロック	blok	N	N;GEN;MASC;PL
ブロック	klocki	ブロック	klocka	N	N;NOM;MASC;PL
ブロック	bloki	ブロック	blok	N	N;NOM;MASC;PL
ブロック	bloku	ブロック	blok	N	N;GEN;MASC;SG
ブロック	blok	ブロック	blok	N	N;NOM;MASC;SG
車両	pojazdy	車両	pojazd	N	N;NOM;MASC;PL
車両	pojazd	車両	pojazd	N	N;NOM;MASC;SG
車両	pojazdy	車両	pojazd	N	N;NOM;MASC;PL
車両	nośnik	車両	nośnik	N	N;NOM;MASC;SG
車両	pojazdu	車両	pojazd	N	N;GEN;MASC;SG
自動車	auto	自動車	auto	N	N;NOM;NEUT;SG
自動車	samochód	自動車	samochód	N	N;NOM;MASC;SG
自動車	samochód	自動車	samochód	N	N;NOM;MASC;SG
人口	populacji	人口	populacja	N	N;GEN;FEM;SG
人口	ludność	人口	ludność	N	N;NOM;FEM;SG
人口	populacje	人口	populacja	N	N;NOM;FEM;PL
人口	populacja	人口	populacja	N	N;NOM;FEM;SG
人口	populacji	人口	populacja	N	N;GEN;FEM;SG
人口	ludność	人口	ludność	N	N;NOM;FEM;SG
特に	szczególnie	特に	szczególnie	ADV	ADV
特に	szczególnie	特に	szczególnie	ADV	ADV
営業	biznes	営業	biznes	N	N;NOM;MASC;SG
営業	interesy	営業	interes	N	N;NOM;MASC;PL
営業	interes	営業	interes	N	N;NOM;MASC;SG
新聞	gazety	新聞	gazeta	N	N;ACC;FEM;PL
新聞	gazeta	新聞	gazeta	N	N;NOM;FEM;SG
新聞	gazetę	新聞	gazeta	N	N;ACC;FEM;SG
新聞	gazet	新聞	gazeta	N	N;GEN;FEM;PL
新聞	gazety	新聞	gazeta	N	N;ACC;FEM;PL
連続	ciągłego	連続	ciągły	ADJ	ADJ;ACC;MASC;SG
政府	rząd	政府	rząd	N	N;NOM;MASC;SG
キャラクター	postać	キャラクター	postać	N	N;NOM;FEM;SG
キャラクター	znak	キャラクター	znak	N	N;NOM;MASC;SG
キャラクター	charakter	キャラクター	charakter	N	N;NOM;MASC;SG
キャラクター	znaków	キャラクター	znak	N	N;GEN;MASC;PL
キャラクター	postacie	キャラクター	postać	N	N;NOM;MASC;PL
キャラクター	znaki	キャラクター	znak	N	N;NOM;MASC;PL
キャラクター	bohaterowie	キャラクター	bohater	N	N;NOM;MASC;PL
キャラクター	postać	キャラクター	postać	N	N;NOM;FEM;SG
小説	powieści	小説	powieść	N	N;GEN;FEM;SG
小説	powieści	小説	powieść	N	N;GEN;FEM;SG
機関	narządy	機関	narząd	N	N;NOM;MASC;PL
機関	organy	機関	organa	N	N;NOM;MASC;PL
機関	instytucja	機関	instytucja	N	N;NOM;FEM;SG
機関	instytucji	機関	instytucja	N	N;GEN;FEM;SG
機関	instytucje	機関	instytucja	N	N;NOM;FEM;PL
機関	instytucji	機関	instytucja	N	N;GEN;FEM;SG
機関	instytucje	機関	instytucja	N	N;NOM;FEM;PL
メンバー	członka	メンバー	członek	N	N;ACC;MASC;SG
メンバー	członkiem	メンバー	członek	N	N;INS;MASC;SG
メンバー	członek	メンバー	członek	N	N;NOM;MASC;SG
メンバー	posłowie	メンバー	poseł	N	N;NOM;MASC;PL
メンバー	członkowie	メンバー	członek	N	N;NOM;MASC;PL
メンバー	członkom	メンバー	członek	N	N;DAT;MASC;PL
メンバー	członków	メンバー	członek	N	N;ACC;MASC;PL
メンバー	członkami	メンバー	członek	N	N;INS;MASC;PL
発行	wydawanie	発行	wydawać	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
