ابتر	miserábel	ابتر	miserábel	ADJ	ADJ
احادیث	tradicións	احادیث	tradición	N;NOM;MASC;SG;3	N
اِحتمالی	probable	اِحتمالی	probable	ADJ	ADJ
احکام	ordes	حکم	orde	N;NOM;MASC;PL;3	N
احکام	orde	حکم	orde	N;NOM;MASC;PL;3	N
احکام	encargos	حکم	encargo	N;NOM;MASC;PL;3	N
احوال	estado	احوال	estado	N;NOM;MASC;SG;3	N
احوال	condición	احوال	condición	N;NOM;MASC;SG;3	N
احوال	situación	احوال	situación	N;NOM;MASC;SG;3	N
احوال	doenza	احوال	doenza	N;NOM;MASC;SG;3	N
احوال	estado	احوال	estado	N;NOM;MASC;SG;3	N
احوال	condicións	احوال	condición	N;NOM;MASC;SG;3	N
احوال	patoloxías	احوال	patoloxía	N;NOM;MASC;SG;3	N
احوال	circunstancias	احوال	circunstancia	N;NOM;MASC;SG;3	N
احوال	eventos	احوال	evento	N;NOM;MASC;SG;3	N
احوال	sucesos	احوال	suceso	N;NOM;MASC;SG;3	N
احوال	feitos	احوال	feito	N;NOM;MASC;SG;3	N
احوال	adversos	احوال	adverso	N;NOM;MASC;SG;3	N
احوال	xuntanzas	احوال	xuntanza	N;NOM;MASC;SG;3	N
احوال	acontecementos	احوال	acontecemento	N;NOM;MASC;SG;3	N
احوال	asuntos	احوال	asunto	N;NOM;MASC;SG;3	N
احیا	familias	احیا	familia	N;NOM;MASC;SG;3	N
اِخبات	humildade	اِخبہ	humildade	N;NOM;MASC;PL;3	N
اخبار	eventos	اخبار	evento	N;NOM;MASC;SG;3	N
اخبار	sucesos	اخبار	suceso	N;NOM;MASC;SG;3	N
اخبار	feitos	اخبار	feito	N;NOM;MASC;SG;3	N
اخبار	adversos	اخبار	adverso	N;NOM;MASC;SG;3	N
اخبار	xuntanzas	اخبار	xuntanza	N;NOM;MASC;SG;3	N
اخبار	acontecementos	اخبار	acontecemento	N;NOM;MASC;SG;3	N
اخبار	xornais	اخبار	xornal	N;NOM;MASC;SG;3	N
اخبار	xornal	اخبار	xornal	N;NOM;MASC;SG;3	N
اخبار	tradicións	اخبار	tradición	N;NOM;MASC;SG;3	N
اخبار	noticias	اخبار	noticia	N;NOM;MASC;SG;3	N
اخبار	noticia	اخبار	noticia	N;NOM;MASC;SG;3	N
اخبار	eventos	اخبار	evento	N;NOM;MASC;SG;3	N
اخبار	sucesos	اخبار	suceso	N;NOM;MASC;SG;3	N
اخبار	feitos	اخبار	feito	N;NOM;MASC;SG;3	N
اخبار	adversos	اخبار	adverso	N;NOM;MASC;SG;3	N
اخبار	xuntanzas	اخبار	xuntanza	N;NOM;MASC;SG;3	N
اخبار	acontecementos	اخبار	acontecemento	N;NOM;MASC;SG;3	N
اخبار	xornais	اخبار	xornal	N;NOM;MASC;SG;3	N
اخبار	xornal	اخبار	xornal	N;NOM;MASC;SG;3	N
اخبار	tradicións	اخبار	tradición	N;NOM;MASC;SG;3	N
اخبار	noticias	اخبار	noticia	N;NOM;MASC;SG;3	N
اخبار	noticia	اخبار	noticia	N;NOM;MASC;SG;3	N
اِختتامی	último	اِختتامی	último	ADJ	ADJ
اِختتامی	últimos	اِختتامی	último	ADJ	ADJ
اِختتامی	pasado	اِختتامی	pasado	ADJ	ADJ
اِختتامی	última	اِختتامی	último	ADJ	ADJ
اِختراع	invento	اِختراع	invento	N;NOM;MASC;SG;3	N
اِختراع	invención	اِختراع	invención	N;NOM;MASC;SG;3	N
اِختراع	innovación	اِختراع	innovación	N;NOM;MASC;SG;3	N
اِختراع	mentiras	اِختراع	mentira	N;NOM;MASC;SG;3	N
اِختراع	creación	اِختراع	creación	N;NOM;MASC;SG;3	N
اِختلاط	amizade	اِختلاط	amizade	N;NOM;MASC;SG;3	N
اِختلال	trastorno	اِختلال	trastorno	N;NOM;MASC;SG;3	N
اِختلال	desorde	اِختلال	desorde	N;NOM;MASC;SG;3	N
اِختلال	confusión	اِختلال	confusión	N;NOM;MASC;SG;3	N
اِختیار	opción	اِختیار	opción	N;NOM;MASC;SG;3	N
اِختیار	elección	اِختیار	elección	N;NOM;MASC;SG;3	N
اِختیار	escolla	اِختیار	escolla	N;NOM;MASC;SG;3	N
اِختیار	alternativa	اِختیار	alternativa	N;NOM;MASC;SG;3	N
اِختیار	elección	اِختیار	elección	N;NOM;MASC;SG;3	N
اِختیار	eleccións	اِختیار	elección	N;NOM;MASC;SG;3	N
اِختیار	control	اِختیار	control	N;NOM;MASC;SG;3	N
اِختیار	opción	اِختیار	opción	N;NOM;MASC;SG;3	N
اِختیار	autoridade	اِختیار	autoridade	N;NOM;MASC;SG;3	N
اخراج	gastos	اخراج	gasto	N;NOM;MASC;SG;3	N
اخراجات	gastos	خرچ	gasto	N;NOM;MASC;PL;3	N
اخلاق	ética	اخلاق	ética	N;NOM;MASC;SG;3	N
اخلاقیات	ética	اخلاقیات	ética	N;NOM;MASC;PL;3	N
ادا	postura	ادا	postura	N;NOM;MASC;SG;3	N
ادا	pago	ادا	pago	N;NOM;MASC;SG;3	N
ادا	estilo	ادا	estilo	N;NOM;MASC;SG;3	N
ادات	instrumentos	ادات	instrumento	N;NOM;MASC;SG;3	N
ادات	ferramentas	ادات	ferramenta	N;NOM;MASC;SG;3	N
ادات	artigos	ادات	artigo	N;NOM;MASC;SG;3	N
ادات	cartas	ادات	carta	N;NOM;MASC;SG;3	N
ادات	letras	ادات	letra	N;NOM;MASC;SG;3	N
اِدارہ	institución	اِدارہ	institución	N;NOM;MASC;SG;3	N
اداکار	actor	اداکار	actor	N;NOM;MASC;SG;3	N
اداکارہ	actriz	اداکارہ	actriz	N;NOM;MASC;SG;3	N
ادائیگی	pago	ادائیگی	pago	N;NOM;FEM;SG;3	N
ادب	literatura	ادب	literatura	N;NOM;MASC;SG;3	N
ادب	reverencia	ادب	reverencia	N;NOM;MASC;SG;3	N
ادب	respeto	ادب	respeto	N;NOM;MASC;SG;3	N
ادب	respecto	ادب	respecto	N;NOM;MASC;SG;3	N
ادب	literatura	ادب	literatura	N;NOM;MASC;SG;3	N
ادب	reverencia	ادب	reverencia	N;NOM;MASC;SG;3	N
ادب	respeto	ادب	respeto	N;NOM;MASC;SG;3	N
ادب	respecto	ادب	respecto	N;NOM;MASC;SG;3	N
ادوات	instrumentos	ادوات	instrumento	N;NOM;MASC;PL;3	N
ادوات	ferramentas	ادوات	ferramenta	N;NOM;MASC;PL;3	N
ادوات	armas	ادوات	arma	N;NOM;MASC;PL;3	N
ادوات	armamento	ادوات	armamento	N;NOM;MASC;PL;3	N
ادوات	arma	ادوات	arma	N;NOM;MASC;PL;3	N
ادویات	medicamentos	دوای	medicamento	N;NOM;MASC;PL;3	N
ادویات	fármacos	دوای	fármaco	N;NOM;MASC;PL;3	N
ادویات	drogas	دوای	droga	N;NOM;MASC;PL;3	N
اِدھر	da	اِدھر	da	V;SG;V.PTCP;ACT	V
ادِھکاری	autoridade	ادِھکاری	autoridade	N;NOM;MASC;SG;3	N
اذکار	historias	اذکار	historia	N;NOM;MASC;SG;3	N
اذہان	mente	اذہان	mente	N;NOM;MASC;SG;3	N
اذہان	mentes	اذہان	mente	N;NOM;MASC;SG;3	N
اراضی	campo	اراضی	campo	N;NOM;FEM;SG;3	N
اراضی	campos	اراضی	campo	N;NOM;FEM;SG;3	N
اراضی	terreo	اراضی	terreo	N;NOM;FEM;SG;3	N
اراضی	foxa	اراضی	foxa	N;NOM;FEM;SG;3	N
اراکین	membros	رکن	membro	N;NOM;MASC;PL;3	N
اِرتحال	morte	اِرتحال	morte	N;NOM;MASC;SG;3	N
اِرتقائی	evolutiva	اِرتقائی	evolutivo	ADJ	ADJ
اِرتقائی	evolutivo	اِرتقائی	evolutivo	ADJ	ADJ
ارزاں	barato	ارزاں	barato	N;NOM;MASC;PL;3	N
ارض	país	ارض	país	N;NOM;MASC;SG;3	N
ارض	terra	ارض	terra	N;NOM;MASC;SG;3	N
ارض	país	ارض	país	N;NOM;MASC;SG;3	N
ارض	terras	ارض	terra	N;NOM;MASC;SG;3	N
ارضی	temporal	ارضی	temporal	ADJ	ADJ
ارکان	membros	رکن	membro	N;NOM;MASC;PL;3	N
ارکان	ingredientes	رکن	ingrediente	N;NOM;MASC;PL;3	N
ارکان	xefes	رکن	xefe	N;NOM;MASC;PL;3	N
ارکان	cabezas	رکن	cabeza	N;NOM;MASC;PL;3	N
اڑانا	apoiar	اڑانا	apoiar	V;PFV;MASC;SG;V.PTCP;ACT	V
اڑانا	levar	اڑانا	levar	V;PFV;MASC;SG;V.PTCP;ACT	V
اڑانا	levo	اڑانا	levo	V;PFV;MASC;SG;V.PTCP;ACT	V
اڑنا	deter	اڑنا	deter	V;MASC;SG;NFIN;ACT	V
اڑنا	parar	اڑنا	parar	V;MASC;SG;NFIN;ACT	V
اڑنا	deixa	اڑنا	deixar	V;MASC;SG;NFIN;ACT	V
اُڑنا	desaparecer	اُڑنا	desaparecer	V;MASC;SG;NFIN;ACT	V
اُڑنا	pilotar	اُڑنا	pilotar	V;MASC;SG;NFIN;ACT	V
اُڑنا	voar	اُڑنا	voar	V;MASC;SG;NFIN;ACT	V
اُڑنا	voan	اُڑنا	voar	V;MASC;SG;NFIN;ACT	V
اُڑنا	voarei	اُڑنا	voar	V;MASC;SG;NFIN;ACT	V
ازاں	iso	ازاں	iso	PRO;NOM	PRO
ازواج	mulleres	ازواج	muller	N;NOM;MASC;PL;3	N
ازواج	esposas	ازواج	esposo	N;NOM;MASC;PL;3	N
اُس	que	وہ	que	PRO;NOM;SG;3	PRO
اُس	iso	وہ	iso	PRO;NOM;SG;3	PRO
اساتذہ	mestres	اساتذہ	mestres	N;NOM;MASC;SG;3	N
اساتذہ	profesores	اساتذہ	profesor	N;NOM;MASC;SG;3	N
اساتذہ	mestres	اساتذہ	mestres	N;NOM;MASC;SG;3	N
اساتذہ	bos	اساتذہ	bo	N;NOM;MASC;SG;3	N
اساس	fundación	اساس	fundación	N;NOM;MASC;SG;3	N
اساس	alicerce	اساس	alicerce	N;NOM;MASC;SG;3	N
اساس	alicerces	اساس	alicerze	N;NOM;MASC;SG;3	N
اساس	base	اساس	base	N;NOM;MASC;SG;3	N
اساس	cimentos	اساس	cimento	N;NOM;MASC;SG;3	N
اساس	base	اساس	base	N;NOM;MASC;SG;3	N
اساسی	fundamental	اساسی	fundamental	ADJ	ADJ
اساسی	fundamental	اساسی	fundamental	ADJ	ADJ
اساسی	básica	اساسی	básico	ADJ	ADJ
اساسی	básicos	اساسی	básico	ADJ	ADJ
اساسی	básico	اساسی	básico	ADJ	ADJ
اساسی	básicas	اساسی	básico	ADJ	ADJ
اساطیری	fabuloso	اساطیری	fabuloso	ADJ	ADJ
اسالیب	formas	اسالیب	forma	N;NOM;MASC;SG;3	N
اسالیب	xeitos	اسالیب	xeito	N;NOM;MASC;SG;3	N
اسالیب	xeito	اسالیب	xeito	N;NOM;MASC;SG;3	N
اسالیب	maneiras	اسالیب	maneira	N;NOM;MASC;SG;3	N
اسالیب	forma	اسالیب	forma	N;NOM;MASC;SG;3	N
اسباب	bens	اسباب	ben	N;NOM;MASC;PL;3	N
اسباب	luxo	اسباب	luxo	N;NOM;MASC;PL;3	N
اسباب	cousas	اسباب	cousa	N;NOM;MASC;PL;3	N
اسباب	razóns	اسباب	razón	N;NOM;MASC;PL;3	N
اسباب	polas	اسباب	pola	N;NOM;MASC;PL;3	N
اسباب	motivos	اسباب	motivo	N;NOM;MASC;PL;3	N
اسباب	artigos	اسباب	artigo	N;NOM;MASC;PL;3	N
اسباب	mobles	اسباب	moble	N;NOM;MASC;PL;3	N
اسباب	recursos	اسباب	recurso	N;NOM;MASC;PL;3	N
اسباب	medios	اسباب	medio	N;NOM;MASC;PL;3	N
اسباب	causa	اسباب	causa	N;NOM;MASC;PL;3	N
اسباب	causas	اسباب	causa	N;NOM;MASC;PL;3	N
اسپتال	hospital	اسپتال	hospital	N;NOM;MASC;SG;3	N
اُستاد	profesor	اُستاد	profesor	N;NOM;MASC;SG;3	N
اُستاد	mestra	اُستاد	mestra	N;NOM;MASC;SG;3	N
اُستاد	mestre	اُستاد	mestre	N;NOM;MASC;SG;3	N
اِستجابت	aplicacións	اِستجابت	aplicación	N;NOM;MASC;SG;3	N
اِستحقار	desprezo	اِستحقار	desprezo	N;NOM;MASC;SG;3	N
اِستحکام	estabilidade	اِستحکام	estabilidade	N;NOM;MASC;SG;3	N
اِستحکام	fortaleza	اِستحکام	fortalezar	N;NOM;MASC;SG;3	N
اِستحکام	forzas	اِستحکام	forza	N;NOM;MASC;SG;3	N
اِستحکام	forza	اِستحکام	forza	N;NOM;MASC;SG;3	N
اُستخوانی	forte	اُستخوانی	forte	ADJ;NOM	ADJ
اُستخوانی	fortes	اُستخوانی	forte	ADJ;NOM	ADJ
اِستعمال	operación	اِستعمال	operación	N;NOM;MASC;SG;3	N
اِستعمال	aplicación	اِستعمال	aplicación	N;NOM;MASC;SG;3	N
اِستعمال	traballo	اِستعمال	traballo	N;NOM;MASC;SG;3	N
اِستعمال	uso	اِستعمال	uso	N;NOM;MASC;SG;3	N
اِستقداس	santidade	اِستقداس	santidade	N;NOM;MASC;SG;3	N
اِستقداس	reverencia	اِستقداس	reverencia	N;NOM;MASC;SG;3	N
اِستقرار	noite	اِستقرار	noite	N;NOM;MASC;SG;3	N
اِستقرار	na	اِستقرار	na	N;NOM;MASC;SG;3	N
اِستقرار	recoñecemento	اِستقرار	recoñecemento	N;NOM;MASC;SG;3	N
اُستُواری	fortaleza	اُستُواری	fortalezar	N;NOM;MASC;SG;3	N
اُستُواری	forzas	اُستُواری	forza	N;NOM;MASC;SG;3	N
اُستُواری	forza	اُستُواری	forza	N;NOM;MASC;SG;3	N
اُستُواری	determinación	اُستُواری	determinación	N;NOM;MASC;SG;3	N
اُستُواری	estabilidade	اُستُواری	estabilidade	N;NOM;MASC;SG;3	N
اسرار	segredos	اسرار	segrir	N;NOM;MASC;SG;3	N
اِسرار	pantasma	اِسرار	pantasma	N;NOM;MASC;SG;3	N
اِسرار	espírito	اِسرار	espírito	N;NOM;MASC;SG;3	N
اسفار	volumes	اسفار	volume	N;NOM;MASC;SG;3	N
اسفار	viaxes	اسفار	viaxe	N;NOM;MASC;SG;3	N
اُسقُف	bispo	اُسقُف	bispo	N;NOM;MASC;SG;3	N
اسلحہ	brazos	اسلحہ	brazo	N;NOM;MASC;SG;3	N
اسلحہ	armas	اسلحہ	arma	N;NOM;MASC;SG;3	N
اسلحہ	armadura	اسلحہ	armadura	N;NOM;MASC;SG;3	N
اسلحہ	armas	اسلحہ	arma	N;NOM;MASC;SG;3	N
اسلحہ	armamento	اسلحہ	armamento	N;NOM;MASC;SG;3	N
اسلحہ	arma	اسلحہ	arma	N;NOM;MASC;SG;3	N
اسناد	razóns	سند	razón	N;NOM;MASC;PL;3	N
اسناد	polas	سند	pola	N;NOM;MASC;PL;3	N
اسناد	motivos	سند	motivo	N;NOM;MASC;PL;3	N
اِسے	isto	اِسا	isto	PRO;NOM;SG;3	PRO
اِشارات	indicios	اِشار	indicio	N;NOM;MASC;PL;3	N
اِشارات	sinais	اِشار	sinal	N;NOM;MASC;PL;3	N
اِشارہ	orde	اِشارہ	orde	N;NOM;MASC;SG;3	N
اِشارہ	xiro	اِشارہ	xiro	N;NOM;MASC;SG;3	N
اِشارہ	postal	اِشارہ	postal	N;NOM;MASC;SG;3	N
اِشارہ	sinal	اِشارہ	sinal	N;NOM;MASC;SG;3	N
اِشارہ	suxestión	اِشارہ	suxestión	N;NOM;MASC;SG;3	N
اِشارہ	orde	اِشارہ	orde	N;NOM;MASC;SG;3	N
اِشارہ	motoras	اِشارہ	motora	N;NOM;MASC;SG;3	N
اِشارہ	ordes	اِشارہ	orde	N;NOM;MASC;SG;3	N
اِشارہ	mando	اِشارہ	mando	N;NOM;MASC;SG;3	N
اِشارہ	xesto	اِشارہ	xesto	N;NOM;MASC;SG;3	N
اِشارہ	aceno	اِشارہ	aceno	N;NOM;MASC;SG;3	N
اِشارہ	sinal	اِشارہ	sinal	N;NOM;MASC;SG;3	N
اِشارہ	símbolo	اِشارہ	símbolo	N;NOM;MASC;SG;3	N
اِشتراکی	socialista	اِشتراکی	socialista	ADJ	ADJ
اِشتراکیت	socialismo	اِشتراکیت	socialismo	N;NOM;MASC;SG;3	N
اِشتمالیت	comunismo	اِشتمالیت	comunismo	N;NOM;MASC;SG;3	N
اشخاص	xente	اشخاص	xente	N;NOM;MASC;SG;3	N
اشخاص	persoas	اشخاص	persoa	N;NOM;MASC;SG;3	N
اشخاص	pobo	اشخاص	pobo	N;NOM;MASC;SG;3	N
اشخاص	homes	اشخاص	home	N;NOM;MASC;SG;3	N
اشخاص	persoas	اشخاص	persoa	N;NOM;MASC;SG;3	N
اشراف	señores	اشراف	señor	N;NOM;MASC;SG;3	N
اِشراقیت	radiación	اِشراقیت	radiación	N;NOM;MASC;SG;3	N
اشعار	pelo	اشعار	pelo	N;NOM;MASC;PL;3	N
اشعار	cabelo	اشعار	cabelo	N;NOM;MASC;PL;3	N
اشغال	traballo	اشغال	traballo	N;NOM;MASC;SG;3	N
اشکال	corpos	اشکال	corpo	N;NOM;MASC;SG;3	N
اشکال	corpo	اشکال	corpo	N;NOM;MASC;SG;3	N
اشکال	formas	اشکال	forma	N;NOM;MASC;SG;3	N
اشکال	rostros	اشکال	rostro	N;NOM;MASC;SG;3	N
اشکال	caras	اشکال	cara	N;NOM;MASC;SG;3	N
اشنان	lavar	اشنان	lavar	V;MASC;SG;V.PTCP;ACT	V
اشیا	bens	شےء	ben	N;NOM;MASC;PL;3	N
اشیا	luxo	شےء	luxo	N;NOM;MASC;PL;3	N
اشیا	cousas	شےء	cousa	N;NOM;MASC;PL;3	N
اشیا	artigos	شےء	artigo	N;NOM;MASC;PL;3	N
اشیا	efectos	شےء	efecto	N;NOM;MASC;PL;3	N
اصالتاً	basicamente	اصالتاً	basicamente	ADV	ADV
اصالتاً	básicamente	اصالتاً	básicamente	ADV	ADV
اصالتاً	definitivamente	اصالتاً	definitivamente	ADV	ADV
اصحاب	camaradas	صاحب	camarar	N;NOM;MASC;SG;3	N
اصحاب	compañeiros	صاحب	compañeiro	N;NOM;MASC;SG;3	N
اصحاب	homes	صاحب	home	N;NOM;MASC;SG;3	N
اصحاب	señores	صاحب	señor	N;NOM;MASC;SG;3	N
اصحاب	amigos	صاحب	amigo	N;NOM;MASC;SG;3	N
اِصطلاح	frase	اِصطلاح	frase	N;NOM;MASC;SG;3	N
اصل	real	اصل	real	ADJ	ADJ
اصل	real	اصل	real	ADJ	ADJ
اصل	lexítima	اصل	lexítimo	ADJ	ADJ
اصل	lexítimo	اصل	lexítimo	ADJ	ADJ
اصل	orixinal	اصل	orixinal	ADJ	ADJ
اصل	orixinais	اصل	orixinal	ADJ	ADJ
اصل	familiar	اصل	familiar	ADJ	ADJ
اصل	real	اصل	real	ADJ	ADJ
اصل	real	اصل	real	ADJ	ADJ
اصل	lexítima	اصل	lexítimo	ADJ	ADJ
اصل	lexítimo	اصل	lexítimo	ADJ	ADJ
اصل	orixinal	اصل	orixinal	ADJ	ADJ
اصل	orixinais	اصل	orixinal	ADJ	ADJ
اصل	familiar	اصل	familiar	ADJ	ADJ
اِصلاح	vexas	اِصلاح	vexa	N;NOM;MASC;SG;3	N
اِصلاح	reforma	اِصلاح	reforma	N;NOM;MASC;SG;3	N
اصلی	ancestral	اصلی	ancestral	ADJ	ADJ
اصلی	orixinal	اصلی	orixinal	ADJ	ADJ
اصلی	orixinais	اصلی	orixinal	ADJ	ADJ
اصلی	inherente	اصلی	inherente	ADJ	ADJ
اصلی	esenciais	اصلی	esencial	ADJ	ADJ
اصلی	esencial	اصلی	esencial	ADJ	ADJ
اصلی	ancestral	اصلی	ancestral	ADJ	ADJ
اصلی	real	اصلی	real	ADJ	ADJ
اصلی	fundamental	اصلی	fundamental	ADJ	ADJ
اصلی	natural	اصلی	natural	ADJ	ADJ
اصلی	normal	اصلی	normal	ADJ	ADJ
اصلی	naturais	اصلی	natural	ADJ	ADJ
اصلی	orixinal	اصلی	orixinal	ADJ	ADJ
اصلی	orixinais	اصلی	orixinal	ADJ	ADJ
اصلی	inherente	اصلی	inherente	ADJ	ADJ
اصلی	esenciais	اصلی	esencial	ADJ	ADJ
اصلی	esencial	اصلی	esencial	ADJ	ADJ
اصناف	tipo	اصناف	tipo	N;NOM;MASC;PL;3	N
اصناف	tipos	اصناف	tipo	N;NOM;MASC;PL;3	N
اصناف	caste	اصناف	caste	N;NOM;MASC;PL;3	N
