van	no	van	no		
hoofstad	galvaspilsēta	hoofstad	galvaspilsēta	N;SG	N;NOM;FEM;SG
verwys	atsaucas	verwys	atsaukties	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
state	valstis	staat	valsts	N;PL	N;NOM;FEM;PL
water	ūdeni	water	ūdens	N;SG	N;ACC;MASC;SG
water	ūdenī	water	ūdens	N;SG	N;ESS;MASC;SG
water	ūdens	water	ūdens	N;SG	N;NOM;MASC;SG
water	lāpstiņu	water	lāpstiņa	N;SG	N;ACC;FEM;SG
einde	finišs	einde	finišs	N;SG	N;NOM;MASC;SG
regering	valdība	regering	valdība	N;SG	N;NOM;FEM;SG
dae	dienām	dag	diena	N;PL	N;DAT;FEM;PL
dae	dienās	dag	diena	N;PL	N;ESS;FEM;PL
dae	dienas	dag	diena	N;PL	N;NOM;FEM;PL
oorlog	karu	oorlog	karš	N;SG	N;ACC;MASC;SG
oorlog	karš	oorlog	karš	N;SG	N;NOM;MASC;SG
oorlog	kara	oorlog	karš	N;SG	N;NOM;MASC;SG
oorlog	karā	oorlog	karš	N;SG	N;ESS;MASC;SG
politieke	politiskā	politiek	politiska	ADJ;NOM	ADJ;NOM;FEM;SG
besluit	izlemj	besluit	izlemt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
besluit	lemj	besluit	lemt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
besluit	nolemj	besluit	nolemt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
besluit	nolemt	besluit	nolemt	V;PRS	V;POS;NFIN
besluit	lemt	besluit	lemt	V;PRS	V;POS;NFIN
besluit	izlemj	besluit	izlemt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
besluit	lemj	besluit	lemt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
besluit	izlemt	besluit	izlemt	V;PRS	V;POS;NFIN
geskiedenis	vēsture	geskiedenis	vēsture	N;SG	N;NOM;FEM;SG
geskiedenis	vēsturi	geskiedenis	vēsture	N;SG	N;ACC;FEM;SG
geskiedenis	vēsturē	geskiedenis	vēsture	N;SG	N;ESS;FEM;SG
vis	zivs	vis	zivs	N;SG	N;NOM;FEM;SG
wetenskaplike	zinātniskā	wetenskaplik	zinātniska	ADJ;NOM	ADJ;NOM;FEM;SG
wetenskaplike	zinātniska	wetenskaplik	zinātniska	ADJ;NOM	ADJ;NOM;FEM;SG
wetenskaplike	zinātniskais	wetenskaplik	zinātnisks	ADJ;NOM	ADJ;NOM;MASC;SG
wetenskaplike	zinātnisks	wetenskaplik	zinātnisks	ADJ;NOM	ADJ;NOM;MASC;SG
ontwikkel	attīstīt	ontwikkel	attīstīt	V;PRS	V;POS;NFIN
lande	valstīm	land	valsts	N;PL	N;DAT;FEM;PL
lande	valstis	land	valsts	N;PL	N;NOM;FEM;PL
seun	zēns	seun	zēns	N;SG	N;NOM;MASC;SG
seun	puika	seun	puika	N;SG	N;NOM;MASC;SG
seun	dēls	seun	dēls	N;SG	N;NOM;MASC;SG
algemene	vispārīgi	algemeen	vispārīgi	ADV	ADV
algemene	vispārēji	algemeen	vispārējs	ADV	ADV
verskillende	dažādi	verskil	dažāds	ADJ;NOM	ADJ;NOM;MASC;PL
verskillende	atšķirīgs	verskil	atšķirīgs	ADJ;NOM	ADJ;NOM;MASC;SG
verskillende	dažādas	verskil	dažāda	ADJ;NOM	ADJ;NOM;FEM;PL
belangrike	svarīgs	belangrik	svarīgs	ADJ;NOM	ADJ;NOM;MASC;SG
belangrike	svarīga	belangrik	svarīga	ADJ;NOM	ADJ;NOM;FEM;SG
belangrike	svarīgas	belangrik	svarīga	ADJ;NOM	ADJ;NOM;FEM;PL
belangrike	nozīmīgs	belangrik	nozīmīgs	ADJ;NOM	ADJ;NOM;MASC;SG
kinders	bērni	kind	bērns	N;PL	N;NOM;MASC;PL
kinders	bērnus	kind	bērns	N;PL	N;ACC;MASC;PL
kinders	bērniem	kind	bērns	N;PL	N;DAT;MASC;PL
kinders	bērni	kind	bērns	N;PL	N;NOM;MASC;PL
neem	ņemt	neem	ņemt	V;PRS	V;POS;NFIN
neem	ņem	neem	ņemt	V;PRS	V;IMP;SG;2;POS;FIN;ACT
vertaal	tulko	vertaal	tulko	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
vertaal	iztulkot	vertaal	iztulkot	V;PRS	V;POS;NFIN
vertaal	pārtulkot	vertaal	pārtulkot	V;PRS	V;POS;NFIN
vertaal	tulkot	vertaal	tulkot	V;PRS	V;POS;NFIN
munisipaliteit	novads	munisipaliteit	novads	N;SG	N;NOM;MASC;SG
munisipaliteit	pašvaldība	munisipaliteit	pašvaldība	N;SG	N;NOM;FEM;SG
tans	tagad	tans	tagad	ADV	ADV
tans	pašlaik	tans	pašlaik	ADV	ADV
tans	šobrīd	tans	šobrīd	ADV	ADV
tans	patlaban	tans	patlaban	ADV	ADV
tans	klāt	tans	klāt	ADV	ADV
republiek	republika	republiek	republika	N;SG	N;NOM;FEM;SG
verder	tālāk	ver	tālu	ADV;CMPR	ADV;CMPR
plek	vieta	plek	vieta	N;SG	N;NOM;FEM;SG
plek	vieta	plek	vieta	N;SG	N;NOM;FEM;SG
ongeveer	aptuveni	ongeveer	aptuveni	ADV	ADV
ongeveer	apmēram	ongeveer	apmēram	ADV	ADV
enige	jebkuru	enig	jebkurš	PRO	PRO;ACC;MASC;SG
enige	jebkurš	enig	jebkurš	PRO	PRO;NOM;MASC;SG
gehou	patika	hou	patikt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
tydperk	ilgums	tydperk	ilgums	N;SG	N;NOM;MASC;SG
maande	mēnešus	maand	mēnesis	N;PL	N;ACC;MASC;PL
maande	mēnešiem	maand	mēness	N;PL	N;DAT;MASC;PL
maande	mēneši	maand	mēnesis	N;PL	N;NOM;MASC;PL
skool	skola	skool	skola	N;SG	N;NOM;FEM;SG
skool	skolu	skool	skola	N;SG	N;ACC;FEM;SG
skool	skolā	skool	skola	N;SG	N;ESS;FEM;SG
vroeë	agrīna	vroeg	agrīns	ADJ;NOM	ADJ;NOM;FEM;SG
familie	saime	familie	saime	N;SG	N;NOM;FEM;SG
familie	ģimene	familie	ģimene	N;SG	N;NOM;FEM;SG
familie	ģimenē	familie	ģimene	N;SG	N;ESS;FEM;SG
voorkom	novērš	voorkom	novērst	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
voorkom	novērstu	voorkom	novērst	V;PRS	V;COND;POS;FIN;ACT
voorkom	nepieļaut	voorkom	nepieļaut	V;PRS	V;NEG;NFIN
voorkom	novērst	voorkom	novērst	V;PRS	V;POS;NFIN
geneem	ņemta	neem	ņemt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
geneem	ņemts	neem	ņemt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
geneem	veikti	neem	veikt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
eiland	sala	eiland	sals	N;SG	N;NOM;FEM;SG
volg	seko	volg	sekot	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
volg	sekot	volg	sekot	V;PRS	V;POS;NFIN
vyf	piecus	vyf	pieci	NUM	NUM;ACC;MASC;PL
vyf	piecas	vyf	piecas	NUM	NUM;NOM;FEM;PL
vyf	pieciem	vyf	pieci	NUM	NUM;DAT;MASC;PL
vyf	pieci	vyf	pieci	NUM	NUM;NOM;MASC;PL
sonder	bez	sonder	bez	ADP	ADP
aarde	zemi	aarde	zeme	N;SG	N;ACC;FEM;SG
aarde	zeme	aarde	zeme	N;SG	N;NOM;FEM;SG
gee	iedot	gee	iedot	V;PRS	V;POS;NFIN
gee	dod	gee	dot	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
gee	dot	gee	dot	V;PRS	V;POS;NFIN
gee	dodiet	gee	dot	V;PRS	V;IMP;PL;2;POS;FIN;ACT
kry	iegūsti	kry	iegūt	V;PRS	V;IMP;SG;2;POS;FIN;ACT
kry	dabūt	kry	dabūt	V;PRS	V;POS;NFIN
rol	loma	rol	loma	N;SG	N;NOM;FEM;SG
rol	lomu	rol	loma	N;SG	N;ACC;FEM;SG
rol	ripo	rol	ripot	N;SG	N
vrou	sieviete	vrou	sieviete	N;SG	N;NOM;FEM;SG
vrou	sievieti	vrou	sieviete	N;SG	N;ACC;FEM;SG
vrou	sieva	vrou	sieva	N;SG	N;NOM;FEM;SG
gebiede	teritorijas	gebied	teritorija	N;PL	N;NOM;FEM;PL
gebiede	jomas	gebied	joma	N;PL	N;NOM;FEM;PL
gebiede	apgabali	gebied	apgabali	N;PL	N;NOM;MASC;PL
gebiede	teritorijas	gebied	teritorija	N;PL	N;NOM;FEM;PL
gebiede	platības	gebied	platība	N;PL	N;NOM;FEM;PL
derde	trešā	derde	trešā	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
derde	trešais	derde	trešais	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
dag	dienu	dag	diena	N;SG	N;ACC;FEM;SG
dag	dienā	dag	diena	N;SG	N;ESS;FEM;SG
dag	diena	dag	diena	N;SG	N;NOM;FEM;SG
woord	vārdu	woord	vārds	N;SG	N;ACC;MASC;SG
president	prezidents	president	prezidents	N;SG	N;NOM;MASC;SG
president	priekšsēdētāja	president	priekšsēdētājs	N;SG	N;NOM;MASC;SG
president	priekšsēdētājs	president	priekšsēdētājs	N;SG	N;NOM;MASC;SG
koninkryk	karaliste	koninkryk	karaliste	N;SG	N;NOM;FEM;SG
tale	valodas	taal	valoda	N;PL	N;NOM;FEM;PL
ontvang	saņemt	ontvang	saņemt	V;PRS	V;POS;NFIN
ontvang	saņem	ontvang	saņemt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
amerika	amerika	amerika	amerika	N;SG	N;NOM;FEM;SG
amerika	amerikā	amerika	amerika	N;SG	N;ESS;FEM;SG
amerika	ameriku	amerika	amerika	N;SG	N;ACC;FEM;SG
webwerf	mājaslapa	webwerf	mājaslaps	N;SG	N;NOM;FEM;SG
webwerf	mājaslapā	webwerf	mājaslaps	N;SG	N;ESS;MASC;SG
staat	valsts	staat	valsts	N;SG	N;NOM;FEM;SG
staat	štats	staat	štats	N;SG	N;NOM;MASC;SG
staat	lapa	staat	lapa	N;SG	N;NOM;FEM;SG
staat	loksne	staat	loksne	N;SG	N;NOM;FEM;SG
vandag	šodien	vandag	šodien	ADV	ADV
ekonomiese	ekonomiskais	ekonomies	ekonomisks	ADJ;NOM	ADJ;NOM;MASC;SG
ekonomiese	ekonomiskā	ekonomies	ekonomiska	ADJ;NOM	ADJ;NOM;FEM;SG
ekonomiese	ekonomiska	ekonomies	ekonomiska	ADJ;NOM	ADJ;NOM;FEM;SG
aanvaar	pieņemam	aanvaar	pieņemt	V;PRS	V;FH;IND;PL;1;POS;PRS;FIN;ACT
aanvaar	pieņem	aanvaar	pieņemt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
aanvaar	akceptēt	aanvaar	akceptēt	V;PRS	V;POS;NFIN
aanvaar	pieņemu	aanvaar	pieņemt	V;PRS	V;FH;IND;SG;1;POS;PRS;FIN;ACT
aanvaar	pieņemt	aanvaar	pieņemt	V;PRS	V;POS;NFIN
hou	turēt	hou	turēt	V;PRS	V;POS;NFIN
hou	turēt	hou	turēt	V;PRS	V;POS;NFIN
hou	paturēt	hou	paturēt	V;PRS	V;POS;NFIN
geskryf	uzrakstīts	skryf	uzrakstīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
hele	vesels	heel	vesels	ADJ;NOM	ADJ;NOM;MASC;SG
hele	veseli	heel	vesels	ADJ;NOM	ADJ;NOM;MASC;PL
hele	veselas	heel	vesela	ADJ;NOM	ADJ;NOM;FEM;PL
hele	vesela	heel	vesela	ADJ;NOM	ADJ;NOM;FEM;SG
bevat	satur	bevat	saturēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
skrywer	rakstnieks	skrywer	rakstnieks	N;SG	N;NOM;MASC;SG
skrywer	autors	skrywer	autors	N;SG	N;NOM;MASC;SG
skrywer	autore	skrywer	autore	N;SG	N;NOM;FEM;SG
verander	atcelt	verander	atcelt	V;PRS	V;POS;NFIN
verander	anulēt	verander	anulēt	V;PRS	V;POS;NFIN
verander	mainīt	verander	mainīt	V;PRS	V;POS;NFIN
verander	pārveidot	verander	pārveidot	V;PRS	V;POS;NFIN
verander	izmaina	verander	izmainīt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
verander	izmainīt	verander	izmainīt	V;PRS	V;POS;NFIN
verander	mainīt	verander	mainīt	V;PRS	V;POS;NFIN
bereik	aizsniegt	bereik	aizsniegt	V;PRS	V;POS;NFIN
inwoners	rezidenti	inwoner	rezidents	N;PL	N;NOM;MASC;PL
inwoners	iedzīvotāji	inwoner	iedzīvotājs	N;PL	N;NOM;MASC;PL
man	vīrs	man	vīrs	N;SG	N;NOM;MASC;SG
man	cilvēks	man	cilvēks	N;SG	N;NOM;MASC;SG
man	vīrietis	man	vīrietis	N;SG	N;NOM;MASC;SG
huis	māja	huis	māja	N;SG	N;NOM;FEM;SG
huis	mājā	huis	māja	N;SG	N;ESS;FEM;SG
besoek	apmeklēt	besoek	apmeklēt	V;PRS	V;POS;NFIN
administratiewe	administratīvā	administratief	administratīva	ADJ;NOM	ADJ;NOM;FEM;SG
administratiewe	administratīvais	administratief	administratīvs	ADJ;NOM	ADJ;NOM;MASC;SG
administratiewe	administratīva	administratief	administratīva	ADJ;NOM	ADJ;NOM;FEM;SG
administratiewe	administratīvie	administratief	administratīvs	ADJ;NOM	ADJ;NOM;MASC;PL
bekende	slavena	bekend	slavena	ADJ;NOM	ADJ;NOM;FEM;SG
bekende	slavens	bekend	slavens	ADJ;NOM	ADJ;NOM;MASC;SG
bekende	slavenais	bekend	slavenais	ADJ;NOM	ADJ;NOM;MASC;SG
gespeel	spēlējis	speel	spēlēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gespeel	spēlēja	speel	spēlēt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
kerke	baznīcas	kerk	baznīca	N;PL	N;NOM;FEM;PL
skryf	rakstīt	skryf	rakstīt	V;PRS	V;POS;NFIN
skryf	rakstiet	skryf	rakstīt	V;PRS	V;IMP;PL;2;POS;FIN;ACT
skryf	dedzināt	skryf	dedzināt	V;PRS	V;POS;NFIN
wie	kas	wie	kas	PRO	PRO;NOM
wie	kurš	wie	kurš	PRO	PRO;NOM;MASC;SG
romeinse	romāns	romeins	romāns	N;SG	N;NOM;MASC;SG
gekry	atrasta	kry	atrast	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
gekry	atrastas	kry	atrast	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
gekry	atrasts	kry	atrast	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
reeks	sērija	reeks	sērija	N;SG	N;NOM;FEM;SG
hoofsaaklik	galvenokārt	hoofsaaklik	galvenokārt	ADV	ADV
eilande	salas	eilande	sala	N;PL	N;NOM;FEM;PL
eilande	salām	eilande	sala	N;PL	N;DAT;FEM;PL
speel	atskaņot	speel	atskaņot	V;PRS	V;POS;NFIN
speel	spēlē	speel	spēlēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
speel	spēlēt	speel	spēlēt	V;PRS	V;POS;NFIN
speel	spēlē	speel	spēlēt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
speel	spēlējas	speel	spēlēties	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
speel	spēlējot	speel	spēlēt	V;PRS	V;V.CVB
wel	labi	wel	labi	ADV	ADV
bou	būvēt	bou	būvēt	V;PRS	V;POS;NFIN
bou	veidot	bou	veidot	V;PRS	V;POS;NFIN
gelei	vadīja	lei	vadīt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
stigting	veidošanos	stigting	veidošanās	N;SG	N;ACC;FEM;SG
stigting	dibināšana	stigting	dibināšana	N;SG	N;NOM;FEM;SG
stigting	veidošanās	stigting	veidošanās	N;SG	N;NOM;FEM;SG
stigting	veidošana	stigting	veidošana	N;SG	N;NOM;FEM;SG
gegee	dots	gee	dot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gegee	dota	gee	dot	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
gegee	dotas	gee	doties	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
beskryf	aprakstīt	beskryf	aprakstīt	V;PRS	V;POS;NFIN
beskryf	raksturot	beskryf	raksturēt	V;PRS	V;POS;NFIN
beskryf	apraksta	beskryf	apraksts	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
streek	reģions	streek	reģions	N;SG	N;NOM;MASC;SG
rivier	upe	rivier	upe	N;SG	N;NOM;FEM;SG
rivier	upes	rivier	upe	N;SG	N;NOM;FEM;SG
mees	visvairāk	baie	visvairāk	ADV;RL	ADV;RL
ses	sešus	ses	seši	NUM	NUM;ACC;MASC;PL
ses	seši	ses	seši	NUM	NUM;NOM;MASC;PL
ses	sešas	ses	sešas	NUM	NUM;NOM;FEM;PL
grond	augsne	grond	augsne	N;SG	N;NOM;FEM;SG
grond	zemi	grond	zeme	N;SG	N;ACC;FEM;SG
grond	zeme	grond	zeme	N;SG	N;NOM;FEM;SG
grond	zeme	grond	zeme	N;SG	N;NOM;FEM;SG
spesies	sugas	spesie	suga	N;PL	N;NOM;FEM;PL
beroep	profesija	beroep	profesija	N;SG	N;NOM;FEM;SG
gedoen	paveikts	doen	paveikt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gedoen	darīts	doen	darīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gedoen	izdarīts	doen	izdarīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
lede	locekļi	lid	loceklis	N;PL	N;NOM;MASC;PL
