con	sa	con	sa	ADP	ADP;INS
forma	oblik	forma	oblik	N;FEM;SG	N;NOM;MASC;SG
forma	forma	forma	forma	N;FEM;SG	N;NOM;FEM;SG
forma	obrazac	forma	obrazac	N;FEM;SG	N;NOM;MASC;SG
tres	tri	tres	tri	NUM;PL	NUM
grupo	grupa	grupo	grupa	N;MASC;SG	N;NOM;FEM;SG
guerra	rat	guerra	rat	N;FEM;SG	N;NOM;MASC;SG
guerra	rata	guerra	rat	N;FEM;SG	N;GEN;MASC;SG
guerra	ratovanje	guerra	ratovanje	N;FEM;SG	N;NOM;NEUT;SG
aunque	iako	aunque	iako	CONJ	CONJ
aunque	iako	aunque	iako	CONJ	CONJ
tras	nakon	tras	nakon	ADP	ADP;GEN
familia	porodica	familia	porodica	N;FEM;SG	N;NOM;FEM;SG
familia	obitelj	familia	obitelj	N;FEM;SG	N;NOM;FEM;SG
familia	familija	familia	familija	N;FEM;SG	N;NOM;FEM;SG
además	također	además	također	ADV	ADV
además	takođe	además	takođa	ADV	ADV
sur	jugu	sur	jug	N;MASC;SG	N;DAT;MASC;SG
sur	jug	sur	jug	N;MASC;SG	N;NOM;MASC;SG
tiempo	vrijeme	tiempo	vrijeme	N;MASC;SG	N;NOM;NEUT;SG
tiempo	vreme	tiempo	vreme	N;MASC;SG	N;NOM;NEUT;SG
tiempo	vrijeme	tiempo	vrijeme	N;MASC;SG	N;NOM;NEUT;SG
provincia	pokrajina	provincia	pokrajina	N;FEM;SG	N;NOM;FEM;SG
provincia	pokrajini	provincia	pokrajina	N;FEM;SG	N;DAT;FEM;SG
provincia	provincija	provincia	provincija	N;FEM;SG	N;NOM;FEM;SG
partido	tulum	partido	tulum	N;MASC;SG	N;NOM;MASC;SG
partido	zabava	partido	zabava	N;MASC;SG	N;NOM;FEM;SG
partido	stranka	partido	stranka	N;MASC;SG	N;NOM;FEM;SG
partido	meč	partido	meč	N;MASC;SG	N;NOM;MASC;SG
partido	podudaranje	partido	podudaranje	N;MASC;SG	N;NOM;NEUT;SG
contra	protiv	contra	protiv	ADP	ADP;GEN
encuentra	naći	encontrar	naći	V;IND;SG;3;PRS;FIN	V;NFIN
encuentra	pronalazi	encontrar	pronalaziti	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
encuentra	pronađe	encontrar	pronaći	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
encuentra	nađe	encontrar	naći	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
municipio	township	municipio	township	N;MASC;SG	N;NOM;MASC;SG
municipio	općina	municipio	općina	N;MASC;SG	N;NOM;FEM;SG
sido	bio	ser	biti	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP;ACT
bajo	pod	bajo	pod	ADP	ADP;INS
bajo	ispod	bajo	ispod	ADP	ADP;GEN
serie	serija	serie	serija	N;FEM;SG	N;NOM;FEM;SG
serie	serie	serie	seri	N;FEM;SG	N;NOM;MASC;SG
fútbol	nogomet	fútbol	nogomet	N;MASC;SG	N;NOM;MASC;SG
fútbol	fudbal	fútbol	fudbal	N;MASC;SG	N;NOM;MASC;SG
fútbol	nogomet	fútbol	nogomet	N;MASC;SG	N;NOM;MASC;SG
equipo	oprema	equipo	oprema	N;MASC;SG	N;NOM;FEM;SG
equipo	ekipa	equipo	ekipa	N;MASC;SG	N;NOM;FEM;SG
equipo	momčad	equipo	momčad	N;MASC;SG	N;NOM;FEM;SG
equipo	reprezentacija	equipo	reprezentacija	N;MASC;SG	N;NOM;FEM;SG
norte	sjever	norte	sjever	N;MASC;SG	N;NOM;MASC;SG
río	riju	río	rije	N;MASC;SG	N;DAT;MASC;SG
río	rijeci	río	rijeka	N;MASC;SG	N;DAT;FEM;SG
río	rijeka	río	rijeka	N;MASC;SG	N;NOM;FEM;SG
méxico	meksiku	méxico	meksik	N;MASC;SG	N;DAT;MASC;SG
argentina	argentinski	argentino	argentinski	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
nuevo	novo	nuevo	nov	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
nuevo	nova	nuevo	nov	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
nuevo	novi	nuevo	nov	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
septiembre	rujna	septiembre	rujan	N	N;GEN;MASC;SG
septiembre	rujan	septiembre	rujan	N	N;NOM;MASC;SG
octubre	listopada	octubre	listopad	N	N;GEN;MASC;SG
octubre	listopad	octubre	listopad	N	N;NOM;MASC;SG
octubre	oktobar	octubre	oktobar	N	N;NOM;MASC;SG
segunda	drugi	segundo	drugi	ADJ;FEM;SG	ADJ;NOM;MASC;SG
segunda	drugo	segundo	drugi	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
segunda	druga	segundo	drugi	ADJ;FEM;SG	ADJ;NOM;FEM;SG
discusión	rasprava	discusión	rasprava	N;FEM;SG	N;NOM;FEM;SG
discusión	raspravu	discusión	rasprava	N;FEM;SG	N;ACC;FEM;SG
discusión	diskusija	discusión	diskusija	N;FEM;SG	N;NOM;FEM;SG
gobierno	vlada	gobierno	vlada	N;MASC;SG	N;NOM;FEM;SG
condado	okrugu	condado	okruga	N;MASC;SG	N;DAT;MASC;SG
condado	okrug	condado	okrug	N;MASC;SG	N;NOM;MASC;SG
condado	županija	condado	županija	N;MASC;SG	N;NOM;FEM;SG
condado	kotar	condado	kotar	N;MASC;SG	N;NOM;MASC;SG
final	završetak	final	završetak	N;MASC;SG	N;NOM;MASC;SG
final	kraj	final	kraj	N;MASC;SG	N;NOM;MASC;SG
final	finale	final	finale	N;MASC;SG	N;NOM;NEUT;SG
final	finale	final	finale	N;MASC;SG	N;NOM;NEUT;SG
vida	zivot	vida	zivot	N;FEM;SG	N;NOM;MASC;SG
vida	život	vida	život	N;FEM;SG	N;NOM;MASC;SG
vida	vida	vida	vid	N;FEM;SG	N;GEN;MASC;SG
personas	osobe	persona	osoba	N;FEM;PL	N;NOM;FEM;PL
personas	ljudi	persona	čovjek	N;FEM;PL	N;NOM;MASC;PL
centro	centar	centro	centar	N;MASC;SG	N;NOM;MASC;SG
centro	centar	centro	centar	N;MASC;SG	N;NOM;MASC;SG
centro	središte	centro	središte	N;MASC;SG	N;NOM;NEUT;SG
centro	sredina	centro	sredini	N;MASC;SG	N;NOM;FEM;SG
julio	julius	julio	julius	N	N;NOM;MASC;SG
julio	julije	julio	julija	N	N;NOM;FEM;SG
julio	srpnja	julio	srpanj	N	N;GEN;MASC;SG
julio	juli	julio	jutlo	N	N;NOM;MASC;SG
julio	srpanj	julio	srpanj	N	N;NOM;MASC;SG
julio	jula	julio	julo	N	N;NOM;FEM;SG
país	zemlja	país	zemlja	N;MASC;SG	N;NOM;FEM;SG
país	država	país	država	N;MASC;SG	N;NOM;FEM;SG
país	domovina	país	domovina	N;MASC;SG	N;NOM;FEM;SG
mientras	dok	mientras	dok	CONJ	CONJ
web	sajt	web	sajt	N;FEM;SG	N;NOM;MASC;SG
web	web	web	web	N;FEM;SG	N;NOM;MASC;SG
internacional	međunarodna	internacional	međunarodan	ADJ;SG	ADJ;NOM;FEM;SG
internacional	međunarodni	internacional	međunarodan	ADJ;SG	ADJ;NOM;DEF;MASC;SG
santa	sveta	santo	svet	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
santa	sveti	santo	svet	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
santa	sveto	santo	svet	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
santa	sveti	santo	svet	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
antes	ranije	antes	rano	ADV	ADV;CMPR
antes	prije	antes	prije	ADV	ADV
oficial	službeni	oficial	služben	ADJ;SG	ADJ;NOM;DEF;MASC;SG
mundo	svijeta	mundo	svijet	N;MASC;SG	N;GEN;MASC;SG
mundo	svijet	mundo	svijet	N;MASC;SG	N;NOM;MASC;SG
embargo	embargo	embargo	embargo	N;MASC;SG	N;NOM;MASC;SG
mayo	svibanj	mayo	svibanj	N	N;NOM;MASC;SG
mayo	svibnja	mayo	svibanj	N	N;GEN;MASC;SG
algunos	neke	alguno	neki	PRO;MASC;PL	PRO;NOM;FEM;PL
algunos	neki	alguno	neki	PRO;MASC;PL	PRO;NOM;MASC;PL
temporada	sezone	temporada	sezona	N;FEM;SG	N;GEN;FEM;SG
temporada	sezona	temporada	sezona	N;FEM;SG	N;NOM;FEM;SG
mejor	bolje	mejor	dobro	ADV	ADV;CMPR
mejor	najbolje	mejor	dobro	ADV	ADV;RL
luego	onda	luego	onda	ADV	ADV
marzo	ožujka	marzo	ožujak	N	N;GEN;MASC;SG
marzo	ožujak	marzo	ožujak	N	N;NOM;MASC;SG
marzo	marš	marzo	marš	N	N;NOM;MASC;SG
día	dan	día	dan	N;MASC;SG	N;NOM;MASC;SG
madrid	madrida	madrid	madrid	N;MASC;SG	N;GEN;MASC;SG
madrid	madridu	madrid	madrida	N;MASC;SG	N;DAT;MASC;SG
madrid	liverpool	madrid	liverpool	N;MASC;SG	N;NOM;MASC;SG
enero	jana	enero	jana	N	N;NOM;FEM;SG
enero	siječanj	enero	siječanj	N	N;NOM;MASC;SG
enero	siječnja	enero	siječanj	N	N;GEN;MASC;SG
número	broj	número	broj	N;MASC;SG	N;NOM;MASC;SG
agosto	kolovoz	agosto	kolovoz	N	N;NOM;MASC;SG
agosto	kolovoza	agosto	kolovoz	N	N;GEN;MASC;SG
agosto	august	agosto	august	N	N;NOM;MASC;SG
agosto	aug	agosto	aug	N	N;NOM;MASC;SG
diciembre	prosinac	diciembre	prosinac	N	N;NOM;MASC;SG
diciembre	prosinca	diciembre	prosinac	N	N;GEN;MASC;SG
diciembre	prosincu	diciembre	prosinac	N	N;DAT;MASC;SG
artículo	članak	artículo	članak	N;MASC;SG	N;NOM;MASC;SG
artículo	predmet	artículo	predmet	N;MASC;SG	N;NOM;MASC;SG
artículo	stavka	artículo	stavak	N;MASC;SG	N;GEN;MASC;SG
artículo	artikl	artículo	artikl	N;MASC;SG	N;NOM;MASC;SG
noviembre	studenog	noviembre	studeni	N	N;GEN;MASC;SG
noviembre	studeni	noviembre	studeni	N	N;NOM;MASC;SG
abril	april	abril	april	N	N;NOM;MASC;SG
abril	travanj	abril	travanj	N	N;NOM;MASC;SG
abril	travnja	abril	travanj	N	N;GEN;MASC;SG
región	regiji	región	regija	N;FEM;SG	N;DAT;FEM;SG
región	regija	región	regija	N;FEM;SG	N;NOM;FEM;SG
sistema	sistem	sistema	sistem	N;MASC;SG	N;NOM;MASC;SG
sistema	sustav	sistema	sustav	N;MASC;SG	N;NOM;MASC;SG
habitantes	stanovnici	habitante	stanovnik	N;PL	N;NOM;MASC;PL
habitantes	stanovnici	habitante	stanovnik	N;PL	N;NOM;MASC;PL
habitantes	stanovnika	habitante	stanovnik	N;PL	N;GEN;MASC;PL
habitantes	stanari	habitante	stanar	N;PL	N;NOM;MASC;PL
maría	marie	maría	maria	N;FEM;SG	N;NOM;FEM;SG
maría	meri	maría	mer	N;FEM;SG	N;NOM;FEM;SG
maría	marijo	maría	marija	N;FEM;SG	N;NOM;FEM;SG
maría	marija	maría	mari	N;FEM;SG	N;NOM;FEM;SG
maría	marija	maría	mari	N;FEM;SG	N;NOM;FEM;SG
real	pravi	real	prav	ADJ;SG	ADJ;NOM;DEF;MASC;SG
real	kraljevsko	real	kraljevski	ADJ;SG	ADJ;NOM;NEUT;SG
real	kraljevska	real	kraljevski	ADJ;SG	ADJ;NOM;DEF;FEM;SG
página	stranicu	página	stranica	N;FEM;SG	N;ACC;FEM;SG
página	stranica	página	stranica	N;FEM;SG	N;NOM;FEM;SG
música	muzika	música	muzika	N;FEM;SG	N;NOM;FEM;SG
música	glazba	música	glazba	N;FEM;SG	N;NOM;FEM;SG
presidente	predsjednik	presidente	predsjednik	N;MASC;SG	N;NOM;MASC;SG
presidente	predsjednica	presidente	predsjednica	N;MASC;SG	N;NOM;FEM;SG
casa	kuca	casa	kucati	N;FEM;SG	N;NOM;FEM;SG
casa	house	casa	house	N;FEM;SG	N;NOM;MASC;SG
casa	kuća	casa	kuća	N;FEM;SG	N;NOM;FEM;SG
casa	kući	casa	kuća	N;FEM;SG	N;DAT;FEM;SG
casa	dom	casa	dom	N;FEM;SG	N;NOM;MASC;SG
sólo	samo	sólo	samo	ADV	ADV
sólo	jedino	sólo	jedino	ADV	ADV
sólo	samo	sólo	samo	ADV	ADV
álbum	album	álbum	album	N;MASC;SG	N;NOM;MASC;SG
cuenta	računati	contar	računati	V;IND;SG;3;PRS;FIN	V;NFIN
cuenta	broji	contar	brojati	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
cuenta	broji	contar	brojati	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
junio	lipanj	junio	lipanj	N	N;NOM;MASC;SG
junio	lipnja	junio	lipanj	N	N;GEN;MASC;SG
febrero	veljače	febrero	veljača	N	N;GEN;FEM;SG
ella	ona	él	on	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
ella	joj	él	on	PRO;FEM;SG;3	PRO;DAT;FEM;SG;3
ella	nju	él	on	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
pueden	mogu	poder	moći	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
solo	samo	solo	samo	ADV	ADV
solo	jedino	solo	jedino	ADV	ADV
solo	samo	solo	samo	ADV	ADV
tipo	vrsta	tipo	vrsta	N;MASC;SG	N;NOM;FEM;SG
tipo	tip	tipo	tip	N;MASC;SG	N;NOM;MASC;SG
obra	rad	obra	rad	N;FEM;SG	N;NOM;MASC;SG
obra	posao	obra	posao	N;FEM;SG	N;NOM;MASC;SG
iglesia	crkva	iglesia	crkva	N;FEM;SG	N;NOM;FEM;SG
película	film	película	film	N;FEM;SG	N;NOM;MASC;SG
película	film	película	film	N;FEM;SG	N;NOM;MASC;SG
entonces	onda	entonces	onda	ADV	ADV
banda	band	banda	band	N;FEM;SG	N;NOM;MASC;SG
banda	sastav	banda	sastav	N;FEM;SG	N;NOM;MASC;SG
banda	bend	banda	bend	N;FEM;SG	N;NOM;MASC;SG
banda	banda	banda	banda	N;FEM;SG	N;NOM;FEM;SG
cuatro	četiri	cuatro	četiri	NUM;PL	NUM
zona	zona	zona	zona	N;FEM;SG	N;NOM;FEM;SG
zona	područje	zona	područje	N;FEM;SG	N;NOM;NEUT;SG
zona	oblast	zona	oblast	N;FEM;SG	N;NOM;FEM;SG
televisión	televizija	televisión	televizija	N;FEM;SG	N;NOM;FEM;SG
principal	glavni	principal	glavni	ADJ;SG	ADJ;NOM;DEF;MASC;SG
principal	glavno	principal	glavni	ADJ;SG	ADJ;NOM;NEUT;SG
principal	glavna	principal	glavni	ADJ;SG	ADJ;NOM;DEF;FEM;SG
tuvo	imao	tener	imati	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
tuvo	imala	tener	imati	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP;ACT
carlos	charles	carlo	charles	N;MASC;SG	N;NOM;MASC;SG
carlos	karlo	carlo	karlo	N;MASC;SG	N;NOM;MASC;SG
carlos	charlie	carlo	charlia	N;MASC;SG	N;NOM;MASC;SG
rey	kralju	rey	kralj	N;MASC;SG	N;DAT;MASC;SG
rey	kralj	rey	kralj	N;MASC;SG	N;NOM;MASC;SG
premio	nagrada	premio	nagrada	N;MASC;SG	N;NOM;FEM;SG
premio	nagrada	premio	nagrada	N;MASC;SG	N;NOM;FEM;SG
hace	čini	hacer	činiti	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
km²	km²	kme	km²		
edición	izdanje	edición	izdanje	N;FEM;SG	N;NOM;NEUT;SG
edición	uređivanje	edición	uređivanje	N;FEM;SG	N;NOM;NEUT;SG
premios	nagrade	premio	nagrada	N;MASC;PL	N;NOM;FEM;PL
premios	nagrade	premio	nagrada	N;MASC;PL	N;NOM;FEM;PL
premios	nagrade	premio	nagrada	N;MASC;PL	N;NOM;FEM;PL
sitio	sajt	sitio	sajt	N;MASC;SG	N;NOM;MASC;SG
sitio	opsada	sitio	opsadati	N;MASC;SG	N;NOM;FEM;SG
sitio	site	sitio	site	N;MASC;SG	N;NOM;MASC;SG
sitio	sajt	sitio	sajt	N;MASC;SG	N;NOM;MASC;SG
futbolistas	nogometaši	futbolista	nogometaš	N;PL	N;NOM;MASC;PL
bien	dobro	bien	dobro	ADV	ADV
segundo	drugi	segundo	drugi	ADJ;MASC;SG	ADJ;NOM;MASC;SG
segundo	drugo	segundo	drugi	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
segundo	druga	segundo	drugi	ADJ;MASC;SG	ADJ;NOM;FEM;SG
mar	morem	mar	more	N;SG	N;INS;NEUT;SG
mar	moru	mar	more	N;SG	N;DAT;NEUT;SG
mar	more	mar	more	N;SG	N;NOM;NEUT;SG
mar	okean	mar	okean	N;SG	N;NOM;MASC;SG
mar	ocean	mar	ocean	N;SG	N;NOM;MASC;SG
poco	malo	poco	malo	ADV	ADV
orden	narudžba	orden	narudžba	N;MASC;SG	N;NOM;FEM;SG
orden	poredak	orden	poredak	N;MASC;SG	N;NOM;MASC;SG
estadounidense	američki	estadounidense	američki	ADJ;SG	ADJ;NOM;DEF;MASC;SG
estadounidense	američka	estadounidense	američki	ADJ;SG	ADJ;NOM;DEF;FEM;SG
agua	voda	agua	voda	N;FEM;SG	N;NOM;FEM;SG
tierra	zemlja	tierra	zemlja	N;FEM;SG	N;NOM;FEM;SG
tierra	zemlja	tierra	zemlja	N;FEM;SG	N;NOM;FEM;SG
tierra	kopno	tierra	kopno	N;FEM;SG	N;NOM;NEUT;SG
tierra	zemljište	tierra	zemljište	N;FEM;SG	N;NOM;NEUT;SG
tierra	tierra	tierra	tierar	N;FEM;SG	N;NOM;FEM;SG
tierra	tlo	tierra	tlo	N;FEM;SG	N;NOM;NEUT;SG
título	naslov	título	naslov	N;MASC;SG	N;NOM;MASC;SG
título	naziv	título	naziv	N;MASC;SG	N;NOM;MASC;SG
ellos	ih	él	oni	PRO;MASC;PL;3	PRO;ACC;PL;3
ellos	im	él	oni	PRO;MASC;PL;3	PRO;DAT;PL;3
ellos	njih	él	oni	PRO;MASC;PL;3	PRO;ACC;PL;3
ellos	oni	él	oni	PRO;MASC;PL;3	PRO;NOM;MASC;PL;3
earth	zemlja	earth	zemlja	N	N;NOM;FEM;SG
división	odsjek	división	odsjek	N;FEM;SG	N;NOM;MASC;SG
división	odjel	división	odjel	N;FEM;SG	N;NOM;MASC;SG
división	podjela	división	podjela	N;FEM;SG	N;NOM;FEM;SG
división	divizija	división	divizija	N;FEM;SG	N;NOM;FEM;SG
canción	pjesma	canción	pjesma	N;FEM;SG	N;NOM;FEM;SG
canción	pesma	canción	pesma	N;FEM;SG	N;NOM;FEM;SG
fecha	spoj	fecha	spoj	N;FEM;SG	N;NOM;MASC;SG
fecha	datum	fecha	datum	N;FEM;SG	N;NOM;MASC;SG
república	republika	república	republika	N;FEM;SG	N;NOM;FEM;SG
trabajo	posao	trabajo	posao	N;MASC;SG	N;NOM;MASC;SG
trabajo	rad	trabajo	rad	N;MASC;SG	N;NOM;MASC;SG
trabajo	posao	trabajo	posao	N;MASC;SG	N;NOM;MASC;SG
especie	vrsta	especie	vrsta	N;FEM;SG	N;NOM;FEM;SG
luis	louise	luis	louise	N;MASC;SG	N;NOM;FEM;SG
luis	louie	luis	lou	N;MASC;SG	N;NOM;MASC;SG
luis	ludwig	luis	ludwig	N;MASC;SG	N;NOM;MASC;SG
luis	luise	luis	luis	N;MASC;SG	N;NOM;FEM;SG
caso	case	caso	casa	N;MASC;SG	N;NOM;FEM;SG
caso	slučaj	caso	slučaj	N;MASC;SG	N;NOM;MASC;SG
caso	slucaj	caso	slucaj	N;MASC;SG	N;NOM;MASC;SG
dentro	iznutra	dentro	iznutra	ADV	ADV
dentro	unutra	dentro	unutra	ADV	ADV
obras	radovi	obra	rad	N;FEM;PL	N;NOM;MASC;PL
color	boja	color	boja	N;MASC;SG	N;NOM;FEM;SG
color	boja	color	boja	N;MASC;SG	N;NOM;FEM;SG
distrito	okrugu	distrito	okruga	N;MASC;SG	N;DAT;MASC;SG
distrito	okrug	distrito	okrug	N;MASC;SG	N;NOM;MASC;SG
superficie	površina	superficie	površina	N;FEM;SG	N;NOM;FEM;SG
superficie	područje	superficie	područje	N;FEM;SG	N;NOM;NEUT;SG
superficie	oblast	superficie	oblast	N;FEM;SG	N;NOM;FEM;SG
copa	copa	copa	copa	N;FEM;SG	N;NOM;MASC;SG
copa	kupa	copa	kup	N;FEM;SG	N;GEN;MASC;SG
copa	pehar	copa	pehar	N;FEM;SG	N;NOM;MASC;SG
copa	šalica	copa	šalica	N;FEM;SG	N;NOM;FEM;SG
copa	kup	copa	kup	N;FEM;SG	N;NOM;MASC;SG
línea	linija	línea	linija	N;FEM;SG	N;NOM;FEM;SG
línea	redak	línea	redak	N;FEM;SG	N;NOM;MASC;SG
francisco	francisca	francisco	francisac	N;MASC;SG	N;ANIM;ACC;MASC;SG
francisco	francis	francisco	francis	N;MASC;SG	N;NOM;MASC;SG
francisco	franjo	francisco	franje	N;MASC;SG	N;NOM;MASC;SG
siguiente	sljedeća	siguiente	sljedeći	ADJ;SG	ADJ;NOM;DEF;FEM;SG
