ale	ama	ale	ama	CONJ	CONJ
celé	bütün	celý	bütün	ADJ;NOM;NEUT;SG;POS	ADJ
kolo	tekerlek	kolo	tekerlek	N;NOM;NEUT;SG;POS	N;NOM;SG;3
kolo	motosiklet	kolo	motosiklet	N;NOM;NEUT;SG;POS	N;NOM;SG;3
kolo	bisiklet	kolo	bisiklet	N;NOM;NEUT;SG;POS	N;NOM;SG;3
kolo	bisiklet	kolo	bisiklet	N;NOM;NEUT;SG;POS	N;NOM;SG;3
stanice	station	stanice	station	N;NOM;FEM;SG;POS	N;NOM;SG;3
informace	bilgiler	informace	bilgi	N;NOM;FEM;PL;POS	N;NOM;PL;3
informace	bilgiler	informace	bilgi	N;NOM;FEM;PL;POS	N;NOM;PL;3
zápasy	maçlar	zápas	maç	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
zápasy	kavgalar	zápas	kavga	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
stát	devlet	stát	devlet	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
stále	hala	stále	hala	ADV	ADV
čtyři	dört	čtyři	dört	NUM;NOM;PL	NUM
označení	etiketi	označení	etiket	N;NOM;NEUT;SG;POS	N;NOM;SG;3
stadion	stadyumu	stadión	stadyum	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
stadion	stadyum	stadión	stadyum	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
soutěž	müsabaka	soutěž	müsabaka	N;NOM;FEM;SG;POS	N;NOM;SG;3
rady	tavsiyeler	rada	tavsiye	N;NOM;FEM;PL;POS	N;NOM;PL;3
režie	direktör	režie	direk	N;NOM;FEM;SG;POS	N;NOM;SG;3
report	şikayet	report	şikayet	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
report	rapor	report	rapor	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
okolí	çevresi	okolí	çevre	N;NOM;NEUT;SG;POS	N;NOM;SG;3
okolí	çevresi	okolí	çevre	N;NOM;NEUT;SG;POS	N;NOM;SG;3
okolí	semt	okolí	semt	N;NOM;NEUT;SG;POS	N;NOM;SG;3
okolí	komşuluk	okolí	komşuluk	N;NOM;NEUT;SG;POS	N;NOM;SG;3
okolí	semt	okolí	semt	N;NOM;NEUT;SG;POS	N;NOM;SG;3
okolí	komşuluk	okolí	komşuluk	N;NOM;NEUT;SG;POS	N;NOM;SG;3
délka	boyu	délka	boy	N;NOM;FEM;SG;POS	N;NOM;SG;3
délka	uzunluk	délka	uzunluk	N;NOM;FEM;SG;POS	N;NOM;SG;3
délka	boylam	délka	boylam	N;NOM;FEM;SG;POS	N;NOM;SG;3
každý	her	každý	her	DET;ANIM;NOM;MASC;SG;POS	DET
dříve	önceden	brzy	önceden	ADV;CMPR;POS	ADV
branky	hedefler	branka	hedef	N;NOM;FEM;PL;POS	N;NOM;PL;3
branky	amaçlar	branka	amaç	N;NOM;FEM;PL;POS	N;NOM;PL;3
branky	hedefleri	branka	hedef	N;NOM;FEM;PL;POS	N;NOM;PL;3
syn	oğlum	syn	oğul	N;ANIM;NOM;MASC;SG;POS	N;NOM;SG;3
množství	miktarı	množství	miktar	N;NOM;NEUT;SG;POS	N;NOM;SG;3
množství	miktarı	množství	miktar	N;NOM;NEUT;SG;POS	N;NOM;SG;3
mnoha	birçok	mnoho	birçok	DET;INS	DET
historie	tarih	historie	tarih	N;NOM;FEM;SG;POS	N;NOM;SG;3
znovu	yine	znovu	yine	ADV	ADV
znovu	gene	znovu	gene	ADV	ADV
znovu	yeniden	znovu	yeniden	ADV	ADV
hry	maçlar	hra	maç	N;NOM;FEM;PL;POS	N;NOM;PL;3
hry	oyunlar	hra	oyun	N;NOM;FEM;PL;POS	N;NOM;PL;3
většina	çoğunluk	většina	çoğunluk	N;NOM;FEM;SG;POS	N;NOM;SG;3
práva	ayrıcalıkları	právo	ayrıcalık	N;NOM;NEUT;PL;POS	N;NOM;PL;3
práva	haklar	právo	hak	N;NOM;NEUT;PL;POS	N;NOM;PL;3
narodil	doğdu	narodit	doğ	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
narodil	doğmuş	narodit	doğ	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;NFH;IND;SG;3;POS;PST
narodil	doğdum	narodit	doğ	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;1;POS;PST
oblast	bölgesi	oblast	bölge	N;NOM;FEM;SG;POS	N;NOM;SG;3
oblast	alanı	oblast	alan	N;NOM;FEM;SG;POS	N;NOM;SG;3
školy	okullar	škola	okul	N;NOM;FEM;PL;POS	N;NOM;PL;3
školy	okulları	škola	okul	N;NOM;FEM;PL;POS	N;NOM;PL;3
kraj	bölgesi	kraj	bölge	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
říše	imparatorluk	říše	imparatorluk	N;NOM;FEM;SG;POS	N;NOM;SG;3
říše	imparatorluğu	říše	imparatorluk	N;NOM;FEM;SG;POS	N;NOM;SG;3
žilo	yaşamış	žít	yaşa	V;NEUT;SG;POS;PST;V.PTCP;ACT	V;PFV;NFH;IND;SG;3;POS;PST
žilo	yaşadı	žít	yaşa	V;NEUT;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
velký	geniş	velký	geniş	ADJ;INAN;NOM;MASC;SG;POS	ADJ
hrál	oynadı	hrát	oyna	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
cena	maliyeti	cena	maliyet	N;NOM;FEM;SG;POS	N;NOM;SG;3
cena	maliyet	cena	maliyet	N;NOM;FEM;SG;POS	N;NOM;SG;3
velká	geniş	velký	geniş	ADJ;NOM;FEM;SG;POS	ADJ
dokonce	bile	dokonce	bile	ADV	ADV
děti	çocuklar	dítě	çocuk	N;NOM;FEM;PL;POS	N;NOM;PL;3
děti	cocuklar	dítě	cocuk	N;NOM;FEM;PL;POS	N;NOM;PL;3
děti	çocuklar	dítě	çocuk	N;NOM;FEM;PL;POS	N;NOM;PL;3
děti	bebekler	dítě	bebek	N;NOM;FEM;PL;POS	N;NOM;PL;3
nová	yeni	nový	yeni	ADJ;NOM;FEM;SG;POS	ADJ
funkce	işlevi	funkce	işlev	N;NOM;FEM;SG;POS	N;NOM;SG;3
funkce	fonksiyonu	funkce	fonksiyon	N;NOM;FEM;SG;POS	N;NOM;SG;3
vždy	hep	vždy	hep	ADV	ADV
nyní	şimdi	nyní	şimdi	ADV	ADV
viz	gör	viz	gör	V;PFV;IMP;SG;2;POS;FIN	V;PFV;IMP;SG;2;POS;PRS
ostatní	diğer	ostatní	diğer	ADJ;ANIM;NOM;MASC;PL;POS	ADJ
kluby	kulüpler	klub	kulüp	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
silnice	karayolu	silnice	karayolu	N;NOM;FEM;SG;POS	N;NOM;SG;3
třídy	sınıflar	třída	sınıf	N;NOM;FEM;PL;POS	N;NOM;PL;3
třídy	dersleri	třída	ders	N;NOM;FEM;PL;POS	N;NOM;PL;3
třídy	sınıfları	třída	sınıf	N;NOM;FEM;PL;POS	N;NOM;PL;3
třídy	dersler	třída	ders	N;NOM;FEM;PL;POS	N;NOM;PL;3
druhý	ikinci	druhý	ikinci	ADJ;ANIM;NOM;MASC;SG	ADJ
finále	finali	finále	finali	N;NOM;NEUT;SG;POS	N;NOM;SG;3
rozdíl	fark	rozdíl	fark	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
divadlo	tiyatro	divadlo	tiyatro	N;NOM;NEUT;SG;POS	N;NOM;SG;3
divadlo	tiyatro	divadlo	tiyatro	N;NOM;NEUT;SG;POS	N;NOM;SG;3
řeky	nehirler	řeka	nehir	N;NOM;FEM;PL;POS	N;NOM;PL;3
řeky	nehirleri	řeka	nehir	N;NOM;FEM;PL;POS	N;NOM;PL;3
dům	ev	dům	ev	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
výška	yükseklik	výška	yükseklik	N;NOM;FEM;SG;POS	N;NOM;SG;3
výška	yükseklik	výška	yükseklik	N;NOM;FEM;SG;POS	N;NOM;SG;3
výška	boyu	výška	boy	N;NOM;FEM;SG;POS	N;NOM;SG;3
pozice	konum	pozice	konum	N;NOM;FEM;SG;POS	N;NOM;SG;3
kdo	kim	kdo	kim	PRO;ANIM;NOM;MASC	PRO;NOM;SG;3
škola	okulumuz	škola	okul	N;NOM;FEM;SG;POS	N;NOM;SG;3
škola	okulu	škola	okul	N;NOM;FEM;SG;POS	N;NOM;SG;3
kategorie	kategorisi	kategorie	kategori	N;NOM;FEM;SG;POS	N;NOM;SG;3
organizace	organizasyon	organizace	organizasyon	N;NOM;FEM;SG;POS	N;NOM;SG;3
organizace	organizasyon	organizace	organizasyon	N;NOM;FEM;SG;POS	N;NOM;SG;3
organizace	organizasyon	organizace	organizasyon	N;NOM;FEM;SG;POS	N;NOM;SG;3
druhy	türler	druh	tür	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
druhy	türler	druh	tür	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
druhy	tipler	druh	tip	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
malé	küçük	malý	küçük	ADJ;NOM;MASC;PL;POS	ADJ
různé	farklı	různý	farklı	ADJ;NOM;MASC;PL;POS	ADJ
lidé	insanlar	člověk	insan	N;ANIM;NOM;MASC;PL;POS	N;NOM;PL;3
lidé	kişiler	člověk	kişi	N;ANIM;NOM;MASC;PL;POS	N;NOM;PL;3
lidé	insanlar	člověk	insan	N;ANIM;NOM;MASC;PL;POS	N;NOM;PL;3
řada	dizi	řada	dizi	N;NOM;FEM;SG;POS	N;NOM;SG;3
řada	sıra	řada	sıra	N;NOM;FEM;SG;POS	N;NOM;SG;3
otec	baba	otec	baba	N;ANIM;NOM;MASC;SG;POS	N;NOM;SG;3
otec	baba	otec	baba	N;ANIM;NOM;MASC;SG;POS	N;NOM;SG;3
univerzity	üniversiteler	univerzita	üniversite	N;NOM;FEM;PL;POS	N;NOM;PL;3
shromáždění	miting	shromáždění	miting	N;NOM;NEUT;SG;POS	N;NOM;SG;3
shromáždění	toplantı	shromáždění	toplantı	N;NOM;NEUT;SG;POS	N;NOM;SG;3
vede	yönetiyor	vést	yönet	V;IND;SG;3;POS;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
nikdy	hiç	nikdy	hiç	ADV	ADV
jména	isimler	jméno	isim	N;NOM;NEUT;PL;POS	N;NOM;PL;3
jména	adlar	jméno	ad	N;NOM;NEUT;PL;POS	N;NOM;PL;3
složení	kompozisyon	složení	kompozisyon	N;NOM;NEUT;SG;POS	N;NOM;SG;3
výsledky	sonuçlar	výsledek	sonuç	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
data	tarihler	data	tarih	N;NOM;NEUT;PL;POS	N;NOM;PL;3
data	veriler	data	veri	N;NOM;NEUT;PL;POS	N;NOM;PL;3
jednotky	ekipler	jednotka	ekip	N;NOM;FEM;PL;POS	N;NOM;PL;3
jednotky	birlikler	jednotka	birlik	N;NOM;FEM;PL;POS	N;NOM;PL;3
jednotky	birlikler	jednotka	birlik	N;NOM;FEM;PL;POS	N;NOM;PL;3
jednotky	askerler	jednotka	asker	N;NOM;FEM;PL;POS	N;NOM;PL;3
knihy	kitaplar	kniha	kitap	N;NOM;FEM;PL;POS	N;NOM;PL;3
rodiny	aileler	rodina	aile	N;NOM;FEM;PL;POS	N;NOM;PL;3
použití	kullanımı	použití	kullanım	N;NOM;NEUT;SG;POS	N;NOM;SG;3
použití	kullanımı	použití	kullanım	N;NOM;NEUT;SG;POS	N;NOM;SG;3
použití	kullanımı	použití	kullanım	N;NOM;NEUT;SG;POS	N;NOM;SG;3
utkání	maç	utkání	maç	N;NOM;NEUT;SG;POS	N;NOM;SG;3
hlasování	oy	hlasování	oy	N;NOM;NEUT;SG;POS	N;NOM;SG;3
hlasování	oy	hlasování	oy	N;NOM;NEUT;SG;POS	N;NOM;SG;3
hlasování	oy	hlasování	oy	N;NOM;NEUT;SG;POS	N;NOM;SG;3
armády	ordular	armáda	ordu	N;NOM;FEM;PL;POS	N;NOM;PL;3
služby	hizmetler	služba	hizmet	N;NOM;FEM;PL;POS	N;NOM;PL;3
služby	hizmetleri	služba	hizmet	N;NOM;FEM;PL;POS	N;NOM;PL;3
druhá	ikinci	druhý	ikinci	ADJ;NOM;FEM;SG	ADJ
hnutí	hareket	hnutí	hareket	N;NOM;NEUT;SG;POS	N;NOM;SG;3
hnutí	hareketlilik	hnutí	hareketlilik	N;NOM;NEUT;SG;POS	N;NOM;SG;3
zámek	kalesi	zámek	kale	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
zámek	chateau	zámek	chatea	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
zámek	château	zámek	chutea	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
celý	bütün	celý	bütün	ADJ;INAN;NOM;MASC;SG;POS	ADJ
hrad	kalesi	hrad	kale	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
napsal	yazdı	napsat	yaz	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
body	noktalar	bod	nokta	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
body	puanlar	bod	puan	N;INAN;NOM;MASC;PL;POS	N;NOM;PL;3
čas	zaman	čas	zaman	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
čas	süre	čas	süre	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
stojí	duruyor	stát	dur	V;IND;SG;3;POS;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
série	dizi	série	dizi	N;NOM;FEM;SG;POS	N;NOM;SG;3
cenu	fiyatı	cena	fiyat	N;ACC;FEM;SG;POS	N;ACC;SG;3
image	görüntü	image	görüntü	N;FEM;POS	N;NOM;SG;3
méně	az	málo	az	ADV;CMPR;POS	ADV
činnost	etkinlik	činnost	etkinlik	N;NOM;FEM;SG;POS	N;NOM;SG;3
rod	olta	rod	olta	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
místa	mekanlar	místo	mekan	N;NOM;NEUT;PL;POS	N;NOM;PL;3
místa	yerler	místo	yer	N;NOM;NEUT;PL;POS	N;NOM;PL;3
fotografie	fotoğrafçılık	fotografie	fotoğrafçılık	N;NOM;FEM;SG;POS	N;NOM;SG;3
park	park	park	park	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
vyšší	uzun	vysoký	uzun	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
vyšší	yüksek	vysoký	yüksek	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
malá	küçük	malý	küçük	ADJ;NOM;FEM;SG;POS	ADJ
malá	küçük	malý	küçük	ADJ;NOM;FEM;SG;POS	ADJ
kulturní	kültürel	kulturní	kültürel	ADJ;NOM;FEM;SG;POS	ADJ
velikost	büyüklük	velikost	büyüklük	N;NOM;FEM;SG;POS	N;NOM;SG;3
velikost	boyu	velikost	boy	N;NOM;FEM;SG;POS	N;NOM;SG;3
stav	durum	stav	durum	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
stav	durumu	stav	durum	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
stav	durum	stav	durum	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
stav	durumu	stav	durum	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
stránka	sayfası	stránka	sayfa	N;NOM;FEM;SG;POS	N;NOM;SG;3
stránka	site	stránka	sit	N;NOM;FEM;SG;POS	N;NOM;SG;3
řád	sipariş	řád	sipariş	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
muzeum	museum	muzeum	museum	N;NOM;NEUT;SG;POS	N;NOM;SG;3
sociální	toplumsal	sociální	toplumsal	ADJ;NOM;MASC;SG;POS	ADJ
sociální	sosyal	sociální	sosyal	ADJ;NOM;MASC;SG;POS	ADJ
sebe	kendimi	se	kendi	PRO;ACC;REFL	PRO;ACC;SG;1;REFL
význam	önem	význam	önem	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
význam	önemi	význam	önem	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
význam	ilgisi	význam	ilgi	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
význam	önemi	význam	önem	N;INAN;NOM;MASC;SG;POS	N;NOM;SG;3
válka	savaş	válka	savaş	N;NOM;FEM;SG;POS	N;NOM;SG;3
vysoké	yüksek	vysoký	yüksek	ADJ;NOM;MASC;PL;POS	ADJ
panství	malikanesi	panství	malikane	N;NOM;NEUT;SG;POS	N;NOM;SG;3
vedení	yönetimi	vedení	yönetim	N;NOM;NEUT;SG;POS	N;NOM;SG;3
vedení	menajerlik	vedení	menajerlik	N;NOM;NEUT;SG;POS	N;NOM;SG;3
vedení	liderlik	vedení	liderlik	N;NOM;NEUT;SG;POS	N;NOM;SG;3
možnost	seçeneği	možnost	seçenek	N;NOM;FEM;SG;POS	N;NOM;SG;3
možnost	olasılık	možnost	olasılık	N;NOM;FEM;SG;POS	N;NOM;SG;3
někdo	biri	někdo	biri	PRO;ANIM;NOM;MASC	PRO;NOM;SG;3
někdo	birisi	někdo	biri	PRO;ANIM;NOM;MASC	PRO;NOM;SG;3
někdo	birileri	někdo	biri	PRO;ANIM;NOM;MASC	PRO;NOM;PL;3
někdo	biri	někdo	biri	PRO;ANIM;NOM;MASC	PRO;NOM;SG;3
někdo	birisi	někdo	biri	PRO;ANIM;NOM;MASC	PRO;NOM;SG;3
