with	مع	with	مَعَ	ADP	ADP;ACC
three	ثلاثة	three	ثَلَاثَة	NUM	NUM;NOM;INDF;MASC
three	ثلاث	three	ثَلَاثَة	NUM	NUM;NOM;INDF;FEM
use	استعمل	use	اِستَعمَل	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
use	استخدم	use	اِستَخدَم	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
war	حرب	war	حَرب	N;SG	N;NOM;INDF;SG
war	الحرب	war	حَرب	N;SG	N;NOM;DEF;SG
born	تولد	bear	تَوَلُّد	V;PST;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
born	يولد	bear	وَلَّد	V;PST;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
born	ولدت	bear	وَلَد	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
link	الرابط	link	رَابِط	N;SG	N;NOM;DEF;SG
link	وصلة	link	وِصلَة	N;SG	N;NOM;INDF;SG
link	ربط	link	رَبط	N;SG	N;NOM;INDF;SG
link	رابط	link	رابط	N;SG	N;NOM;INDF;SG
part	جزء	part	جُزء	N;SG	N;NOM;INDF;SG
part	الجزء	part	جُزء	N;SG	N;NOM;DEF;SG
players	اللاعبين	player	لَاعِب	N;PL	N;NOM;DEF;PL
players	اللاعبون	player	لَاعِب	N;PL	N;NOM;DEF;PL
players	لاعبين	player	لَاعِب	N;PL	N;NOM;INDF;PL
list	قائمة	list	قَائِمَة	N;SG	N;NOM;INDF;SG
list	القائمة	list	قَائِمَة	N;SG	N;NOM;DEF;SG
name	اسم	name	اِسم	N;SG	N;NOM;INDF;SG
name	الاسم	name	اِسم	N;SG	N;NOM;DEF;SG
group	مجموعة	group	مَجمُوعَة	N;SG	N;NOM;INDF;SG
group	المجموعة	group	مَجمُوعَة	N;SG	N;NOM;DEF;SG
history	التاريخ	history	تَارِيخ	N;SG	N;NOM;DEF;SG
history	تاريخ	history	تَارِيخ	N;SG	N;NOM;INDF;SG
series	مسلسل	series	مُسَلسَل	N;SG	N;NOM;INDF;SG
series	سلسلة	series	سِلسِلَة	N;SG	N;NOM;INDF;SG
series	السلسلة	series	سِلسِلَة	N;SG	N;NOM;DEF;SG
just	فقط	just	فَقَط	ADV	ADV
work	العمل	work	عَمَل	N;SG	N;NOM;DEF;SG
work	عمل	work	عَمَل	N;SG	N;NOM;INDF;SG
season	موسم	season	مَوسِم	N;SG	N;NOM;INDF;SG
season	الموسم	season	مَوسِم	N;SG	N;NOM;DEF;SG
high	عالي	high	عَالِي	ADJ	ADJ;NOM;INDF;MASC;SG
high	مرتفع	high	مُرتَفِع	ADJ	ADJ;NOM;INDF;MASC;SG
high	عالية	high	عَالِي	ADJ	ADJ;NOM;INDF;FEM;SG
high	عاليا	high	عَالِي	ADJ	ADJ;ACC;INDF;MASC;SG
district	المنطقة	district	مِنطَقَة	N;SG	N;NOM;DEF;SG
district	المقاطعة	district	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
district	منطقة	district	مِنطَقَة	N;SG	N;NOM;INDF;SG
comments	تعليقات	comment	تَعلِيق	N;PL	N;NOM;INDF;PL
comments	التعليقات	comment	تَعلِيق	N;PL	N;NOM;DEF;PL
music	موسيقى	music	مُوسِيقِيّ	N;SG	N;NOM;INDF;SG
music	موسيقي	music	مُوسِيقِيّ	N;SG	N;NOM;INDF;SG
music	الموسيقى	music	الموسيقى	N;SG	N;NOM;DEF;SG
century	قرن	century	قَرن	N;SG	N;NOM;INDF;SG
century	القرن	century	قَرن	N;SG	N;NOM;DEF;SG
edits	تعديلات	edit	تَعدِيل	N;PL	N;NOM;INDF;PL
edits	التعديلات	edit	تَعدِيل	N;PL	N;NOM;DEF;PL
debate	مناقشة	debate	مُنَاقَشَة	N;SG	N;NOM;INDF;SG
debate	المناظرة	debate	مُنَاظَرَة	N;SG	N;NOM;DEF;SG
debate	نقاش	debate	نِقَاش	N;SG	N;NOM;INDF;SG
debate	المناقشة	debate	مُنَاقَشَة	N;SG	N;NOM;DEF;SG
title	اللقب	title	لَقَب	N;SG	N;NOM;DEF;SG
title	العنوان	title	عُنوَان	N;SG	N;NOM;DEF;SG
title	عنوان	title	عُنوَان	N;SG	N;NOM;INDF;SG
articles	مقالات	article	مَقَالَة	N;PL	N;NOM;INDF;PL
articles	المقالات	article	المقالات	N;PL	N;NOM;DEF;PL
album	الالبوم	album	أَلبُوم	N;SG	N;NOM;DEF;SG
number	عدد	number	عَدَد	N;SG	N;NOM;INDF;SG
number	العدد	number	عَدَد	N;SG	N;NOM;DEF;SG
number	الرقم	number	رَقم	N;SG	N;NOM;DEF;SG
number	رقم	number	رَقم	N;SG	N;NOM;INDF;SG
against	ضد	against	ضِدَّ	ADP	ADP;ACC
family	عائلة	family	عَائِلَة	N;SG	N;NOM;INDF;SG
family	الاسرة	family	أُسرَة	N;SG	N;NOM;DEF;SG
family	اسرة	family	أُسرَة	N;SG	N;NOM;INDF;SG
family	العائلة	family	عَائِلَة	N;SG	N;NOM;DEF;SG
user	مستخدم	user	مُستَخدَم	N;SG	N;NOM;INDF;SG
user	المستخدم	user	مُستَخدَم	N;SG	N;NOM;DEF;SG
user	مستعمل	user	مُستَعمَل	N;SG	N;NOM;INDF;SG
area	مساحة	area	مِسَاحَة	N;SG	N;NOM;INDF;SG
area	المساحة	area	مِسَاحَة	N;SG	N;NOM;DEF;SG
area	منطقة	area	مِنطَقَة	N;SG	N;NOM;INDF;SG
area	المنطقة	area	مِنطَقَة	N;SG	N;NOM;DEF;SG
life	الحياة	life	حَيَاة	N;SG	N;NOM;DEF;SG
life	الحياه	life	حِيَاه	N;SG	N;NOM;DEF;SG
life	حياة	life	حَيَاة	N;SG	N;NOM;INDF;SG
british	بريطاني	british	برِيطَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
british	بريطانية	british	برِيطَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
british	البريطانية	british	برِيطَانِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
international	الدولية	international	دُوَلِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
international	الدولي	international	دُوَلِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
international	دولية	international	دُوَلِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
international	دولي	international	دُوَلِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
game	لعبة	game	لُعبَة	N;SG	N;NOM;INDF;SG
game	مباراة	game	مُبَارَاة	N;SG	N;NOM;INDF;SG
game	المباراة	game	مُبَارَاة	N;SG	N;NOM;DEF;SG
game	اللعبة	game	لَعبَة	N;SG	N;NOM;DEF;SG
club	النادي	club	نَادِي	N;SG	N;NOM;DEF;SG
club	ناد	club	نَادِي	N;SG	N;NOM;INDF;SG
best	الافضل	best	أَفضَل	ADJ;RL	ADJ;NOM;DEF;MASC;SG
best	افضل	best	أَفضَل	ADJ;RL	ADJ;NOM;INDF;MASC;SG
house	المنزل	house	مَنزِل	N;SG	N;NOM;DEF;SG
house	منزل	house	مَنزِل	N;SG	N;NOM;INDF;SG
house	البيت	house	بَيت	N;SG	N;NOM;DEF;SG
company	شركة	company	شَرِكَة	N;SG	N;NOM;INDF;SG
company	الشركة	company	شَرِكَة	N;SG	N;NOM;DEF;SG
company	رفقة	company	رِفقَة	N;SG	N;NOM;INDF;SG
general	عامة	general	عَامّ	ADJ	ADJ;NOM;INDF;FEM;SG
here	هنا	here	هُنَا	ADV	ADV
living	المعيشة	living	مَعِيشَة	N;SG	N;NOM;DEF;SG
living	العيش	living	عَيش	N;SG	N;NOM;DEF;SG
day	اليوم	day	يَوم	N;SG	N;ACC;DEF;SG
day	يوم	day	يَوم	N;SG	N;NOM;INDF;SG
place	مكان	place	مَكَان	N;SG	N;NOM;INDF;SG
place	المكان	place	مَكَان	N;SG	N;NOM;DEF;SG
party	حفلة	party	حَفلَة	N;SG	N;NOM;INDF;SG
party	الطرف	party	طَرَف	N;SG	N;NOM;DEF;SG
party	حزب	party	حِزب	N;SG	N;NOM;INDF;SG
party	حفل	party	حَفل	N;SG	N;NOM;INDF;SG
party	الحزب	party	حِزب	N;SG	N;NOM;DEF;SG
college	كلية	college	كُلِّيَّة	N;SG	N;NOM;INDF;SG
college	الكلية	college	كُلِّيَّة	N;SG	N;NOM;DEF;SG
college	الجامعة	college	جَامِعَة	N;SG	N;NOM;DEF;SG
result	نتيجة	result	نَتِيجَة	N;SG	N;ACC;INDF;SG
result	النتيجة	result	نَتِيجَة	N;SG	N;NOM;DEF;SG
keep	احتفظ	keep	اِحتَفَظ	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
four	اربع	four	أَربَعَة	NUM	NUM;NOM;INDF;FEM
four	اربعة	four	أَربَعَة	NUM	NUM;NOM;INDF;MASC
even	حتى	even	حَتَّى	ADV	ADV
class	الطبقة	class	طَبَقَة	N;SG	N;NOM;DEF;SG
class	الفصل	class	فَصل	N;SG	N;NOM;DEF;SG
class	صف	class	صَفّ	N;SG	N;NOM;INDF;SG
class	الصف	class	صَفّ	N;SG	N;NOM;DEF;SG
class	الفئة	class	فِئَة	N;SG	N;NOM;DEF;SG
government	الحكومة	government	حُكُومَة	N;SG	N;NOM;DEF;SG
government	حكومة	government	حُكُومَة	N;SG	N;NOM;INDF;SG
called	دعا	call	دَعَا	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
called	اتصلت	call	اِتَّصَل	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
found	وجد	find	وَجَد	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
found	خلصت	find	خَلَّص	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
found	وجدت	find	وَجَد	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
center	المركز	center	مَركَز	N;SG	N;NOM;DEF;SG
center	المنتصف	center	مُنتَصَف	N;SG	N;NOM;DEF;SG
center	الوسط	center	وَسط	N;SG	N;NOM;DEF;SG
center	مركز	center	مَركَز	N;SG	N;NOM;INDF;SG
style	اسلوب	style	أُسلُوب	N;SG	N;NOM;INDF;SG
style	النمط	style	نَمَط	N;SG	N;NOM;DEF;SG
style	الاسلوب	style	أُسلُوب	N;SG	N;NOM;DEF;SG
com	كوم	com	كوم	N;SG	N;NOM;INDF;SG
country	بلد	country	بَلَد	N;SG	N;NOM;INDF;SG
country	البلد	country	بَلَد	N;SG	N;NOM;DEF;SG
way	الطريق	way	طَرِيق	N;SG	N;NOM;DEF;SG
way	طريقة	way	طَرِيقَة	N;SG	N;NOM;INDF;SG
way	الطريقة	way	طَرِيقَة	N;SG	N;NOM;DEF;SG
end	نهاية	end	نِهَايَة	N;SG	N;NOM;INDF;SG
end	النهاية	end	نِهَايَة	N;SG	N;NOM;DEF;SG
make	جعل	make	جَعَل	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
make	صنع	make	صَنَع	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
make	اجعل	make	أَجعَل	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
make	اصنع	make	أَصنَع	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
public	عامة	public	عَامّ	ADJ	ADJ;NOM;INDF;FEM;SG
public	علنية	public	عَلَنِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
played	لعبت	play	لَعِب	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
won	فاز	win	فَاز	V;PST;FIN	V;PFV;MASC;SG;3;ACT
added	اضاف	add	أَضَاف	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
added	اضيفت	add	أَضَاف	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
support	دعم	support	دَعم	N;SG	N;NOM;INDF;SG
support	الدعم	support	دَعم	N;SG	N;NOM;DEF;SG
games	المباريات	game	مُبَارَاة	N;PL	N;NOM;DEF;PL
games	الالعاب	game	لَعب	N;PL	N;NOM;DEF;PL
games	مباريات	game	مُبَارَاة	N;PL	N;NOM;INDF;PL
former	سابق	former	سَابِق	ADJ	ADJ;NOM;INDF;MASC;SG
films	الافلام	film	فِيلم	N;PL	N;NOM;DEF;PL
films	افلام	film	فِيلم	N;PL	N;NOM;INDF;PL
church	كنيسة	church	كَنِيسَة	N;SG	N;NOM;INDF;SG
church	الكنيسة	church	كَنِيسَة	N;SG	N;NOM;DEF;SG
line	سطر	line	سِطر	N;SG	N;NOM;INDF;SG
line	السطر	line	سِطر	N;SG	N;NOM;DEF;SG
line	الخط	line	خَطّ	N;SG	N;NOM;DEF;SG
line	خط	line	خَطّ	N;SG	N;NOM;INDF;SG
members	الاعضاء	member	عُضو	N;PL	N;NOM;DEF;PL
members	اعضاء	member	عُضو	N;PL	N;NOM;INDF;PL
good	خير	good	خَير	ADJ	ADJ;NOM;INDF;MASC;SG
good	جيد	good	جَيِّد	ADJ	ADJ;NOM;INDF;MASC;SG
image	صورة	image	صُورَة	N;SG	N;NOM;INDF;SG
image	الصورة	image	صُورَة	N;SG	N;NOM;DEF;SG
show	اظهر	show	أَظهَر	V;IMP;FIN	V;PFV;MASC;SG;3;ACT
tow	بلدة	tow	بَلدَة	N;SG	N;NOM;INDF;SG
tow	المدينة	tow	مَدِينَة	N;SG	N;NOM;DEF;SG
tow	البلدة	tow	بَلدَة	N;SG	N;NOM;DEF;SG
last	الاخيرة	last	أَخِير	ADJ	ADJ;NOM;DEF;FEM;SG
last	اخر	last	آخَر	ADJ	ADJ;NOM;INDF;MASC;SG
last	اخير	last	أَخِير	ADJ	ADJ;NOM;INDF;MASC;SG
last	الاخير	last	أَخِير	ADJ	ADJ;NOM;DEF;MASC;SG
system	نظام	system	نِظَام	N;SG	N;NOM;INDF;SG
system	النظام	system	نِظَام	N;SG	N;NOM;DEF;SG
system	المنظومة	system	مَنظُومَة	N;SG	N;NOM;DEF;SG
song	الاغنية	song	أَغنِيّ	N;SG	N;NOM;DEF;SG
song	اغنية	song	أَغنِيّ	N;SG	N;NOM;INDF;SG
notable	ملحوظ	notable	مَلحُوظ	ADJ	ADJ;NOM;INDF;MASC;SG
section	القسم	section	قِسم	N;SG	N;NOM;DEF;SG
section	قسم	section	قِسم	N;SG	N;NOM;INDF;SG
section	الفرع	section	فَرع	N;SG	N;NOM;DEF;SG
included	شملت	include	شَمَل	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
included	شمل	include	شَمِل	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
home	المنزل	home	مَنزِل	N;SG	N;NOM;DEF;SG
home	الوطن	home	وَطَن	N;SG	N;NOM;DEF;SG
home	منزل	home	مَنزِل	N;SG	N;NOM;INDF;SG
home	البيت	home	بَيت	N;SG	N;NOM;DEF;SG
television	تلفاز	television	تَلفَاز	N;SG	N;NOM;INDF;SG
television	التلفاز	television	تَلَفُّز	N;SG	N;NOM;DEF;SG
television	تلفزيون	television	تِلفِزيُون	N;SG	N;NOM;INDF;SG
television	التلفزيون	television	تِلفِزيُون	N;SG	N;NOM;DEF;SG
seed	بذرة	seed	بِذرَة	N;SG	N;NOM;INDF;SG
member	عضوة	member	عُضوَة	N;SG	N;NOM;INDF;SG
member	عضو	member	عُضو	N;SG	N;NOM;INDF;SG
member	العضو	member	عُضو	N;SG	N;NOM;DEF;SG
goals	اهداف	goal	هَدَف	N;PL	N;NOM;INDF;PL
goals	الاهداف	goal	هَدَف	N;PL	N;NOM;DEF;PL
goals	الغايات	goal	غَايَة	N;PL	N;NOM;DEF;PL
sources	مصادر	source	مَصدَر	N;PL	N;NOM;INDF;PL
sources	المصادر	source	مَصدَر	N;PL	N;NOM;DEF;PL
book	الكتاب	book	كِتَاب	N;SG	N;NOM;DEF;SG
book	كتاب	book	كِتَاب	N;SG	N;NOM;INDF;SG
station	المحطة	station	مَحَطَّة	N;SG	N;NOM;DEF;SG
station	محطة	station	مَحَطَّة	N;SG	N;NOM;INDF;SG
order	امر	order	أَمر	N;SG	N;NOM;INDF;SG
order	طلب	order	طَلَب	N;SG	N;NOM;INDF;SG
order	ترتيب	order	تَرتِيب	N;SG	N;NOM;INDF;SG
order	الطلب	order	طَلَب	N;SG	N;NOM;DEF;SG
order	النظام	order	نِظَام	N;SG	N;NOM;DEF;SG
old	قديمة	old	قَدِيم	ADJ	ADJ;NOM;INDF;FEM;SG
old	قديم	old	قَدِيم	ADJ	ADJ;NOM;INDF;MASC;SG
old	القديم	old	قَدِيم	ADJ	ADJ;NOM;DEF;MASC;SG
information	الاعلام	information	إِعلَام	N;SG	N;NOM;DEF;SG
text	نص	text	نَصّ	N;SG	N;NOM;INDF;SG
text	النص	text	نَصّ	N;SG	N;NOM;DEF;SG
band	فرقة	band	فِرقَة	N;SG	N;NOM;INDF;SG
band	الفرقة	band	فِرقَة	N;SG	N;NOM;DEF;SG
point	نقطة	point	نُقطَة	N;SG	N;NOM;INDF;SG
point	النقطة	point	نُقطَة	N;SG	N;NOM;DEF;SG
local	محلي	local	مَحَلِّيّ	ADJ	ADJ;NOM;INDF;MASC;SG
local	محلية	local	مَحَلِّيّ	ADJ	ADJ;NOM;INDF;FEM;SG
local	المحلية	local	مَحَلِّيّ	ADJ	ADJ;NOM;DEF;FEM;SG
local	محليا	local	مَحَلِّيّ	ADJ	ADJ;ACC;INDF;MASC;SG
local	المحلي	local	مَحَلِّيّ	ADJ	ADJ;NOM;DEF;MASC;SG
river	النهر	river	نَهر	N;SG	N;NOM;DEF;SG
river	نهر	river	نَهر	N;SG	N;NOM;INDF;SG
top	القمة	top	قِمَّة	N;SG	N;NOM;DEF;SG
top	قمة	top	قِمَّة	N;SG	N;NOM;INDF;SG
main	رئيسية	main	رَئِيسِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
main	الرئيسية	main	رَئِيسِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
language	لغة	language	لُغَة	N;SG	N;NOM;INDF;SG
language	اللغة	language	لُغَة	N;SG	N;NOM;DEF;SG
french	فرنسيا	french	فَرَنسِيّ	ADJ	ADJ;ACC;INDF;MASC;SG
french	فرنسية	french	فَرَنسِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
french	فرنسي	french	فَرَنسِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
named	سميت	name	سَمَّى	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
note	ملاحظة	note	مُلَاحِظَة	N;SG	N;NOM;INDF;SG
note	الملاحظة	note	مُلَاحَظَة	N;SG	N;NOM;DEF;SG
career	مسير	career	مَسِير	N;SG	N;NOM;INDF;SG
career	المهنة	career	مُهَنِّئ	N;SG	N;NOM;DEF;SG
career	مهنة	career	مِهنَة	N;SG	N;NOM;INDF;SG
original	الاصلي	original	أَصلِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
original	الاصلية	original	أَصلِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
original	اصلية	original	أَصلِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
age	السن	age	سِنّ	N;SG	N;NOM;DEF;SG
age	العمر	age	عُمر	N;SG	N;NOM;DEF;SG
service	الخدمة	service	خِدمَة	N;SG	N;NOM;DEF;SG
service	خدمة	service	خِدمَة	N;SG	N;NOM;INDF;SG
established	انشئت	establish	أَنشَأ	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
said	قالت	say	قَال	V;IND;PST;FIN	V;PFV;FEM;SG;3;ACT
said	قال	say	قَال	V;IND;PST;FIN	V;PFV;MASC;SG;3;ACT
said	قالو	say	قَالُو	V;IND;PST;FIN	V;PFV;MASC;SG;3;ACT
air	هواء	air	هَوَاء	N;SG	N;NOM;INDF;SG
air	الهواء	air	هَوَاء	N;SG	N;NOM;DEF;SG
german	الالمانية	german	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
german	الالماني	german	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
german	الماني	german	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
german	المانية	german	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
law	القانون	law	قَانُون	N;SG	N;NOM;DEF;SG
law	قانون	law	قَانُون	N;SG	N;NOM;INDF;SG
military	عسكرية	military	عَسكَرِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
military	العسكري	military	عَسكَرِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
military	عسكري	military	عَسكَرِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
great	عظيم	great	عظيم	ADJ	ADJ;NOM;INDF;MASC;SG
great	عظيمة	great	عَظِيمَة	ADJ	ADJ;NOM;INDF;FEM;SG
great	العظيم	great	عَظِيم	ADJ	ADJ;NOM;DEF;MASC;SG
clubs	نوادي	club	نوادي	N;PL	N;NOM;INDF;PL
clubs	اندية	club	نَادِي	N;PL	N;NOM;INDF;PL
clubs	الاندية	club	نَادِي	N;PL	N;NOM;DEF;PL
clubs	النوادي	club	نَادِي	N;PL	N;NOM;DEF;PL
published	نشرت	publish	نَشَر	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
park	حديقة	park	حَدِيقَة	N;SG	N;NOM;INDF;SG
