den	den	den	den	PRO;ACC;MASC+FEM;SG;3	PRO;SG;3
skal	bør	skulle	burde	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
skal	må	skulle	måtte	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
have	har	have	ha	V;NFIN;ACT	V;IND;PRS;FIN
have	ha	have	ha	V;NFIN;ACT	V;IMP;FIN
store	store	stor	stor	ADJ;PL	ADJ;PL
meget	svært	meget	svær	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
meget	veldig	meget	veldig	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
været	vært	være	vært	V;INDF;SG;PST;V.PTCP	V;V.PTCP
bliver	blir	blive	bli	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
end	enn	end	enn	ADP	ADP
vil	ønsker	ville	ønske	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
vil	vil	ville	vilje	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
omkring	omtrent	omkring	omtrent	ADV	ADV
blevet	vore	blive	vere	V;INDF;SG;PST;V.PTCP	V;V.PTCP
skulle	skulle	skulle	skulle	V;IND;PST;FIN;ACT	V;IND;PST;FIN
skulle	burde	skulle	burde	V;IND;PST;FIN;ACT	V;IND;PST;FIN
tre	tre	tre	tre	NUM	NUM;PL
tre	tre	tre	tre	NUM	NUM;PL
blandt	blant	blandt	blant	ADP	ADP
blandt	blant	blandt	blant	ADP	ADP
byen	byen	by	by	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
byen	city	by	city	N;DEF;MASC+FEM;SG	N
byen	byen	by	by	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
maj	mai	maj	mai	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
maj	may	maj	may	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mens	mens	mens	mens	CONJ	CONJ
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
dag	day	dag	day	N;INDF;MASC+FEM;SG	N;INDF;SG
her	her	her	her	ADV	ADV
kommune	kommune	kommune	kommune	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
død	død	død	død	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
død	death	død	death	N;INDF;MASC+FEM;SG	N
død	dødsstraff	død	dødsstraff	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
død	død	død	død	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
død	dead	død	dead	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
findes	eksisterer	findes	eksistere	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
findes	eksisterer	findes	eksistere	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
august	august	august	august	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
gang	tid	gang	tid	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
gang	klokkeslett	gang	klokkeslett	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
gang	gang	gang	gang	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
forskellige	ulike	forskellig	ulik	ADJ;PL	ADJ;PL
forskellige	forskjellige	forskellig	forskjellig	ADJ;PL	ADJ;PL
forskellige	ymse	forskellig	ymis	ADJ;PL	ADJ;PL
forskellige	diverse	forskellig	diverse	ADJ;PL	ADJ;PL
tid	tid	tid	tid	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
tid	klokkeslett	tid	klokkeslett	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
tid	gang	tid	gang	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
nye	nye	ny	ny	ADJ;PL	ADJ;PL
januar	januar	januar	januar	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stor	stor	stor	stor	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;SG
stor	stort	stor	stor	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
stor	stor	stor	stor	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;SG
stor	stort	stor	stor	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
stor	flott	stor	flott	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
stor	supert	stor	super	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
stor	kjempefint	stor	kjempefint	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
hold	holde	holde	holde	V;IMP	V;IMP;FIN
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
juni	june	juni	june	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kendt	kjent	kendt	kjent	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
kendt	berømt	kendt	berømme	ADJ;INDF;SG	ADJ;INDF;SG
sogn	kommune	sogn	kommune	N;INDF;NEUT;SG	N;INDF;MASC;SG
sogn	prestegjeld	sogn	prestegjeld	N;INDF;NEUT;SG	N;INDF;NEUT;SG
september	september	september	september	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
april	april	april	april	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
oktober	oktober	oktober	oktober	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
oktober	october	oktober	october	N;INDF;MASC+FEM;SG	N
marts	marsjer	marts	marsje	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
marts	march	marts	march	N;INDF;MASC+FEM;SG	N
marts	marsj	marts	marsj	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
marts	mars	marts	mars	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
juli	july	juli	july	N;INDF;MASC+FEM;SG	N
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kirke	kirka	kirke	kirk	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
kirke	kirke	kirke	kirke	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
række	rad	række	rad	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
derfor	derav	derfor	derav	ADV	ADV
derfor	derfor	derfor	derfor	ADV	ADV
navn	namn	navn	namn	N;INDF;NEUT;SG	N;INDF;NEUT;SG
navn	navn	navn	navn	N;INDF;NEUT;SG	N;INDF;NEUT;SG
november	november	november	november	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
december	desember	december	desember	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ville	ville	ville	vilje	V;IND;PST;FIN;ACT	V;IND;PST;FIN
først	først	først	først	ADV	ADV
mål	mål	mål	mål	N;INDF;NEUT;SG	N;INDF;NEUT;SG
mål	goals	mål	goal	N;INDF;NEUT;SG	N;INDF;SG
mål	målsetting	mål	målsetting	N;INDF;NEUT;SG	N;INDF;FEM;SG
film	filmer	film	film	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
film	filmer	film	film	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
film	movie	film	movie	N;INDF;MASC+FEM;PL	N;INDF
sidste	siste	sidste	sist	ADJ	ADJ;DEF;SG
blive	bli	blive	bli	V;NFIN;ACT	V;IMP;FIN
gik	gikk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gik	dro	gå	dro	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gik	gjekk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gik	gikk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gik	gått	gå	gå	V;IND;PST;FIN;ACT	V;V.PTCP
gik	gjekk	gå	gå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
februar	februar	februar	februar	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
fire	fire	fire	fire	NUM	NUM;PL
frem	fremover	frem	fremover	ADV	ADV
største	største	stor	stor	ADJ;DEF;RL	ADJ;DEF;RL
største	største	stor	stor	ADJ;DEF;RL	ADJ;DEF;RL
største	største	stor	stor	ADJ;DEF;RL	ADJ;DEF;RL
hjemmeside	nettsted	hjemmeside	nettsted	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
hjemmeside	nettside	hjemmeside	nettside	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
hjemmeside	hjemmeside	hjemmeside	hjemmeside	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
side	side	side	side	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
side	page	side	page	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
side	side	side	side	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
medlem	medlem	medlem	medlem	N;INDF;NEUT;SG	N;INDF;MASC;SG
større	større	stor	stor	ADJ;CMPR	ADJ;CMPR
større	større	stor	stor	ADJ;CMPR	ADJ;CMPR
større	større	stor	stor	ADJ;CMPR	ADJ;CMPR
spillede	spilte	spille	spilte	V;IND;PST;FIN;ACT	V;IND;PST;FIN
igen	igjen	igen	igjen	ADV	ADV
søn	sønn	søn	sønn	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
søn	son	søn	son	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
grund	årsak	grund	årsak	N;INDF;NEUT;SG	N;INDF;FEM;SG
grund	fornuft	grund	fornuft	N;INDF;NEUT;SG	N;INDF;FEM;SG
grund	grunn	grund	grunn	N;INDF;NEUT;SG	N;INDF;MASC;SG
tog	trene	tage	trene	V;IND;PST;FIN;ACT	V;NFIN
tog	tok	tage	ta	V;IND;PST;FIN;ACT	V;IND;PST;FIN
amerikansk	amerikansk	amerikansk	amerikansk	ADJ;INDF;SG	ADJ;INDF;SG
lille	lite	lille	lite	ADJ;SG	ADJ;INDF;NEUT;SG
lille	smått	lille	liten	ADJ;SG	ADJ;INDF;NEUT;SG
lille	liten	lille	liten	ADJ;SG	ADJ;INDF;MASC;SG
lille	lite	lille	lite	ADJ;SG	ADJ;INDF;NEUT;SG
lille	liten	lille	liten	ADJ;SG	ADJ;INDF;MASC;SG
således	dermed	således	dermed	ADV	ADV
artikler	artikler	artikel	artikke	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
begyndte	begynte	begynde	begynne	V;IND;PST;FIN;ACT	V;IND;PST;FIN
begyndte	begynte	begynde	begynne	V;IND;PST;FIN;ACT	V;IND;PST;FIN
udgivet	publiserte	udgive	publisere	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN
gamle	gamle	gammel	gammal	ADJ;PL	ADJ;PL
gange	tidspunkter	gang	tidspunkt	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
gange	tider	gang	tid	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
gange	ganger	gang	gange	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
bedste	beste	god	god	ADJ;DEF;RL	ADJ;DEF;RL
døde	døde	død	død	ADJ;PL	ADJ;PL
døde	døde	død	død	ADJ;PL	ADJ;PL
amerikanske	amerikanske	amerikansk	amerikansk	ADJ;PL	ADJ;PL
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
gruppe	gruppe	gruppe	gruppe	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
stedet	place	sted	place	N;DEF;NEUT;SG	N
spillet	spilte	spille	spilte	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN
forbindelse	forbindelse	forbindelse	forbindelse	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
forbindelse	tilkobling	forbindelse	tilkobling	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
allerede	allerede	allerede	allerede	ADV	ADV
allerede	allereie	allerede	allereie	ADV	ADV
historie	hendelse	historie	hendelse	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
historie	story	historie	story	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
historie	historie	historie	historie	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
historie	historikk	historie	historikk	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
historie	history	historie	history	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
historie	historie	historie	historie	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
århundrede	århundre	århundrede	århundre	N;INDF;NEUT;SG	N;INDF;NEUT;SG
stadig	framleis	stadig	framleis	ADV	ADV
stadig	likevel	stadig	likevel	ADV	ADV
sted	spisested	sted	spisested	N;INDF;NEUT;SG	N;INDF;MASC;SG
sted	place	sted	place	N;INDF;NEUT;SG	N
sted	lokalisering	sted	lokalisering	N;INDF;NEUT;SG	N;INDF;FEM;SG
sted	lokasjon	sted	lokasjon	N;INDF;NEUT;SG	N;INDF;MASC;SG
sted	posisjon	sted	posisjon	N;INDF;NEUT;SG	N;INDF;MASC;SG
sted	plassering	sted	plassering	N;INDF;NEUT;SG	N;INDF;FEM;SG
gift	gift	gift	gift	ADJ;INDF;SG	ADJ;INDF;SG
gift	gifta	gift	gifte	ADJ;INDF;SG	ADJ;INDF;SG;V.PTCP
gift	gift	gift	gift	ADJ;INDF;SG	ADJ;INDF;SG
center	sentrum	center	sentrum	N;INDF;NEUT;SG	N;INDF;NEUT;SG
center	center	center	cente	N;INDF;NEUT;SG	N;INDF;NEUT;SG
center	senter	center	senter	N;INDF;NEUT;SG	N;INDF;NEUT;SG
center	senter	center	senter	N;INDF;NEUT;SG	N;INDF;NEUT;SG
center	centre	center	cente	N;INDF;NEUT;SG	N;INDF;MASC;SG
forhold	relasjoner	forhold	relasjon	N;INDF;NEUT;SG	N;INDF;MASC;SG
forhold	forhold	forhold	forhold	N;INDF;NEUT;SG	N;INDF;NEUT;SG
forhold	relasjon	forhold	relasjon	N;INDF;NEUT;SG	N;INDF;MASC;SG
forhold	forhold	forhold	forhold	N;INDF;NEUT;SG	N;INDF;NEUT;SG
spiller	spiller	spille	spille	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
spiller	spiller	spille	spille	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
spiller	spiller	spille	spille	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
kampe	kamper	kamp	kamp	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
kampe	kamper	kamp	kamp	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
kampe	kamper	kamp	kamp	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
kampe	kamper	kamp	kamp	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
dermed	dermed	dermed	dermed	ADV	ADV
går	går	gå	gå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
går	går	gå	gå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
går	skal	gå	skulle	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
går	går	gå	gå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
går	går	gå	gå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
fordi	fordi	fordi	fordi	CONJ	CONJ
syd	syd	syd	syd	N;INDF	N;INDF;MASC;SG
syd	syd	syd	syd	N;INDF	N;INDF;MASC;SG
består	består	bestå	bestå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
frederik	frederik	frederik	frederik	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
frederik	frederick	frederik	frederick	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
form	shape	form	shape	N;INDF;MASC+FEM;SG	N
form	form	form	form	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
form	fasong	form	fasong	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
form	skjema	form	skjeme	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
gjorde	gjorde	gøre	gjere	V;IND;PST;FIN;ACT	V;IND;PST;FIN
arbejde	arbeid	arbejde	arbeid	N;INDF;NEUT;SG	N;INDF;NEUT;SG
arbejde	jobb	arbejde	jobb	N;INDF;NEUT;SG	N;INDF;MASC;SG
land	fedreland	land	fedreland	N;INDF;NEUT;SG	N;INDF;NEUT;SG
land	land	land	land	N;INDF;NEUT;SG	N;INDF;NEUT;SG
land	country	land	country	N;INDF;NEUT;SG	N;INDF
land	land	land	land	N;INDF;NEUT;SG	N;INDF;NEUT;SG
player	player	play	play	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
landet	landet	land	land	N;DEF;NEUT;SG	N;DEF;NEUT;SG
børn	ungdommer	barn	ungdom	N;INDF;NEUT;PL	N;INDF;MASC;PL
børn	barn	barn	barn	N;INDF;NEUT;PL	N;INDF;NEUT;PL
børn	barn	barn	barn	N;INDF;NEUT;PL	N;INDF;NEUT;PL
http	http	http	http	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
verden	world	verden	world	N;INDF;MASC+FEM;SG	N
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;SG
lang	lenge	lang	lenge	ADJ;INDF;MASC+FEM;SG	ADJ
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;SG
plads	spisested	plads	spisested	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
plads	place	plads	place	N;INDF;MASC+FEM;SG	N
plads	rom	plads	rom	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
plads	space	plads	space	N;INDF;MASC+FEM;SG	N
plads	plass	plads	plass	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
får	får	få	få	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
får	henter	få	hente	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
stort	stor	stor	stor	ADJ;INDF;NEUT;SG	ADJ;INDF;SG
stort	stort	stor	stor	ADJ;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
stort	stor	stor	stor	ADJ;INDF;NEUT;SG	ADJ;INDF;SG
stort	stort	stor	stor	ADJ;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
derefter	deretter	derefter	deretter	ADV	ADV
derefter	så	derefter	så	ADV	ADV
derefter	da	derefter	da	ADV	ADV
indeholder	inneheld	indeholde	innehalde	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
sprog	språk	sprog	språk	N;INDF;NEUT;SG	N;INDF;NEUT;SG
sprog	språk	sprog	språk	N;INDF;NEUT;SG	N;INDF;NEUT;SG
endnu	enda	endnu	enda	ADV	ADV
endnu	enno	endnu	enno	ADV	ADV
endnu	likevel	endnu	likevel	ADV	ADV
endnu	ennå	endnu	ennå	ADV	ADV
kendte	visste	kende	vite	V;IND;PST;FIN;ACT	V;IND;PST;FIN
gav	gav	give	gje	V;IND;PST;FIN;ACT	V;IND;PST;FIN
kilder	kilder	kilde	kilder	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
mand	hann	mand	hinne	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mand	ektemann	mand	ektemann	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mand	mannfolk	mand	mannfolk	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
mand	mann	mand	mann	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
vest	west	vest	west	N;INDF	N;INDF;MASC;SG
vest	western	vest	western	N;INDF	N
medlemmer	medlemmer	medlem	medlem	N;INDF;NEUT;PL	N;INDF;MASC;PL
medlemmer	medlemer	medlem	medlem	N;INDF;NEUT;PL	N;INDF;MASC;PL
brug	bruk	brug	bruk	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
lande	country	land	country	N;INDF;NEUT;PL	N;INDF
skuespiller	skuespillerinne	skuespiller	skuespillerinne	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
skuespiller	skuespiller	skuespiller	skuespille	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
skuespiller	aktør	skuespiller	aktør	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
skuespiller	skuespiller	skuespiller	skuespille	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
liv	liv	liv	liv	N;INDF;NEUT;SG	N;INDF;NEUT;SG
liv	life	liv	life	N;INDF;NEUT;SG	N;INDF;MASC;SG
liv	lives	liv	lives	N;INDF;NEUT;SG	N;INDF;MASC;SG
dele	deler	del	del	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
dele	deler	del	del	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
fem	fem	fem	fem	NUM	NUM;PL
personer	personer	person	person	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
personer	personer	person	person	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
personer	personar	person	person	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
personer	folk	person	folk	N;INDF;MASC+FEM;PL	N;INDF;NEUT;PL
øst	øst	øst	øs	N;INDF	N;INDF;NEUT;SG
øst	østlig	øst	østlig	N;INDF	N;INDF;MASC;SG
øst	øst	øst	øs	N;INDF	N;INDF;NEUT;SG
forfatter	forfatter	forfatter	forfatter	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
forfatter	skribent	forfatter	skribent	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
forfatter	forfatter	forfatter	forfatter	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
nok	nok	nok	nok	ADV	ADV
album	album	album	album	N;INDF;NEUT;SG	N;INDF;NEUT;SG
album	album	album	album	N;INDF;NEUT;SG	N;INDF;NEUT;SG
næsten	nesten	næsten	nesten	ADV	ADV
næsten	nesten	næsten	nesten	ADV	ADV
areal	areal	areal	areal	N;INDF;NEUT;SG	N;INDF;NEUT;SG
areal	område	areal	område	N;INDF;NEUT;SG	N;INDF;NEUT;SG
areal	area	areal	area	N;INDF;NEUT;SG	N;INDF;MASC;SG
giver	gir	give	gi	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
giver	gir	give	gi	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
giver	gjev	give	gje	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
mennesker	personer	menneske	person	N;INDF;NEUT;PL	N;INDF;FEM;PL
mennesker	personar	menneske	person	N;INDF;NEUT;PL	N;INDF;MASC;PL
mennesker	folk	menneske	folk	N;INDF;NEUT;PL	N;INDF;NEUT;PL
skrev	skreiv	skrive	skrive	V;IND;PST;FIN;ACT	V;IND;PST;FIN
står	står	stå	stå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
står	står	stå	stå	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
deltog	deltok	deltage	delta	V;IND;PST;FIN;ACT	V;IND;PST;FIN
deltog	deltok	deltage	delta	V;IND;PST;FIN;ACT	V;IND;PST;FIN
datter	dotter	datter	dotter	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
datter	datter	datter	datter	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
datter	daughter	datter	daughter	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
område	field	område	field	N;INDF;NEUT;SG	N;INDF;NEUT;SG
område	felt	område	felt	N;INDF;NEUT;SG	N;INDF;NEUT;SG
område	jorde	område	jorde	N;INDF;NEUT;SG	N;INDF;NEUT;SG
område	territorium	område	territorium	N;INDF;NEUT;SG	N;INDF;NEUT;SG
område	sone	område	sone	N;INDF;NEUT;SG	N;INDF;FEM;SG
område	zone	område	zone	N;INDF;NEUT;SG	N;INDF
område	areal	område	areal	N;INDF;NEUT;SG	N;INDF;NEUT;SG
område	område	område	område	N;INDF;NEUT;SG	N;INDF;NEUT;SG
område	area	område	area	N;INDF;NEUT;SG	N;INDF;MASC;SG
året	året	år	år	N;DEF;NEUT;SG	N;DEF;NEUT;SG
videre	fremover	videre	fremover	ADV	ADV
slaget	slaget	slag	slag	N;DEF;NEUT;SG	N;DEF;NEUT;SG
måde	veg	måde	veg	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
måde	måte	måde	måte	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
måde	way	måde	way	N;INDF;MASC+FEM;SG	N
udgave	edition	udgave	edition	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
udgave	utgave	udgave	utgave	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
udgave	versjon	udgave	versjon	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
folk	personer	folk	person	N;INDF;NEUT;PL	N;INDF;FEM;PL
folk	personar	folk	person	N;INDF;NEUT;PL	N;INDF;MASC;PL
folk	folk	folk	folk	N;INDF;NEUT;PL	N;INDF;NEUT;PL
far	far	far	far	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
far	fattern	far	fattern	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
far	pappa	far	pappa	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
far	daddy	far	daddy	N;INDF;MASC+FEM;SG	N;INDF;SG
far	pappa	far	pappa	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
far	far	far	far	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
far	fader	far	fad	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
far	father	far	father	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
far	pater	far	pater	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
liste	liste	liste	liste	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
liste	list	liste	list	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
