偵查	prieskum	偵查	prieskum	N	N;INAN;NOM;MASC;SG
申訴	podnet	申訴	podnet	N	N;INAN;NOM;MASC;SG
申訴	sťažnosť	申訴	sťažnosť	N	N;NOM;FEM;SG
申訴	sťažnosti	申訴	sťažnosť	N	N;NOM;FEM;PL
燈塔	majáku	燈塔	maják	N	N;INAN;GEN;MASC;SG
燈塔	maják	燈塔	maják	N	N;INAN;NOM;MASC;SG
燈塔	maják	燈塔	maják	N	N;INAN;NOM;MASC;SG
陡	strmé	陡	strmý	N	N;INAN;NOM;MASC;PL
粉碎	rozbiť	粉碎	rozbiť	V	V;PFV;POS;NFIN
醜聞	škandálu	醜聞	škandál	N	N;INAN;GEN;MASC;SG
醜聞	škandál	醜聞	škandál	N	N;INAN;NOM;MASC;SG
插圖	ilustrácie	插圖	ilustrácia	N	N;NOM;FEM;PL
骨頭	kosti	骨頭	kosť	N	N;NOM;FEM;PL
骨頭	kosť	骨頭	kosť	N	N;NOM;FEM;SG
骨頭	kostí	骨頭	kosť	N	N;GEN;FEM;PL
骨頭	kosti	骨頭	kosť	N	N;NOM;FEM;PL
骨頭	kosť	骨頭	kosť	N	N;NOM;FEM;SG
經理	vedúci	經理	vedúci	N	N;ANIM;NOM;MASC;SG
經理	manažér	經理	manažér	N	N;ANIM;NOM;MASC;SG
經理	správca	經理	správca	N	N;ANIM;NOM;MASC;SG
工資	mzda	工資	mzda	N	N;NOM;FEM;SG
工資	plat	工資	plat	N	N;INAN;NOM;MASC;SG
工資	mzdu	工資	mzda	N	N;ACC;FEM;SG
工資	mzda	工資	mzda	N	N;NOM;FEM;SG
工資	mzda	工資	mzda	N	N;NOM;FEM;SG
工資	mzdy	工資	mzdy	N	N;NOM;FEM;PL
工資	platov	工資	plat	N	N;INAN;GEN;MASC;PL
工資	mzdy	工資	mzdy	N	N;NOM;FEM;PL
工資	platy	工資	plat	N	N;INAN;NOM;MASC;PL
憲兵	žandárstvo	憲兵	žandárstvo	N	N;NOM;NEUT;SG
犀牛	nosorožec	犀牛	nosorožec	N	N;ANIM;NOM;MASC;SG
犀牛	nosorožce	犀牛	nosorožec	N	N;INAN;NOM;MASC;PL
思想	mysliteľ	思想	mysliteľ	N	N;ANIM;NOM;MASC;SG
思想	mysliteľov	思想	mysliteľ	N	N;ANIM;ACC;MASC;PL
乘車	jazdiť	乘車	jazdiť	V	V;IPFV;POS;NFIN
寂寞	osamelosť	寂寞	osamelosť	N	N;NOM;FEM;SG
寂寞	samoty	寂寞	samoty	N	N;NOM;FEM;PL
寂寞	samote	寂寞	samote	N	N;DAT;FEM;SG
叢	balíku	叢	balík	N	N;INAN;DAT;MASC;SG
叢	zväzok	叢	zväzok	N	N;INAN;NOM;MASC;SG
花卉	kvety	花卉	kvety	N	N;INAN;NOM;MASC;PL
花卉	kvetov	花卉	kvet	N	N;INAN;GEN;MASC;PL
花卉	kvietky	花卉	kvietok	N	N;INAN;NOM;MASC;PL
花卉	kvetiny	花卉	kvetina	N	N;NOM;FEM;PL
庭院	dvore	庭院	dvor	N	N;INAN;ESS;MASC;SG
庭院	dvor	庭院	dvor	N	N;INAN;NOM;MASC;SG
庭院	lodenica	庭院	lodenica	N	N;NOM;FEM;SG
庭院	dvore	庭院	dvor	N	N;INAN;ESS;MASC;SG
庭院	dvor	庭院	dvor	N	N;INAN;NOM;MASC;SG
庭院	lodenice	庭院	lodenica	N	N;NOM;FEM;PL
樞紐	uzly	樞紐	uzla	N	N;INAN;NOM;MASC;PL
樞紐	strediská	樞紐	stredisko	N	N;NOM;NEUT;PL
樞紐	huba	樞紐	huba	N	N;NOM;FEM;SG
樞紐	náboj	樞紐	náboj	N	N;INAN;NOM;MASC;SG
仙女	víly	仙女	víla	N	N;NOM;FEM;PL
仙女	víla	仙女	víla	N	N;NOM;FEM;SG
煙花	ohňostroj	煙花	ohňostroj	N	N;INAN;NOM;MASC;SG
煙花	ohňostroj	煙花	ohňostroj	N	N;INAN;NOM;MASC;SG
筋	šliach	筋	šlo	N	N;GEN;FEM;PL
撤消	zrušiť	撤消	zrušiť	V	V;PFV;POS;NFIN
鵝	hus	鵝	hus	N	N;NOM;FEM;SG
鵝	husi	鵝	husieť	N	N;NOM;FEM;PL
鵝	husí	鵝	husieť	N	N;NOM;FEM;PL
坐標	súradnice	坐標	súradnica	N	N;NOM;FEM;PL
坐標	súradnice	坐標	súradnica	N	N;NOM;FEM;PL
永恆	večnosť	永恆	večnosť	N	N;NOM;FEM;SG
甲殼	kôrovce	甲殼	kôrovec	N	N;INAN;NOM;MASC;PL
甲殼	kôrovcov	甲殼	kôrovec	N	N;ANIM;GEN;MASC;PL
捲	roll	捲	roll	N	N;INAN;NOM;MASC;SG
卡車	auto	卡車	auto	N	N;NOM;NEUT;SG
卡車	kamión	卡車	kamión	N	N;INAN;NOM;MASC;SG
卡車	vozíky	卡車	vozík	N	N;INAN;NOM;MASC;PL
阻力	ťahanie	阻力	ťahanie	N	N;NOM;NEUT;SG
阻力	odolnosť	阻力	odolnosť	N	N;NOM;FEM;SG
阻力	rezistencia	阻力	rezistencia	N	N;NOM;FEM;SG
阻力	odpor	阻力	odpor	N	N;INAN;NOM;MASC;SG
沙拉	šalát	沙拉	šalát	N	N;INAN;NOM;MASC;SG
耳朵	ucha	耳朵	ucho	N	N;NOM;NEUT;PL
耳朵	uchu	耳朵	ucho	N	N;DAT;NEUT;SG
耳朵	ucho	耳朵	ucho	N	N;NOM;NEUT;SG
耳朵	uši	耳朵	ucho	N	N;NOM;NEUT;PL
耳朵	ušami	耳朵	ucho	N	N;INS;NEUT;PL
耳朵	uší	耳朵	ucho	N	N;GEN;NEUT;PL
熔岩	láva	熔岩	láve	N	N;NOM;FEM;SG
啟發	inšpirovala	啟發	inšpirovať	V	V;IPFV;FEM;SG;POS;PST;V.PTCP
啟發	inšpiroval	啟發	inšpirovať	V	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
疼痛	bolesti	疼痛	bolesť	N	N;NOM;FEM;PL
疼痛	bolesť	疼痛	bolesť	N	N;NOM;FEM;SG
鷗	čajok	鷗	čajok	N	N;GEN;MASC;PL
冥王	pluto	冥王	pluto	N	N;NOM;NEUT;SG
約束	obmedzenie	約束	obmedzenie	N	N;NOM;NEUT;SG
掩護	kryt	掩護	kryt	N	N;INAN;NOM;MASC;SG
掩護	krytie	掩護	krytie	N	N;NOM;NEUT;SG
掩護	pokrytie	掩護	pokrytie	N	N;NOM;NEUT;SG
清潔	vyčistiť	清潔	vyčistiť	V	V;PFV;POS;NFIN
友誼	priateľstvo	友誼	priateľstvo	N	N;NOM;NEUT;SG
友誼	priateľstva	友誼	priateľstvo	N	N;NOM;NEUT;PL
山麓	piemonte	山麓	piemonte	N	N;NOM;MASC;SG
山麓	podhoria	山麓	podhoriť	N	N;NOM;NEUT;PL
學界	academia	學界	academia	N	N;NOM;FEM;SG
甲烷	metánu	甲烷	metán	N	N;INAN;GEN;MASC;SG
甲烷	metán	甲烷	metán	N	N;INAN;NOM;MASC;SG
優質	kvality	優質	kvalita	N	N;NOM;FEM;PL
優質	kvalita	優質	kvalita	N	N;NOM;FEM;SG
優質	vlastnosť	優質	vlastnosť	N	N;NOM;FEM;SG
書法	kaligrafia	書法	kaligrafia	N	N;NOM;FEM;SG
船員	parta	船員	part	N	N;NOM;FEM;SG
船員	partia	船員	partia	N	N;NOM;FEM;SG
船員	posádka	船員	posádka	N	N;NOM;FEM;SG
船員	posádky	船員	posádka	N	N;NOM;FEM;PL
船員	štáb	船員	štáb	N	N;INAN;NOM;MASC;SG
山羊	kozie	山羊	koziesť	N	N;NOM;NEUT;SG
山羊	koza	山羊	koza	N	N;NOM;FEM;SG
山羊	kozy	山羊	koza	N	N;NOM;MASC;PL
山羊	kôz	山羊	kôz	N	N;GEN;FEM;PL
丟	hoď	丟	hodiť	V	V;PFV;IMP;SG;2;POS;FIN
丟	hodiť	丟	hodiť	V	V;PFV;POS;NFIN
丟	hádzať	丟	hádzať	V	V;IPFV;POS;NFIN
財團	konzorcium	財團	konzorcium	N	N;NOM;NEUT;SG
財團	konzorcia	財團	konzorcia	N	N;NOM;FEM;SG
財團	združenie	財團	združenie	N	N;NOM;NEUT;SG
鳳蝶	papilio	鳳蝶	papilio	N	N;INAN;NOM;MASC;SG
消化	stráviť	消化	stráviť	V	V;PFV;POS;NFIN
成效	efektívnosť	成效	efektívnosť	N	N;NOM;FEM;SG
成效	účinnosť	成效	účinnosť	N	N;NOM;FEM;SG
樹木	strom	樹木	strom	N	N;INAN;NOM;MASC;SG
樹木	stromček	樹木	stromček	N	N;INAN;NOM;MASC;SG
樹木	strome	樹木	strom	N	N;INAN;ESS;MASC;SG
樹木	stromy	樹木	strom	N	N;INAN;NOM;MASC;PL
樹木	stromov	樹木	strom	N	N;INAN;GEN;MASC;PL
陶器	keramiky	陶器	keramika	N	N;NOM;FEM;PL
租賃	lízing	租賃	lízing	N	N;INAN;NOM;MASC;SG
租賃	lízing	租賃	lízing	N	N;INAN;NOM;MASC;SG
租賃	prenájom	租賃	prenáj	N	N;INAN;NOM;MASC;SG
租賃	lízing	租賃	lízing	N	N;INAN;NOM;MASC;SG
租賃	prenájom	租賃	prenáj	N	N;INAN;NOM;MASC;SG
胖	tuku	胖	tuka	N	N;INAN;GEN;MASC;SG
胖	tuk	胖	tuk	N	N;INAN;NOM;MASC;SG
胖	tuky	胖	tuka	N	N;INAN;NOM;MASC;PL
狹窄	úzka	狹窄	úzky	ADJ	ADJ;NOM;FEM;SG
狹窄	úzky	狹窄	úzky	ADJ	ADJ;INAN;NOM;MASC;SG
狹窄	úzke	狹窄	úzka	ADJ	ADJ;NOM;NEUT;SG
磚	tehly	磚	tehla	N	N;NOM;FEM;PL
利率	miera	利率	miera	N	N;NOM;FEM;SG
利率	rýchlosť	利率	rýchlosť	N	N;NOM;FEM;SG
利率	sadzba	利率	sadzba	N	N;NOM;FEM;SG
高大	vysoký	高大	vysoký	ADJ	ADJ;ANIM;NOM;MASC;SG
高大	vysoké	高大	vysoký	ADJ	ADJ;NOM;NEUT;SG
高大	vysoká	高大	vysoký	ADJ	ADJ;NOM;FEM;SG
意向	zámery	意向	zámer	N	N;INAN;NOM;MASC;PL
意向	úmysly	意向	úmysel	N	N;INAN;NOM;MASC;PL
意向	sklon	意向	sklon	N	N;INAN;NOM;MASC;SG
意向	zámer	意向	zámer	N	N;INAN;NOM;MASC;SG
意向	úmysel	意向	úmysel	N	N;INAN;NOM;MASC;SG
意向	zámer	意向	zámer	N	N;INAN;NOM;MASC;SG
意向	úmysel	意向	úmysel	N	N;INAN;NOM;MASC;SG
壓制	potlačiť	壓制	potlačiť	V	V;PFV;POS;NFIN
進度	pokrok	進度	pokrok	N	N;INAN;NOM;MASC;SG
進度	napredovanie	進度	napredovanie	N	N;NOM;NEUT;SG
進度	priebeh	進度	priebeh	N	N;INAN;NOM;MASC;SG
哺乳	cicavec	哺乳	cicavec	N	N;ANIM;NOM;MASC;SG
哺乳	cicavcov	哺乳	cicavec	N	N;ANIM;ACC;MASC;PL
哺乳	cicavce	哺乳	cicavec	N	N;INAN;NOM;MASC;PL
哺乳	cicavce	哺乳	cicavec	N	N;INAN;NOM;MASC;PL
哺乳	cicavcov	哺乳	cicavec	N	N;ANIM;ACC;MASC;PL
爺爺	dedko	爺爺	dedko	N	N;ANIM;NOM;MASC;SG
爺爺	dedka	爺爺	dedka	N	N;ANIM;ACC;MASC;SG
爺爺	dedo	爺爺	dedo	N	N;ANIM;NOM;MASC;SG
情侶	dvojice	情侶	dvojica	N	N;NOM;FEM;PL
情侶	páry	情侶	pára	N	N;INAN;NOM;MASC;PL
情侶	párov	情侶	pár	N	N;INAN;GEN;MASC;PL
情侶	párik	情侶	párik	N	N;INAN;NOM;MASC;SG
情侶	dvojica	情侶	dvojica	N	N;NOM;FEM;SG
情侶	milenci	情侶	milenec	N	N;ANIM;NOM;MASC;PL
情侶	milovníkov	情侶	milovník	N	N;ANIM;ACC;MASC;PL
情侶	milencov	情侶	milenec	N	N;ANIM;ACC;MASC;PL
保全	zachovanie	保全	zachovanie	N	N;NOM;NEUT;SG
保全	zachovávanie	保全	zachovávanie	N	N;NOM;NEUT;SG
保全	uchovávanie	保全	uchovávanie	N	N;NOM;NEUT;SG
保全	konzervovanie	保全	konzervovanie	N	N;NOM;NEUT;SG
宮殿	paláca	宮殿	palác	N	N;INAN;GEN;MASC;SG
宮殿	palace	宮殿	palac	N	N;INAN;NOM;MASC;SG
宮殿	paláci	宮殿	palác	N	N;INAN;ESS;MASC;SG
宮殿	palác	宮殿	palác	N	N;INAN;NOM;MASC;SG
智力	inteligencia	智力	inteligencia	N	N;NOM;FEM;SG
智力	spravodajstvo	智力	spravodajstvo	N	N;NOM;NEUT;SG
智力	inteligenciu	智力	inteligencia	N	N;ACC;FEM;SG
渡口	trajekt	渡口	trajekt	N	N;INAN;NOM;MASC;SG
糾紛	sporoch	糾紛	spor	N	N;INAN;GEN;MASC;PL
糾紛	spory	糾紛	spor	N	N;INAN;NOM;MASC;PL
糾紛	spore	糾紛	spor	N	N;INAN;NOM;MASC;SG
糾紛	sporu	糾紛	spor	N	N;INAN;GEN;MASC;SG
糾紛	spor	糾紛	spor	N	N;INAN;NOM;MASC;SG
糾紛	námietka	糾紛	námietok	N	N;NOM;FEM;SG
發光	svieti	發光	svietiť	V	V;IPFV;IND;SG;3;POS;PRS;FIN
發光	svietiť	發光	svietiť	V	V;IPFV;POS;NFIN
發光	žiariť	發光	žiariť	V	V;IPFV;POS;NFIN
發光	žiari	發光	žiariť	V	V;IPFV;IND;SG;3;POS;PRS;FIN
發光	svietia	發光	svietiť	V	V;IPFV;IND;PL;3;POS;PRS;FIN
發光	žiariť	發光	žiariť	V	V;IPFV;POS;NFIN
異議	námietku	異議	námietok	N	N;ACC;FEM;SG
異議	námietky	異議	námietok	N	N;INAN;NOM;MASC;PL
異議	námietka	異議	námietok	N	N;NOM;FEM;SG
係數	koeficient	係數	koeficient	N	N;INAN;NOM;MASC;SG
係數	koeficientov	係數	koeficient	N	N;INAN;GEN;MASC;PL
係數	koeficienty	係數	koeficient	N	N;INAN;NOM;MASC;PL
抱怨	sťažovať	抱怨	sťažovať	V	V;IPFV;POS;NFIN
抱怨	sťažuje	抱怨	sťažovať	V	V;IPFV;IND;SG;3;POS;PRS;FIN
抱怨	sťažovať	抱怨	sťažovať	V	V;IPFV;POS;NFIN
銀色	striebro	銀色	striebro	N	N;NOM;NEUT;SG
銀色	silver	銀色	silver	N	N;ANIM;NOM;MASC;SG
鞘	puzdro	鞘	puzdro	N	N;NOM;NEUT;SG
訪談	vypočuť	訪談	vypočuť	V	V;PFV;POS;NFIN
口味	chute	口味	chuta	N	N;NOM;FEM;PL
口味	príchute	口味	príchot	N	N;NOM;FEM;PL
人性	ľudstva	人性	ľudstvo	N	N;NOM;NEUT;SG
人性	ľudstvu	人性	ľudstvo	N	N;DAT;NEUT;SG
人性	ľudstvo	人性	ľudstvo	N	N;NOM;NEUT;SG
人性	ľudskosť	人性	ľudskosť	N	N;NOM;FEM;SG
人性	ľudskosti	人性	ľudskosť	N	N;NOM;FEM;PL
失誤	chyby	失誤	chyba	N	N;NOM;FEM;PL
失誤	chýb	失誤	chýb	N	N;GEN;FEM;PL
溶解	rozpustiť	溶解	rozpustiť	V	V;PFV;POS;NFIN
溶解	rozpustí	溶解	rozpustiť	V	V;PFV;IND;SG;3;POS;PRS;FIN
公報	komuniké	公報	komuniký	N	N;NOM;NEUT;SG
天平	stupnice	天平	stupnica	N	N;NOM;FEM;PL
天平	váh	天平	vy	N	N;NOM;FEM;SG
天平	váhy	天平	váha	N	N;NOM;FEM;PL
外國	votrelci	外國	votrelec	N	N;ANIM;NOM;MASC;PL
外國	mimozemšťania	外國	mimozemšťan	N	N;ANIM;NOM;MASC;PL
外國	mimozemšťanov	外國	mimozemšťan	N	N;ANIM;ACC;MASC;PL
外國	cudzinec	外國	cudzinec	N	N;ANIM;NOM;MASC;SG
外國	cudzincov	外國	cudzinec	N	N;ANIM;ACC;MASC;PL
外國	cudzinci	外國	cudzinec	N	N;ANIM;NOM;MASC;PL
神仙	víly	神仙	víla	N	N;NOM;FEM;PL
神仙	víla	神仙	víla	N	N;NOM;FEM;SG
腸	klobása	腸	klobás	N	N;NOM;FEM;SG
腸	črevo	腸	črevo	N	N;NOM;NEUT;SG
腸	črevá	腸	črevať	N	N;NOM;NEUT;PL
腸	čreva	腸	črev	N	N;NOM;NEUT;SG
腸	črevo	腸	črevo	N	N;NOM;NEUT;SG
腸	črevá	腸	črevať	N	N;NOM;NEUT;PL
石板	bridlice	石板	bridlica	N	N;NOM;FEM;PL
石板	tabletu	石板	tablet	N	N;INAN;GEN;MASC;SG
石板	tabuľa	石板	tabuľa	N	N;NOM;FEM;SG
石板	tablety	石板	tablet	N	N;NOM;FEM;PL
石板	tablet	石板	tablet	N	N;INAN;NOM;MASC;SG
君主	monarchia	君主	monarchio	N	N;NOM;FEM;SG
野心	ambície	野心	ambícia	N	N;NOM;FEM;PL
野心	ambície	野心	ambícia	N	N;NOM;FEM;PL
別墅	vila	別墅	vila	N	N;NOM;FEM;SG
別墅	villa	別墅	villa	N	N;NOM;MASC;SG
別墅	vily	別墅	vila	N	N;NOM;FEM;PL
幅度	rozpätia	幅度	rozpätie	N	N;NOM;NEUT;PL
幅度	rozsahy	幅度	rozsah	N	N;INAN;NOM;MASC;PL
籠	klietku	籠	klietka	N	N;ACC;FEM;SG
籠	klietky	籠	klietka	N	N;NOM;FEM;PL
籠	klietka	籠	klietko	N	N;NOM;FEM;SG
監管	dohľad	監管	dohľad	N	N;INAN;NOM;MASC;SG
監管	dozor	監管	dozor	N	N;INAN;NOM;MASC;SG
顯示	zobraziť	顯示	zobraziť	V	V;PFV;POS;NFIN
顯示	monitoruje	顯示	monitorovať	V	V;IPFV;IND;SG;3;POS;PRS;FIN
罰款	pokuty	罰款	pokut	N	N;NOM;FEM;PL
罰款	pokút	罰款	pokút	N	N;GEN;FEM;PL
葡萄	glukóza	葡萄	glukóz	N	N;NOM;FEM;SG
葡萄	glukózy	葡萄	glukóza	N	N;NOM;FEM;PL
葡萄	glukózu	葡萄	glukóza	N	N;NOM;FEM;SG
鋰	lítia	鋰	lítiť	N	N;NOM;NEUT;PL
徒步	túra	徒步	túra	N	N;NOM;FEM;SG
徒步	túru	徒步	túra	N	N;ACC;FEM;SG
奶奶	babička	奶奶	babička	N	N;NOM;FEM;SG
奶奶	babka	奶奶	babka	N	N;NOM;FEM;SG
蚊	komárov	蚊	komár	N	N;INAN;GEN;MASC;PL
補償	náhrada	補償	náhrada	N	N;NOM;FEM;SG
補償	odškodnenie	補償	odškodnenie	N	N;NOM;NEUT;SG
補償	kompenzácia	補償	kompenzácia	N	N;NOM;FEM;SG
補償	kompenzácie	補償	kompenzácia	N	N;NOM;FEM;PL
蝙	batman	蝙	batman	N	N;ANIM;NOM;MASC;SG
輕微	mierna	輕微	mierny	ADJ	ADJ;NOM;FEM;SG
肽	peptid	肽	peptid	N	N;INAN;NOM;MASC;SG
葉子	listy	葉子	list	N	N;INAN;NOM;MASC;PL
葉子	listov	葉子	list	N	N;INAN;GEN;MASC;PL
葉子	list	葉子	list	N	N;INAN;NOM;MASC;SG
乙醇	etanolu	乙醇	etanol	N	N;INAN;GEN;MASC;SG
乙醇	etanol	乙醇	etannúť	N	N;INAN;NOM;MASC;SG
樣式	štýly	樣式	štýl	N	N;INAN;NOM;MASC;PL
樣式	štýl	樣式	štýl	N	N;INAN;NOM;MASC;SG
交響	symfónia	交響	symfóniť	N	N;NOM;FEM;SG
讀音	výslovnosť	讀音	výslovnosť	N	N;NOM;FEM;SG
聖殿	bazilika	聖殿	bazilika	N	N;NOM;FEM;SG
聖殿	chrámu	聖殿	chrám	N	N;INAN;GEN;MASC;SG
聖殿	chrám	聖殿	chrám	N	N;INAN;NOM;MASC;SG
空格	medzery	空格	medzer	N	N;NOM;FEM;PL
空格	priestory	空格	priestor	N	N;INAN;NOM;MASC;PL
郵票	pečiatka	郵票	pečiatka	N	N;NOM;FEM;SG
郵票	známka	郵票	známka	N	N;NOM;FEM;SG
郵票	pečiatky	郵票	pečiatok	N	N;NOM;FEM;PL
郵票	známok	郵票	známok	N	N;GEN;FEM;PL
郵票	známky	郵票	známka	N	N;NOM;FEM;PL
騷擾	obťažuje	騷擾	obťažovať	V	V;IPFV;IND;SG;3;POS;PRS;FIN
冷卻	chladenie	冷卻	chladenie	N	N;NOM;NEUT;SG
冷卻	chladenia	冷卻	chladenie	N	N;NOM;NEUT;PL
皇宮	paláca	皇宮	palác	N	N;INAN;GEN;MASC;SG
皇宮	palace	皇宮	palac	N	N;INAN;NOM;MASC;SG
皇宮	paláci	皇宮	palác	N	N;INAN;ESS;MASC;SG
皇宮	palác	皇宮	palác	N	N;INAN;NOM;MASC;SG
法老	faraón	法老	faraón	N	N;ANIM;NOM;MASC;SG
微小	maličké	微小	maličký	ADJ	ADJ;NOM;NEUT;SG
微小	drobné	微小	drobný	ADJ	ADJ;NOM;NEUT;SG
溫和	nežné	溫和	nežný	ADJ	ADJ;NOM;NEUT;SG
溫和	jemné	溫和	jemný	ADJ	ADJ;NOM;NEUT;SG
溫和	jemný	溫和	jemný	ADJ	ADJ;ANIM;NOM;MASC;SG
溫和	jemná	溫和	jemný	ADJ	ADJ;NOM;FEM;SG
溫和	mierna	溫和	mierny	ADJ	ADJ;NOM;FEM;SG
溫和	stredný	溫和	stredný	ADJ	ADJ;ANIM;NOM;MASC;SG
溫和	stredná	溫和	stredný	ADJ	ADJ;NOM;FEM;SG
溫和	stredné	溫和	stredný	ADJ	ADJ;NOM;NEUT;SG
溫和	mierny	溫和	mierny	ADJ	ADJ;INAN;NOM;MASC;SG
溫和	mierna	溫和	mierny	ADJ	ADJ;NOM;FEM;SG
對	oproti	對	oproti	ADP	ADP;DAT
香料	korenia	香料	korenie	N	N;NOM;NEUT;PL
香料	koreniny	香料	koreniny	N	N;NOM;FEM;PL
香料	korenie	香料	korenie	N	N;NOM;NEUT;SG
香料	korenie	香料	korenie	N	N;NOM;NEUT;SG
辣椒	chilli	辣椒	chilľ	N	N;NOM;FEM;SG
辣椒	čili	辣椒	čiť	N	N;INAN;NOM;MASC;PL
辣椒	korenie	辣椒	korenie	N	N;NOM;NEUT;SG
賭場	kasína	賭場	kasín	N	N;INAN;NOM;MASC;PL
賭場	kasín	賭場	kasín	N	N;GEN;FEM;PL
賭場	kasína	賭場	kasín	N	N;INAN;NOM;MASC;PL
賭場	casino	賭場	casino	N	N;INAN;NOM;MASC;SG
賭場	kasíne	賭場	kasíň	N	N;INAN;NOM;MASC;SG
賭場	kasíno	賭場	kasíno	N	N;NOM;NEUT;SG
國徽	znak	國徽	znak	N	N;INAN;NOM;MASC;SG
悲劇	tragédia	悲劇	tragédium	N	N;NOM;FEM;SG
悲劇	tragédie	悲劇	tragédia	N	N;NOM;NEUT;PL
鎖定	zamknúť	鎖定	zamknúť	V	V;PFV;POS;NFIN
租金	požičovne	租金	požičovne	N	N;NOM;FEM;PL
租金	prenájom	租金	prenáj	N	N;INAN;NOM;MASC;SG
租金	prenájom	租金	prenáj	N	N;INAN;NOM;MASC;SG
租金	nájom	租金	náj	N	N;INAN;NOM;MASC;SG
溫暖	teple	溫暖	teplo	N	N;INAN;NOM;MASC;SG
溫暖	teplo	溫暖	teplo	N	N;NOM;NEUT;SG
溫暖	teplo	溫暖	teplo	N	N;NOM;NEUT;SG
手套	rukavíc	手套	rukavica	N	N;GEN;FEM;PL
手套	rukavice	手套	rukavica	N	N;NOM;FEM;PL
手套	micka	手套	micko	N	N;NOM;MASC;SG
手套	rukavicu	手套	rukavica	N	N;ACC;FEM;SG
手套	rukavice	手套	rukavica	N	N;NOM;FEM;PL
硬幣	mince	硬幣	minca	N	N;NOM;FEM;PL
硬幣	minca	硬幣	minca	N	N;NOM;FEM;SG
硬幣	mince	硬幣	minca	N	N;NOM;FEM;PL
硬幣	mincu	硬幣	minca	N	N;ACC;FEM;SG
朝代	dynastie	朝代	dynastie	N	N;NOM;FEM;PL
皂	mydlo	皂	mydlo	N	N;NOM;NEUT;SG
皂	mydla	皂	mydnúť	N	N;NOM;NEUT;SG
