per	für	per	für	ADP	ADP
storico	historischen	storico	historisch	ADJ;MASC;SG	ADJ;NOM;MASC;SG
storico	historiker	storico	historik	ADJ;MASC;SG	ADJ
storico	historisches	storico	historisch	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
storico	historischen	storico	historisch	ADJ;MASC;SG	ADJ;NOM;MASC;SG
squadre	mannschaften	squadra	mannschaften	N;FEM;PL	N;NOM;PL
squadre	teams	squadra	teams	N;FEM;PL	N;NOM;NEUT;PL
precedente	präzedenzfall	precedente	präzedenzfall	ADJ;SG	ADJ
precedente	früheren	precedente	früh	ADJ;SG	ADJ
precedente	vorheriger	precedente	vorherig	ADJ;SG	ADJ
area	fläche	area	fläche	N;FEM;SG	N;NOM;FEM;SG
episodi	episoden	episodio	episod	N;MASC;PL	N;NOM;FEM;PL
attraverso	durch	attraverso	durch	ADP	ADP
possibile	möglichen	possibile	möglich	ADJ;SG	ADJ
possibile	möglicher	possibile	möglich	ADJ;SG	ADJ
possibile	möglich	possibile	möglich	ADJ;SG	ADJ
avere	haben	avere	haben	V;NFIN	V;IND;PL;3;FIN
servizio	dienstleistung	servizio	dienstleistung	N;MASC;SG	N;NOM;FEM;SG
punti	punkten	punto	punken	N;MASC;PL	N;NOM;MASC;PL
punti	punkte	punto	punken	N;MASC;PL	N;NOM;MASC;PL
punti	punkten	punto	punken	N;MASC;PL	N;NOM;MASC;PL
punti	punkte	punto	punken	N;MASC;PL	N;NOM;MASC;PL
repubblica	republik	repubblica	republik	N;FEM;SG	N;NOM;FEM;SG
governo	staat	governo	staaen	N;MASC;SG	N
dato	gegeben	dare	geben	V;MASC;SG;PST;V.PTCP	V;V.PTCP
dato	gab	dare	geben	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
originale	ursprünglich	originale	ursprünglich	ADJ;SG	ADJ
originale	ursprünglichen	originale	ursprünglich	ADJ;SG	ADJ;ACC;SG
originale	original	originale	original	ADJ;SG	ADJ
originale	originell	originale	originell	ADJ;SG	ADJ
originale	originellen	originale	originell	ADJ;SG	ADJ
grandi	großen	grande	groß	ADJ;PL	ADJ;PL
grandi	große	grande	groß	ADJ;PL	ADJ;NOM;FEM;PL
grandi	groß	grande	groß	ADJ;PL	ADJ
grandi	großer	grande	groß	ADJ;PL	ADJ
grandi	toll	grande	toll	ADJ;PL	ADJ
grandi	großartig	grande	großartig	ADJ;PL	ADJ
grandi	groß	grande	groß	ADJ;PL	ADJ
grandi	große	grande	groß	ADJ;PL	ADJ;NOM;FEM;PL
grandi	großen	grande	groß	ADJ;PL	ADJ;PL
grandi	große	grande	groß	ADJ;PL	ADJ;NOM;FEM;PL
grandi	groß	grande	groß	ADJ;PL	ADJ
università	hochschule	università	hochschule	N;FEM	N;NOM;FEM;SG
università	hochschulen	università	hochschulen	N;FEM	N;NOM;FEM;PL
università	universitäten	università	universitäten	N;FEM	N;NOM;PL
università	hochschule	università	hochschule	N;FEM	N;NOM;FEM;SG
università	universitäten	università	universitäten	N;FEM	N;NOM;PL
isola	insel	isola	insel	N;FEM;SG	N;NOM;FEM;SG
capo	umhang	capo	umhang	N;MASC;SG	N
capo	chef	capo	chef	N;MASC;SG	N;NOM;MASC;SG
capo	chef	capo	chef	N;MASC;SG	N;NOM;MASC;SG
musica	musik	musica	musik	N;FEM;SG	N;NOM;FEM;SG
luogo	ort	luogo	ort	N;MASC;SG	N;NOM;MASC;SG
sembra	scheint	sembrare	scheinen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sembra	aussieht	sembrare	aussehen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sembra	sieht	sembrare	sehen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sembra	aussehen	sembrare	aussehen	V;IND;SG;3;PRS;FIN	V;NFIN
sembra	scheint	sembrare	scheinen	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gioco	spiel	gioco	spielen	N;MASC;SG	N;NOM;NEUT;SG
terzo	dritter	terzo	dritt	ADJ;MASC;SG	ADJ
terzo	drittel	terzo	Drittel	ADJ;MASC;SG	ADJ;NOM
terzo	dritten	terzo	dritt	ADJ;MASC;SG	ADJ;ACC;MASC;SG
