van	مخرج	van	مخرج		
werk	سنبھالنا	werk	سنبھال	V;PRS	V;MASC;SG;NFIN;ACT
werk	چلانا	werk	چلا	V;PRS	V;MASC;SG;NFIN;ACT
werk	دھکا	werk	دھکا	V;PRS	V;ACT
klein	نادان	klein	نادان		
klein	خفیف	klein	خفیف		
klein	نادان	klein	نادان		
tyd	دور	tyd	دور	N;SG	N;NOM;MASC;SG;3
tyd	عہد	tyd	عہد	N;SG	N;NOM;MASC;SG;3
tyd	دور	tyd	دور	N;SG	N;NOM;MASC;SG;3
vlag	پرچم	vlag	پرچم	N;SG	N;NOM;MASC;SG;3
verskeie	مختلف	verskeie	مختلف	ADJ;NOM	ADJ
verskeie	متنوع	verskeie	متنوع	ADJ;NOM	ADJ
verskeie	متفرق	verskeie	متفرق	ADJ;NOM	ADJ
mei	مئی.	mei	مئی.		
vorm	ڈھالنا.	vorm	ڈھالن	V;PRS	V;SG;NFIN;ACT
vorm	ظاہرہیئت.	vorm	ظاہرہیئت.	V;PRS	V;FEM;SG;V.PTCP;ACT
vorm	ڈھالنا.	vorm	ڈھالن	V;PRS	V;SG;NFIN;ACT
vorm	ظاہرہیئت.	vorm	ظاہرہیئت.	V;PRS	V;FEM;SG;V.PTCP;ACT
vorm	بنانا	vorm	بنا	V;PRS	V;MASC;SG;NFIN;ACT
staan	چالو	staan	چالو	V;PRS	V;ACT
nadat	حالانکہ	nadat	حالانکہ	CONJ	CONJ
nadat	حالانکہ	nadat	حالانکہ	CONJ	CONJ
dorp	گاؤں	dorp	گاؤں	N;SG	N;NOM;MASC;SG;3
maart	off	maart	off		
maart	on	maart	on		
alle	بہت	al	بہت	DET	DET
alle	بہت	al	بہت	DET	DET
gaan	چست	gaan	چست		
gaan	on	gaan	on		
gaan	وار	gaan	وار		
nou	فوراً	nou	فوراً	ADV	ADV
nou	جلد	nou	جلد	ADV	ADV
nou	فوراً	nou	فوراً	ADV	ADV
nou	جلد	nou	جلد	ADV	ADV
provinsie	صوبہ	provinsie	صوبہ	N;SG	N;NOM;MASC;SG;3
provinsie	منصب	provinsie	منصب	N;SG	N;NOM;MASC;SG;3
provinsie	عہدہ	provinsie	عہدہ	N;SG	N;NOM;MASC;SG;3
provinsie	منصب	provinsie	منصب	N;SG	N;NOM;MASC;SG;3
provinsie	حالت	provinsie	حالت	N;SG	N;NOM;FEM;SG;3
provinsie	عہدہ	provinsie	عہدہ	N;SG	N;NOM;MASC;SG;3
beskou	جانچنا	beskou	جانچ	V;PRS	V;MASC;SG;NFIN;ACT
lewe	زندگی	lewe	زندگی	N;SG	N;NOM;FEM;SG;3
lewe	موقع	lewe	موقع	N;SG	N;NOM;MASC;SG;3
lewe	اتفاق	lewe	اتفاق	N;SG	N;NOM;MASC;SG;3
lewe	اعمال	lewe	اعمال	N;SG	N;NOM;MASC;SG;3
lewe	زندگی	lewe	زندگی	N;SG	N;NOM;FEM;SG;3
lewe	موقع	lewe	موقع	N;SG	N;NOM;MASC;SG;3
lewe	اتفاق	lewe	اتفاق	N;SG	N;NOM;MASC;SG;3
lewe	اعمال	lewe	اعمال	N;SG	N;NOM;MASC;SG;3
lewe	حیات	lewe	شریک_حیات	N;SG	N;NOM;MASC;SG;3
franse	بری	frans	بری	ADJ;NOM	ADJ;FEM
dood	موت	dood	موت	N;SG	N;NOM;FEM;SG;3
dood	حتمی	dood	حتمی	N;SG	N;NOM;MASC;SG;3
dood	ساکت	dood	ساکت	N;SG	N;NOM;MASC;SG;3
dood	حتمی	dood	حتمی	N;SG	N;NOM;MASC;SG;3
dood	ساکت	dood	ساکت	N;SG	N;NOM;MASC;SG;3
dieselfde	یکساں	dieselfde	یکساں	ADJ;NOM	ADJ
wêreld	زمانے	wêreld	زمانہ	N;SG	N;NOM;MASC;SG;3
aantal	ضخامت	aantal	ضخامت	N;SG	N;NOM;MASC;SG;3
aantal	کمیت	aantal	کمیت	N;SG	N;NOM;MASC;SG;3
aantal	وسعت	aantal	وسعت	N;SG	N;NOM;MASC;SG;3
aantal	بہتات	aantal	بہتات	N;SG	N;NOM;MASC;SG;3
plaaslike	قریبی	plaaslik	قریبی	ADJ;NOM	ADJ
plaaslike	علاقائی	plaaslik	علاقائی	ADJ;NOM	ADJ
plaaslike	قریبی	plaaslik	قریبی	ADJ;NOM	ADJ
plaaslike	مقامی	plaaslik	مقامی	ADJ;NOM	ADJ
plaaslike	علاقائی	plaaslik	علاقائی	ADJ;NOM	ADJ
internasionale	واقع	internasionaal	واقع	ADJ;NOM	ADJ
internasionale	مستعمل	internasionaal	مستعمل	ADJ;NOM	ADJ
eie	مخصوص-	eie	مخصوص-	ADJ;NOM	ADJ
eie	امتیازی	eie	امتیازی	ADJ;NOM	ADJ
eie	مخصوص-	eie	مخصوص-	ADJ;NOM	ADJ
eie	امتیازی	eie	امتیازی	ADJ;NOM	ADJ
eers	بیّن	eers	بیّن		
groep	گروہ	groep	گروہ	N;SG	N;NOM;MASC;SG;3
groep	جمعیت	groep	جمعیت	N;SG	N;NOM;MASC;SG;3
groep	گروہ	groep	گروہ	N;SG	N;NOM;MASC;SG;3
groep	جمعیت	groep	جمعیت	N;SG	N;NOM;MASC;SG;3
groep	جماعت	groep	جماعت	N;SG	N;NOM;FEM;SG;3
stel	پھیلانا	stel	پھیلانا	V;PRS	V;MASC;SG;NFIN;ACT
stel	جوڑنا	stel	جوڑ	V;PRS	V;MASC;SG;NFIN;ACT
stel	بیٹھنا	stel	بیٹھ	V;PRS	V;MASC;SG;NFIN;ACT
stel	پھیلانا	stel	پھیلانا	V;PRS	V;MASC;SG;NFIN;ACT
stel	جوڑنا	stel	جوڑ	V;PRS	V;MASC;SG;NFIN;ACT
stel	رکھنا	stel	رکھ	V;PRS	V;MASC;SG;NFIN;ACT
stel	بیٹھنا	stel	بیٹھ	V;PRS	V;MASC;SG;NFIN;ACT
stel	جمانا	stel	جمانا	V;PRS	V;PFV;MASC;SG;V.PTCP;ACT
sluit	چھوڑنا	sluit	چھوڑ	V;PRS	V;NFIN
sluit	تنگ	sluit	تنگ	V;PRS	V;ACT
sluit	تنگ	sluit	تنگ	V;PRS	V;ACT
water	سینچنا.	water	سینچنا.	N;SG	N;NOM;MASC;SG;3
water	جھیل	water	جھیل	N;SG	N;NOM;MASC;SG;3
water	آب	water	آب	N;SG	N;NOM;MASC;SG;3
water	سینچنا.	water	سینچنا.	N;SG	N;NOM;MASC;SG;3
water	جھیل	water	جھیل	N;SG	N;NOM;MASC;SG;3
einde	لکڑی	einde	لکڑی	N;SG	N;NOM;MASC;SG;3
einde	تہذیب	einde	تہذیب	N;SG	N;NOM;MASC;SG;3
einde	تباہی	einde	تباہی	N;SG	N;NOM;MASC;SG;3
einde	جواز	einde	جواز	N;SG	N;NOM;MASC;SG;3
regering	حکومت	regering	حکومت	N;SG	N;NOM;FEM;SG;3
regering	حکمرانی.	regering	حکمرانی.	N;SG	N;NOM;MASC;SG;3
oorlog	بیماری	oorlog	بیماری	N;SG	N;NOM;FEM;SG;3
ryk	(	ryk	(		
ryk	in	ryk	in		
ryk	وافر	ryk	وافر		
geskiedenis	تذکرہ	geskiedenis	تذکرہ	N;SG	N;NOM;MASC;SG;3
geskiedenis	تواریخ	geskiedenis	تواریخ	N;SG	N;NOM;MASC;SG;3
wetenskaplike	منظم	wetenskaplik	منظم	ADJ;NOM	ADJ
wetenskaplike	سائنسی	wetenskaplik	سائنسی	ADJ;NOM	ADJ
seun	حیرت	seun	حیرت	N;SG	N;NOM;MASC;SG;3
seun	حیرت	seun	حیرت	N;SG	N;NOM;MASC;SG;3
seun	لڑکا	seun	لڑکا	N;SG	N;NOM;MASC;SG;3
seun	قبیلے	seun	قبیلہ	N;SG	N;NOM;MASC;SG;3
seun	بیٹا	seun	بیٹا	N;SG	N;NOM;MASC;SG;3
seun	قبیلے	seun	قبیلہ	N;SG	N;NOM;MASC;SG;3
verskillende	علاحدہ	verskil	علحدہ	ADJ;NOM	ADJ
neem	پانا	neem	پانا	V;PRS	V;SG;NFIN;ACT
neem	کھانا	neem	کھا	V;PRS	V;MASC;SG;NFIN;ACT
neem	سمجھنا	neem	سمجھ	V;PRS	V;MASC;SG;NFIN;ACT
neem	پکڑنا	neem	پکڑ	V;PRS	V;MASC;SG;NFIN;ACT
neem	چُننا	neem	چُن	V;PRS	V;MASC;SG;NFIN;ACT
neem	آزمانا	neem	آزما	V;PRS	V;SG;ACT
neem	ڈالنا	neem	ڈال	V;PRS	V;MASC;SG;NFIN;ACT
neem	کمانا	neem	کمانا	V;PRS	V;MASC;SG;NFIN;ACT
neem	چاہنا	neem	چاہ	V;PRS	V;MASC;SG;NFIN;ACT
munisipaliteit	بلدیہ	munisipaliteit	بلدیہ	N;SG	N;NOM;MASC;SG;3
tans	فوراً	tans	فوراً	ADV	ADV
tans	جلد	tans	جلد	ADV	ADV
tans	فوراً	tans	فوراً	ADV	ADV
tans	جلد	tans	جلد	ADV	ADV
kort	(	kort	(		
self	آپ	self	آپ	PRO;SG;3;REFL	PRO;ACC
verder	آگے	ver	آگے	ADV;CMPR	ADV;NOM;MASC;SG;3
plek	محلہ	plek	محلہ	N;SG	N;NOM;MASC;SG;3
plek	مرتبہ	plek	مرتبہ	N;SG	N;NOM;MASC;SG;3
plek	منصب	plek	منصب	N;SG	N;NOM;MASC;SG;3
plek	احاطہ	plek	احاطہ	N;SG	N;NOM;MASC;SG;3
plek	نشست	plek	نشست	N;SG	N;NOM;MASC;SG;3
plek	شہر	plek	شہر	N;SG	N;ACC;MASC;SG;3
plek	مرتبہ	plek	مرتبہ	N;SG	N;NOM;MASC;SG;3
plek	مقام	plek	مقام	N;SG	N;NOM;MASC;SG;3
plek	منصب	plek	منصب	N;SG	N;NOM;MASC;SG;3
plek	احاطہ	plek	احاطہ	N;SG	N;NOM;MASC;SG;3
plek	نشست	plek	نشست	N;SG	N;NOM;MASC;SG;3
plek	شہر	plek	شہر	N;SG	N;ACC;MASC;SG;3
swart	دائو	swart	دائو		
swart	دائو	swart	دائو		
swart	(	swart	(		
swart	(	swart	(		
tydperk	اثنا	tydperk	اثنا	N;SG	N;NOM;MASC;SG;3
tydperk	دور	tydperk	دور	N;SG	N;NOM;MASC;SG;3
skool	تربیت	skool	تربیت	N;SG	N;NOM;MASC;SG;3
skool	اسکول	skool	اسکول	N;SG	N;NOM;MASC;SG;3
vroeë	مقررہ	vroeg	مقررہ	ADJ;NOM	ADJ
familie	ذات	familie	ذات	N;SG	N;NOM;FEM;SG;3
volg	سمجھنا	volg	سمجھ	V;PRS	V;MASC;SG;NFIN;ACT
aarde	دنیا	aarde	دنیا	N;SG	N;NOM;FEM;SG;3
gee	لگانا	gee	لگا	V;PRS	V;MASC;SG;NFIN;ACT
gee	پڑھنا	gee	پڑھ	V;PRS	V;MASC;SG;NFIN;ACT
gee	بتانا	gee	بتا	V;PRS	V;MASC;SG;NFIN;ACT
gee	بولنا	gee	بول	V;PRS	V;MASC;SG;NFIN;ACT
gee	سنانا	gee	سنا	V;PRS	V;MASC;SG;NFIN;ACT
gee	کہنا	gee	کہہ	V;PRS	V;MASC;NFIN
kry	سیکھنا	kry	سیکھ	V;PRS	V;SG;NFIN;ACT
kry	سمجھنا	kry	سمجھ	V;PRS	V;MASC;SG;NFIN;ACT
kry	کمانا	kry	کمانا	V;PRS	V;MASC;SG;NFIN;ACT
kry	پانا	kry	پانا	V;PRS	V;SG;NFIN;ACT
kry	سیکھنا	kry	سیکھ	V;PRS	V;SG;NFIN;ACT
kry	سمجھنا	kry	سمجھ	V;PRS	V;MASC;SG;NFIN;ACT
kry	کمانا	kry	کمانا	V;PRS	V;MASC;SG;NFIN;ACT
rol	ڈرامے	rol	ڈرامہ	N;SG	N;NOM;MASC;SG;3
rol	فرد	rol	فرد	N;SG	N;NOM;MASC;SG;3
rol	دفتر	rol	دفتر	N;SG	N;NOM;MASC;SG;3
vrou	ملازمہ	vrou	ملازمہ	N;SG	N;NOM;MASC;SG;3
vrou	عورت	vrou	عورت	N;SG	N;NOM;MASC;SG;3
vrou	ملازمہ	vrou	ملازمہ	N;SG	N;NOM;MASC;SG;3
vrou	عورت	vrou	عورت	N;SG	N;NOM;MASC;SG;3
vrou	زن	vrou	زن	N;SG	N;NOM;MASC;SG;3
vrou	زوجہ	vrou	زوجہ	N;SG	N;NOM;FEM;SG;3
vrou	بیوی	vrou	بیوی	N;SG	N;NOM;FEM;SG;3
vrou	زوجہ	vrou	زوجہ	N;SG	N;NOM;FEM;SG;3
vrou	بیوی	vrou	بیوی	N;SG	N;NOM;FEM;SG;3
derde	تیسرا	derde	تیسرا	ADJ;NOM	ADJ;NOM;MASC;SG
dag	یوم	dag	یوم	N;SG	N;NOM;MASC;SG;3
dag	دن	dag	دن	N;SG	N;NOM;MASC;SG;3
dag	دور	dag	دور	N;SG	N;NOM;MASC;SG;3
dag	یوم	dag	یوم	N;SG	N;NOM;MASC;SG;3
dag	دن	dag	دن	N;SG	N;NOM;MASC;SG;3
dag	دور	dag	دور	N;SG	N;NOM;MASC;SG;3
dag	روز	dag	روز	N;SG	N;NOM;MASC;SG;3
woord	اقرار	woord	اقرار	N;SG	N;NOM;MASC;SG;3
woord	اطلاع	woord	اطلاع	N;SG	N;NOM;FEM;SG;3
woord	پیغام.	woord	پیغام.	N;SG	N;NOM;MASC;SG;3
woord	قول.	woord	قول.	N;SG	N;NOM;MASC;SG;3
woord	گفتگو	woord	گفتگو	N;SG	N;NOM;MASC;SG;3
woord	قول	woord	قول	N;SG	N;NOM;MASC;SG;3
woord	خبر	woord	خبر	N;SG	N;NOM;MASC;SG;3
woord	حکم	woord	حکم	N;SG	N;NOM;MASC;SG;3
woord	وعدہ	woord	وعدہ	N;SG	N;NOM;MASC;SG;3
woord	اقرار	woord	اقرار	N;SG	N;NOM;MASC;SG;3
woord	لفظ	woord	لفظ	N;SG	N;NOM;MASC;SG;3
woord	اطلاع	woord	اطلاع	N;SG	N;NOM;FEM;SG;3
woord	پیغام.	woord	پیغام.	N;SG	N;NOM;MASC;SG;3
woord	قول.	woord	قول.	N;SG	N;NOM;MASC;SG;3
woord	گفتگو	woord	گفتگو	N;SG	N;NOM;MASC;SG;3
woord	قول	woord	قول	N;SG	N;NOM;MASC;SG;3
woord	خبر	woord	خبر	N;SG	N;NOM;MASC;SG;3
woord	حکم	woord	حکم	N;SG	N;NOM;MASC;SG;3
woord	وعدہ	woord	وعدہ	N;SG	N;NOM;MASC;SG;3
staat	منصب	staat	منصب	N;SG	N;NOM;MASC;SG;3
staat	عہدہ	staat	عہدہ	N;SG	N;NOM;MASC;SG;3
staat	منصب	staat	منصب	N;SG	N;NOM;MASC;SG;3
staat	حالت	staat	حالت	N;SG	N;NOM;FEM;SG;3
staat	عہدہ	staat	عہدہ	N;SG	N;NOM;MASC;SG;3
staat	اخبار	staat	اخبار	N;SG	N;NOM;MASC;SG;3
staat	پارچہ	staat	پارچہ	N;SG	N;NOM;MASC;SG;3
ekonomiese	معاشی	ekonomies	معاشی	ADJ;NOM	ADJ
ekonomiese	عملی	ekonomies	عملی	ADJ;NOM	ADJ
ekonomiese	کاروباری	ekonomies	کاروباری	ADJ;NOM	ADJ
aanvaar	چاہنا	aanvaar	چاہ	V;PRS	V;MASC;SG;NFIN;ACT
aanvaar	ماننا	aanvaar	مان	V;PRS	V;MASC;SG;NFIN
aanvaar	چاہنا	aanvaar	چاہ	V;PRS	V;MASC;SG;NFIN;ACT
hou	پانا	hou	پانا	V;PRS	V;SG;NFIN;ACT
hou	ماننا.	hou	ماننا.	V;PRS	V;NFIN;ACT
hou	پانا	hou	پانا	V;PRS	V;SG;NFIN;ACT
hou	ماننا.	hou	ماننا.	V;PRS	V;NFIN;ACT
hou	سنبھالنا	hou	سنبھال	V;PRS	V;MASC;SG;NFIN;ACT
hele	غیرمشروط	heel	غیرمشروط	ADJ;NOM	ADJ
hele	غیرمشروط	heel	غیرمشروط	ADJ;NOM	ADJ
hele	پورا	heel	پورا	ADJ;NOM	ADJ;NOM;MASC;SG
hele	مکمل	heel	مکمل	ADJ;NOM	ADJ
hele	پورا	heel	پورا	ADJ;NOM	ADJ;NOM;MASC;SG
hele	مکمل	heel	مکمل	ADJ;NOM	ADJ
skrywer	کلرک	skrywer	کلرک	N;SG	N;NOM;MASC;SG;3
skrywer	کاتب	skrywer	کاتب	N;SG	N;NOM;MASC;SG;3
skrywer	مصنف	skrywer	مصنف	N;SG	N;ACC;MASC;SG;3
skrywer	ادیب	skrywer	ادیب	N;SG	N;NOM;MASC;SG;3
skrywer	کلرک	skrywer	کلرک	N;SG	N;NOM;MASC;SG;3
skrywer	کاتب	skrywer	کاتب	N;SG	N;NOM;MASC;SG;3
skrywer	مصنف	skrywer	مصنف	N;SG	N;ACC;MASC;SG;3
skrywer	کائنات	skrywer	کائنات	N;SG	N;NOM;MASC;SG;3
skrywer	موجد	skrywer	موجد	N;SG	N;NOM;MASC;SG;3
verander	مٹانا	verander	مٹا	V;PRS	V;MASC;SG;NFIN;ACT
verander	بدلنا.	verander	بدلنا.	V;PRS	V;NFIN;ACT
verander	بدلنا	verander	بدل	V;PRS	V;MASC;SG;NFIN;ACT
bereik	بڑھنا.	bereik	بڑھنا.	V;PRS	V;SG;NFIN;ACT
bereik	پھیلانا	bereik	پھیلانا	V;PRS	V;MASC;SG;NFIN;ACT
bereik	پہنچنا	bereik	پہنچ	V;PRS	V;MASC;SG;NFIN;ACT
bereik	پانا	bereik	پانا	V;PRS	V;SG;NFIN;ACT
bereik	پہنچ	bereik	پہنچ	V;PRS	V;ACT
bereik	بڑھنا.	bereik	بڑھنا.	V;PRS	V;SG;NFIN;ACT
bereik	پھیلانا	bereik	پھیلانا	V;PRS	V;MASC;SG;NFIN;ACT
man	خاوند	man	خاوند	N;SG	N;NOM;MASC;SG;3
man	سپاہی	man	سپاہی	N;SG	N;NOM;MASC;SG;3
man	پیشے	man	پیشا	N;SG	N;NOM;MASC;SG;3
man	شطرنج	man	شطرنج	N;SG	N;NOM;MASC;SG;3
man	انسان	man	انسان	N;SG	N;NOM;MASC;SG;3
man	جہاز	man	جہاز	N;SG	N;NOM;MASC;SG;3
huis	جگہ	huis	جگہ	N;SG	N;NOM;MASC;SG;3
huis	پالتو	huis	پالتو	N;SG	N;NOM;MASC;SG;3
huis	سوراخ	huis	سوراخ	N;SG	N;NOM;MASC;SG;3
huis	دارالاصلاح.	huis	دارالاصلاح.	N;SG	N;NOM;MASC;SG;3
huis	بل	huis	بل	N;SG	N;NOM;MASC;SG;3
huis	پالتو	huis	پالتو	N;SG	N;NOM;MASC;SG;3
huis	گھر	huis	گھر	N;SG	N;NOM;MASC;SG;3
huis	سوراخ	huis	سوراخ	N;SG	N;NOM;MASC;SG;3
huis	دارالاصلاح.	huis	دارالاصلاح.	N;SG	N;NOM;MASC;SG;3
huis	بل	huis	بل	N;SG	N;NOM;MASC;SG;3
besoek	معائنے	besoek	معائنہ	V;PRS	V;SG;V.PTCP;ACT
bekende	نامور	bekend	نامور	ADJ;NOM	ADJ
doen	دیکھنا	doen	دیکھ	V;PRS	V;NFIN
doen	بچارنا	doen	بچار	V;PRS	V;NFIN;ACT
doen	پکانا	doen	پکانا	V;PRS	V;MASC;SG;V.PTCP;ACT
doen	بخشنا	doen	بخشنا	V;PRS	V;SG;ACT
doen	سنوارنا	doen	سنوار	V;PRS	V;MASC;SG;NFIN;ACT
doen	کارروائی.	doen	کارروائی.	V;PRS	V;PFV;FEM;SG;V.PTCP;ACT
doen	دیکھنا	doen	دیکھ	V;PRS	V;NFIN
doen	بچارنا	doen	بچار	V;PRS	V;NFIN;ACT
doen	پکانا	doen	پکانا	V;PRS	V;MASC;SG;V.PTCP;ACT
doen	بخشنا	doen	بخشنا	V;PRS	V;SG;ACT
doen	کرنا	doen	کر	V;PRS	V;MASC;SG;NFIN;ACT
doen	سنوارنا	doen	سنوار	V;PRS	V;MASC;SG;NFIN;ACT
doen	کارروائی.	doen	کارروائی.	V;PRS	V;PFV;FEM;SG;V.PTCP;ACT
rooi	سرخا.	rooi	سرخا.		
skryf	لکھنا	skryf	لکھ	V;PRS	V;MASC;SG;NFIN;ACT
skryf	بھڑکنا	skryf	بھڑک	V;PRS	V;NFIN;ACT
hoë	(	hoog	(		
hoë	(	hoog	(		
wel	غالباً	wel	غالباً	ADV	ADV
wel	شاید	wel	شاید	ADV	ADV
bou	جوڑنا	bou	جوڑ	V;PRS	V;MASC;SG;NFIN;ACT
bou	بڑھانا	bou	بڑھا	V;PRS	V;MASC;SG;NFIN;ACT
bou	جوڑنا	bou	جوڑ	V;PRS	V;MASC;SG;NFIN;ACT
bou	بڑھانا	bou	بڑھا	V;PRS	V;MASC;SG;NFIN;ACT
bou	بنانا	bou	بنا	V;PRS	V;MASC;SG;NFIN;ACT
minder	درجے	min	درجہ		
minder	درجے	min	درجہ		
stigting	ترتیب	stigting	ترتیب	N;SG	N;NOM;FEM;SG;3
streek	خطہ	streek	خطہ	N;SG	N;NOM;MASC;SG;3
streek	شعبہ	streek	شعبہ	N;SG	N;NOM;MASC;SG;3
streek	علاقہ	streek	علاقہ	N;SG	N;NOM;MASC;SG;3
rivier	دریا	rivier	دریا	N;SG	N;NOM;MASC;SG;3
grond	داغ	grond	داغ	N;SG	N;NOM;MASC;SG;3
grond	فضلہ	grond	فضلہ	N;SG	N;NOM;MASC;SG;3
grond	گندگی	grond	گندگی	N;SG	N;NOM;MASC;SG;3
grond	قوم	grond	قوم	N;SG	N;NOM;MASC;SG;3
grond	پانی	grond	پانی	N;SG	N;NOM;MASC;SG;3
grond	قوم	grond	قوم	N;SG	N;NOM;MASC;SG;3
grond	پانی	grond	پانی	N;SG	N;NOM;MASC;SG;3
grond	زمین	grond	زمین	N;SG	N;NOM;FEM;SG;3
grond	کارروائی	grond	کارروائی	N;SG	N;NOM;FEM;SG;3
grond	میدان	grond	میدان	N;SG	N;NOM;MASC;SG;3
grond	مٹی	grond	مٹی	N;SG	N;NOM;MASC;SG;3
grond	غرض	grond	غرض	N;SG	N;NOM;MASC;SG;3
grond	سبب	grond	سبب	N;SG	N;ACC;MASC;SG;3
grond	کارروائی	grond	کارروائی	N;SG	N;NOM;FEM;SG;3
grond	میدان	grond	میدان	N;SG	N;NOM;MASC;SG;3
grond	مٹی	grond	مٹی	N;SG	N;NOM;MASC;SG;3
grond	غرض	grond	غرض	N;SG	N;NOM;MASC;SG;3
beroep	پیشہ	beroep	پیشہ	N;SG	N;NOM;MASC;SG;3
historiese	تاریخی	histories	تاریخی	ADJ;NOM	ADJ
minister	وزیر	minister	وزیر	N;SG	N;NOM;MASC;SG;3
ontwikkeling	تکمیل	ontwikkeling	تکمیل	N;SG	N;NOM;MASC;SG;3
god	معبود	god	معبود	N;SG	N;NOM;MASC;SG;3
militêre	عسکری	militêr	عسکری	ADJ;NOM	ADJ
ontdek	جاننا	ontdek	جان	V;PRS	V;MASC;SG;NFIN;ACT
oorspronklike	تخلیقی	oorspronklik	تخلیقی	ADJ;NOM	ADJ
oorspronklike	نیا	oorspronklik	نیا	ADJ;NOM	ADJ;NOM;MASC;SG
oorspronklike	انوکھا	oorspronklik	انوکھا	ADJ;NOM	ADJ;NOM;MASC;SG
katolieke	جامع	katoliek	جامع	ADJ;NOM	ADJ
boek	رسالہ	boek	رسالہ	N;SG	N;NOM;MASC;SG;3
boek	جریدہ	boek	جریدہ	N;SG	N;NOM;MASC;SG;3
boek	لیبل	boek	لیبل	N;SG	N;NOM;MASC;SG;3
goed	باادب	goed	باادب		
goed	مدّعا	goed	مدّعا		
goed	up	goed	up		
goed	(	goed	(		
goed	(	goed	(		
wet	لحاظ	wet	لحاظ	N;SG	N;NOM;MASC;SG;3
wet	معمول	wet	معمول	N;SG	N;NOM;MASC;SG;3
wet	قاعدہ	wet	قاعدہ	N;SG	N;NOM;MASC;SG;3
wet	لحاظ	wet	لحاظ	N;SG	N;NOM;MASC;SG;3
wet	معمول	wet	معمول	N;SG	N;NOM;MASC;SG;3
wet	حرکت	wet	حرکت	N;SG	N;NOM;MASC;SG;3
wet	اقدام	wet	اقدام	N;SG	N;NOM;MASC;SG;3
wet	حرکت	wet	حرکت	N;SG	N;NOM;MASC;SG;3
wet	اقدام	wet	اقدام	N;SG	N;NOM;MASC;SG;3
wet	عمل	wet	عمل	N;SG	N;NOM;MASC;SG;3
goeie	باادب	goed	باادب		
goeie	مدّعا	goed	مدّعا		
val	آپڑنے	val	آپڑ	V;PRS	V;NFIN;ACT
val	بچھڑنا.	val	بچھڑنا	V;PRS	V;NFIN;ACT
val	برسنے	val	برسنہ	V;PRS	V;PL;V.PTCP;ACT
val	بٹنا	val	بٹ	V;PRS	V;MASC;SG;NFIN;ACT
val	ڈھال	val	ڈھال	V;PRS	V;ACT
val	اترنا	val	اتر	V;PRS	V;MASC;SG;NFIN;ACT
val	مرنا	val	مر	V;PRS	V;MASC;SG;NFIN;ACT
val	پھینکنا	val	پھینکنا	V;PRS	V;NFIN;ACT
val	گرانا	val	گرانا	V;PRS	V;MASC;SG;NFIN;ACT
