par	대략	par	대략		
mājas	주택	māja	주택	N;NOM;FEM;PL	N
mājas	오두막	māja	오두막	N;NOM;FEM;PL	N
diskusija	논의	diskusija	논의	N;NOM;FEM;SG	N
viņam	그를	viņš	그+를	PRO;DAT;MASC;SG;3	PRO
gandrīz	거의	gandrīz	거의	ADV	ADV
krastā	해변	krasts	해변	N;ESS;MASC;SG	N
pasta	편지	pasts	편지	N;NOM;MASC;SG	N
pasta	우편	pasts	우편	N;NOM;MASC;SG	N
albums	앨범	albums	앨범	N;NOM;MASC;SG	N
albums	음반	albums	음반	N;NOM;MASC;SG	N
prezidents	회장	prezidents	회장	N;NOM;MASC;SG	N
prezidents	대통령	prezidents	대통령	N;NOM;MASC;SG	N
nodarbošanās	점령	nodarbošanās	점령	N;NOM;FEM;SG	N
galvenokārt	주로	galvenokārt	주로	ADV	ADV
galvenokārt	주로	galvenokārt	주로	ADV	ADV
galvenokārt	주로	galvenokārt	주로	ADV	ADV
politiķis	정치인	politiķis	정치인	N;NOM;MASC;SG	N
politiķis	정치가	politiķis	정치+가	N;NOM;MASC;SG	N
politiķis	정치	politiķis	정치	N;NOM;MASC;SG	N
šeit	여기에	šeit	여기+에	ADV	ADV
universitātes	대학	universitāte	대학	N;NOM;FEM;PL	N
universitātes	대학교	universitāte	대학교	N;NOM;FEM;PL	N
universitātes	대학	universitāte	대학	N;NOM;FEM;PL	N
republikas	공화국	republika	공화국	N;NOM;FEM;PL	N
republikas	공화국	republika	공화국	N;NOM;FEM;PL	N
apgabals	구역	apgabals	구역	N;NOM;MASC;SG	N
apgabals	영역	apgabals	영역	N;NOM;MASC;SG	N
apgabals	지역	apgabals	지역	N;NOM;MASC;SG	N
darbības	작전	darbība	작전	N;NOM;FEM;PL	N
darbības	운영	darbība	운영	N;NOM;FEM;PL	N
darbības	활동	darbība	활동	N;NOM;FEM;PL	N
darbības	행동	darbība	행동	N;NOM;FEM;PL	N
darbības	활동	darbība	활동	N;NOM;FEM;PL	N
darbības	동작	darbība	동작	N;NOM;FEM;PL	N
darbības	액션	darbība	액션	N;NOM;FEM;PL	N
pilsētu	도시	pilsēta	도시	N;ACC;FEM;SG	N
pilsētu	도시	pilsēta	도시	N;ACC;FEM;SG	N
cilvēki	국민	cilvēks	국민	N;NOM;MASC;PL	N
cilvēki	사람	cilvēks	사람	N;NOM;MASC;PL	N
cilvēki	사람들	cilvēks	사람+들	N;NOM;MASC;PL	N
ezera	호수	ezers	호수	N;GEN;MASC;SG	N
izlase	표본	izlase	표본	N;NOM;FEM;SG	N
izlase	샘플링	izlase	샘플링	N;NOM;FEM;SG	N
izlase	샘플	izlase	샘플	N;NOM;FEM;SG	N
izlase	선택	izlase	선택	N;NOM;FEM;SG	N
tur	거기에	tur	거기+에	ADV	ADV
viņi	그들이	viņš	그+들+이	PRO;NOM;MASC;PL;3	PRO
viņi	그들은	viņš	그+들+은	PRO;NOM;MASC;PL;3	PRO
īpaši	특히	īpaši	특히	ADV	ADV
īpaši	특히	īpaši	특히	ADV	ADV
partija	파티	partija	파티	N;NOM;FEM;SG	N
partija	배치	partija	배치	N;NOM;FEM;SG	N
partija	일괄	partija	일괄	N;NOM;FEM;SG	N
informācija	정보	informācija	정보	N;NOM;FEM;SG	N
teritorijas	영토	teritorija	영토	N;NOM;FEM;PL	N
teritorijas	영역	teritorija	영역	N;NOM;FEM;PL	N
rajons	사단	rajons	사단	N;NOM;MASC;SG	N
rajons	디비전	rajons	디비전	N;NOM;MASC;SG	N
medaļu	메달	medaļa	메달	N;ACC;FEM;SG	N
ielas	거리	iela	거리	N;NOM;FEM;PL	N
katoļu	가톨릭주의	katolis	가톨릭주의	N;GEN;MASC;PL	N
katoļu	가톨릭	katolis	가톨릭	N;GEN;MASC;PL	N
sistēmas	체계	sistēma	체계	N;NOM;FEM;PL	N
sistēmas	시스템	sistēma	시스템	N;NOM;FEM;PL	N
sistēmas	체계	sistēma	체계	N;NOM;FEM;PL	N
sistēmas	시스템	sistēma	시스템	N;NOM;FEM;PL	N
līga	동맹	līga	동맹	N;NOM;FEM;SG	N
līga	리그	līga	리그	N;NOM;FEM;SG	N
mūsdienu	현대	mūsdienas	현대	N;GEN;FEM	N
mūsdienu	근대	mūsdienas	근대	N;GEN;FEM	N
mūsdienu	현대	mūsdienas	현대	N;GEN;FEM	N
nāves	죽음	nāve	죽음	N;NOM;FEM;SG	N
nāves	사망	nāve	사망	N;NOM;FEM;SG	N
padomes	협의회	padome	협의회	N;NOM;FEM;PL	N
padomes	평의회	padome	평의회	N;NOM;FEM;PL	N
universitāte	대학교	universitāte	대학교	N;NOM;FEM;SG	N
universitāte	대학	universitāte	대학	N;NOM;FEM;SG	N
dabas	자연	daba	자연	N;NOM;FEM;PL	N
dabas	천연	daba	천연	N;NOM;FEM;PL	N
savienības	동맹	savienība	동맹	N;NOM;FEM;PL	N
savienības	연맹	savienība	연맹	N;NOM;FEM;PL	N
savienības	연합	savienība	연합	N;NOM;FEM;PL	N
vidū	중간	vidus	중간	N;ESS;MASC	N
vidū	가운데	vidus	가운데	N;ESS;MASC	N
rakstnieks	작가	rakstnieks	작가	N;NOM;MASC;SG	N
universitātē	대학교	universitāte	대학교	N;ESS;FEM;SG	N
universitātē	대학	universitāte	대학	N;ESS;FEM;SG	N
ziemeļos	북부	ziemelis	북부	N;ESS;MASC;PL	N
ziemeļos	북쪽	ziemelis	북+쪽	N;ESS;MASC;PL	N
dziesmas	노래	dziesma	노래	N;NOM;FEM;PL	N
sieviešu	여성	sieviete	여성	N;GEN;FEM;PL	N
filma	영화	filma	영화	N;NOM;FEM;SG	N
filma	필름	filma	필름	N;NOM;FEM;SG	N
filma	영화	filma	영화	N;NOM;FEM;SG	N
filmas	필름	filma	필름	N;NOM;FEM;PL	N
filmas	영화	filma	영화	N;NOM;FEM;PL	N
filmas	영화	filma	영화	N;NOM;FEM;PL	N
atkal	다시	atkal	다시	ADV	ADV
atkal	또다시	atkal	또다시	ADV	ADV
autors	작가	autors	작가	N;NOM;MASC;SG	N
autors	저자	autors	저자	N;NOM;MASC;SG	N
autors	제작자	autors	제작자	N;NOM;MASC;SG	N
autors	작성자	autors	작성자	N;NOM;MASC;SG	N
dzīvoja	살았던	dzīvot	살+았+던	V;FH;IND;3;POS;PST;FIN;ACT	V
zeme	지구	zeme	지구	N;NOM;FEM;SG	N
ķermeņa	시체	ķermenis	시체	N;GEN;MASC;SG	N
ķermeņa	몸매	ķermenis	몸매	N;GEN;MASC;SG	N
ķermeņa	몸매가	ķermenis	몸매+가	N;GEN;MASC;SG	N
vēlēšanās	선거	vēlēšanās	선거	N;NOM;FEM;SG	N
vēlēšanās	선거	vēlēšanās	선거	N;NOM;FEM;SG	N
stadions	경기장	stadions	경기장	N;NOM;MASC;SG	N
stadions	스타디움	stadions	스타디움	N;NOM;MASC;SG	N
karš	전쟁	karš	전쟁	N;NOM;MASC;SG	N
iedzīvotāji	주민들	iedzīvotājs	주민+들	N;NOM;MASC;PL	N
iedzīvotāji	시민	iedzīvotājs	시민	N;NOM;MASC;PL	N
iedzīvotāji	시민들	iedzīvotājs	시민+들	N;NOM;MASC;PL	N
iedzīvotāji	인구순	iedzīvotājs	인구순	N;NOM;MASC;PL	N
iedzīvotāji	인구	iedzīvotājs	인구	N;NOM;MASC;PL	N
saules	태양	saule	태양	N;NOM;FEM;PL	N
saules	태양광	saule	태양광	N;NOM;FEM;PL	N
saules	태양	saule	태양	N;NOM;FEM;PL	N
laiks	시간	laiks	시간	N;NOM;MASC;SG	N
saņēma	받았습니다	saņemt	받+았+습니다	V;FH;IND;3;POS;PST;FIN;ACT	V
saņēma	받은	saņemt	받+ㄴ	V;FH;IND;3;POS;PST;FIN;ACT	V
uzsāka	시작됨	uzsākt	시작+되+ㄴ	V;FH;IND;3;POS;PST;FIN;ACT	V
skolas	학교	skola	학교	N;NOM;FEM;PL	N
skolas	학교	skola	학교	N;NOM;FEM;PL	N
skolas	학교는	skola	학교+는	N;NOM;FEM;PL	N
diena	하루	diena	하루	N;NOM;FEM;SG	N
austrumos	동부	austrumi	동부	N;ESS;MASC	N
temperatūra	온도	temperatūra	온도	N;NOM;FEM;SG	N
temperatūra	온도	temperatūra	온도	N;NOM;FEM;SG	N
kopumā	전반	kopums	전반	N;ESS;MASC;SG	N
aktieris	배우	aktieris	배우	N;NOM;MASC;SG	N
ciema	마을	ciems	마을	N;GEN;MASC;SG	N
darbi	작동	darbs	작동	N;NOM;MASC;PL	N
darbi	작품	darbs	작품	N;NOM;MASC;PL	N
darbi	작업	darbs	작업	N;NOM;MASC;PL	N
darbi	일자리	darbs	일자리	N;NOM;MASC;PL	N
darbi	직업	darbs	직업	N;NOM;MASC;PL	N
vēstures	역사	vēsture	역사	N;NOM;FEM;PL	N
vēstures	내역	vēsture	내역	N;NOM;FEM;PL	N
vēstures	기록	vēsture	기록	N;NOM;FEM;PL	N
kalnu	산악	kalns	산악	N;ACC;MASC;SG	N
spēļu	게임	spēle	게임	N;GEN;FEM;PL	N
aizsardzības	보호	aizsardzība	보호	N;NOM;FEM;PL	N
aizsardzības	방위	aizsardzība	방위	N;NOM;FEM;PL	N
aizsardzības	국방	aizsardzība	국방	N;NOM;FEM;PL	N
aizsardzības	디펜스	aizsardzība	디펜스	N;NOM;FEM;PL	N
datums	데이트	datums	데이트	N;NOM;MASC;SG	N
izveidota	만들었습니다	izveidot	만들+었+습니다	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
ēka	건물	ēka	건물	N;NOM;FEM;SG	N
ēka	건축	ēka	건축	N;NOM;FEM;SG	N
ēka	빌딩	ēka	빌딩	N;NOM;FEM;SG	N
sistēma	체계	sistēma	체계	N;NOM;FEM;SG	N
sistēma	시스템	sistēma	시스템	N;NOM;FEM;SG	N
vadītājs	관리자	vadītājs	관리자	N;NOM;MASC;SG	N
vadītājs	운전사	vadītājs	운전사	N;NOM;MASC;SG	N
vadītājs	지도자	vadītājs	지도자	N;NOM;MASC;SG	N
vadītājs	머리	vadītājs	머리	N;NOM;MASC;SG	N
ietilpst	포함됨	ietilpt	포함+되+ㄴ	V;FH;IND;3;POS;PRS;FIN;ACT	V
ēkas	건물	ēka	건물	N;NOM;FEM;PL	N
ēkas	건축	ēka	건축	N;NOM;FEM;PL	N
ēkas	빌딩	ēka	빌딩	N;NOM;FEM;PL	N
ēkas	건물	ēka	건물	N;NOM;FEM;PL	N
ēkas	건축물	ēka	건축물	N;NOM;FEM;PL	N
ēkas	건물들	ēka	건물+들	N;NOM;FEM;PL	N
ēkas	빌딩	ēka	빌딩	N;NOM;FEM;PL	N
karjeru	경력	karjera	경력	N;ACC;FEM;SG	N
karjeru	직업	karjera	직업	N;ACC;FEM;SG	N
grupu	집단	grupa	집단	N;ACC;FEM;SG	N
vēsturē	역사	vēsture	역사	N;ESS;FEM;SG	N
vēsturē	내역	vēsture	내역	N;ESS;FEM;SG	N
vēsturē	기록	vēsture	기록	N;ESS;FEM;SG	N
uzņēmums	회사	uzņēmums	회사	N;NOM;MASC;SG	N
uzņēmums	기업	uzņēmums	기업	N;NOM;MASC;SG	N
uzņēmums	설립	uzņēmums	설립	N;NOM;MASC;SG	N
uzņēmums	기업	uzņēmums	기업	N;NOM;MASC;SG	N
rindās	계급	rinda	계급	N;ESS;FEM;PL	N
tēvs	아버지	tēvs	아버지	N;NOM;MASC;SG	N
dēls	아들	dēls	아들	N;NOM;MASC;SG	N
basketbola	농구	basketbols	농구	N;GEN;MASC;SG	N
vārds	이름	vārds	이름	N;NOM;MASC;SG	N
teritorija	영토	teritorija	영토	N;NOM;FEM;SG	N
teritorija	준주	teritorija	준주	N;NOM;FEM;SG	N
teritorija	구역	teritorija	구역	N;NOM;FEM;SG	N
teritorija	영역	teritorija	영역	N;NOM;FEM;SG	N
teritorija	지역	teritorija	지역	N;NOM;FEM;SG	N
cilvēka	인간	cilvēks	인간	N;GEN;MASC;SG	N
cilvēka	인체	cilvēks	인체	N;GEN;MASC;SG	N
svars	몸무게	svars	몸무+게	N;NOM;MASC;SG	N
svars	몸무게가	svars	몸무게+가	N;NOM;MASC;SG	N
svars	체중	svars	체중	N;NOM;MASC;SG	N
režisors	감독	režisors	감독	N;NOM;MASC;SG	N
radio	라디오방송	radio	라디오방송	N	N
dziesma	노래	dziesma	노래	N;NOM;FEM;SG	N
kaujas	전투	kauja	전투	N;NOM;FEM;PL	N
viņas	그녀의	viņa	그녀+의	PRO;NOM;FEM;PL;3	PRO
koka	나무	koks	나무	N;GEN;MASC;SG	N
koka	목재	koks	목재	N;GEN;MASC;SG	N
karjeras	경력	karjera	경력	N;NOM;FEM;PL	N
karjeras	직업	karjera	직업	N;NOM;FEM;PL	N
miera	평화	miers	평화	N;NOM;MASC	N
pavadonis	인공위성	pavadonis	인공위성	N;NOM;MASC;SG	N
pavadonis	위성	pavadonis	위성	N;NOM;MASC;SG	N
tiesnesis	판사	tiesnesis	판사	N;NOM;MASC;SG	N
karā	전쟁	karš	전쟁	N;ESS;MASC;SG	N
marts	행진	marts	행진	N;NOM;MASC;SG	N
izglītības	교육	izglītība	교육	N;NOM;FEM;PL	N
valdības	정부	valdība	정부	N;NOM;FEM;PL	N
veids	종류	veids	종류	N;NOM;MASC;SG	N
veids	유형	veids	유형	N;NOM;MASC;SG	N
saraksts	목록	saraksts	목록	N;NOM;MASC;SG	N
saraksts	명단	saraksts	명단	N;NOM;MASC;SG	N
vasarā	여름	vasara	여름	N;ESS;FEM;SG	N
ebreju	유대인	ebrejs	유대+이+ㄴ	N;ACC;MASC;SG	N
ebreju	유대교	ebrejs	유대교	N;ACC;MASC;SG	N
attēlā	그림	attēls	그림	N;ESS;MASC;SG	N
izmaiņas	변화	izmaiņa	변화	N;NOM;FEM;PL	N
izmaiņas	변경	izmaiņa	변경	N;NOM;FEM;PL	N
izmaiņas	변화	izmaiņa	변화	N;NOM;FEM;PL	N
izmaiņas	변경	izmaiņa	변경	N;NOM;FEM;PL	N
albuma	앨범	albums	앨범	N;GEN;MASC;SG	N
albuma	음반	albums	음반	N;GEN;MASC;SG	N
sezonu	계절	sezona	계절	N;ACC;FEM;SG	N
robežas	경계	robeža	경계	N;NOM;FEM;PL	N
robežas	국경	robeža	국경	N;NOM;FEM;PL	N
robežas	국경	robeža	국경	N;NOM;FEM;PL	N
robežas	경계	robeža	경계	N;NOM;FEM;PL	N
robežas	한계	robeža	한계	N;NOM;FEM;PL	N
robežas	제한	robeža	제한	N;NOM;FEM;PL	N
medaļas	메달	medaļa	메달	N;NOM;FEM;PL	N
dienu	하루	diena	하루	N;ACC;FEM;SG	N
dienā	하루	diena	하루	N;ESS;FEM;SG	N
dienā	일상	diena	일상	N;ESS;FEM;SG	N
periods	기간	periods	기간	N;NOM;MASC;SG	N
periods	시대	periods	시대	N;NOM;MASC;SG	N
dalībnieks	참석자	dalībnieks	참석자	N;NOM;MASC;SG	N
dalībnieks	참가자	dalībnieks	참가자	N;NOM;MASC;SG	N
vēsture	역사	vēsture	역사	N;NOM;FEM;SG	N
vēsture	내역	vēsture	내역	N;NOM;FEM;SG	N
vēsture	기록	vēsture	기록	N;NOM;FEM;SG	N
platība	구역	platība	구역	N;NOM;FEM;SG	N
platība	영역	platība	영역	N;NOM;FEM;SG	N
platība	지역	platība	지역	N;NOM;FEM;SG	N
poļu	폴란드인	polis	폴란드인	N;GEN;MASC;PL	N
karaspēks	해병대	karaspēks	해병대	N;NOM;MASC;SG	N
karaspēks	군대	karaspēks	군대	N;NOM;MASC;SG	N
teātra	연극	teātris	연극	N;GEN;MASC;SG	N
teātra	극장	teātris	극장	N;GEN;MASC;SG	N
aktrise	배우	aktrise	배우	N;NOM;FEM;SG	N
aktrise	여배우	aktrise	여배우	N;NOM;FEM;SG	N
joprojām	아직도	joprojām	아직도	ADV	ADV
joprojām	여전히	joprojām	여전+히	ADV	ADV
filmu	영화	filma	영화	N;ACC;FEM;SG	N
kārta	턴제	kārta	턴제	N;NOM;FEM;SG	N
tirdzniecības	마케팅	tirdzniecība	마케팅	N;NOM;FEM;PL	N
tirdzniecības	무역	tirdzniecība	무역	N;NOM;FEM;PL	N
pastāv	존재함	pastāvēt	존재+하+ㅁ	V;FH;IND;3;POS;PRS;FIN;ACT	V
pastāv	존재함	pastāvēt	존재+하+ㅁ	V;FH;IND;3;POS;PRS;FIN;ACT	V
cilvēks	사람	cilvēks	사람	N;NOM;MASC;SG	N
cilvēks	인간	cilvēks	인간	N;NOM;MASC;SG	N
cilvēks	인체	cilvēks	인체	N;NOM;MASC;SG	N
cilvēks	남자	cilvēks	남자	N;NOM;MASC;SG	N
cilvēks	남성	cilvēks	남성	N;NOM;MASC;SG	N
cilvēks	사람	cilvēks	사람	N;NOM;MASC;SG	N
parks	공원	parks	공원	N;NOM;MASC;SG	N
sacensībās	대회	sacensība	대회	N;ESS;FEM;PL	N
lapa	시트	lapa	시트	N;NOM;FEM;SG	N
darbība	작동	darbība	작동	N;NOM;FEM;SG	N
darbība	작전	darbība	작전	N;NOM;FEM;SG	N
darbība	활동	darbība	활동	N;NOM;FEM;SG	N
uzbrucējs	공격자가	uzbrucējs	공격자+가	N;NOM;MASC;SG	N
bronzas	청동기	bronza	청동기	N;NOM;FEM;PL	N
karogs	깃발	karogs	깃발	N;NOM;MASC;SG	N
karogs	국기	karogs	국기	N;NOM;MASC;SG	N
karogs	플래그	karogs	플래그	N;NOM;MASC;SG	N
zemi	지구	zeme	지구	N;ACC;FEM;SG	N
māte	어머니	māte	어머니	N;NOM;FEM;SG	N
kategorijas	카테고리	kategorija	카테고리	N;NOM;FEM;PL	N
kategorijas	카테고리가	kategorija	카테고리+가	N;NOM;FEM;PL	N
kategorijas	범주	kategorija	범주	N;NOM;FEM;PL	N
kategorijas	분류	kategorija	분류	N;NOM;FEM;PL	N
ledus	얼음	ledus	얼+음	N;NOM;MASC	N
treneris	코치	treneris	코치	N;NOM;MASC;SG	N
krasta	해변	krasts	해변	N;GEN;MASC;SG	N
žanrs	장르	žanrs	장르	N;NOM;MASC;SG	N
komandieris	지휘관	komandieris	지휘관	N;NOM;MASC;SG	N
komandieris	사령관	komandieris	사령관	N;NOM;MASC;SG	N
dzīvi	생명	dzīve	생명	N;ACC;FEM;SG	N
dzīvi	생활	dzīve	생활	N;ACC;FEM;SG	N
dzīvi	인생	dzīve	인생	N;ACC;FEM;SG	N
dzīvi	생방송	dzīve	생방송	N;ACC;FEM;SG	N
uzvaru	우승	uzvara	우승	N;ACC;FEM;SG	N
