von	de	von	de	ADP	ADP
gibt	confere	geben	conferir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gibt	dá	geben	dar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
mal	outrora	mal	outrora	ADV	ADV
mal	mal	mal	mal	ADV	ADV
ersten	primeiros	erst	primeiro	ADJ;NOM;PL	ADJ;MASC;PL
dort	ali	dort	ali	ADV	ADV
dort	aí	dort	aí	ADV	ADV
dort	lá	dort	lá	ADV	ADV
siehe	ver	sehen	ver	V;IMP;SG;FIN	V;NFIN
drei	tres	drei	tres	NUM	NUM
drei	três	drei	três	NUM	NUM
heute	hoje	heute	hoje	ADV	ADV
ihre	seu	ihr	seu	DET;NOM;FEM;SG	DET;MASC;SG
ihre	sua	ihr	seu	DET;NOM;FEM;SG	DET;FEM;SG
ihre	seu	ihr	seu	DET;NOM;FEM;SG	DET;MASC;SG
ihre	sua	ihr	seu	DET;NOM;FEM;SG	DET;FEM;SG
ihre	seu	ihr	seu	DET;NOM;FEM;SG	DET;MASC;SG
ihre	sua	ihr	seu	DET;NOM;FEM;SG	DET;FEM;SG
bereits	já	bereits	já	ADV	ADV
sehr	muito	sehr	muito	ADV	ADV
seinen	seu	sein	seu	DET;ACC;MASC;SG	DET;MASC;SG
seinen	sua	sein	seu	DET;ACC;MASC;SG	DET;FEM;SG
ihr	você	ihr	você	PRO;NOM;MASC;SG	PRO;NOM;SG;3
ihr	vc	ihr	vc	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG;3
ihr	ela	ihr	ela	PRO;NOM;MASC;SG	PRO;NOM;FEM;SG;3
gemeinde	paróquia	gemeinde	paróquia	N;NOM;FEM;SG	N;FEM;SG
gemeinde	freguesia	gemeinde	freguesia	N;NOM;FEM;SG	N;FEM;SG
gemeinde	município	gemeinde	município	N;NOM;FEM;SG	N;MASC;SG
gemeinde	concelho	gemeinde	concelho	N;NOM;FEM;SG	N;MASC;SG
gemeinde	comunidade	gemeinde	comunidade	N;NOM;FEM;SG	N;FEM;SG
seinem	seu	sein	seu	DET;DAT;MASC;SG	DET;MASC;SG
seinem	sua	sein	seu	DET;DAT;MASC;SG	DET;FEM;SG
erste	primeiros	erst	primeiro	ADJ;NOM;FEM;PL	ADJ;MASC;PL
ohne	sem	ohne	sem	ADP	ADP
ende	acabamento	ende	acabamento	N;ACC;NEUT;SG	N;MASC;SG
ende	end	ende	end	N;ACC;NEUT;SG	N;MASC;SG
ende	final	ende	final	N;ACC;NEUT;SG	N;MASC;SG
ende	fim	ende	fim	N;ACC;NEUT;SG	N;MASC;SG
immer	sempre	immer	sempre	ADV	ADV
verlag	editor	verliegen	editor	N;NOM;MASC;SG	N;MASC;SG
verlag	editora	verliegen	editora	N;NOM;MASC;SG	N;FEM;SG
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	N;MASC;SG
ihrer	seu	ihr	seu	DET;NOM;MASC;SG	DET;MASC;SG
ihrer	sua	ihr	seu	DET;NOM;MASC;SG	DET;FEM;SG
ihrer	seu	ihr	seu	DET;NOM;MASC;SG	DET;MASC;SG
ihrer	sua	ihr	seu	DET;NOM;MASC;SG	DET;FEM;SG
liste	lista	lassen	lista	N;NOM;FEM;SG	N;FEM;SG
liste	listagem	lassen	listagem	N;NOM;FEM;SG	N;FEM;SG
kam	chegou	kommen	chegar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
kam	veio	kommen	vir	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
vier	quatro	vier	quatro	NUM	NUM
seite	lateral	seit	lateral	N	N;MASC;SG
seite	lado	seit	lado	N	N;MASC;SG
seite	side	seit	side	N	N;MASC;SG
seite	pagina	seit	pagina	N	N;FEM;SG
seite	página	seit	página	N	N;FEM;SG
seite	page	seit	pagar	N	N;MASC;SG
seite	sítio	seit	sítio	N	N;MASC;SG
seite	site	seit	site	N	N;MASC;SG
gab	deu	geben	dar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
etwas	levemente	etwas	levemente	ADV	ADV
etwas	ligeiramente	etwas	ligeiramente	ADV	ADV
etwas	razoavelmente	etwas	razoavelmente	ADV	ADV
neue	novas	neu	novo	ADJ;NOM;FEM;PL	ADJ;FEM;PL
neue	novos	neu	novo	ADJ;NOM;FEM;PL	ADJ;MASC;PL
nun	agora	nun	agora	ADV	ADV
nun	bem	nun	bem	ADV	ADV
leben	vivendo	leben	viver	V;NFIN	V;V.MSDR
leben	viver	leben	viver	V;NFIN	V;NFIN
leben	viver	leben	viver	V;NFIN	V;NFIN
weil	porque	weil	porque	CONJ	CONJ
einige	alguns	einige	algum	PRO;NOM;INDF;PL	PRO;MASC;PL
einige	algumas	einige	algum	PRO;NOM;INDF;PL	PRO;FEM;PL
ebenfalls	igualmente	ebenfalls	igualmente	ADV	ADV
ebenfalls	também	ebenfalls	também	ADV	ADV
ebenfalls	também	ebenfalls	também	ADV	ADV
ebenfalls	demais	ebenfalls	demais	ADV	ADV
löschen	limpar	löschen	limpar	V;NFIN	V;NFIN
löschen	apagar	löschen	apagar	V;NFIN	V;NFIN
löschen	apaga	löschen	apagar	V;NFIN	V;IND;SG;3;PRS;FIN
löschen	apague	löschen	apagar	V;NFIN	V;SBJV;SG;3;PRS;FIN
löschen	apaguem	löschen	apagar	V;NFIN	V;SBJV;PL;3;PRS;FIN
löschen	apago	löschen	apago	V;NFIN	V;IND;SG;1;PRS;FIN
löschen	excluindo	löschen	excluir	V;NFIN	V;V.MSDR
löschen	apagar	löschen	apagar	V;NFIN	V;NFIN
löschen	apagando	löschen	apagar	V;NFIN	V;V.MSDR
löschen	apagar	löschen	apagar	V;NFIN	V;NFIN
löschen	excluir	löschen	excluir	V;NFIN	V;NFIN
löschen	apaga	löschen	apagar	V;NFIN	V;IND;SG;3;PRS;FIN
löschen	eliminar	löschen	eliminar	V;NFIN	V;NFIN
erhielt	recebida	erhalten	receber	V;IND;SG;3;PST;FIN	V;FEM;SG;V.PTCP
erhielt	recebido	erhalten	receber	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP
erhielt	recebeu	erhalten	receber	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
bekannt	conhecida	bekennen	conhecido	ADJ	ADJ;FEM;SG
bekannt	conhecido	bekennen	conhecido	ADJ	ADJ;MASC;SG
bekannt	conhecidas	bekennen	conhecido	ADJ	ADJ;FEM;PL
bekannt	conhecidos	bekennen	conhecido	ADJ	ADJ;MASC;PL
ort	local	ort	local	N;NOM;MASC;SG	N;MASC;SG
ort	lugar	ort	lugar	N;NOM;MASC;SG	N;MASC;SG
ort	place	ort	place	N;NOM;MASC;SG	N;MASC;SG
ort	local	ort	local	N;NOM;MASC;SG	N;MASC;SG
ort	sítio	ort	sítio	N;NOM;MASC;SG	N;MASC;SG
ort	localização	ort	localização	N;NOM;MASC;SG	N;FEM;SG
allem	tudo	alle	tudo	PRO;DAT;INDF;NEUT;SG	PRO;MASC;SG
jetzt	agora	jetzt	agora	ADV	ADV
wohl	provavelmente	wohl	provavelmente	ADV	ADV
wohl	indiscutivelmente	wohl	indiscutivelmente	ADV	ADV
saison	sazonalidade	saison	sazonalidade	N;NOM;FEM;SG	N;FEM;SG
saison	temporada	saison	temporada	N;NOM;FEM;SG	N;FEM;SG
saison	época	saison	época	N;NOM;FEM;SG	N;FEM;SG
neuen	novo	neu	novo	ADJ;ACC;MASC;SG	ADJ;MASC;SG
neuen	nova	neu	novo	ADJ;ACC;MASC;SG	ADJ;FEM;SG
art	type	art	type	N;NOM;FEM;SG	N;MASC;SG
art	tipo	art	tipo	N;NOM;FEM;SG	N;MASC;SG
art	tipo	art	tipo	N;NOM;FEM;SG	N;MASC;SG
personen	indivíduos	Person	indivíduo	N;NOM;FEM;PL	N;MASC;PL
personen	pessoas	Person	pessoa	N;NOM;FEM;PL	N;FEM;PL
gut	boa	gut	bom	ADJ	ADJ;FEM;SG
gut	bom	gut	bom	ADJ	ADJ;MASC;SG
daher	assim	daher	assim	ADV	ADV
familie	família	familie	família	N;NOM;FEM;SG	N;FEM;SG
familie	familia	familie	familia	N;NOM;FEM;SG	N;FEM;SG
name	nome	Name	nome	N;NOM;SG	N;MASC;SG
behalten	reter	behalten	reter	V;NFIN	V;NFIN
behalten	mantendo	behalten	manter	V;NFIN	V;V.MSDR
behalten	manter	behalten	manter	V;NFIN	V;NFIN
behalten	conservado	behalten	conservar	V;NFIN	V;MASC;SG;V.PTCP
behalten	manteve	behalten	manter	V;NFIN	V;IND;SG;3;PST;FIN
behalten	retida	behalten	reter	V;NFIN	V;FEM;SG;V.PTCP
behalten	mantidos	behalten	manter	V;NFIN	V;MASC;PL;V.PTCP
behalten	mantido	behalten	manter	V;NFIN	V;MASC;SG;V.PTCP
behalten	retidos	behalten	reter	V;NFIN	V;MASC;PL;V.PTCP
behalten	mantenha	behalten	manter	V;NFIN	V;SBJV;SG;3;PRS;FIN
behalten	continue	behalten	continuar	V;NFIN	V;SBJV;SG;3;PRS;FIN
behalten	continuem	behalten	continuar	V;NFIN	V;SBJV;PL;3;PRS;FIN
behalten	manter	behalten	manter	V;NFIN	V;NFIN
sohn	sohn	sohnen	sohn	N;NOM;MASC;SG	N;MASC;SG
sohn	son	sohnen	son	N;NOM;MASC;SG	N;MASC;SG
sohn	filho	sohnen	filho	N;NOM;MASC;SG	N;MASC;SG
außerdem	igualmente	außerdem	igualmente	ADV	ADV
außerdem	também	außerdem	também	ADV	ADV
gehört	ouviu	gehören	ouvir	V;V.PTCP	V;IND;SG;3;PST;FIN
gehört	ouviram	gehören	ouvir	V;V.PTCP	V;IND;PL;3;FIN
gehört	ouvido	gehören	ouvir	V;V.PTCP	V;MASC;SG;V.PTCP
gehört	ouvi	gehören	ouvir	V;V.PTCP	V;IND;SG;1;PST;FIN
gehört	pertence	gehören	pertencer	V;V.PTCP	V;IND;SG;3;PRS;FIN
gehört	ouviu	gehören	ouvir	V;V.PTCP	V;IND;SG;3;PST;FIN
gehört	escutou	gehören	escutar	V;V.PTCP	V;IND;SG;3;PST;FIN
gehört	ouvia	gehören	ouvir	V;V.PTCP	V;IND;SG;3;IPFV;FIN
nichts	nada	nichts	nada	PRO;INDF	PRO;MASC;SG
bezeichnet	designados	bezeichnen	designar	V;V.PTCP	V;MASC;PL;V.PTCP
bezeichnet	designada	bezeichnen	designar	V;V.PTCP	V;FEM;SG;V.PTCP
bezeichnet	designado	bezeichnen	designar	V;V.PTCP	V;MASC;SG;V.PTCP
bezeichnet	designadas	bezeichnen	designar	V;V.PTCP	V;FEM;PL;V.PTCP
bezeichnet	denotado	bezeichnen	denotar	V;V.PTCP	V;MASC;SG;V.PTCP
bezeichnet	designa	bezeichnen	designa	V;V.PTCP	V;IND;SG;3;PRS;FIN
gelöscht	excluído	löschen	excluir	V;V.PTCP	V;MASC;SG;V.PTCP
gelöscht	excluída	löschen	excluir	V;V.PTCP	V;FEM;SG;V.PTCP
gelöscht	suprimido	löschen	suprimir	V;V.PTCP	V;MASC;SG;V.PTCP
gelöscht	eliminados	löschen	eliminar	V;V.PTCP	V;MASC;PL;V.PTCP
gelöscht	eliminado	löschen	eliminar	V;V.PTCP	V;MASC;SG;V.PTCP
gelöscht	excluídos	löschen	excluir	V;V.PTCP	V;MASC;PL;V.PTCP
kommt	chega	kommen	chegar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
kommt	vem	kommen	vir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
kommt	vindo	kommen	vir	V;IND;SG;3;PRS;FIN	V;MASC;V.PTCP
kommt	chegando	kommen	chegar	V;IND;SG;3;PRS;FIN	V;V.MSDR
menschen	humanos	menschen	humano	N;NOM;PL	N;MASC;PL
menschen	humanas	menschen	humano	N;NOM;PL	N;FEM;PL
menschen	pessoas	menschen	pessoa	N;NOM;PL	N;FEM;PL
begann	iniciado	beginnen	iniciar	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP
begann	começou	beginnen	começar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
begann	iniciou	beginnen	iniciar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
begann	começou	beginnen	começar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
begann	iniciado	beginnen	iniciar	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP
begann	iniciada	beginnen	iniciar	V;IND;SG;3;PST;FIN	V;FEM;SG;V.PTCP
begann	começou	beginnen	começar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
danach	então	danach	então	ADV	ADV
danach	depois	danach	depois	ADV	ADV
danach	depois	danach	depois	ADV	ADV
fünf	cinco	fünf	cinco	NUM	NUM
könig	king	könig	king	N;NOM;SG	N;MASC;SG
könig	rei	könig	rei	N;NOM;SG	N;MASC;SG
könig	könig	könig	könig	N;NOM;SG	N;MASC;SG
besteht	consiste	bestehen	consistir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
besteht	insiste	bestehen	insistir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
mehrere	vários	mehrere	vários	PRO;NOM;INDF;PL	PRO;MASC;PL
mehrere	várias	mehrere	várias	PRO;NOM;INDF;PL	PRO;FEM;PL
form	molde	form	molde	N;SG	N;MASC;SG
form	forma	form	forma	N;SG	N;FEM;SG
form	shape	form	shape	N;SG	N;MASC;SG
form	molde	form	molde	N;SG	N;MASC;SG
form	mofo	form	mofo	N;SG	N;MASC;SG
form	bolor	form	bolor	N;SG	N;MASC;SG
form	forma	form	forma	N;SG	N;FEM;SG
form	formulário	form	formulário	N;SG	N;MASC;SG
schloss	trancar	schließen	trancar	V;SG	V;NFIN
gruppe	gruppe	grappe	gruppe	N;NOM;FEM;SG	N;MASC;SG
gruppe	grupo	grappe	grupo	N;NOM;FEM;SG	N;MASC;SG
finden	encontrar	finden	encontrar	V;NFIN	V;NFIN
finden	encontrando	finden	encontrar	V;NFIN	V;V.MSDR
finden	localize	finden	localizar	V;NFIN	V;SBJV;SG;3;PRS;FIN
finden	localizar	finden	localizar	V;NFIN	V;NFIN
finden	encontrar	finden	encontrar	V;NFIN	V;NFIN
finden	encontre	finden	encontre	V;NFIN	V;SBJV;SG;3;PRS;FIN
finden	encontra	finden	encontrar	V;NFIN	V;IND;SG;3;PRS;FIN
genannt	nomeada	nennen	nomear	V;V.PTCP	V;FEM;SG;V.PTCP
genannt	nomeado	nennen	nomear	V;V.PTCP	V;MASC;SG;V.PTCP
genannt	chamou	nennen	chamar	V;V.PTCP	V;IND;SG;3;PST;FIN
genannt	chamada	nennen	chamar	V;V.PTCP	V;FEM;SG;V.PTCP
genannt	chamado	nennen	chamar	V;V.PTCP	V;MASC;SG;V.PTCP
genannt	chamados	nennen	chamar	V;V.PTCP	V;MASC;PL;V.PTCP
nahm	levou	nehmen	levar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
nahm	tirou	nehmen	tirar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
nahm	demorou	nehmen	demorar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
letzten	últimas	letzt	último	ADJ;PL	ADJ;FEM;PL
letzten	últimos	letzt	último	ADJ;PL	ADJ;MASC;PL
spielte	estrelou	spielen	estrelar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
spielte	jogado	spielen	jogar	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP
spielte	jogou	spielen	jogar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
spielte	tocou	spielen	tocar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
neu	novo	neu	novo	ADJ	ADJ;MASC;SG
neu	novas	neu	novo	ADJ	ADJ;FEM;PL
neu	novos	neu	novo	ADJ	ADJ;MASC;PL
neu	nova	neu	novo	ADJ	ADJ;FEM;SG
ging	andou	gehen	andar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
ging	caminhou	gehen	caminhar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
machen	fazendo	machen	fazer	V;NFIN	V;V.MSDR
machen	faça	machen	fazer	V;NFIN	V;SBJV;SG;3;PRS;FIN
gewann	venceu	gewinnen	vencer	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
gewann	ganhou	gewinnen	ganhar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
gewann	ganhado	gewinnen	ganhar	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP
zwar	reconhecidamente	zwar	reconhecidamente	ADV	ADV
frage	pergunta	frage	pergunta	N;NOM;FEM;SG	N;FEM;SG
frage	questão	frage	questão	N;NOM;FEM;SG	N;FEM;SG
frage	pergunta	frage	pergunta	N;NOM;FEM;SG	N;FEM;SG
gehörte	pertenceu	gehören	pertencer	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
eher	razoavelmente	eher	razoavelmente	ADV	ADV
kurz	curto	kurz	curto	ADJ	ADJ;MASC;SG
kurz	curtas	kurz	curto	ADJ	ADJ;FEM;PL
kurz	curta	kurz	curto	ADJ	ADJ;FEM;SG
unternehmen	negócios	unternehmen	negócio	N;NOM;NEUT;PL	N;MASC;PL
unternehmen	companhias	unternehmen	companhia	N;NOM;NEUT;PL	N;FEM;PL
unternehmen	empresas	unternehmen	empresa	N;NOM;NEUT;PL	N;FEM;PL
unternehmen	negócios	unternehmen	negócio	N;NOM;NEUT;PL	N;MASC;PL
unternehmen	empreendimentos	unternehmen	empreendimento	N;NOM;NEUT;PL	N;MASC;PL
unternehmen	empresas	unternehmen	empresa	N;NOM;NEUT;PL	N;FEM;PL
verwendet	utilizada	verwenden	utilizar	V;V.PTCP	V;FEM;SG;V.PTCP
verwendet	usada	verwenden	usar	V;V.PTCP	V;FEM;SG;V.PTCP
verwendet	usado	verwenden	usar	V;V.PTCP	V;MASC;SG;V.PTCP
verwendet	utilizado	verwenden	utilizar	V;V.PTCP	V;MASC;SG;V.PTCP
verwendet	utilizados	verwenden	utilizar	V;V.PTCP	V;MASC;PL;V.PTCP
verwendet	usados	verwenden	usar	V;V.PTCP	V;MASC;PL;V.PTCP
verwendet	usa	verwenden	usar	V;V.PTCP	V;IND;SG;3;PRS;FIN
verwendet	utilizada	verwenden	utilizar	V;V.PTCP	V;FEM;SG;V.PTCP
einfach	simplesmente	einfach	simplesmente	ADV	ADV
einfach	só	einfach	só	ADV	ADV
einfach	apenas	einfach	apenas	ADV	ADV
schließlich	eventualmente	schließlich	eventualmente	ADV	ADV
schließlich	enfim	schließlich	enfim	ADV	ADV
schließlich	finalmente	schließlich	finalmente	ADV	ADV
frau	mulher	frau	mulher	N;NOM;FEM;SG	N;FEM;SG
frau	mulher	frau	mulher	N;NOM;FEM;SG	N;FEM;SG
frau	esposa	frau	esposo	N;NOM;FEM;SG	N;FEM;SG
lassen	deixe	lassen	deixar	V;NFIN	V;SBJV;SG;3;PRS;FIN
lassen	deixa	lassen	deixar	V;NFIN	V;IND;SG;3;PRS;FIN
fast	quase	fast	quase	ADV	ADV
fast	quase	fast	quase	ADV	ADV
trat	pisou	treten	pisar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
trat	renunciou	treten	renunciar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
trat	entrou	treten	entrar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
trat	aderiu	treten	aderir	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
trat	juntou	treten	juntar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
trat	chutou	treten	chutar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
arbeit	trabalho	arbeit	trabalho	N;NOM;FEM;SG	N;MASC;SG
arbeit	labor	arbeit	labor	N;NOM;FEM;SG	N;MASC;SG
macht	faz	machen	fazer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
vielleicht	talvez	vielleicht	talvez	ADV	ADV
vielleicht	talvez	vielleicht	talvez	ADV	ADV
alles	tudo	alle	tudo	PRO;NOM;INDF;NEUT;SG	PRO;MASC;SG
alles	tudo	alle	tudo	PRO;NOM;INDF;NEUT;SG	PRO;MASC;SG
oft	freqüentemente	oft	freqüentemente	ADV	ADV
oft	frequentemente	oft	frequentemente	ADV	ADV
oft	freqüentemente	oft	freqüentemente	ADV	ADV
oft	frequentemente	oft	frequentemente	ADV	ADV
landkreis	condado	landkreis	condar	N	N;MASC;SG
landkreis	landkreis	landkreis	landkrel	N	N;MASC;SG
landkreis	distrito	landkreis	distrito	N	N;MASC;SG
führte	liderado	führen	liderar	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP
führte	liderou	führen	liderar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
kategorie	categoria	kategorie	categoria	N;NOM;FEM;SG	N;FEM;SG
gilt	aplica	gelten	aplicar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
relevant	pertinente	relevant	pertinente	ADJ	ADJ;MASC;SG
relevant	relevante	relevant	relevante	ADJ	ADJ;MASC;SG
relevant	pertinentes	relevant	pertinente	ADJ	ADJ;MASC;PL
relevant	relevantes	relevant	relevante	ADJ	ADJ;MASC;PL
relevant	pertinente	relevant	pertinente	ADJ	ADJ;MASC;SG
relevant	pertinentes	relevant	pertinente	ADJ	ADJ;MASC;PL
welt	world	welt	world	N;NOM;FEM;SG	N;MASC;SG
welt	mundo	welt	mundo	N;NOM;FEM;SG	N;MASC;SG
welt	globo	welt	globo	N;NOM;FEM;SG	N;MASC;SG
welt	globe	welt	globe	N;NOM;FEM;SG	N;MASC;SG
anfang	início	anfang	início	N;ACC;MASC;SG	N;MASC;SG
anfang	early	anfang	early	N;ACC;MASC;SG	N;MASC;SG
anfang	início	anfang	início	N;ACC;MASC;SG	N;MASC;SG
anfang	começo	anfang	começo	N;ACC;MASC;SG	N;MASC;SG
viel	muito	viel	muito	ADV	ADV
insbesondere	particularmente	insbesondere	particularmente	ADV	ADV
insbesondere	especialmente	insbesondere	especialmente	ADV	ADV
haus	casa	haus	casa	N;NOM;NEUT;SG	N;FEM;SG
haus	haus	haus	haus	N;NOM;NEUT;SG	N;MASC;SG
haus	home	haus	home	N;NOM;NEUT;SG	N;MASC;SG
haus	casa	haus	casa	N;NOM;NEUT;SG	N;FEM;SG
haus	lar	haus	lar	N;NOM;NEUT;SG	N;MASC;SG
fand	encontrada	finden	encontrar	V;IND;SG;3;PST;FIN	V;FEM;SG;V.PTCP
fand	encontrado	finden	encontrar	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP
meist	geralmente	meist	geralmente	ADV	ADV
meist	normalmente	meist	normalmente	ADV	ADV
meist	habitualmente	meist	habitualmente	ADV	ADV
meist	usualmente	meist	usualmente	ADV	ADV
