que	että	que	että	CONJ	CONJ
parte	juhla	parte	juhla	N;FEM;SG	N;NOM;SG
parte	puolue	parte	puolue	N;FEM;SG	N;NOM;SG
parte	osa	parte	osa	N;FEM;SG	N;NOM;SG
donde	jossa	donde	joka	PRO	PRO;IN+ESS;SG
san	pyhä	san	pyhä	N;MASC;SG	N;NOM;SG
san	pyhimys	san	pyhimys	N;MASC;SG	N;NOM;SG
nacional	kansallinen	nacional	kansallinen	ADJ;SG	ADJ;NOM;SG
primera	ensimmäinen	primero	ensimmäinen	ADJ;FEM;SG	ADJ;NOM;SG
team	tiimi	team	tiimi	N	N;NOM;SG
team	ryhmä	team	ryhmä	N	N;NOM;SG
team	joukkue	team	joukkue	N	N;NOM;SG
cuando	kun	cuando	kun	CONJ	CONJ
nombre	nimi	nombre	nimi	N;MASC;SG	N;NOM;SG
nombre	nimeä	nombre	nimi	N;MASC;SG	N;PRT;SG
estados	valtioiden	estado	valtio	N;MASC;PL	N;GEN;PL
estados	valtiot	estado	valtio	N;MASC;PL	N;NOM;PL
estados	osavaltiot	estado	osa#valtio	N;MASC;PL	N;NOM;PL
siglo	vuosisadan	siglo	vuosi#sata	N;MASC;SG	N;GEN;SG
siglo	vuosisata	siglo	vuosi#sata	N;MASC;SG	N;NOM;SG
después	jälkeen	después	jälkeen	ADV	ADV
después	myöhemmin	después	myöhemmin	ADV	ADV
españa	espanjan	españa	espanja	N;FEM;SG	N;GEN;SG
españa	espanja	españa	espanja	N;FEM;SG	N;NOM;SG
españa	espanjassa	españa	espanja	N;FEM;SG	N;IN+ESS;SG
tiene	on	tener	olla	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
otros	muut	otro	muu	PRO;MASC;PL	PRO;NOM;PL
otros	muut	otro	muu	PRO;MASC;PL	PRO;NOM;PL
otros	muita	otro	muu	PRO;MASC;PL	PRO;PRT;PL
gran	iso	gran	iso	ADJ;SG	ADJ;NOM;SG
gran	suuri	gran	suuri	ADJ;SG	ADJ;NOM;SG
gran	hienoa	gran	hieno	ADJ;SG	ADJ;PRT;SG
estado	status	estado	status	N;MASC;SG	N;NOM;SG
estado	asema	estado	asema	N;MASC;SG	N;NOM;SG
estado	tila	estado	tila	N;MASC;SG	N;NOM;SG
estado	tilanne	estado	tilanne	N;MASC;SG	N;NOM;SG
estado	osavaltio	estado	osa#valtio	N;MASC;SG	N;NOM;SG
estado	valtion	estado	valtio	N;MASC;SG	N;GEN;SG
estado	valtio	estado	valtio	N;MASC;SG	N;NOM;SG
estado	ehto	estado	ehto	N;MASC;SG	N;NOM;SG
estado	edellytys	estado	edellytys	N;MASC;SG	N;NOM;SG
estado	kunto	estado	kunto	N;MASC;SG	N;NOM;SG
lugar	paikassa	lugar	paikka	N;MASC;SG	N;IN+ESS;SG
lugar	paikka	lugar	paikka	N;MASC;SG	N;NOM;SG
lugar	sijainti	lugar	sijainti	N;MASC;SG	N;NOM;SG
primer	ensimmäinen	primero	ensimmäinen	ADJ;MASC;SG	ADJ;NOM;SG
población	väestö	población	väestö	N;FEM;SG	N;NOM;SG
población	väkiluku	población	väki#luku	N;FEM;SG	N;NOM;SG
población	väestön	población	väestö	N;FEM;SG	N;GEN;SG
muy	hyvin	mucho	hyvin	ADV	ADV
muy	erittäin	mucho	erittäin	ADV	ADV
nueva	uusi	nuevo	uusi	ADJ;FEM;SG	ADJ;NOM;SG
nueva	uutta	nuevo	uusi	ADJ;FEM;SG	ADJ;PRT;SG
fueron	olivat	ser	olla	V;IND;PL;3;PST;FIN	V;IND;PL;3;PST;FIN;ACT
fueron	olivatko	ser	olla	V;IND;PL;3;PST;FIN	V;IND;PL;3;PST;FIN;ACT
historia	tarinaa	historia	tarina	N;FEM;SG	N;PRT;SG
historia	tarina	historia	tarina	N;FEM;SG	N;NOM;SG
historia	tarinan	historia	tarina	N;FEM;SG	N;GEN;SG
historia	historia	historia	historia	N;FEM;SG	N;NOM;SG
historia	historiaan	historia	historia	N;FEM;SG	N;IN+ALL;SG
historia	historiaa	historia	historia	N;FEM;SG	N;PRT;SG
historia	historian	historia	historia	N;FEM;SG	N;GEN;SG
historia	historiasta	historia	historia	N;FEM;SG	N;IN+ABL;SG
club	klubi	club	klubi	N;MASC;SG	N;NOM;SG
club	club	club	club	N;MASC;SG	N;NOM;SG
club	kerho	club	kerho	N;MASC;SG	N;NOM;SG
club	seura	club	seura	N;MASC;SG	N;NOM;SG
cual	jonka	cual	joka	PRO;SG	PRO;GEN;SG
cual	joka	cual	joka	PRO;SG	PRO;NOM;SG
cual	jota	cual	joka	PRO;SG	PRO;PRT;SG
cual	johon	cual	joka	PRO;SG	PRO;IN+ALL;SG
universidad	korkeakoulu	universidad	korkea#koulu	N;FEM;SG	N;NOM;SG
universidad	yliopisto	universidad	yli#opisto	N;FEM;SG	N;NOM;SG
universidad	college	universidad	college	N;FEM;SG	N;NOM;SG
universidad	korkeakoulu	universidad	korkea#koulu	N;FEM;SG	N;NOM;SG
universidad	yliopisto	universidad	yli#opisto	N;FEM;SG	N;NOM;SG
forma	muotoa	forma	muoto	N;FEM;SG	N;PRT;SG
forma	muotoon	forma	muoto	N;FEM;SG	N;IN+ALL;SG
forma	muodon	forma	muoto	N;FEM;SG	N;GEN;SG
forma	muoto	forma	muoto	N;FEM;SG	N;NOM;SG
forma	muoto	forma	muoto	N;FEM;SG	N;NOM;SG
forma	muodossa	forma	muoto	N;FEM;SG	N;IN+ESS;SG
forma	lomake	forma	lomake	N;FEM;SG	N;NOM;SG
grupo	konserni	grupo	konserni	N;MASC;SG	N;NOM;SG
grupo	ryhmän	grupo	ryhmä	N;MASC;SG	N;GEN;SG
grupo	ryhmä	grupo	ryhmä	N;MASC;SG	N;NOM;SG
general	kenraali	general	kenraali	N;SG	N;NOM;SG
guerra	sodan	guerra	sota	N;FEM;SG	N;GEN;SG
guerra	sotaa	guerra	sota	N;FEM;SG	N;PRT;SG
guerra	sota	guerra	sota	N;FEM;SG	N;NOM;SG
guerra	sodankäynnin	guerra	sodan#käynti	N;FEM;SG	N;GEN;SG
guerra	sodankäyntiä	guerra	sodan#käynti	N;FEM;SG	N;PRT;SG
aunque	vaikka	aunque	vaikka	CONJ	CONJ
aunque	vaikkakin	aunque	vaikka	CONJ	CONJ
aunque	vaikka	aunque	vaikka	CONJ	CONJ
familia	suku	familia	suku	N;FEM;SG	N;NOM;SG
familia	perhe	familia	perhe	N;FEM;SG	N;NOM;SG
familia	perheen	familia	perhe	N;FEM;SG	N;GEN;SG
además	lisäksi	además	lisäksi	ADV	ADV
además	myöskin	además	myöskin	ADV	ADV
además	myös	además	myös	ADV	ADV
además	lisäksi	además	lisäksi	ADV	ADV
todo	kaikki	todo	kaikki	PRO;MASC;SG	PRO;NOM;SG
todo	kaiken	todo	kaikki	PRO;MASC;SG	PRO;GEN;SG
todo	kaikki	todo	kaikki	PRO;MASC;SG	PRO;NOM;SG
sur	etelä	sur	etelä	N;MASC;SG	N;NOM;SG
sur	etelän	sur	etelä	N;MASC;SG	N;GEN;SG
sur	etelä	sur	etelä	N;MASC;SG	N;NOM;SG
sur	etelään	sur	etelä	N;MASC;SG	N;IN+ALL;SG
tiempo	sää	tiempo	sää	N;MASC;SG	N;NOM;SG
tiempo	keli	tiempo	keli	N;MASC;SG	N;NOM;SG
tiempo	aika	tiempo	aika	N;MASC;SG	N;NOM;SG
tiempo	ajan	tiempo	aika	N;MASC;SG	N;GEN;SG
tiempo	aikaa	tiempo	aika	N;MASC;SG	N;PRT;SG
provincia	maakunta	provincia	maa#kunta	N;FEM;SG	N;NOM;SG
partido	osapuoli	partido	osa#puoli	N;MASC;SG	N;NOM;SG
partido	juhla	partido	juhla	N;MASC;SG	N;NOM;SG
partido	puolue	partido	puolue	N;MASC;SG	N;NOM;SG
partido	vastaavuus	partido	vastaavuus	N;MASC;SG	N;NOM;SG
partido	ottelu	partido	ottelu	N;MASC;SG	N;NOM;SG
encuentra	etsiä	encontrar	etsiä	V;IND;SG;3;PRS;FIN	V;SG;NFIN;ACT
encuentra	löytää	encontrar	löytää	V;IND;SG;3;PRS;FIN	V;SG;NFIN;ACT
municipio	kunta	municipio	kunta	N;MASC;SG	N;NOM;SG
otras	muut	otro	muu	PRO;FEM;PL	PRO;NOM;PL
otras	muut	otro	muu	PRO;FEM;PL	PRO;NOM;PL
otras	muita	otro	muu	PRO;FEM;PL	PRO;PRT;PL
todos	kaikille	todo	kaikki	PRO;MASC;PL	PRO;AT+ALL;PL
todos	kaikille	todo	kaikki	PRO;MASC;PL	PRO;AT+ALL;PL
sido	ollut	ser	olla	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
sido	ollu	ser	olla	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
sido	oltu	ser	olla	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
serie	sarja	serie	sarja	N;FEM;SG	N;NOM;SG
serie	sarja	serie	sarja	N;FEM;SG	N;NOM;SG
serie	sarjanumero	serie	sarja#numero	N;FEM;SG	N;NOM;SG
serie	serie	serie	serie	N;FEM;SG	N;NOM;SG
fútbol	jalkapallo	fútbol	jalka#pallo	N;MASC;SG	N;NOM;SG
fútbol	jalkapalloa	fútbol	jalka#pallo	N;MASC;SG	N;PRT;SG
fútbol	jalkapallon	fútbol	jalka#pallo	N;MASC;SG	N;GEN;SG
fútbol	jalkapallo	fútbol	jalka#pallo	N;MASC;SG	N;NOM;SG
fútbol	jalkapalloa	fútbol	jalka#pallo	N;MASC;SG	N;PRT;SG
equipo	kalusto	equipo	kalusto	N;MASC;SG	N;NOM;SG
equipo	laitteisto	equipo	laitteisto	N;MASC;SG	N;NOM;SG
equipo	tiimi	equipo	tiimi	N;MASC;SG	N;NOM;SG
equipo	ryhmä	equipo	ryhmä	N;MASC;SG	N;NOM;SG
equipo	joukkue	equipo	joukkue	N;MASC;SG	N;NOM;SG
norte	pohjoinen	norte	pohjoinen	N;MASC;SG	N;NOM;SG
norte	pohjoiseen	norte	pohjoinen	N;MASC;SG	N;IN+ALL;SG
norte	pohjois	norte	pohjois	N;MASC;SG	N;NOM;SG
norte	pohjoinen	norte	pohjoinen	N;MASC;SG	N;NOM;SG
norte	pohjois	norte	pohjois	N;MASC;SG	N;NOM;SG
río	riossa	río	riossa	N;MASC;SG	N;IN+ESS;SG
río	rion	río	rion	N;MASC;SG	N;GEN;SG
río	joen	río	joki	N;MASC;SG	N;GEN;SG
río	joki	río	joki	N;MASC;SG	N;NOM;SG
méxico	meksikossa	méxico	meksikko	N;MASC;SG	N;IN+ESS;SG
méxico	meksiko	méxico	meksiko	N;MASC;SG	N;NOM;SG
méxico	meksikoon	méxico	meksi#koko	N;MASC;SG	N;IN+ALL;SG
méxico	meksikon	méxico	meksikko	N;MASC;SG	N;GEN;SG
inglés	englanti	inglés	englanti	N;MASC;SG	N;NOM;SG
inglés	englantia	inglés	englanti	N;MASC;SG	N;PRT;SG
inglés	englanniksi	inglés	englanti	N;MASC;SG	N;TRANS;SG
inglés	englannin	inglés	englanti	N;MASC;SG	N;GEN;SG
nuevo	uusi	nuevo	uusi	ADJ;MASC;SG	ADJ;NOM;SG
nuevo	uutta	nuevo	uusi	ADJ;MASC;SG	ADJ;PRT;SG
septiembre	syys	septiembre	syys	N	N;NOM;SG
septiembre	syyskuuta	septiembre	syyskuu	N	N;PRT;SG
septiembre	syyskuu	septiembre	syyskuu	N	N;NOM;SG
octubre	lokakuussa	octubre	lokakuu	N	N;IN+ESS;SG
octubre	lokakuun	octubre	lokakuu	N	N;GEN;SG
octubre	lokakuu	octubre	lokakuu	N	N;NOM;SG
segunda	toisena	segundo	toinen	ADJ;FEM;SG	ADJ;FRML;SG
segunda	toiseksi	segundo	toinen	ADJ;FEM;SG	ADJ;TRANS;SG
discusión	keskustelua	discusión	keskustelu	N;FEM;SG	N;PRT;SG
discusión	keskustelun	discusión	keskustelu	N;FEM;SG	N;GEN;SG
discusión	keskustelu	discusión	keskustelu	N;FEM;SG	N;NOM;SG
gobierno	hallintoa	gobierno	hallinto	N;MASC;SG	N;PRT;SG
gobierno	hallinto	gobierno	hallinto	N;MASC;SG	N;NOM;SG
gobierno	hallinnointi	gobierno	hallinnointi	N;MASC;SG	N;NOM;SG
gobierno	valtio	gobierno	valtio	N;MASC;SG	N;NOM;SG
gobierno	hallitus	gobierno	hallitus	N;MASC;SG	N;NOM;SG
gobierno	hallituksen	gobierno	hallitus	N;MASC;SG	N;GEN;SG
condado	lääni	condado	lääni	N;MASC;SG	N;NOM;SG
condado	piirikunnan	condado	piiri#kunta	N;MASC;SG	N;GEN;SG
condado	piirikunta	condado	piiri#kunta	N;MASC;SG	N;NOM;SG
final	loppu	final	loppu	N;MASC;SG	N;NOM;SG
final	loppua	final	loppu	N;MASC;SG	N;PRT;SG
final	lopussa	final	loppu	N;MASC;SG	N;IN+ESS;SG
final	finaali	final	finaali	N;MASC;SG	N;NOM;SG
final	finaaliin	final	finaali	N;MASC;SG	N;IN+ALL;SG
final	finaali	final	finaali	N;MASC;SG	N;NOM;SG
vida	elämää	vida	elämä	N;FEM;SG	N;PRT;SG
vida	elämän	vida	elämä	N;FEM;SG	N;GEN;SG
vida	elämä	vida	elämä	N;FEM;SG	N;NOM;SG
personas	henkilöitä	persona	henkilö	N;FEM;PL	N;PRT;PL
personas	henkilöt	persona	henkilö	N;FEM;PL	N;NOM;PL
personas	henkilöiden	persona	henkilö	N;FEM;PL	N;GEN;PL
personas	ihmiset	persona	ihminen	N;FEM;PL	N;NOM;PL
personas	ihmisiä	persona	ihminen	N;FEM;PL	N;PRT;PL
personas	henkilöt	persona	henkilö	N;FEM;PL	N;NOM;PL
español	espanjan	español	espanja	N;MASC;SG	N;GEN;SG
español	espanja	español	espanja	N;MASC;SG	N;NOM;SG
español	espanjaa	español	espanja	N;MASC;SG	N;PRT;SG
centro	keskusta	centro	keskusta	N;MASC;SG	N;NOM;SG
centro	keskustaan	centro	keskusta	N;MASC;SG	N;IN+ALL;SG
centro	keskustassa	centro	keskusta	N;MASC;SG	N;IN+ESS;SG
centro	keskustan	centro	keskusta	N;MASC;SG	N;GEN;SG
centro	keskus	centro	keskus	N;MASC;SG	N;NOM;SG
centro	keskusta	centro	keskusta	N;MASC;SG	N;NOM;SG
centro	center	centro	center	N;MASC;SG	N;NOM;SG
centro	keskus	centro	keskus	N;MASC;SG	N;NOM;SG
centro	keskusta	centro	keskusta	N;MASC;SG	N;NOM;SG
julio	julius	julio	julius	N	N;NOM;SG
julio	heinäkuu	julio	heinäkuu	N	N;NOM;SG
julio	heinäkuussa	julio	heinäkuu	N	N;IN+ESS;SG
julio	heinäkuun	julio	heinäkuu	N	N;GEN;SG
julio	heinä	julio	hän	N	N;NOM;SG
julio	heinäkuuta	julio	heinäkuu	N	N;PRT;SG
lincoln	lincoln	lincoln	lincoln	N;MASC;SG	N;NOM;SG
lincoln	lincolnin	lincoln	lincoln	N;MASC;SG	N;GEN;SG
país	maa	país	maa	N;MASC;SG	N;NOM;SG
país	valtio	país	valtio	N;MASC;SG	N;NOM;SG
país	maata	país	maa	N;MASC;SG	N;PRT;SG
país	maan	país	maa	N;MASC;SG	N;GEN;SG
web	sivuston	web	sivusto	N;FEM;SG	N;GEN;SG
web	sivusto	web	sivusto	N;FEM;SG	N;NOM;SG
web	verkkosivusto	web	verkko#sivusto	N;FEM;SG	N;NOM;SG
web	web	web	web	N;FEM;SG	N;NOM;SG
internacional	kansainvälisen	internacional	kansain#välinen	ADJ;SG	ADJ;GEN;SG
internacional	kansainvälinen	internacional	kansain#välinen	ADJ;SG	ADJ;NOM;SG
antes	aikaisemmin	antes	aikaisemmin	ADV	ADV
antes	aiemmin	antes	aiemmin	ADV	ADV
antes	ennen	antes	ennen	ADV	ADV
oficial	virallinen	oficial	virallinen	ADJ;SG	ADJ;NOM;SG
quien	joka	quien	joka	PRO;SG	PRO;NOM;SG
mundo	maailmassa	mundo	maailma	N;MASC;SG	N;IN+ESS;SG
mundo	maailma	mundo	maailma	N;MASC;SG	N;NOM;SG
mundo	maailmaa	mundo	maailma	N;MASC;SG	N;PRT;SG
mundo	maailman	mundo	maailma	N;MASC;SG	N;GEN;SG
mundo	maailmaan	mundo	maailma	N;MASC;SG	N;IN+ALL;SG
embargo	kauppasaarto	embargo	kauppa#saarto	N;MASC;SG	N;NOM;SG
mayo	touko	mayo	touko	N	N;NOM;SG
mayo	toukokuu	mayo	toukokuu	N	N;NOM;SG
mayo	toukokuun	mayo	toukokuu	N	N;GEN;SG
mayo	toukokuuta	mayo	toukokuu	N	N;PRT;SG
mayo	mayo	mayo	mayo	N	N;NOM;SG
algunos	joitakin	alguno	jokin	PRO;MASC;PL	PRO;PRT;PL
algunos	jotkut	alguno	joku	PRO;MASC;PL	PRO;NOM;PL
temporada	kausi	temporada	kausi	N;FEM;SG	N;NOM;SG
temporada	kauden	temporada	kausi	N;FEM;SG	N;GEN;SG
mejor	paremmin	mejor	hyvin	ADV	ADV;CMPR
mejor	parhaiten	mejor	parhaiten	ADV	ADV
luego	sitten	luego	sitten	ADV	ADV
marzo	maaliskuu	marzo	maaliskuu	N	N;NOM;SG
marzo	maaliskuuta	marzo	maaliskuu	N	N;PRT;SG
día	päivä	día	päivä	N;MASC;SG	N;NOM;SG
día	päivän	día	päivä	N;MASC;SG	N;GEN;SG
madrid	madridin	madrid	madridi	N;MASC;SG	N;GEN;SG
madrid	madridissa	madrid	madridi	N;MASC;SG	N;IN+ESS;SG
madrid	liverpool	madrid	liver#pool	N;MASC;SG	N;NOM;SG
enero	tammikuu	enero	tammikuu	N	N;NOM;SG
enero	tammikuussa	enero	tammikuu	N	N;IN+ESS;SG
enero	tammikuun	enero	tammikuu	N	N;GEN;SG
enero	tammikuuta	enero	tammikuu	N	N;PRT;SG
número	lukumäärä	número	luku#määrä	N;MASC;SG	N;NOM;SG
número	numero	número	numero	N;MASC;SG	N;NOM;SG
número	luku	número	luku	N;MASC;SG	N;NOM;SG
agosto	elokuu	agosto	elokuu	N	N;NOM;SG
agosto	elokuuta	agosto	elokuu	N	N;PRT;SG
agosto	elokuussa	agosto	elokuu	N	N;IN+ESS;SG
agosto	elokuun	agosto	elokuu	N	N;GEN;SG
agosto	august	agosto	august	N	N;NOM;SG
agosto	elokuu	agosto	elokuu	N	N;NOM;SG
diciembre	joulukuu	diciembre	joulukuu	N	N;NOM;SG
diciembre	joulukuussa	diciembre	joulukuu	N	N;IN+ESS;SG
diciembre	joulukuuta	diciembre	joulukuu	N	N;PRT;SG
artículo	momentti	artículo	momentti	N;MASC;SG	N;NOM;SG
artículo	artikkeli	artículo	artikkeli	N;MASC;SG	N;NOM;SG
artículo	artikla	artículo	artikla	N;MASC;SG	N;NOM;SG
artículo	erä	artículo	erä	N;MASC;SG	N;NOM;SG
noviembre	marraskuuta	noviembre	marraskuu	N	N;PRT;SG
noviembre	marraskuussa	noviembre	marraskuu	N	N;IN+ESS;SG
noviembre	marraskuu	noviembre	marraskuu	N	N;NOM;SG
noviembre	marraskuu	noviembre	marraskuu	N	N;NOM;SG
otro	muu	otro	muu	PRO;MASC;SG	PRO;NOM;SG
estos	nämä	este	tämä	PRO;MASC;PL	PRO;NOM;PL
estos	näitä	este	tämä	PRO;MASC;PL	PRO;PRT;PL
abril	huhtikuu	abril	huhtikuu	N	N;NOM;SG
abril	huhtikuuta	abril	huhtikuu	N	N;PRT;SG
abril	huhtikuussa	abril	huhtikuu	N	N;IN+ESS;SG
abril	huhtikuun	abril	huhtikuu	N	N;GEN;SG
abril	huhti	abril	huhti	N	N;NOM;SG
región	alue	región	alue	N;FEM;SG	N;NOM;SG
región	alueen	región	alue	N;FEM;SG	N;GEN;SG
sistema	järjestelmän	sistema	järjestelmä	N;MASC;SG	N;GEN;SG
sistema	systeemi	sistema	systeemi	N;MASC;SG	N;NOM;SG
sistema	järjestelmä	sistema	järjestelmä	N;MASC;SG	N;NOM;SG
habitantes	asukkaita	habitante	asukas	N;PL	N;PRT;PL
habitantes	asukkaat	habitante	asukas	N;PL	N;NOM;PL
habitantes	asukkaille	habitante	asukas	N;PL	N;AT+ALL;PL
habitantes	asukkaita	habitante	asukas	N;PL	N;PRT;PL
habitantes	asukkaat	habitante	asukas	N;PL	N;NOM;PL
maría	maija	maría	maija	N;FEM;SG	N;NOM;SG
maría	mariaa	maría	maria	N;FEM;SG	N;PRT;SG
real	todellinen	real	todellinen	ADJ;SG	ADJ;NOM;SG
real	oikea	real	oikea	ADJ;SG	ADJ;NOM;SG
real	aito	real	aito	ADJ;SG	ADJ;NOM;SG
real	todellista	real	todellinen	ADJ;SG	ADJ;PRT;SG
real	kuninkaallinen	real	kuninkaallinen	ADJ;SG	ADJ;NOM;SG
página	sivu	página	sivu	N;FEM;SG	N;NOM;SG
página	sivulla	página	sivu	N;FEM;SG	N;AT+ESS
;SG
esto	tämän	este	tämä	PRO;SG	PRO;GEN;SG
esto	tätä	este	tämä	PRO;SG	PRO;PRT;SG
esto	tästä	este	tämä	PRO;SG	PRO;IN+ABL;SG
esto	tämä	este	tämä	PRO;SG	PRO;NOM;SG
mundial	maailmanlaajuinen	mundial	maailman#laajuinen	ADJ;SG	ADJ;NOM;SG
mundial	globaali	mundial	globaali	ADJ;SG	ADJ;NOM;SG
mundial	maailmanlaajuinen	mundial	maailman#laajuinen	ADJ;SG	ADJ;NOM;SG
mundial	maailmanlaajuisen	mundial	maailman#laajuinen	ADJ;SG	ADJ;GEN;SG
música	musiikkia	música	musiikki	N;FEM;SG	N;PRT;SG
música	musiikin	música	musiikki	N;FEM;SG	N;GEN;SG
música	musiikki	música	musiikki	N;FEM;SG	N;NOM;SG
presidente	puheenjohtajan	presidente	puheen#johtaja	N;MASC;SG	N;GEN;SG
presidente	puheenjohtaja	presidente	puheen#johtaja	N;MASC;SG	N;NOM;SG
presidente	puhemies	presidente	puhe#mies	N;MASC;SG	N;NOM;SG
presidente	presidentti	presidente	presidentti	N;MASC;SG	N;NOM;SG
presidente	puheenjohtaja	presidente	puheen#johtaja	N;MASC;SG	N;NOM;SG
casa	house	casa	house	N;FEM;SG	N;NOM;SG
casa	talo	casa	talo	N;FEM;SG	N;NOM;SG
casa	talon	casa	talo	N;FEM;SG	N;GEN;SG
casa	kotiin	casa	koti	N;FEM;SG	N;IN+ALL;SG
casa	kodin	casa	koti	N;FEM;SG	N;GEN;SG
casa	koti	casa	koti	N;FEM;SG	N;NOM;SG
sólo	ainoastaan	sólo	ainoastaan	ADV	ADV
sólo	vain	sólo	vain	ADV	ADV
sólo	vain	sólo	vain	ADV	ADV
álbum	albumi	álbum	albumi	N;MASC;SG	N;NOM;SG
álbum	levyn	álbum	levy	N;MASC;SG	N;GEN;SG
álbum	levy	álbum	levy	N;MASC;SG	N;NOM;SG
álbum	albumin	álbum	albumi	N;MASC;SG	N;GEN;SG
álbum	albumia	álbum	albumi	N;MASC;SG	N;PRT;SG
cuenta	lasketaan	contar	laskea	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;PASS
junio	kesäkuu	junio	kesäkuu	N	N;NOM;SG
junio	kesäkuuta	junio	kesäkuu	N	N;PRT;SG
junio	kesäkuussa	junio	kesäkuu	N	N;IN+ESS;SG
febrero	helmikuuta	febrero	helmikuu	N	N;PRT;SG
febrero	helmikuussa	febrero	helmikuu	N	N;IN+ESS;SG
febrero	helmikuu	febrero	helmikuu	N	N;NOM;SG
ella	hän	él	hän	PRO;FEM;SG;3	PRO;NOM;SG;3
ella	hänen	él	hän	PRO;FEM;SG;3	PRO;GEN;SG;3
solo	yksistään	solo	yksistään	ADV	ADV
solo	yksin	solo	yksin	ADV	ADV
solo	yksinään	solo	yksinään	ADV	ADV
solo	yksin	solo	yksin	ADV	ADV
solo	ainoastaan	solo	ainoastaan	ADV	ADV
solo	vain	solo	vain	ADV	ADV
solo	vain	solo	vain	ADV	ADV
tipo	tyyppi	tipo	tyyppi	N;MASC;SG	N;NOM;SG
obra	työn	obra	työ	N;FEM;SG	N;GEN;SG
obra	työ	obra	työ	N;FEM;SG	N;NOM;SG
obra	työtä	obra	työ	N;FEM;SG	N;PRT;SG
iglesia	kirkon	iglesia	kirkko	N;FEM;SG	N;GEN;SG
iglesia	kirkossa	iglesia	kirkko	N;FEM;SG	N;IN+ESS;SG
iglesia	kirkkoon	iglesia	kirkko	N;FEM;SG	N;IN+ALL;SG
iglesia	kirkko	iglesia	kirkko	N;FEM;SG	N;NOM;SG
iglesia	seurakunta	iglesia	seura#kunta	N;FEM;SG	N;NOM;SG
película	elokuvan	película	elo#kuva	N;FEM;SG	N;GEN;SG
película	elokuva	película	elo#kuva	N;FEM;SG	N;NOM;SG
película	leffa	película	leffa	N;FEM;SG	N;NOM;SG
película	elokuva	película	elo#kuva	N;FEM;SG	N;NOM;SG
película	kalvo	película	kalvo	N;FEM;SG	N;NOM;SG
película	filmi	película	filmi	N;FEM;SG	N;NOM;SG
entonces	sitten	entonces	sitten	ADV	ADV
banda	bändi	banda	bändi	N;FEM;SG	N;NOM;SG
banda	band	banda	band	N;FEM;SG	N;NOM;SG
