एक	один	एक	один	NUM	NUM;NOM;MASC
प्रदेश	область	प्रदेश	область	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
प्रदेश	регион	प्रदेश	регион	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
दिया	дала	दे	дать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
दिया	отдал	दे	отдать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
दिया	дал	दे	дать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
वर्ष	год	वर्ष	год	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
समय	время	समय	время	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
समय	тайм	समय	тайма	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
नाम	имя	नाम	имя	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
नाम	название	नाम	название	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
प्रकार	тип	प्रकार	тип	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
क्षेत्र	область	क्षेत्र	область	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
क्षेत्र	район	क्षेत्र	район	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
क्षेत्र	площадь	क्षेत्र	площадь	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
क्षेत्र	область	क्षेत्र	область	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
क्षेत्र	регион	क्षेत्र	регион	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
स्थित	расположенных	स्थित	расположенный	ADJ	ADJ;GEN;PL
स्थित	расположенный	स्थित	расположенный	ADJ	ADJ;NOM;MASC;SG
आधिकारिक	официальных	आधिकारिक	официальный	ADJ	ADJ;GEN;PL
आधिकारिक	официальное	आधिकारिक	официальный	ADJ	ADJ;NOM;NEUT;SG
आधिकारिक	официальный	आधिकारिक	официальный	ADJ	ADJ;NOM;MASC;SG
आधिकारिक	официальная	आधिकारिक	официальный	ADJ	ADJ;NOM;FEM;SG
आधिकारिक	официальные	आधिकारिक	официальный	ADJ	ADJ;NOM;PL
कारण	причина	कारण	причина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
कारण	причина	कारण	причина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
जैसे	как	जैसे	как	CONJ	CONJ
करता	делает	कर	делать	V;IPFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
पहले	прежде	पहले	прежде	ADV;NOM;MASC;SG;3	ADV
पहले	ранее	पहले	ранее	ADV;NOM;MASC;SG;3	ADV
पहले	сначала	पहले	сначала	ADV;NOM;MASC;SG;3	ADV
दो	два	दो	два	NUM	NUM;NOM;MASC
दो	две	दो	два	NUM	NUM;NOM;FEM
दो	двое	दो	двое	NUM	NUM;NOM
जिला	округ	जिला	округ	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
जिला	район	जिला	район	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
जन्म	рождения	जन्म	рождение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
जन्म	рождение	जन्म	рождение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
लेकिन	но	लेकिन	но	CONJ	CONJ
कहा	сказал	कह	сказать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
लोग	люди	लोग	человек	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;PL
आदि	ади	आदि	ади	PART	PART
प्राचीन	примитивные	प्राचीन	примитивный	ADJ;NOM	ADJ;NOM;PL
प्राचीन	древний	प्राचीन	древний	ADJ;NOM	ADJ;NOM;MASC;SG
प्राचीन	древние	प्राचीन	древний	ADJ;NOM	ADJ;NOM;PL
प्राचीन	древняя	प्राचीन	древний	ADJ;NOM	ADJ;NOM;FEM;SG
देखें	посмотреть	देख	смотреть	V;SBJV;PL;FIN;ACT	V;PFV;NFIN;ACT
देखें	смотреть	देख	смотреть	V;SBJV;PL;FIN;ACT	V;IPFV;NFIN;ACT
देखें	посмотреть	देख	смотреть	V;SBJV;PL;FIN;ACT	V;PFV;NFIN;ACT
देखें	посмотреть	देख	смотреть	V;SBJV;PL;FIN;ACT	V;PFV;NFIN;ACT
देखें	просмотреть	देख	просмотреть	V;SBJV;PL;FIN;ACT	V;PFV;NFIN;ACT
भाषा	язык	भाषा	язык	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
सभी	все	सब	все	PRO;NOM;3	PRO;INAN;NOM;NEUT;SG
प्रयोग	использование	प्रयोग	использование	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
प्रयोग	употребление	प्रयोग	употребление	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
प्रयोग	эксперимент	प्रयोग	эксперимент	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
स्थान	место	स्थान	место	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
स्थान	местоположение	स्थान	местоположение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
स्थान	расположение	स्थान	расположение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
स्थान	местонахождение	स्थान	местонахождение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
स्थान	место	स्थान	место	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
प्रमुख	шеф	प्रमुख	шеф	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
प्रमुख	начальник	प्रमुख	начальник	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
प्रमुख	вождь	प्रमुख	вождь	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
प्रमुख	майор	प्रमुख	майор	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
गए	ушли	जा	уйти	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN;ACT
थी	была	था	быть	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
कार्य	работа	कार्य	работа	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
कार्य	работа	कार्य	работа	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
कार्य	труд	कार्य	труд	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
कार्य	задача	कार्य	задача	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
कार्य	задание	कार्य	задание	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
नगर	город	नगर	город	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
नगर	городок	नगर	городок	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
नगर	город	नगर	город	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
नगर	нагар	नगर	нагар	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
उपयोग	использование	उपयोग	использование	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
उपयोग	употребление	उपयोग	употребление	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
उपयोग	использование	उपयोग	использование	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
आधार	база	आधार	база	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
आधार	основание	आधार	основание	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
आधार	основа	आधार	основа	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
आधार	основание	आधार	основание	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
काम	работа	काम	работа	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
काम	труд	काम	труд	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
जीवन	жизнь	जीवन	жизнь	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
विश्व	мир	विश्व	мир	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
निर्माण	создание	निर्माण	создание	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
निर्माण	сотворение	निर्माण	сотворение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
निर्माण	конструкция	निर्माण	конструкция	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
निर्माण	строительство	निर्माण	строительство	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
निर्माण	производство	निर्माण	производство	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
निर्माण	изготовление	निर्माण	изготовление	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
गई	пошла	जा	пойти	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
जानकारी	информация	जानकारी	информация	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
जानकारी	информация	जानकारी	информация	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
पोर्टल	портал	पोर्टल	портать	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
शहर	город	शहर	город	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बार	бар	बार	бар	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
बार	таймс	बार	таймс	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
फिल्म	фильм	फिल्म	фильм	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
फिल्म	кино	फिल्म	кино	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
फिल्म	фильм	फिल्म	фильм	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
फिल्म	кино	फिल्म	кино	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
प्रसिद्ध	известная	प्रसिद्ध	известный	ADJ	ADJ;NOM;FEM;SG
प्रसिद्ध	знаменитая	प्रसिद्ध	знаменитый	ADJ	ADJ;NOM;FEM;SG
प्रसिद्ध	известный	प्रसिद्ध	известный	ADJ	ADJ;NOM;MASC;SG
प्रसिद्ध	знаменитый	प्रसिद्ध	знаменитый	ADJ	ADJ;NOM;MASC;SG
प्रसिद्ध	известный	प्रसिद्ध	известный	ADJ	ADJ;NOM;MASC;SG
विकास	развитие	विकास	развитие	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
विकास	разработка	विकास	разработка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
विकास	рост	विकास	рост	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
केवल	только	केवल	только	PART	PART
देश	страна	देश	страна	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
देश	нация	देश	нация	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
वेबसाइट	вебсайт	वेबसाइट	вебсайт	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
वेबसाइट	сайт	वेबसाइट	сайт	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
अलग	разные	अलग	разный	ADJ	ADJ;NOM;PL
अलग	различных	अलग	различный	ADJ	ADJ;GEN;PL
अलग	отдельная	अलग	отдельный	ADJ	ADJ;NOM;FEM;SG
अलग	отдельный	अलग	отдельный	ADJ	ADJ;NOM;MASC;SG
अलग	отдельное	अलग	отдельный	ADJ	ADJ;NOM;NEUT;SG
विशेष	эксклюзивный	विशेष	эксклюзивный	ADJ;NOM	ADJ;NOM;MASC;SG
विशेष	эксклюзивные	विशेष	эксклюзивный	ADJ;NOM	ADJ;NOM;PL
विशेष	особая	विशेष	особый	ADJ;NOM	ADJ;NOM;FEM;SG
विशेष	специальный	विशेष	специальный	ADJ;NOM	ADJ;NOM;MASC;SG
विशेष	специальная	विशेष	специальный	ADJ;NOM	ADJ;NOM;FEM;SG
विशेष	специальные	विशेष	специальный	ADJ;NOM	ADJ;NOM;PL
विशेष	специальное	विशेष	специальный	ADJ;NOM	ADJ;NOM;NEUT;SG
दी	дала	दे	дать	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
दी	отдал	दे	отдать	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
दी	дал	दे	дать	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
पृष्ठ	страница	पृष्ठ	страница	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
माना	рассмотрел	मान	рассмотреть	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
शब्द	слово	शब्द	слово	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
फिर	тогда	फिर	тогда	ADV	ADV
फिर	потом	फिर	потом	ADV	ADV
फिर	затем	फिर	затем	ADV	ADV
तीन	три	तीन	три	NUM	NUM;NOM
तीन	трое	तीन	трое	NUM	NUM;NOM
पुरस्कार	вознаграждение	पुरस्कार	вознаграждение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
पुरस्कार	премия	पुरस्कार	премия	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
पुरस्कार	приз	पुरस्कार	приз	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
पुरस्कार	премия	पुरस्कार	премия	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
पुरस्कार	награда	पुरस्कार	награда	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
पुरस्कार	вознаграждение	पुरस्कार	вознаграждение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
पुरस्कार	награда	पुरस्कार	награда	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
लेख	тезис	लेख	тезис	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
लेख	статья	लेख	статья	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
मंदिर	храм	मंदिर	храм	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
विभिन्न	различных	विभिन्न	различный	ADJ	ADJ;GEN;PL
विभिन्न	различные	विभिन्न	различный	ADJ	ADJ;NOM;PL
विभिन्न	прочее	विभिन्न	прочий	ADJ	ADJ;NOM;NEUT;SG
विभिन्न	разное	विभिन्न	разный	ADJ	ADJ;NOM;NEUT;SG
इतिहास	история	इतिहास	история	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
फ़िल्म	фильм	फ़िल्म	фильм	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
फ़िल्म	кино	फ़िल्म	кино	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
फ़िल्म	фильм	फ़िल्म	фильм	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
फ़िल्म	кино	फ़िल्म	кино	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
विस्तृत	подробные	विस्तृत	подробный	ADJ	ADJ;NOM;PL
विस्तृत	подробный	विस्तृत	подробный	ADJ	ADJ;NOM;MASC;SG
विस्तृत	подробное	विस्तृत	подробный	ADJ	ADJ;NOM;NEUT;SG
विस्तृत	передовые	विस्तृत	передовой	ADJ	ADJ;NOM;PL
विस्तृत	передовых	विस्तृत	передовой	ADJ	ADJ;GEN;PL
दिन	день	दिन	день	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
दिन	дэй	दिन	дэй	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
व्यक्ति	человек	व्यक्ति	человек	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
व्यक्ति	индивидуализм	व्यक्ति	индивидуализм	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
विज्ञान	наука	विज्ञान	наука	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
सदस्य	подписчики	सदस्य	подписчик	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;PL
सदस्य	члены	सदस्य	член	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;PL
सदस्य	участники	सदस्य	участник	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;PL
हालांकि	хотя	हालांकि	хотя	CONJ	CONJ
हालांकि	хотя	हालांकि	хотя	CONJ	CONJ
संख्या	число	संख्या	число	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
संख्या	номер	संख्या	номер	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
संख्या	количество	संख्या	количество	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
बात	вещь	बात	вещь	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
बात	штука	बात	штука	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
बात	разговор	बात	разговор	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
साहित्य	литература	साहित्य	литература	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
शिक्षा	просвещение	शिक्षा	просвещение	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
शिक्षा	образование	शिक्षा	образование	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
धर्म	религия	धर्म	религия	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
धर्म	дхарма	धर्म	дхарм	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
मूल	происхождение	मूल	происхождение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
मूल	происхождения	मूल	происхождение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
मूल	оригинал	मूल	оригинал	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बना	сделать	बन	делать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NFIN;ACT
बना	сделал	बन	делать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
युद्ध	битва	युद्ध	битва	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
युद्ध	бой	युद्ध	бой	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
युद्ध	сражение	युद्ध	сражение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
युद्ध	война	युद्ध	война	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
नदी	река	नदी	река	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
काल	звонок	काल	звонок	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
काल	период	काल	период	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
स्टेशन	станция	स्टेशन	станция	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
स्टेशन	вокзал	स्टेशन	вокзал	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बड़े	крупные	बडा	крупный	ADJ;NOM;MASC;PL	ADJ;NOM;PL
बड़े	большие	बडा	большой	ADJ;NOM;MASC;PL	ADJ;NOM;PL
बड़े	большие	बडा	большой	ADJ;NOM;MASC;PL	ADJ;NOM;PL
राजा	раджа	राजा	радж	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
राजा	король	राजा	король	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
राजा	кинг	राजा	кинг	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
राजा	царь	राजा	царь	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
प्रथम	первый	प्रथम	первый	ADJ	ADJ;NOM;MASC;SG
प्रथम	первое	प्रथम	первый	ADJ	ADJ;NOM;NEUT;SG
प्रथम	первая	प्रथम	первый	ADJ	ADJ;NOM;FEM;SG
विश्वविद्यालय	университет	विश्वविद्यालय	университет	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
महत्वपूर्ण	важная	महत्वपूर्ण	важный	ADJ	ADJ;NOM;FEM;SG
महत्वपूर्ण	важно	महत्वपूर्ण	важный	ADJ	ADJ;NEUT;SG
महत्वपूर्ण	важных	महत्वपूर्ण	важный	ADJ	ADJ;GEN;PL
महत्वपूर्ण	важное	महत्वपूर्ण	важный	ADJ	ADJ;NOM;NEUT;SG
महत्वपूर्ण	важные	महत्वपूर्ण	важный	ADJ	ADJ;NOM;PL
महत्वपूर्ण	важны	महत्वपूर्ण	важный	ADJ	ADJ;PL
महत्वपूर्ण	критическая	महत्वपूर्ण	критический	ADJ	ADJ;NOM;FEM;SG
महत्वपूर्ण	критические	महत्वपूर्ण	критический	ADJ	ADJ;NOM;PL
महत्वपूर्ण	критическое	महत्वपूर्ण	критический	ADJ	ADJ;NOM;NEUT;SG
महत्वपूर्ण	критический	महत्वपूर्ण	критический	ADJ	ADJ;NOM;MASC;SG
प्रामाणिक	подлинная	प्रामाणिक	подлинный	ADJ;NOM	ADJ;NOM;FEM;SG
प्रामाणिक	подлинный	प्रामाणिक	подлинный	ADJ;NOM	ADJ;NOM;MASC;SG
प्रामाणिक	настоящие	प्रामाणिक	настоящий	ADJ;NOM	ADJ;NOM;PL
प्रामाणिक	подлинные	प्रामाणिक	подлинный	ADJ;NOM	ADJ;NOM;PL
आप	ты	आप	ты	PRO;NOM;SG;2;FORM	PRO;NOM;SG;2
समूह	конгрегация	समूह	конгрегация	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
समूह	группа	समूह	группа	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
वर्तमान	подарок	वर्तमान	подарок	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
अध्ययन	изучение	अध्ययन	изучение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
अध्ययन	изучение	अध्ययन	изучение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
अध्ययन	исследование	अध्ययन	исследование	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
विभाग	департамент	विभाग	департамент	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
विभाग	деление	विभाग	деление	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
विभाग	дивизион	विभाग	дивизион	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
विभाग	подразделение	विभाग	подразделение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
विभाग	отдел	विभाग	отдел	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
आम	общих	आम	общий	ADJ	ADJ;GEN;PL
आम	общие	आम	общий	ADJ	ADJ;NOM;PL
आम	общая	आम	общий	ADJ	ADJ;NOM;FEM;SG
स्थिति	статус	स्थिति	статус	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
स्थिति	состояние	स्थिति	состояние	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
स्थिति	позиция	स्थिति	позиция	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
स्थिति	должность	स्थिति	должность	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
स्थिति	положение	स्थिति	положение	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
स्थिति	штат	स्थिति	штат	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
स्थिति	состояние	स्थिति	состояние	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
स्थिति	государство	स्थिति	государство	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
स्थिति	условие	स्थिति	условие	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
स्थिति	состояние	स्थिति	состояние	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
स्थिति	ситуация	स्थिति	ситуация	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
स्थिति	положение	स्थिति	положение	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
प्रभाव	эффект	प्रभाव	эффект	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
प्रभाव	влияние	प्रभाव	влияние	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
प्रभाव	воздействие	प्रभाव	воздействие	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
प्रभाव	результативность	प्रभाव	результативность	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
प्रभाव	эффект	प्रभाव	эффект	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
साल	год	साल	год	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
