ψωμί	pão	ψωμί	pão	N;NOM;NEUT;SG	N;MASC;SG
επιβεβαίωσε	confirmado	επιβεβαιώνω	confirmar	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
επιβεβαίωσε	confirmou	επιβεβαιώνω	confirmar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
επιβεβαίωσε	confirmada	επιβεβαιώνω	confirmar	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;V.PTCP
γενιές	gerações	γενιά	geração	N;NOM;FEM;PL	N;FEM;PL
εξερεύνηση	exploração	εξερεύνηση	exploração	N;ACC;FEM;SG	N;FEM;SG
εξερεύνηση	prospecção	εξερεύνηση	prospecção	N;ACC;FEM;SG	N;FEM;SG
δολάριο	dólar	δολάριο	dólar	N;NOM;NEUT;SG	N;MASC;SG
βοηθώντας	ajudando	βοηθώ	ajudar	V;IPFV;V.CVB;ACT	V;V.MSDR
βοηθώντας	ajudar	βοηθώ	ajudar	V;IPFV;V.CVB;ACT	V;NFIN
σύνθημα	mote	σύνθημα	mote	N;NOM;NEUT;SG	N;MASC;SG
σύνθημα	lema	σύνθημα	lema	N;NOM;NEUT;SG	N;MASC;SG
σύνθημα	password	σύνθημα	password	N;NOM;NEUT;SG	N;FEM;SG
σύνθημα	senha	σύνθημα	ser	N;NOM;NEUT;SG	N;FEM;SG
σύνθημα	slogan	σύνθημα	slogan	N;NOM;NEUT;SG	N;MASC;SG
επιτεύγματα	conquistas	επίτευγμα	conquista	N;NOM;NEUT;PL	N;FEM;PL
επιτεύγματα	realizações	επίτευγμα	realização	N;NOM;NEUT;PL	N;FEM;PL
επιτεύγματα	realizações	επίτευγμα	realização	N;NOM;NEUT;PL	N;FEM;PL
κεραυνός	trovão	κεραυνός	trovão	N;NOM;MASC;SG	N;MASC;SG
κεραυνός	thunder	κεραυνός	thunder	N;NOM;MASC;SG	N;MASC;SG
κεραυνός	relâmpago	κεραυνός	relâmpago	N;NOM;MASC;SG	N;MASC;SG
κεραυνός	lightning	κεραυνός	lightning	N;NOM;MASC;SG	N;MASC;SG
υπολογισμούς	cálculos	υπολογισμός	cálculo	N;ACC;MASC;PL	N;MASC;PL
γραπτή	escrita	γραπτός	escrita	N;NOM;FEM;SG	N;FEM;SG
επιτέλους	enfim	επιτέλους	enfim	ADV	ADV
επιτέλους	finalmente	επιτέλους	finalmente	ADV	ADV
καναδός	canadiano	καναδός	canadiano	N;NOM;MASC;SG	N;MASC;SG
καναδός	canadense	καναδός	canadense	N;NOM;MASC;SG	N;MASC;SG
καναδός	canadian	καναδός	canadian	N;NOM;MASC;SG	N;FEM;SG
ακαδημαϊκό	acadêmica	ακαδημαϊκός	acadêmico	N;NOM;NEUT;SG	N;FEM;SG
ακαδημαϊκό	académico	ακαδημαϊκός	académico	N;NOM;NEUT;SG	N;MASC;SG
ακαδημαϊκό	acadêmico	ακαδημαϊκός	acadêmico	N;NOM;NEUT;SG	N;MASC;SG
ακαδημαϊκό	académica	ακαδημαϊκός	académico	N;NOM;NEUT;SG	N;FEM;SG
κοιλιά	barriga	κοιλιός	barriga	N;NOM;FEM;SG	N;FEM;SG
κοιλιά	belly	κοιλιός	belly	N;NOM;FEM;SG	N;MASC;SG
κοιλιά	barriga	κοιλιός	barriga	N;NOM;FEM;SG	N;FEM;SG
κοιλιά	abdómen	κοιλιός	abdómen	N;NOM;FEM;SG	N;MASC;SG
κοιλιά	abdômen	κοιλιός	abdômen	N;NOM;FEM;SG	N;MASC;SG
πυρ	fire	πυρ	fire	N;NOM;NEUT;SG	N;MASC;SG
πυρ	fogueira	πυρ	fogueira	N;NOM;NEUT;SG	N;FEM;SG
πυρ	fogo	πυρ	fogo	N;NOM;NEUT;SG	N;MASC;SG
πυρ	incêndio	πυρ	incêndio	N;NOM;NEUT;SG	N;MASC;SG
προσφέροντας	oferecendo	προσφέρω	oferecer	V;IPFV;V.CVB;ACT	V;V.MSDR
αμοιβή	taxa	αμοιβός	taxa	N;NOM;FEM;SG	N;FEM;SG
αμοιβή	remuneração	αμοιβός	remuneração	N;NOM;FEM;SG	N;FEM;SG
αμοιβή	recompensa	αμοιβός	recompensar	N;NOM;FEM;SG	N;FEM;SG
μύθοι	mitos	μύθος	mito	N;NOM;MASC;PL	N;MASC;PL
μύθοι	lendas	μύθος	lenda	N;NOM;MASC;PL	N;FEM;PL
μετατόπιση	shift	μετατόπιση	shift	N;ACC;FEM;SG	N;MASC;SG
μετατόπιση	turno	μετατόπιση	turno	N;ACC;FEM;SG	N;MASC;SG
μετατόπιση	deslocação	μετατόπιση	deslocação	N;ACC;FEM;SG	N;FEM;SG
μετατόπιση	deslocamento	μετατόπιση	deslocamento	N;ACC;FEM;SG	N;MASC;SG
μετατόπιση	deslocamento	μετατόπιση	deslocamento	N;ACC;FEM;SG	N;MASC;SG
μετατόπιση	offset	μετατόπιση	offset	N;ACC;FEM;SG	N;MASC;SG
παρουσιάστηκαν	apresentadas	παρουσιάζω	apresentar	V;PFV;IND;PL;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
παρουσιάστηκαν	apresentados	παρουσιάζω	apresentar	V;PFV;IND;PL;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
μέτρια	mídia	μέτρι	mídia	N;NOM;FEM;SG	N;FEM;SG
μέτρια	média	μέτρι	média	N;NOM;FEM;SG	N;FEM;SG
μέτρια	médium	μέτρι	médium	N;NOM;FEM;SG	N;MASC;SG
επηρεάσει	afetar	επηρεάζω	afetar	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
επηρεάσει	afectar	επηρεάζω	afectar	V;PFV;IND;SG;3;FIN;ACT	V;NFIN
επηρεάσει	influenciou	επηρεάζω	influenciar	V;PFV;IND;SG;3;FIN;ACT	V;IND;SG;3;PST;FIN
επηρεάσει	influenciada	επηρεάζω	influenciar	V;PFV;IND;SG;3;FIN;ACT	V;FEM;SG;V.PTCP
επηρεάσει	influenciado	επηρεάζω	influenciar	V;PFV;IND;SG;3;FIN;ACT	V;MASC;SG;V.PTCP
ποσά	montantes	ποσό	montante	N;NOM;NEUT;PL	N;MASC;PL
ποσά	quantidades	ποσό	quantidade	N;NOM;NEUT;PL	N;FEM;PL
ποσά	quantias	ποσό	quantia	N;NOM;NEUT;PL	N;FEM;PL
συνταγματική	constitucional	συνταγματικός	constitucional	ADJ;NOM;FEM;SG	ADJ;MASC;SG
υποδομών	infraestruturas	υποδομή	infraestrutura	N;GEN;FEM;PL	N;FEM;PL
μάζες	massas	μάζη	massa	N;NOM;FEM;PL	N;FEM;PL
δορυφόρο	satélite	δορυφόρο	satélite	N;ACC;MASC;SG	N;MASC;SG
δορυφόρο	satellite	δορυφόρο	satellite	N;ACC;MASC;SG	N;MASC;SG
στροφές	rotações	στροφή	rotação	N;NOM;FEM;PL	N;FEM;PL
τραπέζι	tabela	τραπέζι	tabela	N;NOM;NEUT;SG	N;FEM;SG
τραπέζι	mesa	τραπέζι	mesa	N;NOM;NEUT;SG	N;FEM;SG
τραπέζι	quadro	τραπέζι	quadro	N;NOM;NEUT;SG	N;MASC;SG
δορυφόρους	satélites	δορύφορος	satélite	N;NOM;MASC;PL	N;MASC;PL
διονύσου	dionísio	διόνυσος	dionísio	N;GEN;MASC;SG	N;MASC;SG
διαφοροποίηση	diferenciação	διαφοροποίηση	diferenciação	N;ACC;FEM;SG	N;FEM;SG
διαφοροποίηση	modulação	διαφοροποίηση	modulação	N;ACC;FEM;SG	N;FEM;SG
διαφοροποίηση	diversificação	διαφοροποίηση	diversificação	N;ACC;FEM;SG	N;FEM;SG
κόμβο	encaixe	κόμβος	encaixe	N;ACC;MASC;SG	N;MASC;SG
διακρίνει	distingue	διακρίνω	distinguir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
συνδεδεμένη	ligada	συνδέδω	ligar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
συνδεδεμένη	ligado	συνδέδω	ligar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
συνδεδεμένη	conectado	συνδέδω	conectar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
συνδεδεμένη	vinculado	συνδέδω	vincular	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
συνδεδεμένη	ligado	συνδέδω	ligar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
συνδεδεμένη	ligada	συνδέδω	ligar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
αναφέρω	mencionar	αναφέρω	mencionar	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;NFIN
εγκέφαλο	cérebro	εγκέφαλος	cérebro	N;ACC;MASC;SG	N;MASC;SG
εγκέφαλο	brain	εγκέφαλος	brain	N;ACC;MASC;SG	N;MASC;SG
προσθέτοντας	adicionando	προσθέτω	adicionar	V;IPFV;V.CVB;ACT	V;V.MSDR
προσθέτοντας	acrescentando	προσθέτω	acrescentar	V;IPFV;V.CVB;ACT	V;V.MSDR
εκτελέστηκαν	executadas	εκτελώ	executar	V;PFV;IND;PL;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
εκτελέστηκαν	executados	εκτελώ	executar	V;PFV;IND;PL;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
οργανώνει	organiza	οργανώνω	organizar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
οργανώνει	organiza	οργανώνω	organizar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
απεικονίζουν	retratam	απεικονίζω	retratar	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
απεικονίζουν	retratar	απεικονίζω	retratar	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;NFIN
εξελίσσεται	evoluindo	εξελίσσω	evoluir	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;V.MSDR
εξελίσσεται	evoluir	εξελίσσω	evoluir	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;NFIN
δολοφονίες	assassinatos	δολοφονία	assassinato	N;NOM;FEM;PL	N;MASC;PL
δολοφονίες	assassínios	δολοφονία	assassínio	N;NOM;FEM;PL	N;MASC;PL
δολοφονίες	assassinatos	δολοφονία	assassinato	N;NOM;FEM;PL	N;MASC;PL
δολοφονίες	assassínios	δολοφονία	assassínio	N;NOM;FEM;PL	N;MASC;PL
δολοφονίες	homicídios	δολοφονία	homicídio	N;NOM;FEM;PL	N;MASC;PL
δολοφονίες	assassinatos	δολοφονία	assassinato	N;NOM;FEM;PL	N;MASC;PL
αρμονία	harmony	αρμονία	harmony	N;NOM;FEM;SG	N;MASC;SG
αρμονία	harmonia	αρμονία	harmonia	N;NOM;FEM;SG	N;FEM;SG
ρήνου	reno	ρήνος	reno	N;GEN;MASC;SG	N;MASC;SG
ηλιακή	solar	ηλιακός	solar	N;NOM;FEM;SG	N;MASC;SG
μοτίβα	padrões	μοτίβα	padrão	N;NOM;NEUT;PL	N;MASC;PL
κινδύνους	riscos	κίνδυνος	risco	N;ACC;MASC;PL	N;MASC;PL
κινδύνους	perigos	κίνδυνος	perigo	N;ACC;MASC;PL	N;MASC;PL
πύργοι	torres	πύργος	torres	N;NOM;MASC;PL	N;FEM;PL
φόρουμ	fórum	φόρουμ	fórum	N;NOM;MASC;SG	N;MASC;SG
φόρουμ	foro	φόρουμ	foro	N;NOM;MASC;SG	N;MASC;SG
φόρουμ	forum	φόρουμ	forum	N;NOM;MASC;SG	N;MASC;SG
διαφθορά	corrupção	διαφθορά	corrupção	N;NOM;FEM;SG	N;FEM;SG
μεμονωμένα	individualmente	μεμονωμένος	individualmente	ADV	ADV
στράτευμα	tropa	στράτευμα	tropa	N;NOM;NEUT;SG	N;FEM;SG
στράτευμα	tropa	στράτευμα	tropa	N;NOM;NEUT;SG	N;FEM;SG
διασταύρωση	intersecção	διασταύρωση	intersecção	N;ACC;FEM;SG	N;FEM;SG
διασταύρωση	cruzamento	διασταύρωση	cruzamento	N;ACC;FEM;SG	N;MASC;SG
διασταύρωση	junction	διασταύρωση	junction	N;ACC;FEM;SG	N;MASC;SG
διασταύρωση	junção	διασταύρωση	junção	N;ACC;FEM;SG	N;FEM;SG
τει	tei	ο	ter	N;NOM;NEUT;SG	N;MASC;SG
συνομοσπονδίας	confederação	συνομοσπονδία	confederação	N;GEN;FEM;SG	N;FEM;SG
αντίποινα	represálias	αντίποινο	represália	N;NOM;NEUT;PL	N;FEM;PL
αντίποινα	represálias	αντίποινο	represália	N;NOM;NEUT;PL	N;FEM;PL
παραχώρηση	concessão	παραχώρηση	concessão	N;ACC;FEM;SG	N;FEM;SG
ιδανικό	ideal	ιδανικός	ideal	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
ενηλίκων	adultos	ενήλικος	adulto	N;GEN;NEUT;PL	N;MASC;PL
ενηλίκων	adultos	ενήλικος	adulto	N;GEN;NEUT;PL	N;MASC;PL
ύδατα	águas	ύδωρ	água	N;NOM;NEUT;PL	N;FEM;PL
ύδατα	aguas	ύδωρ	agua	N;NOM;NEUT;PL	N;FEM;PL
μεραρχίες	divisões	μεραρχία	divisão	N;NOM;FEM;PL	N;FEM;PL
αυστριακό	austríaca	αυστριακός	austríaco	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
αυστριακό	austríaco	αυστριακός	austríaco	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
πυροβολικό	artilharia	πυροβολικός	artilharia	N;NOM;NEUT;SG	N;FEM;SG
τέλεια	ótima	τέλεια	bom	ADJ;NOM;FEM;SG	ADJ;FEM;SG
τέλεια	grande	τέλεια	grande	ADJ;NOM;FEM;SG	ADJ;MASC;SG
τέλεια	ótimo	τέλεια	bom	ADJ;NOM;FEM;SG	ADJ;MASC;SG
απογραφές	existências	απογραφή	existência	N;NOM;FEM;PL	N;FEM;PL
απογραφές	inventários	απογραφή	inventário	N;NOM;FEM;PL	N;MASC;PL
απογραφές	recenseamentos	απογραφή	recenseamento	N;NOM;FEM;PL	N;MASC;PL
γάτα	gato	γάτα	gato	N;NOM;FEM;SG	N;MASC;SG
γάτα	gata	γάτα	gata	N;NOM;FEM;SG	N;FEM;SG
θαύμα	milagre	θαύμα	milagre	N;NOM;NEUT;SG	N;MASC;SG
θαύμα	maravilha	θαύμα	maravilha	N;NOM;NEUT;SG	N;FEM;SG
θαύμα	wonder	θαύμα	wonder	N;NOM;NEUT;SG	N;MASC;SG
ισότητα	igualdade	ισότητα	igualdade	N;ACC;FEM;SG	N;FEM;SG
ισότητα	equal	ισότητα	equal	N;ACC;FEM;SG	N;MASC;SG
ισότητα	igual	ισότητα	igual	N;ACC;FEM;SG	N;MASC;SG
γκαλερί	galeria	γκαλώ	galeria	N;NOM;FEM;SG	N;FEM;SG
έφορος	curador	έφορος	curador	N;NOM;MASC;SG	N;MASC;SG
σύνορο	borda	σύνορο	borda	N;NOM;NEUT;SG	N;FEM;SG
σύνορο	fronteira	σύνορο	fronteira	N;NOM;NEUT;SG	N;FEM;SG
σύνορο	contorno	σύνορο	contorno	N;NOM;NEUT;SG	N;MASC;SG
σύνορο	fronteira	σύνορο	fronteira	N;NOM;NEUT;SG	N;FEM;SG
λειτουργική	funcional	λειτουργικός	funcional	ADJ;NOM;FEM;SG	ADJ;MASC;SG
κρίσεις	convulsões	κρίση	convulsão	N;NOM;FEM;PL	N;FEM;PL
κρίσεις	apreensões	κρίση	apreensão	N;NOM;FEM;PL	N;FEM;PL
κρίσεις	crises	κρίση	crise	N;NOM;FEM;PL	N;FEM;PL
πωλήσεων	vendas	πώληση	venda	N;GEN;FEM;PL	N;FEM;PL
γλυκό	sweet	γλυκό	sweet	N;NOM;NEUT;SG	N;MASC;SG
γλυκό	doce	γλυκό	doce	N;NOM;NEUT;SG	N;MASC;SG
δίσκοι	registos	δίσκος	registo	N;NOM;MASC;PL	N;MASC;PL
δίσκοι	registros	δίσκος	registro	N;NOM;MASC;PL	N;MASC;PL
δίσκοι	discos	δίσκος	disco	N;NOM;MASC;PL	N;MASC;PL
δίσκοι	discos	δίσκος	disco	N;NOM;MASC;PL	N;MASC;PL
δίσκοι	discos	δίσκος	disco	N;NOM;MASC;PL	N;MASC;PL
δίσκοι	disquetes	δίσκος	disquete	N;NOM;MASC;PL	N;MASC;PL
ολοκαύτωμα	holocausto	ολοκαύτωμα	holocausto	N;NOM;NEUT;SG	N;MASC;SG
έσπασε	quebrou	σπάω	quebrar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
έσπασε	partiu	σπάω	partir	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
υποκείμενο	assunto	υποκείμενο	assunto	N;NOM;NEUT;SG	N;MASC;SG
υποκείμενο	objecto	υποκείμενο	objecto	N;NOM;NEUT;SG	N;MASC;SG
καθήκον	dever	καθήκον	dever	N;NOM;NEUT;SG	N;MASC;SG
καθήκον	duty	καθήκον	duty	N;NOM;NEUT;SG	N;MASC;SG
καθήκον	tarefa	καθήκον	tarefa	N;NOM;NEUT;SG	N;FEM;SG
σημειωματάριο	notebook	σημειωματάριο	notebook	N;NOM;NEUT;SG	N;MASC;SG
σημειωματάριο	caderno	σημειωματάριο	caderno	N;NOM;NEUT;SG	N;MASC;SG
δόση	posologia	δόση	posologia	N;NOM;FEM;SG	N;FEM;SG
δόση	dosagem	δόση	dosagem	N;NOM;FEM;SG	N;FEM;SG
δόση	dosagem	δόση	dosagem	N;NOM;FEM;SG	N;FEM;SG
δόση	dose	δόση	dose	N;NOM;FEM;SG	N;FEM;SG
εξεγέρσεις	tumultos	εξέγερση	tumulto	N;NOM;FEM;PL	N;MASC;PL
εξεγέρσεις	motins	εξέγερση	motim	N;NOM;FEM;PL	N;MASC;PL
εξεγέρσεις	revoltas	εξέγερση	revolta	N;NOM;FEM;PL	N;FEM;PL
εξεγέρσεις	levantes	εξέγερση	levante	N;NOM;FEM;PL	N;MASC;PL
εξεγέρσεις	revoltas	εξέγερση	revolta	N;NOM;FEM;PL	N;FEM;PL
αεροπλάνα	aviões	αεροπλάνα	avião	N;NOM;NEUT;PL	N;MASC;PL
αεροπλάνα	aviões	αεροπλάνα	avião	N;NOM;NEUT;PL	N;MASC;PL
αεροπλάνα	aviões	αεροπλάνα	avião	N;NOM;NEUT;PL	N;MASC;PL
τόνο	atum	τόνος	atum	N;ACC;MASC;SG	N;MASC;SG
τόνο	tone	τόνος	tone	N;ACC;MASC;SG	N;MASC;SG
κατάχρηση	desfalque	κατάχρηση	desfalque	N;ACC;FEM;SG	N;MASC;SG
κατάχρηση	abuso	κατάχρηση	abuso	N;ACC;FEM;SG	N;MASC;SG
χώμα	solo	χώμα	solo	N;NOM;NEUT;SG	N;MASC;SG
χώμα	sujidade	χώμα	sujidade	N;NOM;NEUT;SG	N;FEM;SG
χώμα	sujeira	χώμα	sujeira	N;NOM;NEUT;SG	N;FEM;SG
χώμα	dirt	χώμα	dirt	N;NOM;NEUT;SG	N;MASC;SG
στρατιώτη	soldado	στρατιώτης	soldado	N;ACC;MASC;SG	N;MASC;SG
στενός	estreito	στενός	estreito	N;NOM;MASC;SG	N;MASC;SG
αποκτήθηκε	adquirida	αποκτώ	adquirir	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;SG;V.PTCP
αποκτήθηκε	adquirido	αποκτώ	adquirir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
ευκαιρίες	oportunidades	ευκαιρία	oportunidade	N;NOM;FEM;PL	N;FEM;PL
ενέκρινε	aprovada	εγκρίνω	aprovar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;V.PTCP
ενέκρινε	aprovado	εγκρίνω	aprovar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
ενέκρινε	adoptado	εγκρίνω	adoptar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
ενέκρινε	adotou	εγκρίνω	adotar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ενέκρινε	adotado	εγκρίνω	adotar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
ενέκρινε	aprovado	εγκρίνω	aprovar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
ενέκρινε	adotada	εγκρίνω	adotar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;FEM;SG;V.PTCP
πλημμύρες	enchentes	πλημμύρα	enchente	N;NOM;FEM;PL	N;FEM;PL
πλημμύρες	inundações	πλημμύρα	inundação	N;NOM;FEM;PL	N;FEM;PL
πλημμύρες	enchentes	πλημμύρα	enchente	N;NOM;FEM;PL	N;FEM;PL
πλημμύρες	inundações	πλημμύρα	inundação	N;NOM;FEM;PL	N;FEM;PL
σθένος	vigor	σθένος	vigor	N;NOM;NEUT;SG	N;MASC;SG
όπερες	óperas	όπερος	óperas	N;NOM;FEM;PL	N;FEM;PL
συνήθεια	costume	συνήθεια	costume	N;NOM;FEM;SG	N;MASC;SG
συνήθεια	hábito	συνήθεια	hábito	N;NOM;FEM;SG	N;MASC;SG
κατάρτιση	formação	κατάρτιση	formação	N;ACC;FEM;SG	N;FEM;SG
κατάρτιση	treinamento	κατάρτιση	treinamento	N;ACC;FEM;SG	N;MASC;SG
κατάρτιση	treino	κατάρτιση	treino	N;ACC;FEM;SG	N;MASC;SG
λαογραφία	folclore	λαογραφία	folclore	N;NOM;FEM;SG	N;MASC;SG
απολύθηκε	disparado	απολύω	disparar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
απολύθηκε	despedido	απολύω	despedir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
απολύθηκε	demitido	απολύω	demitir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
χιούμορ	humor	χιούμορ	humor	N;NOM;NEUT;SG	N;MASC;SG
χιούμορ	humor	χιούμορ	humor	N;NOM;NEUT;SG	N;MASC;SG
ανακάλυψαν	descobriram	ανακαλύπτω	descobrir	V;PFV;IND;PL;3;PST;FIN;ACT	V;IND;PL;3;FIN
ανακάλυψαν	descobertos	ανακαλύπτω	descobrir	V;PFV;IND;PL;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
αγαπημένο	preferida	αγαπημένος	preferir	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
αγαπημένο	preferido	αγαπημένος	preferir	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
πρόβλεψη	previsão	πρόβλεψη	previsão	N;ACC;FEM;SG	N;FEM;SG
πρόβλεψη	previsão	πρόβλεψη	previsão	N;ACC;FEM;SG	N;FEM;SG
πρόβλεψη	forecast	πρόβλεψη	forecast	N;ACC;FEM;SG	N;MASC;SG
πρόβλεψη	previsão	πρόβλεψη	previsão	N;ACC;FEM;SG	N;FEM;SG
τάφους	túmulos	τάφος	túmulo	N;NOM;MASC;PL	N;MASC;PL
τάφους	tumbas	τάφος	tumba	N;NOM;MASC;PL	N;FEM;PL
τάφους	sepulturas	τάφος	sepultura	N;NOM;MASC;PL	N;FEM;PL
τάφους	túmulos	τάφος	túmulo	N;NOM;MASC;PL	N;MASC;PL
τάφους	campas	τάφος	campa	N;NOM;MASC;PL	N;FEM;PL
συγγενής	parente	συγγενής	parente	N;NOM;MASC;SG	N;MASC;SG
συγγενής	relativa	συγγενής	relativo	N;NOM;MASC;SG	N;FEM;SG
απόκλιση	desvio	απόκλιση	desvio	N;ACC;FEM;SG	N;MASC;SG
απόκλιση	divergência	απόκλιση	divergência	N;ACC;FEM;SG	N;FEM;SG
γιοι	sons	γιος	som	N;NOM;MASC;PL	N;MASC;PL
γιοι	filhos	γιος	filho	N;NOM;MASC;PL	N;MASC;PL
κατοικείται	habitada	κατοικώ	habitar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;SG;V.PTCP
