per	pre	per	pre	ADP	ADP;ACC
primo	prvý	primo	prvý	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
primo	prvy	primo	prva	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
primo	prvé	primo	prvý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
primo	prvá	primo	prvý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nome	názov	nome	názov	N;MASC;SG	N;INAN;NOM;MASC;SG
nome	meno	nome	meno	N;MASC;SG	N;NOM;NEUT;SG
poi	potom	poi	potom	ADV	ADV
poi	vtedy	poi	vtedy	ADV	ADV
secondo	druhá	secondo	druhý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
secondo	druhé	secondo	druhý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
secondo	druhe	secondo	druh	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
secondo	druhý	secondo	druhý	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
voce	hlas	voce	hlas	N;FEM;SG	N;INAN;NOM;MASC;SG
progetti	projektmi	progetto	projekt	N;MASC;PL	N;INAN;INS;MASC;PL
progetti	projektov	progetto	projekt	N;MASC;PL	N;INAN;GEN;MASC;PL
progetti	projekty	progetto	projekt	N;MASC;PL	N;INAN;NOM;MASC;PL
dove	kde	dove	kde	ADV	ADV
dove	kam	dove	kam	ADV	ADV
quando	kedy	quando	kedy	ADV	ADV
anno	roku	anno	rok	N;MASC;SG	N;INAN;GEN;MASC;SG
anno	rok	anno	rok	N;MASC;SG	N;INAN;NOM;MASC;SG
anno	roka	anno	rok	N;MASC;SG	N;INAN;GEN;MASC;SG
durante	počas	durante	počas	ADP	ADP;GEN
mentre	kým	mentre	kým	CONJ	CONJ
voci	záznamy	voce	záznam	N;FEM;PL	N;INAN;NOM;MASC;PL
voci	zápisy	voce	zápis	N;FEM;PL	N;INAN;NOM;MASC;PL
voci	položky	voce	položka	N;FEM;PL	N;NOM;FEM;PL
voci	klebety	voce	klebeta	N;FEM;PL	N;INAN;NOM;MASC;PL
voci	chýry	voce	chýr	N;FEM;PL	N;INAN;NOM;MASC;PL
voci	povesti	voce	povesť	N;FEM;PL	N;NOM;FEM;PL
voci	zvesti	voce	zvesť	N;FEM;PL	N;INAN;NOM;MASC;PL
voci	hlasy	voce	hlas	N;FEM;PL	N;INAN;NOM;MASC;PL
voci	hlasov	voce	hlas	N;FEM;PL	N;INAN;GEN;MASC;PL
tre	tri	tre	tri	NUM	NUM;INAN;NOM;MASC;PL
tre	troch	tre	tri	NUM	NUM;GEN;MASC;PL
tre	traja	tre	tri	NUM	NUM;ANIM;NOM;MASC;PL
molto	veľmi	molto	veľmi	ADV	ADV
hanno	mať	avere	mať	V;IND;PL;3;PRS;FIN	V;IPFV;POS;NFIN
hanno	majú	avere	mať	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
comune	časté	comune	častý	ADJ;SG	ADJ;NOM;NEUT;SG
stesso	rovnaká	stesso	rovnaký	ADJ;MASC;SG	ADJ;NOM;FEM;SG
stesso	rovnaké	stesso	rovnaký	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
stesso	rovnaký	stesso	rovnaký	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
stagione	sezóna	stagione	sezón	N;FEM;SG	N;NOM;FEM;SG
stagione	sezónu	stagione	sezón	N;FEM;SG	N;ACC;FEM;SG
gruppo	skupinu	gruppo	skupina	N;MASC;SG	N;ACC;FEM;SG
gruppo	skupina	gruppo	skupina	N;MASC;SG	N;NOM;FEM;SG
contro	proti	contro	proti	ADP	ADP;DAT
calciatore	futbalista	calciatore	futbalista	N;MASC;SG	N;ANIM;NOM;MASC;SG
roma	ríme	roma	rím	N;FEM;SG	N;INAN;NOM;MASC;SG
roma	ríma	roma	rím	N;FEM;SG	N;INAN;GEN;MASC;SG
tempo	dobe	tempo	dobe	N;MASC;SG	N;DAT;FEM;SG
tempo	čas	tempo	čas	N;MASC;SG	N;INAN;NOM;MASC;SG
tempo	doba	tempo	doba	N;MASC;SG	N;NOM;FEM;SG
abitanti	obyvatelia	abitante	obyvateľ	N;PL	N;ANIM;NOM;MASC;PL
abitanti	obyvateľov	abitante	obyvateľ	N;PL	N;ANIM;ACC;MASC;PL
abitanti	obyvateľom	abitante	obyvateľ	N;PL	N;ANIM;DAT;MASC;PL
chiesa	kostola	chiesa	kostol	N;FEM;SG	N;INAN;GEN;MASC;SG
chiesa	kostol	chiesa	kostol	N;FEM;SG	N;INAN;NOM;MASC;SG
chiesa	cirkev	chiesa	cirkev	N;FEM;SG	N;NOM;FEM;SG
grande	veľké	grande	veľký	ADJ;SG	ADJ;NOM;NEUT;SG
grande	veľká	grande	veľký	ADJ;SG	ADJ;NOM;FEM;SG
grande	veľký	grande	veľký	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
grande	veľký	grande	veľký	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
grande	veľké	grande	veľký	ADJ;SG	ADJ;NOM;NEUT;SG
grande	veľká	grande	veľký	ADJ;SG	ADJ;NOM;FEM;SG
grande	skvelé	grande	skvelý	ADJ;SG	ADJ;NOM;NEUT;SG
secolo	storočí	secolo	storočie	N;MASC;SG	N;NOM;NEUT;SG
secolo	storočie	secolo	storočie	N;MASC;SG	N;NOM;NEUT;SG
guerra	vojna	guerra	vojna	N;FEM;SG	N;NOM;FEM;SG
sempre	vždy	sempre	vždy	ADV	ADV
fatto	urobil	fare	urobiť	V;MASC;SG;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
storia	príbeh	storia	príbeh	N;FEM;SG	N;INAN;NOM;MASC;SG
storia	reportáž	storia	reportáž	N;FEM;SG	N;NOM;FEM;SG
storia	histórii	storia	história	N;FEM;SG	N;DAT;FEM;SG
storia	históriu	storia	história	N;FEM;SG	N;ACC;FEM;SG
storia	história	storia	história	N;FEM;SG	N;NOM;FEM;SG
fine	koniec	fine	koniec	N;FEM;SG	N;INAN;NOM;MASC;SG
album	album	album	album	N;MASC	N;INAN;NOM;MASC;SG
album	albumu	album	album	N;MASC	N;INAN;GEN;MASC;SG
album	albumy	album	album	N;MASC	N;INAN;NOM;MASC;PL
album	albumov	album	album	N;MASC	N;INAN;GEN;MASC;PL
altre	iní	altro	iný	DET;FEM;PL	DET;ANIM;NOM;MASC;PL
ancora	znovu	ancora	znovu	ADV	ADV
ancora	znova	ancora	znova	ADV	ADV
ancora	opäť	ancora	opäť	ADV	ADV
ancora	stále	ancora	stále	ADV	ADV
senza	bez	senza	bez	ADP	ADP;GEN
francese	francúzske	francese	francúzsky	ADJ;SG	ADJ;NOM;NEUT;SG
seconda	druhá	secondo	druhý	ADJ;FEM;SG	ADJ;NOM;FEM;SG
seconda	druhé	secondo	druhý	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
seconda	druhe	secondo	druh	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
seconda	druhý	secondo	druhý	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
finale	konečné	finale	konečný	ADJ;SG	ADJ;NOM;NEUT;SG
finale	konečná	finale	konečný	ADJ;SG	ADJ;NOM;FEM;SG
finale	záverečná	finale	záverečná	ADJ;SG	ADJ;NOM;FEM;SG
finale	konečný	finale	konečný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
finale	záverečné	finale	záverečný	ADJ;SG	ADJ;NOM;NEUT;SG
vita	života	vita	život	N;FEM;SG	N;INAN;GEN;MASC;SG
vita	život	vita	život	N;FEM;SG	N;INAN;NOM;MASC;SG
vita	vita	vita	vita	N;FEM;SG	N;NOM;MASC;SG
vita	pás	vita	pás	N;FEM;SG	N;INAN;NOM;MASC;SG
vita	pása	vita	pás	N;FEM;SG	N;INAN;GEN;MASC;SG
titolo	názov	titolo	názov	N;MASC;SG	N;INAN;NOM;MASC;SG
titolo	hlava	titolo	hlava	N;MASC;SG	N;NOM;FEM;SG
titolo	titul	titolo	tituť	N;MASC;SG	N;INAN;NOM;MASC;SG
titolo	titulok	titolo	titulok	N;MASC;SG	N;INAN;NOM;MASC;SG
shift	posun	shift	posun	N	N;INAN;NOM;MASC;SG
campionato	campionato	campionato	campionato	N;MASC;SG	N;ANIM;NOM;MASC;SG
mondo	sveta	mondo	svet	N;MASC;SG	N;INAN;GEN;MASC;SG
mondo	svete	mondo	svet	N;MASC;SG	N;INAN;ESS;MASC;SG
mondo	svet	mondo	svet	N;MASC;SG	N;INAN;NOM;MASC;SG
mondo	svetom	mondo	svet	N;MASC;SG	N;INAN;INS;MASC;SG
settembre	september	settembre	september	N;MASC;SG	N;INAN;NOM;MASC;SG
settembre	septembra	settembre	september	N;MASC;SG	N;INAN;GEN;MASC;SG
settembre	septembri	settembre	september	N;MASC;SG	N;INAN;NOM;MASC;SG
nazionale	národný	nazionale	národný	ADJ;SG	ADJ;INAN;NOM;MASC;SG
nazionale	národná	nazionale	národný	ADJ;SG	ADJ;NOM;FEM;SG
nazionale	vnútroštátna	nazionale	vnútroštátny	ADJ;SG	ADJ;NOM;FEM;SG
nazionale	národné	nazionale	národný	ADJ;SG	ADJ;NOM;NEUT;SG
italiana	talianske	italiano	taliansky	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
italiana	taliansky	italiano	taliansky	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;SG
circa	približne	circa	približne	ADV	ADV
sotto	pod	sotto	pod	ADP	ADP;INS
sotto	pod	sotto	pod	ADP	ADP;INS
sotto	podľa	sotto	podľa	ADP	ADP;GEN
calcio	futbal	calcio	futbať	N;MASC;SG	N;INAN;NOM;MASC;SG
calcio	futbal	calcio	futbať	N;MASC;SG	N;INAN;NOM;MASC;SG
calcio	vápnika	calcio	vápnik	N;MASC;SG	N;INAN;GEN;MASC;SG
calcio	vápnik	calcio	vápnik	N;MASC;SG	N;INAN;NOM;MASC;SG
famiglia	rodinka	famiglia	rodinka	N;FEM;SG	N;NOM;FEM;SG
famiglia	rodine	famiglia	rodina	N;FEM;SG	N;DAT;FEM;SG
famiglia	family	famiglia	famila	N;FEM;SG	N;NOM;FEM;SG
famiglia	rodina	famiglia	rodina	N;FEM;SG	N;NOM;FEM;SG
inoltre	takisto	inoltre	takisto	ADV	ADV
inoltre	taktiež	inoltre	taktiež	ADV	ADV
numero	číslo	numero	číslo	N;MASC;SG	N;NOM;NEUT;SG
numero	počet	numero	počet	N;MASC;SG	N;INAN;NOM;MASC;SG
numero	čislo	numero	čislo	N;MASC;SG	N;NOM;NEUT;SG
via	preč	via	preč	ADV	ADV
posto	miesto	posto	miesto	N;MASC;SG	N;NOM;NEUT;SG
posto	place	posto	placať	N;MASC;SG	N;NOM;MASC;SG
ottobre	októbra	ottobre	október	N;MASC;SG	N;INAN;GEN;MASC;SG
ottobre	október	ottobre	október	N;MASC;SG	N;INAN;NOM;MASC;SG
maggio	mája	maggio	máj	N;MASC;SG	N;INAN;GEN;MASC;SG
ruolo	úlohu	ruolo	úloha	N;MASC;SG	N;ACC;FEM;SG
ruolo	rola	ruolo	rol	N;MASC;SG	N;NOM;FEM;SG
ruolo	úloha	ruolo	úloha	N;MASC;SG	N;NOM;FEM;SG
gennaio	januára	gennaio	január	N;MASC;SG	N;INAN;GEN;MASC;SG
gennaio	január	gennaio	január	N;MASC;SG	N;INAN;NOM;MASC;SG
gennaio	januári	gennaio	január	N;MASC;SG	N;INAN;ESS;MASC;SG
modo	spôsob	modo	spôsob	N;MASC;SG	N;INAN;NOM;MASC;SG
modo	cesta	modo	cesta	N;MASC;SG	N;NOM;FEM;SG
nuovo	nová	nuovo	nový	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nuovo	nový	nuovo	nový	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
nuovo	nové	nuovo	nový	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
perché	prečo	perché	prečo	ADV	ADV
casa	house	casa	hous	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	domček	casa	domček	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	dom	casa	dom	N;FEM;SG	N;INAN;NOM;MASC;SG
generale	všeobecné	generale	všeobecný	ADJ;SG	ADJ;NOM;NEUT;SG
generale	všeobecná	generale	všeobecný	ADJ;SG	ADJ;NOM;FEM;SG
marzo	marec	marzo	marec	N;MASC;SG	N;INAN;NOM;MASC;SG
marzo	marci	marzo	marec	N;MASC;SG	N;INAN;ESS;MASC;SG
marzo	marca	marzo	marec	N;MASC;SG	N;INAN;GEN;MASC;SG
marzo	marcu	marzo	marec	N;MASC;SG	N;INAN;DAT;MASC;SG
marzo	pochod	marzo	pochod	N;MASC;SG	N;INAN;NOM;MASC;SG
squadra	oddiel	squadra	oddlieť	N;FEM;SG	N;INAN;NOM;MASC;SG
squadra	jednotka	squadra	jednotka	N;FEM;SG	N;NOM;FEM;SG
squadra	squad	squadra	squad	N;FEM;SG	N;INAN;NOM;MASC;SG
squadra	čata	squadra	čata	N;FEM;SG	N;NOM;FEM;SG
squadra	komando	squadra	komando	N;FEM;SG	N;NOM;NEUT;SG
squadra	družstvo	squadra	družstvo	N;FEM;SG	N;NOM;NEUT;SG
squadra	mužstvo	squadra	mužstvo	N;FEM;SG	N;NOM;NEUT;SG
squadra	tím	squadra	tím	N;FEM;SG	N;INAN;NOM;MASC;SG
dicembre	december	dicembre	december	N;MASC;SG	N;INAN;NOM;MASC;SG
dicembre	decembra	dicembre	december	N;MASC;SG	N;INAN;GEN;MASC;SG
dicembre	decembri	dicembre	december	N;MASC;SG	N;INAN;GEN;MASC;SG
dicembre	decembru	dicembre	december	N;MASC;SG	N;INAN;GEN;MASC;SG
caso	case	caso	cas	N;MASC;SG	N;INAN;NOM;MASC;SG
caso	prípade	caso	prípad	N;MASC;SG	N;INAN;NOM;MASC;SG
caso	prípad	caso	prípad	N;MASC;SG	N;INAN;NOM;MASC;SG
caso	kufrík	caso	kufrík	N;MASC;SG	N;INAN;NOM;MASC;SG
giugno	júni	giugno	jún	N;MASC;SG	N;INAN;NOM;MASC;SG
giugno	júna	giugno	jún	N;MASC;SG	N;INAN;GEN;MASC;SG
agosto	auguste	agosto	augusta	N;MASC;SG	N;INAN;NOM;MASC;SG
agosto	august	agosto	august	N;MASC;SG	N;INAN;NOM;MASC;SG
agosto	augusta	agosto	augusta	N;MASC;SG	N;INAN;GEN;MASC;SG
agosto	august	agosto	august	N;MASC;SG	N;INAN;NOM;MASC;SG
luglio	júl	luglio	júl	N;MASC;SG	N;INAN;NOM;MASC;SG
luglio	júla	luglio	júla	N;MASC;SG	N;INAN;NOM;MASC;SG
politico	politická	politico	politický	ADJ;MASC;SG	ADJ;NOM;FEM;SG
politico	politické	politico	politický	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
politico	politického	politico	politický	ADJ;MASC;SG	ADJ;GEN;NEUT;SG
politico	politický	politico	politický	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
opera	opera	opera	oper	N;FEM;SG	N;NOM;FEM;SG
opera	operu	opera	opera	N;FEM;SG	N;ACC;FEM;SG
fra	medzi	fra	medzi	ADP	ADP;INS
aprile	apríl	aprile	aprila	N;MASC;SG	N;INAN;NOM;MASC;SG
aprile	apríla	aprile	apríl	N;MASC;SG	N;INAN;GEN;MASC;SG
pagina	stránke	pagina	stránka	N;FEM;SG	N;DAT;FEM;SG
pagina	strana	pagina	strana	N;FEM;SG	N;NOM;FEM;SG
pagina	stránka	pagina	stránka	N;FEM;SG	N;NOM;FEM;SG
pagina	stránku	pagina	stránka	N;FEM;SG	N;ACC;FEM;SG
periodo	obdobie	periodo	obdobie	N;MASC;SG	N;NOM;NEUT;SG
periodo	doba	periodo	doba	N;MASC;SG	N;NOM;FEM;SG
periodo	lehota	periodo	lehota	N;MASC;SG	N;NOM;FEM;SG
novembre	novembri	novembre	november	N;MASC;SG	N;INAN;NOM;MASC;SG
novembre	november	novembre	november	N;MASC;SG	N;INAN;NOM;MASC;SG
novembre	novembra	novembre	november	N;MASC;SG	N;INAN;GEN;MASC;SG
grazie	vdaka	grazie	vdaka	N	N;INAN;NOM;MASC;SG
insieme	spolu	insieme	spolu	ADV	ADV
insieme	dokopy	insieme	dokopy	ADV	ADV
insieme	spoločne	insieme	spoločne	ADV	ADV
lui	mu	lui	on	PRO;MASC;SG;3	PRO;ANIM;DAT;MASC;SG;3
lui	on	lui	on	PRO;MASC;SG;3	PRO;ANIM;NOM;MASC;SG;3
lui	neho	lui	on	PRO;MASC;SG;3	PRO;ANIM;GEN;MASC;SG;3
lui	ho	lui	on	PRO;MASC;SG;3	PRO;ANIM;ACC;MASC;SG;3
morte	smrt	morte	smrt	N;FEM;SG	N;NOM;FEM;SG
morte	smrť	morte	smrť	N;FEM;SG	N;NOM;FEM;SG
morte	úmrtie	morte	úmrtie	N;FEM;SG	N;NOM;NEUT;SG
maria	mária	maria	máriť	N;FEM;SG	N;NOM;FEM;SG
maria	mária	maria	máriť	N;FEM;SG	N;NOM;FEM;SG
maria	máriu	maria	mária	N;FEM;SG	N;ACC;FEM;SG
maria	mária	maria	máriť	N;FEM;SG	N;NOM;FEM;SG
nuova	nová	nuovo	nový	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nuova	nový	nuovo	nový	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;SG
nuova	nové	nuovo	nový	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
febbraio	februára	febbraio	február	N;MASC;SG	N;INAN;GEN;MASC;SG
febbraio	február	febbraio	február	N;MASC;SG	N;INAN;NOM;MASC;SG
febbraio	február	febbraio	február	N;MASC;SG	N;INAN;NOM;MASC;SG
centro	centrum	centro	centrum	N;MASC;SG	N;NOM;NEUT;SG
centro	centre	centro	centrum	N;MASC;SG	N;NOM;NEUT;SG
centro	center	centro	center	N;MASC;SG	N;INAN;NOM;MASC;SG
centro	stred	centro	stred	N;MASC;SG	N;INAN;NOM;MASC;SG
centro	centrum	centro	centrum	N;MASC;SG	N;NOM;NEUT;SG
centro	centre	centro	centrum	N;MASC;SG	N;NOM;NEUT;SG
centro	stredisko	centro	stredisko	N;MASC;SG	N;NOM;NEUT;SG
centro	stred	centro	stred	N;MASC;SG	N;INAN;NOM;MASC;SG
inglese	angličtina	inglese	angličtina	N;SG	N;NOM;FEM;SG
inglese	angličtine	inglese	angličtina	N;SG	N;DAT;FEM;SG
inglese	slovenčina	inglese	slovenčina	N;SG	N;NOM;FEM;SG
inglese	slovak	inglese	slovak	N;SG	N;NOM;NEUT;SG
quattro	štyroch	quattro	štyri	NUM	NUM;ANIM;ACC;MASC;PL
quattro	štyria	quattro	štyri	NUM	NUM;ANIM;NOM;MASC;PL
quattro	štyri	quattro	štyri	NUM	NUM;INAN;NOM;MASC;PL
interno	vnútorné	interno	vnútorný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
interno	vnútorná	interno	vnútorný	ADJ;MASC;SG	ADJ;NOM;FEM;SG
interno	vnútorný	interno	vnútorný	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
interno	vnútorné	interno	vnútorný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
interno	vnútorná	interno	vnútorný	ADJ;MASC;SG	ADJ;NOM;FEM;SG
interno	vnútorný	interno	vnútorný	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
attività	aktivít	attività	aktivita	N;FEM	N;GEN;FEM;PL
attività	činnosť	attività	činnosť	N;FEM	N;NOM;FEM;SG
attività	činnosti	attività	činnosť	N;FEM	N;NOM;FEM;PL
attività	aktivity	attività	aktivita	N;FEM	N;NOM;FEM;PL
attività	činnosť	attività	činnosť	N;FEM	N;NOM;FEM;SG
attività	aktivity	attività	aktivita	N;FEM	N;NOM;FEM;PL
attività	aktivita	attività	aktivita	N;FEM	N;NOM;FEM;SG
alcune	niektorých	alcuno	niektorý	DET;FEM;PL	DET;GEN;MASC;PL
alcune	niektorí	alcuno	niektorý	DET;FEM;PL	DET;ANIM;NOM;MASC;PL
tutte	všetky	tutto	všetok	DET;FEM;PL	DET;INAN;NOM;MASC;PL
tutte	všetkých	tutto	všetok	DET;FEM;PL	DET;ANIM;ACC;MASC;PL
tutte	všetci	tutto	všetok	DET;FEM;PL	DET;ANIM;NOM;MASC;PL
edizione	edícia	edizione	edícia	N;FEM;SG	N;NOM;FEM;SG
edizione	vydanie	edizione	vydanie	N;FEM;SG	N;NOM;NEUT;SG
infatti	vskutku	infatti	vskutku	ADV	ADV
infatti	skutočne	infatti	skutočne	ADV	ADV
qui	sem	qui	sem	ADV	ADV
qui	tu	qui	tu	ADV	ADV
nord	sever	nord	sever	N;MASC;SG	N;INAN;NOM;MASC;SG
diretto	cielený	diretto	cielený	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
diretto	namierené	diretto	namierený	ADJ;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
diretto	priame	diretto	priamy	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
diretto	priamy	diretto	priamy	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
esempio	príklad	esempio	príklad	N;MASC;SG	N;INAN;NOM;MASC;SG
ultimo	posledným	ultimo	posledný	ADJ;MASC;SG	ADJ;INS;NEUT;SG
ultimo	posledný	ultimo	posledný	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
ultimo	posledné	ultimo	posledný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
sfondo	pozadie	sfondo	pozadie	N;MASC;SG	N;NOM;NEUT;SG
sfondo	minulosť	sfondo	minulosť	N;MASC;SG	N;NOM;FEM;SG
sfondo	pozadí	sfondo	pozadie	N;MASC;SG	N;NOM;NEUT;SG
versione	verzia	versione	verzia	N;FEM;SG	N;NOM;FEM;SG
versione	verziu	versione	verzia	N;FEM;SG	N;ACC;FEM;SG
provincia	provincia	provincia	provincie	N;FEM;SG	N;NOM;FEM;SG
provincia	provincii	provincia	provincia	N;FEM;SG	N;DAT;FEM;SG
attore	herec	attore	herec	N;MASC;SG	N;ANIM;NOM;MASC;SG
attore	herca	attore	herec	N;MASC;SG	N;ANIM;ACC;MASC;SG
coppa	coppa	coppa	coppa	N;FEM;SG	N;INAN;NOM;MASC;SG
coppa	šálka	coppa	šálka	N;FEM;SG	N;NOM;FEM;SG
coppa	hrnček	coppa	hrnček	N;FEM;SG	N;INAN;NOM;MASC;SG
coppa	pohár	coppa	pohár	N;FEM;SG	N;INAN;NOM;MASC;SG
coppa	pohára	coppa	pohár	N;FEM;SG	N;INAN;GEN;MASC;SG
