studieren	študuje	studieren	študovať	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
dokument	dokument	dokument	dokument	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
dokument	písomnosť	dokument	písomnosť	N;NOM;NEUT;SG	N;NOM;FEM;SG
kette	náhrdelník	kett	náhrdelník	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
kette	prívesok	kett	prívesok	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
kette	reťaz	kett	reťaz	N;NOM;FEM;SG	N;NOM;FEM;SG
kette	reťazec	kett	reťazec	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
moderner	moderné	modern	moderný	ADJ	ADJ;NOM;NEUT;SG
moderner	moderný	modern	moderný	ADJ	ADJ;ANIM;NOM;MASC;SG
moderner	moderná	modern	moderný	ADJ	ADJ;NOM;FEM;SG
offizieller	úradný	offiziell	úradný	ADJ	ADJ;INAN;NOM;MASC;SG
offizieller	oficiálna	offiziell	oficiálny	ADJ	ADJ;NOM;FEM;SG
offizieller	oficiálny	offiziell	oficiálny	ADJ	ADJ;INAN;NOM;MASC;SG
sank	potopil	sinken	potopiť	V;IND;SG;3;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
sank	potopila	sinken	potopiť	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
sank	potopil	sinken	potopiť	V;IND;SG;3;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
abbau	degradácie	Abbau	degradácia	N	N;NOM;FEM;PL
abbau	degradácia	Abbau	degradácia	N	N;NOM;FEM;SG
abbau	demontáž	Abbau	demontáž	N	N;NOM;FEM;SG
strategie	stratégia	strategie	stratégia	N;SG	N;NOM;FEM;SG
strategie	stratégiu	strategie	stratégia	N;SG	N;ACC;FEM;SG
strategie	stratégii	strategie	stratégia	N;SG	N;DAT;FEM;SG
einheimischen	miestny	einheimisch	miestny	ADJ	ADJ;INAN;NOM;MASC;SG
quer	naprieč	quer	naprieč	ADV	ADV
quer	priečne	quer	priečne	ADV	ADV
fragt	žiada	fragen	žiada	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
fragt	pýta	fragen	pýtať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
planungen	plánuje	planung	plánovať	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
publikation	uverejňovanie	publikation	uverejňovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikation	uverejnenie	publikation	uverejnenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikation	uverejňovanie	publikation	uverejňovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikation	publikácia	publikation	publikácia	N;NOM;FEM;SG	N;NOM;FEM;SG
publikation	zverejnenie	publikation	zverejnenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikation	zverejňovanie	publikation	zverejňovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
fremden	cudzí	fremd	cudzí	ADJ	ADJ;ANIM;NOM;MASC;SG
fremden	cudzí	fremd	cudzí	ADJ	ADJ;ANIM;NOM;MASC;SG
ernsthaft	závažné	ernsthaft	závažný	ADJ	ADJ;NOM;NEUT;SG
ernsthaft	závažná	ernsthaft	závažný	ADJ	ADJ;NOM;FEM;SG
ernsthaft	vážny	ernsthaft	vážny	ADJ	ADJ;ANIM;NOM;MASC;SG
ernsthaft	vážna	ernsthaft	vážna	ADJ	ADJ;NOM;FEM;SG
rief	kričal	rufen	kričať	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
rief	volal	rufen	volať	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
rief	plakal	rufen	plakať	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
rief	plakala	rufen	plakať	V;IND;SG;3;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
entlassung	absolutórium	entlassung	absolutórium	N;NOM;FEM;SG	N;NOM;NEUT;SG
entlassung	vypúšťanie	entlassung	vypúšťanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
entlassung	prepustenie	entlassung	prepustenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
entlassung	prepúšťanie	entlassung	prepúšťanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
siebten	siedma	siebt	siedmy	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
siebten	siedmy	siebt	siedmy	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
siebten	siedme	siebt	siedmy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
grob	surový	grob	surový	ADJ	ADJ;ANIM;NOM;MASC;SG
grob	surová	grob	surový	ADJ	ADJ;NOM;FEM;SG
grob	surové	grob	surový	ADJ	ADJ;NOM;NEUT;SG
grob	drsný	grob	drsný	ADJ	ADJ;ANIM;NOM;MASC;SG
technischer	technický	technisch	technický	ADJ	ADJ;ANIM;NOM;MASC;SG
technischer	technická	technisch	technický	ADJ	ADJ;NOM;FEM;SG
technischer	technickej	technisch	technický	ADJ	ADJ;GEN;FEM;SG
technischer	technické	technisch	technický	ADJ	ADJ;NOM;NEUT;SG
merkmal	charakteristická	merkmal	charakteristický	ADJ	ADJ;NOM;FEM;SG
orthodoxen	ortodoxný	orthodox	ortodoxný	ADJ	ADJ;ANIM;NOM;MASC;SG
verwiesen	odkazuje	verweisen	odkazovať	V;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN
benannten	určili	benennen	určiť	V;PL;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
wertung	rating	wertung	rating	N;FEM;SG	N;INAN;NOM;MASC;SG
wertung	hodnotenie	wertung	hodnotenie	N;FEM;SG	N;NOM;NEUT;SG
eintragen	registrovať	eintragen	registrovať	V;NFIN	V;IPFV;POS;NFIN
eintragen	zaregistrovať	eintragen	zaregistrovať	V;NFIN	V;IPFV;POS;NFIN
eintragen	vstúpiť	eintragen	vstúpiť	V;NFIN	V;PFV;POS;NFIN
eintragen	zadajte	eintragen	zadať	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
ähnelt	podobá	ähneln	podobať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
beitragen	prispievať	beitragen	prispievať	V;NFIN	V;IPFV;POS;NFIN
beitragen	prispieť	beitragen	prispieť	V;NFIN	V;PFV;POS;NFIN
beitragen	prispievať	beitragen	prispievať	V;NFIN	V;IPFV;POS;NFIN
kopiert	skopíroval	kopieren	skopírovať	V;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
dünn	chudý	dünn	chudý	ADJ	ADJ;ANIM;NOM;MASC;SG
dünn	tenké	dünn	tenký	ADJ	ADJ;NOM;NEUT;SG
dünn	tenká	dünn	tenký	ADJ	ADJ;NOM;FEM;SG
dünn	štíhly	dünn	štíhly	ADJ	ADJ;ANIM;NOM;MASC;SG
dünn	tenký	dünn	tenký	ADJ	ADJ;ANIM;NOM;MASC;SG
berechnet	vypočítať	berechnen	vypočítať	V;V.PTCP	V;PFV;POS;NFIN
verlieren	stráca	verlieren	strácať	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
verlieren	prehrá	verlieren	prehrý	V;NFIN	V;PFV;IND;SG;3;POS;PRS;FIN
verlieren	prehráva	verlieren	prehráva	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
verlieren	stráca	verlieren	strácať	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
verlieren	stratí	verlieren	stratiť	V;NFIN	V;PFV;IND;SG;3;POS;PRS;FIN
verlieren	stratiť	verlieren	stratiť	V;NFIN	V;PFV;POS;NFIN
verlieren	prehrať	verlieren	prehrať	V;NFIN	V;PFV;POS;NFIN
verarbeitet	spracúva	verarbeiten	spracúvať	V;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN
gültigen	platné	gültig	platný	ADJ	ADJ;NOM;NEUT;SG
gültigen	platná	gültig	platný	ADJ	ADJ;NOM;FEM;SG
gültigen	platný	gültig	platný	ADJ	ADJ;INAN;NOM;MASC;SG
wohnen	žiť	wohnen	žiť	V;NFIN	V;IPFV;POS;NFIN
wohnen	žiť	wohnen	žiť	V;NFIN	V;IPFV;POS;NFIN
zeichnen	čerpať	zeichnen	čerpať	V;NFIN	V;IPFV;POS;NFIN
zeichnen	nakresliť	zeichnen	nakresliť	V;NFIN	V;PFV;POS;NFIN
zeichnen	kresliť	zeichnen	kresliť	V;NFIN	V;PFV;POS;NFIN
zeichnen	vyvodiť	zeichnen	vyvodiť	V;NFIN	V;PFV;POS;NFIN
klarer	jasnejší	klar	jasne	ADJ	ADJ;ANIM;NOM;CMPR;MASC;SG
anfangen	začať	anfangen	začať	V;NFIN	V;PFV;POS;NFIN
anfangen	začnite	anfangen	začať	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
anfangen	spustiť	anfangen	spustiť	V;NFIN	V;PFV;POS;NFIN
anfangen	začať	anfangen	začať	V;NFIN	V;PFV;POS;NFIN
anfangen	začínať	anfangen	začínať	V;NFIN	V;IPFV;POS;NFIN
anfangen	začnite	anfangen	začať	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
ankunft	príchod	ankunft	príchod	N;FEM;SG	N;INAN;NOM;MASC;SG
verändern	mením	verändern	meniť	V;NFIN	V;IPFV;IND;SG;1;POS;PRS;FIN
verändern	menia	verändern	meniť	V;NFIN	V;IPFV;IND;PL;3;POS;PRS;FIN
verändern	pozmeniť	verändern	pozmeniť	V;NFIN	V;PFV;POS;NFIN
verändern	zmeniť	verändern	zmeniť	V;NFIN	V;PFV;POS;NFIN
verändern	upraviť	verändern	upraviť	V;NFIN	V;PFV;POS;NFIN
stürmer	štrajkujúcich	stürm	štrajkujúci	ADJ	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;ACT
heller	jasnejší	hell	jasne	ADJ	ADJ;ANIM;NOM;CMPR;MASC;SG
befreit	oslobodil	befreien	oslobodiť	V;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
erteilt	vydal	erteilen	vydať	V;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
gebeten	požiadal	bitten	požiadať	V;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
gebeten	opýtal	bitten	opýtať	V;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
wörtlich	doslovný	wörtlich	doslovný	ADJ	ADJ;ANIM;NOM;MASC;SG
kritisierte	kritizoval	kritisieren	kritizovať	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
kritisierte	kritizoval	kritisieren	kritizovať	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
verschwunden	zmizol	verschwinden	zmiznúť	V;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
verschwunden	zmizli	verschwinden	zmiznúť	V;V.PTCP	V;PFV;MASC;PL;POS;PST;V.PTCP
verschwunden	zmizla	verschwinden	zmiznúť	V;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
verschwunden	zmizla	verschwinden	zmiznúť	V;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
verschwunden	zmizli	verschwinden	zmiznúť	V;V.PTCP	V;PFV;MASC;PL;POS;PST;V.PTCP
verschwunden	zmizol	verschwinden	zmiznúť	V;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
benennung	vymenovaní	benennung	vymenovanie	ADJ	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
startet	spúšťa	starten	spúšťa	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
startet	štartuje	starten	štartovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
startet	začne	starten	začať	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
startet	začína	starten	začínať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
älterer	starší	alt	starý	ADJ	ADJ;ANIM;NOM;CMPR;MASC;SG
älterer	staršia	alt	starý	ADJ	ADJ;NOM;CMPR;FEM;SG
älterer	staršieho	alt	starý	ADJ	ADJ;GEN;CMPR;MASC;SG
erwachsenen	dospelí	erwachsen	dospeliť	ADJ	ADJ;ANIM;NOM;MASC;PL
erwachsenen	dospelé	erwachsen	dospelý	ADJ	ADJ;NOM;NEUT;SG
erwachsenen	dospelý	erwachsen	dospelý	ADJ	ADJ;ANIM;NOM;MASC;SG
erwachsenen	dospelý	erwachsen	dospelý	ADJ	ADJ;ANIM;NOM;MASC;SG
erwachsenen	dospelé	erwachsen	dospelý	ADJ	ADJ;NOM;NEUT;SG
erwachsenen	dospelí	erwachsen	dospeliť	ADJ	ADJ;ANIM;NOM;MASC;PL
trennen	odpojiť	trennen	odpojiť	V;NFIN	V;PFV;POS;NFIN
zwingend	povinné	zwingend	povinný	ADJ	ADJ;NOM;NEUT;SG
zwingend	povinná	zwingend	povinný	ADJ	ADJ;NOM;FEM;SG
zwingend	povinný	zwingend	povinný	ADJ	ADJ;ANIM;NOM;MASC;SG
zwingend	povinné	zwingend	povinný	ADJ	ADJ;NOM;NEUT;SG
zwingend	povinná	zwingend	povinný	ADJ	ADJ;NOM;FEM;SG
zwingend	povinný	zwingend	povinný	ADJ	ADJ;ANIM;NOM;MASC;SG
zwingend	povinné	zwingend	povinný	ADJ	ADJ;NOM;NEUT;SG
zwingend	povinná	zwingend	povinný	ADJ	ADJ;NOM;FEM;SG
innenraum	vnútorná	innenraum	vnútorný	ADJ	ADJ;NOM;FEM;SG
innenraum	domáca	innenraum	domáci	ADJ	ADJ;NOM;FEM;SG
innenraum	vnútorné	innenraum	vnútorný	ADJ	ADJ;NOM;NEUT;SG
germanistik	germánske	germanistik	germánsky	ADJ	ADJ;NOM;NEUT;SG
benachbarte	susediace	benachbart	susediaci	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
benachbarte	susediace	benachbart	susediaci	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
benachbarte	susediace	benachbart	susediaci	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
singen	spievaj	singen	spievať	V;NFIN	V;IPFV;IMP;SG;2;POS;FIN
singen	zaspievať	singen	zaspievať	V;NFIN	V;IPFV;POS;NFIN
singen	spievať	singen	spievať	V;NFIN	V;IPFV;POS;NFIN
überprüfung	revízia	überprüfung	revízia	N;NOM;FEM;SG	N;NOM;FEM;SG
überprüfung	preskúmanie	überprüfung	preskúmanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
überprüfung	overovanie	überprüfung	overovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
überprüfung	overenie	überprüfung	overenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
ständigen	stáleho	ständig	stály	ADJ	ADJ;GEN;NEUT;SG
ständigen	trvalý	ständig	trvalý	ADJ	ADJ;INAN;NOM;MASC;SG
ständigen	trvalá	ständig	trvať	ADJ	ADJ;NOM;FEM;SG
ständigen	trvalé	ständig	trvalý	ADJ	ADJ;NOM;NEUT;SG
ständigen	trvalého	ständig	trvalý	ADJ	ADJ;GEN;NEUT;SG
bühnen	plošiny	bühnen	plošina	N;NOM;PL	N;NOM;FEM;PL
bühnen	platformy	bühnen	platforma	N;NOM;PL	N;NOM;FEM;PL
bühnen	fázy	bühnen	fáza	N;NOM;PL	N;NOM;FEM;PL
bühnen	štádiá	bühnen	štádium	N;NOM;PL	N;NOM;NEUT;PL
bühnen	etapy	bühnen	etap	N;NOM;PL	N;NOM;FEM;PL
abgehalten	držala	abhalten	držať	V;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
japanisch	japonské	japanisch	japonský	ADJ	ADJ;NOM;NEUT;SG
japanisch	japonská	japanisch	japonský	ADJ	ADJ;NOM;FEM;SG
japanisch	japonský	japanisch	japonský	ADJ	ADJ;ANIM;NOM;MASC;SG
gewählten	zvolených	gewählt	zvolený	ADJ;PL	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
fliehen	utiecť	fliehen	utiecť	V;NFIN	V;PFV;POS;NFIN
fliehen	uniknúť	fliehen	uniknúť	V;NFIN	V;PFV;POS;NFIN
fliehen	ujsť	fliehen	ujsť	V;NFIN	V;PFV;POS;NFIN
fliehen	utiecť	fliehen	utiecť	V;NFIN	V;PFV;POS;NFIN
stoffe	textílie	stoffen	textília	N;NOM;PL	N;NOM;FEM;PL
stoffe	tkaniny	stoffen	tkanina	N;NOM;PL	N;NOM;FEM;PL
stoffe	látky	stoffen	látka	N;NOM;PL	N;NOM;FEM;PL
fraglich	sporné	fraglich	sporný	ADJ	ADJ;NOM;NEUT;SG
fraglich	diskutabilné	fraglich	diskutabilný	ADJ	ADJ;NOM;NEUT;SG
fraglich	pochybné	fraglich	pochybný	ADJ	ADJ;NOM;NEUT;SG
empfangen	prijímať	empfangen	prijímať	V;V.PTCP	V;IPFV;POS;NFIN
empfangen	prijímajú	empfangen	prijímať	V;V.PTCP	V;IPFV;IND;PL;3;POS;PRS;FIN
empfangen	dostávať	empfangen	dostávať	V;V.PTCP	V;IPFV;POS;NFIN
empfangen	prijať	empfangen	prijať	V;V.PTCP	V;PFV;POS;NFIN
empfangen	dostala	empfangen	dostať	V;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
empfangen	získala	empfangen	získať	V;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
pflicht	povinné	pflicht	povinný	ADJ	ADJ;NOM;NEUT;SG
pflicht	povinná	pflicht	povinný	ADJ	ADJ;NOM;FEM;SG
pflicht	povinný	pflicht	povinný	ADJ	ADJ;ANIM;NOM;MASC;SG
pflicht	povinné	pflicht	povinný	ADJ	ADJ;NOM;NEUT;SG
pflicht	povinná	pflicht	povinný	ADJ	ADJ;NOM;FEM;SG
pflicht	povinný	pflicht	povinný	ADJ	ADJ;ANIM;NOM;MASC;SG
pflicht	povinné	pflicht	povinný	ADJ	ADJ;NOM;NEUT;SG
pflicht	povinná	pflicht	povinný	ADJ	ADJ;NOM;FEM;SG
türkisch	turecká	türkisch	turecký	ADJ	ADJ;NOM;FEM;SG
türkisch	turecké	türkisch	turecký	ADJ	ADJ;NOM;NEUT;SG
türkisch	turecký	türkisch	turecký	ADJ	ADJ;ANIM;NOM;MASC;SG
türkisch	tureckých	türkisch	turecký	ADJ	ADJ;GEN;MASC;PL
nummern	počty	nummern	počet	N	N;INAN;NOM;MASC;PL
nummern	čísla	nummern	číslo	N	N;NOM;NEUT;PL
schnellen	rýchle	schnell	rýchly	ADJ	ADJ;NOM;NEUT;SG
schnellen	rýchly	schnell	rýchly	ADJ	ADJ;ANIM;NOM;MASC;SG
schnellen	rýchla	schnell	rýchly	ADJ	ADJ;NOM;FEM;SG
wusste	poznala	wissen	poznať	V;IND;SG;3;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
wusste	vedel	wissen	vedieť	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
wusste	vedela	wissen	vedieť	V;IND;SG;3;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
hinreichend	dostatočný	hinreichend	dostatočný	ADJ	ADJ;INAN;NOM;MASC;SG
hinreichend	dostatočná	hinreichend	dostatočný	ADJ	ADJ;NOM;FEM;SG
hinreichend	dostatočné	hinreichend	dostatočný	ADJ	ADJ;NOM;NEUT;SG
hinreichend	postačujúce	hinreichend	postačujúci	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
theoretisch	teoretické	theoretisch	teoretický	ADJ	ADJ;NOM;NEUT;SG
theoretisch	teoretický	theoretisch	teoretický	ADJ	ADJ;ANIM;NOM;MASC;SG
theoretisch	teoretická	theoretisch	teoretický	ADJ	ADJ;NOM;FEM;SG
decken	zakryť	decken	zakryť	V;NFIN	V;PFV;POS;NFIN
persönlicher	osobný	persönlich	osobný	ADJ	ADJ;ANIM;NOM;MASC;SG
persönlicher	osobná	persönlich	osobný	ADJ	ADJ;NOM;FEM;SG
persönlicher	osobné	persönlich	osobný	ADJ	ADJ;NOM;NEUT;SG
nachbarn	susedné	nachbarn	susedný	ADJ	ADJ;NOM;NEUT;SG
ernährung	výživa	Ernährung	výživ	N;NOM;FEM;SG	N;NOM;FEM;SG
ernährung	strava	Ernährung	strava	N;NOM;FEM;SG	N;NOM;FEM;SG
ernährung	diéta	Ernährung	diéta	N;NOM;FEM;SG	N;NOM;FEM;SG
vergleichen	porovnávať	vergleichen	porovnávať	V;NFIN	V;IPFV;POS;NFIN
vergleichen	porovnať	vergleichen	porovnať	V;NFIN	V;PFV;POS;NFIN
vergleichen	porovnaj	vergleichen	porovnaj	V;NFIN	V;PFV;IMP;SG;2;POS;FIN
gestrichen	vypúšťa	gestrechen	vypúšťať	V;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN
gestrichen	namaľoval	gestrechen	namaľovať	V;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gestrichen	maľoval	gestrechen	maľovať	V;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
