ve	in	ve	in	CONJ	CONJ
biri	nekdo	biri	nekdo	PRO;NOM;SG;3	PRO;NOM;MASC;SG
biri	nekdo	biri	nekdo	PRO;NOM;SG;3	PRO;NOM;MASC;SG
alanı	field	alan	field	N;NOM;SG;3	N;NOM;MASC;SG
alanı	polje	alan	polje	N;NOM;SG;3	N;NOM;NEUT;SG
alanı	območje	alan	območje	N;NOM;SG;3	N;NOM;NEUT;SG
alanı	površina	alan	površina	N;NOM;SG;3	N;NOM;FEM;SG
alanı	področje	alan	področje	N;NOM;SG;3	N;NOM;NEUT;SG
uzun	visoki	uzun	visok	ADJ	ADJ;NOM;MASC;PL
uzun	visok	uzun	visok	ADJ	ADJ;NOM;INDF;MASC;SG
uzun	visoka	uzun	visok	ADJ	ADJ;NOM;FEM;SG
uzun	razširjeni	uzun	razširjen	ADJ	ADJ;NOM;MASC;PL;V.PTCP
uzun	razširjeno	uzun	razširjeno	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
uzun	podaljšana	uzun	podaljšan	ADJ	ADJ;NOM;FEM;SG;V.PTCP
uzun	podaljšano	uzun	podaljšan	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
uzun	razširjena	uzun	razširjen	ADJ	ADJ;NOM;FEM;SG;V.PTCP
uzun	podaljšan	uzun	podaljšan	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
uzun	višji	uzun	visok	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
uzun	višja	uzun	visok	ADJ	ADJ;NOM;CMPR;FEM;SG
uzun	dolge	uzun	dolg	ADJ	ADJ;NOM;FEM;PL
uzun	dolg	uzun	dolg	ADJ	ADJ;NOM;INDF;MASC;SG
uzun	dolgi	uzun	dolg	ADJ	ADJ;NOM;MASC;SG
uzun	dolga	uzun	dolg	ADJ	ADJ;NOM;FEM;SG
geri	zadaj	geri	zadaj		
elektrik	elektrika	elektrik	elektrika	N;NOM;SG;3	N;NOM;FEM;SG
kısa	krajša	kısa	krat	ADJ	ADJ;NOM;CMPR;FEM;SG
kısa	krajšo	kısa	kratek	ADJ	ADJ;ACC;CMPR;FEM;SG
kısa	krajši	kısa	kratek	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
kısa	krajše	kısa	kratek	ADJ	ADJ;NOM;CMPR;NEUT;SG
kısa	kratki	kısa	kratek	ADJ	ADJ;NOM;DEF;MASC;SG
kısa	kratek	kısa	kratek	ADJ	ADJ;NOM;INDF;MASC;SG
kısa	kratka	kısa	kratek	ADJ	ADJ;NOM;FEM;SG
kısa	kratke	kısa	kratek	ADJ	ADJ;NOM;FEM;PL
kısa	kratek	kısa	kratek	ADJ	ADJ;NOM;INDF;MASC;SG
kişi	oseba	kişi	oseba	N;NOM;SG;3	N;NOM;FEM;SG
çeşitli	razno	çeşitli	razno		
el	roka	el	roka	N;NOM;SG;3	N;NOM;MASC;SG
gol	jezero	gol	jezero	N;NOM;SG;3	N;NOM;NEUT;SG
gol	gol	gol	gol	N;NOM;SG;3	N;NOM;MASC;SG
gol	cilj	gol	cilj	N;NOM;SG;3	N;NOM;MASC;SG
ana	ane	ana	an		
ödülü	nagrado	ödül	nagrada	N;ACC;SG;3	N;ACC;FEM;SG
ödülü	nagrado	ödül	nagrada	N;ACC;SG;3	N;ACC;FEM;SG
ödülü	nagrado	ödül	nagrada	N;ACC;SG;3	N;ACC;FEM;SG
gün	dan	gün	dan	N;NOM;SG;3	N;NOM;MASC;SG
süre	čas	süre	čas	N;NOM;SG;3	N;NOM;MASC;SG
süre	trajanje	süre	trajanje	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	trening	eğitim	trening	N;NOM;SG;3	N;NOM;MASC;SG
eğitim	usposabljanje	eğitim	usposabljanje	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	izobrazba	eğitim	izobrazba	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	izobraževanje	eğitim	izobraževanje	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	izobraževanje	eğitim	izobraževanje	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	vodnik	eğitim	vodnik	N;NOM;SG;3	N;NOM;MASC;SG
eğitim	tutorial	eğitim	tutorial	N;NOM;SG;3	N;NOM;MASC;SG
görev	dolžnost	görev	dolžnost	N;NOM;SG;3	N;NOM;FEM;SG
görev	naloga	görev	naloga	N;NOM;SG;3	N;NOM;FEM;SG
görev	opravilo	görev	opravilo	N;NOM;SG;3	N;NOM;NEUT;SG
görev	dodeljevanje	görev	dodeljevanje	N;NOM;SG;3	N;NOM;NEUT;SG
görev	naloga	görev	naloga	N;NOM;SG;3	N;NOM;FEM;SG
görev	dodelitev	görev	dodelitev	N;NOM;SG;3	N;NOM;FEM;SG
görev	misija	görev	misija	N;NOM;SG;3	N;NOM;FEM;SG
görev	poslanstvo	görev	poslanstvo	N;NOM;SG;3	N;NOM;NEUT;SG
görev	naloga	görev	naloga	N;NOM;SG;3	N;NOM;FEM;SG
yine	spet	yine	spet	ADV	ADV
yine	znova	yine	znova	ADV	ADV
yine	ponovno	yine	ponovno	ADV	ADV
ekonomisi	ekonomija	ekonomi	ekonomija	N;NOM;SG;3	N;NOM;FEM;SG
ekonomisi	gospodarstvo	ekonomi	gospodarstvo	N;NOM;SG;3	N;NOM;NEUT;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;MASC;SG
yeniden	spet	yeniden	spet	ADV	ADV
yeniden	znova	yeniden	znova	ADV	ADV
yeniden	ponovno	yeniden	ponovno	ADV	ADV
savaş	bitka	savaş	bitka	N;NOM;SG;3	N;NOM;FEM;SG
savaş	vojna	savaş	vojna	N;NOM;SG;3	N;NOM;FEM;SG
savaş	pretep	savaş	pretep	N;NOM;SG;3	N;NOM;MASC;SG
savaş	boj	savaş	boj	N;NOM;SG;3	N;NOM;MASC;SG
savaş	borba	savaş	borba	N;NOM;SG;3	N;NOM;FEM;SG
kullanıcı	uporabnik	kullanıcı	uporabnik	N;NOM;SG;3	N;NOM;MASC;SG
birliği	union	birlik	union	N;NOM;SG;3	N;NOM;MASC;SG
birliği	unija	birlik	unija	N;NOM;SG;3	N;NOM;FEM;SG
birliği	sindikat	birlik	sindikat	N;NOM;SG;3	N;NOM;MASC;SG
kanalizasyon	kanalizacija	kanalizasyon	kanalizacija	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizacija	kanalizasyon	kanalizacija	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizacija	kanalizasyon	kanalizacija	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizacija	kanalizasyon	kanalizacija	N;NOM;SG;3	N;NOM;FEM;SG
maç	mac	maç	maca	N;NOM;SG;3	N;NOM;MASC;SG
maç	maca	maç	maca	N;NOM;SG;3	N;NOM;MASC;SG
maç	tekma	maç	tekma	N;NOM;SG;3	N;NOM;FEM;SG
maç	igra	maç	igra	N;NOM;SG;3	N;NOM;FEM;SG
maç	ujemanje	maç	ujemanje	N;NOM;SG;3	N;NOM;NEUT;SG
at	met	at	met		
sıra	vrstica	sıra	vrstica	N;NOM;SG;3	N;NOM;FEM;SG
teknik	tehnični	teknik	tehničen	ADJ	ADJ;NOM;MASC;SG
teknik	tehnična	teknik	tehničen	ADJ	ADJ;NOM;FEM;SG
uygun	upravičena	uygun	upravičen	ADJ	ADJ;NOM;FEM;SG;V.PTCP
uygun	upravičeni	uygun	upravičen	ADJ	ADJ;NOM;MASC;PL;V.PTCP
uygun	upravičen	uygun	upravičen	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
uygun	priročno	uygun	priročen	ADJ	ADJ;NOM;NEUT;SG
uygun	priročna	uygun	priročen	ADJ	ADJ;NOM;FEM;SG
uygun	primerno	uygun	primeren	ADJ	ADJ;NOM;NEUT;SG
uygun	ustrezna	uygun	ustrezen	ADJ	ADJ;NOM;FEM;SG
uygun	primerna	uygun	primeren	ADJ	ADJ;NOM;FEM;SG
uygun	ustrezen	uygun	ustrezen	ADJ	ADJ;NOM;INDF;MASC;SG
uygun	primerna	uygun	primeren	ADJ	ADJ;NOM;FEM;SG
uygun	primerno	uygun	primeren	ADJ	ADJ;NOM;NEUT;SG
uygun	primerni	uygun	primeren	ADJ	ADJ;NOM;MASC;PL
uygun	ustrezna	uygun	ustrezen	ADJ	ADJ;NOM;FEM;SG
uygun	primeren	uygun	primeren	ADJ	ADJ;NOM;INDF;MASC;SG
bütün	cele	bütün	cel	ADJ	ADJ;NOM;FEM;PL
bütün	cel	bütün	cel	ADJ	ADJ;NOM;INDF;MASC;SG
bütün	cela	bütün	cel	ADJ	ADJ;NOM;FEM;SG
bütün	celotno	bütün	celoten	ADJ	ADJ;NOM;NEUT;SG
listesi	spisek	liste	spisek	N;NOM;SG;3	N;NOM;MASC;SG
listesi	seznam	liste	seznam	N;NOM;SG;3	N;NOM;MASC;SG
dört	štirje	dört	štirje	NUM	NUM;NOM;MASC;PL
dört	štiri	dört	štirje	NUM	NUM;ACC;FEM;PL
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;MASC;SG
bar	bar	bar	bar	N;NOM;SG;3	N;NOM;MASC;SG
bar	pub	bar	pub	N;NOM;SG;3	N;NOM;MASC;SG
bar	gostilna	bar	gostilna	N;NOM;SG;3	N;NOM;FEM;SG
sonunda	končno	sonunda	končno	ADV	ADV
onu	ga	o	on	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
onu	njo	o	on	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
açık	jasna	açık	jasen	ADJ	ADJ;NOM;FEM;SG
açık	jasno	açık	jasen	ADJ	ADJ;NOM;NEUT;SG
açık	odprto	açık	odprt	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
insan	oseba	insan	oseba	N;NOM;SG;3	N;NOM;FEM;SG
insan	mož	insan	mož	N;NOM;SG;3	N;NOM;MASC;SG
insan	človek	insan	človek	N;NOM;SG;3	N;NOM;MASC;SG
nowrap	nowrap	nowrap	nowrap		
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;MASC;SG
an	moment	an	moment	N;NOM;SG;3	N;NOM;MASC;SG
an	trenutek	an	trenutek	N;NOM;SG;3	N;NOM;MASC;SG
iş	zaposlitev	iş	zaposlitev	N;NOM;SG;3	N;NOM;FEM;SG
iş	job	iş	job	N;NOM;SG;3	N;NOM;MASC;SG
iş	opravilo	iş	opravilo	N;NOM;SG;3	N;NOM;NEUT;SG
iş	delo	iş	delo	N;NOM;SG;3	N;NOM;NEUT;SG
iş	delo	iş	delo	N;NOM;SG;3	N;NOM;NEUT;SG
iş	poslovanje	iş	poslovanje	N;NOM;SG;3	N;NOM;NEUT;SG
iş	posel	iş	posel	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	odsek	bölüm	odsek	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	poglavje	bölüm	poglavje	N;NOM;SG;3	N;NOM;NEUT;SG
bölümü	razdelek	bölüm	razdelek	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	oddelek	bölüm	oddelek	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	oddelek	bölüm	oddelek	N;NOM;SG;3	N;NOM;MASC;SG
kullanım	use	kullanım	usa		
güzel	čudovita	güzel	čudovit	ADJ	ADJ;NOM;FEM;SG
güzel	lepi	güzel	lep	ADJ	ADJ;NOM;MASC;PL
güzel	lepe	güzel	lep	ADJ	ADJ;NOM;FEM;PL
güzel	lepa	güzel	lep	ADJ	ADJ;NOM;FEM;SG
güzel	pridni	güzel	priden	ADJ	ADJ;NOM;MASC;PL
güzel	pridna	güzel	pridno	ADJ	ADJ;NOM;FEM;SG
güzel	dober	güzel	dober	ADJ	ADJ;NOM;INDF;MASC;SG
güzel	lep	güzel	lep	ADJ	ADJ;NOM;INDF;MASC;SG
güzel	prijetno	güzel	prijeten	ADJ	ADJ;NOM;NEUT;SG
güzel	lepo	güzel	lep	ADJ	ADJ;NOM;NEUT;SG
güzel	lepa	güzel	lep	ADJ	ADJ;NOM;FEM;SG
güzel	ljubka	güzel	ljubek	ADJ	ADJ;NOM;FEM;SG
çocuk	poba	çocuk	poba	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	deček	çocuk	deček	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	fant	çocuk	fant	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	fantek	çocuk	fantek	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	poba	çocuk	poba	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	mulc	çocuk	mulc	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	otrok	çocuk	otrok	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	otrok	çocuk	otrok	N;NOM;SG;3	N;NOM;MASC;SG
sinema	film	sine	film	N;NOM;SG;3	N;NOM;MASC;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;NOM;MASC;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;NOM;MASC;SG
ay	mesec	ay	mesec	N;NOM;SG;3	N;NOM;MASC;SG
ay	mesec	ay	mesec	N;NOM;SG;3	N;NOM;MASC;SG
ay	luna	ay	luna	N;NOM;SG;3	N;NOM;FEM;SG
ay	luni	ay	luniti	N;NOM;SG;3	N;NOM;FEM;SG
imparatorluğu	imperij	imparatorluk	imperij	N;NOM;SG;3	N;NOM;MASC;SG
imparatorluğu	cesarstvo	imparatorluk	cesarstvo	N;NOM;SG;3	N;NOM;NEUT;SG
internet	web	internet	web	N;NOM;SG;3	N;NOM;MASC;SG
internet	internet	internet	internet	N;NOM;SG;3	N;NOM;MASC;SG
tiyatro	drama	tiyatro	drama	N;NOM;SG;3	N;NOM;FEM;SG
tiyatro	gledališče	tiyatro	gledališče	N;NOM;SG;3	N;NOM;NEUT;SG
tiyatro	gledališče	tiyatro	gledališče	N;NOM;SG;3	N;NOM;NEUT;SG
bey	bey	bey	bey	N;NOM;SG;3	N;NOM;MASC;SG
bey	beg	bey	beg	N;NOM;SG;3	N;NOM;MASC;SG
kazandı	zmagala	kazan	zmagati	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
kazandı	zmagal	kazan	zmagati	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
karar	razsodba	karar	razsodba	N;NOM;SG;3	N;NOM;FEM;SG
karar	sodba	karar	sodba	N;NOM;SG;3	N;NOM;FEM;SG
karar	sklep	karar	sklep	N;NOM;SG;3	N;NOM;MASC;SG
karar	odločitev	karar	odločitev	N;NOM;SG;3	N;NOM;FEM;SG
karar	odločba	karar	odločba	N;NOM;SG;3	N;NOM;FEM;SG
tarih	zmenek	tarih	zmenek	N;NOM;SG;3	N;NOM;MASC;SG
tarih	datum	tarih	datum	N;NOM;SG;3	N;NOM;MASC;SG
tarih	zgodovina	tarih	zgodovina	N;NOM;SG;3	N;NOM;FEM;SG
temel	osnovno	temel	osnoven	ADJ	ADJ;NOM;NEUT;SG
temel	osnovni	temel	osnoven	ADJ	ADJ;NOM;MASC;PL
ünlü	slavni	ünlü	slaven	ADJ	ADJ;NOM;DEF;MASC;SG
ünlü	slaven	ünlü	slaven	ADJ	ADJ;NOM;INDF;MASC;SG
ünlü	znana	ünlü	znan	ADJ	ADJ;NOM;FEM;SG;V.PTCP
ünlü	znani	ünlü	znan	ADJ	ADJ;NOM;MASC;PL;V.PTCP
ünlü	znan	ünlü	znan	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
kalan	preostalo	kal	preostati	V;PFV;IND;POS;PRS;V.PTCP	V;PFV;NEUT;SG;V.PTCP
sosyal	družabna	sosyal	družaben	ADJ	ADJ;NOM;FEM;SG
sosyal	družaben	sosyal	družaben	ADJ	ADJ;NOM;INDF;MASC;SG
sosyal	družabno	sosyal	družabno	ADJ	ADJ;NOM;NEUT;SG
sosyal	socialno	sosyal	socialen	ADJ	ADJ;NOM;NEUT;SG
sosyal	družabni	sosyal	družaben	ADJ	ADJ;NOM;DEF;MASC;SG
sosyal	družabno	sosyal	družabno	ADJ	ADJ;NOM;NEUT;SG
sosyal	socialne	sosyal	socialen	ADJ	ADJ;NOM;FEM;PL
sosyal	socialna	sosyal	socialen	ADJ	ADJ;NOM;FEM;SG
sosyal	družbena	sosyal	družben	ADJ	ADJ;NOM;FEM;SG
geldi	prispel	gel	prispeti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
geldi	prispela	gel	prispeti	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
oy	glasovanje	oy	glasovanje	N;NOM;SG;3	N;NOM;NEUT;SG
oy	glasovanje	oy	glasovanje	N;NOM;SG;3	N;NOM;NEUT;SG
geniş	široka	geniş	širok	ADJ	ADJ;NOM;FEM;SG
geniş	široki	geniş	širok	ADJ	ADJ;NOM;MASC;PL
geniş	širok	geniş	širok	ADJ	ADJ;NOM;INDF;MASC;SG
geniş	široka	geniş	širok	ADJ	ADJ;NOM;FEM;SG
geniş	velika	geniş	velik	ADJ	ADJ;NOM;FEM;SG
geniş	velike	geniş	velik	ADJ	ADJ;NOM;FEM;PL
clubnat	clubnat	clubnat	clubnat		
ev	dom	ev	dom	N;NOM;SG;3	N;NOM;MASC;SG
ev	hiša	ev	hiša	N;NOM;SG;3	N;NOM;FEM;SG
ev	hisa	ev	hisa	N;NOM;SG;3	N;NOM;FEM;SG
ev	hiška	ev	hiška	N;NOM;SG;3	N;NOM;FEM;SG
hareket	predlog	hareket	predlog	N;NOM;SG;3	N;NOM;MASC;SG
hareket	gibanje	hareket	gibanje	N;NOM;SG;3	N;NOM;NEUT;SG
hareket	premikanje	hareket	premikanje	N;NOM;SG;3	N;NOM;NEUT;SG
hareket	gibanje	hareket	gibanje	N;NOM;SG;3	N;NOM;NEUT;SG
karadeniz	karadeniz	karadeniz	karadeniz		
bölgesi	regija	bölge	regija	N;NOM;SG;3	N;NOM;FEM;SG
bölgesi	ozemlje	bölge	ozemlje	N;NOM;SG;3	N;NOM;NEUT;SG
sahibi	lastnik	sahip	lastnik	N;NOM;SG;3	N;NOM;MASC;SG
sahibi	lastnica	sahip	lastnica	N;NOM;SG;3	N;NOM;FEM;SG
bilim	znanost	bilim	znanost	N;NOM;SG;3	N;NOM;FEM;SG
