bagdad	bagdad	bagdar	bagdad	N	N;INDF;MASC;SG
garantía	garanție	garantía	garanție	N	N;INDF;FEM;SG
bambú	bambus	bambú	bambus	N	N;INDF;MASC;SG
falsos	fals	falso	fals	ADJ	ADJ;INDF;MASC;SG
falsos	falsa	falso	fals	ADJ	ADJ;DEF;FEM;SG
falsos	falsă	falso	fals	ADJ	ADJ;INDF;FEM;SG
falsos	false	falso	fals	ADJ	ADJ;INDF;FEM;PL
xulgado	tribunal	xulgado	tribunal	N	N;INDF;MASC;SG
xulgado	curtea	xulgado	curte	N	N;DEF;FEM;SG
xulgado	court	xulgado	court	N	N;INDF;MASC;SG
xulgado	curte	xulgado	curte	N	N;INDF;FEM;SG
xulgado	instanță	xulgado	instanță	N	N;INDF;FEM;SG
extensión	extensie	extensión	extensie	N	N;INDF;FEM;SG
extensión	prelungirea	extensión	prelungire	N	N;DEF;FEM;SG
extensión	extindere	extensión	extindere	N	N;INDF;FEM;SG
extensión	prelungire	extensión	prelungire	N	N;INDF;FEM;SG
extensión	extensia	extensión	extensie	N	N;DEF;FEM;SG
expansión	expansiune	expansión	expansiune	N	N;INDF;FEM;SG
expansión	extinderea	expansión	extindere	N	N;DEF;FEM;SG
expansión	expansiunea	expansión	expansiune	N	N;DEF;FEM;SG
expansión	extindere	expansión	extindere	N	N;INDF;FEM;SG
azar	sansa	azar	sansa	N	N;DEF;FEM;SG
azar	șanse	azar	șansă	N	N;INDF;FEM;PL
azar	șansă	azar	șansă	N	N;INDF;FEM;SG
organizacións	organizații	organización	organizație	N	N;INDF;FEM;PL
organizacións	organizatii	organización	organizat	N	N;INDF;FEM;PL
individual	individuală	individual	individual	ADJ	ADJ;INDF;FEM;SG
individual	individual	individual	individual	ADJ	ADJ;INDF;MASC;SG
individual	individuale	individual	individual	ADJ	ADJ;INDF;FEM;PL
intres	momentele	intres	moment	N	N;DEF;FEM;PL
intres	clipe	intres	clipă	N	N;INDF;FEM;PL
intres	momente	intres	moment	N	N;INDF;FEM;PL
específico	specific	específico	specific	ADJ	ADJ;INDF;MASC;SG
específico	specifice	específico	specific	ADJ	ADJ;INDF;FEM;PL
ordenadores	calculatoare	ordenador	calculator	N	N;INDF;FEM;PL
ordenadores	calculatoarele	ordenador	calculatoare	N	N;DEF;FEM;PL
ordenadores	computere	ordenador	computere	N	N;INDF;FEM;PL
ordenadores	calculator	ordenador	calculator	N	N;INDF;MASC;SG
ordenadores	computer	ordenador	computer	N	N;INDF;MASC;SG
ordenadores	calculatorul	ordenador	calculator	N	N;DEF;MASC;SG
estatísticas	statistici	estatística	statistică	N	N;INDF;FEM;PL
estatísticas	statistică	estatística	statistică	N	N;INDF;FEM;SG
estatísticas	statisticile	estatística	statistică	N	N;DEF;FEM;PL
estatísticas	statistica	estatística	statistică	N	N;DEF;FEM;SG
fiel	credincios	fiel	credincios	N	N;INDF;MASC;SG
características	caracteristici	característica	caracteristică	N	N;INDF;FEM;PL
características	trăsături	característica	trăsătură	N	N;INDF;FEM;PL
características	caracteristici	característica	caracteristică	N	N;INDF;FEM;PL
características	caracteristicile	característica	caracteristică	N	N;DEF;FEM;PL
residencia	resedinta	residencia	resedinta	N	N;DEF;FEM;SG
residencia	reședință	residencia	reședință	N	N;INDF;FEM;SG
residencia	reședința	residencia	reședință	N	N;DEF;FEM;SG
pensara	gandeste	pensar	gandeste	V	V;IND;SG;3;PRS;FIN
pensara	gândiți	pensar	gândi	V	V;IND;PL;2;IPFV;FIN
calefacción	caldura	calefacción	caldura	N	N;DEF;FEM;SG
calefacción	heat	calefacción	heat	N	N;INDF;MASC;SG
calefacción	căldură	calefacción	căldură	N	N;INDF;FEM;SG
calefacción	căldura	calefacción	căldură	N	N;DEF;FEM;SG
calefacción	incalzire	calefacción	incalzire	N	N;INDF;FEM;SG
calefacción	încălzire	calefacción	încălzire	N	N;INDF;FEM;SG
décadas	decenii	década	deceniu	N	N;INDF;FEM;PL
enfermos	bolnavi	enfermo	bolnav	N	N;INDF;MASC;PL
compartimos	distribuie	compartir	distribui	V	V;IND;3;PRS;FIN
redución	reducere	redución	reducere	N	N;INDF;FEM;SG
redución	reducerea	redución	reducere	N	N;DEF;FEM;SG
arder	ard	arder	arde	V	V;IND;PL;3;PRS;FIN
arder	arzând	arder	arde	V	V;V.MSDR
arder	ard	arder	arde	V	V;IND;PL;3;PRS;FIN
arder	arde	arder	arde	V	V;IND;SG;3;PRS;FIN
volcán	vulcanul	volcán	vulcan	N	N;DEF;MASC;SG
volcán	vulcan	volcán	vulcan	N	N;INDF;MASC;SG
kg	kilograme	kg	kilogram	N	N;INDF;FEM;PL
oriental	orientale	oriental	oriental	ADJ	ADJ;INDF;FEM;PL
oriental	oriental	oriental	oriental	ADJ	ADJ;INDF;MASC;SG
oriental	orientală	oriental	oriental	ADJ	ADJ;INDF;FEM;SG
violín	vioară	violín	vioar	N	N;INDF;FEM;SG
violín	vioara	violín	vioară	N	N;DEF;FEM;SG
sufriu	suferit	sufrir	suferi	V	V;MASC;SG;V.PTCP
explorar	explorează	explorar	explora	V	V;IND;3;PRS;FIN
explorar	explora	explorar	explora	V	V;IND;SG;3;IPFV;FIN
teléfonos	telefoane	teléfono	telefon	N	N;INDF;FEM;PL
teléfonos	telefoanele	teléfono	telefon	N	N;DEF;FEM;PL
estruturas	structurile	estrutura	structură	N	N;DEF;FEM;PL
estruturas	structuri	estrutura	structură	N	N;INDF;FEM;PL
estruturas	structurilor	estrutura	structură	N	N;DEF;FEM;PL
fusión	fuziune	fusión	fuziune	N	N;INDF;FEM;SG
suma	sumă	suma	sumă	N	N;INDF;FEM;SG
suma	suma	suma	sumă	N	N;DEF;FEM;SG
tanque	tank	tanque	tank	N	N;INDF;MASC;SG
tanque	rezervor	tanque	rezervor	N	N;INDF;MASC;SG
tanque	tanc	tanque	tanc	N	N;INDF;MASC;SG
eventos	evenimentele	evento	eveniment	N	N;DEF;FEM;PL
eventos	evenimente	evento	eveniment	N	N;INDF;FEM;PL
axenda	agendă	axenda	agendă	N	N;INDF;FEM;SG
axenda	agenda	axenda	agendă	N	N;DEF;FEM;SG
bancos	bancile	banco	bancă	N	N;DEF;FEM;PL
bancos	banci	banco	bancă	N	N;INDF;FEM;PL
bancos	bănci	banco	bancă	N	N;INDF;FEM;PL
bancos	băncile	banco	bancă	N	N;DEF;FEM;PL
instrucións	instrucțiunile	instrución	instrucțiune	N	N;DEF;FEM;PL
instrucións	instrucțiuni	instrución	instrucțiune	N	N;INDF;FEM;PL
instrucións	instructiuni	instrución	instructiune	N	N;INDF;FEM;PL
pluma	stilou	plumo	stilou	N	N;INDF;MASC;SG
pluma	pană	plumo	pană	N	N;INDF;FEM;SG
espido	gol	espido	gol	N	N;INDF;MASC;SG
espido	goala	espido	gol	N	N;DEF;FEM;SG
técnicos	tehnicienii	técnico	tehnicienie	N	N;DEF;MASC;PL
técnicos	tehnicieni	técnico	tehnician	N	N;INDF;MASC;PL
técnicos	tehnică	técnico	tehnică	N	N;INDF;FEM;SG
verbas	cuvintele	verba	cuvânt	N	N;DEF;FEM;PL
verbas	cuvinte	verba	cuvânt	N	N;INDF;FEM;PL
verbas	vorbe	verba	vorbă	N	N;INDF;FEM;PL
conclusión	concluzii	conclusión	concluzie	N	N;INDF;FEM;PL
conclusión	concluzia	conclusión	concluzie	N	N;DEF;FEM;SG
conclusión	concluzie	conclusión	concluzie	N	N;INDF;FEM;SG
orgullosos	mândră	orgulloso	mândru	ADJ	ADJ;INDF;FEM;SG
orgullosos	mândru	orgulloso	mândru	ADJ	ADJ;INDF;MASC;SG
escoitou	auzit	escoitar	auzi	V	V;MASC;SG;V.PTCP
músculos	muschi	músculo	muschi	N	N;INDF;MASC;PL
músculos	muschii	músculo	muschi	N	N;DEF;MASC;PL
demostración	demonstrație	demostración	demonstrație	N	N;INDF;FEM;SG
computador	calculator	computador	calculator	N	N;INDF;MASC;SG
computador	computer	computador	computer	N	N;INDF;MASC;SG
computador	calculatorul	computador	calculator	N	N;DEF;MASC;SG
xogadores	jucători	xogador	jucător	N	N;INDF;MASC;PL
xogadores	jucatori	xogador	jucator	N	N;INDF;MASC;PL
xogadores	jucătorii	xogador	jucător	N	N;DEF;MASC;PL
violación	viol	violación	viol	N	N;INDF;MASC;SG
violación	violuri	violación	viol	N	N;INDF;FEM;PL
violación	rapiță	violación	rapiță	N	N;INDF;FEM;SG
violación	violul	violación	viol	N	N;DEF;MASC;SG
violación	încălcare	violación	încălcare	N	N;INDF;FEM;SG
violación	încălcarea	violación	încălcare	N	N;DEF;FEM;SG
violación	violare	violación	violare	N	N;INDF;FEM;SG
gustoume	plăcea	gustoume	plăcea	V	V;IND;SG;3;IPFV;FIN
xefa	cap	xefa	cap	N	N;INDF;MASC;SG
xefa	capul	xefa	cap	N	N;DEF;MASC;SG
neveira	frigider	neveiro	frigider	N	N;INDF;MASC;SG
potente	puternica	potente	puternic	ADJ	ADJ;DEF;FEM;SG
potente	puternic	potente	puternic	ADJ	ADJ;INDF;MASC;SG
perigosa	periculoasa	perigosa	periculos	ADJ	ADJ;DEF;FEM;SG
perigosa	periculoasă	perigosa	periculos	ADJ	ADJ;INDF;FEM;SG
perigosa	periculos	perigosa	periculos	ADJ	ADJ;INDF;MASC;SG
perigosa	periculoase	perigosa	periculos	ADJ	ADJ;INDF;FEM;PL
categoría	categoria	categoría	categorie	N	N;DEF;FEM;SG
categoría	categorii	categoría	categorie	N	N;INDF;FEM;PL
categoría	categorie	categoría	categorie	N	N;INDF;FEM;SG
representante	proxy	representante	proxy	N	N;INDF;MASC;SG
representante	reprezentantul	representante	reprezentant	N	N;DEF;MASC;SG
representante	reprezentant	representante	reprezentant	N	N;INDF;MASC;SG
xogamos	joacă	xogar	juca	V	V;IND;3;PRS;FIN
feitas	făcut	facer	face	V	V;MASC;SG;V.PTCP
renunciar	dând	renunciar	da	V	V;V.MSDR
logro	realizare	logro	realizare	N	N;INDF;FEM;SG
estranxeira	străine	estranxeiro	străin	ADJ	ADJ;INDF;FEM;PL
estranxeira	strain	estranxeiro	strain	ADJ	ADJ;INDF;MASC;SG
estranxeira	străin	estranxeiro	străin	ADJ	ADJ;INDF;MASC;SG
estranxeira	strain	estranxeiro	strain	ADJ	ADJ;INDF;MASC;SG
estranxeira	străin	estranxeiro	străin	ADJ	ADJ;INDF;MASC;SG
favorita	favorita	favoritar	favorita	N	N;DEF;FEM;SG
seguranza	antreprenor	seguranza	antreprenor	N	N;INDF;MASC;SG
seguranza	contractor	seguranza	contractor	N	N;INDF;MASC;SG
ciclo	ciclul	ciclo	ciclu	N	N;DEF;MASC;SG
ciclo	ciclu	ciclo	ciclu	N	N;INDF;MASC;SG
dirán	spune	dir	spune	V	V;IND;SG;3;PRS;FIN
néboa	ceață	néboa	ceață	N	N;INDF;FEM;SG
néboa	ceata	néboa	ceată	N	N;DEF;FEM;SG
néboa	ceată	néboa	ceată	N	N;INDF;FEM;SG
ducia	duzină	ducia	duzină	N	N;INDF;FEM;SG
ducia	duzina	ducia	duzină	N	N;DEF;FEM;SG
localización	localizare	localización	localizare	N	N;INDF;FEM;SG
localización	locație	localización	locație	N	N;INDF;FEM;SG
localización	locația	localización	locație	N	N;DEF;FEM;SG
localización	locaţia	localización	locahie	N	N;DEF;FEM;SG
cidadás	cetățenii	cidadán	cetățean	N	N;DEF;MASC;PL
cidadás	cetățeni	cidadán	cetățean	N	N;INDF;MASC;PL
pioneiros	pionieri	pioneiro	pionier	N	N;INDF;MASC;PL
esperan	sper	esperar	spera	V	V;IND;SG;1;PRS;FIN
esperan	aștept	esperar	aștepta	V	V;IND;SG;1;PRS;FIN
brincar	glumesc	brincar	glumi	V	V;IND;SG;1;PRS;FIN
brincar	glumesc	brincar	glumi	V	V;IND;SG;1;PRS;FIN
lote	lot	lote	lot	N	N;INDF;MASC;SG
metais	metale	metal	metal	N	N;INDF;FEM;PL
metais	metalele	metal	metală	N	N;DEF;FEM;PL
acumulación	acumularea	acumulación	acumulare	N	N;DEF;FEM;SG
acumulación	acumulare	acumulación	acumulare	N	N;INDF;FEM;SG
raíces	rădăcini	raíz	rădăcină	N	N;INDF;FEM;PL
raíces	rădăcinile	raíz	rădăcină	N	N;DEF;FEM;PL
raíces	radacini	raíz	radacin	N	N;INDF;FEM;PL
evidentemente	evident	evidente	evident	ADV	ADV
condena	timp	condena	timp	N	N;INDF;MASC;SG
condena	ora	condena	oră	N	N;DEF;FEM;SG
condena	timpul	condena	timp	N	N;DEF;MASC;SG
fuga	membrelor	fugar	membră	N	N;DEF;FEM;PL
fantasma	trăsura	fantasma	trăsură	N	N;DEF;FEM;SG
fantasma	trăsură	fantasma	trăsură	N	N;INDF;FEM;SG
fantasma	ghost	fantasma	ghost	N	N;INDF;MASC;SG
fantasma	stafie	fantasma	stafie	N	N;INDF;FEM;SG
fantasma	fantoma	fantasma	fantomă	N	N;DEF;FEM;SG
fantasma	fantomă	fantasma	fantomă	N	N;INDF;FEM;SG
tumbas	mormintele	tumba	mormânt	N	N;DEF;FEM;PL
tumbas	graves	tumba	graves	N	N;INDF;MASC;SG
tumbas	morminte	tumba	mormânt	N	N;INDF;FEM;PL
amada	iubit	amadar	iubit	ADJ	ADJ;INDF;MASC;SG
cooperativas	cooperativelor	cooperativa	cooperativ	N	N;DEF;FEM;PL
colgar	atârnă	colgar	atârna	V	V;IND;SG;3;PST;FIN
internado	spitalul	internado	spital	N	N;DEF;MASC;SG
internado	spital	internado	spital	N	N;INDF;MASC;SG
sabas	foi	saber	foaie	N	N;INDF;FEM;PL
sermón	predica	sermón	predica	N	N;DEF;FEM;SG
sermón	predică	sermón	predic	N	N;INDF;FEM;SG
barriga	burtă	barriga	burtă	N	N;INDF;FEM;SG
barriga	burta	barriga	burtă	N	N;DEF;FEM;SG
esperas	așteptare	espera	așteptare	N	N;INDF;FEM;SG
escravo	sclava	escravo	sclavă	N	N;DEF;FEM;SG
escravo	sclav	escravo	sclav	N	N;INDF;MASC;SG
socorro	ajutor	socorro	ajutor	N	N;INDF;MASC;SG
mandou	trimise	mandar	trimite	V	V;IND;SG;3;PST;FIN
seda	mătase	sedo	măta	N	N;INDF;MASC;SG
secreta	secret	secreta	secret	N	N;INDF;MASC;SG
secreta	secreta	secreta	secret	N	N;DEF;FEM;SG
secreta	secrete	secreta	secret	N	N;INDF;FEM;PL
secreta	secretul	secreta	secret	N	N;DEF;MASC;SG
ombreiro	umăr	ombreiro	umăr	N	N;INDF;MASC;SG
ombreiro	umar	ombreiro	umar	N	N;INDF;MASC;SG
ombreiro	umărul	ombreiro	umăr	N	N;DEF;MASC;SG
potencia	putere	potencia	putere	N	N;INDF;FEM;SG
potencia	puterea	potencia	putere	N	N;DEF;FEM;SG
potencia	power	potencia	power	N	N
prometo	promit	prometo	promite	V	V;IND;SG;3;PRS;FIN
prometo	promite	prometo	promite	V	V;IND;SG;3;PRS;FIN
planos	planurile	plano	plan	N	N;DEF;FEM;PL
planos	planuri	plano	plan	N	N;INDF;FEM;PL
polis	polițiști	polis	polițist	N	N;INDF;MASC;PL
deixaría	lasă	deixar	lăsa	V	V;IND;3;PRS;FIN
vervos	vezi	vervo	vedea	V	V;IND;SG;2;PRS;FIN
ataques	atacuri	ataque	atac	N	N;INDF;FEM;PL
ataques	atacurile	ataque	atac	N	N;DEF;FEM;PL
celosa	geloasă	celosar	gelos	ADJ	ADJ;INDF;FEM;SG
celosa	gelos	celosar	gelos	ADJ	ADJ;INDF;MASC;SG
cometer	comite	cometer	comite	V	V;IND;SG;3;PRS;FIN
cometer	comit	cometer	comite	V	V;IND;PL;3;PRS;FIN
escoitaches	auzi	escoitaches	auzi	V	V;IND;SG;3;PST;FIN
escoitaches	auzit	escoitaches	auzi	V	V;MASC;SG;V.PTCP
vendas	vânzările	venda	vânzare	N	N;DEF;FEM;PL
vendas	vanzari	venda	vanzar	N	N;INDF;MASC;PL
vendas	vânzări	venda	vânzare	N	N;INDF;FEM;PL
pague	plateste	pague	platest	V	V;IND;SG;3;PRS;FIN
sacaches	obține	sacaches	obține	V	V;IND;SG;3;PRS;FIN
xudea	iudeea	xudea	iudee	N	N;DEF;FEM;SG
xudea	front	xudea	front	N	N;INDF;MASC;SG
xudea	față	xudea	față	N	N;INDF;FEM;SG
refíreste	medie	refíreste	medie	N	N;INDF;FEM;SG
soñando	visând	soñar	visa	V	V;V.MSDR
soñando	visez	soñar	visez	V	V;IND;SG;1;PRS;FIN
adoro	iubesc	adoro	iubi	V	V;IND;PL;3;PRS;FIN
xastre	croitor	xastre	croitor	N	N;INDF;MASC;SG
xastre	croitori	xastre	croitor	N	N;INDF;MASC;PL
enxergar	înțelege	enxergar	înțelege	V	V;IND;SG;3;PRS;FIN
enxergar	intelege	enxergar	intelege	V	V;IND;SG;3;PRS;FIN
tetas	sâni	teta	sâni	N	N;INDF;FEM;PL
boulevard	bulevardul	boulevard	bulevard	N	N;DEF;MASC;SG
boulevard	bulevard	boulevard	bulevard	N	N;INDF;MASC;SG
autoestrada	autostradă	autoestrada	autostradă	N	N;INDF;FEM;SG
crucifixión	crucificare	crucifixión	crucificare	N	N;INDF;FEM;SG
serventa	camerista	serventar	camerista	N	N;DEF;FEM;SG
serventa	menajera	serventar	menajera	N	N;DEF;FEM;SG
serventa	menajeră	serventar	menajer	N	N;INDF;FEM;SG
melinda	melinda	melinda	melindă	N	N;DEF;FEM;SG
viñan	vino	vir	vino	V	V;IND;SG;2;PRS;FIN
cambian	schimba	cambiar	schimba	V	V;IND;SG;3;IPFV;FIN
cambian	schimbă	cambiar	schimba	V	V;IND;SG;3;PST;FIN
honestidade	sinceritatea	honestidade	sinceritate	N	N;DEF;FEM;SG
honestidade	cinstea	honestidade	cinstea	N	N;DEF;FEM;SG
honestidade	onestitate	honestidade	onestitate	N	N;INDF;FEM;SG
honestidade	sinceritate	honestidade	sinceritate	N	N;INDF;FEM;SG
granxas	ferme	granxa	fermă	N	N;INDF;FEM;PL
granxas	fermele	granxa	fermă	N	N;DEF;FEM;PL
mozart	mozart	mozart	mozart	N	N;INDF;MASC;SG
mestra	profesor	mestra	profesor	N	N;INDF;MASC;SG
mestra	profesoară	mestra	profesoară	N	N;INDF;FEM;SG
mestra	capodopera	mestra	capodoperă	N	N;DEF;FEM;SG
mestra	capodoperă	mestra	capodoperă	N	N;INDF;FEM;SG
occidental	occidental	occidental	occidental	ADJ	ADJ;INDF;MASC;SG
representar	reprezintă	representar	reprezenta	V	V;IND;3;PRS;FIN
representar	reprezinta	representar	reprezinta	V	V;IND;SG;3;IPFV;FIN
actuación	performanțe	actuación	performanță	N	N;INDF;FEM;PL
actuación	performanta	actuación	performant	N	N;DEF;FEM;SG
actuación	performanța	actuación	performanță	N	N;DEF;FEM;SG
actuación	performanță	actuación	performanță	N	N;INDF;FEM;SG
impresionante	impresionant	impresionante	impresionant	ADJ	ADJ;INDF;MASC;SG
impresionante	impresionantă	impresionante	impresionant	ADJ	ADJ;INDF;FEM;SG
fantasía	fantasy	fantasía	fantasy	N	N;INDF;MASC;SG
fantasía	fantezii	fantasía	fantezie	N	N;INDF;FEM;PL
fantasía	fantezia	fantasía	fantezie	N	N;DEF;FEM;SG
fantasía	fantezie	fantasía	fantezie	N	N;INDF;FEM;SG
xulgar	judecă	xulgar	judecă	V	V;IND;SG;3;PST;FIN
vicepresidente	vicii	vicepresidente	viciu	N	N;INDF;FEM;PL
vicepresidente	viciul	vicepresidente	viciu	N	N;DEF;MASC;SG
vicepresidente	moravuri	vicepresidente	moravuri	N	N;INDF;FEM;PL
vicepresidente	viciu	vicepresidente	viciu	N	N;INDF;MASC;SG
vicepresidente	președintele	vicepresidente	președinte	N	N;DEF;MASC;SG
vicepresidente	preşedinte	vicepresidente	preşedinte	N	N;INDF;MASC;SG
vicepresidente	preşedintele	vicepresidente	președinte	N	N;DEF;MASC;SG
vicepresidente	președinte	vicepresidente	președinte	N	N;INDF;MASC;SG
vicepresidente	presedinte	vicepresidente	presedinte	N	N;INDF;MASC;SG
fase	etapa	fase	etapă	N	N;DEF;FEM;SG
fase	etapă	fase	etapă	N	N;INDF;FEM;SG
fase	stadiul	fase	stadiu	N	N;DEF;MASC;SG
fase	faza	fase	fază	N	N;DEF;FEM;SG
fase	fază	fase	fază	N	N;INDF;FEM;SG
veredes	vezi	verede	vedea	V	V;IND;SG;2;PRS;FIN
extraordinario	extraordinara	extraordinario	extraordinar	ADJ	ADJ;DEF;FEM;SG
extraordinario	extraordinară	extraordinario	extraordinar	ADJ	ADJ;INDF;FEM;SG
extraordinario	extraordinare	extraordinario	extraordinar	ADJ	ADJ;INDF;FEM;PL
contesta	răspunde	contesta	răspunde	V	V;IND;SG;3;PRS;FIN
impedir	ține	impedir	ține	V	V;IND;SG;3;PRS;FIN
impedir	păstrați	impedir	păstra	V	V;IND;PL;2;IPFV;FIN
impedir	păstrează	impedir	păstra	V	V;IND;3;PRS;FIN
congreso	congres	congreso	congres	N	N;INDF;MASC;SG
congreso	congresului	congreso	congres	N	N;DEF;MASC;SG
congreso	congresul	congreso	congres	N	N;DEF;MASC;SG
recibiron	primit	recibir	primi	V	V;MASC;SG;V.PTCP
béisbol	baseball	béisbol	baseball	N	N;INDF;MASC;SG
electrónico	electronice	electrónico	electronic	ADJ	ADJ;INDF;FEM;PL
electrónico	electronică	electrónico	electronic	ADJ	ADJ;INDF;FEM;SG
electrónico	electronic	electrónico	electronic	ADJ	ADJ;INDF;MASC;SG
reto	provocare	reto	provocare	N	N;INDF;FEM;SG
reto	provocarea	reto	provocare	N	N;DEF;FEM;SG
postura	postură	postura	postură	N	N;INDF;FEM;SG
postura	postura	postura	postură	N	N;DEF;FEM;SG
postura	pozitie	postura	pozitie	N	N;INDF;FEM;SG
postura	poziția	postura	poziție	N	N;DEF;FEM;SG
postura	poziţia	postura	pozigie	N	N;DEF;FEM;SG
postura	poziţie	postura	poziţie	N	N;INDF;FEM;SG
postura	poziție	postura	poziție	N	N;INDF;FEM;SG
interacción	interacțiunea	interacción	interacțiune	N	N;DEF;FEM;SG
convencer	convinge	convencer	convinge	V	V;IND;SG;3;PRS;FIN
ego	egoul	ego	egou	N	N;DEF;MASC;SG
ego	orgoliu	ego	orgoliu	N	N;INDF;MASC;SG
ego	orgoliul	ego	orgoliu	N	N;DEF;MASC;SG
prioridades	prioritățile	prioridade	prioritate	N	N;DEF;FEM;PL
prioridades	priorități	prioridade	prioritate	N	N;INDF;FEM;PL
experto	expertul	experto	expert	N	N;DEF;MASC;SG
experto	expertă	experto	expert	N	N;INDF;FEM;SG
experto	expert	experto	expert	N	N;INDF;MASC;SG
referencia	referință	referencia	referință	N	N;INDF;FEM;SG
referencia	referința	referencia	referință	N	N;DEF;FEM;SG
referencia	trimitere	referencia	trimitere	N	N;INDF;FEM;SG
tiveses	avea	ter	avea	V	V;IND;SG;3;IPFV;FIN
tiveses	avut	ter	avea	V	V;MASC;SG;V.PTCP
gafas	ochelari	gafo	ochelari	N	N;INDF;MASC;PL
