sau	لیکن	sau	لیکن	CONJ;POS	CONJ
vezi	ملنا	vedea	مل	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
dar	لیکن	dar	لیکن	CONJ;POS	CONJ
cod	بکواس.	cod	بکواس.		
cod	لغو	cod	لغو		
nume	شہرت	nume	شہرت	N;INDF	N;NOM;FEM;SG;3
nume	افکار	nume	فکر	N;INDF	N;NOM;MASC;SG;3
nume	جگہ	nume	جگہ	N;INDF	N;NOM;MASC;SG;3
poate	شاید	poate	شاید	ADV	ADV
timp	دور	timp	دور	N;INDF;MASC;SG	N;NOM;MASC;SG;3
timp	عہد	timp	عہد	N;INDF;MASC;SG	N;NOM;MASC;SG;3
timp	دور	timp	دور	N;INDF;MASC;SG	N;NOM;MASC;SG;3
august	گرامی	august	گرامی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
sat	موضع	sat	موضع	N;INDF;MASC;SG	N;NOM;MASC;SG;3
sat	موضع	sat	موضع	N;INDF;MASC;SG	N;NOM;MASC;SG;3
martie	رفتار	martie	رفتار	N;INDF;MASC;SG	N;NOM;MASC;SG;3
dacă	اگرچہ.	dacă	اگرچہ.	CONJ;POS	CONJ
dacă	اگرچہ	dacă	اگرچہ	CONJ;POS	CONJ
principală	ممتاز	principal	ممتاز	ADJ;INDF;FEM;SG	ADJ
principală	ممتاز	principal	ممتاز	ADJ;INDF;FEM;SG	ADJ
principală	خاص	principal	خاص	ADJ;INDF;FEM;SG	ADJ
loc	مرتبہ	loc	مرتبہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	منصب	loc	منصب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	احاطہ	loc	احاطہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	نشست	loc	نشست	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	شہر	loc	شہر	N;INDF;MASC;SG	N;ACC;MASC;SG;3
loc	مرتبہ	loc	مرتبہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	مقام	loc	مقام	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	منصب	loc	منصب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	احاطہ	loc	احاطہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	نشست	loc	نشست	N;INDF;MASC;SG	N;NOM;MASC;SG;3
loc	شہر	loc	شہر	N;INDF;MASC;SG	N;ACC;MASC;SG;3
departament	شعبہ	departament	شعبہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
grup	گروہ	grup	گروہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
grup	جمعیت	grup	جمعیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
grup	گروہ	grup	گروہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
grup	جمعیت	grup	جمعیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
grup	جماعت	grup	جماعت	N;INDF;MASC;SG	N;NOM;FEM;SG;3
oraș	بلدیہ	oraș	بلدیہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
face	دیکھنا	face	دیکھ	V;IND;SG;3;PRS;FIN	V;NFIN
face	بچارنا	face	بچار	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
face	پکانا	face	پکانا	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
face	بخشنا	face	بخشنا	V;IND;SG;3;PRS;FIN	V;SG;ACT
face	سنوارنا	face	سنوار	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
face	کارروائی.	face	کارروائی.	V;IND;SG;3;PRS;FIN	V;PFV;FEM;SG;V.PTCP;ACT
face	دیکھنا	face	دیکھ	V;IND;SG;3;PRS;FIN	V;NFIN
face	بچارنا	face	بچار	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
face	پکانا	face	پکانا	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
face	بخشنا	face	بخشنا	V;IND;SG;3;PRS;FIN	V;SG;ACT
face	کرنا	face	کر	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
face	سنوارنا	face	سنوار	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
face	کارروائی.	face	کارروائی.	V;IND;SG;3;PRS;FIN	V;PFV;FEM;SG;V.PTCP;ACT
face	پکانا	face	پکانا	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
face	سمجھنا	face	سمجھ	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
face	پکانا	face	پکانا	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
face	سمجھنا	face	سمجھ	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
face	بنانا	face	بنا	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
național	قومی	național	قومی	ADJ;INDF;MASC;SG	ADJ
general	رائج	general	رائج	ADJ;INDF;MASC;SG	ADJ
general	مقامی	general	مقامی	ADJ;INDF;MASC;SG	ADJ
general	اعلیٰ	general	اعلیٰ	ADJ;INDF;MASC;SG	ADJ
general	کافی	general	کافی	ADJ;INDF;MASC;SG	ADJ
general	غیرمتخصص	general	غیرمتخصص	ADJ;INDF;MASC;SG	ADJ
general	رائج	general	رائج	ADJ;INDF;MASC;SG	ADJ
general	عام	general	عام	ADJ;INDF;MASC;SG	ADJ
general	مقامی	general	مقامی	ADJ;INDF;MASC;SG	ADJ
general	اعلیٰ	general	اعلیٰ	ADJ;INDF;MASC;SG	ADJ
general	کافی	general	کافی	ADJ;INDF;MASC;SG	ADJ
general	غیرمتخصص	general	غیرمتخصص	ADJ;INDF;MASC;SG	ADJ
război	بیماری	război	بیماری	N;INDF;MASC;SG	N;NOM;FEM;SG;3
început	سرا	început	سرا	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	سرا	punct	سرا	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	تفصیل	punct	تفصیل	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	نکتہ	punct	نکتہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	فائدہ	punct	فائدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	خصوصیت	punct	خصوصیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	امتیاز	punct	امتیاز	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	مصلحت	punct	مصلحت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	محل	punct	محل	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	درجہ	punct	درجہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	معاملہ	punct	معاملہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	سرا	punct	سرا	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	تفصیل	punct	تفصیل	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	نکتہ	punct	نکتہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	فائدہ	punct	فائدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	خصوصیت	punct	خصوصیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	امتیاز	punct	امتیاز	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	مصلحت	punct	مصلحت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	محل	punct	محل	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	درجہ	punct	درجہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	معاملہ	punct	معاملہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stat	منصب	stat	منصب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stat	عہدہ	stat	عہدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stat	منصب	stat	منصب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stat	حالت	stat	حالت	N;INDF;MASC;SG	N;NOM;FEM;SG;3
stat	عہدہ	stat	عہدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
film	فلم	film	فلم	N;INDF;MASC;SG	N;NOM;FEM;SG;3
mari	اہم	mare	اہم	ADJ;INDF;PL	ADJ
mari	نمایاں	mare	نمایاں	ADJ;INDF;PL	ADJ
club	گروہ	club	گروہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
club	گروہ	club	گروہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
nou	جدید	nou	جدید	ADJ;INDF;MASC;SG	ADJ
nou	جدید	nou	جدید	ADJ;INDF;MASC;SG	ADJ
membru	ٹکڑا	membru	ٹکڑا	N;INDF;MASC;SG	N;NOM;MASC;SG;3
împotriva	خلاف	împotriva	خلاف	ADP;GEN	ADP
deși	اگرچہ	deși	اگرچہ	CONJ;POS	CONJ
înainte	آگے	înainte	آگے	ADV	ADV;NOM;MASC;SG;3
națională	قومی	național	قومی	ADJ;INDF;FEM;SG	ADJ
roman	ناول	roman	ناول	N;INDF;MASC;SG	N;NOM;MASC;SG;3
roman	ناول	roman	ناول	N;INDF;MASC;SG	N;NOM;MASC;SG;3
drept	(	drept	(		
drept	(	drept	(		
drept	راست	drept	راست		
mod	طور	mod	طور	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mod	انداز	mod	انداز	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mod	طور	mod	طور	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mod	شان	mod	شان	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mod	انداز	mod	انداز	N;INDF;MASC;SG	N;NOM;MASC;SG;3
prezent	انعام	prezent	انعام	N;INDF;MASC;SG	N;NOM;MASC;SG;3
prezent	تحفہ	prezent	تحفہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
prezent	عطیہ	prezent	عطیہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
prezent	پیشکش.	prezent	پیشکش.	N;INDF;MASC;SG	N;NOM;MASC;SG;3
text	موضوع	text	موضوع	N;INDF;MASC;SG	N;NOM;MASC;SG;3
tip	آدمی	tip	آدمی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
tip	شخص	tip	شخص	N;INDF;MASC;SG	N;NOM;MASC;SG;3
articol	مضمون	articol	مضمون	N;INDF;MASC;SG	N;NOM;MASC;SG;3
născut	پیدا	naște	پیدا	ADJ;INDF;MASC;SG	ADJ
născut	پیدا	naște	پیدا	ADJ;INDF;MASC;SG	ADJ
deoarece	چونکہ	deoarece	چونکہ	CONJ;POS	CONJ
diferite	علاحدہ	diferit	علحدہ	ADJ;INDF;FEM;PL	ADJ
comune	مفصلہ	comun	مفصلہ	ADJ;INDF;FEM;PL	ADJ
sus	سامنے	sus	سامنے	ADV	ADV;NOM;MASC;SG;3
împărat	شہنشاہ	împărat	شہنشاہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
bun	مناسب	bun	مناسب	ADJ;INDF;MASC;SG	ADJ
bun	اچھا	bun	اچھا	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
bun	مفید	bun	مفید	ADJ;INDF;MASC;SG	ADJ
bun	موافق	bun	موافق	ADJ;INDF;MASC;SG	ADJ
bun	معقول	bun	معقول	ADJ;INDF;MASC;SG	ADJ
bun	دلچسپ	bun	دلچسپ	ADJ;INDF;MASC;SG	ADJ
bun	پُرکشش	bun	پُرکشش	ADJ;INDF;MASC;SG	ADJ
format	کتاب	format	کتاب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
istoric	تاریخی	istoric	تاریخی	ADJ;INDF;MASC;SG	ADJ
lucru	شے	lucru	شے	N;INDF;MASC;SG	N;NOM;FEM;SG;3
lucru	اثاثہ.	lucru	اثاثہ.	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	بات	lucru	بات	N;INDF;MASC;SG	N;NOM;FEM;SG;3
lucru	قول	lucru	قول	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	طریقہ.	lucru	طریقہ.	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	روزگار	lucru	روزگار	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	شغل	lucru	شغل	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	کام	lucru	کام	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	دھندا	lucru	دھندا	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	روزگار	lucru	روزگار	N;INDF;MASC;SG	N;NOM;MASC;SG;3
acum	فوراً	acum	فوراً	ADV	ADV
acum	جلد	acum	جلد	ADV	ADV
acum	فوراً	acum	فوراً	ADV	ADV
acum	جلد	acum	جلد	ADV	ADV
număr	ٹولی	număr	ٹولی	N;INDF;MASC;SG	N;NOM;FEM;SG;3
număr	کمپنی	număr	کمپنی	N;INDF;MASC;SG	N;NOM;FEM;SG;3
număr	گروہ	număr	گروہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
număr	جماعت	număr	جماعت	N;INDF;MASC;SG	N;NOM;FEM;SG;3
număr	رقص	număr	رقص	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fel	گروہ	fel	گروہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fel	قسم	fel	قسم	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fel	جماعت	fel	جماعت	N;INDF;MASC;SG	N;NOM;FEM;SG;3
fel	وضع	fel	وضع	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fel	گروہ	fel	گروہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fel	قسم	fel	قسم	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fel	جماعت	fel	جماعت	N;INDF;MASC;SG	N;NOM;FEM;SG;3
trecut	گزشتہ	trecut	گزشتہ	ADJ;INDF;MASC;SG	ADJ
trecut	حالیہ	trecut	حالیہ	ADJ;INDF;MASC;SG	ADJ
informații	خبریں	informație	خبر	N;INDF;FEM;PL	N;NOM;MASC;PL;3
titlu	سرخی	titlu	سرخی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
album	البم	album	البم	N;INDF;MASC;SG	N;NOM;MASC;SG;3
color	موسیقی	color	موسیقی	ADJ	ADJ
color	موسیقی	color	موسیقی	ADJ	ADJ
principal	اہمیت	principal	اہمیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	بجلی	principal	بجلی	N;INDF;MASC;SG	N;NOM;FEM;SG;3
principal	جسامت	principal	جسامت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	اہمیت	principal	اہمیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	بجلی	principal	بجلی	N;INDF;MASC;SG	N;NOM;FEM;SG;3
principal	جسامت	principal	جسامت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	سربراہ	principal	سربراہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	سرمایہ	principal	سرمایہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	سربراہ	principal	سربراہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	سرمایہ	principal	سرمایہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mic	چھوٹا	mic	چھوٹا	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
mic	معمولی	mic	معمولی	ADJ;INDF;MASC;SG	ADJ
mic	گھٹیا	mic	گھٹیا	ADJ;INDF;MASC;SG	ADJ
mic	چھوٹے	mic	چھوٹا	ADJ;INDF;MASC;SG	ADJ;ACC;MASC;SG
mic	معصومانہ.	mic	معصومانہ.	ADJ;INDF;MASC;SG	ADJ
mic	طفلانہ	mic	طفلانہ	ADJ;INDF;MASC;SG	ADJ
mic	چھوٹا	mic	چھوٹا	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
mic	معمولی	mic	معمولی	ADJ;INDF;MASC;SG	ADJ
mic	گھٹیا	mic	گھٹیا	ADJ;INDF;MASC;SG	ADJ
mic	چھوٹے	mic	چھوٹا	ADJ;INDF;MASC;SG	ADJ;ACC;MASC;SG
mic	معصومانہ.	mic	معصومانہ.	ADJ;INDF;MASC;SG	ADJ
mic	طفلانہ	mic	طفلانہ	ADJ;INDF;MASC;SG	ADJ
gen	طنز	gen	طنز	N;INDF;MASC;SG	N;NOM;MASC;SG;3
gen	جنس	gen	جنس	N;INDF;MASC;SG	N;NOM;MASC;SG;3
gen	اطلاع	gen	اطلاع	N;INDF;MASC;SG	N;NOM;FEM;SG;3
aur	زر	aur	زر	N;INDF;MASC;SG	N;NOM;MASC;SG;3
pol	بانس	pol	بانس	N;INDF;MASC;SG	N;NOM;MASC;SG;3
local	قریبی	local	قریبی	ADJ;INDF;MASC;SG	ADJ
local	علاقائی	local	علاقائی	ADJ;INDF;MASC;SG	ADJ
local	قریبی	local	قریبی	ADJ;INDF;MASC;SG	ADJ
local	مقامی	local	مقامی	ADJ;INDF;MASC;SG	ADJ
local	علاقائی	local	علاقائی	ADJ;INDF;MASC;SG	ADJ
fapt	سچائی	fapt	سچا	N;INDF;MASC;SG	N;NOM;FEM;SG;3
fapt	شہادت	fapt	شہادت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fapt	واقعہ	fapt	واقعہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
profesor	استاد	profesor	استاد	N;INDF;MASC;SG	N;NOM;MASC;SG;3
body	مقدار	body	مقدار	N;INDF;MASC;SG	N;NOM;MASC;SG;3
body	جسم	body	جسم	N;INDF;MASC;SG	N;NOM;MASC;SG;3
body	فرد	body	فرد	N;INDF;MASC;SG	N;NOM;MASC;SG;3
body	آدمی	body	آدمی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
spune	بتانا	spune	بتا	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
spune	بولنا	spune	بول	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
francez	بری	francez	بری	ADJ;INDF;MASC;SG	ADJ;FEM
scriitor	کلرک	scriitor	کلرک	N;INDF;MASC;SG	N;NOM;MASC;SG;3
scriitor	کاتب	scriitor	کاتب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
scriitor	مصنف	scriitor	مصنف	N;INDF;MASC;SG	N;ACC;MASC;SG;3
scriitor	ادیب	scriitor	ادیب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
scriitor	کلرک	scriitor	کلرک	N;INDF;MASC;SG	N;NOM;MASC;SG;3
scriitor	کاتب	scriitor	کاتب	N;INDF;MASC;SG	N;NOM;MASC;SG;3
scriitor	مصنف	scriitor	مصنف	N;INDF;MASC;SG	N;ACC;MASC;SG;3
single	جریدہ	single	جریدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
single	جریدہ	single	جریدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
internațional	واقع	internațional	واقع	ADJ;INDF;MASC;SG	ADJ
internațional	مستعمل	internațional	مستعمل	ADJ;INDF;MASC;SG	ADJ
franceză	بری	francez	بری	ADJ;INDF;FEM;SG	ADJ;FEM
ministru	وزیر	ministru	وزیر	N;INDF;MASC;SG	N;NOM;MASC;SG;3
curs	رویہ	curs	رویہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
curs	روش	curs	روش	N;INDF;MASC;SG	N;NOM;MASC;SG;3
probabil	غالباً	probabil	غالباً	ADV	ADV
sistem	تنظیم	sistem	تنظیم	N;INDF;MASC;SG	N;NOM;FEM;SG;3
sistem	ترتیب	sistem	ترتیب	N;INDF;MASC;SG	N;NOM;FEM;SG;3
autor	کائنات	autor	کائنات	N;INDF;MASC;SG	N;NOM;MASC;SG;3
autor	موجد	autor	موجد	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mediu	عام	mediu	عام	ADJ;INDF;MASC;SG	ADJ
mediu	درمیانی	mediu	درمیانی	ADJ;INDF;MASC;SG	ADJ
mediu	درمیانی	mediu	درمیانی	ADJ;INDF;MASC;SG	ADJ
prea	نہایت	prea	نہایت	ADV	ADV
nivel	مزاج	nivel	مزاج	N;INDF;MASC;SG	N;NOM;MASC;SG;3
nivel	مزاج	nivel	مزاج	N;INDF;MASC;SG	N;NOM;MASC;SG;3
web	جال-	web	جال		
top	چھت	top	چھت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
realizat	لائق	realiza	لائق	ADJ;INDF;MASC;SG	ADJ
realizat	ماہر	realiza	ماہر	ADJ;INDF;MASC;SG	ADJ
noua	جدید	nou	جدید	ADJ;DEF;FEM;SG	ADJ
noua	جدید	nou	جدید	ADJ;DEF;FEM;SG	ADJ
city	بلدیہ	city	بلدیہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
odată	اچانک	odată	اچانک	ADV	ADV
istorică	تاریخی	istoric	تاریخی	ADJ;INDF;FEM;SG	ADJ
moment	اہمیت	moment	اہمیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
moment	اہمیت	moment	اہمیت	N;INDF;MASC;SG	N;NOM;MASC;SG;3
moment	لمحہ	moment	لمحہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
scrie	لکھنا	scrie	لکھ	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
scurt	تحقیراً	scurt	تحقیراً	ADV	ADV
produs	حاصل	produs	حاصل	N;INDF;MASC;SG	N;NOM;MASC;SG;3
produs	نتیجہ	produs	نتیجہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
produs	پیداوار	produs	پیداوار	N;INDF;MASC;SG	N;NOM;MASC;SG;3
obicei	عادت	obicei	عادت	N;INDF;MASC;SG	N;NOM;FEM;SG;3
central	مرکزی	central	مرکزی	ADJ;INDF;MASC;SG	ADJ;NOM
rol	ڈرامے	rol	ڈرامہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
rock	دولت	rock	دولت	N;INDF;MASC;SG	N;NOM;FEM;SG;3
stil	باریک	stil	باریک	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stil	انداز	stil	انداز	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stil	وضع	stil	وضع	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stil	باریک	stil	باریک	N;INDF;MASC;SG	N;NOM;MASC;SG;3
militară	عسکری	militar	عسکری	ADJ;INDF;FEM;SG	ADJ
post	عہدہ	post	عہدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
diverse	مختلف	divers	مختلف	ADJ;INDF;FEM;PL	ADJ
diverse	متنوع	divers	متنوع	ADJ;INDF;FEM;PL	ADJ
diverse	متفرق	divers	متفرق	ADJ;INDF;FEM;PL	ADJ
militar	عسکری	militar	عسکری	ADJ;INDF;MASC;SG	ADJ
originală	تخلیقی	original	تخلیقی	ADJ;INDF;FEM;SG	ADJ
pop	up	pop	up		
pop	out	pop	out		
fizice	جسمانی	fizic	جسمانی	ADJ;INDF;FEM;PL	ADJ
singur	متحد	singur	متحد	ADJ;INDF;MASC;SG	ADJ
singur	متحد	singur	متحد	ADJ;INDF;MASC;SG	ADJ
caz	حادثہ	caz	حادثہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
caz	واقعہ	caz	واقعہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
caz	معاملہ	caz	معاملہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
plan	قرارداد	plan	قرارداد	N;INDF;MASC;SG	N;NOM;MASC;SG;3
plan	خاکہ	plan	خاکہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
plan	تجویز	plan	تجویز	N;INDF;MASC;SG	N;NOM;FEM;SG;3
plan	قرارداد	plan	قرارداد	N;INDF;MASC;SG	N;NOM;MASC;SG;3
naturale	ارضی	natural	ارضی	ADJ;INDF;FEM;PL	ADJ
naturale	سادہ	natural	سادہ	ADJ;INDF;FEM;PL	ADJ
naturale	فطری	natural	فطری	ADJ;INDF;FEM;PL	ADJ
naturale	اصلی	natural	اصلی	ADJ;INDF;FEM;PL	ADJ
naturale	ارضی	natural	ارضی	ADJ;INDF;FEM;PL	ADJ
naturale	سادہ	natural	سادہ	ADJ;INDF;FEM;PL	ADJ
naturale	طبعی	natural	طبعی	ADJ;INDF;FEM;PL	ADJ
naturale	فطری	natural	فطری	ADJ;INDF;FEM;PL	ADJ
pământ	دنیا	pământ	دنیا	N;INDF;MASC;SG	N;NOM;FEM;SG;3
pământ	قوم	pământ	قوم	N;INDF;MASC;SG	N;NOM;MASC;SG;3
pământ	پانی	pământ	پانی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
pământ	قوم	pământ	قوم	N;INDF;MASC;SG	N;NOM;MASC;SG;3
pământ	پانی	pământ	پانی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
pământ	زمین	pământ	زمین	N;INDF;MASC;SG	N;NOM;FEM;SG;3
principale	ممتاز	principal	ممتاز	ADJ;INDF;FEM;PL	ADJ
principale	ممتاز	principal	ممتاز	ADJ;INDF;FEM;PL	ADJ
principale	خاص	principal	خاص	ADJ;INDF;FEM;PL	ADJ
direct	فوراً	direct	فوراً	ADV	ADV
direct	مسلسل	direct	مسلسل	ADV	ADV
direct	فوراً	direct	فوراً	ADV	ADV
direct	مسلسل	direct	مسلسل	ADV	ADV
șef	برتر	șef	برتر	N;INDF;MASC;SG	N;NOM;MASC;SG;3
final	تباہی	final	تباہی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
final	جواز	final	جواز	N;INDF;MASC;SG	N;NOM;MASC;SG;3
final	حتمی	final	حتمی	N;INDF;MASC;SG	N;NOM;MASC;SG;3
acord	اقرار	acord	اقرار	N;INDF;MASC;SG	N;NOM;MASC;SG;3
acord	معاہدہ	acord	معاہدہ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
acord	توافق	acord	توافق	N;INDF;MASC;SG	N;NOM;MASC;SG;3
