istanboel	stambule	istanboel	stambuł	N;NEUT;SG	N;NOM;MASC;SG
onderscheidt	wyróżnia	onderscheiden	wyróżniać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
onderscheidt	odróżnia	onderscheiden	odróżniać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
onderscheidt	rozróżnia	onderscheiden	rozróżnia	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
uitvoeringen	występy	uitvoering	występ	N;PL	N;NOM;MASC;PL
gen	genu	gen	gen	N;NEUT;SG	N;GEN;MASC;SG
opvoeding	rodzicielstwo	opvoeding	rodzicielstwo	N;MASC+FEM;SG	N;NOM;NEUT;SG
opvoeding	wychowanie	opvoeding	wychować	N;MASC+FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
opvoeding	kształcenie	opvoeding	kształcenie	N;MASC+FEM;SG	N;NOM;NEUT;SG
opvoeding	edukacji	opvoeding	edukacja	N;MASC+FEM;SG	N;GEN;FEM;SG
opvoeding	wykształcenie	opvoeding	wykształcenie	N;MASC+FEM;SG	N;NOM;NEUT;SG
opvoeding	edukacja	opvoeding	edukacja	N;MASC+FEM;SG	N;NOM;FEM;SG
opvoeding	wychowanie	opvoeding	wychować	N;MASC+FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
salon	salon	salon	salon	N;MASC+FEM;SG	N;NOM;MASC;SG
salon	salon	salon	salon	N;MASC+FEM;SG	N;NOM;MASC;SG
heiligen	świętych	heiligen	święty	N;PL	N;GEN;MASC;PL
zinken	tonie	zinken	tonąć	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
zinken	zatopić	zinken	zatopić	V;NFIN	V;PFV;NFIN;ACT
samenwerken	współpracować	samenwerken	współpracować	V;NFIN	V;IPFV;NFIN;ACT
samenwerken	współpracują	samenwerken	współpracować	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
lintworm	tasiemiec	lintworm	tasiemiec	N;MASC+FEM;SG	N;NOM;MASC;SG
fragmenten	klipy	fragment	klip	N;PL	N;NOM;MASC;PL
fragmenten	fragmenty	fragment	fragment	N;PL	N;ACC;MASC;PL
fragmenten	fragmenty	fragment	fragment	N;PL	N;ACC;MASC;PL
fragmenten	fragmentów	fragment	fragment	N;PL	N;GEN;MASC;PL
artistieke	artystyczna	artistiek	artystyczny	ADJ	ADJ;NOM;FEM;SG
artistieke	artystyczne	artistiek	artystyczny	ADJ	ADJ;NOM;NEUT;SG
artistieke	artystyczny	artistiek	artystyczny	ADJ	ADJ;NOM;MASC;SG
afspraak	mianowanie	afspraak	mianować	N;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
afspraak	spotkanie	afspraak	spotkanie	N;MASC+FEM;SG	N;NOM;NEUT;SG
schermen	ekrany	scherm	ekrana	N;PL	N;NOM;MASC;PL
schermen	tarcze	scherm	tarczyć	N;PL	N;NOM;FEM;PL
schermen	osłony	scherm	osłon	N;PL	N;ACC;FEM;PL
schermen	sceny	scherm	scena	N;PL	N;ACC;FEM;PL
schermen	scen	scherm	scena	N;PL	N;GEN;FEM;PL
koepel	kopuła	koepel	kopuć	N;MASC+FEM;SG	N;NOM;FEM;SG
clan	ród	clan	ród	N;MASC+FEM;SG	N;NOM;MASC;SG
clan	klanu	clan	klan	N;MASC+FEM;SG	N;GEN;MASC;SG
fel	jasny	fel	jasny	ADJ	ADJ;NOM;MASC;SG
vrouwe	pani	vrouw	pani	N;MASC+FEM;SG	N;NOM;FEM;SG
voordien	wcześniej	voordien	wcześnie	ADV	ADV;CMPR
voordien	poprzednio	voordien	poprzednio	ADV	ADV
resterende	pozostało	resteren	pozostać	V;V.PTCP	V;PFV;NEUT;IND;SG;PST;FIN;ACT
resterende	pozostały	resteren	pozostać	V;V.PTCP	V;PFV;FEM;IND;PL;PST;FIN;ACT
resterende	pozostała	resteren	pozostać	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
buurten	dzielnice	buurten	dzielnica	N;PL	N;NOM;FEM;PL
buurten	dzielnice	buurten	dzielnica	N;PL	N;NOM;FEM;PL
buurten	dzielnicach	buurten	dzielnica	N;PL	N;DAT;FEM;PL
principes	zasady	principe	zasada	N;PL	N;ACC;FEM;PL
principes	zasadami	principe	zasada	N;PL	N;INS;FEM;PL
oprichters	założyciele	oprichter	założyciel	N;PL	N;NOM;MASC;PL
edinburgh	edynburgu	edinburgh	edynburg	N;MASC+FEM;SG	N;GEN;MASC;SG
achterstand	zacofanie	achterstand	zacofać	N;MASC+FEM;SG	N;NOM;NEUT;SG
achterstand	zaległości	achterstand	zaległość	N;MASC+FEM;SG	N;GEN;FEM;SG
breekt	łamie	breken	łamać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
breekt	pęka	breken	pękać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
sluiting	zamknięcie	sluiting	zamknięcie	N;MASC+FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
sluiting	zamknięcia	sluiting	zamknąć	N;MASC+FEM;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
sluiting	zamykanie	sluiting	zamykać	N;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
protocol	protokołu	protocol	protokół	N;NEUT;SG	N;GEN;MASC;SG
protocol	protokół	protocol	protokól	N;NEUT;SG	N;NOM;MASC;SG
samenvoeging	agregacji	samenvoeging	agregacja	N;MASC+FEM;SG	N;GEN;FEM;SG
samenvoeging	łączenie	samenvoeging	łączenie	N;MASC+FEM;SG	N;NOM;NEUT;SG
samenvoeging	łączenie	samenvoeging	łączenie	N;MASC+FEM;SG	N;NOM;NEUT;SG
lotto	loteria	lotto	loteria	N;MASC+FEM;SG	N;NOM;FEM;SG
lotto	losowanie	lotto	losowanie	N;MASC+FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
lotto	loterii	lotto	loteria	N;MASC+FEM;SG	N;GEN;FEM;SG
balans	równowagi	balans	równowag	N;MASC+FEM;SG	N;GEN;FEM;SG
balans	bilans	balans	bilans	N;MASC+FEM;SG	N;NOM;MASC;SG
balans	saldo	balans	saldo	N;MASC+FEM;SG	N;NOM;NEUT;SG
balans	równowaga	balans	równowaga	N;MASC+FEM;SG	N;NOM;FEM;SG
veldslag	walka	veldslag	walka	N;MASC+FEM;SG	N;NOM;FEM;SG
medewerking	współpracę	medewerking	współpraca	N;MASC+FEM;SG	N;ACC;FEM;SG
medewerking	współpraca	medewerking	współpracać	N;MASC+FEM;SG	N;NOM;FEM;SG
medewerking	współpracę	medewerking	współpraca	N;MASC+FEM;SG	N;ACC;FEM;SG
medewerking	współpraca	medewerking	współpracać	N;MASC+FEM;SG	N;NOM;FEM;SG
mantel	płaszcz	mantel	płaszcz	N;MASC+FEM;SG	N;NOM;MASC;SG
pak	skafander	pak	skafander	N;NEUT;SG	N;ACC;MASC;SG
pak	kombinezon	pak	kombinezon	N;NEUT;SG	N;NOM;MASC;SG
pak	garnitur	pak	garnitur	N;NEUT;SG	N;NOM;MASC;SG
xavier	xavier	xavier	xavier	N;MASC+FEM;SG	N;NOM;MASC;SG
verbouwing	remont	verbouwing	remont	N;MASC+FEM;SG	N;NOM;MASC;SG
verbouwing	renowacji	verbouwing	renowacja	N;MASC+FEM;SG	N;GEN;FEM;SG
helden	bohaterami	helden	bohater	N;PL	N;INS;MASC;PL
helden	bohaterów	helden	bohater	N;PL	N;ACC;MASC;PL
helden	bohaterowie	helden	bohater	N;PL	N;NOM;MASC;PL
parijse	paryskiej	parijs	paryski	ADJ	ADJ;GEN;FEM;SG
kanalen	kanałów	kanaal	kanał	N;PL	N;GEN;MASC;PL
kanalen	kanały	kanaal	kanał	N;PL	N;NOM;MASC;PL
kanalen	kanałów	kanaal	kanał	N;PL	N;GEN;MASC;PL
kanalen	kanały	kanaal	kanał	N;PL	N;NOM;MASC;PL
vorstendom	księstwo	vorstendom	księstwo	N;NEUT;SG	N;NOM;NEUT;SG
vorstendom	księstwa	vorstendom	księstwo	N;NEUT;SG	N;GEN;NEUT;SG
boekarest	bukareszcie	boekarest	bukareszt	N;MASC+FEM;SG	N;NOM;MASC;SG
ongewenst	niechcianych	ongewenst	niechciany	ADJ	ADJ;GEN;MASC;PL
ongewenst	niepożądane	ongewenst	niepożądany	ADJ	ADJ;NOM;NEUT;SG
ongewenst	niepożądanych	ongewenst	niepożądany	ADJ	ADJ;GEN;MASC;PL
ongewenst	niepożądane	ongewenst	niepożądany	ADJ	ADJ;NOM;NEUT;SG
citaat	cytat	citaat	cytat	N;NEUT;SG	N;NOM;MASC;SG
citaat	cytat	citaat	cytat	N;NEUT;SG	N;NOM;MASC;SG
citaat	notowania	citaat	notować	N;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
vloog	leciał	vliegen	lecieć	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
vloog	przyleciał	vliegen	przylecieć	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
vloog	poleciał	vliegen	polecieć	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
vers	świeże	vers	świeży	ADJ	ADJ;NOM;NEUT;SG
vers	świeża	vers	świeży	ADJ	ADJ;NOM;FEM;SG
rechtszaak	proces	rechtszaak	proces	N;MASC+FEM;SG	N;NOM;MASC;SG
rechtszaak	próba	rechtszaak	próba	N;MASC+FEM;SG	N;NOM;FEM;SG
rechtszaak	rozprawa	rechtszaak	rozprawa	N;MASC+FEM;SG	N;NOM;FEM;SG
rechtszaak	pozew	rechtszaak	pozew	N;MASC+FEM;SG	N;NOM;MASC;SG
eet	jedz	emmen	jeść	V;SG;PRS;FIN	V;IPFV;IMP;SG;2;FIN;ACT
eet	jeść	emmen	jeść	V;SG;PRS;FIN	V;IPFV;NFIN;ACT
krachtige	potężne	krachtig	potężny	ADJ	ADJ;NOM;NEUT;SG
krachtige	potężna	krachtig	potężny	ADJ	ADJ;NOM;FEM;SG
krachtige	potężny	krachtig	potężny	ADJ	ADJ;NOM;MASC;SG
krachtige	mocne	krachtig	mocny	ADJ	ADJ;NOM;NEUT;SG
universum	wszechświat	universum	wszechświat	N;NEUT;SG	N;NOM;MASC;SG
universum	wszechświata	universum	wszechświatać	N;NEUT;SG	N;GEN;MASC;SG
prominente	wybitny	prominent	wybitny	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
naburige	sąsiadujących	naburig	sąsiadować	ADJ	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
atmosfeer	atmosferę	atmosfeer	atmosfera	N;MASC+FEM;SG	N;ACC;FEM;SG
atmosfeer	atmosfera	atmosfeer	atmosfera	N;MASC+FEM;SG	N;NOM;FEM;SG
atmosfeer	atmosfery	atmosfeer	atmosfera	N;MASC+FEM;SG	N;GEN;FEM;SG
phoenix	phoenix	phoenix	phoenik	N;MASC+FEM;SG	N;NOM;MASC;SG
palm	dłoni	palm	dłoń	N;MASC+FEM;SG	N;GEN;FEM;SG
palm	dłoń	palm	dłoń	N;MASC+FEM;SG	N;NOM;FEM;SG
ambtenaren	urzędników	ambtenaar	urzędnik	N;PL	N;ACC;MASC;PL
ambtenaren	urzędnicy	ambtenaar	urzędnik	N;PL	N;NOM;MASC;PL
percentage	procent	percentage	procent	N;NEUT;SG	N;NOM;MASC;SG
percentage	odsetek	percentage	odsetka	N;NEUT;SG	N;ACC;MASC;SG
superfamilie	nadrodzina	superfamilie	nadrodzina	N;MASC+FEM;SG	N;NOM;FEM;SG
schat	miód	schat	miód	N;MASC+FEM;SG	N;NOM;MASC;SG
schat	kochanie	schat	kochanie	N;MASC+FEM;SG	N;NOM;NEUT;SG
schat	dziecko	schat	dziecko	N;MASC+FEM;SG	N;NOM;NEUT;SG
schat	kochanie	schat	kochanie	N;MASC+FEM;SG	N;NOM;NEUT;SG
schat	kochanie	schat	kochanie	N;MASC+FEM;SG	N;NOM;NEUT;SG
schat	skarbem	schat	skarb	N;MASC+FEM;SG	N;INS;MASC;SG
schat	skarb	schat	skarb	N;MASC+FEM;SG	N;ACC;MASC;SG
schat	kochanie	schat	kochanie	N;MASC+FEM;SG	N;NOM;NEUT;SG
schat	laska	schat	laska	N;MASC+FEM;SG	N;NOM;FEM;SG
afmetingen	wymiary	afmeting	wymiar	N;PL	N;NOM;MASC;PL
afmetingen	wymiary	afmeting	wymiar	N;PL	N;NOM;MASC;PL
moskee	meczetu	moskee	meczet	N;MASC+FEM;SG	N;GEN;MASC;SG
moskee	meczet	moskee	meczet	N;MASC+FEM;SG	N;NOM;MASC;SG
robot	robocie	robot	robota	N;MASC+FEM;SG	N;DAT;FEM;SG
bewustzijn	świadomość	bewustzijn	świadomość	N;NEUT;SG	N;NOM;FEM;SG
bewustzijn	rozpoznawalność	bewustzijn	rozpoznawalność	N;NEUT;SG	N;NOM;FEM;SG
bewustzijn	świadomości	bewustzijn	świadomość	N;NEUT;SG	N;GEN;FEM;SG
bewustzijn	świadomością	bewustzijn	świadomość	N;NEUT;SG	N;INS;FEM;SG
bewustzijn	świadomość	bewustzijn	świadomość	N;NEUT;SG	N;NOM;FEM;SG
bewustzijn	świadomości	bewustzijn	świadomość	N;NEUT;SG	N;GEN;FEM;SG
drugs	prochy	drug	prochy	N;PL	N;NOM;MASC;PL
drugs	narkotyki	drug	narkotyk	N;PL	N;NOM;MASC;PL
drugs	leki	drug	lek	N;PL	N;NOM;MASC;PL
kolonisten	kolonistów	kolonist	kolonista	N;PL	N;ACC;MASC;PL
kolonisten	osadników	kolonist	osadnik	N;PL	N;ACC;MASC;PL
pot	trawka	pot	trawka	N;MASC+FEM;SG	N;NOM;FEM;SG
pot	garnek	pot	garnek	N;MASC+FEM;SG	N;NOM;MASC;SG
chaos	chaosie	chaos	chaos	N;MASC+FEM;SG	N;INS;MASC;SG
chaos	chaosu	chaos	chaos	N;MASC+FEM;SG	N;GEN;MASC;SG
chaos	chaos	chaos	chaos	N;MASC+FEM;SG	N;NOM;MASC;SG
schaduw	cieniu	schaduw	cień	N;MASC+FEM;SG	N;GEN;MASC;SG
schaduw	cienia	schaduw	cień	N;MASC+FEM;SG	N;GEN;MASC;SG
schaduw	odcień	schaduw	odcień	N;MASC+FEM;SG	N;NOM;MASC;SG
schaduw	cienia	schaduw	cień	N;MASC+FEM;SG	N;GEN;MASC;SG
schaduw	cieniu	schaduw	cień	N;MASC+FEM;SG	N;GEN;MASC;SG
duke	książę	duk	książę	N;MASC+FEM;SG	N;NOM;MASC;SG
gevangenschap	niewoli	gevangenschap	niewola	N;MASC+FEM;SG	N;GEN;FEM;SG
handschrift	pismo	handschrift	pismo	N;NEUT;SG	N;NOM;NEUT;SG
handschrift	rękopis	handschrift	rękopis	N;NEUT;SG	N;ACC;MASC;SG
agenten	agenci	agent	agent	N;PL	N;NOM;MASC;PL
agenten	agentów	agent	agent	N;PL	N;ACC;MASC;PL
agenten	funkcjonariusze	agent	funkcjonariusz	N;PL	N;NOM;MASC;PL
agenten	oficerowie	agent	oficer	N;PL	N;NOM;MASC;PL
agenten	oficerów	agent	oficer	N;PL	N;ACC;MASC;PL
violist	skrzypek	violist	skrzypek	N;MASC+FEM;SG	N;NOM;MASC;SG
apparatuur	wyposażenie	apparatuur	wyposażenie	N;MASC+FEM;SG	N;NOM;NEUT;SG
apparatuur	sprzęt	apparatuur	sprzęt	N;MASC+FEM;SG	N;ACC;MASC;SG
rebellen	rebeliantów	rebel	rebeliant	N;PL	N;ACC;MASC;PL
rebellen	rebelianci	rebel	rebeliant	N;PL	N;NOM;MASC;PL
rebellen	buntowników	rebel	buntownik	N;PL	N;ACC;MASC;PL
pantser	zbroja	pantser	zbrój	N;NEUT;SG	N;NOM;FEM;SG
pantser	zbroję	pantser	zbrója	N;NEUT;SG	N;ACC;FEM;SG
pantser	zbroi	pantser	zbroić	N;NEUT;SG	N;GEN;FEM;SG
pantser	pancerz	pantser	pancerz	N;NEUT;SG	N;NOM;MASC;SG
pantser	zbroja	pantser	zbrój	N;NEUT;SG	N;NOM;FEM;SG
pantser	zbroję	pantser	zbrója	N;NEUT;SG	N;ACC;FEM;SG
pantser	zbroi	pantser	zbroić	N;NEUT;SG	N;GEN;FEM;SG
pantser	pancerz	pantser	pancerz	N;NEUT;SG	N;NOM;MASC;SG
omgekeerde	odwrócić	omkeerd	odwrócić	V;V.PTCP	V;PFV;NFIN;ACT
illustraties	ilustracje	illustratie	ilustracja	N;PL	N;NOM;FEM;PL
illustraties	prace	illustratie	praca	N;PL	N;NOM;FEM;PL
conventie	konwencji	conventie	konwencja	N;MASC+FEM;SG	N;GEN;FEM;SG
conventie	konwent	conventie	konwent	N;MASC+FEM;SG	N;NOM;MASC;SG
conventie	zjazd	conventie	zjazd	N;MASC+FEM;SG	N;NOM;MASC;SG
conventie	konwencja	conventie	konwencja	N;MASC+FEM;SG	N;NOM;FEM;SG
dun	szczupła	dun	szczupło	ADJ	ADJ;NOM;FEM;SG
dun	cienkie	dun	cienki	ADJ	ADJ;NOM;NEUT;SG
dun	cienka	dun	cienki	ADJ	ADJ;NOM;FEM;SG
dun	chudy	dun	chudy	ADJ	ADJ;NOM;MASC;SG
dun	cienki	dun	cienki	ADJ	ADJ;NOM;MASC;SG
essay	esej	essay	esej	N;NEUT;SG	N;NOM;MASC;SG
essay	wypracowanie	essay	wypracować	N;NEUT;SG	N;NOM;NEUT;SG
karakters	znaków	karakter	znak	N;PL	N;GEN;MASC;PL
karakters	postacie	karakter	postać	N;PL	N;NOM;MASC;PL
karakters	znaki	karakter	znak	N;PL	N;NOM;MASC;PL
karakters	bohaterowie	karakter	bohater	N;PL	N;NOM;MASC;PL
structuren	konstrukcje	structuur	konstrukcja	N;PL	N;NOM;FEM;PL
structuren	budowle	structuur	budowa	N;PL	N;NOM;MASC;PL
structuren	struktury	structuur	struktura	N;PL	N;ACC;FEM;PL
catalogus	katalog	catalogus	katalog	N;MASC+FEM;SG	N;NOM;MASC;SG
catalogus	katalogu	catalogus	katalóg	N;MASC+FEM;SG	N;GEN;MASC;SG
catalogus	katalog	catalogus	katalog	N;MASC+FEM;SG	N;NOM;MASC;SG
catalogus	katalogu	catalogus	katalóg	N;MASC+FEM;SG	N;GEN;MASC;SG
zege	zwycięstwa	zege	zwycięstwo	N;MASC+FEM;SG	N;NOM;NEUT;SG
zege	zwycięstwo	zege	zwycięstwo	N;MASC+FEM;SG	N;NOM;NEUT;SG
siberië	syberii	siberië	syberia	N;NEUT;SG	N;GEN;FEM;SG
uitvinding	wynalazek	uitvinding	wynalazek	N;MASC+FEM;SG	N;ACC;MASC;SG
sean	seana	sean	seana	N;MASC+FEM;SG	N;ACC;MASC;SG
logica	logika	logica	logika	N;MASC+FEM;SG	N;NOM;FEM;SG
logica	logikę	logica	logika	N;MASC+FEM;SG	N;ACC;FEM;SG
logica	logiki	logica	logika	N;MASC+FEM;SG	N;GEN;FEM;SG
achtbaan	coaster	achtbaan	coaster	N;MASC+FEM;SG	N;NOM;MASC;SG
achtbaan	rollercoaster	achtbaan	rollercoaster	N;MASC+FEM;SG	N;NOM;MASC;SG
excuses	przeprosiny	excuus	przeprosiny	N;PL	N;NOM;NEUT;PL
excuses	przeprosiny	excuus	przeprosiny	N;PL	N;NOM;NEUT;PL
verwijderde	usunięto	verwijderen	usunąć	V;SG;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
verwijderde	usunięto	verwijderen	usunąć	V;SG;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
groenland	grenlandii	groenland	grenlandia	N;NEUT;SG	N;GEN;FEM;SG
spanningen	napięć	spanning	napięcie	N;PL	N;GEN;NEUT;PL
bezetter	okupantem	bezetter	okupant	N;MASC+FEM;SG	N;INS;NEUT;SG
beton	betonu	beton	beton	N;NEUT;SG	N;GEN;MASC;SG
