überlegungen	pensées	überlegungen	penser	V;NFIN	V;FEM;PL;PST;V.PTCP
bestätigen	vérifier	bestätigen	vérifier	V;NFIN	V;NFIN
bestätigen	vérifiez	bestätigen	vérifier	V;NFIN	V;IMP;PL;2;PRS;FIN
bestätigen	valider	bestätigen	valider	V;NFIN	V;NFIN
bestätigen	reconnaissez	bestätigen	reconnaître	V;NFIN	V;IMP;PL;2;PRS;FIN
bestätigen	reconnaître	bestätigen	reconnaître	V;NFIN	V;NFIN
bestätigen	reconnaissent	bestätigen	reconnaître	V;NFIN	V;IND;PL;3;PRS;FIN
bestätigen	confirmez	bestätigen	confirmer	V;NFIN	V;IMP;PL;2;PRS;FIN
bestätigen	confirmer	bestätigen	confirmer	V;NFIN	V;NFIN
scharf	pointu	scharf	pointu	ADJ	ADJ;MASC;SG
scharf	piquante	scharf	piquant	ADJ	ADJ;FEM;SG
vermittelt	transporté	vermitteln	transporter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
frisch	frais	frisch	frais	ADJ	ADJ;MASC;SG
frisch	fraiche	frisch	fraiche	ADJ	ADJ;FEM;SG
frisch	fraîche	frisch	frais	ADJ	ADJ;FEM;SG
dokument	document	dokument	document	N;NOM;NEUT;SG	N;MASC;SG
kurfürsten	électeurs	kurfürst	électeur	N;PL	N;MASC;PL
kette	collier	kett	collier	N;NOM;FEM;SG	N;MASC;SG
kette	chaîne	kett	chaîne	N;NOM;FEM;SG	N;FEM;SG
kette	chaine	kett	chaîne	N;NOM;FEM;SG	N;FEM;SG
moderner	moderne	modern	moderne	ADJ	ADJ;MASC;SG
moderner	modernes	modern	moderne	ADJ	ADJ;MASC;PL
offizieller	officielles	offiziell	officiel	ADJ	ADJ;FEM;PL
offizieller	officiels	offiziell	officiel	ADJ	ADJ;MASC;PL
offizieller	officielle	offiziell	officiel	ADJ	ADJ;FEM;SG
offizieller	officiel	offiziell	officiel	ADJ	ADJ;MASC;SG
bewaffneten	armés	bewaffnet	armer	V;IND;PL;3;PST;FIN	V;MASC;PL;PST;V.PTCP
bewaffneten	armées	bewaffnet	armer	V;IND;PL;3;PST;FIN	V;FEM;PL;PST;V.PTCP
etablierte	établie	etablieren	établir	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP
etablierte	établi	etablieren	établir	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
gefangenen	détenus	gefangen	détenir	V;IND;PL;3;FIN	V;MASC;PL;PST;V.PTCP
gefangenen	détenus	gefangen	détenir	V;IND;PL;3;FIN	V;MASC;PL;PST;V.PTCP
sank	coulé	sinken	coulé	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
lateinische	latines	lateinisch	latin	ADJ;NOM;FEM;PL	ADJ;FEM;PL
abbau	dégradation	Abbau	dégradation	N	N;FEM;SG
abbau	détérioration	Abbau	détérioration	N	N;FEM;SG
abbau	dégradations	Abbau	dégradation	N	N;FEM;PL
abbau	démontage	Abbau	démontage	N	N;MASC;SG
abbau	démantèlement	Abbau	démantèlement	N	N;MASC;SG
strategie	stratégie	strategie	stratégie	N;SG	N;FEM;SG
einheimischen	indigènes	einheimisch	indigène	ADJ	ADJ;MASC;PL
einheimischen	natifs	einheimisch	natif	ADJ	ADJ;MASC;PL
einheimischen	locaux	einheimisch	local	ADJ	ADJ;MASC;PL
zeitgenössische	contemporains	zeitgenössisch	contemporain	ADJ;NOM;FEM;PL	ADJ;MASC;PL
planungen	planifier	planung	planifier	V;NFIN	V;NFIN
publikation	publication	publikation	publication	N;NOM;FEM;SG	N;FEM;SG
fremden	étrangers	fremd	étranger	ADJ	ADJ;MASC;PL
fremden	etrangers	fremd	etranger	ADJ	ADJ;MASC;PL
fremden	étrangers	fremd	étranger	ADJ	ADJ;MASC;PL
fremden	etrangers	fremd	etranger	ADJ	ADJ;MASC;PL
ernsthaft	sérieux	ernsthaft	sérieux	ADJ	ADJ;MASC;SG
ernsthaft	serieux	ernsthaft	serieux	ADJ	ADJ;MASC;SG
ernsthaft	graves	ernsthaft	grave	ADJ	ADJ;MASC;PL
ernsthaft	grave	ernsthaft	grave	ADJ	ADJ;MASC;SG
ernsthaft	sérieuse	ernsthaft	sérieux	ADJ	ADJ;FEM;SG
ernsthaft	sérieux	ernsthaft	sérieux	ADJ	ADJ;MASC;SG
ernsthaft	serieux	ernsthaft	serieux	ADJ	ADJ;MASC;SG
denkmäler	mémoriaux	denkmäl	mémoriau	ADJ	ADJ;MASC;PL
rief	crié	rufen	crier	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
rief	cria	rufen	cria	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
rief	appelée	rufen	appeler	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP
rief	appelé	rufen	appeler	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
rief	cria	rufen	cria	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
rief	pleuré	rufen	pleuré	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
entlassung	décharge	entlassung	décharge	N;NOM;FEM;SG	N;FEM;SG
entlassung	déchargement	entlassung	déchargement	N;NOM;FEM;SG	N;MASC;SG
entlassung	révocation	entlassung	révocation	N;NOM;FEM;SG	N;FEM;SG
entlassung	licenciement	entlassung	licenciement	N;NOM;FEM;SG	N;MASC;SG
entlassung	redondance	entlassung	redondance	N;NOM;FEM;SG	N;FEM;SG
entlassung	licenciement	entlassung	licenciement	N;NOM;FEM;SG	N;MASC;SG
siebten	septième	siebt	septième	ADJ;NOM;MASC;SG	ADJ;MASC;SG
grob	brut	grob	brut	ADJ	ADJ;MASC;SG
grob	rude	grob	rude	ADJ	ADJ;MASC;SG
grob	bruts	grob	brut	ADJ	ADJ;MASC;PL
grob	grossier	grob	grossier	ADJ	ADJ;MASC;SG
grob	grossiers	grob	grossier	ADJ	ADJ;MASC;PL
grob	grossière	grob	grossier	ADJ	ADJ;FEM;SG
dialekt	vernaculaire	dialekt	vernaculaire	ADJ	ADJ;MASC;SG
technischer	technique	technisch	technique	ADJ	ADJ;MASC;SG
technischer	techniques	technisch	technique	ADJ	ADJ;MASC;PL
merkmal	caractéristique	merkmal	caractéristique	ADJ	ADJ;FEM;SG
merkmal	caractéristique	merkmal	caractéristique	ADJ	ADJ;FEM;SG
orthodoxen	orthodoxe	orthodox	orthodoxe	ADJ	ADJ;MASC;SG
orthodoxen	orthodoxes	orthodox	orthodoxe	ADJ	ADJ;MASC;PL
epoche	époque	epoch	époque	N;SG	N;FEM;SG
verwiesen	référencés	verweisen	référencer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
verwiesen	référencé	verweisen	référencer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verwiesen	expulsés	verweisen	expulser	V;V.PTCP	V;MASC;PL;PST;V.PTCP
verwiesen	renvoyé	verweisen	renvoyer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verwiesen	expulsé	verweisen	expulser	V;V.PTCP	V;MASC;SG;PST;V.PTCP
benannten	désignés	benennen	désigner	V;PL;FIN	V;MASC;PL;PST;V.PTCP
benannten	désignées	benennen	désigner	V;PL;FIN	V;FEM;PL;PST;V.PTCP
wertung	pointage	wertung	pointage	N;FEM;SG	N;MASC;SG
wertung	notation	wertung	notation	N;FEM;SG	N;FEM;SG
wertung	notation	wertung	notation	N;FEM;SG	N;FEM;SG
wertung	cotation	wertung	cotation	N;FEM;SG	N;FEM;SG
wertung	cote	wertung	cote	N;FEM;SG	N;FEM;SG
eintragen	enregistrer	eintragen	enregistrer	V;NFIN	V;NFIN
eintragen	enregistrez	eintragen	enregistrer	V;NFIN	V;IMP;PL;2;PRS;FIN
eintragen	entrer	eintragen	entrer	V;NFIN	V;NFIN
eintragen	entrez	eintragen	entrer	V;NFIN	V;IMP;PL;2;PRS;FIN
eintragen	saisir	eintragen	saisir	V;NFIN	V;NFIN
eintragen	saisissez	eintragen	saisir	V;NFIN	V;IMP;PL;2;PRS;FIN
ähnelt	ressembler	ähneln	ressembler	V;IND;SG;3;PRS;FIN	V;NFIN
ähnelt	ressemble	ähneln	ressembler	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
beitragen	contribuant	beitragen	contribuer	V;NFIN	V;PRS;V.PTCP
beitragen	contribuer	beitragen	contribuer	V;NFIN	V;NFIN
beitragen	cotiser	beitragen	cotiser	V;NFIN	V;NFIN
beitragen	contribuer	beitragen	contribuer	V;NFIN	V;NFIN
kopiert	copié	kopieren	copié	V;V.PTCP	V;MASC;SG;PST;V.PTCP
kopiert	copiés	kopieren	copié	V;V.PTCP	V;MASC;PL;PST;V.PTCP
kopiert	copiée	kopieren	copier	V;V.PTCP	V;FEM;SG;PST;V.PTCP
dünn	maigre	dünn	maigre	ADJ	ADJ;MASC;SG
dünn	maigres	dünn	maigre	ADJ	ADJ;MASC;PL
dünn	maigre	dünn	maigre	ADJ	ADJ;MASC;SG
dünn	mince	dünn	mince	ADJ	ADJ;MASC;SG
dünn	minces	dünn	mince	ADJ	ADJ;MASC;PL
berechnet	calculées	berechnen	calculer	V;V.PTCP	V;FEM;PL;PST;V.PTCP
berechnet	calculé	berechnen	calculer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
berechnet	calculés	berechnen	calculer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
berechnet	calculée	berechnen	calculer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
berechnet	calculées	berechnen	calculer	V;V.PTCP	V;FEM;PL;PST;V.PTCP
berechnet	calculé	berechnen	calculer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
berechnet	calculés	berechnen	calculer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
berechnet	calculée	berechnen	calculer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
berechnet	débité	berechnen	débiter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
berechnet	inculpé	berechnen	inculper	V;V.PTCP	V;MASC;SG;PST;V.PTCP
berechnet	facturés	berechnen	facturer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
berechnet	chargé	berechnen	charger	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verlieren	perdant	verlieren	perdre	V;NFIN	V;PRS;V.PTCP
verlieren	perdre	verlieren	perdre	V;NFIN	V;NFIN
verlieren	perd	verlieren	perdre	V;NFIN	V;IND;SG;3;PRS;FIN
verlieren	perdent	verlieren	perdre	V;NFIN	V;IND;PL;3;PRS;FIN
verlieren	perdez	verlieren	perdre	V;NFIN	V;IMP;PL;2;PRS;FIN
verlieren	perdre	verlieren	perdre	V;NFIN	V;NFIN
verlieren	perd	verlieren	perdre	V;NFIN	V;IND;SG;3;PRS;FIN
gefangenschaft	prisonnière	gefangenschaft	prisonnier	ADJ	ADJ;FEM;SG
gefangenschaft	captif	gefangenschaft	captif	ADJ	ADJ;MASC;SG
gefangenschaft	captive	gefangenschaft	captif	ADJ	ADJ;FEM;SG
gefangenschaft	captifs	gefangenschaft	captif	ADJ	ADJ;MASC;PL
gefangenschaft	captives	gefangenschaft	captif	ADJ	ADJ;FEM;PL
gefangenschaft	captifs	gefangenschaft	captif	ADJ	ADJ;MASC;PL
verarbeitet	traités	verarbeiten	traiter	V;V.PTCP	V;MASC;PL;PST;V.PTCP
verarbeitet	traitées	verarbeiten	traiter	V;V.PTCP	V;FEM;PL;PST;V.PTCP
verarbeitet	transformés	verarbeiten	transformer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
verarbeitet	forgé	verarbeiten	forger	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verarbeitet	ouvrés	verarbeiten	ouvré	V;V.PTCP	V;MASC;PL;PST;V.PTCP
gültigen	valables	gültig	valable	ADJ	ADJ;MASC;PL
gültigen	valide	gültig	valide	ADJ	ADJ;MASC;SG
gültigen	valable	gültig	valable	ADJ	ADJ;MASC;SG
gültigen	valides	gültig	valide	ADJ	ADJ;MASC;PL
wohnen	vivant	wohnen	vivre	V;NFIN	V;PRS;V.PTCP
wohnen	vivre	wohnen	vivre	V;NFIN	V;NFIN
wohnen	vivant	wohnen	vivre	V;NFIN	V;PRS;V.PTCP
wohnen	vivre	wohnen	vivre	V;NFIN	V;NFIN
zeichnen	dessine	zeichnen	dessiner	V;NFIN	V;IND;SG;3;PRS;FIN
zeichnen	dessiner	zeichnen	dessiner	V;NFIN	V;NFIN
zeichnen	dessiner	zeichnen	dessiner	V;NFIN	V;NFIN
österreichisch	autrichiennes	österreichisch	autrichien	ADJ	ADJ;FEM;PL
österreichisch	autrichien	österreichisch	autrichien	ADJ	ADJ;MASC;SG
österreichisch	autrichienne	österreichisch	autrichien	ADJ	ADJ;FEM;SG
anfangen	démarrer	anfangen	démarrer	V;NFIN	V;NFIN
anfangen	commencer	anfangen	commencer	V;NFIN	V;NFIN
anfangen	commencez	anfangen	commencer	V;NFIN	V;IMP;PL;2;PRS;FIN
anfangen	commencer	anfangen	commencer	V;NFIN	V;NFIN
arabische	arabes	arabisch	arabe	ADJ;NOM;FEM;PL	ADJ;MASC;PL
arabische	arabes	arabisch	arabe	ADJ;NOM;FEM;PL	ADJ;MASC;PL
arabische	arabes	arabisch	arabe	ADJ;NOM;FEM;PL	ADJ;MASC;PL
gesellschaftliche	sociétaux	gesellschaftlich	sociétal	ADJ;NOM;FEM;PL	ADJ;MASC;PL
mörder	meurtriers	mörder	meurtrier	ADJ	ADJ;MASC;PL
mörder	meurtrière	mörder	meurtrier	ADJ	ADJ;FEM;SG
mörder	meurtriers	mörder	meurtrier	ADJ	ADJ;MASC;PL
verändern	changeant	verändern	changer	V;NFIN	V;PRS;V.PTCP
verändern	changer	verändern	changer	V;NFIN	V;NFIN
verändern	modifiez	verändern	modifier	V;NFIN	V;IMP;PL;2;PRS;FIN
verändern	modifier	verändern	modifier	V;NFIN	V;NFIN
verändern	altérer	verändern	altérer	V;NFIN	V;NFIN
befreit	libérée	befreien	libérer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
befreit	libérés	befreien	libérer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
befreit	libéré	befreien	libérer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
befreit	affranchi	befreien	affranchi	V;V.PTCP	V;MASC;SG;PST;V.PTCP
befreit	libérés	befreien	libérer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
befreit	libéré	befreien	libérer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
befreit	exonéré	befreien	exonérer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
befreit	exemptées	befreien	exempter	V;V.PTCP	V;FEM;PL;PST;V.PTCP
befreit	exempté	befreien	exempter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
befreit	exemptés	befreien	exempter	V;V.PTCP	V;MASC;PL;PST;V.PTCP
befreit	exonéré	befreien	exonérer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
befreit	exempté	befreien	exempter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
befreit	exemptés	befreien	exempter	V;V.PTCP	V;MASC;PL;PST;V.PTCP
befreit	exempter	befreien	exempter	V;V.PTCP	V;NFIN
befreit	exonérés	befreien	exonérer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
erteilt	émis	erteilen	émettre	V;V.PTCP	V;MASC;SG;PST;V.PTCP
erteilt	émises	erteilen	émettre	V;V.PTCP	V;FEM;PL;PST;V.PTCP
erteilt	délivrés	erteilen	délivrer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
erteilt	émise	erteilen	émettre	V;V.PTCP	V;FEM;SG;PST;V.PTCP
erteilt	délivré	erteilen	délivrer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
erteilt	accordées	erteilen	accorder	V;V.PTCP	V;FEM;PL;PST;V.PTCP
erteilt	accordé	erteilen	accorder	V;V.PTCP	V;MASC;SG;PST;V.PTCP
erteilt	octroyé	erteilen	octroyer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
erteilt	accordée	erteilen	accorder	V;V.PTCP	V;FEM;SG;PST;V.PTCP
nordischen	nordiques	nordisch	nordique	ADJ	ADJ;MASC;PL
nordischen	nordique	nordisch	nordique	ADJ	ADJ;MASC;SG
gebeten	demandé	bitten	demander	V;V.PTCP	V;MASC;SG;PST;V.PTCP
wörtlich	littérale	wörtlich	littéral	ADJ	ADJ;FEM;SG
wörtlich	littéral	wörtlich	littéral	ADJ	ADJ;MASC;SG
einnahmen	revenu	einnehmen	revenir	V;NFIN	V;MASC;SG;PST;V.PTCP
einnahmen	reçus	einnehmen	recevoir	V;NFIN	V;MASC;PL;PST;V.PTCP
einnahmen	revenu	einnehmen	revenir	V;NFIN	V;MASC;SG;PST;V.PTCP
renoviert	rénové	renovieren	rénover	V;V.PTCP	V;MASC;SG;PST;V.PTCP
renoviert	rénovées	renovieren	rénover	V;V.PTCP	V;FEM;PL;PST;V.PTCP
renoviert	rénovés	renovieren	rénover	V;V.PTCP	V;MASC;PL;PST;V.PTCP
renoviert	rénové	renovieren	rénover	V;V.PTCP	V;MASC;SG;PST;V.PTCP
renoviert	rénovées	renovieren	rénover	V;V.PTCP	V;FEM;PL;PST;V.PTCP
renoviert	rénovée	renovieren	rénover	V;V.PTCP	V;FEM;SG;PST;V.PTCP
renoviert	restaurée	renovieren	restaurer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
renoviert	restaurés	renovieren	restauré	V;V.PTCP	V;MASC;PL;PST;V.PTCP
renoviert	rétabli	renovieren	rétablir	V;V.PTCP	V;MASC;SG;PST;V.PTCP
renoviert	restauré	renovieren	restaurer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
renoviert	redécoré	renovieren	redécorer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
kritisierte	critiquée	kritisieren	critiquer	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP
kritisierte	critiqué	kritisieren	critiquer	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
kritisierte	critiquée	kritisieren	critiquer	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP
kritisierte	critiqué	kritisieren	critiquer	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
jemals	jamais	jemals	jamais	ADV	ADV
verschwunden	partis	verschwinden	partir	V;V.PTCP	V;MASC;PL;PST;V.PTCP
verschwunden	parti	verschwinden	partir	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verschwunden	envolés	verschwinden	envoler	V;V.PTCP	V;MASC;PL;PST;V.PTCP
verschwunden	disparu	verschwinden	disparaître	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verschwunden	disparu	verschwinden	disparaître	V;V.PTCP	V;MASC;SG;PST;V.PTCP
startet	débute	starten	débuter	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
startet	démarre	starten	démarrer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
startet	commence	starten	commencer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
älterer	âgées	alt	âgé	ADJ	ADJ;FEM;PL
älterer	aîné	alt	aîné	ADJ	ADJ;MASC;SG
erwachsenen	adulte	erwachsen	adulte	ADJ	ADJ;MASC;SG
erwachsenen	adulte	erwachsen	adulte	ADJ	ADJ;MASC;SG
trennen	séparer	trennen	séparer	V;NFIN	V;NFIN
trennen	déconnecter	trennen	déconnecter	V;NFIN	V;NFIN
trennen	séparés	trennen	séparer	V;NFIN	V;MASC;PL;PST;V.PTCP
trennen	séparé	trennen	séparer	V;NFIN	V;MASC;SG;PST;V.PTCP
trennen	séparées	trennen	séparer	V;NFIN	V;FEM;PL;PST;V.PTCP
trennen	séparer	trennen	séparer	V;NFIN	V;NFIN
entscheidende	décisives	entscheidend	décisif	ADJ;NOM;FEM;PL	ADJ;FEM;PL
entscheidende	cruciaux	entscheidend	crucial	ADJ;NOM;FEM;PL	ADJ;MASC;PL
zwingend	obligatoire	zwingend	obligatoire	ADJ	ADJ;MASC;SG
zwingend	obligatoires	zwingend	obligatoire	ADJ	ADJ;MASC;PL
zwingend	impérative	zwingend	impératif	ADJ	ADJ;FEM;SG
zwingend	impérieuse	zwingend	impérieux	ADJ	ADJ;FEM;SG
zwingend	impérieux	zwingend	impérieux	ADJ	ADJ;MASC;SG
zwingend	impératif	zwingend	impératif	ADJ	ADJ;MASC;SG
zwingend	obligatoire	zwingend	obligatoire	ADJ	ADJ;MASC;SG
zwingend	obligatoires	zwingend	obligatoire	ADJ	ADJ;MASC;PL
zwingend	obligatoire	zwingend	obligatoire	ADJ	ADJ;MASC;SG
zwingend	obligatoires	zwingend	obligatoire	ADJ	ADJ;MASC;PL
spezialisiert	spécialisé	spezialisieren	spécialiser	V;V.PTCP	V;MASC;SG;PST;V.PTCP
spezialisiert	spécialisée	spezialisieren	spécialiser	V;V.PTCP	V;FEM;SG;PST;V.PTCP
spezialisiert	spécialisées	spezialisieren	spécialisé	V;V.PTCP	V;FEM;PL;PST;V.PTCP
spezialisiert	spécialisés	spezialisieren	spécialiser	V;V.PTCP	V;MASC;PL;PST;V.PTCP
spezialisiert	spécialisé	spezialisieren	spécialiser	V;V.PTCP	V;MASC;SG;PST;V.PTCP
spezialisiert	spécialisée	spezialisieren	spécialiser	V;V.PTCP	V;FEM;SG;PST;V.PTCP
spezialisiert	spécialisées	spezialisieren	spécialisé	V;V.PTCP	V;FEM;PL;PST;V.PTCP
spezialisiert	spécialisés	spezialisieren	spécialiser	V;V.PTCP	V;MASC;PL;PST;V.PTCP
transportiert	transporté	transportieren	transporter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
transportiert	transportées	transportieren	transporter	V;V.PTCP	V;FEM;PL;PST;V.PTCP
transportiert	transportée	transportieren	transporter	V;V.PTCP	V;FEM;SG;PST;V.PTCP
transportiert	transportés	transportieren	transporter	V;V.PTCP	V;MASC;PL;PST;V.PTCP
transportiert	transporté	transportieren	transporter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
innenraum	interieur	innenraum	interieur	ADJ	ADJ;MASC;SG
innenraum	intérieurs	innenraum	intérieur	ADJ	ADJ;MASC;PL
innenraum	intérieurs	innenraum	intérieur	ADJ	ADJ;MASC;PL
innenraum	intérieure	innenraum	intérieur	ADJ	ADJ;FEM;SG
germanistik	germanique	germanistik	germanique	ADJ	ADJ;MASC;SG
benachbarte	voisines	benachbart	voisin	ADJ;NOM;FEM;PL	ADJ;FEM;PL
benachbarte	adjacents	benachbart	adjacent	ADJ;NOM;FEM;PL	ADJ;MASC;PL
benachbarte	contiguës	benachbart	contiguer	ADJ;NOM;FEM;PL	ADJ;FEM;PL
benachbarte	adjacentes	benachbart	adjacent	ADJ;NOM;FEM;PL	ADJ;FEM;PL
singen	chantons	singen	chanter	V;NFIN	V;IMP;PL;1;PRS;FIN
singen	chanter	singen	chanter	V;NFIN	V;NFIN
singen	chante	singen	chanter	V;NFIN	V;IND;SG;3;PRS;FIN
singen	chanter	singen	chanter	V;NFIN	V;NFIN
woher	comment	woher	comment	ADV	ADV
überprüfung	revue	überprüfung	revue	N;NOM;FEM;SG	N;FEM;SG
überprüfung	examen	überprüfung	examen	N;NOM;FEM;SG	N;MASC;SG
überprüfung	révision	überprüfung	révision	N;NOM;FEM;SG	N;FEM;SG
überprüfung	vérification	überprüfung	vérification	N;NOM;FEM;SG	N;FEM;SG
ägyptischen	égyptiens	ägyptisch	égyptien	ADJ;PL	ADJ;MASC;PL
ständigen	permanente	ständig	permanent	ADJ	ADJ;FEM;SG
ständigen	permanentes	ständig	permanent	ADJ	ADJ;FEM;PL
ständigen	permanent	ständig	permanent	ADJ	ADJ;MASC;SG
ständigen	permanents	ständig	permanent	ADJ	ADJ;MASC;PL
bühnen	plateformes	bühnen	plateforme	N;NOM;PL	N;FEM;PL
bühnen	étapes	bühnen	étape	N;NOM;PL	N;FEM;PL
abgehalten	tenu	abhalten	tenir	V;V.PTCP	V;MASC;SG;PST;V.PTCP
japanisch	japonais	japanisch	japonais	ADJ	ADJ;MASC;SG
japanisch	japonaise	japanisch	japonais	ADJ	ADJ;FEM;SG
japanisch	japonaises	japanisch	japonais	ADJ	ADJ;FEM;PL
fliehen	échapper	fliehen	échapper	V;NFIN	V;NFIN
fliehen	fuyant	fliehen	fuir	V;NFIN	V;PRS;V.PTCP
fliehen	fuir	fliehen	fuir	V;NFIN	V;NFIN
fliehen	fuis	fliehen	fuir	V;NFIN	V;IND;SG;2;PRS;FIN
