警部	лейтенант	警部	лейтенант	N	N;ANIM;NOM;MASC;SG
知人	знакомство	知人	знакомство	N	N;INAN;NOM;NEUT;SG
知人	знакомые	知人	знакомый	N	N;ANIM;NOM;MASC;PL
知人	знакомых	知人	знакомый	N	N;ANIM;GEN;MASC;PL
遂に	наконец	遂にる	наконец	ADV	ADV
パブリッシング	издательство	パブリッシング	издательство	N	N;INAN;NOM;NEUT;SG
パブリッシング	публикация	パブリッシング	публикация	N	N;INAN;NOM;FEM;SG
薬局	аптека	薬局	аптека	N	N;INAN;NOM;FEM;SG
薬局	аптеке	薬局	аптек	N	N;INAN;DAT;FEM;SG
薬局	аптека	薬局	аптека	N	N;INAN;NOM;FEM;SG
薬局	аптеки	薬局	аптека	N	N;INAN;NOM;FEM;PL
薬局	аптеке	薬局	аптек	N	N;INAN;DAT;FEM;SG
カラス	ворон	カラス	ворона	N	N;ANIM;NOM;MASC;SG
カラス	ворона	カラス	ворона	N	N;ANIM;NOM;FEM;SG
カラス	кроу	カラス	кроу	N	N;ANIM;NOM;MASC;SG
伯父	дядя	伯父	дядя	N	N;ANIM;NOM;MASC;SG
伯父	дядюшка	伯父	дядюшка	N	N;ANIM;NOM;MASC;SG
楽しい	весело	楽しい	веселый	ADJ	ADJ;NEUT;SG
楽しい	веселые	楽しい	веселый	ADJ	ADJ;NOM;PL
トマト	помидоры	トマト	помидор	N	N;INAN;NOM;MASC;PL
トマト	помидоры	トマト	помидор	N	N;INAN;NOM;MASC;PL
騒音	шум	騒音	шум	N	N;INAN;NOM;MASC;SG
基質	субстрата	基質	субстрат	N	N;INAN;GEN;MASC;SG
流す	смыть	流す	смыть	V	V;PFV;NFIN;ACT
流派	школ	流派	школа	N	N;INAN;GEN;FEM;PL
流派	школы	流派	школа	N	N;INAN;NOM;FEM;PL
インタフェース	интерфейс	インタフェース	интерфейс	N	N;INAN;NOM;MASC;SG
インタフェース	интерфейсы	インタフェース	интерфейс	N	N;INAN;NOM;MASC;PL
遺物	артефакт	遺物	артефакт	N	N;INAN;NOM;MASC;SG
遺物	реликвий	遺物	реликвий	N	N;INAN;GEN;FEM;PL
チャイナ	китай	チャイナ	китай	N	N;INAN;NOM;MASC;SG
ディフェンダー	защитника	ディフェンダー	защитник	N	N;ANIM;ACC;MASC;SG
ディフェンダー	защитник	ディフェンダー	защитник	N	N;ANIM;NOM;MASC;SG
ラード	сало	ラード	сало	N	N;INAN;NOM;NEUT;SG
代理人	представитель	代理人	представитель	N	N;ANIM;NOM;MASC;SG
代理人	представителю	代理人	представитель	N	N;ANIM;DAT;MASC;SG
代理人	представителя	代理人	представитель	N	N;ANIM;ACC;MASC;SG
代理人	агент	代理人	агент	N	N;ANIM;NOM;MASC;SG
売春	проституция	売春	проституция	N	N;INAN;NOM;FEM;SG
売春	проституции	売春	проституция	N	N;INAN;NOM;FEM;PL
不全	недостаточность	不全	недостаточность	N	N;INAN;NOM;FEM;SG
製造	производство	製造	производство	N	N;INAN;NOM;NEUT;SG
製造	изготовление	製造	изготовление	N	N;INAN;NOM;NEUT;SG
製造	производство	製造	производство	N	N;INAN;NOM;NEUT;SG
製造	изготовление	製造	изготовление	N	N;INAN;NOM;NEUT;SG
マフィア	мафия	マフィア	мафия	N	N;INAN;NOM;FEM;SG
マフィア	мафии	マフィア	мафия	N	N;INAN;NOM;FEM;PL
金髪	блондинки	金髪	блондинка	N	N;ANIM;NOM;FEM;PL
金髪	блондинок	金髪	блондинка	N	N;ANIM;GEN;FEM;PL
金髪	блондинка	金髪	блондинка	N	N;ANIM;NOM;FEM;SG
金髪	блондинки	金髪	блондинка	N	N;ANIM;NOM;FEM;PL
金髪	блондинка	金髪	блондинка	N	N;ANIM;NOM;FEM;SG
金髪	блондин	金髪	блондин	N	N;ANIM;NOM;MASC;SG
不幸	несчастная	不幸	несчастный	ADJ	ADJ;NOM;FEM;SG
不幸	несчастный	不幸	несчастный	ADJ	ADJ;NOM;MASC;SG
胞子	споры	胞子	спор	N	N;INAN;NOM;MASC;PL
開花	цветёт	開花	цветать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
溶接	сварных	溶接	сварный	N	N;INAN;GEN;FEM;PL
溶接	сварка	溶接	сварка	N	N;INAN;NOM;FEM;SG
近似	приближение	近似	приближение	N	N;INAN;NOM;NEUT;SG
環礁	атолле	環礁	атолле	N	N;INAN;ESS;MASC;SG
手動	руководство	手動	руководство	N	N;INAN;NOM;NEUT;SG
マキシ	макси	マキシ	макси	N	N;INAN;NOM;MASC;SG
パルス	пульс	パルス	пульс	N	N;INAN;NOM;MASC;SG
パルス	импульс	パルス	импульс	N	N;INAN;NOM;MASC;SG
許諾	разрешите	許諾	разрешить	V	V;PFV;IMP;PL;2;FIN;ACT
マネージメント	менеджмент	マネージメント	менеджмент	N	N;INAN;NOM;MASC;SG
マネージメント	руководство	マネージメント	руководство	N	N;INAN;NOM;NEUT;SG
マネージメント	управление	マネージメント	управление	N	N;INAN;NOM;NEUT;SG
注ぐ	залить	注ぐ	залить	V	V;PFV;NFIN;ACT
カーネル	ядро	カーネル	ядро	N	N;INAN;NOM;NEUT;SG
カーネル	ядра	カーネル	ядро	N	N;INAN;NOM;NEUT;PL
カーネル	ядра	カーネル	ядро	N	N;INAN;NOM;NEUT;PL
電線	трос	電線	трос	N	N;INAN;NOM;MASC;SG
電線	кабель	電線	кабель	N	N;INAN;NOM;MASC;SG
居酒屋	таверне	居酒屋	таверна	N	N;INAN;DAT;FEM;SG
隆盛	такамори	隆盛	такаморь		
台地	плато	台地	плато	N	N;INAN;NOM;NEUT;SG
日数	дни	日数	день	N	N;INAN;NOM;MASC;PL
日数	дней	日数	день	N	N;INAN;GEN;MASC;PL
機密	конфиденциальность	機密	конфиденциальность	N	N;INAN;NOM;FEM;SG
クライアント	клиента	クライアント	клиент	N	N;ANIM;ACC;MASC;SG
クライアント	клиент	クライアント	клиент	N	N;ANIM;NOM;MASC;SG
クライアント	клиентов	クライアント	клиент	N	N;ANIM;GEN;MASC;PL
クライアント	клиенты	クライアント	клиент	N	N;ANIM;NOM;MASC;PL
微生物	микроорганизмов	微生物	микроорганизм	N	N;INAN;GEN;MASC;PL
ウシ	скот	ウシ	скот	N	N;INAN;NOM;MASC;SG
穀物	зерна	穀物	зерно	N	N;INAN;NOM;NEUT;PL
穀物	зерно	穀物	зерно	N	N;INAN;NOM;NEUT;SG
音色	тона	音色	тон	N	N;INAN;NOM;MASC;PL
鉱石	руды	鉱石	руда	N	N;INAN;NOM;FEM;PL
シンポジウム	симпозиум	シンポジウム	симпозиум	N	N;INAN;NOM;MASC;SG
ローラー	роллер	ローラー	роллер	N	N;INAN;NOM;MASC;SG
フラット	квартиру	フラット	квартира	N	N;INAN;ACC;FEM;SG
フラット	квартира	フラット	квартира	N	N;INAN;NOM;FEM;SG
アニメーター	аниматор	アニメーター	аниматор	N	N;ANIM;NOM;MASC;SG
受け入れる	принимаю	受け入れる	принимать	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
受け入れる	примите	受け入れる	принять	V	V;PFV;IMP;PL;2;FIN;ACT
受け入れる	принимаем	受け入れる	принимать	V	V;IPFV;IND;PL;1;PRS;FIN;ACT
受け入れる	принять	受け入れる	принять	V	V;PFV;NFIN;ACT
補助	субсидии	補助	субсидия	N	N;INAN;NOM;FEM;PL
シェフ	шеф	シェフ	шеф	N	N;ANIM;NOM;MASC;SG
シェフ	повар	シェフ	повар	N	N;ANIM;NOM;MASC;SG
スクープ	сенсация	スクープ	сенсация	N	N;INAN;NOM;FEM;SG
歯車	снаряжение	歯車	снаряжение	N	N;INAN;NOM;NEUT;SG
大当たり	джекпот	大当たり	джекпот	N	N;INAN;NOM;MASC;SG
パスワード	пароль	パスワード	пароль	N	N;INAN;NOM;MASC;SG
パスワード	пароли	パスワード	пароль	N	N;INAN;NOM;MASC;PL
メカニック	механика	メカニック	механика	N	N;INAN;NOM;FEM;SG
メカニック	механик	メカニック	механик	N	N;ANIM;NOM;MASC;SG
申告	объявить	申告	объявить	V	V;PFV;NFIN;ACT
申告	объявлять	申告	объявлять	V	V;IPFV;NFIN;ACT
赤ちゃん	ребёнок	赤ちゃん	ребёнок	N	N;ANIM;NOM;MASC;SG
赤ちゃん	малышка	赤ちゃん	малышка	N	N;ANIM;NOM;FEM;SG
赤ちゃん	детка	赤ちゃん	детка	N	N;INAN;NOM;FEM;SG
赤ちゃん	малыш	赤ちゃん	малыш	N	N;ANIM;NOM;MASC;SG
赤ちゃん	малыши	赤ちゃん	малыш	N	N;ANIM;NOM;MASC;PL
赤ちゃん	детки	赤ちゃん	детка	N	N;ANIM;NOM;MASC;PL
赤ちゃん	дети	赤ちゃん	ребенок	N	N;ANIM;NOM;MASC;PL
スクロール	прокрутка	スクロール	прокрутка	N	N;INAN;NOM;FEM;SG
スクロール	свиток	スクロール	свиток	N	N;INAN;NOM;MASC;SG
会う	познакомиться	会う	знакомиться	V	V;PFV;NFIN;MID
会う	знакомьтесь	会う	знакомиться	V	V;IPFV;IMP;PL;2;FIN;MID
会う	встретиться	会う	встретиться	V	V;PFV;NFIN;MID
弾頭	боеголовки	弾頭	боеголовка	N	N;INAN;NOM;FEM;PL
セクター	сектор	セクター	сектор	N	N;INAN;NOM;MASC;SG
セクター	секторов	セクター	сектор	N	N;INAN;GEN;MASC;PL
セクター	секторы	セクター	сектор	N	N;INAN;NOM;MASC;PL
セクター	сектора	セクター	сектор	N	N;INAN;NOM;MASC;PL
濃い	сильный	濃い	сильный	ADJ	ADJ;NOM;MASC;SG
濃い	сильная	濃い	сильный	ADJ	ADJ;NOM;FEM;SG
濃い	сильные	濃い	сильный	ADJ	ADJ;NOM;PL
濃い	сильна	濃い	сильный	ADJ	ADJ;FEM;SG
濃い	сильное	濃い	сильный	ADJ	ADJ;NOM;NEUT;SG
減らす	уменьшить	減らす	уменьшить	V	V;PFV;NFIN;ACT
減らす	уменьшить	減らす	уменьшить	V	V;PFV;NFIN;ACT
減らす	сократить	減らす	сократить	V	V;PFV;NFIN;ACT
トロンボーン	тромбон	トロンボーン	тромбон	N	N;INAN;NOM;MASC;SG
ネック	шею	ネック	шея	N	N;INAN;ACC;FEM;SG
ネック	шея	ネック	шея	N	N;INAN;NOM;FEM;SG
ストライキ	забастовку	ストライキ	забастовка	N	N;INAN;ACC;FEM;SG
ストライキ	забастовка	ストライキ	забастовка	N	N;INAN;NOM;FEM;SG
最低	минимум	最低	минимум	N	N;INAN;ACC;MASC;SG
レター	буква	レター	буква	N	N;INAN;NOM;FEM;SG
レター	письмо	レター	письмо	N	N;INAN;NOM;NEUT;SG
回廊	коридор	回廊	коридор	N	N;INAN;NOM;MASC;SG
プレゼン	презентации	プレゼン	презентация	N	N;INAN;NOM;FEM;PL
プレゼン	презентация	プレゼン	презентация	N	N;INAN;NOM;FEM;SG
プレゼン	представление	プレゼン	представление	N	N;INAN;NOM;NEUT;SG
プレゼン	презентации	プレゼン	презентация	N	N;INAN;NOM;FEM;PL
プレゼン	выступления	プレゼン	выступление	N	N;INAN;NOM;NEUT;PL
プライド	гордыня	プライド	гордыня	N	N;INAN;NOM;FEM;SG
プライド	гордость	プライド	гордость	N	N;INAN;NOM;FEM;SG
テロリスト	террорист	テロリスト	террорист	N	N;ANIM;NOM;MASC;SG
テロリスト	террористы	テロリスト	террорист	N	N;ANIM;NOM;MASC;PL
テロリスト	террористов	テロリスト	террорист	N	N;ANIM;GEN;MASC;PL
管理人	администратора	管理人	администратор	N	N;ANIM;ACC;MASC;SG
管理人	администратором	管理人	администратор	N	N;ANIM;INS;MASC;SG
管理人	администратор	管理人	администратор	N	N;ANIM;NOM;MASC;SG
管理人	администраторы	管理人	администратор	N	N;ANIM;NOM;MASC;PL
管理人	администраторов	管理人	администратор	N	N;ANIM;GEN;MASC;PL
管理人	администраторы	管理人	администратор	N	N;ANIM;NOM;MASC;PL
管理人	администраторов	管理人	администратор	N	N;ANIM;GEN;MASC;PL
管理人	администратора	管理人	администратор	N	N;ANIM;ACC;MASC;SG
管理人	администратор	管理人	администратор	N	N;ANIM;NOM;MASC;SG
持ち込み	нести	持ち込み	нести	V	V;IPFV;NFIN;ACT
持ち込み	принести	持ち込み	принести	V	V;PFV;NFIN;ACT
持ち込み	привести	持ち込み	привести	V	V;PFV;NFIN;ACT
コスチューム	костюм	コスチューム	костюм	N	N;INAN;NOM;MASC;SG
コスチューム	костюмы	コスチューム	костюм	N	N;INAN;NOM;MASC;PL
波動	волна	波動	волна	N	N;INAN;NOM;FEM;SG
波動	волны	波動	волна	N	N;INAN;NOM;FEM;PL
原告	истец	原告	истец	N	N;ANIM;NOM;MASC;SG
原告	истца	原告	истец	N	N;ANIM;ACC;MASC;SG
原告	заявитель	原告	заявитель	N	N;ANIM;NOM;MASC;SG
原告	истец	原告	истец	N	N;ANIM;NOM;MASC;SG
地主	домовладелец	地主	домовладелец	N	N;ANIM;NOM;MASC;SG
チキン	курица	チキン	курица	N	N;INAN;NOM;FEM;SG
コールド	холод	コールド	холод	N	N;INAN;NOM;MASC;SG
プライス	прайс	プライス	прайс	N	N;INAN;NOM;MASC;SG
プライス	цена	プライス	цена	N	N;INAN;NOM;FEM;SG
待遇	лечение	待遇	лечение	N	N;INAN;NOM;NEUT;SG
待遇	обращение	待遇	обращение	N	N;INAN;NOM;NEUT;SG
北極	арктике	北極	арктика	N	N;INAN;DAT;FEM;SG
フレンチ	французы	フレンチ	француз	N	N;ANIM;NOM;MASC;PL
すごい	круто	すごい	крутой	ADJ	ADJ;NEUT;SG
すごい	классные	すごい	классный	ADJ	ADJ;NOM;PL
すごい	классная	すごい	классный	ADJ	ADJ;NOM;FEM;SG
すごい	удивительно	すごい	удивительный	ADJ	ADJ;NEUT;SG
すごい	потрясающая	すごい	потрясающий	ADJ	ADJ;NOM;FEM;SG
吹雪	снегопад	吹雪	снегопад	N	N;INAN;NOM;MASC;SG
ジュース	сока	ジュース	сока	N	N;INAN;GEN;MASC;SG
ジュース	сок	ジュース	сок	N	N;INAN;NOM;MASC;SG
ジュース	соки	ジュース	сок	N	N;INAN;NOM;MASC;PL
バーツ	бат	バーツ	бат	N	N;INAN;NOM;MASC;SG
従兄弟	кузина	従兄弟	кузин	N	N;ANIM;NOM;FEM;SG
従兄弟	кузен	従兄弟	кузен	N	N;ANIM;NOM;MASC;SG
ギルド	гильдии	ギルド	гильдия	N	N;INAN;NOM;FEM;PL
ルクス	люкс	ルクス	люкс	N	N;INAN;NOM;MASC;SG
ステッカー	наклейки	ステッカー	наклейка	N	N;INAN;NOM;FEM;PL
カブ	репа	カブ	репа	N	N;INAN;NOM;FEM;SG
ハンド	гандбол	ハンド	гандбол	N	N;INAN;NOM;MASC;SG
エッグ	яйца	エッグ	яйцо	N	N;INAN;NOM;NEUT;PL
エッグ	яйцо	エッグ	яйцо	N	N;INAN;NOM;NEUT;SG
スキン	шкуры	スキン	шкура	N	N;INAN;NOM;FEM;PL
スキン	кожи	スキン	кожа	N	N;INAN;GEN;FEM;SG
スキン	кожа	スキン	кожа	N	N;INAN;NOM;FEM;SG
皐月	сацуки	皐月	сацук	N	N;INAN;NOM;MASC;PL
ヌード	ню	ヌード	ню	N	N;INAN;NOM;MASC;SG
公害	загрязнение	公害	загрязнение	N	N;INAN;NOM;NEUT;SG
インフルエンザ	грипп	インフルエンザ	грипп	N	N;INAN;NOM;MASC;SG
インフルエンザ	гриппа	インフルエンザ	грипп	N	N;INAN;GEN;MASC;SG
インフルエンザ	грипп	インフルエンザ	грипп	N	N;INAN;NOM;MASC;SG
関税	тарифов	関税	тариф	N	N;INAN;GEN;MASC;PL
関税	тариф	関税	тариф	N	N;INAN;NOM;MASC;SG
毒性	токсичность	毒性	токсичность	N	N;INAN;NOM;FEM;SG
毒性	токсичности	毒性	токсичность	N	N;INAN;NOM;FEM;SG
メカニズム	механизмы	メカニズム	механизм	N	N;INAN;NOM;MASC;PL
メカニズム	механизм	メカニズム	механизм	N	N;INAN;NOM;MASC;SG
メカニズム	механизма	メカニズム	механизм	N	N;INAN;GEN;MASC;SG
ファンタジア	фантазия	ファンタジア	фантазия	N	N;INAN;NOM;FEM;SG
ファンタジア	фантазии	ファンタジア	фантазия	N	N;INAN;NOM;FEM;PL
やさしい	полегче	やさしい	легкий	ADJ	ADJ;CMPR
やさしい	легче	やさしい	легкий	ADJ	ADJ;CMPR
やさしい	легко	やさしい	легкий	ADJ	ADJ;NEUT;SG
燃える	горит	燃える	гореть	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
体質	конституция	体質	конституция	N	N;INAN;NOM;FEM;SG
イヌ	собака	イヌ	собака	N	N;ANIM;NOM;FEM;SG
イヌ	пес	イヌ	пес	N	N;ANIM;NOM;MASC;SG
イヌ	пёс	イヌ	пёс	N	N;ANIM;NOM;MASC;SG
キノコ	грибы	キノコ	гриб	N	N;INAN;NOM;MASC;PL
キノコ	гриб	キノコ	гриб	N	N;INAN;NOM;MASC;SG
キノコ	грибы	キノコ	гриб	N	N;INAN;NOM;MASC;PL
厚い	толстый	厚い	толстый	ADJ	ADJ;NOM;MASC;SG
厚い	толстая	厚い	толстый	ADJ	ADJ;NOM;FEM;SG
厚い	толстые	厚い	толстый	ADJ	ADJ;NOM;PL
ヤンキー	янки	ヤンキー	янки	N	N;ANIM;NOM;MASC;PL
証人	свидетели	証人	свидетель	N	N;ANIM;NOM;MASC;PL
証人	свидетелям	証人	свидетель	N	N;ANIM;DAT;MASC;PL
証人	свидетелей	証人	свидетель	N	N;ANIM;GEN;MASC;PL
証人	свидетель	証人	свидетель	N	N;ANIM;NOM;MASC;SG
賞賛	восхищаться	賞賛	восхищаться	V	V;IPFV;NFIN;MID
シリアル	зерновых	シリアル	зерновые	N	N;INAN;GEN;FEM;PL
シリアル	хлопья	シリアル	хлоп	N	N;INAN;NOM;NEUT;PL
子育て	воспитание	子育て	воспитание	N	N;INAN;NOM;NEUT;SG
ウィンドウ	окна	ウィンドウ	окно	N	N;INAN;NOM;NEUT;PL
ウィンドウ	окно	ウィンドウ	окно	N	N;INAN;NOM;NEUT;SG
乱闘	драка	乱闘	драка	N	N;INAN;NOM;FEM;SG
乱闘	потасовка	乱闘	потасовка	N	N;INAN;NOM;FEM;SG
水分	влажность	水分	влажность	N	N;INAN;NOM;FEM;SG
水分	влаги	水分	влага	N	N;INAN;GEN;FEM;SG
聴く	слушайте	聴く	слушать	V	V;IPFV;IMP;PL;2;FIN;ACT
聴く	послушай	聴く	послушать	V	V;PFV;IMP;SG;2;FIN;ACT
遊ぶ	играть	遊ぶ	играть	V	V;IPFV;NFIN;ACT
遊ぶ	играйте	遊ぶ	играть	V	V;IPFV;IMP;PL;2;FIN;ACT
遊ぶ	играй	遊ぶ	играть	V	V;IPFV;IMP;SG;2;FIN;ACT
決済	платежи	決済	платеж	N	N;INAN;NOM;MASC;PL
決済	выплаты	決済	выплата	N	N;INAN;NOM;FEM;PL
決済	урегулирование	決済	урегулирование	N	N;INAN;NOM;NEUT;SG
決済	поселение	決済	поселение	N	N;INAN;NOM;NEUT;SG
決済	урегулирования	決済	урегулирование	N	N;INAN;NOM;NEUT;SG
決済	оплата	決済	оплата	N	N;INAN;NOM;FEM;SG
決済	платежи	決済	платеж	N	N;INAN;NOM;MASC;PL
決済	выплата	決済	выплата	N	N;INAN;NOM;FEM;SG
決済	платеж	決済	платеж	N	N;INAN;NOM;MASC;SG
決済	оплаты	決済	оплата	N	N;INAN;GEN;FEM;SG
サニー	санни	サニー	санни	N	N;ANIM;NOM;MASC;SG
嫉妬	ревнует	嫉妬	ревновать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
嫉妬	завидую	嫉妬	завидовать	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
嫉妬	ревновать	嫉妬	ревновать	V	V;IPFV;NFIN;ACT
ディスコ	диско	ディスコ	диско	N	N;INAN;NOM;MASC;SG
ブタ	свиней	ブタ	свинья	N	N;ANIM;GEN;FEM;PL
ブタ	свиньи	ブタ	свинья	N	N;ANIM;NOM;FEM;PL
ブタ	свинья	ブタ	свинья	N	N;ANIM;NOM;FEM;SG
ブタ	свиньи	ブタ	свинья	N	N;ANIM;NOM;FEM;PL
ノーマン	норман	ノーマン	норман	N	N;ANIM;NOM;MASC;SG
尾翼	хвост	尾翼	хвост	N	N;INAN;NOM;MASC;SG
退却	отступить	退却	отступить	V	V;PFV;NFIN;ACT
退却	отступать	退却	отступать	V	V;IPFV;NFIN;ACT
悪意	злобы	悪意	злоба	N	N;INAN;NOM;FEM;PL
オタク	ботан	オタク	ботаный	N	N;ANIM;NOM;MASC;SG
オタク	ботаник	オタク	ботаник	N	N;ANIM;NOM;MASC;SG
屋台	партер	屋台	партер	N	N;INAN;NOM;MASC;SG
伝導	проводимость	伝導	проводимость	N	N;INAN;NOM;FEM;SG
受け取る	получать	受け取る	получать	V	V;IPFV;NFIN;ACT
ベストセラー	бестселлер	ベストセラー	бестселлер	N	N;INAN;NOM;MASC;SG
壁画	фрески	壁画	фреск	N	N;INAN;NOM;FEM;PL
壁画	фреску	壁画	фреск	N	N;INAN;ACC;FEM;SG
エンブレム	эмблем	エンブレム	эмбль	N	N;INAN;GEN;MASC;PL
エンブレム	герб	エンブレム	герб	N	N;INAN;NOM;MASC;SG
エンブレム	эмблемы	エンブレム	эмблем	N	N;INAN;NOM;FEM;PL
素敵	приятно	素敵	приятный	ADJ	ADJ;NEUT;SG
思想家	мыслителей	思想家	мыслитель	N	N;ANIM;GEN;MASC;PL
ピクセル	пиксель	ピクセル	пиксель	N	N;INAN;NOM;MASC;SG
ピクセル	элемент	ピクセル	элемент	N	N;INAN;NOM;MASC;SG
ピクセル	пикселей	ピクセル	пиксель	N	N;INAN;GEN;MASC;PL
コントローラ	контроллеры	コントローラ	контроллер	N	N;INAN;NOM;MASC;PL
コントローラ	контролер	コントローラ	контролер	N	N;ANIM;NOM;MASC;SG
コントローラ	регулятор	コントローラ	регулятор	N	N;INAN;NOM;MASC;SG
コントローラ	контроллер	コントローラ	контроллер	N	N;INAN;NOM;MASC;SG
たま	изредка	たま	изредка	ADV	ADV
外科	хирург	外科	хирург	N	N;ANIM;NOM;MASC;SG
気体	газа	気体	газ	N	N;INAN;GEN;MASC;SG
気体	бензин	気体	бензин	N	N;INAN;NOM;MASC;SG
気体	газ	気体	газ	N	N;INAN;NOM;MASC;SG
気体	газов	気体	газ	N	N;INAN;GEN;MASC;PL
気体	газы	気体	газ	N	N;INAN;NOM;MASC;PL
処罰	наказать	処罰	наказать	V	V;PFV;NFIN;ACT
処罰	наказывать	処罰	наказывать	V	V;IPFV;NFIN;ACT
キャンセル	отменить	キャンセル	отменить	V	V;PFV;NFIN;ACT
キャンセル	отменена	キャンセル	отменить	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
キャンセル	отменил	キャンセル	отменить	V	V;PFV;MASC;IND;SG;PST;FIN;ACT
キャンセル	отменено	キャンセル	отменить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
キャンセル	отменен	キャンセル	отменить	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
キャンセル	отменена	キャンセル	отменить	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
キャンセル	отменено	キャンセル	отменить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
キャンセル	отменен	キャンセル	отменить	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
キャンセル	отменены	キャンセル	отменить	V	V;PFV;PL;PST;V.PTCP;PASS
不完全	несовершенной	不完全	несовершенный	ADJ	ADJ;INS;FEM;SG
幼虫	личинок	幼虫	личинка	N	N;ANIM;GEN;FEM;PL
幼虫	личинки	幼虫	личинка	N	N;ANIM;NOM;FEM;PL
悪	кошмары	悪	кошмар	N	N;INAN;NOM;MASC;PL
悪	кошмар	悪	кошмар	N	N;INAN;NOM;MASC;SG
演目	программы	演目	программа	N	N;INAN;NOM;FEM;PL
標準化	стандартизация	標準化	стандартизация	N	N;INAN;NOM;FEM;SG
標準化	стандартизации	標準化	стандартизация	N	N;INAN;NOM;FEM;PL
解読	расшифровать	解読	расшифровать	V	V;PFV;NFIN;ACT
キックボクシング	кикбоксинг	キックボクシング	кикбоксинг	N	N;INAN;NOM;MASC;SG
諮問	консультация	諮問	консультация	N	N;INAN;NOM;FEM;SG
諮問	консультации	諮問	консультация	N	N;INAN;NOM;FEM;PL
火事	пожар	火事	пожар	N	N;INAN;NOM;MASC;SG
火事	огонь	火事	огонь	N	N;INAN;NOM;MASC;SG
赤道	экватора	赤道	экватор	N	N;INAN;GEN;MASC;SG
国々	стран	国々	страна	N	N;INAN;GEN;FEM;PL
国々	страны	国々	страна	N	N;INAN;NOM;FEM;PL
タコ	осьминог	タコ	осьминог	N	N;ANIM;NOM;MASC;SG
内訳	разбивка	内訳	разбивка	N	N;INAN;NOM;FEM;SG
内訳	срыв	内訳	срыв	N	N;INAN;NOM;MASC;SG
内訳	распад	内訳	распад	N	N;INAN;NOM;MASC;SG
内訳	разбивки	内訳	разбивка	N	N;INAN;NOM;FEM;PL
ジャイアント	гигант	ジャイアント	гигант	N	N;ANIM;NOM;MASC;SG
銃弾	пуля	銃弾	пуля	N	N;INAN;NOM;FEM;SG
銃弾	пулю	銃弾	пуля	N	N;INAN;ACC;FEM;SG
ピストン	поршня	ピストン	поршень	N	N;INAN;GEN;MASC;SG
グラミー	гурами	グラミー	гура	N	N;INAN;INS;FEM;PL
グラミー	грэмми	グラミー	грэм	N	N;INAN;NOM;MASC;SG
抗体	антитела	抗体	антител	N	N;INAN;NOM;MASC;PL
抗体	антител	抗体	антитело	N	N;INAN;GEN;FEM;PL
風船	шар	風船	шар	N	N;INAN;NOM;MASC;SG
