kategória	kategorija	kategória	kategorija	N;NOM;FEM;SG	N;NOM;FEM;SG
najvyšší	najvišje	vysoký	visok	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;RL;NEUT;SG
najvyšší	najvišji	vysoký	visok	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;DEF;RL;MASC;SG
najvyšší	najvišja	vysoký	visok	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;RL;FEM;SG
pred	pred	pred	pred	ADP;INS	ADP;INS
vývoj	razvoj	vývoj	razvoj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
vývoj	razvoj	vývoj	razvoj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
vývoj	evolucija	vývoj	evolucija	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
graf	graf	graf	graf	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
graf	graf	graf	graf	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
najnižší	najnižje	žízky	nizko	ADJ;INAN;NOM;RL;MASC;SG	ADJ;NOM;RL;NEUT;SG
najnižší	najnižja	žízky	nizek	ADJ;INAN;NOM;RL;MASC;SG	ADJ;NOM;RL;FEM;SG
najnižší	najnižji	žízky	nizek	ADJ;INAN;NOM;RL;MASC;SG	ADJ;NOM;DEF;RL;MASC;SG
kde	kje	kde	kje	ADV	ADV
nasledujúci	naslednji	nasledujúci	naslednji	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;NOM;DEF;MASC;SG
nasledujúci	naslednja	nasledujúci	naslednji	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;NOM;FEM;SG
keď	kadar	keď	kadar	CONJ	CONJ
keď	ko	keď	ko	CONJ	CONJ
len	le	len	le	PART	PART
len	samo	len	samo	PART	PART
len	le	len	le	PART	PART
len	samo	len	samo	PART	PART
mesto	mesto	mesto	mesto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
mesto	mesto	mesto	mesto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
tiež	tudi	tiež	tudi	PART	PART
rokov	let	rok	leto	N;INAN;GEN;MASC;PL	N;GEN;NEUT;PL
nie	ne	nie	ne	PART	PART
september	september	september	september	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
úmrtia	smrti	úmrtie	smrt	N;NOM;NEUT;PL	N;NOM;FEM;PL
slovenský	slovaški	slovenský	slovaški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
slovenský	slovaško	slovenský	slovaški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
nad	nad	nad	nad	ADP;INS	ADP;INS
stránka	stran	stránka	stran	N;NOM;FEM;SG	N;NOM;FEM;SG
skupiny	skupine	skupina	skupina	N;NOM;FEM;PL	N;NOM;FEM;PL
html	html	htmly	htme	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
časť	odsek	časť	odsek	N;NOM;FEM;SG	N;NOM;MASC;SG
časť	poglavje	časť	poglavje	N;NOM;FEM;SG	N;NOM;NEUT;SG
časť	razdelek	časť	razdelek	N;NOM;FEM;SG	N;NOM;MASC;SG
časť	oddelek	časť	oddelek	N;NOM;FEM;SG	N;NOM;MASC;SG
časť	del	časť	del	N;NOM;FEM;SG	N;NOM;MASC;SG
október	oktober	október	oktober	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
mesta	mesto	mesto	mesto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
mesta	mesto	mesto	mesto	N;NOM;NEUT;SG	N;NOM;NEUT;SG
marec	marec	marec	marec	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
marec	pohod	marec	pohod	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
august	august	august	august	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
august	avgust	august	avgust	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
august	avg	august	avg	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
skupina	skupina	skupina	skupina	N;NOM;FEM;SG	N;NOM;FEM;SG
veľmi	zelo	veľmi	zelo	ADV	ADV
potom	potem	potom	potem	ADV	ADV
oficiálna	uradna	oficiálny	uraden	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
oficiálna	uradni	oficiálny	uraden	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
narodenia	rojstva	narodenie	rojstvo	N;NOM;NEUT;PL	N;NOM;NEUT;PL
tento	to	tento	ta	DET;INAN;NOM;MASC;SG	DET;NOM;NEUT;SG
tento	ta	tento	ta	DET;INAN;NOM;MASC;SG	DET;NOM;MASC;SG
osobnosti	osebnosti	osobnosť	osebnost	N;NOM;FEM;PL	N;NOM;FEM;PL
osobnosti	osebnosti	osobnosť	osebnost	N;NOM;FEM;PL	N;NOM;FEM;PL
bratislava	bratislavi	bratislava	bratislava	N;NOM;FEM;SG	N;NOM;FEM;SG
november	november	november	november	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
november	november	november	november	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
december	december	december	december	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
stal	postala	stať	postati	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
stal	postal	stať	postati	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
iba	le	iba	le	PART	PART
iba	samo	iba	samo	PART	PART
iba	le	iba	le	PART	PART
iba	samo	iba	samo	PART	PART
oblasti	območja	oblasť	območje	N;NOM;FEM;PL	N;NOM;NEUT;PL
oblasti	področja	oblasť	področje	N;NOM;FEM;PL	N;NOM;NEUT;PL
oblasti	površine	oblasť	površina	N;NOM;FEM;PL	N;NOM;FEM;PL
január	januar	január	januar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
súbor	datoteka	súbor	datoteka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
mal	imelo	mať	imeti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
mal	imel	mať	imeti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
mal	imela	mať	imeti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
proti	proti	proti	proti	ADP;DAT	ADP;DAT
apríl	apr	aprila	apr	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
apríl	april	aprila	april	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
bez	brez	bez	brez	ADP;GEN	ADP;GEN
najmä	predvsem	najmä	predvsem	PART	PART
najmä	zlasti	najmä	zlasti	PART	PART
február	februar	február	februar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
náhľad	ogled	náhľad	ogled	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
názov	poimenovanje	názov	poimenovanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
názov	ime	názov	ime	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
názov	naziv	názov	naziv	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
okolo	okoli	okolo	okoli	ADP;GEN	ADP;GEN
okolo	okrog	okolo	okrog	ADP;GEN	ADP;GEN
ešte	še	ešte	še	PART	PART
prvý	prva	prvý	prvi	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
text	besedilo	text	besedilo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
spolu	skupaj	spolu	skupaj	ADV	ADV
spolu	skupaj	spolu	skupaj	ADV	ADV
okrem	razen	okrem	razen	ADP;GEN	ADP;GEN
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
americký	ameriško	americký	ameriški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
americký	ameriški	americký	ameriški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
americký	ameriška	americký	ameriški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
júl	julij	júl	julij	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
cez	skozi	cez	skozi	ADP;ACC	ADP;ACC
jeden	ena	jeden	en	NUM;ANIM;NOM;MASC;SG	NUM;NOM;FEM;SG
jeden	en	jeden	en	NUM;ANIM;NOM;MASC;SG	NUM;NOM;MASC;SG
jeden	eden	jeden	eden	NUM;ANIM;NOM;MASC;SG	NUM;NOM;MASC;SG
jeden	eno	jeden	en	NUM;ANIM;NOM;MASC;SG	NUM;NOM;NEUT;SG
objavil	odkrila	objaviť	odkriti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
objavil	odkril	objaviť	odkriti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
vojny	vojne	vojna	vojna	N;NOM;FEM;PL	N;NOM;FEM;PL
vojny	vojne	vojna	vojna	N;NOM;FEM;PL	N;NOM;FEM;PL
rok	leto	rok	leto	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
rok	letnica	rok	letnica	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
ulica	ulica	ulica	ulica	N;NOM;FEM;SG	N;NOM;FEM;SG
album	album	album	album	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
dátum	zmenek	dátum	zmenek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
dátum	datum	dátum	datum	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
žien	žensk	žena	ženska	N;GEN;FEM;PL	N;GEN;FEM;PL
tieto	te	tento	ta	DET;NOM;MASC;PL	DET;NOM;FEM;PL
januára	januarja	január	januar	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
majú	imajo	mať	imeti	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
majú	imeti	mať	imeti	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IPFV;NFIN
toto	to	toto	ta	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
toto	ta	toto	ta	DET;NOM;NEUT;SG	DET;NOM;MASC;SG
všetky	vsi	všetok	ves	DET;INAN;NOM;MASC;PL	DET;NOM;MASC;PL
francúzsky	francoščina	francúzsky	francoščina	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
mestá	mesta	mesto	mesto	N;NOM;NEUT;PL	N;NOM;NEUT;PL
mestá	mesta	mesto	mesto	N;NOM;NEUT;PL	N;NOM;NEUT;PL
mestá	mesti	mesto	mesto	N;NOM;NEUT;PL	N;NOM;NEUT;PL
žije	živi	žiť	živeti	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
český	češka	český	češka	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
český	češki	český	češki	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
často	pogosto	často	pogosto	ADV	ADV
často	pogosto	často	pogosto	ADV	ADV
dnes	danes	dnes	danes	ADV	ADV
pretože	ker	pretože	ker	CONJ	CONJ
nové	novo	nový	nov	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
nové	nov	nový	nov	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
nové	novi	nový	nov	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
nové	nova	nový	nov	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ďalšie	dodatna	ďalší	dodaten	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ďalšie	dodatni	ďalší	dodaten	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
ďalšie	naslednji	ďalší	naslednji	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
ďalšie	naslednja	ďalší	naslednji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ďalšie	drugi	ďalší	drug	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
ďalšie	drugo	ďalší	drug	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	druga	ďalší	drug	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ďalšie	nadaljnje	ďalší	nadaljnji	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
meno	ime	meno	ime	N;NOM;NEUT;SG	N;NOM;NEUT;SG
mala	imelo	mať	imeti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
mala	imel	mať	imeti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
mala	imela	mať	imeti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
približne	glede	približne	glede	ADV	ADV
približne	grobo	približne	grobo	ADV	ADV
približne	približno	približne	približno	ADV	ADV
táto	to	táto	ta	DET;NOM;FEM;SG	DET;NOM;NEUT;SG
táto	ta	táto	ta	DET;NOM;FEM;SG	DET;NOM;MASC;SG
prvé	prva	prvý	prvi	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
tri	tri	tri	trije	NUM;INAN;NOM;MASC;PL	NUM;NOM;FEM;PL
tri	trije	tri	trije	NUM;INAN;NOM;MASC;PL	NUM;NOM;MASC;PL
tri	tremi	tri	trije	NUM;INAN;NOM;MASC;PL	NUM;NOM;FEM;PL
nich	jih	on	on	PRO;ANIM;ACC;MASC;PL;3	PRO;ACC;MASC;PL;3
začal	začel	začať	začeti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
začal	začela	začať	začeti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
film	film	film	film	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
film	film	film	film	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
spoločnosti	družbe	spoločnosť	družba	N;NOM;FEM;PL	N;NOM;FEM;PL
spoločnosti	korporacije	spoločnosť	korporacija	N;NOM;FEM;PL	N;NOM;FEM;PL
spoločnosti	podjetja	spoločnosť	podjetje	N;NOM;FEM;PL	N;NOM;NEUT;PL
spoločnosti	družbe	spoločnosť	družba	N;NOM;FEM;PL	N;NOM;FEM;PL
peter	peter	peter	peter	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
peter	petra	peter	peter	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
mali	imeli	mať	imeti	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;IPFV;MASC;PL;V.PTCP
patrí	spada	patriť	spadati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
patrí	sodi	patriť	soditi	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
slovenská	slovaški	slovenský	slovaški	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
slovenská	slovaško	slovenský	slovaški	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
strany	strani	strana	stran	N;NOM;FEM;PL	N;NOM;FEM;PL
strany	pogodbenice	strana	pogodbenica	N;NOM;FEM;PL	N;NOM;FEM;PL
strany	zabave	strana	zabava	N;NOM;FEM;PL	N;NOM;FEM;PL
strany	stranke	strana	stranka	N;NOM;FEM;PL	N;NOM;FEM;PL
svg	svg	svg	svg	N;NOM;FEM;SG	N;NOM;MASC;SG
slovensky	angleško	slovensky	angleško	ADV	ADV
prvá	prva	prvý	prvi	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
nemecký	nemško	nemecký	nemški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
nemecký	nemška	nemecký	nemški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
nemecký	nemški	nemecký	nemški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
storočí	stoletje	storočie	stoletje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
hlavne	pretežno	hlavne	pretežno	ADV	ADV
hlavne	večinoma	hlavne	večinoma	ADV	ADV
hlavne	posebej	hlavne	posebej	ADV	ADV
hlavne	večinoma	hlavne	večinoma	ADV	ADV
astronóm	astronom	astronó	astronom	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
rod	roda	rod	rod	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
rod	rod	rod	rod	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
titul	naziv	tituť	naziv	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
kostol	cerkev	kostol	cerkev	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
republiky	republike	republika	republika	N;NOM;FEM;PL	N;NOM;FEM;PL
možno	morda	možno	morda	PART	PART
možno	morda	možno	morda	PART	PART
ženy	samice	žena	samica	N;NOM;FEM;PL	N;NOM;FEM;PL
ženy	ženske	žena	ženska	N;NOM;FEM;PL	N;NOM;FEM;PL
kedy	kdaj	kedy	kdaj	ADV	ADV
územia	ozemlja	územie	ozemlje	N;NOM;NEUT;PL	N;NOM;NEUT;PL
systém	sistem	systém	sistem	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ide	gre	ísť	iti	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
potok	tok	potok	tok	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
potok	potok	potok	potok	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
góly	cilji	góla	cilj	N;NOM;FEM;PL	N;NOM;MASC;PL
spisovateľ	pisec	spisovateľ	pisec	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
spisovateľ	pisateljica	spisovateľ	pisateljica	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
spisovateľ	pisatelj	spisovateľ	pisatelj	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
pôvodne	sprva	pôvodne	sprva	ADV	ADV
pôvodne	prvotno	pôvodne	prvotno	ADV	ADV
pôvodne	prvotno	pôvodne	prvotno	ADV	ADV
súhvezdie	ozvezdje	súhvezdie	ozvezdje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
známy	znana	známy	znan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;V.PTCP
známy	znan	známy	znan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
známy	znano	známy	znan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG;V.PTCP
známy	poznan	známy	poznan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
veľkosť	velikost	veľkosť	velikost	N;NOM;FEM;SG	N;NOM;FEM;SG
klub	klub	klub	klub	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
klub	club	klub	club	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
objektov	predmetov	objekt	predmet	N;INAN;GEN;MASC;PL	N;GEN;MASC;PL
slovenské	slovaški	slovenský	slovaški	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
slovenské	slovaško	slovenský	slovaški	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
portál	portal	portál	portati	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
článok	članek	článok	članek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
článok	člen	článok	člen	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
článok	izdelek	článok	izdelek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
ľudí	ljudi	človek	človek	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
územie	ozemlje	územie	ozemlje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
palomar	palomar	palomar	palomar	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
možné	možen	možný	možen	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
možné	možna	možný	možen	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
možné	možni	možný	možen	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
možné	možno	možný	možen	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
zomrel	umrla	zomrieť	umreti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
zomrel	umrl	zomrieť	umreti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
niektoré	neki	niektorý	nek	DET;NOM;NEUT;SG	DET;NOM;MASC;SG
hudobné	glasbeni	hudobný	glasben	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
hudobné	glasbena	hudobný	glasben	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
herec	igralec	herec	igralec	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
hry	tekme	hra	tekma	N;NOM;FEM;PL	N;NOM;FEM;PL
hry	igre	hra	igra	N;NOM;FEM;PL	N;NOM;FEM;PL
hry	igrice	hra	igrica	N;NOM;FEM;PL	N;NOM;FEM;PL
veľký	velika	veľký	velik	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
veľký	velika	veľký	velik	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
veľký	veliki	veľký	velik	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
veľký	velik	veľký	velik	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
septembra	septembra	september	september	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
kráľ	kralj	kráľ	kralj	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
hráči	igralci	hráčiť	igralec	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
hráči	akterji	hráčiť	akter	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
vlády	vlade	vláda	vlada	N;NOM;FEM;PL	N;NOM;FEM;PL
vlády	vlade	vláda	vlada	N;NOM;FEM;PL	N;NOM;FEM;PL
zároveň	istočasno	zároveň	istočasno	ADV	ADV
zároveň	sočasno	zároveň	sočasno	ADV	ADV
zároveň	hkrati	zároveň	hkrati	ADV	ADV
mieste	spot	miesto	spot	N;NOM;NEUT;SG	N;NOM;MASC;SG
tam	tam	tam	tam	ADV	ADV
spoločnosť	društvo	spoločnosť	društvo	N;NOM;FEM;SG	N;NOM;NEUT;SG
spoločnosť	družba	spoločnosť	družba	N;NOM;FEM;SG	N;NOM;FEM;SG
spoločnosť	četa	spoločnosť	ket	N;NOM;FEM;SG	N;NOM;FEM;SG
spoločnosť	podjetje	spoločnosť	podjetje	N;NOM;FEM;SG	N;NOM;NEUT;SG
spoločnosť	družba	spoločnosť	družba	N;NOM;FEM;SG	N;NOM;FEM;SG
oblasť	regija	oblasť	regija	N;NOM;FEM;SG	N;NOM;FEM;SG
oblasť	območje	oblasť	območje	N;NOM;FEM;SG	N;NOM;NEUT;SG
oblasť	površina	oblasť	površina	N;NOM;FEM;SG	N;NOM;FEM;SG
oblasť	področje	oblasť	področje	N;NOM;FEM;SG	N;NOM;NEUT;SG
nej	njej	ona	on	PRO;DAT;FEM;SG;3	PRO;DAT;FEM;SG;3
